atlocation_inv_1,atlocation_inv_2
2079,2792
19538,135
20862,163
717,2839
39450,435
1877,1674
250,8258
44158,587
250,3421
3005,30978
1953,7690
844,8944
4089,36583
13535,435
1586,135
4089,49001
6,11380
19553,156
24357,156
192,12085
22080,3195
866,49168
36,17976
2158,27720
859,38331
49326,163
3034,3728
7642,435
36,49485
22280,435
41630,609
192,31132
30529,163
40262,435
41981,156
7993,163
26750,435
41748,435
270,5264
866,28765
1857,617
17,6496
979,156
8091,156
751,49673
5981,599
866,74
11475,156
14289,7249
6,28078
819,24177
1627,49770
1016,49782
8812,135
1247,49794
502,163
6441,49861
15686,352
2760,49961
2307,49991
2079,27347
3423,435
2145,27969
11955,332
13168,435
1724,36032
859,15492
1724,22474
243,50169
2158,40985
9027,163
3870,21683
4047,20619
29525,163
21423,435
19317,1674
1942,163
31545,1674
819,50307
2063,50308
4767,50319
42038,435
6375,50372
192,16039
50414,435
1724,15760
2839,9024
22797,435
250,48878
351,31005
14195,599
50569,435
16284,435
22170,156
41032,135
377,135
6441,50734
1724,15929
38462,435
22206,11463
192,13478
192,20247
351,39913
50876,156
3423,156
22921,860
8225,435
3370,38949
1568,50979
8114,135
4575,192
321,50996
21000,156
6,23275
1953,11722
2724,860
3813,12103
42965,435
20706,51286
27994,435
3726,3423
11955,3195
36,15843
844,51194
4527,1674
7872,51428
819,19417
859,21268
17976,135
16595,163
5997,163
11781,1674
1966,51632
4047,660
2489,435
10188,587
51704,156
250,51766
844,25980
270,44253
49827,163
10295,435
8952,16154
7557,14841
10219,156
321,1876
6375,51964
36,20554
866,9084
2572,135
250,35749
3004,435
24850,435
6,162
859,17484
2424,46505
18911,156
3087,163
3897,27738
321,25477
46721,163
2953,1674
49643,135
12500,3728
905,52396
29447,135
52429,435
36,13384
4170,156
192,13425
5997,3195
844,31565
6405,52571
321,4868
6955,163
250,6636
8495,7385
9900,28928
779,7367
21627,435
1953,28522
1227,435
11373,135
1724,24177
1098,2302
9661,435
3005,8687
48716,435
3034,10016
44146,156
3534,22750
36,52871
36,52882
1844,25877
1966,52887
243,52910
36,46387
15962,7367
7557,19745
6288,53036
53041,163
904,53067
1868,288
34813,435
1724,14288
26370,3669
8647,44246
4047,9867
2366,47225
8746,435
15492,53273
250,53290
859,3819
36,53389
3489,435
3370,15545
23042,163
28966,435
36,53530
4775,1674
321,599
2205,7292
1794,163
4388,156
8647,5075
779,9906
588,53765
7142,435
48897,135
1953,53790
321,53809
1844,21392
6405,4365
321,19725
731,23862
1568,26874
53965,435
6373,435
1868,54002
8297,779
34011,8284
36,48136
36,24485
54062,860
351,599
494,435
3262,42810
38301,435
28678,156
32213,435
717,34734
3950,156
25791,609
904,54237
819,30505
321,23760
8495,54355
19203,156
1901,860
5802,9699
321,9731
7057,34304
10335,435
38702,4593
51419,609
36,54482
904,4593
321,48205
3370,54508
7057,1674
866,7650
4767,22560
321,6456
24499,435
1953,29474
270,23513
977,1674
3738,19165
54582,156
27544,435
54593,435
2303,48419
2805,163
8154,156
21422,3421
36,8191
30789,163
4089,54719
859,54725
4203,435
36,54784
13168,135
1050,26641
3262,37124
876,435
10788,435
31775,435
1627,40925
11779,163
90,6877
2158,22117
1374,39036
18381,435
3538,30486
588,20619
27285,163
321,55040
321,52761
4047,8045
2810,55107
34455,156
192,24355
321,32284
1421,55153
6,44832
3782,1674
19086,435
321,55216
4089,55237
1966,3372
484,55250
10976,156
3309,163
3782,156
11805,435
103,163
8952,156
321,55346
74,52845
17869,135
55380,156
21860,135
36,50801
588,7096
5790,30514
16421,156
36,55451
321,15366
819,55470
3370,55475
866,17750
55484,135
905,55485
466,615
42387,163
17,55519
1894,156
866,27780
10974,435
36,55585
44038,163
3538,1894
819,3782
7759,435
5017,156
6,52276
29467,609
30528,156
6,12302
22109,435
28880,156
779,860
8311,135
6788,10248
3538,45200
6,74
321,38231
4836,55896
321,38503
484,52138
54478,599
905,49315
751,55991
800,435
299,55999
3005,14704
56033,435
1915,435
6,17939
889,732
1868,37418
133,42009
43758,156
45373,156
2424,56302
192,35357
34654,435
56354,435
34465,163
859,3692
1966,56432
321,28120
1098,2269
52116,163
8949,14133
133,56483
1627,55432
1874,135
5008,435
35666,163
484,1576
8895,435
321,15050
3476,599
16122,435
8309,156
11225,156
17914,435
8910,37247
1953,27716
2724,609
19918,435
321,21932
6441,56816
3897,11784
4202,435
17632,163
36112,156
321,43943
40951,163
1454,1674
1107,435
1966,1855
56955,435
13294,33574
5214,163
1953,56970
22505,609
299,3421
17,22791
1224,135
1724,38752
1953,5948
192,9906
3105,27938
5997,441
10742,435
57229,435
2307,28857
270,5708
19168,163
36,35173
23726,435
29501,4593
8272,15246
819,46889
37253,135
2158,57399
9983,435
3813,57409
3194,23845
2079,8711
844,28272
14008,163
38702,5954
11143,435
250,35085
10971,4593
12167,435
588,43995
602,57689
6788,19844
6539,163
3124,23845
49382,163
7557,23881
8910,4987
42965,156
27310,435
1627,57816
1966,13110
819,57858
2504,2503
2351,163
250,9832
659,3675
321,14788
192,21947
1050,57952
1374,37632
7905,57995
6,29850
40719,435
2079,4593
1953,2991
6379,41429
21937,435
3538,58152
32207,156
1627,29680
5997,435
48204,156
114,48840
8162,58223
8910,35855
22926,435
26641,156
726,163
19309,156
36,29566
26347,435
13670,156
20169,435
36,47204
3726,58463
36,49292
40902,435
36,42013
8310,1674
2707,435
3105,1516
58600,435
58609,435
5747,435
48261,1674
17,7001
2163,156
192,23421
6758,163
321,32352
270,58718
3370,33601
321,19172
1016,3709
9487,156
321,6448
8910,12199
1966,58792
14374,435
3210,1674
602,50930
26641,435
47372,435
37313,156
819,6142
30778,435
114,47142
9147,192
192,21783
4299,58906
7826,156
904,58932
4196,35062
844,58936
58255,135
466,2334
615,22601
1568,17834
3726,14475
30341,135
844,59028
4094,2796
36,59057
250,3563
7690,435
114,26312
5997,35080
321,21137
7905,59171
192,59199
36323,45310
6340,135
17,31145
484,4987
6788,23496
54269,163
25425,11463
16414,156
901,23845
321,4528
192,18829
5866,135
321,7860
321,18636
466,2416
10507,135
9755,156
588,609
32415,435
1868,58949
3538,44256
27413,156
116,6593
36,19153
36,32117
37256,609
36,20748
38106,163
16328,435
44146,1674
1627,599
1627,2261
7420,163
9422,56223
24850,599
35165,435
36,55677
192,16084
2494,435
905,23489
1786,1674
192,46974
2366,10154
2424,34797
250,59819
6,59879
74,48034
731,5454
4047,7249
12201,599
45800,135
779,49
36,56053
2100,156
2424,56449
321,5191
1844,21627
3061,163
15876,163
819,49723
904,22117
16794,156
36,47092
859,32208
250,60121
12362,135
2079,36698
39182,163
866,58046
46140,435
5206,156
1868,40324
331,7425
5997,34441
3336,4593
250,10016
18758,435
51621,163
29307,163
17,25036
12051,156
1247,59118
2953,156
1050,43763
36,44974
36,45188
8601,56027
3870,22141
8085,163
48692,156
114,352
192,35062
331,135
114,40071
6,4272
1016,7401
4767,46809
859,60570
17901,156
2796,10673
37907,156
1627,60593
299,11792
5802,60599
25747,28959
22791,1674
4203,163
321,22084
859,20706
1944,22227
60683,1674
1627,51704
3870,60715
55183,163
60716,156
1627,436
2903,435
321,42743
2810,33462
1016,602
29667,435
3195,19606
4324,609
2158,2185
36,60910
60917,135
36,60934
36,60944
5228,156
56228,1674
866,865
3262,61039
133,24704
321,39862
7057,13272
3068,15120
36,32763
18182,435
50297,163
59152,163
351,52276
1079,1259
7282,135
61158,163
51704,435
192,14564
5356,135
2760,8380
904,56033
36,41385
3518,24576
2424,49852
10773,156
35154,435
1953,46152
4299,4298
270,28306
114,39240
36,35142
36,27603
15022,156
2063,61491
436,435
6422,61501
779,610
2796,23845
41498,435
3370,61521
849,435
6379,61528
250,27427
192,25416
58308,435
17,17191
13446,163
6,61594
3870,3950
192,42093
38760,435
25501,163
299,49794
12952,156
10669,435
36,529
1627,27978
1627,57878
6375,156
1953,34705
33959,435
6373,156
321,5708
10971,163
13626,156
36,61888
866,7426
8601,13284
5802,1894
17,61946
57397,163
34438,156
1568,6595
3870,16169
16890,135
2145,6782
13294,16204
466,23845
3870,3488
10882,156
53180,435
14319,26612
351,21802
36,54697
11475,40579
8910,35913
53,163
5983,599
3370,24434
2508,163
2205,23845
3005,12870
270,53086
22324,163
4047,41838
14011,435
19218,609
3813,23723
192,23069
6,45076
52067,609
34638,163
2079,14289
11768,156
46487,156
3726,20978
5802,42220
15736,435
2332,609
5802,62471
42534,163
39349,435
978,61167
18447,435
36,62492
1901,192
4299,299
9417,4593
3579,25936
1050,10788
25729,609
49251,163
36,12192
14195,435
6375,62594
466,14319
62237,192
351,12302
17970,860
48692,1674
9790,156
34614,435
905,27957
588,47069
1953,57760
819,1399
2723,11236
1627,62760
62771,163
14047,10993
36,38117
192,5357
2796,62801
1627,62814
58285,163
8601,17419
17,62894
2494,11463
17,17890
4499,50333
321,52995
15718,435
15962,860
3005,1674
2760,1674
40777,135
978,38308
44402,435
8495,26007
5802,27535
63013,14564
1374,63019
36,27824
3870,63041
321,1588
844,19510
114,28438
3870,48810
321,63084
35310,599
17751,599
321,7826
2145,7367
6,10785
1627,4802
10729,163
484,49411
34013,163
16490,1674
2158,63181
4364,435
25868,435
3005,11769
17803,135
978,63222
192,24024
41138,163
28990,156
2662,156
4090,163
192,49
10742,156
5995,1674
46932,599
3034,9524
21937,156
1936,435
1724,42819
844,13994
116,192
33617,135
49827,23845
12223,435
42262,156
1868,63437
2063,35151
19587,435
4196,63469
3127,163
859,26375
6441,63486
13091,435
1868,52272
7761,435
7220,1674
8495,40085
36,58874
2592,156
27058,156
26935,156
18108,163
3370,16705
1844,44995
1644,4593
588,2707
1374,35597
3005,41404
3005,19510
7375,163
1454,44344
61227,135
299,14133
36,63694
3370,44161
4592,11463
6,13168
47657,135
4089,58640
8910,13284
32512,435
817,135
243,45431
321,35134
1724,25060
2349,63885
321,21937
1868,19265
6,6386
114,1674
52035,599
3370,34132
59719,156
14195,58048
28861,435
10442,860
2625,25301
43326,163
1844,34497
8272,10359
598,435
1953,2839
2366,64054
22810,156
615,860
904,28794
26043,156
1722,156
57197,163
49979,435
24535,163
6,15072
6375,2338
859,19352
14517,599
1627,48119
16598,435
3538,29474
3813,56572
270,23206
1092,64360
32110,435
8495,14618
1627,14011
10192,7367
270,20742
2158,23275
351,35028
32415,156
24405,156
64406,435
36,29116
38789,435
1245,163
6375,1964
18651,609
859,34299
6,55401
2780,435
7178,163
1627,24693
192,712
45198,860
859,12516
2862,435
36,37823
64679,435
36,18261
751,64704
4767,18366
41764,435
4767,17953
321,10081
7905,38196
33893,435
56423,435
8310,31551
565,564
2079,3930
42856,435
8672,26043
8297,7425
18419,435
34315,435
30653,163
321,10470
250,35080
6968,435
46874,1674
1844,57769
13926,352
8495,9769
889,19360
17071,435
17007,135
8687,435
819,65017
7832,435
37542,156
35696,609
5997,2542
40345,156
57504,135
61118,435
48,156
3870,5040
28871,163
3370,28513
4767,35630
8910,36746
5637,135
904,21236
41169,156
7452,1674
10183,163
36,65152
27412,435
1868,930
5228,1674
26051,2796
904,250
3538,39652
4202,135
1953,2255
33794,1674
270,65382
2145,54116
588,65455
351,352
7557,156
1016,4147
3930,156
321,48404
36,50772
5094,163
6,31787
979,1674
42144,156
751,11463
1627,611
844,7219
15050,599
13461,156
1016,12278
3534,65760
270,57462
14319,4593
36685,135
4767,64299
4819,435
17839,435
41305,435
6375,57410
41120,609
21756,435
588,49448
2145,780
3005,33626
15962,5954
1844,43690
30827,4593
18820,156
36,9376
1966,44832
1966,65954
192,37148
321,15781
659,1372
819,21655
0,1674
13627,1674
41036,435
24857,163
39438,163
39504,35296
8614,3421
8601,27309
37353,156
250,25140
8952,66094
42314,435
2544,435
45344,135
3738,64435
47399,163
17994,163
2625,66159
42,1674
751,1674
299,62662
321,66183
66184,435
90,192
19284,435
819,12705
20585,435
40345,435
26370,599
38503,435
270,21899
36,66236
17,66243
62818,435
588,6103
484,14020
37958,163
8910,56027
2492,435
3870,14388
6788,15585
6,66327
11110,435
2708,2083
29443,599
22206,3421
1627,37471
23270,156
3675,156
3813,52001
20079,435
29518,156
859,35103
1627,20898
36,66520
14319,13578
1050,19918
1092,23657
66544,435
484,12258
1724,3090
2307,23464
9755,435
11710,163
22201,163
11197,135
17,66594
243,21527
48,8993
20859,156
20592,435
55732,163
23939,1674
1016,30273
13775,163
479,63197
3738,66696
3370,8711
26370,8993
192,7144
36,65659
22651,435
2424,66772
4089,34778
588,62908
16136,1674
6,3669
6,22612
45831,435
3675,435
192,66840
1868,37790
23428,435
36,63465
27324,156
114,66899
1953,7989
8310,24121
63115,163
1844,56218
30205,163
3870,25203
18698,62169
15962,74
7445,163
321,2078
588,13110
1966,7776
3870,61216
5997,2416
17001,435
67145,435
5200,156
588,24390
3870,6325
1050,65414
36,50582
9738,435
3726,65703
10976,435
27214,609
2063,9915
17646,156
6,7223
12051,435
1627,1626
7759,599
31631,435
7957,63693
31042,4365
19284,156
3324,435
321,8154
6,19775
4491,1674
460,435
2932,163
16328,39304
4047,64933
8297,441
18878,435
978,29411
36,44045
36065,156
2158,23160
41764,599
65265,135
3897,67428
243,55995
819,24352
904,1399
43305,135
8888,156
37907,435
1724,30273
7695,156
3538,67030
1627,36009
3475,135
7815,135
6,25515
3538,67516
35027,35028
1966,37448
35174,435
404,67565
717,9755
321,64774
859,3489
1966,60727
16337,156
67603,156
1966,25863
3340,135
36323,163
24672,435
3455,435
7135,7134
859,11822
8495,30028
905,250
6,22351
321,67650
7557,29938
36,51190
6872,156
5310,163
6181,156
588,42509
466,17970
7142,156
5466,163
8743,435
4797,156
779,4593
904,16672
1016,42819
2493,163
36,7114
30546,435
14843,156
4089,36725
4047,26043
866,31468
270,35167
779,22482
1016,11505
42,156
3579,1674
19920,1674
914,1674
1724,7776
53867,163
3689,1987
28925,4593
20226,163
250,67944
1724,54130
410,156
40978,435
819,10044
4775,156
31515,435
5017,1674
8952,435
866,11781
33677,435
8672,54130
28678,435
34374,135
31618,163
2796,27987
1016,4561
466,332
1627,19623
39866,609
19553,435
2079,59663
23595,435
12719,435
18312,435
37817,163
1966,6481
14704,435
819,30463
36,30792
80,68190
1016,37533
250,68219
21276,163
68228,163
712,156
270,192
17,14956
37280,599
74,2262
22056,435
2349,48594
321,68304
321,25650
321,21962
321,19783
4196,560
700,8882
3538,53275
23745,163
36786,435
250,23960
36,68410
42254,435
5473,163
46492,163
904,6346
47542,435
1216,163
4047,8711
321,10529
466,135
8910,27309
9816,163
3370,6325
5997,23845
9084,435
250,7242
36,68540
3585,156
905,36735
243,68555
917,19019
9414,1674
2417,68574
56423,599
351,35080
8601,732
819,3869
1016,712
23726,599
36,9772
494,31637
844,16193
8601,19360
243,7495
466,3195
779,163
9365,33737
41981,435
16328,14930
1627,353
904,12705
25200,435
34971,156
23960,599
3726,17304
659,32002
33552,599
54062,4593
36,68815
58909,435
1944,35173
859,63391
2592,435
7303,156
3538,849
2078,2176
1098,609
353,435
8601,7123
7001,7249
1627,36965
