personleadsorganization_inv_1,personleadsorganization_inv_2
20393,20392
7177,29082
16480,16479
48795,50645
6060,3588
1136,32134
1535,39319
12185,12184
11663,12473
42337,42336
672,835
14025,3603
1535,5860
2364,2363
32565,32566
1535,12638
3328,52026
7251,835
13886,50749
31781,33586
26089,34880
1835,35346
4397,4396
43151,2589
21326,21327
13495,53155
26157,47650
319,52821
16937,9575
35664,35663
133,2005
4105,23737
20112,20111
114,20385
52803,18709
41361,54746
2498,49012
36,55121
6547,2870
3623,7016
24653,20392
7422,7421
12889,12888
43569,43568
30919,30918
31307,311
1884,3588
14785,2589
2772,41698
2231,2230
2368,11752
19408,19407
37171,37172
4824,4825
42679,36898
1535,15590
5588,34864
3328,56888
13045,44171
54981,54982
15635,835
859,5428
22361,22360
2772,45462
11477,14417
4445,19259
3880,39513
599,58190
47083,44335
14641,54773
3006,778
27640,6752
2205,2589
7530,19527
44760,3995
57043,39134
20670,2804
1657,19125
474,473
2772,15433
15500,15499
7037,17653
15829,15828
2772,10464
46266,46267
18861,18860
27980,27981
3065,3064
14244,49534
28926,28927
8044,44171
9329,9330
9239,12473
25608,36674
133,60409
6431,52767
25873,25874
60606,42775
32178,2927
10967,10968
61058,2589
2368,2367
8821,19527
60018,29866
8736,52889
55047,835
49169,49170
24586,19508
22366,2132
949,61368
1628,835
22960,22959
37192,14417
14330,31055
18567,15091
20827,46981
61668,2597
4146,835
26157,61761
26807,4057
5172,20051
11477,2589
5350,2589
14133,7016
2772,23958
26731,26730
17508,12970
62182,2589
309,14417
48124,2589
44168,5807
756,4934
9667,835
4680,40993
10798,10799
15717,34880
33281,33282
21286,3588
22718,7743
1427,1428
14538,2537
5609,5608
7303,835
1535,41698
22057,2589
43917,14527
5597,2589
14270,14269
3006,15429
63360,2589
5505,13694
28191,28190
21633,835
32073,32072
54827,54826
13495,16117
29722,29723
5754,14417
35077,8927
11078,11077
6365,835
43446,32850
14912,64249
25322,19544
842,10337
25951,2589
61433,61383
741,2589
24774,31608
14647,14646
18342,2804
32527,32528
1148,1147
11959,8891
3034,3588
11525,11524
85,12473
4218,4217
40444,47907
4280,31055
11689,11688
14641,65393
1136,8801
741,14421
14821,30684
14570,14569
15810,33666
66035,835
40866,23768
3632,3633
6796,101
48343,48342
49682,49683
19794,13666
50942,25975
1860,311
42994,60766
2772,12638
10151,10150
50798,52332
30432,31249
8004,8005
1369,17059
5029,35808
57041,57042
4809,13234
13410,3792
26127,17576
29078,30554
4703,4704
27126,20909
6760,6761
54918,3995
599,14771
67268,2589
4050,2552
31290,31291
65365,6608
48795,48794
293,35281
67697,2589
1535,15310
51530,51529
7756,47291
5593,7866
1657,35986
60161,60162
2626,27249
13045,13241
30038,835
35120,3588
18942,27323
27848,11461
35759,3792
61626,26215
8821,32814
27816,25225
37691,13209
95,34864
7111,3630
25615,59846
2772,9575
5609,46080
24561,42019
1275,44311
43328,14771
26157,26156
6660,14417
985,35986
2396,2983
756,311
7506,7505
25383,835
37579,37578
9756,2927
8044,13241
2063,56790
10807,11996
30747,2589
69246,35571
69471,23737
47220,46630
8495,64075
11078,21626
486,54317
18432,12382
9273,9272
69785,3588
15341,15340
1535,47916
1535,56323
69880,2589
19332,4326
1321,47062
17341,13666
47210,34880
36,16561
2772,14026
1884,30554
14641,29689
18218,18217
11667,4704
4577,8267
14336,14335
1535,54008
2772,54008
70349,42589
32884,9242
859,5762
6500,8820
14394,2870
9402,9403
42569,21355
1860,43594
24101,24100
28109,19970
7791,70060
12686,12687
1098,15217
4105,13602
4838,16140
69107,3708
33156,49803
46130,835
4232,4231
28203,44608
54950,54949
8323,312
27640,27641
1274,15968
3228,2641
26750,1799
95,39784
32178,32746
31974,31975
40946,40947
4445,1313
26884,3588
15260,19527
281,37271
6272,61035
2063,2062
95,10019
11849,11848
59982,26716
4739,4740
1860,53031
66703,835
6060,2589
10480,2589
12686,57429
3549,3146
53918,2589
26007,2589
4232,3704
4429,6790
59978,59977
29739,29738
67236,53740
4603,23929
3017,51431
2202,29265
4680,42524
9501,24203
72614,2589
8494,8493
4193,51316
9245,13602
25615,26297
22960,2589
8036,60233
4451,4450
12040,22067
9756,32746
6888,6889
23234,23233
1535,15322
72937,32339
8392,52246
3051,10736
7627,67854
5943,2610
28308,28307
8586,8587
49380,49379
2772,72525
1535,15433
2830,6941
3602,40789
45826,42300
24856,12484
1063,11760
73255,3146
14666,35148
1535,69440
18630,18631
33948,835
7627,33666
14200,52118
21773,21774
73686,11775
28511,28512
12461,15556
20043,42981
7645,7644
5423,5424
35755,48458
26839,26838
688,689
10982,12473
18845,36781
2772,15310
13364,814
11477,6608
7270,7269
26884,27323
23453,15997
32628,32627
6708,21480
46835,835
1098,21049
1445,9403
48710,48711
4168,21355
27738,2210
133,1799
2231,23770
44809,44808
33624,44566
40324,21388
17508,5411
17681,17680
23475,23474
756,33932
41426,41427
13364,28710
12552,11818
23521,22946
16690,20408
18586,2727
6060,14417
7791,65489
26655,11548
1275,1789
7410,7409
18141,835
26280,835
33156,46754
36699,61104
14538,26740
7200,47385
4947,4946
37061,28558
3970,1920
2871,2870
24349,835
51504,10913
10297,62717
34606,34605
17706,17707
34105,34104
698,697
50337,10200
7177,11775
21286,6608
1632,13428
197,196
9552,3146
33251,2597
7263,7262
16141,2589
32371,9272
8979,16936
32612,29159
1535,19415
36511,36510
17453,17452
5808,5807
4813,4812
21187,18516
15649,15650
1275,36487
2842,30109
7756,23474
4187,10950
1535,73991
6386,52760
3147,3146
22960,3146
6517,17422
52869,2589
13937,20725
12346,12347
62759,9575
5808,15715
19744,2804
29426,29425
19134,835
14025,12675
62039,9575
27687,1229
19134,6608
18238,16140
35214,39825
56007,2589
6500,32814
20892,24238
319,14421
30432,52707
20454,835
7791,48786
45554,45553
35077,18709
1098,5969
17885,835
10786,10787
14583,59738
914,68551
2170,2210
41361,19527
29668,29669
12141,12142
861,3588
25608,25253
1535,45462
19812,20471
22048,22047
5505,5504
8495,48892
21187,6087
1761,1760
37002,57494
9789,9788
842,75406
22434,30825
29070,29071
4114,3633
6441,897
24586,15180
2772,53456
32650,32649
3147,2589
11086,11087
7098,3630
3006,9230
2498,29909
1535,53456
75303,2589
26619,835
17507,22161
625,44720
15981,23737
2842,51160
40549,40548
6500,54746
614,663
17164,17163
17899,18136
13364,6513
42089,42090
2498,2497
2075,4186
27165,27166
8508,8509
2772,11275
30042,301
21003,44335
10234,22824
14716,31975
7032,3588
12909,12908
1275,45352
