teamplaysinleague_1,teamplaysinleague_2
24762,105
9372,105
39811,677
20074,105
43640,105
43843,105
8532,257
43873,105
44008,677
23286,105
44194,105
39489,105
10159,1001
9598,1001
16296,105
20411,105
18754,105
18373,105
17663,105
44717,677
32672,105
44866,105
21687,105
29631,105
44985,105
44298,105
9373,105
14491,105
5352,1001
195,604
3837,105
100,257
45534,105
45616,105
422,604
45707,105
6088,1782
45856,105
45973,105
22914,105
1047,677
46109,677
34485,105
562,257
16220,604
39381,105
15490,105
24012,105
46671,105
7189,677
10060,1001
46960,677
22995,105
12315,105
47063,677
47085,677
16250,1001
33417,105
10024,105
28673,105
47321,105
26164,105
47394,105
15350,1782
25505,105
674,105
47590,677
32035,105
47663,105
47697,677
36075,105
6006,105
487,257
42297,105
21746,105
19604,105
7331,105
11132,105
31593,105
10434,1001
11950,1782
48465,105
20412,105
31080,105
69,342
26667,105
48558,342
27516,105
1350,105
4183,342
8366,1001
8938,105
28636,105
28637,105
41444,105
32934,677
49423,105
21294,105
11304,105
49692,105
4705,105
36467,105
49893,105
28153,342
49977,105
49982,105
33982,1001
37818,105
2702,604
50237,105
30292,105
50596,105
27656,105
50602,105
11127,677
3314,342
9371,105
30663,105
50743,677
2007,1001
50846,677
27449,105
48327,677
11985,105
14991,105
51361,677
168,604
38224,677
7319,1001
39420,105
27064,105
21876,105
87,257
7068,257
51869,105
882,257
5920,257
501,1001
51649,105
14689,105
37815,105
33597,105
52434,604
52469,677
1081,604
10797,105
22720,105
9577,105
37055,52922
7361,105
35681,105
18255,105
53197,105
27234,105
53266,105
36170,105
11213,105
53299,105
53338,105
53362,105
53519,105
34054,105
2649,105
48429,105
22739,105
31285,105
3945,342
1604,1001
54134,105
54182,105
57,1001
28019,105
18249,5179
54516,1001
52435,105
7555,604
54638,105
54724,105
28123,105
54840,105
51307,105
41044,342
792,105
17409,257
21486,105
55191,105
5576,677
45617,677
1987,105
12379,677
21689,105
39370,105
55710,105
50026,257
55870,105
55900,677
24834,105
56045,105
99,257
50933,105
42162,105
56192,105
56205,105
56215,105
45394,677
53766,105
30560,105
52131,105
54816,105
21303,105
4730,5179
9725,105
31059,105
4853,1001
4783,105
41759,105
13920,105
6385,105
38729,105
21583,105
31216,105
44649,105
57224,105
34337,105
57302,677
49248,105
12788,105
5361,2986
53244,677
57513,105
25072,105
4123,1001
57622,105
45455,105
51659,105
35667,20220
32554,105
29612,105
30123,2620
43254,105
14983,342
32190,105
25167,105
19429,105
58241,105
13094,105
13639,105
31137,105
20788,105
1011,1001
13956,604
50865,105
38579,105
16611,105
28031,105
58828,677
5166,105
44423,105
28051,105
28618,105
27297,105
59104,677
54417,105
59178,677
12868,105
59249,677
9769,1001
59344,105
3873,105
46906,105
10906,677
54353,105
9915,1001
59751,105
59760,677
41956,105
19721,105
59816,677
39156,105
24993,105
48527,677
59862,677
12031,105
25112,105
10376,105
56665,105
38893,677
60116,105
60174,105
21926,105
2694,1001
60205,105
15514,105
60276,105
1439,1001
60322,677
38825,105
12088,105
60382,5179
56250,105
60524,677
1248,1001
10958,105
9804,1782
4661,342
9623,105
29940,105
49719,677
57294,105
22968,105
38930,105
48583,105
51623,105
41567,105
60996,677
23223,105
61036,105
7039,257
11157,677
15752,677
49619,105
56109,105
32411,677
61228,105
4787,604
38326,105
54300,105
61287,33815
379,342
42135,105
21877,677
43364,105
4926,342
57929,105
326,257
41415,105
53174,257
59669,105
39150,105
44400,105
10978,1001
51078,105
24911,105
61873,677
47691,105
46995,1001
10621,105
13798,105
19914,105
55436,105
21342,105
3460,105
2286,604
32087,105
61871,105
41277,677
36672,105
26448,677
22977,105
19461,105
13287,105
62738,105
28380,105
13298,604
12115,1001
55853,105
31947,105
3478,105
3360,604
2139,342
3393,257
12494,105
63107,105
5513,105
63127,105
49577,105
21220,105
5819,677
4097,105
1004,1001
63300,677
63345,105
63348,105
3293,257
63386,105
53875,105
15814,105
15240,105
551,342
36758,105
15902,105
31014,105
26997,2986
5636,105
52976,105
13555,105
34902,105
55849,105
5219,105
28235,105
21171,105
26058,105
64113,105
64116,105
64178,105
63308,105
60898,105
51478,105
34387,105
31190,677
50628,105
50081,105
64484,105
22488,105
44742,105
19143,105
7804,105
33170,105
5898,105
49851,105
64730,105
21473,105
64795,677
64798,105
5340,342
6305,105
17815,105
30113,105
55335,105
64564,105
59710,677
59726,105
8635,105
4870,105
33853,105
16716,105
38834,105
2247,604
61752,105
11231,105
8486,604
41296,105
126,1001
65285,677
29544,105
3854,1001
42937,105
2004,257
4048,257
25247,105
13400,105
6913,105
58987,677
10331,20220
22731,604
65992,677
7742,105
54851,677
1633,1001
1912,105
66086,257
66091,677
13163,105
2640,20220
61908,105
66145,677
19958,105
21762,604
8209,105
8204,1001
61210,677
41308,105
28184,105
281,342
34088,105
1250,342
39876,105
40529,105
63952,677
14735,677
14694,105
66891,105
5018,105
66974,105
51617,105
67007,677
67044,105
66972,105
67098,105
50502,677
10509,105
6563,604
16856,105
15906,105
49661,105
297,105
67226,677
16279,105
62213,105
32084,105
50183,105
24745,105
67317,105
56308,105
41795,105
500,1001
4662,1001
33547,105
61755,105
50487,105
66567,105
3821,1001
62,1001
67714,677
350,257
25151,105
20097,105
36419,105
46376,1782
10821,105
42683,105
65074,105
67829,105
3745,342
25523,105
28822,105
13613,105
40846,105
59526,5179
62825,677
16727,105
48441,105
40352,105
43790,105
55714,105
9153,105
68093,677
32224,604
48395,677
6348,1001
2836,105
31019,105
26904,105
68236,677
54631,105
46915,677
42601,105
37953,105
18635,105
42938,105
23457,105
2341,342
28577,105
63254,677
8378,105
40130,105
2483,105
446,257
35809,105
45763,105
33746,105
5123,105
4148,1001
14877,105
16798,677
56943,105
25078,677
19294,677
25088,105
50323,677
6139,105
22625,105
38314,105
49449,105
2130,105
5180,5179
40871,105
33981,105
20672,105
67127,105
28324,105
61180,677
67823,677
45237,105
62131,677
69472,105
34341,105
17804,677
6201,105
17670,342
934,105
30122,2620
17986,342
61581,105
69848,105
44737,105
54673,105
10556,677
434,105
54477,105
17579,342
45202,677
64345,105
41842,105
11729,1001
39295,105
60501,105
36793,105
4899,105
70182,677
12248,1001
5182,33815
42755,677
18198,105
6222,105
5328,677
70285,677
10922,342
21448,677
52104,677
65741,105
47736,105
18132,105
30323,105
70511,677
29721,105
47188,105
7289,105
11511,105
70685,105
690,342
3383,257
48839,342
15319,105
70763,677
36515,105
51027,105
46023,105
32989,105
37391,105
6458,105
45291,677
70863,1001
20440,105
70937,105
46129,105
552,342
71092,105
28012,105
20258,1001
57770,105
38126,105
71299,677
11109,257
68550,105
50988,105
53356,105
63280,105
3214,105
3665,342
11887,105
2338,604
69470,677
71572,105
27915,677
21273,105
14180,105
50709,105
37957,105
54188,105
5767,604
1284,257
17344,105
16369,105
8520,677
57748,105
5465,677
20784,677
6858,105
12313,105
28992,105
30613,105
13363,342
71945,105
51682,105
23285,105
72023,105
1913,342
3746,1001
24756,105
50613,105
41158,105
61284,105
51113,105
29675,105
62553,677
1102,342
31887,105
34463,105
13448,105
1530,105
21673,105
59957,105
69135,105
39071,105
71085,105
11448,105
52486,677
33126,105
12437,5179
22435,105
25007,677
25529,105
4956,105
72529,677
27835,105
39378,105
26460,105
59614,105
17503,105
27302,105
16358,105
4422,105
15817,105
10264,105
50187,105
49100,105
42772,5179
10596,105
56009,105
30033,105
20319,105
14250,105
68,342
64960,5179
2116,105
8148,677
31538,105
8025,257
7969,105
19432,105
54962,677
42941,105
7944,105
27672,105
59645,105
21030,677
72991,677
2427,604
12773,105
58739,105
24280,105
35340,105
51277,105
13029,604
28740,105
12957,105
34665,604
3010,105
72407,677
447,257
8689,1782
50784,105
1992,20220
2728,105
15281,105
73389,677
12837,105
28368,105
35562,105
65683,1782
25858,105
20791,1782
392,42476
69629,105
28518,105
73480,677
2556,1782
14992,105
33256,105
11847,342
8896,105
8936,677
68108,105
31560,105
73593,105
42939,105
41060,677
10775,1001
70929,105
29061,105
32618,105
67386,105
14845,105
65661,677
21435,105
58730,105
33736,677
24655,105
421,604
2680,105
13353,105
32011,105
56,1001
25496,677
57588,105
9822,604
45119,677
39266,105
22473,1782
30644,105
6744,604
687,604
55852,105
51702,105
7048,105
57853,105
449,257
22411,257
71757,105
4679,105
486,257
72236,105
59006,677
9558,105
22970,677
19592,105
67380,677
19696,257
50753,105
16245,105
74160,105
35530,257
17989,105
411,677
17209,105
73197,105
4867,105
52849,105
53947,105
28608,20220
41619,105
879,105
24128,677
106,105
21181,257
20983,105
35735,257
46877,105
5456,105
74468,105
3276,105
64581,105
31341,105
26320,105
31774,677
48212,105
51691,105
4854,1001
3893,257
18778,105
41877,677
74063,677
5805,105
4418,1001
69388,105
4848,1001
19194,677
74654,677
58177,677
282,342
36535,105
51352,105
54961,105
971,342
36578,677
686,257
21156,105
74145,105
72049,677
1086,18151
18544,677
3188,1001
2440,105
35,342
73247,677
5221,105
30299,105
4444,105
64784,105
41249,105
11123,105
27635,677
38161,105
21027,105
48216,105
43755,604
26258,105
60596,677
8699,105
30169,677
74919,105
26456,105
38300,105
27174,105
74964,677
39795,105
41223,105
39912,105
7563,105
32620,105
22723,105
72502,342
8222,1001
74308,677
16025,677
61256,105
37165,105
70119,105
57332,105
46938,105
28742,105
18015,105
2209,604
25625,677
14312,105
28732,105
12672,105
4659,257
7920,105
49410,105
55566,105
7812,1001
51037,105
4291,257
10591,105
7486,1001
3567,42476
75190,677
34996,105
33323,677
26259,677
16339,105
56999,105
1819,105
73640,105
2476,257
14296,677
73931,1001
64660,1782
54617,677
1914,342
6793,105
4064,105
52520,105
9118,18151
24019,105
60256,677
55976,677
20763,677
14201,105
1807,342
73240,105
1669,105
10759,342
29555,677
20775,677
50677,105
12839,1001
25798,105
61674,342
47753,105
30183,105
264,20220
1260,105
68346,105
34,604
24397,105
17305,105
53473,105
5181,604
31733,105
38082,105
16162,257
58473,105
6816,105
7881,677
24562,105
53900,677
4383,105
20906,677
27762,105
5002,604
27331,105
113,342
14248,105
3512,1001
71448,677
2703,604
2973,1001
46242,105
39160,105
15020,105
20152,105
68180,105
5481,677
43932,105
26604,105
26430,105
52841,105
75227,105
54351,105
13840,677
34479,105
75291,105
75413,105
24488,105
60850,105
65153,105
59986,105
5044,1001
38818,105
54454,105
17078,105
50281,105
4807,105
50622,105
22585,105
1283,105
63088,105
3439,105
21669,105
46853,105
3772,342
71203,105
22126,677
25424,105
24794,105
51531,105
75222,677
34991,105
67718,105
1988,1001
19166,105
43857,105
63642,20220
56664,105
3070,105
61192,105
47272,2986
3103,105
35510,105
19054,604
3900,604
58071,105
25521,105
41382,105
25484,105
33058,105
13516,105
9218,105
49510,105
34617,105
