agentcompeteswithagent_inv_1,agentcompeteswithagent_inv_2
354,675
26997,791
1275,60646
22767,6810
27430,1512
3144,2825
7988,6810
21900,791
2825,15118
11478,25159
40807,3311
107,4306
54825,1512
13152,2304
895,58390
784,46352
1337,1336
52777,4284
17385,1275
377,895
33016,895
57925,895
1512,4911
61423,895
13925,107
26837,26836
46352,784
1275,7177
2415,43415
13267,1512
23256,895
1337,982
43475,1512
10954,1216
11927,7821
15213,791
1512,11347
27,7783
1512,16664
50435,895
1805,1386
62027,1512
1386,1805
27,34167
14823,1512
9353,2178
2900,1041
27988,895
19457,1512
2287,28093
20630,20157
62348,1275
10280,895
27,7669
5083,895
572,587
824,933
2400,2399
1275,27859
8647,791
2399,19431
60225,895
2089,2277
633,2304
784,50029
4867,791
4284,17246
1373,791
2825,50111
824,62921
11927,31755
24063,895
895,2390
11430,1512
3082,299
1512,25131
2415,43417
895,17916
572,24863
2415,11788
2399,32664
37523,6060
41697,895
21875,895
2399,40162
824,32057
4284,2269
107,26163
7037,27988
904,791
486,45196
7778,11927
2825,15529
50365,2665
19461,791
895,24171
824,29637
895,26829
20643,895
895,64052
4158,895
895,44887
895,26197
1512,572
1275,37512
4284,22425
5677,895
64052,895
4284,23554
4284,35302
824,15509
4284,6248
4267,1805
18830,895
8472,8471
895,23256
6248,64892
1116,3893
27150,2437
824,39049
31378,2064
1216,824
1805,5032
8180,20564
24168,1512
54723,895
895,14878
8113,1512
1512,61423
35989,16097
27,6463
45114,791
572,250
1512,26398
895,60658
1512,62027
1523,1512
59808,2205
42002,1512
66067,895
20564,8180
284,789
1116,1597
2437,1805
1597,4048
8812,895
2064,63446
8748,25425
895,29303
784,66622
9353,895
27859,1275
22539,895
16152,250
44743,1512
2362,22767
27973,895
7730,66943
1597,99
11927,28093
895,40360
1512,5268
9344,895
4284,9871
4284,741
1274,1512
56591,8204
4284,29262
1962,895
1275,1274
30186,31282
20564,20564
9452,1512
1805,8147
2415,3319
19408,45885
4284,16945
1597,486
11428,40738
1512,1523
107,16222
12031,791
48860,48859
824,11874
4284,9075
9511,895
1805,6718
10954,67676
572,3795
1512,1274
12877,27386
9524,675
4774,486
56591,7115
895,37256
56226,791
4284,56890
3669,6927
1512,30730
895,67975
49964,49964
784,53096
1275,9452
1275,42638
1805,2437
321,791
3702,791
2075,895
2157,895
824,1216
10467,791
1512,68407
10908,1275
4284,3350
28174,1512
895,27595
27,5486
6302,895
16801,895
895,5083
9752,791
1512,9511
1512,24168
7077,26442
1512,26061
16644,789
31528,2665
7176,1512
6826,895
1805,15396
895,4253
48755,4284
22767,2362
1434,895
48860,50702
22767,871
1844,791
20168,5129
65552,895
25131,1512
172,3393
13040,1512
69584,1512
31551,6698
1337,26442
22767,3730
895,19997
69815,1512
9470,39431
26651,895
45117,4284
1275,10908
15672,10278
11430,1275
107,23571
20951,20950
2064,1988
41506,895
824,4650
4942,4943
11347,1275
12295,10954
895,37512
17407,2173
895,9353
1512,11430
107,13925
27,1976
895,32017
824,50033
1698,1512
3451,250
26398,1512
60925,1512
52045,1512
21850,895
3310,37512
13021,4943
1966,791
52993,3311
4942,1512
19413,1512
48625,4284
1512,8113
1512,47535
7821,4284
1512,9435
1275,54
5872,895
2287,895
66477,66476
107,41541
1512,4942
895,39380
44711,895
1631,895
37512,1275
33178,791
1512,60225
1275,11347
71353,1512
4374,1512
2277,2178
107,68103
8113,4943
28093,32719
44012,895
60646,1275
107,11543
40898,1275
1512,46346
824,71077
3693,895
895,46352
10954,2665
2089,1512
2694,13027
895,2157
63770,895
3669,3795
14222,1275
19923,675
22402,791
26197,895
353,791
895,41792
1512,10908
1512,19379
35302,895
23024,1512
14342,971
784,2586
1512,17498
37512,895
11615,486
2415,2531
784,47646
977,4284
3567,8025
895,30852
16917,2665
20157,25425
633,3795
895,24063
38319,895
3837,791
895,45804
1512,13040
20113,895
4343,895
1512,68055
895,67685
54,1512
1216,10954
17916,895
895,24802
3393,172
1337,35146
4253,895
844,791
4284,52777
4943,1274
72684,2205
30850,895
824,27871
4284,51494
1512,42270
3730,32017
107,68561
72232,2665
1806,1805
30267,1512
72861,895
36063,675
26829,895
824,12239
1512,6635
27,784
784,60794
6248,11928
1512,31142
4284,52045
46346,1512
1512,65749
895,48135
2825,51722
27859,895
1016,791
895,895
4285,4284
4284,1138
824,40957
4284,7143
4943,8113
17799,107
2269,71377
10425,19345
41267,895
32719,28093
37256,895
9470,61817
1275,38662
895,1833
3451,56773
1275,25659
486,11615
2064,31551
4284,38189
9832,617
16664,1512
67685,895
824,26824
63605,10954
11062,26975
895,18651
15396,1805
4284,8812
1512,1873
1512,50177
9260,791
37512,4686
895,9344
6248,1512
1512,39623
6060,1512
47535,1512
1805,5138
10866,791
23995,1512
13152,617
11927,1157
4284,30088
784,19431
1138,895
784,1081
29361,895
45196,486
51960,1512
3082,40738
3346,10954
2277,2089
18180,895
30852,895
1512,17447
11928,6248
60658,895
1160,10926
68407,1512
5067,895
2825,61817
74240,895
107,16371
791,1373
22425,4284
3539,500
2825,41541
895,5346
16417,895
1873,1512
4943,4942
107,62407
37181,10954
895,38204
27988,7037
8025,8025
17473,10954
13766,8748
1805,10953
48163,791
9724,791
8147,1805
572,40738
3893,3893
1347,675
1337,784
13320,895
8180,8181
9490,895
4284,2205
74532,895
27707,3360
13152,250
1157,11927
895,5872
2064,48780
2825,21735
32719,5129
1512,32081
4324,2825
17385,23100
1546,8181
1512,10480
19601,19601
17447,1512
60755,4284
107,49196
1805,4267
33955,4284
895,2010
3082,25425
4284,3621
859,791
47127,47127
8148,791
895,14429
1512,66436
35442,895
4284,3033
2390,895
719,1805
895,28719
14674,895
107,23941
60387,3311
28093,11927
107,19575
47326,895
572,1512
2252,1512
5346,1512
19195,107
31142,1512
20950,20951
13772,4284
895,896
39990,895
1275,62348
19379,1512
895,1631
572,632
4284,1546
895,1072
11927,20168
895,33169
486,34988
12295,14586
2415,28119
1512,13021
895,59734
39431,9470
6536,3795
66436,1512
895,72861
4774,40162
19900,895
33729,895
27,29492
20260,500
5242,791
32707,895
824,47452
2825,75044
40162,2399
895,1275
1427,1275
895,18830
38189,1512
34988,486
1275,52045
21448,58295
3959,895
895,6704
1275,2202
895,21850
1275,40898
68055,1512
824,4543
3152,40738
895,65552
5737,895
824,39884
107,50111
971,784
895,40858
10954,17473
38557,2665
64279,895
1041,107
895,10878
3152,544
4006,4284
10954,12295
500,3539
39623,3311
1805,2436
1512,40898
43303,895
8748,250
500,25431
4284,49208
1597,350
6042,2665
66476,66477
824,26606
28782,250
791,791
17385,11430
11927,45628
784,1546
10954,32670
14006,895
895,13320
54,1275
23733,1512
784,30603
896,895
3567,3567
4284,23108
1512,25659
302,791
1275,37095
3152,299
824,44660
824,48975
895,37986
4284,27859
895,4686
65749,1512
958,6190
31074,895
1512,13162
1512,56306
11954,791
11214,25939
824,34625
68561,107
107,7467
107,74485
73424,791
824,20814
4284,60755
4284,45117
73144,895
4284,3838
38662,1275
2178,9353
340,914
3451,22092
1805,720
4284,7821
958,36408
895,31074
895,16801
17535,17535
1183,791
107,107
3969,895
2415,2746
63755,895
32719,32720
32720,4284
4047,791
486,172
1543,791
73144,37512
45804,895
46352,895
1275,1427
895,14006
4943,13021
2825,3144
25245,895
17269,1512
19575,784
