drugworkedonbyagent_1,drugworkedonbyagent_2
42401,42400
39889,39888
61780,20010
67851,3338
18598,3338
39346,42400
71557,71558
52733,317
69022,69021
30503,317
25510,9951
17922,10087
38588,23521
19149,3338
36138,36137
3337,1216
38324,8417
8003,8002
10240,317
47958,3338
71888,37009
8568,10251
29066,13326
61547,39965
36382,10087
17125,3338
12300,317
18613,25141
3337,19150
29639,317
58166,58165
14990,13326
72606,72605
72753,317
65124,20010
6989,6988
72903,14891
55364,22074
48328,10087
58309,13326
60558,33262
13173,55949
27526,8575
20851,8002
65182,6622
41242,13326
40647,16652
40332,11578
46225,31762
68498,33898
49642,6622
4969,13326
52489,52488
26382,8417
57691,2521
40940,13326
29789,1546
57528,28521
12209,25141
69874,69873
27383,8417
58762,68122
29936,8417
13237,10251
42461,53325
35814,10251
14818,10251
71241,45045
35779,35778
34198,9951
62433,954
56414,45103
31241,74065
23506,6622
45046,45045
35313,13326
60572,2521
74133,74132
51244,10251
74447,74448
52363,68129
49573,28536
6531,3338
71778,45103
33504,3338
66420,45103
23506,23505
74643,10251
13214,8002
13445,8575
55369,33262
31621,317
28731,3338
74762,10251
65484,28536
33148,33147
23031,17921
46720,19769
59733,6622
51145,8417
37548,2521
33504,33503
42538,20010
20513,6622
70690,70689
33129,11578
31241,13326
14976,10087
24363,33503
20196,17921
6623,6622
63909,3338
62982,8417
33504,13557
27600,22074
57839,33503
51893,14891
20873,35778
41939,29899
27661,317
40534,317
15092,21680
55873,3338
23101,28536
42294,22074
23344,45103
40332,39965
72956,72955
10461,8417
52489,63305
31143,2521
42538,69904
54721,39491
61049,6622
10175,317
38693,38692
66349,1216
16653,16652
36458,20010
42046,29739
48264,10251
29789,13557
36634,2521
34017,317
3098,63698
42294,42293
18550,69290
5999,8417
31866,25141
39889,11578
39610,21680
43979,317
51296,317
16266,16265
36966,2521
42647,13326
64878,64877
74190,169
41132,44354
47886,25141
13701,13326
28981,28980
57002,57001
53162,74507
20851,41808
