academicprogramatuniversity_in_1,academicprogramatuniversity_in_2
24934,24933
439,41054
2525,23925
41186,573
2525,41205
1694,573
439,41290
439,32303
439,5828
41704,41705
188,31832
188,41749
439,41771
188,28776
2525,30909
439,41836
439,41878
439,41930
29290,5829
439,41972
619,38636
2525,32982
439,33307
3252,23078
439,31255
16158,5334
439,42288
439,42390
439,42423
439,42440
188,3580
439,42710
188,5071
42843,10652
439,42897
14395,25730
439,43013
43027,10445
439,42313
43057,927
188,43115
619,43463
439,28586
35327,1594
43677,37719
188,26477
14275,573
439,4210
439,534
439,44002
439,44071
27411,1594
619,9615
17168,573
2525,32331
439,44647
1461,12801
439,44917
188,18228
439,44939
439,44972
8438,1594
3252,44204
439,19715
2525,11396
439,12322
439,25502
1751,2529
439,34753
439,45868
439,45980
188,22639
3252,10445
46084,46083
23172,1594
2525,17545
439,26143
439,46759
1751,4029
439,10114
439,28086
439,22309
188,5056
439,37897
9188,9187
188,44647
439,47471
439,22803
439,47482
439,37405
439,42230
188,47655
188,23330
439,10653
439,42823
439,48166
8438,573
439,41861
439,40652
439,44204
2525,1594
439,19260
439,48819
2525,927
439,29710
439,48962
439,47888
439,49037
439,49058
2525,4282
2525,49074
439,45252
439,49131
439,49166
439,49270
439,49389
439,49484
439,23526
47681,573
3252,3272
49764,5056
439,49881
188,6362
188,37722
188,33739
50264,11841
439,50266
188,5566
439,50391
50441,573
188,4029
439,50692
928,10652
439,2790
50864,927
50927,573
439,50980
13650,4029
13650,26495
439,28923
51426,16232
439,28574
439,51523
1751,31829
439,51612
439,35527
51707,51708
188,19626
439,23964
439,31277
439,52164
439,52270
52286,927
9770,17466
439,10652
2525,41972
439,52554
20750,573
439,52600
5326,1594
439,30061
1461,543
439,52704
439,41341
2525,52747
439,39657
14275,38636
188,9520
439,53001
439,53048
2525,53176
188,18303
439,27677
2525,26078
439,53460
25850,1594
3252,10652
439,53512
53660,573
47386,573
2525,7688
2525,543
19356,573
439,53912
2525,18303
188,54055
54100,5843
54127,573
2525,44454
54573,5056
188,54587
188,54652
188,54701
54710,927
619,41861
53037,5056
439,48369
439,54974
439,54983
188,49074
188,13838
439,20216
439,10682
439,35088
188,44204
439,54156
439,55292
439,15865
439,32331
2525,37527
439,55433
188,29442
188,53555
439,55490
188,23993
439,6362
439,31829
439,55612
36287,36286
2525,23330
2525,19324
439,19796
439,56160
17467,4029
439,39771
188,8428
16227,1902
56474,573
56485,573
11943,573
439,56586
2525,27631
2525,573
2525,46344
439,17092
439,35532
439,4134
31894,18535
188,23122
23602,33867
439,14975
439,57165
439,12268
9200,1594
57220,23122
3503,573
439,5334
439,57561
439,28351
32135,5056
17168,10652
439,57707
439,57720
2525,5829
439,57775
619,10431
439,12804
439,57854
17605,28776
439,57911
36555,573
57953,5056
439,54538
57986,13838
439,58083
2525,58104
439,14643
439,44454
439,28769
53037,11228
188,42288
439,54892
188,8372
2525,47424
2525,22803
2525,32943
439,58526
439,58586
188,26495
439,41302
439,58653
439,41097
439,23415
48153,5843
2525,58759
439,58777
439,58862
439,58931
16227,10652
439,31181
439,927
619,30107
19356,25580
439,24918
439,7308
52645,573
439,59411
439,59486
439,7688
619,25113
439,59597
5326,12801
439,19582
2525,25231
439,30984
12269,1594
439,59750
2525,24005
439,59979
439,60016
439,30306
3252,5829
188,23284
14509,543
439,60242
5326,5828
40889,573
439,39399
439,31893
23172,543
439,60401
439,60419
60466,927
439,60638
16227,10445
188,24540
439,60722
439,60723
11954,573
2525,15865
188,45829
439,60938
439,60947
439,60968
49961,5056
9770,11841
439,61057
439,18482
39748,9201
439,11011
1751,1902
439,48226
39023,4029
188,50698
188,1902
439,58301
439,10431
439,40173
2525,31832
188,25502
439,32946
439,32924
2525,51197
439,61928
188,14449
2525,62037
1751,23330
188,5829
439,22910
439,19833
439,6742
439,57902
439,16878
439,16232
439,62493
2525,10682
2525,10068
188,62606
439,32943
439,46501
188,31829
26174,573
439,23993
439,55428
439,63054
619,5566
439,63126
2525,63179
51192,573
11846,573
2525,43506
188,63202
439,50506
17467,17466
439,10370
188,29228
2525,40347
439,63435
439,5335
17532,16253
439,63584
439,58104
188,5306
439,25767
619,4029
619,39577
188,34753
439,43657
2525,5335
188,60938
439,64045
439,30107
188,48369
439,63432
439,2891
439,28906
439,45294
2525,12664
439,10801
2525,10653
439,54490
17168,21607
439,64461
188,34729
32135,573
439,10069
439,64544
619,64594
439,53005
439,56403
439,11319
2525,23078
2525,12356
439,64920
2525,11655
64980,9187
439,53579
439,45233
15402,65051
2525,13680
3252,573
439,25647
439,27444
619,35724
2525,48369
1461,573
439,3580
439,65340
439,58418
439,65459
439,65490
23602,1594
439,14683
439,39952
3252,5056
5880,1594
439,60998
439,16904
439,65787
17432,573
39748,1594
439,43941
439,48436
439,66080
439,52602
439,49364
439,62095
439,66216
439,26561
439,25229
5842,21607
188,4125
439,51403
439,47017
439,53514
439,55347
439,39802
15069,10445
188,25730
619,21841
439,60784
439,65686
439,66563
619,50276
439,48620
1751,11841
439,15404
2525,12801
439,66755
439,27134
2525,66764
2525,13223
188,5334
188,21841
439,8372
41496,5056
439,58403
188,27574
439,19626
439,37046
439,43706
2525,10969
439,7234
439,32982
188,11841
27411,5056
439,53121
439,35744
188,17092
188,16253
1751,1594
439,36174
439,54387
439,67278
50376,573
439,37551
439,67664
2525,28586
188,9187
2525,8633
439,43463
439,36951
439,23830
2525,10320
439,5136
188,18535
4209,17335
439,44193
188,66755
16227,927
439,68166
439,41711
2525,68249
2525,12211
439,18535
23172,927
2525,10801
439,68394
188,40173
439,543
439,36345
2525,37336
439,17466
439,39035
439,38594
2525,6524
439,8028
439,29228
2525,23122
188,1594
439,49074
439,64918
188,13417
439,68980
439,69024
439,62757
439,67463
439,69058
28129,11841
439,45827
439,24540
439,22437
439,53342
439,13990
60785,60784
2525,20216
439,28792
2525,6362
439,69216
13650,5056
439,32698
439,11228
188,28923
32374,32373
2525,19833
188,69456
188,19565
57953,1594
188,9201
439,23410
439,33719
439,68486
439,21841
17168,5843
12269,573
439,55681
439,41570
2525,16253
17168,10445
9770,21607
2525,8383
439,29894
45093,28351
439,53783
439,26495
439,41205
439,70364
2525,13417
188,50265
2525,5828
439,60710
2525,5056
188,927
439,7230
439,16699
2525,27444
439,22925
14509,29228
2525,25435
619,60016
23172,10652
439,60448
439,6976
439,5566
188,50188
48974,573
439,27191
34761,573
439,71013
439,10445
439,19050
2525,14449
439,40891
188,14975
439,29199
13057,573
439,34729
58441,573
2525,49364
188,71214
439,63202
188,10370
2525,4471
439,59611
439,25306
14395,10652
188,17545
928,1594
439,71477
439,62606
439,67768
439,23078
439,10456
68044,6362
188,28769
439,71650
439,34470
2525,24540
439,71767
439,30717
2525,25502
439,16188
2525,7230
188,10114
439,58110
439,339
35701,927
71853,927
439,51710
188,32924
439,67750
188,22309
439,35724
52809,23330
2525,14683
28129,17466
53037,543
14509,4029
439,21518
439,72047
439,4784
5326,16253
16530,16529
439,10115
53660,1594
2525,8667
9770,5843
439,5829
188,31893
439,38636
439,71421
439,72311
439,30836
5842,39577
439,43028
72366,573
2525,10370
8438,543
439,31600
619,19626
2525,35532
6784,573
55462,33867
2525,41861
619,574
439,72528
439,72619
14395,1594
2525,2484
439,32438
14509,9201
439,72765
439,68818
8438,39802
61019,23122
2525,32373
2525,17466
2525,52631
439,26477
439,21037
439,58319
2525,69449
439,55724
439,63993
439,53752
188,4887
57252,573
439,9201
928,927
2525,5566
2525,534
439,15975
439,25834
188,42713
439,46697
2525,21518
439,73203
439,72574
17605,1594
439,52792
2525,21841
439,46931
439,73287
2525,10652
439,4142
8438,4029
188,44454
188,11228
439,73030
188,7688
188,25647
2525,26289
188,40025
2525,574
439,23284
188,2790
439,15468
30458,573
439,68373
53037,1594
21130,5056
439,68570
188,52344
439,72170
188,3899
439,11655
188,32943
439,64936
439,9909
13906,13838
619,26477
439,34092
439,29386
439,73708
188,32380
439,40291
439,33867
439,24770
439,36286
14701,927
439,54128
2525,1902
5326,10445
439,5056
14574,573
2525,41302
24927,573
619,618
188,45799
188,11319
439,73940
439,69643
188,32937
188,4058
2525,10732
439,74026
439,34821
439,573
188,16529
439,26078
188,13680
2525,47655
19485,573
439,58729
16530,4029
188,42313
439,71745
439,68291
439,54652
8438,19833
439,49640
17532,573
3252,28923
188,5335
439,50171
439,31700
70906,10445
2525,29386
439,51836
13650,573
439,16038
188,13595
439,16529
439,24933
2525,70386
439,74481
439,4125
17605,5829
439,32373
439,25730
188,73030
11943,1594
14509,573
439,65483
439,38141
439,68408
439,65453
439,31832
2525,73551
439,72607
18429,1594
68533,927
439,51708
2525,30107
42919,573
439,26303
2525,23689
439,73103
439,74655
8177,927
439,20488
2525,2524
439,74235
8438,28776
439,74709
439,24005
439,16253
9770,4029
439,25993
439,20482
2525,32698
8438,11228
619,21607
439,52338
439,38647
439,74282
439,55846
13650,9201
439,66606
439,38105
439,5071
2525,22309
439,74847
439,66944
188,38636
2525,69152
188,19582
8438,9201
15402,4029
439,74891
439,27554
439,63945
48455,4029
66839,5056
8438,10445
439,49578
439,61526
188,40053
439,63603
439,72373
439,69807
75032,6362
439,13417
188,2891
439,19008
439,74755
439,37722
9208,573
439,21607
1751,10653
2525,34753
14395,5829
439,33739
8438,23078
439,74929
439,68086
439,72521
439,5207
619,11655
1694,1594
439,57155
439,22256
2525,51563
439,73844
439,66505
2525,21607
5842,34673
41890,21607
188,20474
2525,10445
439,71297
17168,13838
74415,1594
439,69389
439,25231
27411,6362
439,56382
73891,4029
439,72635
188,22493
2525,16232
439,61373
439,618
439,55112
439,5843
188,32982
73726,573
439,48142
17168,6362
439,43040
2525,18228
188,12356
439,75240
54522,573
188,30107
26174,21607
439,75279
2525,31491
439,74976
75296,21607
2525,4134
19338,1594
14509,1594
439,75204
439,73338
8438,9187
188,40033
439,73827
439,74872
439,14449
69250,5829
8438,5056
188,4210
439,71214
439,53555
439,70410
439,65878
1751,927
2525,10431
439,51687
439,44804
439,71781
188,16232
188,12801
41658,18535
439,73804
439,43115
188,3830
6468,573
439,45829
439,62701
38687,573
439,42713
439,67700
19586,573
439,75416
17168,5056
439,68649
2525,17092
2525,14975
439,59423
188,23078
439,4282
619,18477
2525,6976
14509,23078
619,5843
439,6368
439,30433
439,57831
2525,5334
439,68020
188,13223
439,38645
7622,5056
188,50391
439,27705
439,3218
439,7139
439,50698
439,40025
439,44302
439,574
439,54517
439,60659
439,1902
188,38097
439,55000
439,25580
439,68822
188,5828
9770,10682
439,74005
2525,50031
439,67925
2525,4125
439,75472
188,10801
619,73103
5880,4029
14395,16253
439,26287
2525,32370
439,73127
439,2524
439,58340
439,15324
188,2529
2525,8372
439,29735
188,4282
5842,4029
9770,22910
439,32589
439,51464
188,10653
19485,9201
439,57946
439,63286
2525,52267
439,32416
3913,10652
