professionistypeofprofession_1,professionistypeofprofession_2
13966,4436
374,2697
17919,1105
5365,34713
4055,221
43244,7314
33402,334
1510,1494
1036,4436
34082,11255
44922,5698
334,9429
1105,4437
40252,1494
7668,36711
2816,203
6054,4436
220,1494
1105,13966
11018,1036
334,1886
7019,452
375,374
44037,1393
12850,12851
334,45663
5118,1494
14297,334
334,11438
333,1105
3378,221
45769,334
10855,334
334,4743
36589,45895
4702,4436
4436,6054
7797,10813
1083,17919
22730,334
6846,10387
24659,1393
46282,334
220,452
221,960
1393,11004
46347,221
35610,334
1393,5385
1105,5385
452,520
46834,334
960,44922
12507,4436
452,22799
2816,4436
4005,452
452,37842
5443,334
6055,5365
10116,11893
40181,3497
23318,24941
1036,5591
21444,334
10548,1105
334,16271
6054,1393
11506,6173
18147,334
20648,334
1393,2182
7504,221
11303,7668
24972,11893
452,5591
6055,452
10813,8500
9535,1393
47935,334
28103,374
1494,1854
1393,30869
452,14297
221,31347
13966,1393
4437,1564
2181,4437
3267,10975
11431,1393
1393,24474
1036,221
220,28278
33226,334
221,4436
48616,1036
39829,334
15537,10813
14311,221
5365,4702
21515,1494
452,16730
23318,1393
334,30869
36589,334
48888,334
41063,334
1393,30225
1854,221
10387,1393
10548,1393
221,1084
4437,203
49286,23917
5365,7504
30461,334
6173,1036
452,3196
49532,2816
758,4436
7797,2816
1083,4039
1105,8500
334,49645
32597,334
24972,10387
1105,3267
203,10813
11303,22235
49812,334
1084,6173
221,4743
48876,17479
7915,452
334,50020
13671,50095
1105,3716
47721,334
6054,1494
2181,334
42483,1393
1105,11018
334,36101
8859,221
46347,1036
6055,10813
452,2823
3716,1105
1563,334
50466,1105
6173,1494
203,13413
50559,334
5365,6054
4436,14172
16730,4436
7314,5385
10861,452
9836,1393
50809,334
425,1105
5591,48188
5592,4039
1393,19528
520,1494
15629,334
334,20496
1104,1393
1036,3196
34963,452
21201,221
520,6173
221,6457
4436,30225
334,451
1036,16749
2823,220
40181,1105
452,5592
452,6874
5365,2355
1494,4436
999,221
51477,334
1393,3196
1105,8859
4702,6173
5591,221
1084,10692
49645,334
4437,4039
334,4702
9836,221
11255,51854
2933,221
51968,334
334,2644
1494,3267
34713,221
451,1105
23655,334
221,52181
4437,221
452,1854
11438,221
334,30784
334,17919
334,8500
221,21515
2816,11964
34713,334
1105,11893
221,3831
5855,52517
9836,4436
334,20536
10975,6054
6846,1084
8859,10813
1494,11431
2816,220
4436,7915
334,8527
12850,425
11303,4743
5365,1083
4702,1105
5365,334
5591,18147
41094,334
18919,520
52181,21057
1105,16271
7984,334
6846,6173
34713,10813
16438,1105
17135,1393
20648,221
5591,334
53729,334
4743,1393
1564,1393
1105,1510
53853,30211
11303,1036
10975,3774
10813,10975
53944,334
2823,10975
334,1393
47627,1494
334,39886
9429,334
1105,21059
11303,54115
16571,334
9063,221
18649,1393
40930,334
20366,2816
10387,1494
334,14281
5855,4129
37198,37197
334,12934
221,13917
221,23298
1084,221
5991,334
16438,12850
54442,221
4743,4039
6457,452
5365,24997
24972,334
44577,10975
1393,5592
3196,4039
334,8123
21544,54743
1392,334
13671,221
10387,4039
1105,13290
334,31596
52734,334
5443,6173
15928,4436
6457,220
758,5592
3831,334
1494,220
1564,452
37682,520
1105,1104
4436,4294
7314,2816
1036,5635
10975,220
452,30869
17919,11303
55385,334
6055,3683
334,2822
18122,1494
1393,6173
1393,17919
17393,10387
30225,4436
1392,1494
1105,27376
10975,2845
4436,11431
221,13966
221,1036
1393,42818
5365,4436
48188,24972
10387,4436
452,203
55933,334
1105,14281
334,35610
220,4039
334,14675
21602,334
221,7915
452,7915
452,38040
5592,758
220,10813
1105,22799
334,37842
1494,11506
1393,2355
1393,1854
4437,220
12850,8859
4322,4321
48188,334
1206,1105
8068,520
452,18122
10091,4436
56871,334
2823,4436
47627,334
1105,1494
11255,221
32443,334
221,38864
3378,203
24883,1494
334,57040
15537,2816
5365,21515
36280,334
57191,334
5592,17919
10387,221
758,1393
24420,334
14281,1105
28958,334
14154,1105
1393,18649
13671,334
54442,334
4436,221
758,1105
521,1105
30739,334
221,31057
1569,6173
334,26534
1393,13290
18919,334
16730,7668
3196,6457
11893,24972
220,4702
2355,452
3378,10813
7797,7796
2816,10052
27376,1105
220,221
23318,220
58072,334
4039,9836
11893,334
6054,15928
334,1083
221,16571
5591,18122
23113,334
28958,203
2182,11158
334,40627
18147,58636
13917,1494
11431,1494
13966,5592
16571,4436
1105,7668
4039,3196
2644,334
13003,1105
5591,2182
5118,334
59003,1105
2816,59012
1494,15928
16749,1854
334,34713
4437,11893
5699,5698
334,21544
31596,334
4294,24883
17919,1494
26823,334
42607,334
4437,1393
2823,334
1563,10387
1393,203
6054,6173
18538,334
4039,4743
13917,13916
44254,4436
21602,1105
1105,59527
18649,221
334,58072
4702,1393
221,2355
28995,334
11431,334
10387,1105
1083,22235
10975,5635
334,37122
452,10975
221,2823
59891,334
334,21444
18919,6173
11303,6173
1105,6457
334,18467
2182,60098
203,6173
40200,10855
14952,334
220,5592
19791,5349
13966,1105
452,3716
334,48888
59003,334
7796,221
334,2479
4436,10091
10548,452
30945,10975
6846,7504
4743,11303
10813,6055
4436,5592
2845,1036
43020,334
4039,4436
4039,1083
334,17000
1393,2816
26818,334
2816,758
1420,2816
1420,10813
221,5991
452,1393
20496,10387
21515,45054
334,42607
61147,2816
10052,4039
16730,1564
12934,452
61375,2816
51735,16749
39886,1393
1036,48616
10387,10813
10091,334
1036,4437
23260,1393
1036,2816
46834,221
61499,334
334,5039
55600,2816
520,10813
11893,23917
24474,1393
4436,1036
61692,334
2845,334
7313,7314
2823,1393
21057,52181
2816,2181
1036,48188
334,35818
221,520
44922,334
203,452
1105,23318
62065,334
1083,10387
25105,334
55856,334
17135,334
334,12850
4039,1105
5635,334
38040,452
8068,334
1036,2822
11303,21515
4436,1393
52225,221
334,17393
11255,62428
9836,7314
1393,7580
1494,2823
62549,334
1494,48188
334,5443
334,203
221,53944
334,62643
204,2182
5592,10975
221,22799
52983,334
5365,24883
5365,11303
2845,10975
221,54442
30869,1393
21201,7314
32137,32136
2822,221
452,7580
3196,1105
13062,6173
15537,334
30388,10387
520,452
19197,1105
17393,1494
17919,7668
15928,1105
221,36472
2182,8125
334,11320
13191,1494
334,521
520,7668
221,37842
221,52225
9965,63418
29611,220
8859,334
1036,10052
221,4437
1105,42483
5365,3267
24883,334
16438,4039
38592,19791
3378,1494
14154,29611
1393,5991
7796,1105
1036,1105
9836,10813
41094,1494
30080,203
221,20648
452,221
334,21201
221,7580
1563,4437
2816,9836
334,10387
1105,12934
15108,2816
1083,1105
18147,7668
24972,10975
9907,334
45054,334
5991,1393
2182,520
5591,50095
334,30211
2697,6874
4702,1494
221,11021
64300,1494
221,23318
6055,16271
28958,1036
334,64374
334,18538
1105,4702
11303,64407
334,11893
30225,11018
5365,1494
334,5118
15435,334
1494,17919
1393,1036
1105,16438
334,14172
334,4039
11893,38351
4437,11303
4437,5365
11018,3196
1854,64743
2845,7915
14259,1494
64871,334
38087,334
1393,452
64950,5855
334,50120
1393,4743
2816,1854
10813,1036
9965,1105
42483,1105
334,7414
3378,5591
5699,334
334,1420
6055,334
6874,334
1393,1084
2355,1105
334,23348
5591,9535
334,33402
334,44254
2181,7668
31714,334
64809,334
11303,334
34572,334
5365,44577
10813,7915
334,5903
17919,4743
1393,13714
8859,452
334,17135
334,520
334,4437
24997,1393
2721,334
10975,22177
334,49812
334,1084
16571,10387
50466,334
1084,16749
29611,4436
65768,65769
11320,452
65799,334
1393,3716
18649,334
4436,1854
11018,334
65939,334
15357,15356
334,48188
29645,1105
16749,334
7668,220
452,6054
5385,221
1393,11303
10975,1494
11431,1105
1393,18612
66120,334
21602,5592
3774,1393
1392,15940
1494,1105
1494,5118
2816,11018
1420,1105
1563,1393
66269,334
221,54497
9836,23917
221,220
24736,1393
14154,334
10975,8859
10091,1494
63418,9965
35818,334
1420,334
11211,334
10387,1392
10975,4039
221,49858
9105,334
334,58626
10975,334
334,62383
12279,334
6457,3196
334,52181
3377,334
14934,334
5855,374
1494,13917
27794,334
20536,334
221,24972
2816,452
24659,1105
38864,334
35345,334
2933,1494
7668,6173
9535,6173
18122,4436
221,59217
334,7668
9550,1105
1083,3267
66854,334
221,1393
334,60370
334,61499
31596,4436
66998,24972
334,5365
2816,1420
9946,5385
67039,221
16202,334
11354,334
4968,452
452,2697
33082,4039
11303,23655
10813,10387
334,25105
16438,1393
221,34892
6173,3831
758,1494
10975,221
452,334
6054,1036
1393,15928
30235,334
1393,1104
4852,1105
1105,2182
334,50809
4436,452
4294,10813
221,51477
334,12507
30388,6173
8859,1393
221,30388
60597,334
1084,4039
452,8859
11303,15940
20496,334
9535,1494
42825,334
452,3267
34713,1494
2355,3196
1393,758
334,24736
8123,6173
1393,26818
11506,1494
18649,8859
1393,44037
334,16730
9907,1036
13966,452
8500,1393
452,11438
5365,7668
334,65799
5591,203
44037,334
334,1510
1105,10975
1105,2355
334,44906
2355,4436
4129,334
334,333
7796,5592
1494,6173
4436,1083
14172,8500
334,13290
334,4294
24997,334
1083,960
2823,1494
11018,1494
7314,40550
1083,334
10387,21515
2823,5592
5591,1083
10975,6457
520,2182
21544,4436
334,20648
1393,10548
4039,4437
38040,221
5365,10387
22799,1105
1420,5592
16749,1036
16438,452
57184,5855
1105,5039
7503,6173
1393,23318
221,19197
14675,4436
13917,31347
11018,8500
1393,11431
4039,1084
20536,7314
5592,2823
7797,1105
2822,1105
4743,35887
21515,10387
6173,10387
4702,220
6846,11437
20422,334
12279,1494
7797,23208
1393,1083
4436,16730
10387,40627
1494,13191
1084,1494
24736,1105
21120,9836
9836,452
221,3196
3831,6173
53087,221
5385,452
520,4436
520,521
5855,452
4436,13966
11303,1564
6055,1105
452,4702
4039,334
7668,2182
334,2355
59650,65769
15435,452
4294,12507
3196,6054
12851,12850
220,29611
221,38479
960,10128
1036,46347
61161,334
1036,28278
221,69406
334,47627
35726,4039
1393,2823
64300,6173
30869,452
204,203
2816,1083
221,24474
1393,24659
334,960
425,221
1084,8123
5365,63902
221,5592
6055,36005
10387,54497
5443,35887
334,68626
1570,1569
40200,7796
4039,520
452,10387
11158,334
334,10548
2697,520
7668,334
10813,203
4436,10975
37343,334
334,16571
55538,334
221,48225
37122,334
21515,334
11438,1105
24972,10548
1105,1036
30284,1393
5365,20496
5365,24474
221,7504
14172,1105
221,31714
44906,334
11303,1083
9836,21120
5365,4437
7314,9836
2182,5855
1036,70258
5855,6874
3196,1393
1105,10387
3267,1393
1105,21201
8500,2355
24972,221
12507,6173
68626,334
22235,22234
1083,16571
334,10128
61050,334
12507,1494
2816,6054
2182,452
40550,334
1393,10387
69422,1105
221,1105
1105,11431
39886,334
1036,6173
4436,3267
15928,452
221,2933
221,15394
10855,1494
23318,6173
221,999
33226,10813
1393,24972
2816,2355
1393,23260
1392,1564
36077,334
36589,1494
70718,1494
57184,374
7764,221
1105,50466
17919,1393
1036,12934
19197,221
221,34713
1494,334
334,24659
8125,334
1084,11437
334,52983
10975,15928
24972,1036
11018,1393
1036,48305
30284,334
53087,334
10128,960
334,32597
334,7915
23550,334
334,61161
5591,220
6054,220
334,47314
221,18147
16730,5699
6457,334
5365,452
34692,334
5385,10813
452,4005
5365,1084
22177,10975
452,5855
334,23298
5385,23917
48188,1494
4039,4702
1393,5365
334,1036
37842,452
29611,10975
46347,334
8123,4294
4294,39615
1036,7668
5365,2181
452,13290
7668,1494
16269,203
26534,452
68428,5855
71321,334
2816,18756
51042,2816
1084,4436
40200,29024
24972,7668
5349,334
62688,334
1494,20496
57040,334
221,1510
3267,1494
1420,452
1886,334
221,28995
520,4968
1105,11004
5991,1105
39829,1105
203,1105
7668,10387
1854,6173
220,1393
53526,334
18147,50120
27376,334
520,18919
452,10548
18756,2816
5591,60370
1083,18919
5365,17479
1494,11303
55856,1494
21444,221
21059,334
7504,334
221,30225
7415,1105
452,26534
221,11211
2931,334
71773,334
2697,452
58626,334
7313,334
1393,22799
334,4129
6055,16749
5385,1105
374,452
16438,8859
20366,5591
221,58626
1393,221
7797,334
16730,452
2181,1494
8500,221
14154,5592
4294,1083
221,26823
334,46347
5385,9317
17721,334
9946,9836
334,48225
23348,452
7764,334
1392,4437
5365,53087
1854,51735
334,2823
1393,220
11964,2816
6173,221
53038,221
49858,334
960,334
35818,1105
15394,334
5591,72185
1206,334
1083,4436
7915,4436
334,2182
23655,221
5385,9946
54497,21515
12279,520
520,221
6457,1105
334,5991
44708,334
32443,4039
14259,334
221,16438
9317,5385
53474,334
63008,34415
5522,5521
6055,13413
12850,16438
1105,26818
1105,9836
334,21456
53087,4436
221,23348
1105,6055
960,221
7314,7313
42818,1393
2181,1036
334,9550
67039,1105
2823,6173
7668,4436
2182,1105
220,4437
1084,58789
7580,1393
334,72578
1393,4436
69422,334
6055,23208
5365,960
2822,334
35853,2816
521,6173
1083,6173
4437,1036
334,18308
221,1494
1105,7915
452,34963
3716,334
11303,4437
221,6173
7580,334
14154,1393
2816,4294
10813,7797
452,9836
7915,1393
11893,1393
15108,203
12850,334
33226,203
221,41063
334,55894
17919,10387
14154,203
1393,30284
14311,6173
30225,334
7580,5592
334,62050
203,221
2816,28958
11004,334
37197,37198
48188,452
334,1563
4436,334
62050,334
452,2355
221,8527
13290,452
3196,221
1393,8500
221,42483
10387,2181
52327,1494
50120,18147
44047,1105
4968,334
22799,221
221,452
10548,24972
5592,9836
14675,1494
1036,35060
53038,334
334,19197
221,7764
334,220
8319,334
10813,9836
1393,7915
334,46282
8527,221
17830,2816
6054,10975
8068,1494
14281,334
4436,2816
452,8500
221,46834
2181,10387
64950,374
25961,452
65769,334
334,44037
7668,221
40550,221
41063,221
5385,7314
334,61050
18649,1105
6055,4436
5365,221
3831,4436
334,3788
1105,425
221,3377
33082,334
5365,220
4294,1494
334,15356
14675,6173
221,11255
203,334
334,3831
334,36280
11303,4436
452,44254
334,43020
334,24883
64374,334
334,6173
1564,5855
334,10975
4743,221
203,14154
221,2822
22799,452
334,1494
12507,4294
17919,4436
1494,452
2816,334
220,8859
1854,334
24883,1854
10975,29611
7019,221
14154,452
10548,334
20366,7796
334,46834
1105,5991
221,4039
29024,1105
10975,24972
1393,1494
1727,1105
221,14259
221,21602
334,16438
55894,334
15928,334
16271,4039
1036,10813
2816,520
334,21515
6054,452
334,39142
452,1105
42945,334
334,1810
334,18122
221,8859
221,35887
7668,1393
14311,334
334,13917
24972,1393
334,53087
2182,31714
10975,2816
334,2181
221,11438
23917,1105
28210,334
1036,1494
2181,5365
50020,334
334,21602
48225,334
334,10692
5903,334
203,1036
1105,17000
1105,7580
72578,334
334,21059
5365,70460
1083,18122
2181,4039
13191,4436
334,11303
4039,220
334,17172
37763,334
3267,1105
1393,13966
334,14311
960,1494
5592,1393
1036,334
6055,10387
220,6173
5635,10975
334,24972
4436,2823
2182,1564
220,1083
5365,16730
6054,8500
1494,5365
221,21544
40627,10387
221,203
334,40210
11303,4039
2355,4039
18612,1393
2933,334
452,13966
220,6054
1105,67039
4436,6173
6055,3831
452,4436
30869,334
7915,2822
221,7668
2355,334
17393,334
6055,1393
1036,2845
26498,5855
5385,1494
452,374
9836,334
32348,334
1083,7668
4743,10387
14154,10813
53087,1393
18122,220
6846,960
7580,221
33365,4039
18467,334
51735,1084
31714,5855
5592,3196
334,30225
11303,54497
204,452
41019,374
10813,14154
1105,1393
64300,334
30784,334
220,29024
2858,334
62643,334
999,334
5365,2933
10813,520
4436,17919
5349,19791
8500,1494
1854,7668
14363,14364
334,50559
32597,221
6173,220
30284,12850
1036,4039
28958,6173
520,4039
48188,1036
334,5855
334,41063
7504,1494
23318,4039
16540,334
204,1105
10813,1420
36101,334
334,8068
452,18308
1494,7668
221,53087
7796,334
4129,5855
4039,5855
11303,1494
30211,334
5855,15629
13966,334
334,2434
4039,1036
221,1083
40200,2816
4039,5592
334,5349
1854,4436
1036,6457
334,47721
221,10387
221,6054
4437,6173
334,18147
7414,334
1393,11893
221,16749
3196,4436
3831,452
7915,221
57063,334
16271,334
334,35345
23298,334
10387,334
1083,1036
520,37682
1105,24736
1036,24972
3196,334
334,23318
334,16202
11004,1105
24883,4039
334,5939
34083,34082
16571,1083
40627,1494
452,1494
203,2816
1510,1105
11964,203
220,7668
2816,61147
452,57063
6173,4437
4437,4436
334,22235
9429,5592
69917,1105
334,44708
12507,7668
4294,8123
221,10128
58871,1494
4436,11303
221,18649
41553,334
221,9105
7019,334
334,53526
12934,334
451,452
4743,334
37842,334
63249,334
5635,1036
12934,1393
1105,1420
1563,4702
334,6055
8500,10813
20496,1564
221,21444
10387,11303
27739,334
16730,520
4436,9836
334,26823
26498,374
4436,3196
1084,1854
221,45323
9836,1494
24972,452
44254,334
15928,6054
13966,221
334,38087
8500,452
9836,6173
40930,221
7019,1105
221,13290
2816,1036
1105,4436
203,4437
451,4039
2823,221
2355,8500
13290,1105
452,4039
40200,14952
334,54442
10387,1564
15108,334
334,22799
1563,11303
53087,1494
38160,1105
425,12850
5592,221
3267,4436
13062,334
1105,18649
4436,2182
221,39727
5365,12507
48966,334
1854,1393
1494,6054
1393,12934
1420,1494
1393,9836
3196,1494
18122,6173
1084,334
2823,452
5592,1036
5991,221
203,23208
21201,334
18147,221
21544,1105
1105,21544
3196,8500
334,9883
41019,5855
10975,452
11211,1494
15928,1494
10052,520
5592,7915
4437,334
7668,1036
55934,10387
334,51968
6173,1393
13290,334
1393,6054
12850,30284
15629,5855
4436,2355
24736,334
2721,1494
4437,1105
4463,2816
60370,334
3716,452
70453,334
3267,6173
221,72764
2355,221
1494,8123
61435,334
334,36589
34963,334
31057,34415
1393,10975
334,15394
16438,221
334,3196
3716,1393
1393,4005
21201,1105
11438,452
35060,1036
1393,14281
1083,1494
3196,452
334,61692
334,4461
5365,8123
334,18649
1084,51735
58582,334
221,1564
10387,16571
1494,10975
48305,1036
51603,334
5591,7504
7580,1105
5365,1105
9836,4039
221,17980
15928,10975
39693,334
204,5592
45663,334
10091,21057
221,17919
4039,6173
334,32443
334,27739
59650,334
5385,1393
220,4436
17919,334
221,9836
334,70453
23208,6055
16730,1494
6457,221
7915,5592
221,15928
758,221
221,4702
6055,44577
4436,1105
5855,334
334,12923
11893,452
8859,10975
7915,334
11893,37060
4436,4702
19197,1036
5591,4461
13671,4461
334,13191
1393,334
1084,12507
3497,334
203,75290
2823,1105
334,6054
4436,18467
20496,1494
1083,4437
5365,18919
1393,3774
1036,2181
62383,334
14281,1393
2816,10387
6173,24474
10387,4437
4294,4436
1105,203
52181,334
1393,6055
18919,221
1563,221
1854,1084
5591,2181
5365,16438
6055,14281
452,451
221,8123
452,23348
3497,40181
521,1083
23318,334
2816,6173
31068,334
11255,334
1494,1563
11438,334
44037,1105
50120,334
4436,758
4436,18122
4039,21515
221,5385
2509,334
28995,1494
33923,221
5591,1105
11018,220
203,2181
4743,1494
14675,10387
8859,1105
452,5385
47314,334
220,18122
334,27376
204,1494
10975,5592
14952,1105
23208,203
13003,334
12934,1105
16730,334
10975,30945
10387,5365
334,1104
452,7764
2823,2822
1494,10091
6055,221
1854,50997
23917,334
1564,11303
2933,6173
23348,1494
3196,2816
12309,334
1494,7915
334,52734
32136,32137
221,55469
75242,334
14297,452
70749,374
221,23655
14675,1393
1494,520
4436,7668
