athletehomestadium_1,athletehomestadium_2
1818,3021
61709,869
14591,17067
45207,8197
42757,366
54578,683
10369,683
35457,1080
40220,17067
30060,5905
23081,683
1766,24895
41844,7046
9005,8605
16731,1440
19576,1080
16131,16130
45156,5075
51129,36841
27278,1080
33559,56744
27311,5905
26882,683
38203,1080
27962,27604
58216,8605
8929,2136
7218,7046
18478,869
63457,4874
37760,46641
1126,17067
38237,8839
60970,6276
45000,6577
38467,12949
3747,28917
24243,5905
48055,17067
27562,8839
46131,6276
18043,6276
25843,18819
4630,6304
37458,683
41618,56744
4443,6304
46251,24250
11436,17480
46365,8289
59813,18819
55434,5015
35798,9359
65912,1080
31395,8992
38466,19362
66692,1080
32245,36841
21371,366
40250,6577
31401,8720
25175,10705
3637,3636
10380,4788
9562,5905
31844,19687
3635,683
41235,683
37622,683
45037,683
37752,24250
11071,3577
27063,683
24518,3636
25855,2136
7648,16311
30551,21410
30207,5905
52817,18819
24761,12949
10617,4061
65594,17676
16249,3636
10003,4061
47163,8289
43302,5905
59110,1080
33284,13070
2426,18819
3687,3636
49009,1080
25716,683
7531,8197
1703,18819
25230,683
19035,15519
61467,5015
11827,5905
49300,17676
56142,14782
39369,21410
16706,683
30009,17067
8092,683
62305,5075
21415,5905
22306,27604
50972,9401
16058,3636
27673,17676
4127,683
35108,4874
38853,6304
35538,17067
13138,9401
29336,21410
18135,8753
21447,17676
30200,1440
16918,17480
2869,8753
12940,3636
69792,1080
28795,5905
16627,3636
27161,683
49905,17676
58490,46641
47237,19687
43053,32212
8571,1324
7805,5075
12647,16257
57535,8289
46827,4061
23599,869
49023,869
31963,5075
55527,8197
56693,16130
33652,32097
51222,1080
4351,3021
5657,6304
44271,6276
11617,1080
13329,3636
3664,4061
35303,17067
10205,8992
20812,17676
15306,1080
32870,8753
61815,1080
21411,21410
5875,1080
1842,3636
38744,17676
40922,4061
4069,14618
16989,5905
51369,8720
53707,12949
54843,3636
50052,16257
31207,4874
71500,683
14446,10705
43565,8720
14609,683
43813,16130
33057,3636
53360,683
14271,1440
5518,6304
47906,3636
57386,1080
68302,9401
44852,38
36686,8605
8315,8197
60826,1080
56450,6256
22199,17676
29246,8992
13228,6276
31293,15610
39637,46641
24838,366
23789,3577
29504,16311
26729,8197
11988,3577
55217,5905
17784,5075
12125,6304
23119,18819
70750,38
5292,6304
43927,683
11878,17067
41657,10488
14700,18819
22885,5905
54514,2136
4145,683
47790,37415
24905,3636
28302,8197
870,869
12565,683
22500,1080
57218,683
17065,1324
1384,1080
27160,683
10332,8839
9100,5075
10706,6577
31271,683
52980,17676
45497,11965
34008,6304
24882,1080
29174,3577
32551,27604
55426,5075
51276,46641
71389,1080
29298,6276
22393,7046
6866,9359
7721,3577
1115,5905
39503,1080
21664,18819
2196,683
26152,8197
17229,17067
35049,683
16241,683
35917,5905
9455,21410
35078,8753
4550,3636
70176,38
48486,683
8754,8753
11288,683
50041,1080
1325,1324
31725,46641
30783,9401
34965,1080
22496,1080
35364,1080
58605,869
15244,3636
11343,2136
58595,683
774,5015
59608,5075
61944,1080
32598,3021
69739,8605
33542,869
19170,6577
22432,1080
28195,17676
33618,1080
43840,366
25535,3636
36414,1080
25788,6256
29073,19687
8159,3577
38456,28917
36640,1080
46861,27604
34023,27604
17198,1080
57963,4788
9491,31981
67943,683
45687,4874
22641,6577
17734,7046
8412,17607
49000,366
43907,683
56285,366
22772,14782
39082,14618
4419,24960
28248,32097
28026,7046
23194,3636
33651,14782
58910,16603
54120,8839
40203,19687
59753,10488
55918,1080
33925,683
27049,32097
49182,12949
18404,6304
3667,5075
31703,1080
58821,366
9894,683
59342,869
68964,19687
51257,12949
42251,10705
8155,32097
16604,16603
14218,5905
14745,4061
14278,21410
14267,4874
21164,21410
41962,683
10812,8720
6836,6577
47629,18819
8234,28917
25945,3636
68965,2136
16661,3636
47553,8289
18852,869
34232,24960
1213,24960
16028,44344
13525,3021
16464,6577
19749,1802
54616,6276
15830,1080
19108,683
7351,3636
475,4061
39383,5905
42773,683
9171,3636
34979,683
59695,14618
42014,6276
22202,8289
5926,9401
36503,32097
32028,18819
36059,18819
37991,9359
29876,20572
7300,19687
25565,683
16935,1440
964,366
25558,17067
646,1080
25163,1080
1559,1558
13759,18819
15959,4874
27103,12949
38118,18819
62599,1080
