chemicalistypeofchemical_1,chemicalistypeofchemical_2
1468,721
468,1468
45,32914
50551,1623
1522,45
9258,8906
12603,3411
1468,32263
38700,4795
20341,110
1468,39054
1623,27288
14057,721
1231,31465
1468,7147
8977,10564
1468,45405
1231,4954
1468,109
3477,468
18650,492
1231,492
3477,31465
1468,30935
492,4625
3190,4670
4954,1468
4954,14443
13620,1171
44,570
1332,25553
20294,15700
11185,468
109,3477
31546,721
5088,16001
63737,34678
31272,492
7147,492
492,20294
1231,31199
1231,165
1332,570
18355,721
1623,45
1468,9189
16304,110
7329,1468
4035,3411
20294,492
4035,110
492,1231
19867,3493
2725,18355
1468,47185
7231,5868
45,8742
1332,3477
12178,468
3099,570
1231,6008
3575,1171
3477,721
1468,5237
1468,468
11185,570
1468,46989
64463,492
31199,721
46748,7231
50755,3541
492,30816
7231,20151
9551,12588
389,5237
1332,18745
3477,3541
8977,110
9551,45
45336,4670
1332,64728
9551,7231
1468,47591
47111,7231
31708,3541
569,1468
24492,1468
3099,721
1332,14404
1468,36938
45934,45933
389,7231
24363,7147
467,570
18055,468
27288,1171
1171,468
33774,110
1332,65159
15941,1623
18355,570
9244,1171
4670,4669
29435,492
3644,468
39276,4954
3190,4954
1171,2256
1332,63444
8977,20719
12176,3741
12178,492
467,45
3741,12176
722,36531
1468,8742
1332,45405
492,3190
3494,721
31199,492
1231,3541
5088,13415
109,1475
4412,165
1468,15239
14057,468
492,45223
34144,1623
3385,468
12483,110
36331,1623
1231,722
30327,1623
1468,35689
1332,66174
28212,7147
16849,1468
13620,570
1468,2256
36531,1623
19020,492
468,492
14849,15700
8906,1623
20843,1468
3741,45
1468,27300
1231,33330
41855,1171
1468,18355
38053,9244
5088,4795
14057,1171
45,1468
1522,1332
388,492
1624,1623
17101,492
4954,721
3541,492
1332,66605
19867,1468
468,7843
19867,468
570,468
20609,7147
3493,45
66761,1332
1348,468
13654,3541
20055,3541
569,468
4954,3541
3190,1468
492,20251
16896,1468
22870,1468
1467,468
1332,67109
1468,467
62909,45
13354,492
1332,1623
1623,16501
1231,1468
721,1171
1468,33330
3411,28034
3385,3541
1468,4625
34883,492
492,3099
20145,3493
3477,45907
1332,12550
33774,1171
7231,2256
492,18390
10902,165
9551,41974
1332,9258
467,1171
9258,1171
1468,50048
1623,8906
30935,5303
29565,10564
19428,570
35689,1468
45,39125
22915,1332
7926,16001
492,2256
1332,60076
722,1623
4130,1623
1332,39125
1231,64884
16846,721
4795,389
56021,1623
1468,41309
8977,31453
3494,468
16304,25991
3385,110
20609,1332
67329,8978
1231,3001
20843,16001
32914,1468
3099,4670
1468,14371
1231,569
42565,492
389,11097
51453,1468
7231,3099
109,3541
47805,3541
49063,1468
1332,8906
1231,7843
28731,9764
585,3099
586,4795
492,389
7231,468
20055,3411
1468,36213
570,53678
5303,1468
20843,3541
492,8906
110,1468
3494,4954
5303,1171
7231,20145
9551,389
20843,7147
9551,3541
10430,1623
14752,2576
9551,31199
109,69223
1231,8666
45,569
69280,7147
18650,468
14443,4954
389,3741
389,6008
18355,492
13572,1623
1522,492
1468,36331
1468,30816
28034,4669
9551,34883
5088,7147
3494,62928
1468,50755
1231,27288
14057,4954
1468,61503
24262,721
721,3541
1468,51453
7231,10478
1522,389
65587,1468
14057,492
26776,1468
3099,1468
12483,10564
1468,64016
1623,31465
45,110
18355,3411
4954,3494
1332,53937
4795,3411
22528,492
19867,570
21194,492
45934,9014
1231,29435
14057,45
4954,1623
28034,23304
20145,721
3494,570
16304,4795
1332,8665
33774,61119
1332,29435
1332,70040
47805,7147
19446,1468
7843,1623
492,4608
12603,16001
68658,1468
1468,68658
2725,110
50130,28034
569,492
4795,3541
50160,570
10271,3099
1231,4411
492,14849
3477,389
20055,1171
3741,468
20843,4795
20341,1468
3477,12588
55604,1468
388,12176
1231,34678
1231,51370
20145,3541
1475,1468
1468,8402
1231,1171
3541,45
6008,3541
3575,492
1231,42998
28731,721
7231,7147
7231,45
35977,1332
389,1475
56021,492
18355,5237
7231,12303
389,24492
1231,24604
28212,1468
389,19428
1468,40581
63031,1623
34678,1468
9551,1623
4608,7231
47591,3541
36425,1468
166,1332
45,389
45,1171
14849,1468
3541,721
570,492
3190,1623
47805,4795
2256,492
1468,22870
9551,12303
45,1348
42947,1468
21656,1171
1468,7329
492,7843
7926,59290
1231,14849
13325,1468
20341,721
3411,110
35977,165
389,1623
9551,110
44713,18355
20251,1468
49774,389
1231,15239
22532,1623
721,1231
7926,39334
492,1171
10430,3741
38700,110
57643,1332
20145,492
20294,1623
1468,14752
1522,23367
1231,2725
3477,4954
1231,12550
1231,25972
9551,15700
12483,45933
389,8906
1468,52190
13572,570
3099,3411
3099,110
1332,4036
70094,570
34883,1468
23367,110
492,35689
468,3411
3541,3099
1231,14980
1623,29237
14752,492
1332,33225
389,569
16307,45
9551,3493
468,15908
1231,8402
1332,22657
3741,389
41173,492
3477,4670
47805,3411
468,3477
34885,1468
1231,4669
7231,34698
1468,65976
3541,1171
3190,389
1522,3477
7231,3741
1332,42392
3099,15700
1231,25206
569,1623
1231,5190
28034,1332
722,492
1231,44946
28731,10564
34885,5303
5054,1468
1468,65587
65976,1468
3385,721
12603,110
1332,14518
3741,7231
12303,1468
1623,721
39054,4954
65989,1468
50142,492
166,7147
109,3190
389,13620
1468,34698
1468,35275
31112,1522
1332,45223
24492,1171
388,1468
492,18355
1332,48669
41309,1468
1332,66376
1231,10495
3575,1623
9258,721
9551,42998
12483,31453
492,3001
492,56021
45405,1623
1522,1468
3385,4795
665,721
14752,45
7147,3541
1332,110
45,19867
30816,1468
24456,34678
35977,24262
47805,110
18598,10564
3099,3541
468,110
35594,52740
1332,1232
10495,570
5237,1468
585,1468
40721,492
3493,4670
5237,721
62330,4795
18355,1468
2137,7147
468,1623
1332,31112
20145,10430
4670,3411
14057,8906
1623,15941
3477,8906
9551,33330
7231,389
8742,492
492,19809
47111,1468
1623,45405
14443,19428
45,9244
1332,63737
1332,2137
3385,492
468,1171
16304,16001
492,4411
389,3411
19336,8978
14057,1468
3494,3541
1468,14443
4954,3190
1231,20251
1623,22532
1231,20151
22528,721
1332,66175
1332,73741
1231,40111
1231,63737
1623,19428
3741,1623
1332,40129
24363,110
1468,2454
3001,492
14443,570
44,1623
1468,3575
20145,468
468,2256
1332,31199
14752,1468
4670,3493
492,16001
389,3477
28034,585
389,14443
7926,1332
3741,492
492,665
1468,4035
1231,18839
18355,18354
1468,15908
570,45
1332,35689
27288,570
9551,4670
492,4954
570,37168
14752,1171
63021,1468
44996,1468
569,45
45,570
1468,25972
73591,7147
4954,20609
28033,28034
7231,3541
3741,14057
165,1468
492,68138
45,585
1522,31112
389,1231
4795,110
1468,16501
14752,570
665,2256
10478,1171
1623,13572
1231,47436
10902,721
51544,165
10563,8978
5237,570
14057,19428
7231,1623
12483,12482
18355,19428
74260,7147
20145,570
1231,50048
1231,39840
14752,4954
586,1623
31708,110
1623,7843
492,2725
468,721
1332,8844
31465,1468
1231,50127
1231,5303
1332,12900
50142,1468
3099,1171
29180,1468
6008,570
1332,4411
64016,1468
9551,3575
3412,16001
836,1171
47591,1468
468,42282
9551,722
14443,1171
569,4954
1231,467
3190,45
16501,1623
570,4954
1231,40129
3741,9546
1332,30816
836,1623
35689,110
13620,389
59715,492
1468,51833
1623,836
56131,45
3099,468
2675,3411
1332,569
3411,1468
3741,18355
1171,1623
3385,45
20251,492
5088,15700
1231,34698
20055,7147
1468,25405
21502,1468
40721,468
12178,1332
14057,3541
45,7231
73835,1468
570,1171
31199,14849
1231,14518
1468,4021
40650,3541
1231,1624
45,16001
1468,33876
6008,468
3099,10271
4670,3190
47185,1468
1623,2725
721,722
1468,21656
19867,1522
7231,109
3493,3099
665,3541
722,7843
468,19867
28034,3411
38053,1171
1231,42947
21656,1623
28731,20719
1468,29180
10902,110
32914,45
468,15700
1332,5088
29565,721
22528,61119
1623,570
1332,4625
71194,3411
45,15700
5237,468
48750,1332
1468,1522
29237,1623
69789,1468
1468,2576
1231,1522
586,7147
17101,721
45,8906
52560,16001
1623,569
7231,19867
7232,1468
35977,16001
389,20843
7926,1468
26283,16001
4035,721
492,1623
20145,836
28034,3541
3541,7231
24558,1468
1623,468
1468,5303
20055,110
11185,389
1332,6665
47436,45
12176,1468
3385,1332
22331,570
1468,35309
13170,3541
492,3741
46144,1468
45135,10564
18603,570
19490,1468
38700,721
1171,570
165,110
49774,492
38700,1171
3190,2256
13170,570
45,1522
7231,570
3099,3493
1231,18355
1231,8906
166,3541
3741,1171
12483,9014
13620,19428
9258,19428
1231,3099
467,1468
1332,70754
389,10478
9033,1468
7926,165
492,17101
3741,721
9551,3001
3385,3411
1468,1624
73912,1522
6008,389
8742,1468
1522,47111
1332,15239
3541,468
6832,165
3001,1623
1332,24604
4795,721
1332,2576
1522,468
1623,389
18390,15700
1468,7232
23367,1468
4954,110
1332,57528
388,468
19216,721
3166,1623
9551,492
13170,1468
21656,1468
32263,1468
2256,468
721,1468
7843,570
1231,5868
19867,9244
3190,110
7231,15941
3190,492
1231,35689
1468,63021
3541,389
8730,7231
35298,1468
721,468
1332,74869
19867,389
1332,75162
31112,492
1468,110
109,16001
35594,45
1332,64240
1231,24456
8906,389
57999,1468
1332,26283
1468,3411
51833,1468
1468,65989
38312,30816
3412,3411
110,1171
25633,1468
3541,1623
19867,7231
1171,3741
72044,16001
7231,30387
1468,51664
1522,110
389,2256
11185,1468
20843,15700
13654,389
7231,18055
4954,1522
31112,1468
38700,7147
1332,19446
47805,721
45,3541
49774,570
389,492
19370,492
1231,3493
388,1171
45,66028
388,19428
1231,51833
1231,4608
6665,1171
492,21194
1332,39061
1348,570
1332,24456
4669,1468
47872,45
585,40650
16001,1468
45,3477
4412,4411
50048,1468
9258,3541
8730,4670
467,3541
1332,7231
468,4411
3411,570
3411,3541
3477,20145
3099,585
4411,492
5590,1468
7926,23367
3741,10430
1522,721
4036,1468
721,110
1623,33657
4130,468
1332,30935
8402,4954
10478,389
1332,64050
1170,389
1468,28033
3385,16001
24456,1468
468,3493
45,16307
1468,3166
4411,468
4035,3541
39054,1468
20609,721
27300,1468
7231,15700
1332,14980
1332,969
1231,34434
1332,7329
4954,3477
1467,4954
7231,34883
8742,1171
39098,1623
18355,1171
51664,1468
9258,468
1332,55815
12483,8978
1332,42947
26459,721
570,61130
31546,110
1468,1171
1468,18603
