latitudelongitude_inv_1,latitudelongitude_inv_2
38836,38835
40860,40861
40892,40893
40954,40955
40958,40959
40960,40961
30848,30847
40964,40965
30615,40981
40986,40987
40994,40995
41014,41015
41027,41028
41079,41080
7442,7441
41092,41093
41098,41099
41133,41134
41226,41227
41240,41241
41288,41289
41298,41299
27665,27664
30857,41317
29322,29321
41366,41367
7389,41368
25124,25123
41387,41388
41400,41401
22498,22497
35418,41423
41424,41425
41434,41435
7656,7655
41457,41458
37997,37996
41494,41495
32666,32665
41533,41534
41542,41543
41563,41564
41603,41604
41605,41606
20901,20900
41614,41615
41616,41617
41620,41621
41635,41636
41644,41645
41661,41662
27123,27122
30333,30332
41761,41762
35444,41778
41822,41823
41872,41873
11450,11449
1186,35707
20505,20504
41913,41914
41943,41944
41945,41946
41975,41976
41985,41986
42095,42096
42102,42103
42120,42121
42123,42124
42173,42174
40967,40966
22770,42204
42233,42234
22806,42239
42240,42241
42245,42246
9126,9125
19062,19061
42308,42309
35258,42355
22031,22030
42395,42396
42411,42412
42473,42474
42477,42478
42501,42502
42518,42519
42545,42546
42552,42553
42562,42563
42575,42576
42582,42583
42619,42620
42649,42650
35765,42697
41601,42723
42795,42796
41304,41303
42870,42871
42886,42887
12292,12291
42894,42895
42905,42906
42185,42184
22447,22446
26720,26719
42943,42944
42952,42953
42962,42963
33201,33200
42999,43000
17618,17617
43035,43036
43038,43039
43043,43044
43068,43069
43070,43071
43073,43074
43087,43088
43098,43099
23380,23379
43132,43133
43138,43139
43140,43141
40809,40808
8451,31632
43156,43157
43186,43187
43192,43193
43240,43241
43246,43247
43255,43256
43282,43283
43292,43293
43294,43295
43309,43310
43331,43332
43360,43361
24235,24234
43411,43412
43422,43423
4634,4633
36181,36180
43477,43478
27902,27901
43526,43527
43600,43601
43613,43614
43636,43637
43638,43639
43659,43660
43662,43663
43688,43689
43736,43737
20992,43771
43785,43786
43788,43789
43791,43792
27123,43798
43803,43804
43816,43817
43824,43825
43838,43839
38209,38208
3761,3760
6138,43885
43915,43916
30698,30697
43933,43934
9612,43937
43959,43960
43980,43981
32696,32695
43996,43997
43999,44000
44074,44075
44103,44104
44110,44111
8637,44142
44186,44187
31398,44188
44222,44223
31356,31355
37845,37844
44226,44227
44269,44270
44273,44274
44290,44291
44293,44294
25452,25451
13200,44306
44332,44333
44341,44342
44356,44357
35849,44358
44341,44409
44438,44439
32171,32170
44476,26436
16764,19578
44519,44520
44536,44537
38470,38469
44582,44583
44584,44585
40530,44598
44644,44645
28335,28334
22422,44666
33115,33114
44685,44686
33353,44687
44688,44689
11370,11369
44727,44728
44757,44758
44763,44764
44766,44767
44775,44776
44777,44778
37328,44792
44810,44811
44815,44816
27123,44819
44833,44834
23366,23365
24224,34922
4895,4894
35747,44897
35470,35469
44912,44913
44915,44916
42420,42419
36245,44962
43788,44969
35640,44970
21629,21628
45002,45003
45017,45018
45019,45020
45021,45022
45069,45070
3524,45082
45090,45091
45115,45116
45125,45126
45132,45133
45157,45158
29727,29726
37834,45174
1186,45191
45221,45222
45239,45240
45242,45243
45244,45245
45254,45255
45286,45287
45296,45297
9348,9347
44445,44444
26694,26693
45357,45358
45361,45362
5511,45374
30166,45386
45410,45411
45414,45415
18023,45428
45433,45434
45435,45436
19580,45445
45446,45447
45456,45457
45484,45485
45486,45487
45514,45515
45523,45524
12439,45550
777,776
45594,45595
24007,45615
40776,40775
45625,45626
12998,12997
45664,45665
39545,39544
45689,45690
45700,45701
33238,33237
45732,45733
45738,45739
12001,12000
45775,45776
11338,11337
45812,45813
9640,9639
22396,45841
39087,39086
45858,45859
45864,45865
5021,7454
45897,45898
41340,41339
45929,45930
45952,45953
31736,31735
36450,36449
46093,46094
46110,5996
46121,46122
43047,43046
46134,46135
46164,46165
26635,26634
46178,46179
38597,38596
10850,46183
46189,46190
29569,29568
761,40446
46256,46257
46272,46273
46274,46275
46280,46281
46288,46289
46304,46305
46322,46323
46334,46335
46338,46339
46354,46355
46381,46382
3827,3826
46397,46398
46402,46403
30352,46417
46427,46428
27140,46436
46453,46454
46466,46467
46474,46475
9901,45639
46484,46485
46488,42879
46495,46496
31868,31867
46509,46510
46540,46541
46559,46560
46562,46563
46567,46568
46570,46571
46620,46621
46646,46647
46334,46655
46658,46659
5471,46680
34494,34493
46741,46742
46743,46744
46756,46757
46789,46790
46793,46794
46839,46840
41046,41045
4342,4341
46856,46857
16252,16251
46862,46863
46890,46891
46895,46896
27886,27885
46907,46908
46334,46910
36620,36619
46968,46969
46977,46978
31009,46979
47004,47005
47022,47023
47027,47028
47029,47030
47075,47076
47080,47081
47087,47088
47091,47092
47117,47118
40006,43239
44565,44564
34781,47159
10704,34930
47166,47167
47205,47206
47214,47215
47226,47227
46856,47247
47258,47259
13593,13592
47274,47275
3217,3216
47348,47349
47360,47361
9740,9739
47378,47379
47389,47390
47398,20113
43338,43337
47417,47418
47433,47434
12242,44572
47464,47465
47484,47485
47495,47496
47503,47504
24254,24253
47545,47546
40006,40005
47107,47106
47573,47574
47615,47616
10772,10771
47702,47703
30948,30947
47708,47709
47714,47715
14431,14430
47725,47726
47739,47740
19713,19712
47808,47809
47820,47821
47824,47825
47843,47844
47870,47871
16634,16633
45880,47932
45187,45186
47956,47957
34837,47970
25333,47975
47983,47984
47986,47987
48001,48002
47824,48007
48012,48013
48018,20768
48039,48040
48041,48042
47342,47341
34117,34116
48097,48098
48103,48104
13487,48186
48192,48193
48210,48211
48223,48224
48227,48228
48246,48247
48250,48251
48262,48263
48266,48267
15007,15006
48274,48275
48279,48280
48295,48296
48312,48313
48321,48322
12123,48326
32102,32101
48339,48340
16587,37560
48391,48392
48410,48411
18732,18731
19064,19063
48444,48445
48449,48450
48481,48482
48494,48495
48506,48507
48524,48525
48569,48570
21331,21330
48591,48592
24165,24164
48603,48604
48605,48606
32827,32826
48679,48680
48730,38266
48745,48746
38473,7907
48777,48778
48803,48804
48822,48823
46984,46983
7571,7570
16704,16703
18023,18022
24508,24507
48905,48906
48917,48918
48928,48929
48938,48939
48988,48989
48304,48303
49014,49015
49041,49042
49048,49049
49066,49067
49101,49102
49103,49104
49122,49123
49127,49128
30665,49133
39190,39189
24284,45825
31925,49150
49159,49160
49174,49175
14005,49185
49197,49198
49211,49212
49213,49214
49217,49218
22422,49225
36429,49320
49373,49374
40530,49375
43996,49388
49406,49407
49424,49425
49429,49430
49431,49432
49446,49447
46558,46557
42701,42700
17139,17138
49551,49552
49593,49594
49611,49612
49614,49615
49662,49663
26698,26697
40281,40280
49674,49675
15182,49676
49711,49712
49736,49737
49738,49739
49754,49755
49771,49772
12082,12081
42071,42070
43587,43586
27809,27808
22770,49810
49834,49835
31245,31244
49855,49856
18994,18993
49865,49866
49874,49875
6409,6408
49908,49909
49928,49929
42120,49947
49955,49956
49970,49971
49972,49973
35700,35699
8513,49986
49998,49999
50005,50006
11602,50011
50015,50016
38251,50021
50054,50055
12275,12274
22695,50116
3524,50126
50164,50165
50193,50194
50206,50207
50226,50227
11693,11692
50231,50232
25157,25156
50239,50240
49879,49878
50315,50316
43667,43666
50356,50357
50368,50369
50393,50394
50401,50402
8243,8242
22770,50417
35575,35574
1714,1713
11782,50458
50485,50486
50490,50491
50517,50518
50552,50553
20529,50562
50563,50564
50589,50590
50594,50595
50637,50638
34858,50659
15822,50666
34538,34537
50671,50672
50680,50681
10850,50682
44784,34317
50723,50724
46037,46036
50757,50758
33331,50777
13141,13140
30897,50791
43180,43179
42395,50814
50847,50848
50860,50861
46295,46294
33379,50878
33607,33606
46086,46085
50913,50914
28105,28104
50919,50920
50924,50925
28256,50936
50949,50950
20668,50951
50957,50958
48304,50961
50976,50977
31198,31197
43836,43835
38874,51039
22881,51046
29665,29664
51075,51076
12830,12829
51089,51090
49839,49838
12170,51112
51125,51126
51136,51137
51171,51172
51179,51180
9901,35714
20234,20233
51212,51213
51220,51221
51228,51229
46188,51233
6150,51235
35301,35300
13487,51240
44416,44415
51272,51273
44557,44556
51289,51290
34450,34449
51297,51298
40494,40493
51317,51318
45659,16696
27559,35658
25619,25618
17667,17666
51401,51402
51414,51415
51439,51440
51461,51462
51465,51466
51468,51469
51510,51511
38624,51512
51515,51516
6150,51518
51519,41167
51525,51526
51584,51585
37834,51588
51596,51597
51605,51606
51609,51610
51676,51677
47333,51681
51696,15265
51699,51700
26956,26955
36305,36304
51757,51758
25778,25777
30812,30811
51792,51793
38256,51491
38219,38218
3719,3718
51849,51850
51856,51857
51877,51878
31309,51886
51922,51923
51925,51926
51945,51946
51980,51981
24215,51990
52009,52010
52023,52024
52049,52050
38180,38179
28643,28642
52098,52099
52113,52114
52121,52122
52125,52126
52159,52160
35258,50344
22770,52232
49776,49775
46322,52268
10850,52269
9454,52285
36770,36769
52297,52298
52299,52300
52314,52315
52320,52321
52322,52323
52328,52329
44589,44588
52335,52336
52351,52352
52358,52359
52365,52366
51036,51035
20871,52418
52424,52425
52455,52456
52465,52466
52472,52473
52477,52478
52496,52497
39992,39991
31309,31308
43003,43002
52545,52546
11137,11136
18891,18890
3287,3286
52596,52597
52620,52621
52637,52638
52650,52651
42210,42209
6126,6125
52681,52682
20340,20339
51970,51969
24367,52722
52735,52736
17616,17615
43808,43807
52794,52795
32889,52804
52823,52824
42480,52844
52856,52857
28081,52860
52894,52895
52898,52899
52914,52915
52916,52917
52925,52926
43351,43350
52936,52937
17725,52953
52958,52959
8243,19380
35258,53020
46769,46768
53026,53027
50649,50648
53077,53078
21745,21744
53141,53142
15925,15924
53167,53168
53178,53179
33089,53187
53192,53193
31035,31034
53209,53210
53211,53212
6150,53218
53220,53221
53254,53255
53277,53278
53280,53281
28688,42261
53303,53304
53312,53313
53353,53354
53374,53375
52840,53379
53385,53386
52249,52248
22460,53401
43517,53404
53425,53426
53432,53433
9901,53452
53457,53458
53470,53471
53485,53486
6880,43634
11782,53501
37822,37821
30634,30633
50456,53554
52936,53556
13194,13193
53568,53569
53580,53581
44781,44780
36250,36249
53620,53621
53627,53628
26067,26066
2193,38530
53650,53651
53655,53656
53679,53680
49601,49600
52060,52059
53734,53735
15768,15767
33483,33482
53753,53754
53755,53756
53758,53759
26767,26766
10263,53761
53798,53799
761,53816
53817,53818
29000,28999
53822,53823
26015,26014
15779,15778
53847,53848
53850,53851
14023,14022
53883,53884
1186,53889
53901,53902
53914,53915
53921,53922
11782,13279
53939,53940
43234,43233
53974,53975
51186,51185
47849,47848
54013,54014
39633,39632
38211,38210
54063,54064
4905,54068
41970,41969
49420,49419
35537,35536
54098,54099
54101,54102
4199,4198
54109,54110
54131,54132
54150,54151
41006,41005
15848,54161
54193,54194
54213,54214
35427,54236
54112,54111
23867,23866
28605,28604
32834,32833
17180,54291
51394,51393
54301,54302
54338,54339
15305,15304
23821,23820
40196,40195
54380,54381
49113,49112
26923,26922
46603,54432
54467,54468
46319,46318
37895,37894
47603,47602
54525,54526
54529,54530
40063,54546
54562,54563
43098,48743
50023,50022
8202,8201
54633,54634
54646,54647
54665,54666
2646,2645
54695,54696
54712,54713
13716,54716
43178,43177
54760,54761
49152,49151
40311,54779
1097,1096
54780,54781
54802,54803
54814,54815
54821,54822
18469,41512
29785,29784
54856,54857
7167,7166
54899,54900
3829,54902
54920,54921
11357,54935
35849,35848
54970,54971
35698,35697
42869,42868
37008,37007
55021,55022
12030,55023
22905,22904
55033,55034
51753,51752
27447,27446
55054,55055
46055,55073
55080,55081
55084,55085
55097,55098
55109,55110
55144,55145
50146,50145
55165,55166
55176,55177
55178,55179
55189,55190
35449,35448
55200,55201
31398,31397
14162,14161
55225,55226
9706,9705
55245,55246
55248,55249
1411,1410
55251,55252
13939,13938
55262,55263
36429,36428
23083,23082
55287,55288
20992,55313
51770,51769
55367,55368
53841,55371
21021,21020
50050,50049
10766,17272
34370,34369
55456,55457
17248,55459
55472,55473
55486,55487
7406,7405
55502,55503
55530,55531
4255,4254
55545,55546
55554,55555
50806,50805
4913,4912
31605,55620
55623,55624
37401,37400
5126,55667
25358,25357
55673,55674
27913,27912
55735,55736
52355,52354
55754,55755
55761,55762
50023,55763
55765,55766
880,55788
55807,55808
55809,55810
55824,55825
55832,55833
55840,55841
34897,55842
55862,55863
44471,55867
11699,11698
27615,27614
55891,55892
55903,55904
55905,55906
36334,36333
55919,55920
55709,55708
13336,55938
47078,49660
55947,55948
55988,55989
14474,14473
40073,40072
56002,56003
3672,3671
56060,56061
41966,41965
56080,56081
9628,9627
47830,56084
1186,48722
13519,13518
56101,56102
56132,56133
35684,35683
