statelocatedingeopoliticalloca1_1,statelocatedingeopoliticalloca1_2
1962,541
3348,541
90,819
59171,541
10952,541
9360,541
12619,541
2424,541
3553,541
16992,541
3034,1966
11973,1966
90,1724
1138,541
4045,541
9393,541
3370,541
9500,541
6431,541
1050,541
1352,541
905,541
377,541
2348,541
2334,541
73817,541
7679,541
5238,541
904,541
17037,541
977,18283
27083,541
1844,541
45198,541
11872,541
42708,541
9217,541
614,541
8162,541
17027,541
1059,73015
3475,541
90,866
8680,541
128,6288
20204,541
90,2079
39866,541
2158,541
9,541
10503,541
43110,541
22324,541
977,717
6698,541
8122,541
700,74559
17089,541
9464,541
19665,541
7480,541
2342,541
9290,541
657,541
34814,541
992,541
13230,541
6375,541
977,1374
351,541
1059,72842
15309,541
54078,541
37410,541
4489,541
36,541
43448,541
81,541
2063,541
128,541
26688,541
1884,541
1157,541
13810,541
25471,541
2737,541
11665,67398
17776,541
71190,541
2079,541
3078,541
1817,541
11665,41739
3034,2424
154,541
13418,541
3222,541
700,66805
2605,541
1098,1724
9390,541
14063,541
29179,541
7128,541
18014,541
17792,541
978,541
46802,541
977,17
18804,541
5922,541
127,541
4884,541
8647,541
1816,541
1098,978
866,541
31564,541
12277,541
2701,541
2349,541
18172,541
1644,541
75064,541
494,2855
5752,541
3034,1844
2943,541
700,10888
309,541
57154,541
17461,541
7758,6288
69790,541
4432,541
7006,541
23590,541
17970,541
7836,541
2303,541
5593,541
1334,541
225,541
48958,541
1256,541
