touristattractionsuchastourist1_1,touristattractionsuchastourist1_2
472,71677
472,16449
472,23045
472,29820
472,62533
472,67132
472,16354
472,57648
472,71996
472,10356
472,57093
472,52370
472,18769
472,61996
472,64585
472,67403
472,29898
472,53479
472,72276
472,24213
472,45873
472,27832
472,72353
472,72355
472,72386
472,47411
472,72465
472,51555
472,4438
472,27935
472,29203
472,42635
472,69867
472,72762
472,72793
472,57070
472,53535
472,72835
472,8949
472,63092
472,68546
472,50088
472,56861
472,45796
472,72990
472,65637
472,25172
472,73083
472,73119
472,40626
472,73160
472,26394
472,72024
472,13751
472,60218
472,70189
472,26132
472,72543
472,32774
472,67736
472,69525
472,37410
472,63771
472,55042
472,13995
472,25391
472,70287
472,59461
472,5604
472,64278
53562,37309
472,60199
472,70133
472,67143
472,43339
472,26368
472,73797
472,14855
472,28767
472,73269
472,37022
472,68899
472,8873
472,48491
472,25861
472,4269
472,72999
472,12753
472,66990
472,14008
472,74059
472,72481
472,72734
472,74127
472,69047
472,65385
472,53184
472,67444
472,47324
472,64267
472,21743
472,14393
472,69027
472,54955
472,52883
472,43968
472,65613
472,74471
472,42707
472,74508
472,53618
472,28993
472,70821
472,62276
472,20929
472,74606
472,59709
472,64958
472,68014
472,74685
472,62926
472,61095
472,57103
472,47587
472,64735
472,52567
472,73729
472,74760
472,6887
472,30652
472,63837
472,74556
472,64666
472,58876
472,10289
472,38630
472,42077
472,4891
472,39872
472,4864
472,60885
472,72439
472,71744
472,66876
472,59700
472,73231
472,74903
472,74052
472,2653
472,61635
472,73222
472,56593
472,68472
472,71179
472,62247
472,55277
472,51772
472,56590
50618,4304
472,53577
472,49239
472,58525
472,21567
26587,26586
472,4153
472,22021
472,8173
472,66737
472,70411
472,72929
472,66593
472,67760
472,7993
472,38364
472,52924
472,24527
472,56927
472,45097
472,66334
472,62528
472,29571
472,59394
472,73919
472,65576
74649,56969
472,41364
472,74298
472,40207
472,54550
472,66219
472,57115
472,40374
472,37417
472,50140
472,33600
472,69137
472,67448
472,75365
472,75373
472,28074
472,27048
472,30888
472,71408
472,75412
472,70478
472,44143
472,31037
472,75401
472,72251
472,65743
472,31111
472,70608
472,57166
472,74085
472,3122
472,74548
472,21610
472,39030
472,42429
472,64821
472,54248
472,75466
472,74744
472,49322
472,25944
472,67061
472,25193
472,50815
472,30474
472,49466
472,46986
472,42247
472,39594
472,42145
472,52427
472,53746
472,8448
