athleteplayssport_inv_1,athleteplayssport_inv_2
454,774
47,25924
47,26028
454,26088
947,16918
454,25031
1100,26369
47,26422
47,26494
47,26529
47,21043
47,26761
947,10651
47,13242
454,24536
1100,7435
47,26914
454,26917
1100,19518
39,27039
454,27040
7930,27041
47,15971
47,23141
39,27182
1100,25543
47,27211
47,27219
47,20161
47,27286
47,15616
454,1212
47,27435
47,4443
454,27747
47,27839
47,22409
47,27888
47,27966
47,28060
47,28062
47,28090
1100,28102
47,28167
454,10944
47,28414
1100,28760
47,29142
47,26053
47,7069
7930,29335
47,13558
47,12521
454,16002
454,29409
47,29480
47,29641
47,29778
1100,29846
1100,29849
454,29996
47,30072
30238,30239
47,11065
47,5812
47,23157
39,13138
47,30673
47,26712
47,12438
47,25110
47,31095
47,31123
1100,31230
47,31303
454,7827
47,31417
454,2987
47,31655
47,31691
47,31811
47,31945
47,29178
47,32175
47,755
47,32218
47,6062
47,32428
47,32448
47,2331
47,4893
47,10403
39,32920
47,28160
947,33050
47,33119
47,12685
47,33267
47,16681
47,33308
47,33389
47,7351
47,30522
47,33650
2297,33653
947,33675
47,33822
47,27425
47,33921
47,7054
47,34079
47,34148
47,13480
47,34232
454,3914
47,34349
47,27984
47,34725
47,34186
47,34822
947,16445
1100,35118
47,35156
47,7315
1141,35187
47,35207
947,12644
47,35266
47,35417
47,35425
47,16756
454,10221
454,22868
47,18847
47,13012
47,15111
47,34842
47,32227
47,4419
47,35917
47,35973
47,36006
47,25448
454,11263
47,36041
454,9491
47,36136
47,36258
47,5987
47,33220
47,36594
39,36640
1100,36644
47,36718
2297,36810
47,36819
47,36870
47,37025
47,37100
47,13936
47,13088
47,37258
47,37445
47,22647
47,37528
47,37601
47,37663
7930,37669
47,30830
47,37806
1100,37846
47,37881
47,11106
47,5333
47,38322
47,38341
454,16384
47,15909
47,31166
47,38756
47,28733
47,38955
47,23195
47,19834
47,39003
47,33459
47,39105
454,9603
1100,39198
47,39359
47,16881
47,17622
947,39591
47,39649
47,18235
47,39710
947,29535
47,39930
454,27944
47,12940
39,40193
1100,40209
47,40219
47,40220
47,29293
47,7502
47,40269
47,10214
947,32821
1100,40379
47,40542
1100,40657
47,10684
47,40862
47,18639
47,41012
47,24191
47,2171
47,41089
7930,10640
454,23333
2297,39446
47,41467
47,41593
39,34960
47,41659
47,41672
1100,41692
47,41767
47,41769
947,40614
47,41790
47,41865
47,41898
47,41899
47,29091
47,12718
47,42035
47,42057
47,42158
47,24976
47,42237
47,14254
47,10489
47,42299
47,5779
947,19588
454,17263
47,42548
47,42556
47,42578
47,42600
47,14267
47,12266
47,42762
47,41272
454,42769
47,42976
47,42979
47,13316
47,19576
47,30863
47,43130
47,12145
47,43207
947,32731
454,43425
47,20582
1100,16935
47,43464
47,31791
454,27161
454,18135
47,21247
47,39558
47,44030
47,4750
47,44132
454,11658
947,44182
47,44183
47,16564
947,15766
47,44249
1100,44330
454,44381
47,44451
47,44495
47,24298
2297,44597
47,41252
47,44653
47,36039
47,28845
47,44710
47,28785
47,1718
47,12399
47,35617
47,1643
47,31495
47,36204
947,31298
47,45155
47,13171
47,12210
947,33505
47,45392
47,45399
47,20877
47,40467
47,45502
47,21442
47,9455
47,24905
47,45688
47,45698
47,45712
47,45757
47,40305
47,45851
47,12305
47,45877
47,14850
47,46047
47,46221
47,25712
47,46229
1100,46243
47,30039
47,19222
47,46450
47,46479
47,26644
454,45842
454,23943
47,46524
47,46534
454,10436
47,46618
47,37260
47,46729
47,44317
47,46800
12403,46810
47,7751
39,44271
47,46899
47,15244
47,42811
47,12255
47,2499
47,47216
47,4420
47,47351
454,20708
47,6489
47,47426
1100,1581
47,40732
47,37620
47,21250
47,39191
47,26334
47,28694
47,5821
47,47905
47,47952
47,48037
2297,12098
47,24293
454,48217
47,32921
47,48241
47,48374
454,18803
47,22867
47,11826
47,48672
47,646
454,35078
47,22506
47,27777
47,48920
47,48934
47,6007
47,34386
47,49010
2297,37355
3129,49051
47,49081
47,49124
47,49171
47,12314
47,14463
47,5036
454,18828
39,49324
1100,49440
47,49468
47,49557
47,14045
47,20182
47,8198
47,49819
47,16249
47,47269
47,36996
2297,41145
47,50058
47,19351
47,31390
47,32870
947,7217
47,24072
47,50310
47,50363
2297,37045
47,50400
2452,50503
47,24929
47,37106
47,50567
47,30540
454,50658
47,30927
47,25433
2297,50824
47,26351
47,7277
454,27621
47,40167
47,35235
47,19937
47,17627
47,42824
47,30141
47,51264
47,46598
47,51326
47,42750
2297,41445
47,6005
454,2471
47,51473
47,51481
47,51517
47,49107
47,51554
47,27311
47,32503
47,51103
454,45476
454,11288
47,51782
47,51832
47,38355
454,52027
47,20690
947,12721
47,12599
47,15824
454,52128
47,24921
454,21134
39,4622
47,9475
2297,45662
47,8497
47,43500
454,9100
1100,52516
47,24099
47,9726
47,46035
47,52755
947,14745
47,52972
947,52984
47,51482
47,25945
47,3925
47,53330
2297,36749
47,46369
454,53475
47,8897
47,53516
47,25997
454,32604
47,53541
47,43653
39,37622
47,24986
454,3759
47,22440
47,25111
454,53707
47,29373
47,53719
47,53779
47,11395
47,20021
47,36851
47,53061
47,30375
47,54187
47,54202
47,2856
47,7186
47,54270
47,54308
47,8155
47,43433
454,9099
47,12570
2297,54499
47,54581
47,28944
947,17210
454,42217
47,52498
47,54842
47,54846
47,50197
39,16706
47,38456
47,40495
1100,2264
47,55232
47,1678
47,36560
47,55311
1100,55312
47,55389
47,55423
47,23864
47,15816
454,55508
47,21726
47,55595
47,48055
47,47207
47,33276
7930,55636
454,46901
2297,53369
47,26747
2297,55885
47,55952
47,40923
47,4724
47,37259
47,47706
47,17074
47,37828
47,56093
47,48666
1100,40355
1100,32399
47,29951
47,33284
47,10056
1100,24377
47,47661
47,45263
47,56363
7930,37647
47,23246
47,31701
47,34501
47,56447
47,31498
47,56499
47,56533
47,56607
47,56651
454,32328
47,53839
1141,28221
1100,56262
39,4034
47,28771
47,7310
47,46777
47,56954
2297,56965
47,57013
47,47190
47,57034
47,33652
47,41182
47,57135
47,29086
454,49897
2297,57366
47,55533
454,37731
454,57480
454,23710
47,3203
47,35416
47,57656
47,57740
7930,14392
47,22887
47,16627
47,48774
1100,28294
47,39136
47,35760
454,9509
47,39406
454,18384
47,22346
47,32777
454,46804
47,14232
47,22239
47,1213
47,58254
47,3991
47,30060
47,22313
47,58133
47,46966
47,19624
47,51974
47,37453
47,51822
47,58520
47,58531
454,23490
454,26752
47,11878
47,35307
47,12036
454,14609
454,58639
454,25565
47,58694
47,57401
1100,58734
47,33032
947,48838
47,45886
47,42081
1100,58826
454,34477
47,44868
947,12643
47,16721
47,59002
47,4363
1141,46875
47,51731
47,12895
454,2887
47,6029
47,19456
47,59321
47,59333
47,38853
47,8754
47,59405
47,16184
947,1554
47,37927
47,8445
47,27308
47,22686
47,13960
47,44934
47,14344
47,55696
1100,49342
47,36875
47,22274
47,24582
1100,58435
47,7531
47,27044
47,45207
47,45744
47,60135
47,46248
47,54330
26447,56692
947,1766
47,1437
47,52800
454,46074
47,60285
47,29052
454,29246
47,29755
47,60400
47,20322
47,55370
47,60523
47,43879
2297,46030
47,26821
47,60789
47,28151
454,11126
47,31222
47,43150
47,60937
454,17734
2297,54293
1100,60966
47,61011
47,26695
47,14380
1100,61053
47,58447
454,6990
47,43091
454,61232
47,55996
47,45978
12403,19742
47,61346
47,61353
47,61355
47,59476
47,5024
47,13816
47,61401
47,55404
47,43565
47,14754
47,53060
47,61623
47,61698
47,61702
1100,20623
47,61722
47,40645
47,61737
1100,61739
1100,50872
47,28196
2297,61807
47,30806
47,54843
47,47906
47,4536
947,27233
47,62150
47,28147
47,46825
7930,62304
47,24701
47,37930
47,62222
47,62361
47,50488
1100,46967
47,47410
47,59110
47,44829
47,38138
947,55155
47,39337
454,48089
454,34965
47,22828
47,48714
47,23194
47,17673
47,10197
47,25931
47,41687
47,17066
454,34882
47,33535
1100,44348
47,62809
47,8292
947,32028
454,44238
47,5620
47,62969
47,55495
47,61316
47,2918
47,24446
47,19714
47,27666
454,41499
42691,63191
47,26104
47,53518
47,52357
47,63311
454,11988
47,1842
47,8449
454,27754
1100,16275
47,5961
47,63530
47,62576
47,63542
47,37201
47,63593
47,52511
47,63613
47,63637
47,63638
47,38712
47,29348
2297,63674
454,20501
47,21257
47,18687
47,44245
47,1818
47,57857
454,20378
47,63958
47,24631
47,57086
47,52075
47,64094
47,14361
47,39383
47,38207
47,125
47,64200
47,24518
47,46918
47,7080
454,88
47,44545
2297,54810
47,59924
47,64367
947,1416
47,2208
47,11810
47,64476
454,11986
47,19974
47,3747
1100,64572
47,51653
3531,8792
47,32403
454,12647
47,64729
1141,55954
47,64746
47,64792
47,51009
47,14645
47,11672
47,56126
47,61566
947,46251
47,62919
1141,18843
47,47925
47,63296
47,23119
47,16395
47,19496
947,17338
47,48577
47,11864
47,65179
2297,9746
454,8530
47,3435
47,34807
47,65062
47,8564
454,65676
47,8507
47,37409
454,18409
47,54059
47,51133
47,30690
47,65880
1100,65890
47,14128
1141,65935
7930,43320
947,22164
47,17309
454,49506
47,48701
454,26114
47,64009
1100,34688
47,18209
1100,14613
454,61914
47,65950
47,23735
47,7529
47,66259
47,29336
7930,66284
47,58651
47,17494
47,66307
47,15868
47,3904
47,22293
1100,52632
47,25797
47,66359
47,46854
47,64675
47,9912
47,55738
47,22336
47,31988
47,66552
47,24353
47,54905
47,38587
47,10274
47,15013
2297,66635
47,28302
47,20297
47,66669
47,33664
47,38452
47,46
47,66743
47,38832
47,8958
47,17614
47,32145
2297,52240
47,66864
47,32872
47,56550
47,56939
947,8654
47,33741
47,56164
47,59653
454,2371
47,23632
47,59830
47,58334
47,4351
47,13759
1100,1099
39,14846
1100,65662
47,67117
47,39369
47,61958
47,18119
47,57653
454,51051
47,55132
454,67248
454,63664
39,63908
47,67286
47,32598
1100,67330
47,67396
47,2352
47,30370
2297,2296
47,31010
47,16244
454,34023
47,23491
454,453
2297,67627
47,12360
47,26711
47,67708
1100,57204
47,4550
47,11032
47,11882
47,67512
1100,49527
47,67793
47,67795
47,41862
47,38837
47,1384
47,1238
47,45464
47,36082
1141,15034
1141,4930
454,47899
47,15806
7930,67985
2297,61632
454,27909
454,35596
47,367
39,41235
454,17406
39,23081
47,46826
47,16399
947,11436
47,56766
47,39358
47,50733
47,24654
47,68252
47,16803
47,13525
47,15222
47,13615
47,68306
47,51208
47,68355
47,12206
47,8234
47,42080
47,68433
47,45450
47,18404
47,20381
1100,68474
47,14278
47,68491
47,21292
47,49911
47,30693
47,60377
47,68611
47,27422
12403,30198
1100,19255
454,38159
47,37874
454,44640
47,68807
47,27068
47,21431
1100,16998
47,68847
47,58387
2297,43319
47,57608
47,4748
39,26077
47,68936
39,15336
47,54740
47,46293
47,69059
47,21837
39,11071
2297,44774
47,55787
47,22593
39,3424
47,6871
39,603
39,11616
39,46131
12403,62329
454,50830
47,69171
47,69177
47,19523
12403,69202
47,64096
2297,60680
47,41982
47,50664
47,20933
47,58173
47,69352
47,13004
947,57523
947,22814
47,69407
454,31936
47,36109
47,53786
47,69490
47,69505
47,59018
47,39605
47,67568
47,61291
1100,69544
454,69596
47,67582
47,22866
47,22496
454,22907
47,22458
47,13961
47,69756
47,64962
47,16463
47,67153
947,16233
47,20246
47,29841
47,56798
47,5657
454,13605
47,69897
2297,69930
47,31432
1100,8822
47,6667
47,61513
1100,70067
47,20834
47,35101
47,70118
47,4778
47,70160
47,63475
47,64987
47,4754
47,70201
47,31463
47,57163
47,53597
47,25037
947,19353
47,66082
47,57954
47,51904
947,32256
47,50945
47,62622
47,40565
47,48849
47,32009
47,47572
47,67010
947,59468
47,10212
1100,30319
47,14056
47,70551
947,7876
454,61402
47,1039
39,9005
47,44948
47,59050
7930,32648
47,36824
47,48979
47,10874
47,65529
47,36785
454,48236
47,23154
47,13641
47,45860
47,70947
47,70951
47,22252
47,70976
47,38586
1100,47339
47,56869
39,29746
2297,57114
47,64790
947,42251
1100,71106
47,9303
947,41418
454,38467
947,10836
47,71176
47,56579
47,36052
47,41062
47,20940
47,4630
1100,54772
47,25516
47,29859
454,28729
454,3578
47,68854
47,21129
7930,27548
47,5875
947,30555
47,16658
47,25045
47,66790
47,45328
47,53177
47,15967
47,24882
47,53532
47,23199
47,24122
47,18602
454,69475
454,51537
47,42765
47,38271
47,71303
47,29436
47,58880
47,18397
47,2873
1100,62532
1141,36044
47,3794
454,5579
2297,66282
47,9197
47,17848
47,2974
47,26808
47,10594
47,33618
47,16523
47,2177
47,71871
47,13669
47,66212
47,28188
47,44211
47,61990
454,62981
47,8315
47,71975
47,71979
47,36427
47,9845
47,37932
47,27049
47,5199
47,33526
947,23981
47,70089
47,72114
47,58787
47,60508
47,24778
47,49932
47,39468
47,38333
47,70337
47,27501
47,9689
47,67982
47,55872
47,72359
1100,50263
47,9396
454,22673
47,72419
47,64474
47,47900
47,34779
1100,72464
47,46584
47,23898
454,9894
39,5573
47,72522
1100,862
47,15724
947,55461
47,36207
47,39423
47,18625
47,64150
454,31011
454,18513
47,65462
47,72646
47,60489
454,4999
47,17198
47,6557
47,13015
47,39683
47,52507
47,55217
47,7086
47,72792
39,24620
47,35320
1100,72813
47,68185
47,5347
47,24671
47,41863
47,4145
454,3066
47,24665
47,72919
454,20217
47,67687
47,70498
454,57640
47,5550
47,46069
47,30367
454,24462
47,15903
47,67936
47,26882
1100,63045
47,26152
47,12803
47,10750
47,19305
47,62364
47,15920
47,31505
47,73123
454,9933
47,17129
47,57840
454,24776
47,46441
47,73227
47,11107
47,73228
47,51274
47,70643
47,33911
454,2864
47,3536
47,2337
7930,60365
47,51231
47,39214
47,73341
47,42827
947,35467
47,22319
1141,36350
47,56961
47,1720
47,12158
47,6979
47,73451
947,55205
47,69258
47,35303
47,15949
47,33916
454,41107
47,66738
47,49790
47,12568
47,33057
454,57119
47,27085
47,59320
47,34975
47,1106
47,44580
47,48891
47,69781
47,29306
1100,21809
47,71919
47,71634
47,73699
47,39503
947,21821
1100,68617
47,58905
47,31207
47,73773
47,31629
47,15754
47,3980
454,33889
47,54747
1100,72876
47,65028
47,71664
47,34476
47,64190
454,42901
47,69209
47,44177
454,68141
47,25563
454,58486
47,34578
47,73936
47,50527
47,12023
454,31943
47,26196
47,64672
47,45745
47,1126
47,73998
47,42777
47,30249
47,54866
454,2196
47,34808
47,8396
47,59728
47,40855
47,23530
7930,73605
47,4539
47,44579
47,68345
47,62570
47,1000
47,3437
39,31293
47,14365
47,72894
47,59479
47,58868
47,52973
47,15974
47,65712
47,36684
47,37217
947,73046
47,24469
47,69868
454,67560
47,73190
47,74227
47,32679
47,74279
1100,68078
47,73738
39,58958
454,53594
47,27590
47,67729
947,17977
47,12872
47,43176
47,49872
1100,74377
47,13721
47,23553
47,71721
47,51065
47,16822
47,58038
47,23483
47,62033
454,19098
47,14591
47,12740
47,36042
47,46063
47,72735
947,28275
47,11133
39,6482
47,74535
1100,30181
47,74549
47,19512
947,35508
1100,60568
47,72153
47,68797
47,43510
47,60717
47,9319
47,69590
47,34008
47,30607
454,25788
47,74592
47,38711
47,35026
47,22432
47,43158
47,40888
47,3351
47,74615
47,49845
47,31962
1100,17958
47,72752
454,38276
47,26145
47,42472
47,15040
47,55921
47,38888
1100,74672
47,13053
47,26760
47,74283
947,60528
47,23886
947,8412
47,37458
47,61065
454,33943
947,19251
47,2006
47,52410
47,37263
39,41446
47,40878
47,74772
454,31963
947,74783
47,49814
47,47135
47,5775
47,74807
947,47163
47,74813
47,40924
47,9405
47,71185
47,23966
47,74865
47,42365
47,74870
47,29660
47,20988
47,5839
47,72686
47,39792
2297,74010
47,20907
47,37710
47,74727
47,59836
47,37938
47,53775
947,16131
47,74927
1100,61942
47,60656
454,11294
47,73419
47,57361
47,37768
1100,63231
47,11406
47,24249
47,25456
47,14847
1141,31841
47,18835
47,65070
47,67245
47,33651
47,58761
47,75037
47,72924
47,27483
47,5292
39,15897
47,10945
454,53419
2297,64609
1100,75061
1100,74710
47,7493
1141,21918
1100,59646
47,60744
47,74465
454,8041
47,41650
47,75102
947,59813
39,41453
454,61724
47,21562
47,45703
47,24731
47,24858
47,56091
454,25694
454,33871
454,8991
47,9328
47,53104
47,7682
454,6901
47,55227
47,69131
1100,61153
7930,57110
47,43082
47,75020
47,21994
47,36708
947,1112
947,15708
47,34472
47,66399
47,38604
47,60734
1141,3358
47,29190
47,49265
47,67372
947,17236
47,32484
39,45961
454,27063
47,30128
47,5915
47,21164
47,41522
47,25147
47,3043
47,40282
47,75235
1100,69829
2297,58232
47,32269
47,19467
47,24533
47,30914
47,56837
47,74894
47,35106
47,70918
47,24313
47,44622
47,23263
47,42417
47,20464
47,62440
47,6875
47,10441
47,5945
47,24403
47,1115
47,21411
454,43927
47,72527
47,62249
47,73265
47,45190
47,71189
47,26965
47,66384
47,39820
47,56055
454,19108
47,65971
47,74832
47,25207
47,28189
947,6599
47,25572
47,28248
47,3482
47,9527
47,11035
47,27344
47,51794
47,21615
2297,75250
454,59453
47,42352
47,58669
47,55244
47,72379
47,47818
47,8559
47,5130
47,71076
47,9028
47,22772
454,47804
454,9993
47,69691
47,42655
1141,48869
47,73501
47,27171
47,68431
47,21333
47,63649
47,47771
47,1509
47,29873
47,75425
47,33660
47,64983
47,21249
47,19585
47,27160
47,32179
454,63650
47,43127
454,42932
454,1531
47,40682
47,64756
47,57597
47,35330
39,10913
39,29957
47,69799
454,23266
47,48428
47,62297
47,75229
47,25538
47,35591
47,38294
454,23570
39,19170
47,75448
454,7300
47,69945
47,59275
47,31373
47,14373
26447,26446
47,42306
47,33930
1100,75460
454,4127
454,4762
47,74977
454,35798
7930,7929
47,57903
47,57281
47,69363
47,17229
47,46976
47,23948
47,44525
47,36503
47,59296
47,54419
454,45830
47,54171
47,37695
454,20218
47,6397
7930,74103
47,33870
947,44216
47,1820
47,19198
454,4567
7930,74072
47,55916
1100,62230
47,75486
47,74504
947,27931
47,7932
47,31703
47,75004
47,36222
47,28774
47,72238
