agentinvolvedwithitem_1,agentinvolvedwithitem_2
30852,3363
45983,2748
7462,2940
1136,39682
13320,2940
18067,53838
18067,20394
28607,2940
7098,53956
1657,54009
2616,30630
3350,2940
54133,2748
15919,3363
54192,24817
54201,3363
7635,54212
18067,19237
4285,3363
752,21828
14051,2940
6340,2940
1136,54421
2319,3363
5947,2940
52392,2940
14575,3363
3739,42514
4838,54694
8219,2940
10364,15820
2205,30567
3346,2748
1445,35608
52441,2940
10463,3363
7900,29412
2868,6727
4838,17687
17473,3363
1136,55583
55644,51670
2616,9369
55661,2940
22425,2748
55727,3363
1978,3756
33955,3363
38960,3363
1978,51991
3739,55965
35233,35937
56071,2748
1136,56174
2205,2940
8923,8922
4285,2815
2205,6727
20892,10537
23108,2940
52110,39606
39114,2940
6302,39366
29580,2940
56646,2940
15530,2940
42876,2748
6517,30632
33729,2748
20702,30567
57031,2940
55992,2940
9463,2940
4838,57201
35377,2940
6174,29517
1369,3363
57254,3363
57272,2940
20880,3363
43321,11962
48435,2940
31023,3363
35077,2940
26972,2940
57411,3363
6215,57423
43762,3363
13528,2940
3121,2940
1978,57635
1978,18004
752,22665
29262,2940
57923,10843
11286,3566
1978,58006
1978,58050
58059,2940
15890,3968
1136,37987
1136,32671
3739,30994
58409,2940
38204,2748
1136,58521
1978,58533
1136,43359
39114,47686
50918,3363
206,3363
7098,8826
1978,58715
9989,17200
51324,2940
28499,47686
1136,34672
45641,2940
6394,2940
3095,37373
4394,3363
2941,2940
23316,2940
4330,2815
59559,2940
1136,52421
3739,55279
10885,2940
11199,3363
4653,6727
6517,54413
1445,49460
34276,3363
1136,40236
7098,52758
31881,32351
1445,32126
6435,2940
6517,59925
4653,3363
1978,59950
6174,16554
752,60032
35233,57497
32096,11962
8150,2940
43815,2940
60090,2940
34180,2940
1445,53838
1873,2940
15482,2748
6174,9369
4936,20593
18294,2940
1136,31151
17554,2339
39297,2940
60869,2940
20643,2940
19849,2940
57374,2940
6517,26525
42270,2748
2868,61218
61233,3363
1136,61285
25898,151
33729,2940
38335,2940
57838,2940
14785,2940
1136,55537
2868,3363
18421,6727
42898,3363
3649,2940
61950,2940
8264,2940
62064,2748
6517,29578
1978,43852
1136,35966
19169,2940
62282,2940
46352,2940
24645,3363
42876,2940
1369,62458
4936,19482
62612,62613
38285,2748
47277,2748
6172,2940
47687,47686
58667,2748
42101,42100
48638,2940
8923,29477
1136,62920
48426,2940
1136,58229
10526,2940
26358,24283
2205,2748
14674,2940
1136,47292
7098,63188
633,2940
63232,2940
1136,23626
48426,2748
4280,14331
7328,2940
3346,2339
63404,47686
1136,42958
36596,2748
1136,15272
1136,63579
2737,2940
1136,38945
48614,2940
51739,2940
39617,2867
30801,2748
1136,63775
1136,21142
1657,37940
4394,2940
1136,40259
57436,2815
1369,29412
1271,3363
8999,34324
6248,2748
8812,2339
1978,58049
10715,2940
15625,2940
1978,39606
1445,49943
51739,6727
2910,51670
64655,2940
6517,21373
11286,35210
9295,2940
63108,2940
8176,3363
1631,2940
2277,2940
21747,2227
3969,3968
22097,2940
16857,38806
64657,6727
3338,40962
1445,55158
29510,2940
1136,65286
20168,3363
6174,10774
985,1658
65503,2940
10364,10363
65650,2940
6174,19482
65788,2940
7098,65837
1364,31815
7143,3968
1136,38296
1364,4484
7143,2940
1445,21373
21850,2940
5677,2748
5877,2940
18067,49943
64583,2940
34551,2940
2868,2940
6517,7474
7098,66344
23554,2940
1631,3363
20046,2940
61860,2748
26358,66469
57838,2867
57838,6727
1136,66557
4936,19773
52777,2815
2269,2940
66641,3363
1136,66566
58593,2940
66693,52706
13526,2748
38204,2940
20702,3968
6517,37572
1445,37572
3739,53063
18067,66826
6302,18165
21732,3363
4285,54212
52110,66942
6248,2940
54133,2940
11532,3363
6174,20593
2319,2940
58078,2940
67312,2940
4936,16554
45117,2940
3095,40236
1364,23679
16417,2940
13152,67540
42826,2940
39320,3363
572,2339
26978,2339
27617,2940
33169,2748
17473,2940
24645,2940
3739,19537
1136,51156
18169,3968
47277,2940
44711,2940
3969,3363
32081,2940
14878,2339
68216,2940
1445,29578
633,3363
26992,2748
11286,13897
1364,8596
18067,18066
6517,25050
3739,19010
30823,2940
206,2940
83,2940
10308,10307
1136,62459
15625,2748
1978,68922
30823,3363
52480,2940
32505,2748
6302,3363
1774,2748
740,2940
7098,69166
3500,3499
1136,16468
43343,2748
27617,2815
9989,1658
22425,3363
9463,2748
1978,30390
51054,2940
1136,69533
47869,2940
57048,2748
45848,2748
1136,69852
4006,2940
59211,2940
27462,2940
1136,3096
7635,6727
1434,2940
27973,2940
34047,3363
1136,22729
69996,2940
58305,24817
24802,2940
4936,2617
34750,2940
28607,2748
1978,24868
2390,3363
1136,44729
18410,2940
2205,18165
7098,44066
26992,2940
7900,23798
1136,48029
1978,28023
12905,2940
38189,2940
1136,70493
1445,66826
26743,3363
5095,70627
20643,3363
1978,22953
34309,2940
70658,2940
1136,34987
31200,2940
20702,35937
44789,2748
4936,9557
31023,3968
1978,69625
1369,45444
45848,2940
1138,22729
21732,2940
1621,3363
70936,2940
1445,18066
52480,2748
1978,8146
60658,2940
30088,2940
20168,2940
2616,28755
45983,2940
39617,3363
6174,28755
1136,42439
13250,2940
66555,20196
14330,67496
1136,70889
525,2748
2010,2940
7900,7901
32505,2940
10842,2940
5968,71374
7098,39712
5734,2940
7098,7097
11532,2940
64321,2940
57250,57249
3739,32711
17221,35937
1364,4937
18156,2748
8264,2748
1364,6175
11532,61892
49232,9438
54515,151
1445,23446
3739,17687
42898,2940
3969,2748
26358,4937
1978,71925
7462,3363
1136,21737
6174,24283
52110,2684
12129,72110
1136,9737
6517,58584
3346,59579
10842,6727
2205,14903
1052,2940
1369,1370
72253,2940
1136,52487
48614,2748
1136,23162
3739,72324
40135,2748
34872,6727
4936,27873
4838,53063
19591,19590
14177,2940
21850,3363
29430,2940
4838,19608
1136,3441
1657,13897
5641,151
3621,3363
41312,68480
3346,70039
6542,6541
40392,6727
33955,2748
35554,2940
54133,3363
5677,3363
3739,45332
68216,2748
4936,31815
1978,70688
1978,72777
1136,49617
2868,72797
72828,2940
2616,10774
70311,2940
3739,56901
2616,19773
1978,59306
1136,2815
30436,65114
65565,2940
18156,2940
1445,15819
4280,67496
1978,48565
58014,2940
4936,28755
52110,18551
985,17200
24,3363
4838,42514
3739,45444
1136,34906
3739,73288
24263,30024
55942,3363
9265,51604
26358,31815
3739,73411
1364,24283
4024,67979
3404,73435
15625,2815
28499,2748
53097,15820
1136,20596
14006,2940
1136,38361
30852,2940
1445,65895
1364,13302
1136,65709
56890,2940
16900,2940
73295,47686
33169,3363
14429,2940
28137,2940
11286,37916
66693,3363
7364,2940
27595,2940
1445,17892
2616,29517
27439,2339
1445,58584
30852,2867
3739,36818
70646,2940
1136,68616
1978,67807
2580,3968
71531,2940
21557,3363
4936,9369
6302,2940
26358,16554
1978,18551
6302,59579
6174,2617
19379,2940
3346,3363
4158,2940
5952,2940
13526,2940
1978,71942
26398,2940
29262,3347
752,68791
1136,33457
3969,2940
34872,3363
3739,64680
60651,60650
1136,42892
537,53943
2205,3363
49829,2940
41172,3363
2910,29412
1369,68480
6174,13302
7143,2748
63876,3363
3739,8922
2205,70157
6517,17892
7098,74255
1978,30820
6826,2940
42994,68056
10842,3363
6174,2670
57436,2748
65030,2940
6517,55158
1621,51670
35233,2940
10280,36954
4757,2940
20643,2748
3631,2940
18067,23446
44695,2748
18067,49460
51993,2940
2643,2748
51054,3363
3739,67393
10778,12113
5129,2940
11286,13465
1136,68741
3006,26506
21849,63057
7859,3363
73601,2940
58667,2940
1978,70651
1136,57564
1978,70111
4639,3363
7098,42982
3739,73775
17473,2339
1445,44485
4936,13302
18421,3363
72380,2940
15756,2940
18067,37642
1445,7474
6517,11957
73978,2940
7264,74049
38043,2940
26358,70627
16857,17318
1136,74861
2616,4484
20168,2339
11286,45741
9490,3363
1445,36396
23289,49026
48426,3363
30436,66742
2868,74505
57838,3363
69732,24817
18830,2940
18169,2748
6302,2748
73445,2940
895,2748
20702,57497
28499,2940
1978,73841
25245,2748
74743,2940
3739,28273
5872,2748
25245,2940
24814,62730
51739,3363
1978,10843
2269,3363
57758,24817
1136,12364
1136,14592
4936,30630
1369,23798
2868,11630
22425,3347
45117,2748
6174,9557
15890,2940
32732,2940
1138,42892
1136,36171
1978,19460
6517,65895
7900,15126
8812,2940
1053,2940
1657,28755
1631,59054
3346,2940
6302,70039
31023,2748
26197,2940
3739,57201
1136,7714
3739,70369
3739,68267
29077,24080
52480,2339
1364,20593
28719,2940
16226,2940
1364,9369
11738,2940
1136,14021
69164,72248
1136,55759
13772,2940
1136,13989
16298,2940
1978,9737
1978,30567
2868,58076
572,2940
1369,7901
7635,3363
1445,20394
1136,35956
1978,44729
12618,2940
26358,20593
63807,3363
43151,2940
56071,2940
1136,51040
1364,19482
1138,3363
1978,58943
1586,2940
1136,42593
55598,2940
3693,3363
4158,2339
39294,2940
26978,2748
6517,44485
11286,35234
10280,39366
1136,10843
66988,2940
4158,2748
45117,2320
9353,2748
15890,2748
1978,75383
1136,70844
64657,3363
1631,2748
32116,2940
70308,2940
2205,3968
6522,3363
51671,51670
23256,2940
2277,3363
39454,2748
1136,10298
1053,2748
1434,151
1621,2339
20168,2815
49232,151
29361,2940
4343,2940
72301,2940
1136,36663
67514,2940
14051,37373
66192,2940
24802,2748
1523,3363
1364,9557
7900,45444
1136,24404
7098,72829
1445,37520
6435,3363
32182,2940
72569,2940
32188,2940
35377,3363
525,24817
4285,12113
31752,2940
1136,63860
59211,2748
66973,2940
2616,13302
30436,56334
26358,23679
2747,3363
12362,2940
1445,8772
3052,73403
20168,2748
64806,2748
1136,68612
37256,2940
14878,2940
27127,2940
4936,6175
1136,12515
33229,2940
1445,37642
44695,2940
2616,27873
10364,19468
