professionistypeofprofession_i_1,professionistypeofprofession_i_2
452,451
12850,30284
334,63249
334,20496
452,2355
221,5591
3196,758
2181,1036
27001,1036
520,2182
334,41553
1494,40627
4039,4743
334,36525
221,38040
24972,452
8500,1105
960,221
1105,24736
1105,4039
334,27376
4436,30211
35005,17919
44037,334
21544,221
18919,334
221,33923
1105,24972
10692,334
21120,5385
61147,2816
6173,11506
334,1494
4039,221
61050,334
11303,4437
63902,5365
1393,16540
1393,2182
334,29024
18089,11303
1510,334
221,41063
1393,53087
22235,22234
452,758
11255,34082
334,61692
33226,334
10975,29611
5903,334
1105,334
1084,4039
3788,334
334,1036
59527,1105
1393,13714
62050,334
54442,221
14675,1494
6173,4702
334,2845
1393,30869
1510,221
7668,14311
42607,334
24474,5365
52983,334
6173,1084
334,36589
1105,14154
40930,221
1036,28958
10052,520
1393,19528
10387,40627
1105,7915
221,6173
11893,24972
452,4702
425,1105
1420,2816
334,64809
3831,221
9836,4436
12507,4294
21444,221
4039,3831
221,4743
1105,3716
1494,4743
1036,1083
452,4968
334,51477
9836,2816
10387,11303
203,221
334,21515
4437,220
5039,1105
5592,2823
1494,11431
53944,221
62643,334
14952,40200
1564,10387
221,1494
1036,16269
374,64950
48188,1036
1494,8123
10387,21515
4436,220
1494,6846
520,12279
334,2931
8859,12850
10052,2816
1105,28958
221,21602
1494,4294
10387,1083
6173,18122
14154,203
334,13062
24883,5365
6173,2181
5991,334
54497,11303
7504,5591
521,334
1393,13966
21201,1105
19825,334
46347,1036
5855,22746
10387,452
2182,2816
334,15394
1105,2182
1494,41094
10813,33226
7580,1393
2182,334
14281,1393
10813,5385
4039,334
334,38087
1105,30225
4039,23795
334,61499
334,7984
22235,11303
1393,14154
334,28995
960,5365
61692,334
334,35610
4743,221
221,7019
2182,1105
1563,334
6173,6846
1105,27376
1494,2933
1393,452
42825,334
18122,452
33226,15537
334,26534
1494,53087
10975,2816
17919,1083
30869,452
1084,1393
34713,5365
6054,4436
520,8068
1105,14172
7668,24972
8500,452
334,62065
34713,334
7668,16730
38040,452
5349,19791
6173,1105
452,14154
221,1420
1854,11437
334,65769
4039,2181
18122,334
22799,452
20648,221
5592,220
4436,27376
35887,221
334,30284
221,13671
4461,520
21057,10091
11303,1494
11018,1105
221,7580
452,3716
15435,334
221,54442
4436,13966
21515,11303
7915,2822
5365,1494
4294,4436
334,22799
334,39142
1393,12934
520,452
1105,4702
23318,220
2823,1494
334,1564
1494,1854
1564,5365
1105,23318
334,999
334,520
1393,4743
10813,1420
44085,221
221,4436
334,55933
20496,334
18649,334
48225,334
2697,520
15537,2816
334,333
9429,5592
758,2816
1564,1392
221,15928
13966,4436
334,49812
334,64374
50466,1105
6173,6054
22234,221
1393,1392
6173,28958
4436,6055
334,7019
16730,4436
4437,5365
2181,203
7414,334
44254,452
334,2822
220,452
221,67039
334,11004
1036,334
3831,5365
7314,7313
4436,53087
334,8527
5365,11303
1393,7580
4436,3196
334,5991
334,14297
6173,8123
4436,16730
4039,32443
1105,203
2355,2816
334,50559
1105,17135
1105,3831
203,1393
5855,68428
334,36101
221,2816
2182,520
1420,452
221,10387
1105,451
5521,5522
6055,10813
1105,2355
1083,2816
10813,9836
1564,2182
1393,3716
334,16571
1036,10813
333,1105
10975,221
1494,2182
1494,23348
334,220
68626,334
8123,1084
4436,2823
1393,14675
203,3378
8500,10813
334,21456
16730,334
1036,17919
17919,5592
334,31002
334,48888
11303,1564
3831,334
35708,5699
1105,9550
334,57191
21057,13191
61161,334
1393,4702
33923,221
2181,334
334,59003
334,52181
334,1810
334,66269
50095,13671
8859,1105
5855,64950
24474,334
220,23318
221,960
4437,1563
4129,334
4436,7915
24659,334
2823,4436
1393,221
10813,520
10387,6055
11893,4437
221,8527
2816,49532
220,4702
52181,221
1393,17135
1420,334
7668,334
13290,1393
6173,1564
1105,69422
1393,10548
19701,1083
39829,334
334,50020
221,21444
6054,2816
1494,452
3497,4463
334,14154
4702,1393
2355,8500
14281,334
9317,5385
17721,334
452,4005
452,16730
221,4294
23208,6055
44708,334
221,6457
17830,203
1393,7797
1494,64300
452,221
1494,5365
10813,8859
63418,9965
4005,1393
4436,1084
49812,334
1036,6173
334,37842
25105,334
4702,32443
334,57040
4436,4702
452,2816
1105,14952
1105,69917
23348,452
4702,1494
452,203
334,18740
334,12923
9965,63418
6874,2697
1083,4436
30225,4436
1494,5118
4294,221
1494,4039
7797,23208
334,49858
7504,334
26534,452
12851,12850
24997,5365
21515,54497
8500,14172
334,62643
15356,334
16438,334
1105,4852
4437,1392
7668,1494
221,7764
10975,4039
334,51968
334,11018
334,6874
13917,221
4436,18467
11506,1494
1393,23318
4743,334
1393,23260
5365,2181
221,24972
452,3774
1494,7668
334,15629
4039,520
334,14172
48888,334
70453,334
70460,5365
12850,334
10813,34713
452,18467
16749,1084
1494,15394
1036,5592
334,3831
1494,30388
21059,334
24941,4039
6173,64300
44577,10975
334,3378
7764,452
7668,1083
334,11320
3196,452
5592,452
334,65939
221,2355
36589,334
32597,334
221,22799
1084,10692
22799,1105
54497,221
374,70749
220,4437
4294,1083
1105,11438
6173,1393
1105,1510
334,7504
334,10861
4743,4039
24659,1105
18147,334
7580,221
24736,334
221,203
1494,70718
1105,19197
1393,9836
1494,18122
1036,7668
221,5385
1494,10091
451,1036
64407,11303
1494,7504
221,20648
16540,1393
10975,334
221,21201
221,9063
16749,1036
5855,4129
1854,334
334,62549
452,26534
29611,14154
23917,5385
13917,1494
12934,1105
11431,1494
334,11354
221,40930
10975,15928
6173,1854
15928,6054
20496,221
1494,6173
1105,5039
520,4039
334,40550
5591,3378
1036,4436
1393,11893
3774,1393
22234,22235
6054,14675
13290,221
1494,12279
334,31596
452,1393
1494,5591
2931,334
23208,203
3196,2355
334,50809
1494,11211
334,2816
23318,1105
334,37343
452,24659
1105,12934
2181,5365
11303,7668
60098,2182
55894,334
5592,758
21456,334
15928,452
2816,1036
1036,221
7668,12507
4437,203
15928,1494
334,13671
221,46834
1494,1084
18467,4436
10091,4436
2355,11438
1393,5443
53087,5365
7504,7503
1393,24659
1494,1083
11303,221
334,55856
220,5591
1494,10855
20536,334
334,37122
23917,9836
221,1105
1494,4436
3377,221
5855,30235
221,7796
452,10975
334,1084
10387,1392
2697,452
4437,11303
2182,204
2823,334
11431,334
1105,42483
1393,18649
1494,20496
4743,11303
1105,23917
1084,1854
6173,10975
334,71773
452,48188
10813,7797
221,52225
54497,10387
220,6054
1494,34713
452,6457
334,53038
334,24962
1105,2822
5591,452
2816,17830
452,5385
31714,221
334,36077
452,18308
1036,46347
374,5855
2509,334
334,13003
4436,5592
3267,334
2816,1393
4743,17919
6173,9836
28278,220
1105,9836
11158,334
452,5592
5592,5591
1420,5592
32345,334
1105,21201
334,14311
334,66120
1083,5591
334,33082
3196,6457
1420,1105
452,17919
57063,452
1494,6054
46834,221
2182,5855
13966,334
16438,221
13191,334
334,6457
1105,21059
10975,24972
9883,334
6054,3196
4039,1084
425,334
4702,221
11303,4039
4436,7668
8123,4294
1105,2479
11893,1105
1105,220
334,23318
18538,334
334,72578
18122,1083
334,45663
203,15108
7668,9535
31596,334
4005,452
1420,4436
50120,18147
6173,4436
2355,1393
2933,221
1036,5591
51477,221
25961,452
1392,10387
334,49645
1105,59003
334,11893
221,758
1420,221
1105,67039
6457,1105
72764,221
2816,15108
59012,2816
221,12279
7764,221
334,7415
221,5592
10387,16571
34415,34414
13966,452
334,69422
334,15435
334,4743
220,7668
221,24997
50020,334
1105,17000
758,5592
44254,334
65769,65768
8500,11018
1393,758
8123,221
10975,5635
1036,48305
1105,204
3196,4436
10975,30945
1105,10855
1494,7915
30225,334
15940,17919
6173,4437
334,43020
1854,16749
334,64871
1083,3267
1393,30225
1494,1393
22235,1083
28995,334
1083,1393
334,2823
15394,221
10975,1494
2816,5385
64374,334
452,20936
334,34572
10813,6055
1105,7797
1393,28210
46282,334
220,18122
452,2182
1105,36005
10975,6457
1084,1083
50809,334
452,37842
4039,11303
2355,334
452,13966
334,24659
4039,33082
1036,28278
10975,2845
2355,4436
49645,334
2480,334
8500,221
12934,334
221,20536
4436,10975
50095,5591
16730,1494
334,19141
334,68626
221,11303
23917,49286
10975,10813
334,8125
334,30784
5365,7668
1494,24883
47627,334
3196,4039
1036,5635
21515,5365
6173,3267
10052,5591
452,24972
24972,11893
30869,334
6173,1569
220,5592
29611,220
221,8500
40712,334
334,34963
7504,221
6054,1105
334,9836
1494,12507
10387,334
3831,6055
1393,15928
28995,221
10692,1084
452,1510
334,1392
28210,1393
10975,44577
8859,16438
35887,4743
334,5039
4436,6054
4436,1083
8500,334
334,54442
1105,5591
221,4437
452,5365
7668,520
25961,374
4039,4437
1105,13290
4461,5591
334,50120
72185,5591
8500,3196
7797,10813
6173,14311
221,1563
2845,334
452,3267
28210,334
1854,221
334,37763
4436,2182
65769,59650
334,7764
1494,204
10548,1105
221,11438
9836,6173
334,27794
3497,40181
334,1104
5385,1494
520,18919
1084,11437
452,12934
334,7796
4702,334
7668,11303
7314,21201
1105,2434
2182,221
29024,220
6173,5443
1036,2816
45663,334
21444,11303
3774,10975
334,30235
1393,5385
45895,36589
334,33402
1563,5365
374,452
1494,1105
9836,1494
221,53087
10813,8500
36590,36589
1393,11004
1494,48188
1393,24736
24972,221
22235,334
220,6173
334,44118
334,15356
14172,4436
334,35818
4436,3774
221,11255
3831,6173
10387,1564
334,18649
10387,4437
4436,1036
8527,334
54442,334
8527,221
221,3267
7668,2181
14362,221
1393,18612
334,71321
520,2816
1105,44037
10128,960
1494,1563
53087,221
1393,13290
334,47935
6055,334
334,9535
1083,7668
34963,452
9270,221
334,46282
6173,10387
10128,221
18122,4436
30284,1393
4437,1036
11438,221
334,53729
4039,5592
334,5385
1083,5365
334,960
10813,3196
62383,334
1494,9535
1393,4436
30869,1393
4436,18122
1105,1494
10692,1854
1393,6055
67039,1105
221,11893
2823,1393
16269,203
31714,2182
1105,21544
9836,7314
334,15537
1854,1494
11303,5365
72578,334
1494,1036
11438,334
1494,36589
34415,31057
21544,334
18308,334
334,66854
11438,452
10387,20496
48188,5591
13966,1393
69406,221
7314,5385
10387,4743
5855,11158
33078,5365
57040,334
1494,1510
1564,16730
65799,334
221,33082
4039,10387
19197,1036
1494,1420
51735,1084
9836,221
425,12850
334,452
375,374
1105,1393
11303,17919
28278,1036
3267,1105
24474,1393
334,30869
1420,10813
10387,5365
40550,7314
5118,334
11018,30225
4702,1563
4436,17919
1105,7415
12934,1393
11021,221
4436,29611
13413,203
10813,203
5855,15629
1105,11893
452,22799
18919,520
1036,12934
334,64300
11320,334
334,5443
7915,1105
1036,452
6173,7503
334,8500
11303,334
2816,36077
334,70453
30211,53853
758,2355
7668,2182
10813,4294
5385,221
334,15928
334,40210
60370,5591
10052,221
2823,452
17919,334
1083,521
14259,221
221,220
334,11303
9535,5591
334,21201
35818,334
1393,11964
1420,1393
1494,11303
203,11964
3774,4436
38615,221
6055,23208
5592,1036
6173,5903
758,14172
10387,13917
1393,334
334,5939
1036,2822
1105,3196
1564,11303
1393,2816
1036,16749
452,11438
334,24736
37842,334
5991,1105
452,14297
334,44037
3774,5592
10975,452
1036,1494
1036,24972
1393,8500
21057,52181
334,13917
2816,61375
21515,10387
9836,9946
6173,17393
334,17919
334,44922
3196,334
1036,4437
10813,15537
6173,3831
1494,14675
11211,334
1105,9965
7580,452
10387,10813
203,204
7668,17919
11303,4436
1105,13006
2816,15537
51854,11255
5855,42725
1105,3267
1393,11431
1393,3774
334,1854
18122,220
4039,220
5365,4437
452,1105
23298,334
334,10975
17919,221
1105,1420
334,58626
36005,6055
24972,66998
3267,1083
2816,7797
11004,1393
221,5903
334,75242
334,65799
1494,3267
1105,1083
1105,1206
10813,1854
1105,33226
1105,1104
334,11211
203,33226
18147,50120
50559,334
452,11893
6173,1494
1105,21602
203,13413
75290,203
2822,221
1564,334
220,28278
334,10548
61499,334
4294,8123
221,13290
1105,39829
51735,1854
1393,24997
23208,7797
220,1494
334,56871
40627,10387
1105,7019
9965,2816
6173,11303
9836,1393
58072,334
1393,1083
8068,334
23113,334
334,10855
334,34692
1083,17919
1105,15928
221,19197
220,2822
16438,12850
3267,1494
334,40627
10975,1105
2823,1105
1494,334
52734,334
452,16438
53526,334
39142,334
20648,334
1494,3774
5592,10975
28958,40200
24972,1393
334,2182
18756,2816
13413,6055
64743,1854
334,23348
10387,14675
5591,9836
334,2355
32137,32136
5855,57184
452,25961
334,24420
16730,5365
3196,5592
58636,18147
4039,3196
1854,24883
334,16540
221,3196
1083,4294
5591,203
53087,334
10052,1036
334,24997
1036,35060
5522,5521
221,7668
4039,10975
1393,17919
2816,20366
1494,221
1036,6054
18919,1083
4436,8500
17919,7668
1494,21515
18919,5365
4436,32597
10387,6173
221,46347
5385,7314
334,13191
10813,2816
34572,334
1854,12507
54743,21544
334,221
41063,221
221,23655
6173,203
334,28958
1494,13191
7915,221
1854,10813
334,5365
334,5855
220,10975
334,13290
58626,221
5592,1393
452,6055
8500,1393
1393,14281
24972,334
334,4294
2933,5365
221,334
11437,1854
2816,61147
2182,10975
1393,10975
9946,9836
1105,333
11431,4436
4436,1510
4702,4436
16438,5365
8859,452
23917,11893
24474,221
22799,334
334,3377
221,5991
6173,30388
1083,221
2182,2181
1494,11018
334,55385
3267,4436
36101,334
1393,30284
16571,1083
1393,7668
452,5855
1105,26818
220,4436
70258,1036
221,18147
334,39829
1393,11018
51968,334
20496,1494
334,19825
334,2480
334,40930
54115,11303
221,32597
334,42945
