agentcreated_1,agentcreated_2
1136,2271
1045,21898
1071,1963
21915,18277
13871,13870
21990,21991
22052,22053
19936,19935
9508,9507
18094,22116
22123,22124
6886,6885
11593,11592
868,22183
22191,22192
22208,22209
6198,22217
22364,22365
2962,22464
22479,22480
1445,22491
9250,22501
22582,22583
1071,5442
22602,22603
3346,1963
10664,22646
15625,1963
22734,22735
1136,17661
16394,22819
6829,22835
22882,22883
8135,22894
6108,22973
23001,23002
23011,23012
1631,12243
23189,23190
19878,19877
23231,23232
4285,2581
12680,84
3095,23371
8550,23432
23500,23501
23502,23503
21163,23580
23683,23684
18986,23691
15117,15116
23754,23755
23761,23762
23782,23783
11520,23831
76,24030
24141,24142
13623,24169
11652,24183
24185,24186
2240,3386
268,24457
18099,18098
24530,24531
24556,24557
6158,24573
24605,24606
24610,24611
24617,24618
1632,24649
1136,24661
24734,24735
20156,20155
24790,24791
24795,24796
268,24803
7724,24837
24847,3085
1136,12671
3677,12133
513,25174
11245,25202
5571,25292
1445,24086
9545,25370
1632,25378
12627,25418
25473,10847
3928,25518
23775,23774
268,25600
6280,24513
25655,25656
1045,25769
25781,20122
18260,25828
1632,25872
7364,1874
8145,25923
4675,17015
1136,23926
2377,18992
24674,26049
8114,26074
26146,26147
1136,2291
26198,26199
26222,26223
1136,26224
2517,9477
26298,26299
26314,26315
26325,26326
26338,26339
14051,2390
26388,26389
26390,26391
2984,26419
8976,8975
9989,26547
26575,26576
5571,26588
22479,26597
26656,26657
26660,26661
18902,18901
3815,3814
23289,26737
6652,26754
1136,26804
2984,26820
26869,26870
20039,26902
12129,26996
1136,27021
13777,13776
3621,1874
27155,27156
6886,27177
23502,27246
3921,27296
12129,16804
3285,27426
3346,8478
27452,84
27466,27467
1762,17156
985,26547
11003,1874
27540,1963
27550,27551
10605,27599
27617,1874
27624,27625
2428,27683
27752,15770
1790,27761
1136,27857
26585,26584
5815,27905
15334,14378
1445,28067
28075,13773
6158,28183
28222,28223
798,5946
28316,28317
4448,28318
28357,28358
28404,28405
28412,28413
538,28432
1445,28434
10482,28462
28466,28467
22330,28500
28509,28510
4252,18676
4262,28538
28545,28546
28593,28594
28599,28600
28634,28635
28646,28647
28656,7821
28661,20760
6248,22221
8219,22221
1136,11218
28851,28852
28870,3121
16355,28878
3361,28899
268,28916
1445,29036
7914,29157
29192,29193
22996,29204
29250,17816
29314,29315
268,2009
868,29406
12897,12896
1445,29578
29601,29602
16536,22236
1873,12636
7523,24520
5287,14835
3928,15938
2568,29749
1136,29760
268,29801
11245,8912
24343,24342
23860,8890
1136,9416
14233,29993
10156,10155
18260,30032
30041,5313
5947,1874
2758,30132
20425,30185
30228,15316
1873,7971
30285,30286
30307,30308
1631,12419
18094,12600
24695,30324
13873,13872
8133,30349
16536,30389
30424,30425
3589,84
1005,4356
3458,30558
14575,84
23716,23715
1632,26816
14305,30002
30655,30656
30682,30683
1073,1074
30842,26068
7180,30873
1873,5324
30964,84
30970,6419
31099,31100
976,31136
1136,31151
31219,31220
31256,31257
24695,24694
31315,31316
27752,31325
4496,4495
12559,12558
31475,31476
24556,31553
31557,31558
1445,18703
11520,11519
9989,10721
31635,14960
31665,31666
2517,31670
627,799
1005,11340
26524,26523
1632,31751
31768,31769
10125,10124
31475,31818
1136,3363
24674,31827
31848,31849
31880,22096
31881,31882
1632,31901
1790,31956
31957,31958
2205,3938
32033,32034
32152,32153
3458,32174
1632,32189
27155,32191
4158,32200
12879,32234
14305,32250
32267,32268
1632,32272
14615,14614
985,10721
30688,32421
3889,3888
25866,32435
5810,32472
32475,7823
32601,32602
2758,32619
32630,32631
10451,10450
8617,22476
1136,2205
8269,26802
15934,32765
32795,32796
10828,10827
868,32867
32873,21959
32903,18486
1005,32922
1005,32998
33100,33101
268,33145
12129,28524
33207,33208
5169,30539
29250,8890
13124,13123
2521,17291
33295,25752
627,2821
33349,33350
33386,33387
7724,26322
3889,33491
1136,33497
23438,23437
2521,33541
3086,3085
33676,84
18260,33686
2660,33701
33713,33714
2411,2412
33786,1349
1737,1736
28634,33833
1445,1444
25271,25270
13583,5313
76,33926
1045,28249
1632,34018
14217,14216
12129,34026
5169,34037
34047,84
268,34062
29605,34065
3500,5684
34133,34134
25655,34164
1632,34170
8994,34180
34192,34193
26352,34220
3207,3206
667,666
2962,27016
13470,34364
29250,34484
2428,34507
14103,34512
9989,11989
34539,34540
26524,34562
34565,34566
20483,17060
1136,34672
27114,34747
5571,34809
32346,32347
5677,84
798,19660
14103,34847
268,34850
1136,34906
34909,977
33222,33221
4003,4002
23289,35024
2660,35063
10664,35109
4992,35128
2302,4993
35208,35209
14708,35184
35328,35329
6510,35337
35368,35369
4158,30464
8135,35398
15643,33255
12129,35410
8455,8454
627,84
35578,35579
35606,35607
268,35626
1005,35631
35670,35671
1136,35686
4032,35723
22479,35728
1632,84
18976,35803
35847,84
35859,35860
20222,20221
35897,35898
15406,32963
25599,726
3458,13664
17221,1963
36066,36067
25704,6134
21163,36115
14674,84
6775,36238
12959,36242
6886,36318
3346,1874
36358,36359
1463,36380
1136,36398
4675,36412
4232,4924
32845,32844
1045,36433
36459,36460
1136,14160
10525,10524
2521,12875
12121,36532
2084,36543
9877,15032
23052,23051
10947,31928
14499,14498
36611,36612
3404,36626
16536,36632
31855,36638
21195,36656
12959,36689
6886,36706
1445,36714
19129,10449
1631,36900
2938,36906
36929,36930
9792,35665
4158,36954
36980,36981
36985,36986
18260,19642
37004,37005
1445,37021
37048,37049
3361,37190
19088,27074
868,37237
2258,37357
26860,26859
4232,37548
37573,37574
1136,28974
1445,37635
2984,37644
1632,37656
37657,37658
1873,12680
16318,16319
1445,37732
1550,37855
5947,4252
33167,33166
11790,37922
12412,12413
5067,3938
13543,13542
1136,1880
38121,38122
9160,8657
1762,38181
35606,38197
1136,37235
38245,38246
23335,4252
1136,38296
24610,38303
38367,38368
1282,38407
985,984
38541,1035
4232,36634
29331,29330
23115,13373
33167,38618
38622,38623
10482,38661
6108,38701
38727,38728
4158,1963
11736,11737
29614,29613
10482,38786
38808,38809
25185,38848
38890,38891
627,14098
38925,38926
21070,21069
23225,23226
32150,38969
13528,84
752,16293
39011,39012
39028,39029
10482,39042
39059,84
4347,25043
30655,18901
25185,39074
2428,39121
11620,11621
3771,39178
8244,39197
2205,84
2984,39225
6297,39231
11790,39278
39283,35898
335,336
5947,25679
23860,15711
34774,39362
39364,16569
20643,84
2191,2190
9446,39432
14996,39465
39499,5313
22479,39519
39597,5811
10677,10676
39617,4252
39507,39716
39728,39729
14061,14062
6840,34865
1136,29361
2540,39824
1005,39839
39846,39847
36731,39851
7769,39959
31374,25299
20943,40020
40038,40039
24734,40042
40123,40124
1136,40169
12959,40199
1445,40229
1136,3096
5947,40255
1136,40348
30307,40363
5571,40366
40381,38969
38392,40440
40488,40489
6297,25844
12129,40505
1136,31125
15950,84
868,38946
40635,40636
25185,10344
21519,40662
13667,40703
40716,6052
40044,40045
628,84
14082,37872
1136,31288
32367,32366
4232,40774
20702,22221
25223,25222
40827,40828
30880,33415
4516,2581
40904,14519
13224,40919
17473,1874
10664,40942
5160,40944
22763,40945
20693,27099
12897,11682
40970,40971
22996,41009
1445,41041
5067,2606
13152,5442
41052,41053
631,41113
11301,31344
40012,40011
20693,41191
41196,41197
4158,1874
5287,41224
41267,84
41335,41336
41373,41374
2517,41419
5067,41451
30285,41472
15934,40246
41490,41491
3095,26804
16179,4252
1136,41585
41590,41591
41629,35665
15798,18637
41683,41684
41709,41710
2962,41251
28646,84
41752,41753
41773,19213
33953,84
1136,35956
4312,5139
1136,32671
6280,6279
39755,33536
6112,3560
10646,38775
10451,41978
37781,20760
42000,42001
29580,1790
1136,42062
42082,42083
29724,726
1005,42099
11260,11261
21863,21864
1136,42180
2962,17148
1076,13332
2521,6336
39507,42303
627,18461
17739,42346
42366,42367
42384,42385
7000,42422
6641,42425
42447,42074
27903,15612
22882,42510
1445,35051
268,35547
12680,726
42594,42595
42640,42641
32152,42736
8269,26033
1632,42767
25707,40045
39499,14007
3889,42845
2938,23385
976,42942
7523,42984
3095,23162
35038,32520
1136,10048
10482,19600
26860,43124
43145,43146
36731,43168
43190,43191
4473,43226
14233,30226
5734,6237
10576,43284
26434,26433
10075,9267
4347,43304
1941,43311
9989,24634
1632,8721
4448,39834
8889,14323
10482,43384
43418,43419
3614,3389
19766,20082
34585,34584
2318,43603
1136,43645
7950,28451
3095,43747
12378,25599
43826,43827
9446,43848
3133,43865
8269,43952
33476,33475
43983,43984
27752,43986
1632,8427
10163,24676
11245,11244
27269,44072
6641,44093
3907,44105
21315,8142
13374,13373
13124,44196
44231,44232
29173,29172
4883,42875
7914,44258
32707,5313
1005,44384
13777,44427
12129,44436
44501,14007
29111,44509
3942,11019
22330,44554
13374,44560
23381,44609
4394,2581
12959,40736
44733,44734
1005,19729
44750,44751
3361,44785
34294,34295
44844,44845
10482,18280
12129,44884
11790,44894
18260,25297
34212,44944
44955,44956
12129,16129
1445,44971
26629,26628
1136,16809
45032,45033
45034,45035
36896,36895
1445,45098
6886,45110
45112,5313
2758,45118
3404,22644
25245,84
30307,45139
76,45181
45185,20760
42640,45189
3889,45192
4232,45206
18094,45214
1631,2606
45227,45228
32720,84
31881,45262
12449,45285
2240,27086
45440,45441
45500,45501
45517,29330
12715,12716
45592,45593
45606,45607
45611,45612
45677,45678
45709,45710
18554,18555
4992,20808
18357,18358
18278,18277
45781,45782
1445,45792
36512,45832
45843,45844
27778,84
45937,84
3404,3405
1279,41454
45968,23002
4312,39724
11520,24810
509,510
21570,21569
8013,8012
10482,46123
46132,46133
46173,46174
46199,46200
46201,46202
3095,1963
1445,46244
30655,44619
23447,23448
36731,46333
5968,44078
2550,2549
6297,33125
6641,24548
6886,46374
42384,46421
28353,30334
3458,46457
10605,10606
41210,41209
6297,46483
33704,33705
1136,16802
4232,36966
868,8373
4262,46539
46572,46573
1873,46591
631,46600
28398,14007
5382,5381
9545,39139
31369,46669
46691,46692
2938,46709
3072,40505
30801,1963
46867,46868
11932,46876
798,2606
14996,46940
46946,46947
9165,47000
37372,10038
1631,3974
3650,39377
47048,23715
47064,47065
44240,84
38477,38476
47108,47109
36602,36603
1445,47137
9206,9205
47160,2552
3072,12465
47235,47236
2240,47250
3133,26049
5947,47285
9702,47302
3648,47310
24674,3132
1005,47359
1045,47373
4158,47387
23621,23620
4229,42719
3458,16120
1873,34004
3889,47487
2984,47508
47515,47516
22330,47589
28851,29607
1632,18676
31369,31368
8133,47638
12709,14098
45599,47719
1463,25165
2962,2961
1005,47748
1136,10037
976,975
30436,34788
16505,16506
3404,6122
20534,35503
10482,47819
9943,31220
21163,47853
4961,47904
35323,35324
47959,47960
4452,47977
28007,28006
5968,48072
2984,48088
48091,48092
2984,48095
8407,25369
9792,48175
2758,18149
48206,48207
48270,48271
33167,48309
47202,47413
48341,726
5356,2516
1550,24649
48378,48379
28222,47596
12121,48446
20222,21842
38432,38431
17266,38937
985,48534
1873,35915
1873,30545
8889,15711
36203,48674
1631,7916
48712,48713
1486,1485
9446,9447
2962,35104
48801,48802
16309,2821
4158,48806
13667,4940
9165,36384
4158,36139
48865,48866
268,48668
1445,47170
15890,1874
43307,84
3404,13109
21557,21556
985,48954
28466,48973
4232,33541
38998,38997
3613,3612
6510,42004
3889,49025
49070,49071
1445,793
33758,33757
27230,6157
49252,49253
3889,24764
32475,35192
27513,3938
2758,49361
31200,1874
4473,49403
2568,49405
49163,49162
15074,44641
27513,4252
3889,49459
49499,49500
803,84
25482,34055
9989,47356
1136,46019
49530,49531
18260,49564
4496,22547
49584,49585
8200,8199
49649,49650
49657,49658
3677,27671
2758,49703
1136,49759
9446,16268
49805,49806
49848,49849
30012,30013
985,11989
49890,14094
9165,49891
513,32421
35501,35500
13623,30605
43552,49992
23502,50046
4948,50082
13036,40028
29554,29553
39244,39243
43021,46208
21195,50184
2758,50189
8053,50220
26338,44698
50331,50332
7000,46327
50345,50346
41708,41707
33953,5324
9943,9942
7769,50396
5287,5286
14305,44064
39617,84
6542,50482
43650,32568
868,45503
33605,33604
37102,37101
1136,48426
1632,1963
1136,46337
4675,22374
16309,20139
50642,50643
4414,50650
1632,50699
1632,50710
268,50719
24556,24713
8617,24326
20693,29092
7619,7618
2962,44421
27752,50794
50802,50803
985,50808
11799,11798
50837,50838
9989,48169
5823,50862
50896,50897
10482,50907
4823,3132
6158,47633
50955,50956
9268,30657
11520,50984
4312,35056
51019,726
13277,24338
1136,34901
6641,38227
268,34759
1271,3363
2938,43709
1445,51214
51215,51216
2464,10034
1445,51218
42208,42207
1632,51265
28646,25599
1790,21959
13224,22111
51331,51332
3458,51335
31369,51341
23381,51359
2984,17698
51404,51405
39111,51421
11520,51044
40820,40819
21315,51487
2521,47536
1631,51514
17739,17738
4232,51548
6886,44267
51569,24656
20222,51573
4158,51613
268,51614
40118,5313
6108,12466
4232,17291
20039,51717
49938,49939
51734,5406
51742,51743
18125,18124
1445,51773
20499,20674
51800,51801
51816,51817
51818,51819
24886,24885
22330,47836
868,51843
7188,51900
39076,39077
1445,51932
41342,12108
12378,4252
12559,51987
28616,4900
1136,37135
30347,13265
10947,52076
12129,52090
3677,52100
40800,52154
52185,52186
52216,52217
14082,52236
1136,39453
1095,1094
52291,52292
18808,52302
8013,33843
52376,52377
52382,19877
23856,52384
538,30835
1873,51214
9308,38975
11520,52416
11866,4252
1136,52421
3677,52493
31718,31717
2962,22600
45117,1963
1762,15907
44606,44605
798,2516
52528,52527
45599,6052
52611,52612
7853,52623
39048,28141
3956,27930
868,52660
14898,14899
910,52680
2784,726
15800,37740
9646,52723
52729,52730
1632,27452
1445,52772
3889,31425
52818,52819
52834,52835
10482,29328
161,26872
33167,52861
2294,10585
1632,27655
3889,52919
15192,39704
52969,52970
2102,2101
52978,52979
1632,52987
23289,3934
14082,44940
22330,53062
53082,53083
2962,53089
14702,651
17334,17333
21548,13773
53145,53146
19630,5313
53181,53182
11790,53203
52459,53208
627,12496
44180,48094
53223,53224
53225,53226
43774,43773
9989,41253
1631,53270
44219,44218
36812,36811
14061,26393
2660,21717
3956,35304
53347,53348
46698,53372
53377,53378
6108,53396
9792,12232
41922,41921
38828,38827
4232,47536
4262,53497
6886,16467
53565,31220
268,35354
9250,9249
37759,53590
10482,42059
35091,35092
53648,53649
10664,53670
53677,9958
53705,53706
53709,37230
20296,20295
6886,53727
53340,44751
26943,26944
1445,28750
21700,53760
53788,53789
1445,37750
1550,10565
28545,53854
5968,53858
19088,53865
2428,46705
1873,899
16374,18607
1632,2809
3312,5313
985,48566
53991,53992
8114,1874
25899,25900
5356,41451
38998,8012
4090,4252
1632,54085
40820,54107
50010,54121
27240,36085
2938,51656
54145,48224
40917,52912
9873,9872
33167,54223
10451,48550
38444,54239
268,54254
54256,54257
1445,14928
3713,84
9792,54288
10280,14007
18260,52083
38807,23448
5287,49918
37759,37758
2115,2114
12129,54483
22330,54520
24795,54552
268,31127
47851,54608
28484,28483
1941,16363
54641,54642
27725,27724
54659,54660
54676,54677
4158,3143
54679,84
10482,26636
20856,20855
2521,36634
6775,40619
31200,84
9630,54903
2938,54909
1005,54911
2205,1874
35845,26485
2962,27473
6248,84
1445,2714
1873,54989
5571,28764
27155,27198
22602,37757
4232,52173
554,55043
16664,84
4675,45038
55053,25154
55095,55096
23502,44390
11520,17639
2783,55118
161,50495
33302,32095
55129,55130
55185,55186
54108,5313
55219,55220
55276,84
18260,27175
4473,21269
5968,55296
3677,24410
27942,27941
55332,55333
27733,27732
1445,55363
40834,55393
42602,42603
45117,14007
55427,29489
40834,40835
868,55446
1445,7893
23754,21497
1790,28649
976,55494
18195,18196
9010,9011
26298,55557
50010,50009
14461,14460
28007,15711
27513,33204
5323,2821
10828,28121
24556,55654
4992,55660
268,33509
6886,55742
55745,55746
55792,52134
11522,55804
55822,27625
55847,55848
1136,6956
868,55907
12959,55917
3053,10325
1445,55927
55928,84
25300,25299
10451,55941
55984,55985
8096,27592
10664,32257
56019,56020
56030,56031
2240,23213
3889,49876
25989,56051
34301,16288
7769,19910
44705,44704
31099,56155
4158,2581
3677,32423
56197,19320
29605,47311
56231,56232
20425,56242
43597,43596
268,5595
513,39457
3404,8152
1762,54722
33476,56358
1136,32990
1136,2788
1005,56425
56231,33431
13623,33218
46394,46393
21519,48996
1445,34403
1136,56551
37004,40399
39688,56597
13124,32835
1873,6393
21315,21316
56677,56678
24695,56714
56754,56755
15375,21716
6280,22628
23860,17816
20211,56803
4232,5827
1136,56855
4252,40748
56875,56876
56883,56884
53968,53967
43214,43213
4262,56951
11520,18947
18260,49153
1445,11868
57051,57052
45685,57059
4394,10038
2783,6393
30307,57082
3942,52738
14785,7916
868,53444
57138,57139
11520,57140
21961,21960
57141,57142
14894,14893
8417,56314
25679,726
5356,57168
55745,57173
13667,57190
57232,57233
18931,57078
54081,54080
206,5313
18180,57326
57336,21569
3006,46368
17334,57382
12959,13157
14996,57414
57434,57435
7188,57439
1873,43623
6641,56658
1445,24623
6648,6647
29601,57491
1005,52634
2217,47612
12747,57549
10482,45345
42320,42319
44501,3143
9545,34687
57583,54041
2313,11503
34325,8999
13758,27620
45606,57627
49657,47604
57645,57646
27155,36017
4262,57676
10494,10493
5067,25679
3677,29625
1136,57742
13623,49494
57784,57785
28265,57791
7000,56713
1632,30545
20892,10537
52536,52535
25655,57850
8550,57856
10122,57863
45453,47949
4158,10565
8660,43325
3677,17383
25185,24963
52135,13265
268,53931
56222,56221
57977,57978
5947,28174
52559,52558
18808,18807
3285,58020
11790,58027
15042,15041
58040,58041
52175,52174
46482,21820
1136,34183
58095,58096
15729,58130
1632,2306
14330,14331
9792,22618
1632,30464
3587,3586
25704,27464
268,21227
55415,58242
41629,58243
46572,53686
5287,50632
4032,58282
6112,29025
752,17200
58361,58362
21207,21206
51809,51808
30173,30172
23381,58400
14305,52730
33038,48760
6343,14695
4820,33306
798,84
5028,40261
3361,58484
45227,58496
268,35687
868,58527
27761,84
45015,45016
36236,36235
58576,58577
12959,16203
1463,58603
2660,58625
1445,35993
1282,1281
7369,58676
10280,1963
2984,2985
1107,84
6135,6134
3614,52022
49837,58707
28919,4252
4232,22273
1631,2784
5571,35480
1005,58752
6886,58766
31350,58784
2521,53191
22734,30785
21700,58798
868,867
31588,58800
21557,5313
11593,57329
2737,3938
58873,57850
24610,37084
1632,24706
19129,58913
3508,4252
58440,58439
1136,23162
627,58953
29605,58983
10664,59009
3133,31827
1445,33693
4158,7916
59079,59080
43607,59085
18094,44731
38215,59130
11790,59143
10163,46124
9545,2666
1136,36509
59245,726
12449,59247
11866,5313
5571,55383
868,59299
30307,56647
59337,59338
7724,46067
1632,2606
25545,52120
1136,1138
3052,32095
5169,32024
1136,35966
31200,1945
37102,59495
1136,22729
40698,16288
4541,4540
33571,33570
25599,21959
667,59545
59577,59578
21545,35413
16278,58607
14082,16056
15973,15972
33704,53629
32150,44560
8430,41724
3815,59737
4232,2522
1445,59744
579,578
6108,15757
30880,59775
1005,43898
15279,84
5046,29349
59552,9864
1136,59858
5968,59872
1550,59912
40140,40139
53774,2376
59960,59961
59964,59965
2277,1874
31902,39945
23860,23859
4090,84
50153,54189
35859,53173
20296,30798
8784,8783
60094,60095
10453,60096
38367,60120
48950,48949
2962,48660
23289,54509
967,43676
6248,899
1445,31336
9250,24278
11034,60170
8694,60184
5810,29540
33360,33359
57472,57471
12747,53448
55321,55320
3889,60264
46172,46171
15036,44417
59964,60319
1005,20410
1045,60395
798,4252
13252,57365
1005,59665
33845,45532
10437,40368
45500,60495
60506,60507
25803,55619
5947,84
1136,60622
8200,19767
1523,84
2758,60681
1445,35492
33540,33539
60761,60762
35606,51963
20154,58925
60778,5014
20211,26541
10646,10645
1632,2821
30880,30879
6108,15010
12129,60808
31880,60819
60822,60823
49257,49256
2390,84
627,24104
2166,2165
28646,2606
5414,41707
11593,60907
27114,27113
19129,51342
4158,4252
1445,1085
34817,34816
38644,2581
16394,60980
33670,33669
14082,61034
5067,5946
1445,61043
868,25455
31350,31349
8200,12592
61125,84
2758,34211
5169,22026
17601,17600
5947,59033
9630,34467
1136,40761
12747,52367
11410,11411
3614,51929
33616,60075
38721,38720
41449,41448
29605,29604
53462,53461
44229,44228
1136,61294
24674,43865
30833,30834
29250,14323
61361,36581
61363,61364
12129,43772
61366,61367
868,61374
15729,15728
36896,61387
13616,34910
17442,61425
5968,61426
56875,61447
19738,19737
47054,47053
61472,61473
20142,20141
1136,39687
59552,59551
6826,84
7180,61495
31200,3938
868,54031
22763,22762
13452,13451
1136,61579
7104,61582
12449,61589
161,160
15334,10760
1632,23873
14352,50514
1107,2606
38689,38688
5414,61708
1136,51110
2938,19827
8269,60695
38392,10660
4252,84
38284,38283
9397,19463
32838,32837
21035,13773
2962,41091
7914,7913
985,48169
43061,42178
18260,38532
15334,48405
1445,2475
61848,61849
32823,23950
9165,61870
29720,29719
6542,61877
54659,59278
1445,30543
4158,1138
61929,61930
26222,61952
1445,61975
7523,61978
27786,27785
23502,62004
62010,62011
1762,53564
32150,23114
624,623
33616,33615
24610,60059
8784,33235
8631,8630
3677,31916
8135,36389
28863,42176
23115,44560
23860,14323
5169,51901
58444,58443
62166,62167
62190,62191
19450,19449
1550,2516
1550,61524
62242,62243
30880,16569
16505,62266
1632,60642
2433,4963
50408,1963
18965,41751
4262,27920
13224,62313
62320,62321
5046,5652
22123,42574
30880,62354
1445,21373
48707,62357
6280,48687
24786,24785
35670,61331
4262,61813
15729,18777
1790,32907
1136,55759
25185,62432
33010,58661
3889,35230
61055,62474
12959,12958
23381,23382
53658,1035
11593,39576
2313,27929
6490,36581
5169,5168
30688,57988
19088,62568
4330,84
5815,62586
51001,51000
2660,50311
28863,59756
1445,14862
4473,59388
25599,84
62669,62670
38349,38348
9545,19899
6108,20465
19735,19736
51034,51033
62739,15374
25482,54862
62746,62747
50341,59637
62749,28409
40044,19644
5026,62761
985,53156
62779,62780
2938,30269
62804,62805
2428,62813
45941,45940
27114,62857
62861,62862
1705,84
62869,13913
5947,62873
62880,62859
2938,53638
54823,48200
1873,33111
46965,46964
50230,50229
39236,39235
13252,62975
1657,26168
60651,63016
57055,57054
8269,63048
63062,63063
47483,15075
63094,63095
2984,45939
6641,43237
6297,63132
572,84
22457,22456
18260,18259
49837,49836
2517,6961
19591,62503
16127,45562
53968,63195
14177,1874
7523,13098
32096,32095
43494,43493
3786,3785
4253,7916
36896,63255
16536,13210
62032,62031
21519,51334
63332,84
7188,7187
15375,32662
7369,19013
25803,25804
36628,60647
63364,63365
1136,9737
8244,57353
6918,63387
13224,52572
967,59487
27465,26910
47477,47476
15334,35884
36731,18823
52133,52134
6108,63482
12129,31905
33432,33431
13124,35433
12879,24268
28634,51455
10482,63580
1136,63579
28919,5313
268,16061
34618,7618
33349,63626
6775,28977
2439,2438
868,56274
37582,37581
10451,63652
63655,8057
3739,63704
63705,5313
25482,47915
25545,50843
5028,5027
11520,22462
38689,49222
31403,37359
11704,38329
1053,1052
