furniturefoundinroom_inv_1,furniturefoundinroom_inv_2
30934,1548
1779,7034
38631,147
15995,997
38706,147
38833,1838
38852,1838
22295,147
15995,3416
34638,1838
26672,7879
506,747
19121,1838
39573,1838
4087,32703
1584,38612
22825,1838
30653,4993
2053,1838
15995,27843
39941,1838
10135,22257
23843,1838
3202,1838
5624,27925
8706,26208
23686,147
40171,1838
22800,1838
40204,147
40226,147
21457,147
39536,147
9780,147
2108,16639
40428,1838
506,40487
11780,1838
40583,147
7908,1838
10143,147
21722,147
4087,3723
15995,38589
23079,1838
17167,147
35295,1838
41017,1838
6392,147
29811,147
10751,4993
32647,147
4043,1838
19230,147
716,147
32040,147
2120,41641
5785,31236
17346,147
9856,147
41818,147
14906,147
40484,147
1291,3723
42142,1838
2086,147
15591,42168
16888,147
42462,147
7024,1548
733,147
37166,147
12339,3416
5187,1548
13778,25468
7880,42890
37099,147
1291,20890
38383,147
33632,22257
9856,1838
506,997
40853,147
43287,1838
15296,1838
43416,1838
38852,147
506,7879
43519,147
20516,1838
2187,37053
673,1838
7880,1548
7880,147
43700,147
43716,147
3316,147
30934,3416
43508,147
16329,13106
2120,747
27290,1838
44034,1838
93,22125
30664,147
10751,1838
37616,1838
44350,1838
28365,147
6249,1838
22300,147
44765,1838
36915,147
3812,1838
44900,1838
16751,147
44900,147
45161,147
1584,1548
12766,147
45276,147
2838,747
14868,147
2982,1838
35295,3416
4761,1838
3941,147
27018,147
45810,1838
45867,147
24220,1838
2184,38094
28700,1838
46043,147
13080,12213
46105,147
7536,20890
41386,1838
23555,147
506,4042
46499,147
26672,3723
34638,147
33554,1838
7170,38094
41879,4993
1584,46657
7880,32703
19598,147
12339,1838
46971,147
20241,3723
22640,1838
42520,1838
32049,1838
1584,13106
33967,1838
16116,147
1743,3723
47197,147
27423,147
1584,47263
6098,1838
47354,147
8124,4993
47469,1838
1620,31497
34804,147
21793,147
18463,147
39593,1838
19230,1838
5785,8371
17408,147
48053,1838
26603,1838
31500,147
31302,147
5187,1838
22985,3723
46043,1838
48242,1838
27799,1838
48324,147
48335,147
26672,147
2838,14865
506,48531
506,48551
48586,147
33042,1838
16329,4088
41586,997
5187,25323
621,147
19477,25011
506,48821
27639,3723
30950,147
11861,1838
23248,147
1291,13371
41732,7879
14663,1838
7880,25323
49349,1838
29004,147
39478,147
7170,1548
49492,147
12234,1838
5785,49504
49521,147
9595,10291
49636,3416
48144,147
506,49700
30384,147
29559,147
13370,1838
27534,1838
15048,1838
4840,1838
50094,147
50161,4993
44629,147
5049,4993
1584,3416
1743,15592
50426,147
48053,147
50554,1838
50603,147
50915,1838
7880,37531
50959,147
2120,15592
35397,1838
7496,1838
51107,147
50314,147
15292,147
1291,18412
31396,1838
7074,147
34273,1838
5785,37053
506,14865
4657,3723
25668,1838
51669,147
51746,147
33554,147
24759,147
50298,147
5624,1838
45290,147
4761,147
1291,14403
7024,2981
506,52028
42853,147
42568,147
20753,1838
50816,147
506,5786
7205,1838
15565,147
19477,10291
17346,1838
17435,1838
33118,147
5785,7942
27416,1838
19045,1838
22377,147
7170,147
5196,2310
39009,1838
14039,147
14197,1838
28276,147
53003,1838
53111,1838
7908,147
53194,12617
2029,147
16330,147
1584,53345
1562,747
1584,18412
4087,18412
53469,147
36920,147
3274,1548
3802,997
30071,1838
5879,1838
7170,3416
11572,1838
42142,2981
53745,1838
43919,1838
1743,27925
2184,53827
2028,2310
53860,1838
14944,12617
11859,30168
36234,1838
29883,1838
10135,1838
22295,3723
19826,147
5196,1838
17408,1548
41732,147
1584,54398
54484,1838
5187,54493
51107,1838
28482,147
54637,1838
54733,147
20516,147
5624,14865
11676,1838
19477,1838
5218,2310
7880,25457
10666,147
42037,3723
54931,1838
8442,3723
55036,147
48033,147
998,2310
2187,2186
16401,147
15148,7034
2184,147
55464,4993
50985,1838
41586,12213
2120,147
10333,1838
14504,12617
47228,3723
18781,1838
32040,1838
55829,1838
3036,147
55878,1838
55880,147
7723,997
21690,147
4629,1838
23819,1838
692,147
506,25457
1584,56092
47668,1838
56135,147
13781,7034
7024,147
21941,1838
2108,29247
11458,147
56356,1838
2184,26208
53109,1838
7723,27843
17259,147
9000,147
38064,1838
1743,56496
6249,2981
21722,1838
28135,1838
4657,3416
1584,11934
45111,147
506,56753
1291,37531
24589,147
23577,147
49273,147
7723,1548
15995,7942
621,10696
28849,1838
16050,147
8190,147
15443,147
47930,1838
17763,147
57299,147
11585,147
41967,1838
34879,147
7024,3723
10533,747
8411,147
7404,147
2187,147
46153,1838
22226,147
3417,4088
1562,997
57706,4993
16329,2981
16430,27925
2108,57739
20241,1548
33632,38094
14504,1838
5785,147
30135,1838
1291,37026
57859,1838
24220,147
38064,147
18463,1838
37606,1838
57912,3723
5741,1838
5624,25468
13246,1838
15591,1838
15292,4993
15308,2310
45307,147
4043,147
1291,40510
17558,1838
4087,25323
28220,1838
1584,58073
58109,147
40267,1838
506,7942
5187,8194
25289,147
58240,3416
506,27028
44882,147
31968,147
38812,1838
506,58339
1291,3416
5341,1838
17084,147
26518,1838
506,58479
506,58522
33632,147
3274,13106
7963,147
10632,147
2982,3416
9572,147
34825,147
31473,147
40064,1838
26865,147
35381,1838
15632,1548
30631,147
19959,10291
39593,147
40833,147
506,27925
57859,147
22571,1838
506,25468
8070,147
59105,1838
20406,147
6098,147
5341,147
1584,32703
1291,25457
59328,4993
19598,1838
20487,147
17763,1838
53868,147
3417,2310
38847,147
33042,147
9152,147
10135,12213
10647,147
2108,22125
16101,1838
51658,1838
53194,1838
1743,5869
58240,147
54998,4993
3470,1838
1584,42890
7880,59814
21013,147
18781,147
31250,147
15443,1838
59990,147
5785,25905
53408,147
30934,147
15652,1838
60165,147
60208,1838
45290,1838
20625,147
38847,1838
16050,1838
60301,1838
23389,1838
60411,1838
16430,44086
22472,1838
29823,1838
54079,147
60739,1838
15569,147
58756,147
2187,25468
746,14865
7170,26208
29882,147
7257,147
4087,1548
644,8371
41732,15592
1743,2310
4962,1838
17509,3416
34361,1838
1584,10000
37920,1838
3510,3416
1584,13622
12827,1838
27582,1838
998,1838
998,997
27525,147
61308,147
12339,1548
36234,147
2184,22257
12339,13106
34013,147
46732,147
30934,3723
13080,1838
29307,1838
40132,147
2184,1838
13367,147
30934,1838
8442,4088
1291,56494
12725,1838
15812,147
16174,147
13814,1838
7880,18412
17964,1838
30293,147
46933,147
47576,147
7033,147
13539,31971
36920,1838
27792,1838
8313,1838
61436,1838
18892,147
58471,147
8229,147
27924,147
2108,31236
45164,147
1562,147
1584,61222
10533,147
1584,62392
1291,25323
14906,1838
26973,1838
506,62479
15591,147
2538,147
26672,3416
5785,43728
36550,147
5683,147
506,37053
62634,1838
13539,4993
50670,147
44650,1838
1584,17998
2838,1838
19477,147
1584,62841
62876,1838
17660,147
506,24302
5187,37053
46435,147
7723,25468
36497,147
33258,1838
2311,2310
5785,10696
5154,10291
5187,10689
20241,13106
6756,147
63221,147
63252,147
40770,147
34576,10696
1743,14865
63295,147
2120,12213
38631,1838
16430,14865
733,1838
7880,53345
1584,57700
30810,147
8442,30168
3414,147
16979,147
58244,147
63562,147
14663,147
5208,147
28849,12213
2184,747
4194,147
13778,147
42853,1838
13080,147
19161,1838
53807,1838
63898,1838
506,38589
51,147
63918,147
18489,3723
49275,147
33632,12213
10357,1838
22472,147
28220,14865
8442,57796
24198,1838
27900,1838
24948,147
24725,1838
746,147
10751,2981
45867,1838
27485,147
51587,147
41874,1838
10423,1838
57211,147
10135,29090
2184,7782
16430,10689
33988,147
15995,2310
5785,64611
64654,147
1291,4993
15296,3416
13778,12617
51658,147
12907,147
506,24524
31825,147
51692,1838
26108,147
2184,37053
28136,147
64888,147
31518,1838
41907,1838
62876,147
1743,58339
1291,12214
1743,997
65033,1838
11585,1838
93,7034
38812,147
15995,15592
11861,147
23752,1838
4087,3416
65205,147
29823,147
50094,1838
3802,147
37589,147
4087,4993
23372,4993
39404,147
37703,147
15591,10291
14944,147
35137,1838
19477,12617
3910,8371
20407,1838
3325,1838
34359,147
2184,2310
23613,147
35136,1838
1779,22125
48242,147
28849,2981
20241,1838
14864,147
11305,4993
20641,1838
7033,22125
29094,147
49231,1838
3417,147
1743,18420
37606,147
36241,1838
2184,29090
40675,147
506,2310
5240,1838
10135,147
50985,147
15296,3723
66136,147
12787,147
506,15243
36317,1838
40428,147
2184,24302
42060,1838
45810,147
66321,147
52918,1838
5100,1838
66408,1838
34879,1838
12939,3723
43919,147
15812,1838
1291,32703
22825,147
1291,14420
11305,66535
29362,1838
2187,14865
506,38094
506,66614
4087,13106
5785,38094
64517,147
17016,1838
23752,147
38402,4993
26672,1838
12470,147
27639,3416
27290,147
29323,147
5100,147
23843,147
30293,1838
13539,35983
43480,1838
16329,147
16174,1838
6249,3416
55102,147
21261,147
16341,1838
28700,147
506,27843
21261,1838
12339,147
2447,1838
26672,26208
19477,12213
10751,3416
16646,20890
38488,147
8442,13106
24095,147
52918,147
8719,147
57607,147
1743,25468
7399,1838
58240,1548
15295,1838
5785,10291
29362,147
27757,1838
2184,12213
17509,13106
1584,40510
36127,147
10666,1548
52510,1838
7675,147
746,1838
3510,3723
17016,147
58005,1838
4087,2981
9593,147
6747,147
24759,1838
1584,56753
18160,147
40249,147
1584,67563
24797,147
12470,1838
3802,1838
1779,29247
57778,1838
5187,25011
36764,1838
22640,147
7880,12213
2108,8371
40361,1838
48514,1838
51693,1838
14864,1838
32004,147
506,67806
4381,147
41560,147
57400,1838
46533,147
19517,147
32133,147
14197,147
4357,147
6249,25323
67983,1838
506,17565
4657,13622
15995,3723
54297,1838
10751,32703
26672,12213
24980,147
13867,1838
58240,1838
68227,1838
5187,68233
49231,147
42280,147
11305,26939
20006,147
43131,147
8442,3416
1743,747
3520,147
18896,147
93,147
11305,68505
37429,147
2025,147
41586,147
44350,147
23167,1838
5730,1838
1291,2981
13246,147
16116,1838
621,4993
25168,1838
28849,3723
1584,14420
10751,25323
20375,1838
43272,1838
68986,1838
23613,1838
16329,13622
69034,147
5187,997
37163,1838
1291,69070
27004,147
32536,147
40989,1838
21441,10696
998,747
24691,1838
21912,147
17660,1838
35252,147
17346,14865
17408,4993
38833,147
8411,1838
25763,1838
42037,147
3417,3416
11305,20890
66191,1838
1743,44086
55791,147
36764,147
1584,13862
5154,1838
30576,147
146,1838
13111,3416
1584,66369
15296,147
7170,2981
60751,147
28849,13622
18197,147
18489,147
49519,147
6247,147
40484,1838
7723,147
8190,1838
32064,147
26530,1838
4989,147
45111,1838
3316,1838
506,13622
32574,1838
4616,147
921,147
5049,147
30943,147
13485,147
16330,1838
11935,147
5124,3416
12288,147
67087,1838
70270,1838
5187,14865
10290,147
42462,1838
10533,1838
24591,147
33416,147
34073,147
4994,4993
11773,4088
70452,1838
47839,1838
13080,3723
27865,147
5785,25011
8411,25468
41386,147
506,64611
23555,1838
22884,147
14343,1838
67425,147
5785,25468
63159,147
3202,147
22527,1838
9994,147
9595,38589
2187,747
49910,147
70856,1838
7880,2981
15063,147
15048,147
48085,1838
5785,29090
34879,26208
16430,1838
54079,1838
38235,1838
15834,147
16430,147
506,12213
27719,147
7074,1838
31302,1838
48033,1838
9152,1838
54531,1838
1291,44841
11100,147
60919,147
14119,147
54553,1838
36853,147
71335,1838
12288,1838
25490,147
33967,147
11572,12213
65811,147
13370,147
1196,1838
5187,26208
22614,147
506,70741
6763,147
46732,1838
28849,3416
5240,147
7024,3416
31144,147
43716,1838
57153,147
4840,147
1743,23690
2184,1548
14343,4993
6249,147
13539,7537
7880,3416
64946,147
4073,1838
11773,1838
66136,1838
15995,12213
19959,68114
47576,1838
10751,147
7536,4993
15753,1838
33416,1838
51106,147
2120,12617
61152,147
23248,1838
5218,147
5187,38612
40770,1838
26210,1838
71870,1838
39878,147
15995,4088
13111,2981
7538,147
45066,1838
28900,147
21441,147
8313,747
5785,1838
1743,2186
71976,1838
6452,1838
45806,1838
5187,15592
22250,1838
2120,14865
1584,147
21833,147
15148,1838
1584,72080
506,33290
27731,1838
27236,147
42568,1838
39666,1838
4087,1838
28220,147
38398,147
7536,14403
37796,1838
22879,147
4657,1838
44882,3723
1584,13371
34273,3723
60739,147
23901,147
10130,147
31825,3416
1584,1838
506,72438
12907,1838
12339,3723
1743,147
7536,147
15995,1838
16427,1838
65994,1838
41586,1838
42142,147
27397,7034
32536,1838
506,22257
58240,13106
32049,147
3520,1838
15753,4993
53636,147
17167,1838
42815,1838
506,32534
506,62815
1562,27925
7174,147
20625,12213
506,4088
2108,7034
18665,3723
1743,1838
57912,2981
41763,147
53567,10291
8557,1838
1562,1838
40853,10696
30581,1838
1291,147
1584,8153
57642,147
15753,147
1291,3211
36744,1838
5187,3723
48589,1838
31924,147
1291,56753
13111,147
38860,147
8706,1838
2120,49236
49636,147
39573,147
1584,25880
73049,1838
17509,1838
3812,147
37796,147
38626,147
15995,65549
39887,147
31327,147
15148,147
59911,147
9152,7034
27900,147
2184,30168
27397,147
34139,147
27649,147
40853,1838
71608,1838
5187,147
18974,147
15591,12617
19915,1838
1743,73339
8442,44425
25364,147
1620,4993
3722,147
10751,27921
2187,1838
73436,4993
50816,1838
20641,147
25715,147
506,62619
1584,73452
35094,147
25490,1838
7087,147
1584,20890
11901,147
73105,12617
6756,1838
49243,147
11859,147
22413,147
3495,147
30135,147
17360,147
30653,147
1584,73428
27423,1838
12939,3416
11542,147
5187,747
22571,147
1584,56494
11773,147
1196,4993
506,59633
70163,1838
24567,1838
68735,147
31612,1838
61625,1838
11859,1838
6452,7879
1779,8371
14341,147
12339,4088
1743,1548
43480,147
59991,147
10607,1838
66305,147
15632,13106
8313,147
506,35081
7024,4993
20625,1838
26300,147
11305,37026
16430,3416
2090,147
44295,1838
4214,147
61652,147
28849,18412
62671,1838
10654,147
14054,147
5187,2186
39284,1838
54484,147
61292,147
30294,147
27958,147
5187,51445
46766,147
4761,1548
506,60831
29307,147
43272,147
2187,4617
54553,147
506,61164
58005,147
40583,1838
47245,1838
57461,147
60311,147
11773,3416
7723,4088
19121,147
1584,48809
1839,1838
1620,68505
17387,147
1196,147
20241,3416
25947,147
7170,14865
48589,147
46478,147
5187,25468
26530,747
10666,3416
27485,1838
58737,1838
56699,147
10751,1548
30071,147
506,66430
1584,4993
23434,147
23357,147
7024,1838
506,57796
18564,1838
506,30168
47672,1838
5072,147
9842,147
25763,2310
8930,147
74319,1838
4087,13622
3510,73813
506,7034
46731,147
18881,3416
20287,10696
50915,2310
24123,147
506,74370
15995,147
1584,66886
27865,1838
46478,2310
1584,66266
15292,1548
26518,147
18489,4993
23649,147
589,1838
10382,7034
38488,2310
506,5217
27582,147
2086,747
58244,1838
58737,147
7880,40510
47839,147
2120,10291
42181,1838
16430,25468
26865,1838
61652,1838
26679,1838
7723,3416
1291,27921
7170,5786
36497,1838
2187,74567
506,65549
7170,7034
20487,1838
16430,747
1291,13622
41967,147
17408,1838
20287,1838
41071,147
15292,2981
1584,74598
11676,147
6543,4993
5187,7879
13867,147
31144,1838
74096,147
55139,147
56921,147
49275,1838
5785,30168
7880,1838
2053,147
30678,147
7880,13622
506,25011
1562,25468
11774,147
15292,3723
71976,147
22754,1838
40267,147
1584,32244
8921,1838
6247,1838
29559,1838
3510,66691
506,10696
6663,8371
8442,1838
46478,1838
69592,147
5187,67715
21013,2310
45583,147
5187,12213
9839,147
44745,147
10607,147
46971,1838
36550,1838
7170,22257
5187,3416
13778,1838
24159,4993
12939,147
3036,1838
44366,1838
506,1838
6504,7034
5624,747
42706,147
52808,147
26825,1838
17435,147
2560,1838
36890,147
8442,1548
2982,147
61735,147
2926,147
1584,25323
506,31107
62983,1838
6249,4088
17259,1838
10751,3723
5785,50272
41586,25468
27639,147
7723,15592
2029,12617
31327,1838
2775,1838
25668,147
10751,4088
38488,1838
45818,147
24691,147
506,63851
21441,2981
21441,4993
7723,3723
13367,22257
19161,147
8706,22257
62671,147
69946,10291
22985,147
21793,1838
56699,1838
18589,1838
10226,1838
30839,147
7033,1838
59186,1838
36784,147
34273,25880
8557,147
73742,147
18881,3723
13367,1838
7723,1838
23042,1838
13814,147
8442,12213
34825,1838
1584,44425
45818,1838
16329,3416
3495,1838
68189,1838
49519,1838
23357,1838
34361,147
3722,1838
38383,38094
34273,3416
1584,72224
20269,147
15632,3723
50195,1838
58857,147
12663,147
18974,1838
20753,7034
10226,3416
27416,147
60301,147
1584,35479
16430,2186
71425,147
15335,1838
3910,11468
58109,1838
57912,147
30723,147
8442,2981
9994,1838
5187,23690
21441,3723
7880,4993
506,39557
17509,147
3274,3723
48586,1838
15995,7879
42706,1838
7536,44841
69156,147
15063,1838
1584,70390
1562,14865
2120,7879
17964,12617
28849,32703
43272,72814
7170,13106
11774,1838
41071,1838
2838,10696
53868,1838
6249,1548
15632,3416
51692,147
42142,3723
3232,29090
37920,147
36340,147
3316,4993
7675,1838
35136,147
71608,147
15436,4993
3910,7034
5785,24302
57364,147
8419,147
25763,5217
8713,1838
20287,147
14504,147
36703,147
31617,147
63918,1838
506,55063
506,26208
9537,147
53807,147
5187,58846
15148,8371
12725,147
10423,147
33232,1838
9595,147
47540,147
56135,3723
30636,147
5785,74474
26518,14865
31396,147
45276,1838
1584,59814
58474,4993
27004,1838
27348,1838
8930,1838
3325,3416
9537,3416
2184,33290
506,69347
28365,1838
23694,147
37145,1838
16646,4993
3417,1838
3910,16639
5785,16639
6556,1838
506,29090
18520,147
35381,147
5785,12213
3048,147
40296,1838
29367,147
23389,147
65526,147
4761,13106
56438,147
72454,1838
12679,147
3232,147
4687,147
15418,1838
22800,147
10751,13622
5187,38094
72273,147
2108,11468
34354,147
23175,1838
6249,13622
17558,147
506,13106
43287,147
3274,1838
38468,147
73956,1838
58535,1838
18665,147
5785,26208
47668,147
18520,1838
57912,1838
44034,147
23649,1838
54553,25468
43479,147
6663,29247
2184,25468
1584,5973
18655,1838
35252,50785
7033,29247
71216,1838
2120,25468
48176,1838
47672,147
1291,2310
19724,147
27525,1838
11676,12213
13539,44841
26483,1838
10333,147
29882,1838
5187,44086
26603,147
30723,1838
4194,1838
74037,147
60752,147
15292,3416
17509,2981
14479,147
22800,3416
30950,1838
30653,1838
1584,29038
22323,14865
57859,2310
17910,1838
32533,71735
56606,147
16329,3723
23042,147
41732,1838
5187,4617
65018,1838
10751,13371
506,53827
42181,147
15813,1838
38383,1838
45307,1838
2184,64611
16430,12213
7170,48531
15995,25468
506,44425
17041,147
1291,35479
68856,147
8719,18379
