synonymfor_1,synonymfor_2
10777,3701
9080,730
49701,49702
10116,49965
6877,725
9888,3701
50208,627
725,3701
5356,6981
6981,5356
1884,22782
34912,50523
50656,627
50750,50751
17854,188
7940,30354
48359,48358
38590,3434
21925,51010
3006,35843
5846,730
1047,14312
2587,5651
34969,627
3705,5724
188,354
11118,10418
3701,36260
760,627
188,14134
11227,47012
52484,40032
7941,7940
23589,24545
26925,1738
5294,53075
26903,53272
10116,7759
188,19996
188,14629
2269,10777
6877,40929
54209,3701
188,1016
54344,54345
10116,10115
730,8297
188,10993
9386,3713
22328,3701
11667,11470
16809,37519
54975,2302
188,14900
188,55328
5047,5048
55605,34559
10418,40030
18003,29107
8806,55940
25679,56013
20050,20049
10049,10048
5593,37443
4728,730
1655,730
7283,56188
19668,188
730,2170
14141,14140
1738,5490
9231,6162
9374,2910
804,627
57136,5048
36260,3701
29339,3701
7528,2302
678,730
17501,1647
6877,3713
57886,57887
456,188
730,30675
14187,627
30906,58390
1655,58398
58534,55605
15300,730
58588,58589
730,3333
188,52073
18004,18003
1108,30906
730,1264
1781,10418
188,29032
7901,5907
6413,10777
30675,730
45669,3701
29412,1369
3701,28628
60164,730
10116,5791
6877,18905
2302,7528
23951,5735
60828,60829
1738,60899
36210,36211
3701,22079
1369,5907
958,10054
42062,9231
14193,730
14666,730
48845,188
11443,730
20050,24055
2486,1162
946,56817
2870,730
1059,730
6877,28628
18003,5907
730,736
12277,730
3333,730
28646,54956
188,47531
62830,730
403,730
50711,59008
9387,627
57980,25720
7283,62802
58943,15919
10116,2473
730,1655
250,23275
2587,725
6877,11895
57011,3006
3558,188
23951,36344
55940,2910
42161,627
6877,28793
1047,26997
730,53665
1738,13002
34559,34558
14586,12295
188,62008
6877,55259
188,1162
2536,14538
64519,40032
4068,730
730,55303
3363,35843
6877,65815
456,6981
43544,10597
52519,188
10116,52931
66246,2863
40032,64519
59008,9374
188,9098
10116,58986
3701,6413
45183,40032
66831,30354
188,2486
67058,67059
10038,10049
188,11954
760,3701
6877,39135
8894,11817
54203,19114
6413,3701
67575,67576
7283,9386
188,52519
2713,188
57433,8806
804,28628
3701,20475
6877,5651
15541,2910
62046,31657
188,3558
188,11478
3124,730
30598,30597
68255,627
234,39488
28503,28502
64968,27783
1047,302
66177,66176
1738,1264
19909,3701
1727,28628
55328,188
47126,28628
1697,7540
42892,10049
188,8232
5453,5452
27417,15919
730,69314
37443,5593
69323,58534
10116,34437
40032,12032
55303,730
5613,5612
730,972
42450,55702
66833,3095
69754,10571
3034,31288
25130,2910
69817,2304
2729,1697
22079,3701
730,40630
1047,39151
38993,15541
10054,10055
69576,69575
188,2039
627,3701
3701,627
47457,44237
70715,70716
3006,67792
10116,7284
2269,627
70831,70832
45705,730
730,6418
47457,5735
55056,3701
10116,9386
67634,627
10418,1835
188,18052
3701,725
28793,3701
6413,28628
4445,8766
56817,71423
6418,730
730,1738
19114,25129
64968,10049
8807,8806
456,2486
60156,3701
1047,19612
2587,18581
7283,2390
10116,3434
4380,730
9374,41416
188,22561
736,730
2910,2909
71628,730
188,46838
52058,67196
40030,10418
188,72266
10116,2271
38430,1320
3701,60156
17037,730
188,31067
38621,59270
55550,26471
18978,18977
7540,17530
2910,21179
7283,11114
188,13218
40032,45183
10038,10037
30906,31273
36585,36584
19652,188
6877,72870
730,4068
32157,2910
16802,35193
188,54759
15541,59008
34550,67215
72986,9386
10116,12855
69477,172
13568,6939
188,2713
1738,7758
23589,9386
23589,2271
1835,10418
760,6981
730,60164
4232,5724
3701,45669
73282,73283
6981,627
1047,16913
40032,52484
730,70173
6981,11895
58449,188
730,33236
69015,627
8495,27145
188,62377
3701,250
730,71628
15908,2910
1047,3821
188,13057
58307,133
1817,18608
730,15555
74104,74105
45836,4433
188,2146
6877,627
24350,15541
54956,47641
9098,188
3701,22328
38590,6877
7283,2271
7540,3701
8232,188
1738,730
6877,803
804,803
25720,6981
68738,68737
23951,42221
2110,9387
1129,22555
730,16133
2269,28628
59270,21041
1727,10777
730,103
40630,730
2302,6981
730,729
188,33394
11045,72494
2910,7940
23275,250
730,403
11469,11470
6981,27374
188,58679
6877,1705
56901,25613
772,74804
7758,1738
1108,68779
7283,58986
46838,188
6877,47318
730,4728
10116,6472
1738,2170
7283,54441
47012,11227
37847,35426
12295,14586
7283,73335
11954,188
188,37984
47457,36344
7283,6472
6877,7445
188,74991
24748,3310
66833,10049
10116,56188
67196,52058
57742,10049
17536,17535
5983,38621
3344,22555
10116,14951
7283,12492
188,1943
2587,3701
32512,730
188,5005
55056,627
730,13619
10116,47718
3393,33787
16133,730
1264,730
188,25216
26254,21041
7120,13676
52058,9374
69286,45705
188,5498
188,19652
10037,27783
15627,57550
7283,2526
1727,3701
1727,5651
1943,188
188,58449
10418,1781
1655,16457
2052,28628
2170,730
486,1597
10116,11114
8807,14773
39151,1047
6877,10777
31657,62046
9386,18905
10054,958
67115,627
188,48763
188,38897
3006,67270
69575,69576
18003,2910
6071,60534
58589,58588
16097,71349
6413,627
47457,42221
23951,44237
3006,74716
7540,1697
6365,627
31067,188
20475,3701
7283,72851
75137,47747
13218,188
7283,7759
