agentcontrols_1,agentcontrols_2
675,30323
6941,49588
1860,23529
342,3136
26709,64561
58295,53936
12,54939
13580,13579
95,43342
2269,4459
2269,57397
617,2110
675,26913
179,35177
1001,25829
2054,19672
179,1357
28549,28550
33178,29669
95,4372
675,7686
31511,6625
5178,5177
179,46787
62593,64653
179,23340
3995,273
675,25077
13647,13646
2054,39675
8850,1331
95,7044
741,502
791,51931
1271,6033
95,31054
30,19883
95,51611
791,2305
1860,32183
26487,13160
70292,5531
741,9027
8366,12727
2054,35392
2054,34014
30174,13936
11570,11569
675,46023
1174,897
179,36623
2054,19571
6695,14534
3995,4603
95,6616
15322,2920
2054,42041
3995,6291
12,5610
675,28051
13506,2920
39559,57182
2637,8114
257,7737
11334,11333
32746,2928
33014,257
23041,21590
179,32762
179,32302
2054,48658
65981,65980
3995,69721
3995,2201
37910,16514
33141,36747
12674,2126
28359,26716
95,3126
179,29382
48183,35213
8511,4988
12,2394
2637,8112
95,67154
675,4123
3550,14617
12,9009
12674,726
848,847
95,5173
675,24554
4749,11363
2054,60498
15682,15683
179,23492
2054,29827
8404,34689
11524,60457
8801,27783
2269,4603
791,47191
18750,1331
95,26556
17102,33666
14969,681
25235,25236
2054,51651
675,28577
51431,3748
675,51682
95,44626
675,15906
2772,69623
95,74901
72854,3588
33156,33155
95,35739
8366,74926
95,823
741,18382
5588,52072
16454,1538
5588,74963
791,47154
2054,29958
65234,35801
2054,34217
1860,73808
675,4421
5627,74831
5888,44468
179,17492
95,24020
2397,14534
24309,56828
2537,2536
791,19003
24010,24011
75033,65652
12,71966
675,31560
95,64875
7719,20626
179,24503
10447,10446
3451,11463
3550,30023
1428,4459
13681,20208
6608,2870
675,4620
18716,9027
30954,32906
95,12009
681,27126
2269,15126
786,48172
179,6009
60609,59269
9143,9142
1860,61001
1271,25782
22161,48740
2772,73651
13308,1538
2054,5694
675,39150
675,17275
2054,19346
5481,9394
55899,69589
48190,48191
179,12551
28581,1538
179,38286
13385,5644
675,34925
179,15879
8366,10056
179,23668
675,50933
3082,427
675,49692
2054,14715
675,12868
18207,75209
1001,41476
34954,34953
675,1865
675,47663
63023,11996
1672,3479
12,852
95,74473
39145,24287
3995,1428
13152,49035
791,31908
179,40041
28727,1331
179,10348
675,10781
179,28984
5179,72789
675,879
179,4619
58814,58813
33156,56982
8560,27193
2772,15543
1470,74229
1860,25771
675,32989
95,57668
1369,2587
13668,2669
3995,9230
3152,14247
5178,55239
5178,3900
2054,11490
63504,63503
179,35272
179,10790
39482,41166
675,31137
6960,6959
3893,67476
45114,19146
179,7754
48740,22161
2054,33231
2054,32692
50157,50156
5490,4534
1860,32221
17896,3995
179,2671
19545,19544
20959,39586
675,46853
3550,3549
791,36958
741,24599
17935,1331
675,19592
179,17956
179,2103
3995,65797
3588,8974
44128,12327
1860,65596
6698,67476
3995,12237
95,38861
3792,3791
474,52360
39979,18516
11795,14534
3995,7859
95,22592
67290,1538
675,7116
21377,11363
3995,6712
3995,56034
3995,9559
95,67318
57546,3588
95,59055
736,25731
663,1738
3669,250
12724,12723
47036,37847
95,32265
49141,205
3995,5907
6974,47412
22225,12042
179,12892
43321,33303
26358,1363
2054,45194
675,28235
14417,11287
31438,257
2054,39317
95,32927
2637,18378
18630,64469
2054,38190
7009,17935
179,38563
2075,51863
675,11231
1860,61323
2772,74750
675,32618
179,26397
675,18816
2205,24748
22402,6310
95,44327
257,14391
51867,51866
3995,3792
40068,40067
14417,30023
257,31923
3995,8114
2772,18388
5588,20205
179,13469
791,24581
