bookwriter_inv_1,bookwriter_inv_2
23225,23226
23381,23382
8798,8797
9078,23471
23583,23584
23588,22333
23623,23624
23701,23702
23707,23708
23949,23950
24028,24029
24069,24070
8151,23358
9250,24278
3677,24410
9122,23213
15477,20082
20924,24572
11034,11033
14825,24594
12412,24722
11520,24810
24843,24844
4347,25043
2568,2567
21083,25165
8151,25346
25372,13617
23381,25497
2240,25692
25756,25757
25803,25804
25832,25833
16460,16459
12747,12746
26099,26100
7724,26322
14061,26393
26449,26450
2717,26457
26484,26485
22072,22071
13252,26690
26789,26790
3771,26827
26909,26910
26943,26944
2240,27086
3921,27296
3677,27671
27695,27696
2962,27736
27804,27805
7769,7770
10761,10760
8096,27872
27928,27929
21277,26045
2313,28024
28084,28085
21083,28216
28225,23385
1045,28249
19947,19946
28353,28354
28371,28372
1045,21898
4312,28481
18357,28547
28567,28568
4233,28659
28725,23876
28758,28759
4233,27671
12559,28797
18797,17156
28909,28910
28353,28938
20761,28989
3561,29025
29255,29256
13374,12737
29488,29489
9659,12730
5810,29540
7724,29619
3677,13397
29860,29861
30010,30011
2240,30040
3677,25864
30244,1771
161,30313
30364,30365
30418,30419
5653,30437
9283,30446
30578,7094
11704,30649
9268,30657
6317,18696
7950,30696
4941,30714
10661,30715
30733,30734
30736,30737
30845,1899
9199,9198
31044,31045
27752,31048
11497,31340
31365,31366
21177,22618
4233,31604
31673,27523
31681,31682
31744,31745
2667,25370
14114,27131
15074,21794
11260,31837
31902,31903
4233,31916
10761,14378
6317,6316
31004,31003
25756,32214
18357,32309
17242,32460
32466,32467
32517,531
15467,32520
20296,20295
10451,32563
26198,32812
21083,21082
4312,22584
33039,33040
4976,4975
33472,3918
33595,33596
33691,33692
33769,33770
33850,33851
4448,33979
29601,29602
34233,30803
3799,34240
7769,34262
19878,19877
34294,34295
34301,16288
34343,34344
6510,20486
4233,34408
34430,5895
268,34588
34656,34657
8656,8657
34881,4821
4992,34986
35038,32520
2962,35104
6317,35119
3799,35166
35269,9020
14322,17816
34343,35299
13226,33596
268,35354
35399,35133
35455,34164
8617,35456
35464,4346
2254,2253
268,35547
33167,35565
15477,8199
20924,36017
21083,36024
11301,31344
36209,13786
21862,7770
36512,36513
36572,36573
33537,33536
11576,36600
36602,36603
36358,27523
36736,36737
31855,36638
36902,36903
21758,16129
9268,9267
10677,10676
8617,25938
37146,37147
10377,6316
37266,37267
37285,37286
37371,32060
37608,37609
37611,37612
5571,37720
37753,17050
37774,26976
37816,33770
33039,37965
27752,38036
5960,5959
10292,38173
23395,23394
32112,38330
4901,12397
7369,38515
268,1527
14898,32060
38654,38655
4347,4346
7769,38769
38807,23448
22793,22792
9308,38975
1045,33435
14628,14627
39052,39053
15074,17843
39123,39124
38284,38283
5396,39140
24308,24307
39268,39269
24684,24683
39441,39442
39462,19647
18289,39467
39677,39678
4312,39724
39730,30737
22072,28058
39837,39838
39857,39858
39863,39864
5287,35171
5354,40002
40075,33866
40293,40294
40335,16363
19731,40400
40490,40491
10377,12466
29404,9660
14208,36903
9730,9729
8739,40618
40698,16288
9122,40736
40767,40768
8033,40824
14615,14614
40834,40835
39312,16682
2962,41091
40917,40916
41274,26315
10661,10660
1279,41454
9678,9677
1045,25769
20296,40086
41848,41849
24789,5395
23289,3934
42051,42052
2433,36111
42177,42178
21758,16446
36203,28568
7342,19087
8670,42430
42507,42508
42614,42615
268,35626
8151,35896
42758,42759
35478,24268
6317,42931
40490,42985
8141,21316
24816,24815
40973,40972
43201,7094
43205,16288
4941,4940
43261,14094
131,34471
20106,43392
2962,43408
43409,43410
3561,6113
6641,16301
6317,43655
268,43665
30364,33776
43801,18475
18357,43884
38044,15311
2115,2114
22882,40277
13543,13542
6420,44236
24682,24681
14628,22628
41595,41594
268,18549
44343,33522
44351,44352
44407,44408
15036,44417
2962,44421
44488,44489
30335,30334
2717,44639
4992,35128
14305,32250
9877,12538
10451,19539
40973,44920
6641,21434
11920,510
6641,28998
39510,39509
3677,18240
28118,19600
4233,40558
45427,16156
14114,29595
20924,32191
3677,27523
38998,8012
14521,14522
9877,5343
6652,16156
2984,45939
19572,45984
7724,46067
5571,21210
46104,35519
46111,16288
45941,45940
4347,46120
10163,46124
1279,7545
12412,25922
46310,46311
4233,12133
10697,46462
268,28916
20296,30798
131,46526
46698,46699
46774,20144
1045,46943
12559,12558
2717,46973
17774,46982
47071,47072
47156,47157
47179,47180
47239,47240
2717,47241
30364,17816
46310,13275
11240,11195
6634,6633
26325,26326
47483,11650
27752,43986
7109,43206
4448,39834
47677,47678
47682,47683
19572,31682
6641,43237
2377,14672
47924,33522
43752,43751
10292,35519
6641,48131
11704,48248
48253,48254
44351,48258
12959,48301
26432,26431
25655,34164
18822,36730
33432,48483
7822,48656
268,48668
1737,47551
48697,33522
33007,48723
16355,28878
20793,11033
48963,48964
10377,35583
631,49079
46132,49118
49134,49135
14305,30002
35710,19928
7456,43206
12736,44560
15074,44641
2962,27016
268,36520
20452,27099
48697,49414
41746,26523
18822,47676
49509,36811
20815,20816
34632,46883
45574,45573
22072,49590
14305,49791
6552,49816
4448,28318
42726,19845
14061,49923
49927,49791
268,24803
49938,49939
2377,2376
33571,50125
50155,531
47071,50170
33167,50259
10377,50324
10451,10450
268,29801
8617,50474
49417,13265
50511,50512
13758,13757
27752,31325
50689,23084
48105,50804
50811,50812
4233,50405
47894,47893
14233,14234
10186,32963
37240,6776
2433,2432
48256,48255
26909,51043
48162,48161
1951,2985
10646,38775
8540,4681
34231,34230
6158,51488
8617,8616
34539,34540
28412,28413
10163,10162
51657,48072
51711,46883
15074,51740
51825,4230
51838,51839
51880,51881
3614,51929
5810,32472
52011,52012
3614,52022
52133,52134
52144,30785
14521,14138
52201,28377
38213,38212
9250,52279
52380,48949
13178,34240
268,52402
52406,52407
52459,52460
52474,52475
268,52481
52491,22501
5160,5159
16949,16948
52556,52557
2962,41329
3677,52595
52614,23232
6280,52686
268,9053
4233,43902
47700,47699
3771,26125
29614,43090
6652,6651
52868,16277
6317,50324
3133,26049
24789,24788
268,34258
52201,53110
268,53126
12747,52367
46132,46133
25198,25197
14628,52686
39244,53319
12959,53046
48105,44895
18393,18392
45474,21223
12747,53448
53493,53494
53551,53552
6317,45505
24789,25345
4233,13397
53873,53874
10186,17580
11704,53913
268,53931
48115,48114
45679,3934
39535,28568
11520,51044
10677,26888
4233,31898
33167,33166
8244,54198
54205,11411
54289,48379
5414,6242
54371,54372
54382,49548
3933,54509
10377,42931
52135,13265
268,31127
4312,54766
2962,27473
8617,36256
54852,54853
131,54871
54879,54880
52474,49135
20183,54996
2962,55006
3561,3560
6158,32944
22882,55076
21083,37592
9111,9110
49350,24598
2258,55213
25372,55305
55329,55330
538,30835
55406,26355
10186,10185
38689,38688
20027,8740
20154,20153
23588,3934
3917,55574
25803,55619
2717,40818
4233,55659
55683,21960
2258,2259
7191,7190
29860,55395
33349,33350
55802,55803
55882,55883
28118,55309
20789,54675
2240,37824
40917,31286
15477,12592
56074,35209
24790,24791
56129,2567
1045,56141
9702,9703
23289,22333
56332,33705
27928,15685
56341,56342
41393,41392
56475,56476
43021,46208
5107,5106
6641,51057
5354,5353
11520,17639
631,56632
56725,56726
6641,44093
54304,23774
56794,56795
53105,8012
15379,54239
51657,22169
18827,6553
56870,8120
56957,56958
4233,18240
56978,50184
44955,56995
2717,20967
19645,36811
39645,23471
36512,45832
1045,10726
12464,57085
57090,57091
57109,18920
44606,33037
28118,50907
18289,5159
3771,3770
20027,44195
11299,29837
19427,21885
57427,57428
57443,43206
33084,33083
50896,57532
57540,30834
20968,20967
57574,57575
9877,39395
4233,43206
3917,17580
57746,57747
3771,42734
57767,57768
27752,50794
36209,51532
45453,45452
6317,57824
30059,30058
1045,36433
5354,25856
57927,57928
20656,57380
15074,11650
29524,29523
4233,53331
14628,48687
30688,57988
7020,51017
16352,16351
58120,58121
14499,14498
27928,11503
7180,33755
32903,18486
25681,25680
47483,15075
23381,51359
58394,30365
11920,58395
13355,12413
10828,11485
3771,39178
58508,58509
14305,44064
2717,58537
11520,18947
54241,54240
35710,19845
52201,48355
5344,5343
6641,58786
8540,8539
8455,8454
38264,19845
59014,59015
59061,59062
10451,44031
8151,36626
32061,32060
3921,3920
59113,59114
36736,59187
16460,22535
14825,14824
22882,42510
23716,23715
29601,57491
9250,22501
59369,39235
9122,53046
29682,13035
37285,34775
11520,52416
43347,50812
29404,12730
10377,43279
6280,6279
59672,52134
46576,46575
50694,50693
37393,37392
20296,59761
59844,59845
2962,16720
4233,59863
48201,48200
30688,32421
60000,15075
47649,32347
33571,60023
53493,39791
34539,40054
47071,50229
2540,28913
10605,44212
60212,60213
60297,60298
33167,52861
12227,12226
631,60332
37240,28977
12246,60398
52727,58602
6280,24513
7369,19002
60487,60488
21819,60502
16505,60567
60589,60590
3677,3676
14628,6279
4233,4386
7769,39959
60660,60661
47992,49561
5492,5491
2667,60709
12747,57549
2667,35299
4233,60841
40767,56179
3815,6074
33432,33431
10163,16408
4233,17383
42208,42207
25390,51022
53119,50375
9702,34853
54045,54044
4312,41378
2984,1950
48791,48790
61201,61202
24790,44818
33048,33047
61306,61307
16355,16356
2962,59725
13541,3918
61493,61494
18393,25421
57685,57684
4233,52595
52474,30605
42177,43062
44407,33851
14082,61766
6317,61830
13355,25922
55861,55860
4816,45089
33106,33105
61941,21241
10163,34992
62022,62023
62078,62079
12731,54274
62194,62195
1951,7038
11520,19842
131,132
62323,62324
13541,55574
54885,54884
3207,3206
7456,8062
7769,31108
10605,61615
21083,36380
62654,62655
22882,22883
62700,8057
2555,2554
32517,62769
16460,49891
8096,2554
9877,36783
62948,18696
43800,43799
63066,63067
55306,48379
44055,6344
32730,32729
8133,30349
33595,7038
7724,7725
268,50719
30195,30194
5110,6646
60187,4821
60196,29523
1045,63338
63349,63350
39268,63367
15074,15075
63394,63395
8133,8132
32838,32837
40439,40438
13866,14831
22882,31265
3815,3814
6510,6509
3677,59181
10451,41978
57991,57990
63845,63846
7369,58676
36303,36302
35294,31316
15798,18637
63910,63911
7724,63948
40917,29434
13374,23114
33039,64002
4233,29625
14832,14831
6652,26754
27479,27478
20154,58925
268,22670
7342,7341
11520,32831
64169,8103
10451,48550
27240,27239
47947,7672
64310,64311
6510,42004
23052,23051
11920,7137
17874,17873
3677,32423
35501,35500
2377,4289
35710,35437
29173,29172
11683,11684
20924,44048
15068,37286
12614,5259
21863,64518
47202,47201
5160,39467
5653,5652
27786,27785
64602,64603
9238,9237
53172,53171
64748,64749
31902,39945
30565,30564
23637,23636
4883,42875
5414,41707
28142,28141
13381,13380
64899,64900
4233,61113
27230,6157
61178,61177
58297,33596
34343,33522
9308,9307
34343,2666
3677,63983
11520,24421
65085,9282
33167,38618
65103,26900
45968,23002
9877,19104
6641,26409
47677,65219
17720,21216
65290,4002
12959,40736
268,24457
5396,25345
44351,47936
34632,34631
33007,33006
48493,48492
43201,51017
2962,51790
65547,65548
2667,39139
50896,50897
46903,46902
60957,60956
22479,26597
9877,9878
65745,16288
8617,24326
4233,52464
65835,65836
1045,65847
2433,17685
2962,65884
8133,63517
26325,54808
43800,19767
2411,31101
2039,14831
10186,55574
7451,7450
66116,66117
42276,42275
50740,66138
1045,47373
9730,10834
33470,31402
66241,66242
37759,37758
21177,12232
20924,27156
50155,62769
4233,30014
8660,43325
4675,16701
4233,27523
39688,16590
22793,66422
9122,9121
45781,45782
66447,66448
41449,41448
12337,12336
66496,66497
49290,16288
4233,33474
18289,66548
4883,66550
11704,38329
538,28432
13266,13265
18822,66681
3677,29215
44430,44429
3799,66771
66786,66787
2411,13303
6317,22973
45563,45562
65487,66910
20943,46855
5322,5321
9877,67118
41834,61886
67140,12122
67165,67166
10377,64789
51657,59874
14233,30226
3677,61113
21862,34262
12736,13373
10377,57824
51497,51496
57442,40039
2377,67086
40075,27872
64739,64738
6641,67452
6510,67349
26314,26315
67500,1899
41683,41684
4883,4882
67070,26400
56978,36656
6158,47633
1045,37174
38245,55536
17720,39163
10451,14356
8244,39197
7769,60496
33605,33604
2667,34687
2240,3386
17720,17719
33472,32963
8151,26158
4233,64789
67747,53171
30578,7021
2984,33596
20499,20500
14832,34732
67971,11592
14925,14924
44407,35503
33523,33522
6158,25915
4312,5139
7398,7397
60050,60049
4233,12748
68136,68137
46698,53372
35729,16156
42883,22333
31099,31100
8141,13143
51657,62477
2962,67439
3933,41931
11520,11519
67515,12615
67070,67069
23381,58400
6317,35583
30347,13265
9446,43848
27928,2312
68409,37574
68418,26049
10687,1418
6317,40301
6317,12466
25390,25389
11520,26452
19572,34544
2254,64738
63028,2554
39809,34037
27479,68558
2313,27929
45474,41421
268,29006
56794,20667
45034,34240
9250,9249
7769,68715
631,39972
3677,30014
36985,41995
5653,29349
65407,13204
5287,28736
68808,68809
33084,52778
35710,67427
3561,64893
7369,8600
6420,68907
4448,68908
12559,51987
2962,16556
17774,54808
45474,42664
2313,15685
19427,57773
69000,67166
69013,69014
161,26872
14322,30365
47649,65322
24003,62988
28353,46859
2377,18992
5322,46829
13226,2985
69075,69076
9283,42231
52474,69119
69141,68059
40608,40607
25198,50862
14499,55111
69162,69163
5287,69207
67999,67998
63815,33615
24682,18569
14305,25736
4675,45038
65803,65802
161,50495
4755,22630
37240,40619
8670,65210
63506,28216
16505,62266
6317,38701
19427,19426
5396,5395
10646,10645
57090,69534
11576,49084
3677,60304
268,35019
19645,19644
38998,38997
268,3219
33048,51965
5287,66617
30531,30530
6641,6642
8660,14616
69727,69728
31744,23292
30578,51017
6317,53396
3561,42179
7769,19910
10377,22973
46392,46391
8617,61048
13226,1950
27230,68060
69939,69940
34294,34596
69960,7021
5571,25292
45735,45734
14521,70014
9296,70021
8151,47211
68702,68701
10605,39112
2377,61993
25719,25718
4233,70066
32259,32258
4992,59617
7769,53074
53269,53268
47605,66110
20027,58654
40834,55393
8151,6122
28234,28233
631,66659
22334,3934
28758,70177
4448,65846
28225,70218
42883,3934
2240,54946
9283,9282
28599,28600
9446,70242
2667,65678
70267,26523
5028,5027
9379,9378
48697,28214
70293,70294
59064,20144
20183,20184
24674,24673
47477,47476
37774,46471
25372,34910
58738,2421
70443,55574
2667,35130
10661,40440
17774,27616
268,70517
3799,21133
14233,29993
60050,70547
39806,39805
56687,44920
70592,48054
70609,70610
5810,69931
10451,63652
10646,67619
51711,70673
9702,51155
44896,44895
4233,49187
4347,43304
22882,38493
20943,13265
15317,15316
36394,12689
30364,40773
24106,14351
20027,70798
3561,69302
21277,21278
24106,70823
55338,55337
55617,15549
63494,63493
10697,19320
9379,70935
32903,62996
22793,60647
420,419
33571,33570
10605,40679
27928,20485
7342,62568
8631,8630
37611,43592
9122,53257
11593,11592
8033,17056
33167,54223
71148,71149
2667,2666
4347,60574
31369,46669
6641,38227
268,67479
6280,14627
60481,6553
17203,17202
5354,29790
15036,15037
68031,60881
53022,53021
20924,27198
8617,18211
4448,33507
21116,21115
50800,54937
49517,49516
51800,51882
14233,37461
14305,21573
43800,61431
13758,35387
33571,69441
45941,52313
51071,51070
71660,39429
9268,36474
40075,33037
4992,56168
21865,60661
10451,55941
6641,62470
8455,71702
2962,39621
18002,18001
4992,65229
37285,39864
48791,70169
47500,47499
6158,62889
24816,59009
12959,21948
14305,14304
8151,21621
2962,28735
62739,15374
47947,56026
268,35687
26585,26584
42384,48676
14114,30073
2667,55026
41449,67818
44606,44605
538,539
6317,43279
48851,48850
30531,40369
6317,42828
4901,4900
2717,49183
39206,39205
20183,45767
29404,17841
57427,61582
72143,72144
2962,22464
20499,40502
1045,66584
56482,56481
10661,36816
34343,35130
3677,72242
11576,11575
3677,17090
31855,31854
31447,31446
34652,34651
31099,55286
3933,22333
38953,38952
27524,27523
34585,34584
20793,72424
72429,60105
68393,68392
56957,62137
52459,53208
72478,72479
59145,59144
6158,71923
14114,70612
68358,68357
56978,21196
31768,31769
20534,44408
26099,67358
27240,36085
25223,72570
7769,43530
21862,21861
2717,72592
30473,19935
4233,60304
161,43796
14756,40811
15798,15797
28118,40771
62860,62859
20924,20923
10377,45505
21863,23652
16157,16156
4992,4991
25223,25222
67515,34142
14208,72695
72706,32153
10451,65057
19572,36814
34881,8959
70675,70674
35710,9020
7109,8062
29682,32446
6829,6830
6641,53771
7914,44258
57991,17610
72859,17738
18570,18569
14322,28006
12959,29122
2258,37357
13763,70090
63815,60075
20106,20105
48950,48949
33440,28006
60783,55628
20027,73008
47947,59882
13758,40838
5028,58276
51785,51784
4599,4598
9446,39432
1045,55544
3677,63703
6317,46836
40241,40240
3933,33415
7724,24837
28758,39479
70671,70670
69907,31363
42276,65964
13374,13373
2962,64243
16460,20067
25899,73212
2962,53089
7822,35192
2568,10566
17396,3754
23381,44609
268,33145
6641,43455
73132,73131
73272,73273
52771,42615
6158,28183
14028,73317
13763,13762
73331,18542
14756,14755
16355,58964
3677,31916
27733,27732
34231,71518
20761,63864
22334,22333
11034,16518
10281,26900
42726,43206
11520,50984
1448,31286
73434,6878
47992,47991
24292,24291
23381,58156
5354,68308
9730,19201
27752,15770
6280,22628
40335,20855
131,73502
42384,42385
10281,73509
5354,28397
61347,43767
13252,62975
268,46058
73533,9237
34585,64066
11034,65189
16355,16875
49890,14094
2254,70529
8320,17124
2962,11427
2568,49405
8617,42016
73615,73616
22072,68059
71495,71494
9122,16203
11034,66929
2717,73648
1951,33083
5653,27549
41342,40027
47202,47413
7769,41983
67844,67843
10828,28121
3677,40501
29682,34270
5810,73244
44055,73755
161,160
73791,73792
37698,37697
268,34759
51711,73799
70886,70885
4448,21858
55729,55728
27230,23114
32463,9020
49509,25706
14114,31532
268,69979
66501,66500
4675,36412
50800,27523
73874,11621
33432,50897
65192,65191
65827,44097
14305,64694
8670,56444
47071,56444
4233,13770
40917,52912
6829,22835
35710,43206
73914,73915
40917,1449
9250,57897
2962,16563
42883,41931
30688,30687
6641,69243
17878,74060
9702,47302
42384,63587
161,48814
4233,24410
44430,33770
26977,26976
69522,11650
2717,74100
33691,73216
4233,25864
3391,3392
9122,48301
18797,8828
6280,48687
9308,68067
13252,43567
268,74157
74161,74162
4941,71992
74177,18569
44213,44212
8540,39429
2962,3388
8151,61265
37396,37395
47605,47604
1045,56768
13226,7038
20452,30722
5492,66686
33605,69938
56751,56750
2962,41251
46310,28635
1045,64353
4233,63983
25473,10847
14756,28862
23001,23002
20452,29092
2446,2445
24308,64925
60768,60767
72866,8657
7950,28451
5653,27096
11301,16579
10451,58624
44955,44956
62783,62782
33167,57226
10377,30487
74341,16459
40075,61100
65827,66400
33039,43134
6510,35337
8911,25202
33349,63626
2433,70556
3677,68295
7342,27396
5344,43476
37231,37230
35710,60105
17242,33851
268,66381
71121,36603
11034,42360
41834,41833
8096,65805
13252,57365
10186,3918
43752,52979
1045,1044
26860,26859
45517,29330
6629,6628
63845,27616
39510,37204
44180,48094
52474,28653
4675,17015
21863,40756
27240,72072
17061,17060
1045,60395
13150,13151
40461,40460
67743,70801
19645,25706
60196,60195
13047,69610
73171,23876
73630,73629
9446,60039
48883,33851
27624,27625
12959,65841
74651,74652
4675,22374
59308,59307
3677,13770
5028,37708
73318,3957
46310,12336
6641,15458
8670,53346
7020,52996
2667,19899
14028,14027
4675,4674
68393,74537
52071,52070
41708,41707
42726,9020
9877,43476
27271,27270
22208,22209
61055,61054
12696,12695
2313,11503
38828,39336
43201,7021
66979,62470
121,122
18357,24509
50634,50633
14322,56119
52382,19877
43250,43249
71491,71490
33167,69483
12747,54924
74802,74803
1045,12148
3677,29625
39109,39108
22095,41287
40904,14519
49260,40440
63783,17843
51315,42418
58361,74863
2962,65408
268,51614
70933,70932
20761,20760
52727,52726
4823,46011
13787,51532
68942,65969
5160,66548
47677,74921
13252,73477
35464,25043
33432,57532
21862,53074
10605,27599
52559,52558
10451,11153
74914,69192
20106,43584
4448,43134
9730,40673
538,50941
7822,44659
6420,6419
31364,31363
9446,64915
1045,28250
8244,46925
49509,19644
19441,43206
18638,18637
56290,56289
37774,30286
27230,16074
64542,33403
34233,38059
69037,4681
75073,75074
55260,29523
44055,13913
73447,73446
41109,41108
75090,75091
11299,9020
34585,46064
17878,74645
4233,70129
17720,42408
66590,66589
22793,36627
51800,51801
12337,13275
74691,74690
2962,17148
10377,46836
39244,39243
20027,40618
49795,8657
65290,39377
5287,50632
44574,19842
8033,35133
35434,6122
268,15474
29482,29481
34539,41391
20656,20655
44848,44847
2433,4963
72573,68037
14082,50492
74996,65805
14572,14571
71896,71895
55306,40636
2962,72092
9283,51342
131,73805
1045,1367
4233,29215
6966,6965
26150,26149
67743,11485
35455,75234
11034,60170
24028,53317
75255,75256
50896,48483
4233,72242
131,44087
63033,21948
9199,57412
268,269
20943,48049
72466,64738
5287,5286
39052,62399
36394,2421
25893,25892
61347,62994
29614,29613
23381,74200
28118,42059
7342,68165
42051,53686
75287,75288
1951,33596
68229,23567
9122,26578
51497,5111
74589,74588
33167,48309
2568,64139
45404,45403
15467,15466
54081,54080
2962,64995
58361,58362
11520,23831
7342,27074
12614,34142
18797,56944
73926,44920
8151,37351
21177,48175
33167,68279
28118,10483
6158,24573
268,5595
45453,47949
10808,33751
9122,21948
53705,53706
39863,34775
7950,23473
2313,20485
24886,24885
35635,35634
652,651
9280,10688
8683,21115
7369,50175
53977,42367
26198,26199
2962,2961
67809,67808
46690,46689
52201,33219
10808,23432
4370,4369
6641,42425
4233,32423
39236,39235
8033,11163
29601,57915
6641,24548
32588,32587
23707,34078
268,7509
11299,43206
59810,59809
43435,43434
58434,18569
16157,30468
13758,27620
67911,11697
73211,73210
11520,40001
2717,2716
71347,30349
75390,75234
74664,53171
54555,54554
63087,63086
14608,14607
5287,49918
32112,32111
268,34850
29682,29681
5287,67204
631,46600
64899,73736
21318,54240
28084,44506
7734,59250
75441,75440
39809,30539
30010,72806
38245,38246
21207,21206
20943,51598
268,54254
10661,35438
34613,34612
45474,33770
9296,19845
268,70795
2313,2312
64029,64028
12736,23114
15477,19767
2240,23213
38689,49222
3677,17383
21277,27306
63859,63858
44055,14695
8617,22476
33039,53346
6158,6157
10451,74286
3799,3798
8151,3405
57066,9631
75456,75455
4790,4789
63960,63959
44180,44179
70371,70370
2962,48660
7914,25753
63241,63240
1737,66172
19307,19306
53105,38997
12959,23213
41834,27696
12246,12247
5685,7210
4992,55660
14628,24513
56709,56708
49070,42985
10163,42305
7769,50396
35478,12878
6641,56658
13252,72470
61055,62474
24893,24423
51657,66445
60461,73785
13252,74315
39938,22792
25719,49783
14082,36939
6280,52603
24605,24606
