personbornincity_1,personbornincity_2
13930,133
27329,74
36721,7220
46972,74
16454,74
26499,74
13308,74
6903,5813
49013,74
43288,74
25621,74
43314,74
22932,133
2552,4310
6268,74
18979,74
56256,74
3257,74
67480,299
12826,74
29285,74
33753,74
32677,74
43525,74
45369,74
4879,74
74747,74
51436,74
34106,74
8683,4310
12137,4310
12880,74
4311,4310
33266,74
12560,74
56671,74
10102,7939
1921,4310
1625,74
13754,74
21424,74
25699,74
1442,74
65300,133
7587,74
10352,74
72426,74
55151,74
7050,74
43161,74
61836,74
55990,556
31370,74
21984,74
42232,74
12116,74
778,74
19632,74
30160,74
9747,3782
27282,74
2393,74
31367,74
65468,74
19966,74
38580,21934
29165,74
455,74
30099,74
51891,4310
7042,10644
74563,74562
19597,19596
3359,74
11471,74
9921,74
75482,133
27125,74
16005,74
69043,74
30050,74
20388,74
55773,74
75130,10890
20087,74
1076,74
