athleteplaysforteam_1,athleteplaysforteam_2
29906,2338
46489,1081
31963,3393
40066,282
9400,69
26480,2593
46776,230
26689,4602
25535,1248
34882,1914
20148,1914
46901,392
16881,501
46677,3746
27049,56
47161,195
47163,552
42991,15349
26260,3393
42251,35
10332,10331
47563,686
32548,5002
10056,1248
33618,1004
24462,256
47906,1248
29852,8148
14053,5182
20812,3900
48249,2004
10944,3393
45207,4148
48456,1493
48486,932
16721,497
48633,230
48739,4661
40850,2476
16918,4184
37273,2244
22543,282
49004,4779
49190,2209
49192,13298
706,501
4443,3746
4127,882
23266,350
11878,2694
23194,1248
4762,2004
21431,497
50041,2338
28195,3900
50128,446
35440,5182
10962,10961
17103,5352
5333,4148
31293,13029
50534,34
28160,497
1842,1248
1559,9822
43564,13029
8690,5182
50905,2286
22686,687
50972,2703
51009,4418
51011,422
39679,97
51098,7403
51129,18203
45000,421
37217,1248
2704,34
18384,4602
20054,97
51505,687
51589,10331
36204,2640
38294,3188
33916,3746
4145,486
35538,2694
22559,5340
18397,3746
17662,2338
24882,1004
5076,3393
50573,486
27395,4779
11924,5002
41894,971
42773,932
30291,1604
38138,486
37768,1248
10217,497
964,1992
51116,932
33405,98
15967,3512
53391,4779
53419,7068
39449,497
4886,34
9016,4661
53600,3360
4930,5340
18803,3293
15816,2694
35303,2694
30376,1081
28724,3900
12644,476
9475,1493
54310,686
19588,971
13138,2703
16249,1248
54578,486
54591,3393
42669,8486
870,10864
33057,1248
9303,1248
18737,98
48380,2209
54765,3900
54514,5182
15441,2973
55005,9262
55067,11716
42014,5002
55140,13298
31608,2286
17677,3900
55223,19410
55229,3360
55278,230
13317,97
8412,379
23259,7039
13088,2694
30224,21762
53491,486
24313,4662
20282,99
25860,3512
37622,932
18681,1250
55770,19054
942,2476
45909,4297
378,476
52742,2286
38456,3746
26077,3383
31703,1004
29504,1284
27673,3900
3914,1081
56130,230
21043,383
47572,2694
56142,57
3635,932
56267,4779
3901,3900
18406,2338
8958,497
41937,9262
40467,1248
43813,1250
56745,326
19585,5352
33871,3188
56792,34
50917,97
33930,62
38467,99
50347,2286
39907,3746
43927,486
8292,3746
57119,256
6901,3512
44852,16220
53314,4297
11658,3567
57311,230
21664,10922
14359,4418
57523,10922
57553,4779
34476,62
43604,932
32484,383
57823,3837
57834,11172
35864,97
5926,1250
57963,4787
20218,487
50550,486
43579,2286
18460,1248
6871,3746
33675,3314
8559,10775
52451,256
8611,281
10436,4123
38203,2338
58595,932
2051,882
6007,4662
21371,1992
38536,62
58889,10331
58910,1914
22082,3360
59041,4779
26728,2338
30540,18203
5573,932
12872,1439
29336,56
5518,3746
15159,497
59271,2341
58298,1248
59342,10864
5024,4662
11071,4602
9331,35
59437,1248
1509,1248
59608,3393
18214,8814
39503,2338
55633,69
41657,62
27161,486
58811,13298
16274,9262
38744,3900
28771,1004
28004,3900
57535,552
21447,3900
17229,2694
3116,2247
41769,501
60451,5181
58821,1992
12266,1604
13329,1248
33284,806
54843,1248
37930,4418
27962,562
6557,1004
21641,552
44545,3746
52153,2286
46918,2973
20907,5352
35883,113
13335,7403
61509,3567
28275,100
88,87
25111,1248
7533,3893
61747,1102
2869,392
61822,5002
61944,2338
49905,3900
13480,1011
13759,113
11672,3512
62156,230
54361,2476
11126,562
62293,7068
32328,16614
62305,3393
6876,57
8233,687
59110,2338
19135,3746
53997,18652
41889,2702
42811,3512
11826,2007
16706,932
62599,2338
62600,446
34232,4418
46976,4662
62666,7068
6482,350
40661,19410
5600,932
29379,486
47790,5767
23943,6827
22164,10961
14955,3893
62846,2286
1872,421
24191,4418
31275,31274
35596,486
8315,4148
55244,5352
10836,281
32611,3854
57218,932
53780,8814
4630,3746
33651,57
63581,486
40167,497
4778,5352
63649,2007
33425,97
31629,1493
15971,2702
63908,686
45027,10864
60832,11172
61709,10864
40551,2694
22239,497
62103,14294
22593,62
56450,7039
14188,2007
15567,686
64328,2694
44868,1248
64379,34665
42316,97
64498,446
2135,5182
6599,8814
18119,383
43721,13956
46534,126
39136,2694
7351,1248
30207,421
16681,57
64879,2286
6068,1192
64990,34
44579,4148
8991,392
43181,7068
22641,421
8696,5361
37484,1992
65337,476
18903,10331
3020,1011
24243,1116
9491,326
65594,3900
27531,447
13171,1011
37938,383
46854,2973
35795,10331
36059,113
49897,2476
65775,1248
1000,497
27085,2694
47629,113
20217,447
40193,2286
41235,932
35364,2338
15708,8814
3578,4602
46035,1604
18615,34
7310,1248
65938,59226
33911,1493
60848,97
59699,932
14267,2593
26192,4659
11294,326
10380,4787
18761,3746
34965,2694
49659,9262
22866,4418
16464,421
55426,3393
4069,68
6875,1004
2887,1081
39591,476
66931,3314
55478,9262
18281,2593
58958,10864
53682,1192
22506,1004
25294,690
17338,1913
24776,7039
26711,2694
67499,2703
30830,4662
58197,3360
67593,3293
41162,4787
23195,3746
52255,1913
21651,6816
16131,1250
7069,1248
12306,87
22922,7958
32256,113
68019,9262
15868,3893
44265,2703
26053,1604
34501,383
27562,10331
17769,97
51560,4297
60433,686
45687,2702
25855,5182
12125,3746
8929,5182
35049,932
24731,8366
13615,501
14446,35
7827,99
55205,281
44062,2338
46096,1081
46827,971
49931,1992
1766,22573
57484,230
17195,7068
28745,3900
38731,1914
68965,5182
2196,486
66483,230
54171,2694
3203,1248
60970,5002
64783,2209
38787,932
60358,4867
55527,4148
17424,326
27666,1248
21279,5560
22336,302
8832,10922
13605,1284
69566,4297
58346,486
15184,422
69582,4779
60643,56
32108,34
29438,4926
69739,195
22772,57
69792,2338
63347,13298
25945,1248
24469,4662
47553,552
69894,10864
10617,476
27233,3745
24122,383
7648,1284
22907,3567
10825,113
14722,1248
61815,2338
30200,1284
60583,2209
66201,4779
70149,2247
70176,16167
47144,9262
28248,126
49911,486
53596,662
55872,57
29073,447
23981,476
33505,35
23263,1248
14846,3900
29873,687
70581,3360
50052,3772
70621,13298
2208,4853
60428,3900
58501,2247
2371,882
15320,4779
35591,1248
43907,882
37749,69
39605,8366
32028,3665
20433,932
18235,501
12198,3900
12570,1248
5347,497
43840,1992
56759,34
41790,1248
18409,326
54671,662
18209,3512
31725,2004
48422,10864
55108,14294
71389,3900
38712,497
10489,1248
61725,552
1126,2694
71438,2476
4419,4418
36116,68
3687,501
49146,33003
15830,2338
24147,882
22154,2973
8092,486
56126,383
44622,4854
32973,1250
8432,687
17210,552
20115,421
35026,56
14437,57
45324,2244
12080,10331
12519,932
25558,2694
52479,4147
10706,421
26649,2247
29220,10331
33870,687
7876,17579
52980,3900
53583,5002
19762,2476
32503,2694
3963,10922
7186,8366
33943,882
66596,6816
57386,2338
37152,7116
42932,446
27984,4418
43945,932
4200,113
40614,2286
21763,4659
62668,34
28785,383
10369,882
63595,14294
22319,687
72759,7403
23119,8366
53360,486
11343,5182
54060,3393
71500,486
22496,1004
43828,64760
51369,497
48843,497
40120,2703
24778,4662
4226,2338
34023,562
8198,4148
45051,4853
16419,552
13051,98
43204,34
24236,282
68117,4631
29298,5002
20284,1081
10214,57
37837,5002
28147,8366
37263,383
5793,3383
71089,1192
11432,2476
14609,486
10594,57
53095,1081
19980,562
9440,98
70477,8814
73399,932
29174,4602
62582,28153
28845,4662
16696,6816
26695,3821
51899,4779
20783,687
11986,4602
14700,113
58038,12248
68470,5352
24838,1992
43565,497
42940,3393
3747,3746
14377,5340
22679,3293
18426,421
26145,1248
15824,1248
52800,2973
26821,56
64405,2640
31010,4853
69222,4297
16658,5352
19170,421
11882,2007
13377,113
12047,421
21411,56
10486,34
22500,1004
1028,882
20229,2209
30060,1116
7721,4602
27642,3314
38355,1248
44182,281
59813,3665
5579,3393
9099,3188
24905,1248
5657,3746
17875,1004
16627,1248
64083,2007
40282,2694
5036,2007
33673,2004
4999,4165
17236,2593
72197,9262
2229,687
23490,5920
71597,13956
66295,2209
11106,497
6275,5002
33660,57
74234,2476
35580,4631
64098,2476
31166,4853
5092,4165
36414,2338
60826,2338
16233,1914
14334,3746
20708,350
51276,2004
23553,1004
51974,3512
48838,4661
51222,2338
74376,2755
14432,4662
7168,2173
17977,8814
52750,10331
41499,486
22293,806
27944,256
10874,3746
11827,1116
22078,1248
59574,690
9562,1116
9527,2694
3596,4662
54616,5002
50215,3746
60528,68
31298,10922
18983,8286
72274,113
74547,422
25163,1004
11436,28153
22814,1250
26206,9262
16241,882
13961,1493
27647,3745
68302,2703
55526,230
74605,3360
31373,383
62615,99
13242,1248
49023,10864
28188,1004
3694,9822
13240,3293
73495,9262
68515,2247
29755,113
38237,10331
20925,687
56103,35
18850,2338
46074,1004
17971,2338
65912,2338
22143,1116
39783,446
29190,501
71669,11172
32598,1011
65026,19410
45147,1248
9603,3567
31395,392
16989,8286
23157,4662
4622,3383
50106,552
74838,4779
55044,2247
22828,4854
74846,3746
29436,2007
18279,486
2966,486
20464,62
44271,5002
12438,1248
37760,2004
23789,4602
27754,4048
40442,9262
7023,486
11944,1081
24468,3745
13059,447
49107,1011
27931,1250
75013,11172
74316,5636
9929,2593
66692,2338
11288,882
54470,1102
37991,3188
41618,3558
22432,2338
75041,13298
26914,4853
22263,282
45614,3360
6397,501
10498,7039
58605,10864
21769,5180
23023,2247
41062,1493
75103,1284
20021,1493
32551,562
36370,2338
48080,497
6062,1004
17155,476
66807,1192
53104,1604
15465,4148
66419,4926
23864,2694
55217,350
52413,2172
46804,326
32477,2694
33059,4297
22868,4659
70003,422
75173,422
8878,421
22393,3383
65242,1248
59908,11172
39406,4662
11395,4148
59002,56
47818,9769
16244,2694
6866,3188
9933,7498
55918,2338
23326,3383
23791,57
34979,486
72737,2247
7529,497
30607,1633
36100,932
15661,34
74467,6563
20834,1248
25499,16220
3667,3393
49300,3900
52165,2209
23898,1604
33031,1250
71615,3314
7531,4148
53542,3393
6926,10922
56285,1992
43433,497
11459,34
29841,3746
35508,69
4567,3393
24761,99
6303,3746
61608,97
45432,7039
684,932
26747,687
8530,3567
71435,4779
61283,9262
43653,13029
38587,2694
60712,56
34186,1604
12703,690
25694,3893
17627,1116
1946,476
53532,4662
29145,2209
74379,2247
30693,4418
24057,3393
26712,1248
4750,8366
28944,2007
52817,113
36227,4848
3637,1248
48055,2694
37458,486
38853,3746
21821,3772
2856,57
25997,486
10212,501
70750,16220
16234,4926
9845,3746
15920,2694
53465,2338
21994,3567
30927,62
58080,4779
32524,2703
40220,2694
33542,10864
4351,2694
21415,6744
49000,1992
1531,5560
25433,3746
9197,497
44798,1081
4309,99
51257,99
58216,3360
71889,9262
46198,97
68191,3393
6675,3665
59410,3360
36640,2338
12206,2694
37787,1604
24552,4297
35457,2338
32203,3383
53614,690
