latitudelongitude_1,latitudelongitude_2
18408,18407
4678,4677
28042,28043
28056,28057
28066,19977
17490,17489
28080,28081
28089,16488
28104,28105
28115,28116
28131,28132
1862,1861
28154,28155
28255,28256
28270,28271
28330,23787
28334,28335
28445,28446
28452,28453
28459,28460
28496,28497
28604,28605
24118,24117
28632,28633
28642,28643
28654,28655
28667,28668
28687,28688
28689,28690
28722,28723
28810,28811
28828,28829
1529,1528
28999,29000
29019,29020
29067,29068
29102,29103
29114,29115
29130,29131
29143,29144
29217,29218
29286,29287
29304,29305
29321,29322
29324,29325
29356,29357
29431,29432
26220,26219
29463,29464
29475,29476
29486,29487
29496,29497
20590,20589
29568,29569
29576,29577
29587,24215
29608,29609
29615,29616
29652,29653
29664,29665
29726,29727
29744,29745
29766,29767
29784,29785
29792,29793
29798,29799
29824,29825
29835,29836
29844,29845
29888,29889
29928,29929
29947,29948
29952,29953
29963,13460
29964,29965
30021,30022
30036,30037
30052,30053
30086,30087
30103,30104
30105,30106
30163,30164
24517,24516
30178,30179
30230,30231
30245,30246
30261,30262
10851,10850
30330,30331
30332,30333
30406,30407
30478,17647
30556,30557
30590,30591
30599,30600
30633,30634
12150,12149
30691,30692
30697,30698
30700,30701
30718,30719
30728,30729
30786,30787
30811,30812
3994,3524
30847,30848
30856,30857
30932,30933
30937,30938
30947,30948
30962,30963
30997,30998
31008,31009
31017,31018
31034,31035
31078,31079
31179,31180
31188,31189
31197,31198
31242,31243
31244,31245
12124,12123
31308,31309
21348,21347
31333,31334
31355,31356
31397,31398
31480,31481
31485,761
31502,31503
31534,31535
31555,31556
31575,31576
31601,24845
31619,31620
31625,30857
31632,8451
31643,31644
31658,6677
31659,31660
31679,31680
31683,31684
31719,31720
31735,31736
31742,10850
31756,31757
31770,31771
31782,31783
31793,31794
31808,31809
31830,31831
31857,31858
25720,31859
31862,31863
31867,31868
31876,31877
31914,31915
31919,31920
10966,26349
31949,31950
31953,31954
30394,30393
31991,31992
32099,32100
32101,32102
32138,32139
32166,16970
32170,32171
32184,15848
29051,29050
32219,32220
29977,29976
32291,32292
6944,6943
32329,32330
2892,32340
32368,32369
32419,32420
32426,32427
3507,3506
32487,32488
32230,32229
32544,32545
32546,32547
32561,32562
32591,32592
32665,32666
32695,32696
32704,32705
32727,32728
32738,32739
32743,32744
32771,32772
32806,32807
24368,24367
32826,32827
32829,32830
32833,32834
25334,25333
32888,32889
29035,9901
32893,32894
32895,32896
32897,32898
32909,32910
32928,32929
32965,32966
32971,32972
33004,33005
33062,24864
33114,33115
33134,33135
33168,761
33173,33174
33195,33196
33197,33198
33200,33201
33237,33238
33252,33253
33273,33274
33285,22422
33319,33320
33333,33334
33352,33353
33368,13336
33383,33384
33446,33447
33460,33461
33463,33464
33482,33483
33485,33486
33495,33496
33520,33521
25640,25639
33606,33607
33654,33655
33667,33668
33721,33722
9132,9131
33767,25278
18802,18801
22857,22856
33788,33789
33798,33799
32142,32141
33863,33864
33879,33880
25398,25397
33903,33904
19663,3672
33927,33928
33947,30821
33973,33974
27960,27959
20853,20852
34032,34033
34040,34041
34056,34057
34067,34068
34086,34087
34116,34117
34124,11782
19610,19609
34126,34127
34130,24925
34137,34138
34190,34191
34215,34216
34222,34223
34244,34245
34252,34253
34280,34281
34307,34308
34369,34370
34432,6880
34439,34440
34449,34450
34493,34494
34526,34527
34537,34538
34574,34575
34597,34598
23297,23296
34699,34700
19034,19033
34715,34716
34767,22396
34772,34773
34795,34796
19489,19488
34835,13336
34890,34891
34894,34895
34917,34918
34922,24224
34930,10704
34937,34938
34950,34951
34976,15123
34983,18407
34989,34990
35000,35001
35046,35047
35064,35065
19968,19967
35205,35206
35244,35245
35263,35264
35291,35292
35300,35301
35350,35351
5512,5511
35375,35376
21967,21966
35443,35444
35448,35449
35469,35470
35493,35494
35522,35523
35524,35525
35536,35537
21565,21564
35574,35575
35585,13487
35658,27559
35677,35678
35683,35684
35697,35698
35699,35700
35702,35703
35707,1186
35714,9901
5957,5956
27326,27325
35784,35785
35805,35806
35848,35849
35889,35890
31922,31921
35893,22770
35923,35924
35925,35926
35943,35944
36010,36011
36028,36029
36070,36071
36102,36103
36117,36118
36144,36145
22046,3672
36180,36181
36215,36216
36225,36226
36249,36250
36281,17725
36283,36284
36292,36293
36304,36305
36307,36308
36333,36334
22760,22759
36428,36429
34957,34956
36449,36450
36478,36479
36494,36495
36521,36522
36558,13454
36587,36588
36604,36605
36619,36620
16597,16596
16113,16112
36769,36770
36777,31035
17137,17136
30271,30270
36860,36861
19780,19779
36865,36866
36893,36894
15694,15693
27477,27476
25784,25783
26795,26794
36969,36970
37007,37008
37013,37014
37125,37126
37149,37150
37210,37211
37213,37214
37277,37278
37317,37318
37337,37338
37345,37346
15507,15506
26117,26116
37400,37401
17801,17800
37438,37439
37516,37517
37558,37559
37560,16587
37568,37569
37590,37591
14483,14482
37667,37668
37687,37688
37729,3829
37736,37320
37747,37748
37798,37799
37807,26411
37810,37811
37813,37814
37821,37822
37833,37834
37840,37841
37844,37845
37883,37875
37894,37895
37900,37901
37904,37905
16812,16811
37996,37997
21507,21506
38046,38047
38108,38109
38111,38112
38114,38115
38147,38148
38151,38152
38179,38180
38208,38209
38210,38211
38218,38219
38238,38239
38250,38251
38255,38256
38260,38261
38267,38268
27456,27455
38274,38275
38288,38289
38320,38321
38352,38353
38395,38396
38436,38437
38442,38443
38469,38470
7907,38473
38500,38501
38510,38511
38516,38517
38530,2193
38565,38566
38596,38597
38598,38599
38638,38639
38674,38675
38677,6677
38695,38696
38749,38750
38763,38764
38770,38771
38822,38823
38835,38836
34787,34786
38879,38880
38895,38896
38903,38904
38913,38914
33131,33130
16836,16835
38976,38977
13431,13430
39014,39015
39017,39018
19802,19801
39025,1186
39031,9901
39038,10850
37329,37328
39078,39079
39086,39087
39147,39148
30782,15912
15353,39184
39189,39190
881,880
14916,14915
39313,39314
35641,35640
24523,24522
18097,18096
39373,39374
39424,39425
29713,29712
39496,39497
39544,39545
39568,39569
21127,21126
39578,39579
39600,39601
39632,39633
39635,39636
35404,27774
34447,34446
39750,39751
20557,20556
34482,34481
31907,31906
39881,39882
39883,30807
39897,39898
39920,39921
39923,3524
39931,10850
39991,39992
40005,40006
40062,40063
40072,40073
32494,32493
40163,40164
40195,40196
34496,34495
9974,9973
40280,40281
7068,14120
40409,40410
40435,40436
40446,761
40493,40494
40514,40515
40535,40536
40576,40577
40579,5617
40600,40601
40640,40641
40722,40723
40727,40728
40765,40766
40775,40776
40791,40792
40808,40809
40848,40849
38168,38167
40966,40967
40991,40992
41005,41006
41045,41046
41049,41050
33332,33331
41102,41103
41160,41161
41163,41164
13032,13031
41189,41190
41199,41200
40287,32292
40556,5721
41303,41304
41319,41320
41339,41340
41349,41350
21170,41362
41409,41410
41413,41414
19764,19763
13405,13404
41512,18469
41517,41518
41556,41557
41573,30897
41576,41577
41596,41597
41600,41601
41654,41655
30007,30006
41675,4634
41685,41686
41693,41694
41700,41701
41717,41718
41737,41738
41757,41758
41765,41766
41787,40125
41813,41814
41815,41816
41825,41826
34928,34927
41887,41888
41906,28874
41911,41912
41917,41918
41951,41952
41953,41954
41965,41966
41969,41970
42005,42006
32290,32289
42070,42071
42079,6677
42133,42134
42165,42166
42182,37517
42184,42185
42186,42187
42189,42190
42209,42210
42212,42213
42235,42236
42261,28688
37404,37403
42323,42324
23431,23430
23124,23123
42382,42383
42419,42420
42479,42480
42481,42482
42499,42500
42516,42517
42536,42537
42543,42544
42560,42561
42570,42571
37059,37058
42584,42585
42605,42606
25447,25446
15913,15912
42643,42644
42659,42660
42665,42666
42677,42678
42686,42687
42700,42701
42714,42715
42720,42721
34859,34858
42751,42752
42121,42120
42770,42771
42784,42785
42792,42793
42802,42803
42813,42814
42838,42839
42847,42848
40750,40749
31610,31609
27470,27469
42866,42867
42868,42869
21005,21004
40563,40562
43002,43003
43008,43009
43046,43047
10255,10254
43143,43144
11405,11404
43177,43178
43179,43180
43196,43197
12153,12152
43224,22881
43233,43234
43239,40006
29855,29854
41367,41366
43281,30037
43315,43316
6230,6229
43337,43338
43350,43351
43355,8502
43369,43370
43380,43381
43385,43386
43403,43404
43450,43451
43456,43457
43489,43490
14923,14922
43516,43517
43532,43533
43545,43546
43553,43554
43559,43560
43586,43587
31284,31283
4986,4985
43634,6880
43642,43533
16533,16532
43666,43667
12401,12400
43691,43692
35614,35613
43777,43778
4746,4745
43807,43808
43818,43819
43821,43822
18771,18770
14600,14599
43835,43836
43868,43869
26980,26979
43913,43914
22349,22348
43949,43950
28738,28737
43993,43994
44025,20371
44060,44061
44079,44080
44081,44082
4560,4559
44120,44121
44124,44125
44134,44135
44208,44209
44259,44260
44263,44264
35719,35718
44286,11364
44315,44316
44339,44340
44386,44387
44412,44413
44415,44416
44444,44445
44447,44448
23535,23534
44470,44471
43074,43073
44503,44504
34208,34207
44538,23771
44549,44550
44556,44557
44564,44565
44572,12242
44588,44589
44590,39927
44601,44602
44607,18692
26703,26702
44661,44662
44701,44702
44755,44756
44780,44781
44783,44784
44805,44806
20847,20846
40893,40892
9185,9184
44859,44860
44877,44878
15122,15121
43804,43803
29630,29629
44929,44930
44931,44932
22036,22035
30227,18770
44974,44975
44976,44977
44981,44982
44983,15848
44991,44992
3892,3891
45006,45007
43293,43292
15085,15084
45099,45100
45123,45124
3300,3299
45128,45129
45151,45152
45186,45187
45246,3524
45258,45259
20181,20180
42796,42795
45331,4905
22397,22396
45340,45341
39722,39721
45380,45381
45408,45409
45412,22396
45425,45426
45429,45430
45458,45459
45467,45468
45479,45480
45526,45527
45547,45548
45555,11048
45561,22770
45566,45567
45579,23366
45584,45585
42563,42562
9613,9612
45602,45603
29378,29377
45622,580
45639,9901
15338,15337
16696,45659
34727,34726
45691,45692
42963,42962
37143,37142
27186,27185
45714,45715
45718,45719
40537,17725
45728,45729
45736,29984
45816,45817
45825,24284
38629,38628
29460,29459
45854,45855
45240,45239
45879,45880
45888,45889
32026,32025
30134,30133
45989,45990
33150,33149
46013,45446
46036,46037
46054,46055
44270,44269
46070,46071
46085,46086
46101,46102
46112,46113
46114,46115
22006,31324
37831,37830
34634,34633
46160,46161
46187,46188
34838,34837
46194,46195
46203,46204
46238,46239
46252,46253
46268,46269
46285,46286
46294,46295
46318,46319
46331,46332
46357,46358
30828,10766
46408,46409
46425,46426
46438,46439
38620,38619
46455,46456
46515,46516
46520,46521
46529,46530
37871,46535
32226,32225
46552,46553
46554,46555
46557,46558
46588,46589
46602,46603
46607,6823
46428,46427
46673,46674
46684,46685
46687,46688
35419,35418
46701,8903
46724,46725
46738,46739
44689,44688
46768,46769
46807,46808
46820,46821
46823,46824
46830,46831
46842,46843
46850,46851
46879,46880
46886,46887
46919,46920
25751,18801
41080,41079
46983,46984
34003,34002
46990,46991
17181,17180
47024,47025
47060,47061
47077,47078
47106,47107
47112,35423
39129,39128
47145,47146
47150,47151
26864,26863
47173,47174
7977,7976
37653,37652
47255,47256
33158,33157
18329,18328
43044,43043
47327,47328
47332,47333
47341,47342
47381,47382
46257,46256
47428,47429
47444,21530
42309,42308
47497,47498
47524,47525
47602,47603
47092,47091
47660,20687
47694,47695
47741,47742
39020,39019
5978,5977
16958,16957
47757,47758
36599,36598
6668,4677
47792,47793
47827,47828
47829,47830
47848,47849
47877,47878
47880,47881
47895,22422
47897,47898
47908,47909
47913,47914
39254,39253
47940,47941
47946,3217
47993,47994
29146,48003
48023,48024
48073,48074
20289,20288
48107,48108
48120,48121
10033,48130
48145,48146
48167,48168
48178,48179
3853,3852
48214,48215
48230,24215
48234,48235
48243,48244
48303,48304
24135,24134
44227,44226
48329,27922
48330,48331
48351,48352
31926,31925
48421,40436
48468,48469
48472,48473
48496,48497
48513,17537
48522,48523
48540,48541
48546,48547
48556,46102
30808,30807
48573,48574
48584,34786
48587,48588
48590,41027
37470,37469
48611,48612
48641,48642
48645,48646
48647,48648
48663,48664
48685,48686
40316,40315
48700,16957
28748,28747
48722,1186
48726,48727
48732,48733
48743,43098
48767,48768
22355,48787
12796,12795
15264,15263
48798,48799
48817,8502
48841,48842
31653,31652
48910,48911
48912,48913
48914,48915
48977,48978
48995,43144
49031,49032
49059,49060
31385,31384
49097,49098
33090,33089
49106,3829
49112,49113
49114,49115
49151,49152
49154,49155
36183,36182
49193,49194
49277,49278
49280,42870
49306,49307
49309,49310
49337,49338
49339,49340
43283,43282
49354,49355
49362,49363
49377,49378
49383,49384
49392,17123
49393,49394
49408,49409
49419,49420
32000,31999
49435,49436
20905,8347
49457,49458
41093,41092
9109,9108
3469,3468
49568,49569
49570,49571
49600,49601
42879,46488
49604,49605
49622,49623
49624,13843
49630,49631
37162,37161
49644,13679
49660,47078
49672,10401
49684,49685
29264,29263
49713,49714
31980,31979
49724,49725
49750,49751
32199,27123
41606,41605
49775,49776
49777,49778
49787,49788
46190,46189
18292,18291
40327,2994
49831,49832
49838,49839
43099,43098
49878,49879
14562,14561
46541,46540
49924,49925
49934,29742
49935,49936
49966,49967
49974,49975
49983,49984
50022,50023
50024,50025
30430,30429
50049,50050
32975,32974
50065,50066
50069,50070
50084,50085
50097,50098
50099,50100
50104,50105
50118,50119
50123,50124
50145,50146
37565,37564
25268,25267
16841,16840
50209,50210
50213,50214
50251,22806
49160,49159
32919,16587
50344,35258
47825,47824
50354,50355
47485,47484
50359,1186
50445,50446
50455,50456
21427,21426
14060,14059
50477,50478
50479,50480
50484,12713
50532,50533
50535,50536
50538,50539
50542,50543
50557,50558
50570,50571
50597,50598
15989,15988
50610,50611
26577,18316
11391,11390
50630,18914
50639,50640
50648,50649
41134,41133
50725,50726
44294,44293
50763,50764
27847,27846
50778,50779
50780,23455
49552,49551
43310,43309
50805,50806
22955,22954
34317,44784
50910,50911
50960,23861
50965,50966
50974,50975
45158,45157
51002,51003
51012,51013
39138,39137
51031,51032
51035,51036
46281,46280
51048,51049
51081,51082
8638,8637
51104,51105
51114,51115
51127,51128
51141,51142
51147,51148
46510,46509
51169,13679
51175,51176
51182,49662
51185,51186
51237,51238
51255,48506
51283,51284
51291,41457
51295,25033
45434,45433
50486,50485
51328,51329
27612,27611
30822,30821
51347,51348
51393,51394
30079,30078
51424,51425
17952,29115
51434,51435
51443,51444
51449,51450
51456,51457
51471,4677
20669,20668
51491,38256
51502,15501
29164,29163
51520,51521
51540,51541
51542,51543
51581,51582
30516,18430
51592,51593
47821,47820
51630,51631
31531,32041
51642,51643
29289,15389
149,148
51665,37834
13488,13487
51712,51713
30953,30952
36196,25194
51744,51745
51748,51749
51752,51753
51769,51770
51775,51776
51780,51781
51798,51799
29100,29099
51826,761
51830,51831
51845,51846
51847,51848
51884,51885
51896,51897
2798,2797
51907,51908
51909,13336
43798,27123
51918,51919
25686,25685
51947,51948
51949,51950
44104,44103
51952,51953
51966,51967
51969,51970
51988,51989
52036,52037
52040,52041
41458,41457
52059,52060
52061,52062
5469,5468
52086,52087
44357,44356
40687,40686
13201,13200
52123,52124
52142,52143
34782,34781
52199,52200
52204,52205
49956,49955
52214,52215
52248,52249
52253,52254
52257,52258
52280,52281
24222,24221
52289,52290
6819,6818
52317,6714
52325,52326
52341,22770
52354,52355
52381,880
45701,45700
10722,52401
52403,52404
22341,22340
52452,52453
52500,52501
17712,17711
52514,52515
28442,28441
49430,49429
52547,11782
52568,52569
52576,52577
52578,52579
52580,52581
52591,52592
52601,32025
35055,35054
38625,38624
52684,52685
52688,52689
52699,52700
52711,6150
51039,38874
52743,52744
24382,24381
52775,52776
38857,38856
52786,52787
52802,34495
52825,52826
52839,52840
52847,19951
52851,52852
52862,52863
45191,1186
52879,9131
47703,47702
52892,52893
46978,46977
26633,26632
52927,52928
52932,52933
52941,52942
6085,6084
52949,52950
52956,16021
52960,9901
52965,52966
8629,8628
44819,27123
52478,52477
53070,53071
53116,53117
53129,53130
47434,47433
53199,53200
53206,53207
30958,30957
53235,53236
26987,26986
53241,53242
53247,53248
53300,53301
53323,6916
53351,53352
53411,53412
12350,12349
40782,40781
240,239
48002,48001
53476,53477
53480,53481
40206,40205
53498,53499
53503,53504
53508,53509
11783,11782
53533,53534
53543,53544
46485,46484
53619,14059
46647,46646
53669,22422
53687,33974
53693,53694
27451,27450
53718,47498
53720,53721
9802,9801
53742,43186
53748,53749
52937,52936
27033,27032
53795,53796
48482,48481
53833,53834
53836,53837
53840,53841
40597,40596
53855,53856
49123,49122
53890,53891
53894,53895
49929,49928
16886,16885
47871,47870
53919,53920
53924,53925
53929,53930
53948,53949
53950,53951
53958,53959
32642,32641
33749,33748
53985,53986
6551,6550
54007,22422
54027,54028
54033,54034
54035,54036
54048,15693
54053,54054
48211,48210
54074,54075
46335,46334
54083,15848
54091,54092
54103,54104
50681,50680
54111,54112
54117,13679
43332,43331
54125,54126
54138,54139
54157,54158
54163,54164
54174,54175
54179,54180
54234,54235
32458,32457
15502,15501
54252,54253
18270,18269
54261,54262
54276,54277
54285,54286
33512,33511
54346,54347
25056,25055
17538,17537
54363,54364
6603,54366
54383,54384
54390,54391
54400,29074
54415,54416
54429,54430
54436,54437
54439,54440
54459,54460
54464,54465
20805,20804
54472,54473
54474,54475
54488,54489
54511,54512
36716,36715
47227,47226
54532,54533
46891,46890
54539,54540
54564,54565
54576,54577
50638,50637
54594,54595
17040,17039
54651,3524
54654,54655
5053,5052
54683,54684
54686,54687
35315,35314
24228,24227
52682,52681
23254,23253
54741,46530
54751,54752
54755,54756
50402,50401
20239,20238
54774,54775
37483,37482
54794,54795
54797,54798
54799,54800
54837,54838
54841,41133
54844,54845
41986,41985
54848,54849
41167,51519
54872,34127
54874,54875
28682,28681
54877,54878
37524,31831
54886,54887
54894,54895
54897,54898
54928,54929
24336,24335
20926,6677
54999,3829
55015,55016
9004,9003
28401,28400
55074,55075
55091,55092
55099,55100
55101,48339
55119,55120
55133,55134
55181,55182
55210,37569
10735,10734
55230,55231
20768,48018
55264,55265
30638,30637
23912,23911
55315,55316
16088,16087
55354,55355
24595,10853
23545,23544
2150,2149
18346,6677
55391,55392
16217,16216
55420,55421
43637,43636
6260,6259
55452,55453
55463,16596
44969,43788
55468,22422
55496,55497
55505,55506
55511,6150
29975,29974
8084,8083
44778,44777
48445,48444
16011,16010
52959,52958
45796,55578
53554,50456
55580,55581
24890,24889
55592,17021
17648,17647
55611,15007
48224,48223
55625,55626
31871,31870
47504,47503
55640,55641
37311,37630
55656,55657
35837,35836
26006,26005
55703,55704
55705,40288
55708,55709
7348,7347
54110,54109
55781,55782
15425,55783
55784,55785
55795,55796
31773,31772
45595,45594
36020,28497
55843,55844
50878,33379
53556,52936
13493,13492
55909,55910
55912,55913
55930,55931
32358,32357
21696,21695
55982,55983
56017,56018
51878,51877
47206,47205
56047,56048
56067,56068
43088,43087
27512,27511
56089,56090
56113,56114
51512,38624
46744,46743
35183,35182
32737,32736
50914,50913
56182,56183
56216,56217
56239,56240
56247,56248
56251,47328
56257,27152
56260,56261
56286,56287
13352,13351
53581,53580
4168,4167
56309,56310
