clothingtogowithclothing_inv_1,clothingtogowithclothing_inv_2
828,4206
2923,2652
25796,1178
25799,13853
198,14287
973,2035
25890,480
4112,480
1119,25995
198,26030
177,480
177,1178
4618,828
26332,4155
480,6306
1119,16191
26622,176
19892,13853
26674,828
828,26704
26705,828
480,4112
1119,14123
1178,18436
6076,4112
1178,26938
480,10622
1178,21459
1746,13235
4154,4424
1178,27148
1119,1178
1178,25492
4760,4140
973,6445
7449,2292
480,5061
177,7684
828,4207
5161,2878
1178,27974
828,199
4984,28106
8803,5193
177,28429
1710,8275
2388,1119
28573,2878
481,480
828,18556
199,828
6076,973
1178,2652
29027,1710
1178,24629
1710,2578
1746,6076
6076,3605
973,4112
18556,828
29656,13853
828,3605
2292,16104
2578,11811
1178,29995
1178,5927
2292,198
1746,480
3605,198
1178,19919
1746,973
30343,828
7919,1178
22732,2878
4112,17176
2652,2879
6306,1178
480,30589
1178,31154
27354,828
1178,29943
894,29027
14720,7595
31260,1119
13853,25799
1178,6076
8275,1119
1178,2299
5211,2878
1119,4425
3119,1178
1178,13695
2878,32062
828,16104
18167,1119
5194,894
828,18167
26704,973
1119,32489
11811,480
2299,828
177,4027
480,19065
1178,8793
2879,2652
19314,1981
177,4425
22615,198
13853,1119
1178,22556
4155,4027
973,7919
33362,1178
5193,828
1177,23670
2652,4112
16500,1178
828,1119
4207,828
8241,176
828,5194
2292,4155
5251,480
2300,4155
1178,33874
973,198
177,33919
5768,1178
4424,2300
5193,7919
2292,7449
23617,4154
9471,176
34090,5998
198,1119
480,34113
2263,828
828,17036
11937,480
4140,13853
34416,1178
34521,1178
24629,894
1178,9620
828,5251
4140,2263
34843,4424
14720,1119
1178,34978
1746,5193
19806,1178
8803,1119
4112,15944
7449,894
13511,1119
5193,2263
828,35486
5193,1119
198,35742
2263,3605
25539,198
6950,13853
3605,35839
1178,14516
198,2035
177,2578
1119,11811
4140,8275
11811,4112
4984,2300
2578,8241
5193,13511
480,24471
894,36240
1178,36251
2578,6076
3047,4154
4155,2879
25996,828
4027,2263
1119,36257
1710,1746
5193,3047
36794,1119
10285,480
19892,828
3198,973
14287,198
177,2879
28895,894
7449,828
4154,2578
1746,2300
1178,7684
8685,198
4112,2879
480,7595
480,3605
894,5369
7684,1178
3605,13235
19498,4206
1119,4207
1119,11422
2578,8710
1178,19267
2263,894
4112,2300
4112,199
1981,1746
25196,1178
8241,5998
25313,480
1178,827
1178,11811
1178,828
2292,2263
19919,1178
2652,4424
11936,11937
2578,5193
14151,1178
31150,16712
894,4112
13235,3605
2878,198
3047,973
3047,1746
1746,3047
7919,18239
1178,5367
4155,480
198,4112
480,2299
7595,1178
39786,973
480,2300
198,6076
1746,893
14019,894
2300,5998
894,22232
177,198
177,40217
177,24061
11811,1119
1119,198
894,2652
1178,40326
40432,1710
17967,1178
6585,973
8275,198
973,8681
4804,894
1178,26332
1746,2878
4112,177
11894,2578
1981,11089
828,34241
480,2652
5251,973
973,18679
4154,4155
1119,40854
480,31514
4112,35486
2035,973
1710,1709
1178,25796
11937,973
28429,4155
25995,1178
4112,973
41547,973
1119,5193
4424,176
893,4027
1981,480
6306,1746
7449,480
1119,18177
4112,6306
6076,4155
21459,2300
1746,23617
3047,1178
2292,7919
177,11811
37800,480
7919,1119
5194,480
198,5998
973,5211
20162,480
1178,14151
1341,480
4503,973
973,8710
480,1981
21459,828
19919,177
828,14151
2292,1178
5768,828
973,43595
828,10216
34241,480
480,1341
5193,480
2578,177
5193,43893
5193,5194
27613,177
33260,1178
177,4155
4413,1178
5193,1981
11937,828
973,44370
22088,198
4154,177
5900,1178
1178,11422
2878,10622
1119,18341
1119,22358
828,7595
1178,8935
44873,44874
1178,3848
480,25890
176,5998
8241,2878
9620,973
1119,4154
828,8241
45267,894
4155,31150
480,5251
2578,17967
23617,5193
4112,3198
45683,1119
8241,199
2878,45801
1119,1746
480,5193
2300,894
828,894
1178,18840
13235,4155
2292,4112
1178,32809
10017,5367
1178,10285
23670,828
30506,973
37481,973
6950,2878
2578,1119
198,7449
4760,1710
8241,13274
46926,1119
32062,2878
894,14019
4155,4424
17036,1178
198,27613
1709,894
1178,13235
198,47252
4424,5193
4112,31150
4424,2652
198,4155
1178,47626
7740,23669
13853,27613
1178,1757
480,5768
480,198
35839,177
36257,1178
177,4154
4140,2578
12956,828
1710,4027
2300,4027
5457,828
177,894
10622,828
28106,1178
480,18556
198,11811
4206,19498
480,25539
40362,1178
894,16712
8275,1981
8241,198
18239,480
5193,3605
177,828
48734,1178
39426,1981
23617,1119
1178,14962
894,3605
177,49087
1178,25995
3605,2263
4206,1710
10421,1119
973,5768
2652,14720
3198,1119
4154,4112
4155,2578
893,828
4425,4424
480,22232
1981,8275
828,6306
1178,46610
6306,828
176,199
1178,49804
1119,4086
828,4413
31154,1178
34416,1746
14720,1178
4112,3047
2578,1710
4155,4425
1178,13084
894,1178
1178,7449
35486,1178
176,1119
43595,1178
1178,27613
973,18556
480,4618
2578,45036
1746,894
24471,480
15407,11894
27119,973
45175,13853
22270,177
5193,176
4424,1178
4425,1119
828,31514
1178,1119
5193,25539
176,973
1710,1119
1178,198
2263,2292
15407,1178
1119,51545
51564,1178
2300,3848
828,30589
1119,39219
51625,1119
1119,29027
19267,2578
177,9119
26938,1178
2299,2292
3605,480
199,480
4027,5030
198,2263
4424,2292
51941,973
198,4760
828,4984
2322,2300
828,893
7740,828
31260,1178
5193,1746
52251,1119
973,38681
828,3047
5193,10216
894,1746
1178,45036
34241,5193
22270,1178
8793,4112
198,2879
828,16712
2878,828
19252,1746
5367,894
1178,52731
3047,3848
480,8663
1178,34548
3605,828
31514,480
13511,198
4112,13274
2878,22732
16712,894
1119,25799
8803,2578
24629,1178
1178,33362
894,4804
198,828
1119,4413
2292,7595
1119,2878
198,46782
4112,4984
8793,480
23106,1178
5193,27119
11894,15407
7919,198
2578,10216
45267,828
32809,480
973,11811
198,22414
2652,2300
5211,198
2652,6076
894,23617
480,4206
33180,894
2878,8275
15407,1981
177,54485
1426,1177
4155,5194
13274,1178
2263,480
3605,1981
1710,36794
24875,973
973,2878
52437,1178
50012,828
4112,11937
5515,1178
19065,4154
42364,1178
3198,3199
13511,828
1178,7595
25996,198
55168,2652
4318,4155
11811,1981
25539,828
1981,5193
26332,480
894,7449
1119,4206
1178,34521
1178,53185
4984,480
1178,51524
4984,973
973,11422
10421,177
2878,4112
4760,1709
48734,4112
198,55584
55586,4155
2292,2652
1710,1178
828,2300
2300,7740
7919,828
55845,828
13853,5193
480,55935
31150,177
56085,1178
1177,1426
28429,177
1709,5193
1178,16500
1119,45683
1178,19254
23617,1710
1178,26912
1178,9119
4154,973
2652,1178
8275,13853
1178,32062
18341,1119
22232,1178
4112,5193
2300,7449
2300,21459
828,54280
1178,7919
4112,11936
1119,4155
13161,5193
1119,47125
1119,522
13511,2263
1119,3119
8935,1178
1178,47362
51545,1119
22190,2652
176,4027
1119,1426
176,2246
828,45267
53185,1178
177,27613
2652,1710
1178,45473
827,1178
55935,1178
55412,1178
4155,11937
3758,828
36055,2878
4112,2652
2246,1178
36257,3047
1178,30506
1178,5251
1178,19498
57534,480
5194,973
481,1178
3047,198
2878,973
32809,973
176,7919
7595,14720
53051,1178
1119,11936
6306,1710
4027,893
16500,973
1709,47125
1178,8241
1709,1710
198,8275
58114,1119
973,828
828,11937
2578,199
25890,5193
7449,5193
28573,973
21523,828
16104,4154
36794,1710
4112,894
19065,480
2652,5193
4206,11936
1981,1119
973,894
28165,828
894,3047
13511,5193
1119,177
14151,480
4760,4206
894,2578
8685,1178
29995,198
1119,46339
973,2652
198,4086
894,973
198,5211
16104,828
2292,30069
1119,58877
16191,1746
32489,1178
4112,56532
177,5998
1178,59013
10216,2578
198,25196
1178,12297
1981,11811
828,1981
480,4140
13161,828
2578,2879
24961,1178
7919,2292
30987,973
27148,1178
4760,198
1981,1710
2578,2300
17891,2652
10285,1119
4318,177
1178,41509
27974,1178
5193,8275
4086,198
4112,4424
1178,8685
2578,1178
1119,8685
522,480
2263,1981
198,8241
4760,1178
14720,198
1178,5515
7595,480
828,8803
828,44715
3629,1178
60430,176
1746,11937
198,7919
1178,36257
1119,10421
1981,16410
4206,4760
176,18679
1746,50012
2292,25799
177,4318
18480,1178
828,14019
60038,2578
2578,480
973,2246
8275,5193
4140,23617
198,4140
39219,1119
1119,894
26704,828
23617,13853
4984,5193
5211,973
2878,7717
3119,1119
7919,7595
1178,59153
29995,1178
198,2299
2578,1746
46339,1119
16104,2878
11422,973
828,26705
1178,4318
5193,7449
582,7919
10285,1178
1119,2246
1178,18556
31514,828
53185,177
2878,23617
973,26704
3605,2292
176,4424
1178,54411
4027,198
57342,894
45731,13853
973,61994
8241,62000
54521,2878
198,4425
5515,480
2578,3079
3605,10421
198,4027
582,973
17036,480
4206,3605
973,51941
973,480
38839,828
1981,45731
1710,2263
2299,5193
13235,1119
198,894
3848,1178
41509,177
828,7717
1119,60753
2652,7919
1178,33260
480,5515
973,45334
5211,1178
2578,9569
894,4140
1426,1119
3119,2652
2652,55168
5251,1178
894,2263
2878,2652
176,894
10145,2878
3848,480
1119,14720
63059,828
893,973
1119,480
4207,4206
2652,2292
198,14720
19498,1119
63289,4027
1981,39426
22232,894
21053,1178
13771,480
4155,13235
1178,8087
1178,63497
4804,198
2652,3848
2292,1710
29027,1178
2578,13235
54627,973
2878,7595
1178,18480
16712,4112
1119,2879
37018,973
16104,2292
4027,44638
6950,198
21523,973
894,40854
13511,5998
4424,1746
828,481
894,198
18167,894
22232,480
16410,973
198,22615
2322,828
199,176
828,26674
2878,40646
2299,973
480,18239
828,2878
64037,198
60209,828
8685,1119
198,4424
2263,4027
5193,4155
7919,10817
3605,1119
37800,4154
1119,4760
5998,828
1178,13820
12371,973
16712,828
4086,1709
8275,480
18177,1119
5193,3848
2878,15231
2300,6306
11936,4206
828,23670
973,2578
480,10216
480,8803
480,26674
1178,31260
480,2263
15434,1178
3848,5193
198,29943
3079,2578
973,57310
1178,4154
828,19065
13853,1981
2578,4155
480,57534
1119,1981
198,176
13274,2578
3047,2300
2578,176
5193,2652
1710,198
8663,894
1177,65080
480,16712
2652,2923
5193,198
198,29995
41665,198
1178,65167
1119,8803
4425,4155
5927,1178
973,1119
2300,2322
198,60923
1178,49336
894,176
5030,4027
6076,1746
3848,198
4112,8793
6076,2578
1178,24836
1710,40432
45036,1178
177,2322
6076,2652
1178,65713
65726,13853
4112,11811
2578,4154
894,57342
7919,2878
8275,4760
4424,480
14019,1119
1178,3119
6160,2578
10017,1119
4112,176
1178,5998
38681,973
176,11894
2652,828
65713,1178
177,6306
480,1710
4760,828
4140,4760
2299,1178
2652,894
2292,4424
1178,1746
1119,176
894,23670
198,3047
21523,2300
177,17967
7740,2300
828,2263
25996,1178
973,5251
893,894
2578,2923
17104,2878
2292,23617
17967,176
52608,176
33759,1178
2878,2292
1119,36794
4984,2578
1710,23617
2246,828
60942,1178
480,11937
828,973
2579,198
176,27406
18679,973
66582,198
8241,4112
480,4984
2878,55325
480,54480
4155,2292
3047,4112
5998,1981
1178,199
1119,2578
199,43595
29943,198
198,16712
973,176
1177,4206
177,2292
66947,1178
5193,4760
1178,22232
1746,8803
2578,828
828,2578
1341,828
828,1746
29589,894
3626,973
2292,1119
8275,2878
1178,48718
14962,177
1178,177
828,4155
13853,1710
4206,894
1178,56532
24961,828
50350,1178
176,828
24836,1119
177,2923
2300,5193
198,18679
5193,10622
480,16104
828,21459
25995,1119
198,5193
4413,894
176,13274
13853,8275
973,1178
55268,1119
480,17036
480,8241
828,4027
16712,198
2322,177
8803,973
1119,14019
828,4503
2300,828
13511,1981
34019,2578
1178,32489
2923,177
828,1341
5193,62001
2878,2578
973,30987
21459,480
1178,24061
1746,2246
1178,29027
4424,4155
18556,1178
1178,62108
60754,198
40646,2878
4984,3047
30589,480
4425,11937
3605,6076
828,5515
1710,4760
5193,4140
1178,40362
48443,5998
1178,10017
23617,2878
4984,1178
198,2300
23617,894
61994,973
828,5367
2878,1178
1178,5900
1119,37179
2878,8241
62108,1178
177,1119
11937,894
1981,2578
1119,2388
14123,1746
2035,5193
1119,34274
198,14516
54995,973
2300,1709
17036,894
18679,2578
5998,16500
5193,2035
4984,2878
7919,5193
29800,177
25539,480
828,14292
37577,973
3198,4112
973,6585
4027,1178
1710,3605
198,11936
480,4207
4027,2578
7919,13274
18556,176
2300,4424
15407,198
3047,27613
3047,894
18341,894
828,12956
177,19919
1119,2292
828,23328
177,199
4027,176
1119,16410
1178,3199
973,8241
2578,2878
4155,4154
1119,29943
894,6075
177,5193
1119,58114
32809,1178
176,13235
1178,55935
828,2246
57310,973
4206,1177
44715,828
480,14151
198,17669
4206,480
14113,1178
31150,198
3605,5193
973,37481
1178,17176
828,177
973,15407
480,4760
5193,4112
17176,1119
2878,27686
1178,582
1119,25186
2300,6075
2300,4984
13853,19892
14962,2652
894,25539
13853,40434
8241,2300
1178,48734
5193,1709
4112,2878
4413,480
1178,29800
43893,5193
13274,8241
14019,828
30589,828
4112,7595
828,4424
7919,973
49336,1178
56150,1178
2300,21523
1178,35284
56532,1178
7595,2878
973,2299
1746,1178
198,2579
480,176
26704,198
23106,198
18239,7919
15407,973
2878,12297
894,4206
1709,2263
8241,5193
1119,6076
2878,54521
176,26622
2300,1178
27686,2878
4424,198
19267,1178
828,1178
177,22556
198,480
177,29027
1119,13235
5193,13274
2578,4027
4154,11937
199,1746
3047,10334
2292,176
828,5369
7449,29943
31150,4155
1178,55412
8803,5998
1119,13511
23617,480
5243,1178
35742,198
4112,6076
1119,55268
3047,34416
4155,9119
2879,2578
11811,198
1981,3605
2300,198
1177,1119
176,2652
21523,2578
55935,480
1119,2035
1178,68704
5194,828
5193,199
1710,5193
27354,2292
198,8685
33260,973
1178,33180
35486,828
480,3047
177,4112
4413,198
30506,1178
176,198
7449,17176
29943,1119
2878,480
582,4424
2322,1178
198,1746
828,5768
582,1119
4155,177
2578,1981
2878,8663
480,3848
1178,6950
1178,23106
480,21459
480,32809
60636,198
198,4804
894,5367
71058,1178
47707,1178
199,177
2652,198
2652,176
176,1746
480,11811
21459,1178
198,25539
3047,4984
1710,480
582,1178
2035,1119
8241,973
2879,3047
4155,22232
4112,828
2879,4112
1119,582
480,2578
1178,13137
1178,480
7595,828
1178,38839
1178,973
828,25996
1981,198
973,37577
828,60209
2878,176
3047,828
1120,1119
6075,2300
480,10285
4984,4112
2292,2578
973,54995
2878,2879
13235,828
4155,973
1178,60942
1178,35486
198,15407
4206,1119
2878,19274
2263,4206
2035,2578
23669,177
176,2322
30589,894
198,22088
13853,198
4112,2578
4113,4112
894,828
2878,36055
1119,8275
1119,13853
1119,51149
2878,28573
2578,21523
9119,1178
177,41509
4140,894
49087,177
1710,894
54485,177
18556,973
15407,894
12297,1178
3848,10622
13235,2578
3047,5193
4413,1746
198,66582
828,22232
828,10622
25799,1119
5998,198
6445,177
15407,1119
8710,973
8275,1710
4112,25539
3629,973
7449,2300
4425,177
4984,894
16500,6585
2878,3047
4155,5193
480,44638
973,54627
4207,480
11937,4425
199,8241
2300,10622
2578,973
1119,51625
5367,1178
5193,2300
3199,3198
2263,1119
50012,1746
4424,4027
1178,34416
1178,5193
894,25661
973,28573
2879,2878
13853,45175
3199,1178
4112,31514
894,1709
4155,1177
1178,2246
10216,5193
1178,56085
10285,973
1710,29027
34019,52731
2878,1119
23328,828
25539,894
1426,480
4112,21459
4984,198
198,2878
5193,973
16712,31150
4140,5193
1178,43595
1178,65886
46782,5998
1981,22088
5998,8241
4155,1178
4760,8275
198,31919
828,8663
973,5243
8710,2578
2878,16712
1178,43555
63527,1178
5251,828
2652,14962
40854,1119
72688,828
21523,177
1178,31150
1746,18556
198,4984
62199,828
27119,1178
4112,1178
2878,8087
1178,22358
34241,828
4206,1178
973,5194
8663,480
973,4154
13235,176
894,30589
582,4112
1178,28106
1709,2292
2578,10622
2292,8663
8663,2292
4618,4112
4112,7919
29027,1119
11422,1119
480,8793
828,35838
828,72688
26030,1178
5193,2299
2292,2878
17891,2292
894,15407
23669,2652
5193,2578
176,18556
73080,176
3605,894
10622,2878
2879,1119
35839,3605
894,33180
16500,5998
4027,1119
973,12371
4424,4112
2578,70468
50606,1178
34019,973
71113,1178
4112,2292
828,198
894,21459
2878,10287
16712,2878
8663,2878
8803,1710
54411,1178
7449,1178
974,973
11937,11936
4503,828
73005,480
2578,894
29943,1178
1746,23670
34274,1119
21523,1178
27613,4112
1119,18167
16712,480
20162,828
4140,1710
5193,13853
8275,1709
13511,4140
32300,480
40854,894
4207,1119
65080,1119
1119,24836
2578,18679
32062,1178
177,31150
480,522
10622,480
4618,480
8681,973
27119,5193
973,17104
6076,1178
60619,828
3605,8275
828,2652
2292,17891
2299,198
4112,4154
70994,894
11936,1178
1178,54521
198,64037
1178,2879
8241,4984
25196,198
973,3626
3047,14516
198,5369
14151,828
1709,828
480,2322
14516,198
2879,177
1119,1177
5515,828
5193,177
16712,2879
1119,18840
5369,828
13853,23617
1119,17176
4112,48734
36240,894
1178,2878
177,14962
8241,480
9119,177
1178,50606
4155,11936
480,8275
28106,177
973,10287
1178,24614
73453,176
14241,1746
10622,5193
8462,1178
828,7919
27119,8241
480,7449
1178,6306
2878,5193
26332,1178
54521,1178
4318,1119
2300,8241
3848,3047
33874,1178
18167,828
2322,1709
65512,1178
62143,198
2879,1178
2579,2578
31150,1178
198,62143
1178,2300
3605,3079
45036,2578
18436,1178
894,893
2652,2878
21741,828
973,3047
522,1119
2263,5193
1178,26030
3198,19065
4155,2300
480,1119
8663,828
35838,828
828,20162
480,4424
47626,1178
177,35839
4155,1119
45731,1981
2878,16626
1119,19892
2246,973
8811,973
8241,16500
1119,5998
894,20912
4155,4413
480,4413
480,26332
176,6306
24061,177
2263,4140
37179,1119
11937,4112
3848,2300
1710,1981
176,1178
2578,6160
33919,177
2878,2299
894,4155
5998,973
1746,19252
14516,1178
8241,1178
45473,1178
973,1746
8681,828
3605,1710
973,30506
894,45267
1178,4984
27613,198
973,893
2263,13511
17176,4112
1178,51564
3047,36257
1119,23617
30069,2292
4984,177
4425,1178
1119,52251
22358,1178
2263,198
44638,480
4155,28429
176,5193
11936,177
8803,1746
4027,4424
1710,2652
177,23106
199,1178
3198,1178
22232,1746
22232,828
1178,4206
40326,1178
6950,973
16500,71787
480,1746
1178,15434
1178,21053
480,2878
41509,1178
4112,1119
7717,828
2300,13235
55325,2878
1178,17967
43595,973
1981,5998
4424,5998
3047,480
1119,828
198,13771
176,8241
7684,177
5515,4984
9471,973
1981,13853
4424,828
1710,13853
894,2300
198,2292
1119,31260
198,31150
480,973
1709,3079
18840,1119
3605,4206
10622,3848
828,38839
198,3848
8241,828
894,28895
40217,177
7919,582
828,13235
18556,1119
1746,1981
1746,22232
4760,480
3047,2878
1178,4425
5193,4424
5061,480
11811,2578
177,13235
9119,4155
44370,973
2578,5998
17485,2300
2246,1119
198,1178
1341,1178
10287,2878
198,60754
1178,67171
4424,973
46926,4086
1178,2322
8087,2878
1119,973
4984,8241
973,4424
4027,828
5193,23617
14516,1119
480,14019
894,70994
894,8663
1178,66825
177,53185
25539,5193
23617,4140
1710,828
4140,828
4154,19065
198,8803
973,37018
177,29800
47252,198
828,2299
1746,14123
19892,1119
4984,19267
1178,4155
973,41547
5193,13161
1178,46963
177,11936
2292,3605
2578,2652
828,4618
1980,1981
480,13771
973,4155
12297,4424
24061,1178
1178,71058
7595,4112
24061,1119
1178,2292
6076,198
4424,36257
65167,1178
4155,828
176,17967
973,4984
2652,480
2263,1709
32062,973
198,41665
1119,3198
26030,198
1178,11936
2292,2299
1178,894
2300,2299
2300,1119
2292,3047
11936,4155
8275,2263
11811,1178
1178,15407
894,5194
1178,63527
1119,4140
22556,177
198,16500
29027,177
828,5193
1119,15407
1178,1177
4155,894
4086,46926
60753,1119
22232,4155
973,582
4112,27613
23617,1746
828,23617
973,6076
1178,9471
29800,1178
828,14962
47125,1119
6306,480
27613,1178
198,4503
2246,1746
177,23669
5768,480
828,19892
17104,973
4155,26332
2300,2578
4425,198
23106,177
176,480
828,1709
973,8803
177,22270
1178,42364
17967,2578
894,177
6076,1119
894,18556
6075,894
1119,4027
828,50012
828,25539
6950,1178
1746,2578
1178,4027
10216,13235
2578,14287
75282,1178
47362,1178
68950,176
198,4154
7919,2652
25186,1119
2878,6950
1119,14516
973,53782
18556,480
176,4155
19252,893
32489,1119
18556,894
4424,4154
10421,1178
177,2300
25096,480
51149,1119
2878,10145
2035,828
2292,1709
5193,25890
1178,16191
45801,2878
177,28106
198,1710
10017,1178
4154,1119
973,9620
3047,2879
13235,177
11937,1178
1178,4424
894,11937
8803,828
973,3629
5998,1178
2300,4112
480,4155
1178,33759
1178,47707
828,4112
973,3198
14962,1178
36257,1119
30987,16500
894,4413
828,5457
11937,4154
1119,46926
2299,480
53782,973
480,15407
1119,4318
33180,1178
1178,65512
2878,2300
894,1119
21647,1178
973,5193
11936,198
2300,17485
56367,828
1178,25996
1746,5998
199,2578
2035,198
1119,18556
1178,43889
1746,198
6306,4112
45334,973
38839,1178
1710,4140
8793,1178
176,2578
1178,50350
25799,2292
480,25096
1981,13511
12297,2878
828,2035
13235,10216
973,33260
973,2300
40434,13853
5998,2578
1178,30589
1119,26332
176,2878
8803,480
1178,52437
8275,4140
4155,55586
8241,2578
4140,4207
6306,1119
36257,4424
480,73005
7449,198
13235,480
3079,1119
2300,2878
4155,198
973,16437
43037,13853
1981,15407
58877,1119
4413,828
177,8803
4424,63015
198,177
34548,1178
973,10285
13235,1178
13695,1178
2878,17104
16410,5998
1178,481
17036,828
70468,2578
11936,1119
6076,4424
35284,1178
480,1178
26332,1119
894,29589
177,9042
4140,480
973,4503
1178,11937
177,30589
14123,1119
828,12297
2263,8275
47125,1709
1178,21523
23617,828
1981,828
7595,2292
3079,3605
2292,177
4413,4155
2878,4984
5193,8241
64855,1178
46963,1178
973,32062
7919,176
4207,4140
14720,2652
44638,4027
26674,480
2578,60038
54280,828
1178,27119
