journalistwritesforpublication_1,journalistwritesforpublication_2
8354,21396
12772,340
19599,9116
16845,21467
572,21538
340,19176
21613,21614
21718,340
340,22045
340,22055
22120,1424
22157,340
340,22277
4116,3089
2405,9607
4208,3089
22534,11085
12610,12609
22774,572
22837,22838
775,22903
544,22987
572,23073
572,23267
23364,3089
23460,340
23510,340
95,23661
23746,340
20467,11757
23814,340
1424,9444
3089,23887
340,23891
340,23962
23974,340
24006,340
23887,544
16845,16844
24162,24163
24379,340
24470,340
24534,340
340,24543
572,22774
340,24669
24732,1424
24742,340
24750,3089
24787,340
7666,544
1424,2717
25309,340
340,25528
25548,4224
25596,3089
340,18628
5023,13136
572,25648
25794,25795
340,26162
26180,13000
26249,26250
427,26302
26599,26600
26765,7730
24669,340
26822,21614
26856,26857
26918,26919
26971,340
26985,427
340,23974
9252,27035
26157,26156
4606,3089
95,27187
27215,340
27314,5023
27317,27318
27565,27566
340,20091
27675,13108
4030,2717
27796,27797
27818,572
27851,340
27880,27881
15631,27883
6536,27975
27976,340
28000,1424
28045,340
28063,572
28079,3089
1424,28091
9530,9529
28178,572
28229,340
28277,7730
28379,340
21010,21009
28464,13644
28469,28470
95,28555
28648,427
28837,544
29133,340
2160,1424
572,29280
29317,4030
95,29326
95,29337
340,19080
13108,29399
340,29466
29537,10839
29542,572
29610,572
14641,29689
29695,29696
29871,29872
16045,340
4105,6025
1424,30114
13268,24687
30149,3670
27883,6536
30520,340
340,30669
30766,30767
17094,3089
30916,30917
27881,27880
31184,95
15045,31224
24162,31234
545,572
31297,340
572,31326
9116,31329
31442,5023
17376,4830
15547,7159
21396,20326
340,31820
27586,340
27565,19593
340,13081
31984,340
22093,31993
2717,4030
340,30520
340,32121
1424,32124
32131,4105
4030,28045
2032,1424
32316,21010
18654,3089
32343,32344
32468,30767
572,32552
340,32575
340,32605
8354,9117
32741,1424
32767,340
32773,1424
31853,95
340,13458
572,3088
32955,572
340,23460
33086,340
340,33091
33128,340
95,23362
7522,7521
340,33305
1424,26971
340,27976
12491,2224
340,33637
29399,13108
33819,340
19525,16845
340,29317
340,24470
6414,13457
34259,1424
31441,3089
14184,19593
13000,34397
340,34398
340,34453
7730,16583
34577,340
340,34592
6978,9264
7158,26857
34765,19083
340,34831
544,32297
34861,19083
340,34904
35037,7129
572,35043
35058,340
1424,35075
4030,35217
35261,340
3089,32297
9252,35348
3403,31993
32741,340
35472,35473
20835,1424
340,35672
35762,16845
544,35813
6342,35868
4208,544
544,24750
35969,340
10147,10146
29133,1424
36031,572
544,36043
1424,24534
340,36239
4030,36298
36306,30568
1424,36328
9530,1424
36455,19720
3451,36566
30916,21751
340,36660
24968,36665
13836,36949
37034,37035
37062,340
340,37096
37123,1424
544,23364
37199,3089
21614,37227
4105,7729
1424,9465
37473,1424
30170,1424
37535,11757
28176,3089
1424,28314
25226,37733
1424,6266
37857,37858
1424,31297
37956,340
572,38068
340,32773
340,27215
572,571
340,15984
6533,38290
38345,1424
38391,427
38394,186
35473,35472
2717,9529
38502,3670
27035,9252
340,11232
340,38726
340,38863
340,38910
1424,38989
544,19705
8499,340
340,39120
19705,572
3088,544
39183,340
340,23510
340,39210
572,39216
7702,7701
10839,39353
21949,340
39376,572
26857,7158
2405,7437
39531,95
39552,340
340,39565
39595,26250
39598,340
340,9807
1424,39611
39619,340
340,39779
7730,6025
39849,340
13457,11094
39900,340
39944,6342
8967,340
13383,340
40052,4712
26156,26157
40159,19083
40190,5763
40211,6536
340,40268
340,40350
15631,40211
40512,40513
340,40525
40568,544
340,40620
16483,9116
40890,6536
40909,40910
23661,95
34398,340
41192,1424
41228,340
3089,41263
41266,11467
14933,4712
41292,340
544,25648
11757,41442
41443,27796
95,41481
340,41519
41545,12785
9116,19599
3089,25648
572,41669
24534,1424
41802,340
27796,41827
32955,41988
42026,7730
13268,42056
19083,34861
42111,340
1424,20023
4792,4791
11094,4030
544,28837
21636,340
28982,42289
1424,42335
42350,572
10422,2717
21764,544
30114,340
7730,42453
38290,6533
39565,340
5769,42490
3089,9968
4712,42627
39779,340
572,42791
27565,19441
43089,4772
19705,3089
572,35813
10519,10518
43218,544
38068,572
6536,13710
572,9650
43353,340
41263,544
43397,340
340,43421
340,43431
13136,6342
43520,15917
43540,43541
43590,43591
19202,1424
22120,340
43702,340
340,43953
340,44024
7730,19599
7730,44057
44067,427
6042,44076
30780,7730
27565,44197
1424,44215
340,44248
44285,1424
44319,7730
340,44322
24543,340
572,44367
15191,340
36043,19083
22711,13000
340,41292
340,44658
7730,44667
20467,4792
44709,572
1424,19176
9264,6978
44850,9252
495,340
25648,544
45096,340
340,45105
39611,1424
11467,41266
572,45211
3083,45273
1424,45288
45293,11757
572,45299
340,45301
340,45312
45321,45322
340,39778
45335,340
45372,340
45439,340
22987,544
45588,340
340,45591
45618,9252
572,41263
17094,572
340,14729
45312,340
45788,45789
45920,30916
45950,340
46029,340
3089,44709
36665,24968
4030,43963
24968,46416
41481,95
28314,1424
340,20833
9650,572
28950,95
35348,9252
6969,3089
3089,28079
46885,340
340,14012
31326,572
340,46948
46959,1424
46992,340
47015,47016
11428,47113
47165,340
1424,47276
30579,4030
340,10559
47462,340
340,39611
47527,340
47562,39595
47579,95
1424,44658
7437,2405
13005,9252
27796,41443
1424,21949
42056,13268
23362,95
340,25309
340,47729
10839,47756
544,7666
4105,32131
47874,12626
340,47875
47891,47892
47920,340
340,48026
13599,2717
48061,340
572,40568
48126,11757
21010,32316
1424,18628
48385,2917
19083,19082
11757,4791
43953,340
48457,1424
25794,10880
48628,340
47113,11428
37733,25226
48757,340
340,48831
16215,340
40513,40512
31031,31030
34573,1424
95,28950
2498,49012
1424,24006
4030,290
49132,340
7729,2678
49333,340
572,27818
38989,340
31993,3403
1424,48572
26971,1424
572,17412
340,13165
3089,24750
572,36031
39944,5023
572,17094
340,41192
18268,2405
9583,9582
49807,49808
29695,19083
572,39376
49968,340
50004,6342
50034,21010
340,50092
45273,3083
340,50108
340,13559
14215,50131
1424,13081
50288,50289
340,50306
427,50440
50442,340
340,50504
50522,340
340,27216
8565,25198
50608,340
572,13078
7159,7158
572,50654
40568,572
7730,39402
50881,4105
50886,340
95,50893
51072,20326
17937,17936
32605,1424
51239,340
39120,340
1424,51258
17142,4030
544,51363
51383,1424
31820,340
340,51094
51506,340
17412,572
11757,20467
340,51615
12626,47874
51684,340
51697,51698
17031,41146
24687,13268
39964,572
51917,572
51942,572
340,39598
44024,340
52038,19083
52082,3670
52129,19083
340,28045
29466,340
15631,47113
27883,15631
1424,47165
95,2031
9582,52283
572,52348
340,52356
23071,340
30568,36306
52417,572
52471,21614
571,544
52530,340
572,52563
340,42816
15984,572
9116,52584
20738,52588
340,52626
20467,29696
34861,40192
2224,12491
52703,340
427,52765
5023,31442
21614,21613
28555,95
53202,41988
9968,3089
340,53256
9582,53327
47562,26249
19083,42791
37199,544
340,53522
19083,34765
25648,3089
340,53696
21751,30916
51615,340
52626,340
40620,340
41442,11757
340,47527
1424,35672
340,8967
340,24006
2768,2767
9252,44850
340,24379
9530,10422
3089,2717
14185,10422
8355,544
41669,572
25648,572
54160,340
6536,7610
17094,544
37035,37034
32344,32343
54267,340
38989,1424
340,50522
26250,26249
5584,340
30520,27565
22055,1424
4030,30579
54561,340
7730,9607
50108,340
54693,340
54773,14641
6342,50004
340,50886
54868,41988
11094,13457
340,28000
49012,2498
4830,17376
18400,46717
55020,1424
5402,95
340,19005
340,33086
55207,340
340,31984
4772,43089
20813,3403
23891,340
544,23267
10840,10839
10519,16844
340,19441
2265,19083
55435,572
45288,1424
340,51684
2917,48385
1424,32773
27565,19080
4773,4772
51383,340
1424,49968
16605,55690
3089,17094
340,41228
55776,572
55786,340
55811,55812
55828,340
4030,11094
2265,1424
32121,340
2678,7729
340,55915
340,38999
340,18455
4467,4030
15547,26857
1424,7130
24162,56376
1424,48457
9444,1424
26857,15547
3670,52082
38394,13836
6342,56594
10422,1909
7483,18085
56727,6342
7159,15547
544,13078
11757,56886
95,31184
6342,56727
56949,340
19788,572
340,57036
48572,340
340,9444
57076,340
21672,340
8967,4030
44215,340
57161,9582
1424,22157
2717,3089
7130,340
95,57261
572,51942
572,19705
634,572
340,20835
11627,26599
6414,4030
42791,572
7894,1424
39976,1424
427,57524
22903,775
3089,7666
27318,27317
340,54834
52273,13000
11366,340
57715,572
27796,57717
21764,3089
6985,340
57832,13836
57867,340
340,57920
1424,34259
57937,340
14729,340
340,24787
340,58057
43518,58079
11627,48057
340,13236
9530,14184
25795,25794
5311,340
58275,1424
13000,58294
58299,29528
427,14811
58315,340
1424,46959
58360,340
58366,572
340,15191
13457,6414
1424,45301
3089,58405
27565,46006
4105,5496
32955,58482
20023,1424
3089,37199
41263,572
47131,47130
38304,3089
340,58710
572,58744
31297,1424
544,40568
3670,5298
10519,19525
42249,340
1424,9997
16512,6042
9117,9116
38999,1424
12626,59276
6536,40890
26302,427
49808,49807
44076,6042
59408,1424
3670,59414
59415,59416
59444,59445
59572,59573
544,15049
572,4873
27578,572
59618,340
340,59634
41988,54868
59647,340
340,59654
32773,340
27216,1424
12764,7730
59727,10839
59768,544
59792,340
1424,10559
59868,340
340,34577
30520,9116
59935,59936
7730,44319
60027,7129
41988,53202
9968,572
340,60048
46006,27565
35868,6342
16606,16605
60216,572
60286,340
340,12772
1424,32741
95,24804
544,59768
60436,3592
60458,13836
340,60469
340,43397
60480,340
38999,340
37096,340
3089,4116
60633,43591
1424,22055
60679,6042
13165,340
60728,340
9116,47927
52703,1424
572,15191
13645,13644
60962,60963
24750,544
572,60971
60986,47130
14012,340
48831,340
6342,13136
40192,34861
61128,27565
95,5402
39402,7730
34592,1424
340,61264
35217,340
14185,14184
61288,39595
11627,17094
14590,50034
55124,45789
55812,55811
1909,10422
39976,10422
36364,1424
340,48572
1424,36364
42249,1424
19083,29695
31030,31031
45211,572
4105,50881
23362,4830
25596,572
27797,27796
32605,340
61809,340
3955,3954
9997,340
39964,544
3089,38304
40192,61947
53728,41516
340,61976
572,28063
340,57867
51094,1424
45288,340
16161,544
34904,340
20326,21396
290,4030
340,62303
15917,43520
62343,11757
17807,572
4116,544
48572,1424
62386,340
3089,62398
16845,35762
9582,49807
62450,340
48628,1424
340,62502
23962,340
4791,4792
62636,340
35075,340
340,62652
16813,1424
29317,340
62714,3024
62718,340
58405,3089
62902,6536
58710,340
62935,1424
27975,6536
1424,57076
62974,340
33305,340
340,2717
27566,27565
59415,63049
3089,3088
35075,1424
13108,63131
63141,340
4523,4522
1424,39598
544,9650
46948,340
340,56949
32468,340
13136,5023
19083,36043
23073,544
340,63384
1424,38863
4030,17142
58079,43518
544,63576
1424,51383
572,62398
340,55207
19178,19177
39611,340
594,1424
1424,62935
340,62386
1424,39552
30767,32468
3089,4208
14185,340
572,63830
7730,12764
19593,14184
63906,1424
3593,3592
35672,340
544,4208
30579,340
7129,35037
64019,6758
59416,59415
18865,340
23073,572
572,545
17142,340
340,64166
37733,11079
4030,4467
34397,13000
41263,3089
340,64304
43421,340
1425,340
64331,340
15984,340
95,5288
16215,1424
64386,340
26599,11627
64417,340
52283,9582
19083,40159
64516,340
340,39183
544,8355
22157,1424
4105,8973
340,30766
1425,1424
61976,340
37227,21614
43963,4030
64714,1424
60469,340
340,64736
4712,64740
2405,64741
45322,45321
12609,15917
28837,572
5496,9264
340,64417
64811,6342
50654,572
31441,572
1424,16442
10839,64864
30905,1424
64944,544
51698,51697
57036,340
7729,4105
544,15999
65006,340
9607,7730
38863,340
65081,46717
19720,36455
16605,37803
28470,28469
2076,340
64740,4712
572,32955
8624,1424
340,26971
36364,340
340,7130
12316,7730
340,63133
340,36364
10422,14185
33091,340
340,47276
65487,29528
65520,65521
53320,340
12614,39922
340,58315
50131,14215
60971,572
4712,40052
65612,340
65614,572
3089,65627
42816,340
340,65646
31234,24162
340,59792
18628,340
16895,16894
2717,340
10889,340
340,65762
65774,340
40211,15631
17807,544
16502,572
21949,1424
340,65923
4065,427
1424,20738
427,426
32297,572
1424,16215
3089,15049
41988,32955
340,66165
340,47462
54914,4224
62303,340
1424,59647
9264,8973
66214,1424
49968,1424
44658,1424
340,16813
340,18034
5288,4830
340,66319
8565,66322
66328,572
60986,14641
23267,3089
44215,1424
6536,62902
340,38989
40268,340
66426,340
66443,340
63830,572
3089,43218
22045,340
40525,340
11977,340
30766,340
1424,51547
1424,15866
2717,13599
6758,64019
544,43218
45789,45788
21614,26822
12491,4830
340,49968
19441,27565
21321,4105
572,66328
572,25596
26249,47562
544,28176
96,95
2405,18268
340,24742
340,51506
544,4116
3089,66794
11757,48126
340,66811
16187,340
11012,19177
571,3089
31993,22093
572,66858
39922,12614
64741,2405
59408,340
66894,340
30905,340
26600,26599
9117,8354
28091,1424
545,544
53522,340
59634,340
37803,16605
67031,4105
64304,340
340,43702
9530,340
27565,6985
572,59768
24162,67122
2717,14184
340,62718
1424,67197
572,28176
47729,340
19177,27578
11757,53293
340,67359
50981,340
50981,1424
59414,3670
13457,4031
18628,1424
3089,25596
572,29542
12785,41545
49467,26919
3024,62714
23661,7730
22838,22837
544,17094
64610,67569
340,67584
572,7666
65393,14641
4224,54914
51615,1424
1424,39976
19177,28178
65762,340
572,19798
742,3089
63133,340
1424,51094
2032,340
10880,25794
340,67816
1424,67831
42335,1424
8023,2717
67863,340
3089,571
340,67891
572,6969
67926,12785
340,1909
4105,67031
64702,64703
13457,2717
742,544
22838,15631
15917,12609
7730,7729
340,55786
340,51547
340,30824
340,23746
10839,29537
15049,3089
340,47165
340,6417
6536,18776
68196,544
60482,572
67584,340
10422,39976
6969,572
7730,42026
340,16187
52765,427
572,44709
68353,3403
43218,572
32575,340
6266,340
6758,68401
7730,26765
18654,544
26162,1424
340,58360
68471,340
340,32741
4713,4712
11757,37535
62652,340
10724,340
63991,25179
43218,3089
22055,340
39216,572
1909,1424
1424,62303
68587,12610
340,54267
23364,544
47131,14641
572,60216
340,68621
25794,68632
340,51239
15631,22838
4773,68672
340,68711
36239,340
21010,50034
39778,340
68740,21010
340,8499
50092,340
340,46029
19177,52348
4224,25548
68841,4030
340,14412
427,4065
3089,45211
17274,340
572,68949
58299,20043
18654,572
21764,572
62935,340
65521,65520
69030,6536
25528,340
15999,3089
19083,69042
340,64386
53696,340
340,45588
14196,340
572,58366
59654,340
1424,14729
1424,66214
544,37199
4030,29317
45301,340
30824,340
23364,572
544,31441
340,64516
27565,20833
32552,572
69195,59444
1424,42249
59444,69195
29650,95
340,69215
340,63141
19593,27565
62502,340
340,60728
12772,1424
4030,69306
340,50608
17031,17032
48026,340
6042,60679
58057,340
13078,3089
340,15782
1424,69374
64703,64702
14641,54773
544,69419
340,18085
67816,340
340,1425
28176,544
63906,340
9582,57161
17094,11627
11079,37733
27216,340
3089,9370
1424,59408
572,32297
340,69541
340,45288
340,21718
1424,31820
1424,69649
7729,7730
44197,27565
544,545
21404,39595
1424,52703
11024,69712
69716,30916
35813,544
340,57937
69746,6536
340,17274
10518,16845
1424,18865
340,39552
62398,544
340,33128
1424,8624
1424,38999
22983,1424
340,14185
4712,69870
17412,3089
340,41802
3088,3089
340,28091
68471,1424
340,68841
544,58744
1424,14196
40192,69951
572,23887
19176,1424
572,23364
13458,340
340,70027
17376,95
6042,10373
340,62636
572,16020
340,70075
11757,62343
544,52417
1424,46948
70200,340
340,7894
340,21949
340,70245
544,16020
30916,69716
13108,27675
19177,11012
340,39976
9444,340
55828,1424
70381,13836
18400,18401
66214,340
42289,28982
57076,1424
47892,47891
1424,23814
39353,10839
59647,1424
16894,16895
11757,45293
67122,24162
62398,3089
340,70467
44667,7730
70503,24162
50289,50288
63702,5769
340,64331
340,47920
32297,544
3038,13108
70630,340
1424,36239
340,67863
7130,7129
11085,22534
7666,572
47875,340
5402,4830
55812,70725
340,60286
38863,1424
37123,340
41146,17031
50881,6977
340,70836
44322,340
44248,340
68949,572
70916,340
22277,340
1424,41192
9116,12614
572,70952
64714,340
340,55020
70997,340
1424,14185
30916,45920
7730,71009
71010,572
39976,340
71044,340
572,28178
340,4553
13108,3038
3089,28176
12610,68587
47165,1424
340,52530
340,48628
340,71223
71225,340
5023,71236
572,15049
4030,13949
39161,39162
71271,9116
8565,16692
53256,340
67359,340
572,55776
35043,572
28091,340
4467,340
20326,51072
5023,39944
340,32767
340,34573
3089,21764
33210,22711
45591,340
427,44067
10422,35672
9370,3089
70027,340
58744,544
26857,26856
9127,2405
340,23814
340,46885
340,71580
35672,10422
6978,6977
340,290
340,30579
31441,544
544,3088
58294,13000
71683,5023
6042,71684
1424,37123
70075,340
340,71225
26919,26918
59936,59935
572,29610
340,70916
4830,12491
26162,340
58744,3089
572,57715
19441,340
52563,572
1424,71806
71815,71816
19080,340
59276,12626
10133,4105
340,45439
53293,11757
21614,52471
12256,7522
71874,340
4105,21321
64736,340
6266,1424
71914,15917
66858,572
7730,28277
71684,6042
95,29650
47130,60986
30195,37468
1424,19202
572,9370
13836,38394
9253,9252
47650,26157
23887,572
340,39619
6537,6536
1424,50981
340,24732
37159,9117
340,61809
36043,572
45211,544
72313,3670
13457,13458
15866,1424
24162,70503
72357,340
23267,544
47130,47131
5023,71683
340,72417
48057,11627
572,55435
72417,340
572,18654
10324,72468
572,39964
41827,27796
14184,2717
9807,340
1424,34573
39595,72505
56376,24162
22987,572
72563,11627
26157,47650
53327,9582
544,45211
340,44215
572,21764
6414,340
340,72654
340,72664
28229,1424
32297,3089
19205,775
3089,23364
39595,61288
42791,19083
15917,71914
25179,63991
6025,7730
44367,572
2717,13457
7730,17629
20835,340
71580,340
39595,47562
37159,30520
72803,340
13078,572
340,66443
51094,340
340,64714
20831,15917
71236,5023
45789,69368
544,23887
27586,27565
2406,2405
14729,1424
9117,37159
4224,72925
340,72357
340,62450
9116,72965
340,71044
3670,30149
73014,340
13644,28464
73019,340
1424,32605
45789,55124
340,69306
4030,54805
6985,27565
340,62935
35672,1424
340,16521
28314,340
62101,5023
4116,572
3670,38502
340,22983
15358,11627
26919,49467
52348,19177
73163,11757
340,49333
11627,72563
30767,30766
340,32468
340,19620
68401,6758
7730,23661
50440,427
340,49132
9529,2717
1424,35261
340,73280
11024,11023
66811,340
57920,340
5496,4105
19080,27565
340,73322
34573,340
41192,340
1909,13599
50306,340
34592,340
70725,55812
27187,95
56594,6342
59768,572
340,37956
55690,16605
68841,340
340,59408
73422,73423
69870,4712
49807,9582
340,70630
5763,40190
73461,73462
73462,73461
28178,19177
1424,24732
29696,20467
47276,340
43541,43540
340,35058
24732,340
36328,1424
61264,340
27565,27586
1424,27216
29696,29695
13000,22711
340,61128
572,43218
24006,1424
35058,1424
52584,9116
73638,340
39595,21404
9264,5496
32159,41832
3592,60436
340,42111
9116,71271
5023,27314
47113,15631
340,52703
41832,32159
340,22157
1424,65774
340,46959
14641,60986
62398,572
340,48757
1424,51615
8355,8354
59445,59444
24804,95
1424,13165
340,43353
21538,572
340,73834
340,56312
340,39849
35261,1424
40910,40909
38910,340
51547,1424
73322,340
69306,340
17412,544
46959,340
2717,10422
340,35261
340,18865
544,571
340,50442
14184,9530
27318,2768
47756,10839
544,73941
3403,68353
50092,1424
4030,68841
36660,340
36239,1424
572,22987
46416,24968
73990,572
9116,69354
42627,4712
47276,1424
69951,40192
62303,1424
72468,10324
290,340
340,70200
16813,340
71816,71815
544,62398
544,21764
1424,58275
69374,1424
14641,65393
2768,27318
1424,22983
9116,72400
18401,18400
54805,4030
29280,572
61128,340
61421,61420
340,39900
340,71874
340,28314
1424,26162
54834,340
50034,14590
23814,1424
69419,544
10422,18628
71806,1424
33637,340
51258,1424
340,30905
24163,24162
1424,594
10839,59727
69354,9116
67197,1424
8973,9264
66319,340
340,20023
340,27851
3089,4606
4030,6414
65646,340
27565,60469
70952,572
72965,9116
69291,69292
340,15866
34453,340
22711,33210
51547,340
572,65614
340,59647
5769,63702
56886,11757
50881,9264
52356,340
3089,742
4830,5402
12785,67926
52417,544
15631,15630
9252,45618
24162,74480
1424,1909
340,65006
20738,1424
19720,8461
13078,544
340,74494
29326,95
15049,572
16845,10518
572,74521
10133,9264
74538,9116
20833,27565
340,65612
340,45096
1424,22120
65627,3089
3670,72313
73941,544
39396,7730
340,49427
8624,340
34831,340
39210,340
340,37062
427,26985
71009,7730
59573,59572
74618,340
340,63906
69042,19083
6342,64811
1424,55020
4791,11757
50893,95
13949,4030
6536,69030
32124,1424
65923,340
66794,3089
340,70997
340,74686
1424,11366
4031,13457
72505,39595
1424,34592
340,72803
340,73638
40910,3083
31853,4830
340,17142
60963,60962
44658,340
69306,4030
4830,31853
27565,30520
340,71806
340,65774
340,54561
57717,27796
29337,95
57261,95
21010,68740
340,9530
1424,55828
572,31441
340,74618
36298,4030
73834,340
69541,340
57524,427
19083,2265
340,32124
1424,48628
72925,4224
70836,340
45301,1424
19083,52038
340,13383
35813,572
74859,74860
3083,40910
19705,544
47016,47015
71223,340
74480,24162
340,33819
544,68196
572,27578
6536,69746
3089,59768
1424,63906
340,37123
544,9968
9264,21321
340,74922
63131,13108
29528,65487
340,9465
6042,16512
6977,50881
61420,61421
572,4606
1424,64714
52348,572
572,60482
56312,340
340,9608
5770,5769
340,66214
340,59868
74686,340
74922,340
72505,26249
69368,45789
572,9968
11094,340
69649,1424
16179,340
340,60480
340,35075
95,39531
1424,20835
3089,6969
63384,340
61947,40192
340,57076
340,28379
12864,340
45105,340
1424,30170
1424,29133
64166,340
340,35217
19083,52129
73423,73422
290,13457
50504,340
43591,43590
30114,1424
75111,340
340,73019
6536,40211
3952,340
572,42350
36949,13836
69712,11024
55915,340
9370,572
75138,1424
340,6414
340,11366
11757,27372
340,22120
46717,18400
572,15999
340,13949
15999,544
16845,19525
427,38391
44057,7730
572,28837
45211,3089
39552,1424
40564,427
36566,3451
572,51917
31224,15045
95,47579
4031,4030
340,46992
6978,4105
340,21672
26250,39595
40350,340
72654,340
28045,4030
13000,26180
1424,8499
1424,50092
59768,3089
1424,44285
21090,340
340,18747
6536,27883
3024,3023
32124,340
427,40564
26249,72505
28000,340
340,45335
340,31297
58482,32955
186,38394
16020,572
340,35969
43591,60633
1424,9530
16179,572
70467,340
1424,68471
72400,9116
3089,23267
7730,30780
27372,11757
13081,340
31820,1424
27565,61128
49427,340
9116,74538
67891,340
42791,544
17032,17031
19067,340
340,27586
19593,340
39598,1424
340,28229
67569,64610
60048,340
594,340
38726,340
1424,12772
37468,30195
39162,39161
5023,62101
742,572
13457,290
13836,57832
11757,73163
3089,17807
572,742
1424,28000
55020,340
17629,7730
9465,340
544,64944
70245,340
544,42791
3089,18654
2405,9127
63576,544
30917,30916
544,23073
43431,340
340,23071
23887,3089
17807,3089
6342,39944
15999,572
20990,9116
45299,572
340,21636
572,36043
65774,1424
340,2160
68711,340
21467,16845
340,75111
66165,340
11757,69368
20043,58299
544,39964
69215,340
31329,9116
340,45950
67831,1424
11758,11757
27578,19177
4105,6978
340,55828
20645,13108
340,45372
29872,29871
4830,5288
2717,1424
47927,9116
22983,340
18085,340
3089,15999
74860,74859
42490,5769
572,11012
9116,30520
51363,544
340,66894
340,68471
60469,27565
7730,39396
58744,572
13836,60458
340,54160
340,29133
68672,4773
340,73014
3089,31441
13458,13457
71806,340
340,62974
13000,52273
9264,50881
69292,69291
46717,65081
340,30114
13836,70381
46948,1424
18628,10422
1424,35058
68632,25794
52588,20738
35217,4030
340,16179
41516,53728
5288,95
20833,340
25198,8565
28176,572
63049,59415
12491,95
1424,30905
72664,340
572,71010
74494,340
572,73990
340,18031
42453,7730
340,59618
66322,8565
95,31853
340,51383
74521,572
1424,75138
340,54693
36043,544
340,53320
572,16179
3089,58744
427,28648
572,52417
1424,28229
340,66426
69368,11757
16844,10519
7129,60027
1424,37473
41519,340
1424,13273
1424,38345
37858,37857
340,42249
44709,3089
4830,23362
29689,14641
30669,340
340,24534
73280,340
340,19202
23267,572
340,48061
340,50981
340,69374
64864,10839
69374,340
21396,8354
29528,58299
544,41263
68621,340
30520,37159
14641,47131
