sportsgameteam_1,sportsgameteam_2
1908,11847
62835,1011
1266,971
1908,7486
1692,10392
1692,5002
1692,4848
1692,23882
1692,56
1908,63520
3227,2244
1908,28507
25740,932
1692,68
1692,8751
1908,4183
1266,1102
1266,1004
44015,99
3227,11172
1266,4661
1266,1250
1692,421
1908,8286
3227,1250
3227,281
3227,2593
1266,4662
10006,1192
1266,500
1908,4184
1692,1914
1908,497
3227,13298
1285,1116
1692,49843
1285,1914
3227,379
47685,113
1908,5668
1285,2694
1692,10961
1266,56
1908,1248
1692,65817
1692,7319
1266,3293
1266,7958
66027,7958
1692,1011
3227,9262
1908,47272
1908,2004
31917,4854
1266,6816
1908,3512
47685,2593
41938,2593
1908,99
1908,3854
1908,2247
34157,7403
1692,2973
1285,28507
1908,14321
22773,2694
1692,7486
1692,486
1908,43857
1908,50090
1938,3393
1908,4048
1285,2173
3227,971
1908,7039
3227,1914
1692,1988
1908,14983
25740,5182
1908,1493
1692,10434
1908,281
1908,3821
1908,13920
1908,5002
1908,13956
4611,62312
41928,3746
1908,2694
1266,99
1938,17579
3227,2286
1908,3383
1908,256
1908,4148
1692,3512
25740,230
1908,383
1285,56
1908,450
1908,562
1908,9262
1908,7499
1285,69
1908,8532
1266,1192
1285,3893
1692,8222
1692,68979
1908,476
24579,2004
1908,3314
1908,1907
42201,3745
1285,7319
1908,9118
25562,11729
44015,3893
1938,3383
1908,2341
1908,5636
5431,500
1908,916
1908,16402
1908,2427
1692,379
1266,3900
1285,500
1285,3567
10006,971
1908,19410
1266,10331
1908,690
1266,1284
1692,35
1692,3854
33499,500
3227,3945
1908,10434
1692,67090
1908,4661
1908,70647
1692,4602
1692,12248
4611,17609
1285,552
1692,10978
1692,932
1908,21288
44201,1248
24579,326
3227,916
1908,1250
1908,33672
1908,3893
1266,1914
3227,476
1692,1081
1285,113
1692,59231
1692,4418
1266,4504
231,230
1285,476
1692,10159
1692,3383
1266,3567
1908,2209
1692,14077
1285,421
1692,971
3227,22731
3227,3360
1692,2593
1908,13298
10006,4662
1266,4123
5431,4853
1266,687
1908,1604
1266,392
71765,806
1692,69
25740,1992
1908,7068
3227,2703
1266,326
1908,34420
30885,4148
1285,4147
10006,1248
1692,8366
1908,7498
1266,8814
9597,3188
1692,916
1908,2173
1692,9769
1692,1116
1908,195
1908,1086
1266,2244
1908,552
1908,20258
1908,2819
1908,5352
1908,1289
1266,28507
1285,1250
24579,562
44201,3746
1692,3314
1692,34
3227,1081
1692,113
1908,1355
1908,8160
1285,882
1266,5636
1938,35
1692,28720
1285,4148
1692,64690
1266,476
56799,60616
1938,1284
1692,10060
1692,65639
1908,6032
1908,15515
61257,3746
1908,168
1285,687
1938,1807
1908,22573
1266,421
1908,932
231,15515
33499,3393
1692,2247
1692,18519
4379,1248
44015,3393
1908,14077
1692,30961
1266,2973
1692,2819
1908,12788
44015,446
1266,383
3353,3746
1908,61687
1908,5361
1285,3745
51407,1004
24579,3383
1692,9598
1908,447
16754,486
1938,99
1908,10759
3227,19054
1692,1633
1908,16614
1266,5044
1938,500
63495,932
1285,68
1908,1265
1692,62
3227,687
36387,9769
1938,326
1908,6816
1908,4504
1908,126
1908,4602
1285,932
1908,4854
3227,4926
1908,4631
1692,69914
1266,3393
1285,1004
3227,16220
1692,2007
3227,3314
21138,5044
1938,1248
25740,3383
25740,28608
47570,500
1285,3746
1692,72038
1285,1493
1908,10961
3227,2341
1692,256
231,10392
6410,230
1692,1913
1692,2244
1938,5340
1266,497
3227,5340
3227,34665
1692,3821
1692,3746
1266,4602
1285,8286
1908,446
10006,113
1908,21762
1692,4926
1285,8366
1908,35
1285,20983
1908,3393
1908,14503
47400,1248
1908,282
44042,392
1938,552
1285,6816
1908,350
1908,4867
5431,57
1938,2341
1266,552
1692,2286
1266,882
1266,486
1908,10060
1908,44065
31235,500
1266,447
1692,9915
16754,476
34157,1192
1908,25088
1908,3179
24579,2476
1908,2702
1908,22731
1908,3360
1692,3900
1938,3746
1908,16167
1908,1004
1285,4662
3227,10922
1285,10961
1692,126
3227,552
25740,18446
1908,10159
44015,392
1266,16250
1908,20581
33499,3893
1692,57
1908,687
33144,882
1908,449
1908,2703
1938,3893
1908,23541
1908,3188
1908,230
1938,1913
1692,1222
1908,16220
33499,497
1692,10864
66027,1192
3227,662
1908,20983
1908,686
1908,62
3227,10864
1938,8814
47400,3746
14112,4148
1908,113
1908,3745
47685,2209
1285,350
1908,16742
35386,1248
3227,2338
1908,3772
1938,21762
1266,662
1266,4853
1266,113
1266,62
1266,1081
25740,1081
1908,57
1266,2209
1692,6563
1266,3188
1908,69
