agentbelongstoorganization_inv_1,agentbelongstoorganization_inv_2
179,35272
95,60805
791,31908
179,12335
342,67725
9045,1149
1790,2205
17899,12866
2222,45525
14268,14584
179,32209
179,46805
2396,25848
342,28857
179,27858
179,11051
8748,68414
741,31071
2396,1025
2396,6945
1782,245
1323,13160
179,29047
179,10636
179,17956
257,69006
2396,1211
179,32762
179,30410
179,2648
257,69307
12,7617
179,36023
2620,60714
342,69460
5172,69466
47656,205
179,35177
2396,18874
1782,29310
633,26359
2396,3775
1782,69552
2396,10294
791,1183
1782,27720
179,4582
12,20443
26600,4869
95,51723
8830,8829
791,14275
2222,69822
604,44266
1038,52196
1782,61193
179,1258
1782,12518
179,26397
791,32694
14187,13160
4394,9391
17221,9391
2396,33266
2169,205
179,32816
1001,34219
30,57808
95,39518
342,70507
1932,1931
11236,41284
604,52780
2396,6695
7730,18784
12,62838
10249,3162
1782,67964
604,5205
3589,205
2396,10857
179,7952
2222,33393
179,10206
2692,71054
5172,60830
24011,24010
179,45747
2396,4011
2222,8409
1001,5141
1782,38440
179,9072
4105,21957
791,61974
342,46852
2222,14621
257,14515
5172,35864
179,9167
179,20713
61416,61415
17481,50981
179,46935
179,19847
17266,22099
791,2763
179,37455
5172,5171
1001,40797
179,13845
179,7955
1001,49565
1873,51019
9045,9934
741,5119
12,22097
179,46057
179,22003
741,13160
19530,3344
179,23305
179,12569
95,36208
614,32076
179,37886
9045,11360
791,45114
9045,5733
10474,56486
30,205
2396,27427
5172,46198
2396,62288
179,28612
179,14789
257,65454
179,6009
179,13120
604,29515
179,17700
342,73397
179,17767
11477,205
2396,8974
257,16048
179,1955
179,10790
1782,24092
342,64779
342,44100
10777,13160
95,17359
179,16119
2222,9777
2396,21235
1782,16675
9045,3212
2396,12911
791,13580
1873,51337
179,26230
179,42125
1782,3660
10474,46210
3381,3380
786,46459
1782,3348
1873,57984
257,19325
2396,12453
456,1789
9045,42106
2692,72547
2620,56320
30,6294
604,58375
179,12286
1001,62639
604,51867
179,19069
20502,22974
1782,703
2694,72300
179,23312
179,7638
1001,13027
342,64526
27640,21367
179,45570
17948,3995
179,26279
741,3550
179,3717
10234,10233
2222,18378
2222,23543
791,73858
1782,43232
2396,8434
257,31923
179,50141
2692,65467
2620,70722
179,4054
1001,48840
604,10490
5356,205
179,44116
10249,19047
791,12624
342,8415
179,35249
2396,477
2222,7396
604,66741
40444,40445
786,64294
179,11656
2396,4810
179,9325
179,31354
9245,5589
179,14017
257,9159
1001,25431
882,16863
1016,18768
2396,5648
179,629
8830,44712
179,19472
179,36987
179,1537
41501,22513
791,2990
791,1470
179,62927
6660,3550
179,14919
604,50250
1038,74472
50408,9391
257,57819
741,28679
179,25089
179,22367
1038,27800
24199,3121
4105,26367
41501,11953
257,22750
179,33873
2396,437
604,67465
26254,46215
179,23492
179,42913
179,8915
1782,319
179,18032
26876,8267
9245,17824
791,52811
179,15709
179,45846
179,52741
1782,8459
1782,3034
2692,34346
179,13469
1001,48780
179,9824
27751,1046
179,38286
179,18543
342,5177
179,47388
1873,9391
250,205
1782,13037
179,38144
2222,935
18169,9391
342,67819
179,27472
342,4220
791,32391
2760,25883
179,14088
179,5105
95,60960
2222,3627
1001,59549
604,63548
2396,15214
2772,34748
179,7754
179,8893
74597,9575
9045,10352
