atlocation_1,atlocation_2
435,20079
17518,4299
11463,6
20276,6
10127,1844
20302,588
20385,114
156,20415
12499,5997
435,20592
435,14047
20727,3870
860,8354
163,20862
20863,192
20927,4767
156,2544
21026,978
12105,4196
156,21112
4708,1016
21204,3870
21236,1050
21259,192
13490,192
156,2903
717,1868
21596,866
435,9813
21659,819
1674,13627
156,8745
21802,351
435,21838
20070,3370
19725,321
21867,192
1110,8601
21899,270
21947,192
22083,3726
435,22109
21510,321
22158,351
7270,565
22370,192
435,14497
163,2810
22601,615
22653,3870
435,22280
11403,6441
13578,14319
22764,351
156,22926
5357,192
23058,7905
23061,192
156,23075
23160,2158
156,16414
23249,321
23261,859
21802,6
163,23354
353,1016
6154,14319
1954,1953
163,53
156,10802
23513,270
435,23519
23605,36
23657,2158
599,23726
9570,1627
23750,133
23792,3370
23845,2205
23875,36
156,10805
5454,8601
435,9811
156,20585
24166,2366
156,4038
24204,484
435,1613
163,2145
156,11781
24352,819
9024,2839
156,24357
3489,859
11792,116
135,8297
24434,3370
24576,3518
9497,1627
24632,270
24666,2625
435,1107
435,24672
10457,844
4045,4047
163,621
1674,3005
609,2706
435,24850
11463,8614
24901,3370
435,11104
25036,17
25060,1724
25126,36
156,14242
25140,250
435,25200
599,20169
163,6788
25320,859
14475,3726
25338,1944
13562,321
25662,978
10270,192
25691,3870
3195,331
25807,21756
19030,5802
25887,1966
25896,5802
163,25909
25916,36
3865,321
25980,844
25987,1868
2796,26051
16193,844
609,26175
26184,3870
12016,1868
156,16794
26286,1844
435,26373
156,26396
3233,819
6176,192
26612,192
19832,1016
26650,1050
1674,565
435,8756
26706,2796
6782,2145
26952,8162
4593,14319
15100,8647
135,26991
135,6375
19360,8910
599,26370
27092,819
435,27098
435,8119
560,4196
435,27310
435,27324
18829,192
599,14517
435,17839
2796,27436
435,27437
435,26347
435,15026
435,16598
135,6302
163,741
156,1516
13478,192
12006,3034
435,8397
2707,4767
27780,866
8746,2366
435,27904
435,9339
163,7445
28078,6
12952,904
12411,243
163,28139
3421,250
16705,3870
435,21476
609,28226
163,3510
156,192
435,1227
28376,26907
17834,1568
156,8397
163,21276
28522,1953
28527,8952
435,14195
156,14011
609,790
156,21271
156,25957
13486,36
1674,3782
20619,1953
156,20836
156,3455
163,5310
28765,866
18162,2205
3868,36
163,28871
7985,243
13110,2349
28928,9900
28959,25747
28965,250
26282,351
29049,2662
2285,243
156,29231
6782,192
29291,2079
156,42
435,29359
17939,6
28660,1016
609,29467
4593,29501
156,28094
28843,1627
1674,13818
29636,1627
28283,36
26043,8672
29676,4099
156,3711
156,22651
13971,6375
1516,3105
29850,6
435,13535
435,24405
29927,977
732,731
28039,1627
7690,819
135,25846
435,4094
435,30205
3421,751
1674,843
156,2078
4242,659
30505,819
30514,5790
163,30529
163,14669
135,637
156,11768
19606,192
17162,4767
30792,36
1674,751
30901,36
27544,3538
156,712
135,4202
435,9084
31005,351
31132,10971
135,4223
31145,2079
14261,351
163,8835
11792,843
31342,11955
31362,1953
435,20585
1887,717
31407,1868
156,18929
156,13091
31468,866
31474,904
17766,4299
31548,3870
17970,466
31559,3370
435,2599
31571,6
163,31618
156,28272
13168,6
31787,6
20929,2366
9699,1016
435,7776
31819,36
163,31821
30764,904
609,8193
9809,321
11059,659
19172,321
156,32207
32208,859
2269,3034
6154,2416
3869,2158
156,13889
16169,3870
163,32308
32334,250
32352,321
435,32415
32471,250
163,4532
135,32532
26282,6
15526,2079
21937,321
2159,2158
22353,1016
32788,4089
32813,36
435,237
163,30928
20108,866
10045,192
435,11556
4365,18447
163,33489
33574,13294
13272,7057
33626,3005
163,1873
8745,321
8687,3005
17790,1050
33737,9365
33744,8272
33846,8495
14288,819
156,5747
163,33936
156,33983
163,34070
34132,3370
156,22791
34285,8162
34299,859
435,34345
14171,659
156,34438
34441,5997
34466,1944
435,27413
156,11805
599,4767
163,34638
22141,3870
16461,1868
34734,717
156,34766
34778,4089
16461,819
163,8354
10418,250
9008,321
135,15342
34619,1568
17289,3370
34924,978
163,861
156,34971
156,20192
35080,351
35085,250
609,8748
35142,588
435,35165
35173,1944
156,35199
163,22324
609,2724
163,35296
28819,21756
599,35310
35357,192
156,3090
8258,250
35488,819
6782,28186
156,800
156,5675
435,8745
156,26043
3767,4047
19417,6
35753,905
435,32110
435,22622
35855,8601
35885,1247
156,35888
35913,8910
435,30528
9704,250
36027,321
36076,844
27026,243
10361,1966
14956,17
13384,36
11463,22206
36243,844
36248,114
163,36252
2949,3005
36322,36323
36329,192
135,2111
19360,8601
25417,3055
156,36438
163,36544
6186,5997
611,1627
435,12280
1674,18033
36669,978
156,8495
2792,2079
36746,484
435,27537
156,20079
435,11768
156,10882
435,5640
16411,6
435,10496
13578,1247
163,4952
587,10188
26043,4047
135,74
156,25868
609,37256
21438,2706
599,37280
37306,4708
37247,8910
37324,3813
37375,21293
163,37379
37380,321
32110,321
25477,321
37448,4089
14289,2079
156,6698
37532,321
37533,1016
156,26641
163,24857
8843,588
163,33172
37632,1374
609,18169
163,3087
25936,3579
32788,17
435,25063
9417,4047
435,9790
14728,1016
37951,3538
163,37958
860,615
156,30528
25385,4047
14133,10043
6103,1944
38117,36
135,377
38196,7905
31952,321
135,38270
38364,36
435,19439
24277,588
163,8206
38435,250
38503,321
32117,243
3563,250
23295,1953
7690,321
38699,36
4593,38702
37790,1868
20134,1868
1674,7057
163,1323
39034,819
39036,1374
22291,321
163,7043
39106,36
4593,615
39250,250
39251,4729
156,39301
39309,1724
135,39326
156,74
35103,1944
135,4767
435,14242
156,4775
435,9487
1674,2626
135,11373
35296,39504
12192,36
1901,1953
20247,192
39652,3538
599,24437
163,39689
4593,39708
163,4569
8335,3538
7339,700
4593,39828
39862,321
156,5966
39913,133
39932,8272
10466,2303
163,16520
1674,2953
6442,6441
40119,2625
1674,5474
7150,866
435,40262
163,10729
435,10903
192,1516
49,26370
163,2982
163,3417
40642,5802
4593,10442
435,10529
435,40702
163,40710
435,40719
435,22926
4593,40733
40755,3005
435,2810
435,40813
156,8260
599,29443
435,22368
40925,1627
156,33794
22622,1568
4593,40931
435,40390
40985,2158
41055,3005
41059,2079
41118,36
23960,250
156,41169
435,41256
332,8297
17730,1627
163,8166
135,331
11954,250
163,2096
10152,1844
41385,36
41429,6379
11722,1953
11608,133
435,7142
6525,1944
435,25591
435,6405
7096,588
9306,5997
435,15676
41677,905
6748,1374
599,41764
163,17990
780,779
660,4047
41838,4047
163,24535
435,28721
135,8812
435,2425
860,17970
4593,4592
31504,18283
156,42144
42220,5802
163,2796
30162,36
435,42262
1399,904
42266,2662
10181,4053
156,42314
7219,844
135,42341
318,243
31422,866
435,7832
29474,819
609,15933
31637,494
156,9790
3372,819
42748,8495
1855,1966
28039,1868
352,114
163,28122
42810,3262
435,12478
860,22921
9462,1953
435,2117
435,42965
860,34374
42974,1092
1674,5995
435,36009
156,1877
156,29037
4298,4299
288,1868
7690,8672
9741,3726
20116,321
163,43326
43328,3689
156,11420
19212,1627
35115,1627
16508,321
163,43514
163,502
163,13926
163,11710
2403,21521
35062,4196
250,1016
24757,866
156,37353
8993,26370
156,23206
43732,36
11781,866
12545,1868
3488,3870
3869,819
43844,3689
435,43943
156,42834
3869,1868
163,44038
74,15962
156,26773
435,25957
860,44092
21268,859
8091,243
41310,321
587,44158
44161,3370
44166,3005
156,0
44253,270
135,3475
23168,3370
156,5017
156,8207
44369,4047
163,20414
44456,114
163,17914
609,44477
35824,36
11105,819
435,27412
156,299
15067,1724
609,44594
7123,8910
2164,2163
20616,6
156,44670
435,15718
163,27990
22482,15962
43593,2625
435,15342
9755,717
156,19553
192,4575
44995,1844
38033,38032
3930,2079
617,1857
30409,4089
441,8297
1674,7220
135,3959
45200,3538
435,42254
435,2492
22474,1724
22189,321
45310,36323
8993,48
435,4440
6315,859
192,299
8882,700
45396,243
163,22201
1674,10805
36188,250
435,20292
19110,859
163,8957
4209,20706
39240,114
32088,859
36916,1966
435,12704
27869,3726
21572,17
156,7142
23845,21052
31132,2145
45752,36
435,8743
135,45800
135,45853
8529,36
163,14008
2063,321
135,33617
156,28968
163,37817
23085,6
45101,6
27309,8910
46141,819
1674,4775
435,4305
17419,484
156,38881
435,2592
43690,10367
34705,1953
156,19309
46387,36
34012,34011
163,12228
4593,30853
135,21648
156,27413
46505,2424
156,2113
1876,321
46627,459
11380,6
609,41630
609,39866
1372,659
23723,3813
163,46721
23952,4047
135,9038
41225,2307
156,10335
156,29518
599,46932
21066,4299
19613,659
156,979
13490,7178
599,15568
4768,4767
156,30273
9383,192
163,25062
47142,114
47204,36
35167,270
35028,351
435,8459
47299,351
19035,15519
163,17001
163,47358
31132,779
47409,270
44464,4089
47430,192
435,6456
156,7141
435,31106
135,37534
435,2489
7292,2205
435,4202
135,47657
7426,866
163,17994
34038,114
4593,779
156,28347
435,9704
42093,192
435,46452
36087,36
163,42534
23058,819
48034,74
46974,192
163,12835
163,29307
163,48081
48119,1627
435,6596
32156,978
48136,36
435,28990
156,38062
21054,978
156,3782
11241,2063
48205,321
3534,321
435,1722
135,20498
163,351
48283,2079
28480,1868
1901,192
435,21937
48404,321
1674,8647
3355,321
1674,29231
38354,1966
48594,2349
31551,8310
48630,1627
7690,1953
6017,844
48670,5802
48681,36
163,43928
1329,904
156,34010
48810,3870
2261,1627
435,20169
31634,7557
48878,250
163,19372
21572,1953
156,1302
47530,7557
48991,4196
3709,1016
156,19317
156,11345
47271,1131
435,15736
599,49078
7220,1627
602,1016
435,16570
1735,1247
609,588
435,38760
5954,10971
30008,321
163,49251
435,8760
18782,10367
49292,36
135,49293
19775,6
29670,17051
6456,321
49411,484
6496,17
19417,1627
36698,321
24729,859
250,46783
156,4729
135,6493
20268,192
49574,3870
156,28247
17191,17
4593,49647
163,24294
10016,3034
15929,1724
6325,3370
46874,270
156,10219
435,49841
49844,866
49852,2424
135,16890
135,1857
49885,2424
435,34813
17706,13310
156,1922
435,6254
660,243
1783,3805
435,49979
34162,1454
41283,2366
1674,898
44832,6
11463,914
163,7993
44937,1050
40071,114
50086,270
37247,484
7249,7001
156,4388
435,23488
163,25663
3675,1844
435,33893
8756,1050
156,2063
44045,36
163,21748
43943,321
156,31998
435,25083
17304,3726
50502,3115
599,24850
50582,36
50604,717
42959,321
435,23726
156,4305
156,12228
49574,1944
156,47372
50748,36
2262,192
135,27402
156,46860
50801,36
135,50836
1674,7452
20585,6441
21867,779
156,47806
10503,6
7249,14289
18851,2424
25957,321
163,2351
156,11769
12085,5802
22351,1016
2611,2145
51194,844
51198,3370
27204,2625
16373,1868
23845,466
7123,8601
609,51419
12258,8910
29938,7557
435,8687
860,45198
51486,1882
7860,1016
163,51559
7664,192
6325,3870
2736,2223
156,40978
163,51621
435,353
135,29447
24056,10367
44924,1454
35080,5997
51662,4047
21392,1844
163,12390
435,31515
17481,6
1894,3538
6562,321
1674,18087
2078,321
599,15050
9084,1966
13718,844
35103,859
27008,3370
36032,1724
435,40763
19539,351
135,2205
27987,2796
48180,1627
52001,3813
156,17834
1674,18820
435,52035
609,52067
52081,1016
163,52116
25998,5802
435,33279
52138,484
156,35929
435,10998
435,20859
694,2079
52223,114
11654,192
52272,1868
52276,6
435,27735
156,45373
31145,17
2611,779
50319,4767
599,1438
41345,1868
163,40561
52252,321
1674,52523
609,25791
52564,40978
609,8093
35080,250
435,2780
30463,819
12495,10367
163,13338
435,2544
11537,17
45188,36
52761,321
7495,243
587,10963
2262,74
435,24723
11777,866
11677,1868
52845,74
156,649
46889,819
19510,844
40932,8162
13076,8310
52954,4089
52995,321
163,6258
156,37108
40154,321
53054,36
156,18704
2839,717
46034,36
12340,819
25515,6
156,26961
13443,6441
135,37253
135,16945
53252,978
156,38760
163,6539
53276,819
156,19284
860,4592
163,15453
860,18014
21386,36
34815,3538
22084,321
29474,3538
435,2494
435,40198
163,1245
4593,1454
163,49382
435,53423
435,26845
44164,321
53430,36
3195,3124
156,1070
13650,250
53582,36
250,905
7249,34298
135,14324
53275,3538
163,5397
8258,321
135,39627
14839,866
6186,11955
15002,3870
12912,250
435,8910
20898,1627
12587,3005
602,2158
156,49979
163,18589
13295,13294
4593,321
163,46507
33777,321
30458,250
163,484
156,22056
9084,4047
10154,1627
54122,3
45431,243
27576,36
11792,299
135,22184
435,17577
54170,819
156,28966
435,3689
163,19897
163,54269
12573,459
1259,1079
435,12223
12139,321
156,36009
12517,484
23845,22080
332,11955
9417,1966
156,31753
599,54478
11956,5997
1253,6
54524,36
19960,192
25650,321
27824,36
435,10882
15246,8272
156,40198
20619,4047
54664,36
54681,866
1674,410
435,38301
34095,904
156,15545
156,48692
18184,5802
54809,2424
599,36786
410,321
435,8495
435,10892
156,8154
599,5983
49168,866
11792,13230
599,2079
1516,6
435,41305
3372,1966
4593,10971
135,5637
156,34345
609,23590
33949,819
435,14542
163,15570
2067,1724
6954,978
3782,2079
5675,904
1894,5802
43328,6
8276,904
135,36843
1674,5756
55356,2063
1674,48261
103,192
599,11110
55401,6
435,10976
435,51704
55432,1627
6386,6
20075,1092
3690,3689
435,33448
435,17914
163,10182
55513,114
163,24501
135,11709
156,36892
156,3210
849,3538
156,2592
22546,2424
26007,8495
55608,904
820,819
163,53041
55642,6
163,11779
55677,36
163,7525
55678,3538
55692,17
435,24076
435,18447
163,1216
163,55732
192,42093
156,55778
30273,2079
11792,3222
435,6872
156,55380
163,8085
55859,3005
441,11955
163,10016
435,250
163,3938
156,14843
55995,243
56027,8601
163,56037
56039,8949
56053,36
25765,4767
56059,3805
156,4491
135,40777
54002,1868
29207,1050
435,8804
163,30408
435,8983
21236,904
163,13281
56223,9422
56246,36
435,25304
4729,321
135,26344
50372,6375
156,2643
56340,3813
435,3233
435,25298
599,56423
156,20898
7114,36
435,36786
56449,2424
163,56460
599,56497
352,15686
17295,2494
192,270
156,8309
156,11225
56572,3813
529,36
168,602
135,17803
14340,3538
14564,192
17991,192
3981,1627
156,18820
1674,2100
609,17692
51763,321
5454,731
13578,2145
7860,844
31342,5997
163,56835
435,38571
435,7330
156,51704
21236,4299
163,34465
156,5830
156,4819
1674,19920
163,4846
1674,1894
156,4094
56928,1944
156,19250
156,23184
435,6546
32154,17
156,1673
135,10507
435,12719
435,35310
51428,56277
44832,4836
48419,2303
44280,321
163,9816
14020,484
1674,24282
40262,3870
9417,866
6595,1568
435,7312
53339,243
7249,914
599,45675
609,22505
156,9755
40346,859
52194,6
435,26563
156,28657
49861,6441
163,57397
14935,243
435,43129
54482,36
57410,6375
57420,1944
435,17901
135,37410
57462,270
156,21215
24485,36
435,41090
135,57504
11463,21422
163,55733
35003,859
609,1351
14442,6
21341,1050
35296,8910
435,36224
17750,866
163,3034
435,9758
930,1868
10872,321
12103,3813
156,16136
31633,321
57756,904
57760,1953
57769,1844
19360,889
20554,36
2416,2796
8045,4299
57866,321
57878,1627
36032,3005
353,1627
13284,8601
49721,8647
2965,6
163,41138
42375,321
58046,866
58048,14195
4593,16724
435,9104
599,24942
14106,192
31132,22921
435,37108
163,25329
435,26773
435,52203
1674,5228
21627,1844
20619,588
156,46283
163,22492
2802,6
135,29831
2796,4094
3950,1724
29783,1868
50169,243
435,20652
135,20643
135,58255
28794,904
4273,58266
58289,819
163,23042
13041,3068
435,37193
156,27058
13148,7905
1674,901
23275,1627
36965,1627
58448,321
27969,192
58532,6
156,19172
156,25591
7367,779
435,8888
58640,4089
26874,1568
30273,1016
135,3515
28349,819
58788,1247
156,6596
135,58832
39032,904
58855,250
163,58872
58874,36
7650,819
435,58909
156,10529
435,26961
58949,1868
1674,1877
27738,3897
156,42262
156,5200
435,47542
435,7141
3195,700
59118,1247
156,24672
10637,1953
163,59152
26710,2063
33601,6
23069,192
3669,25425
48233,6
435,19587
135,2269
609,22921
59280,26750
435,8895
609,3813
8639,243
20192,36
59382,36
28306,270
435,59395
55475,3370
27347,2079
5623,36
35080,494
14020,8601
21655,819
135,30018
163,35079
435,3004
20453,3870
18261,36
42509,588
59538,250
31565,844
3669,6
35855,8910
28857,2307
17484,859
6883,819
156,20859
4365,4364
435,30519
435,23184
59663,2079
59703,6375
435,45831
7455,2504
156,7761
156,25262
57373,321
24714,250
435,15492
59763,1966
435,38370
1964,6375
1674,19203
163,46492
435,5264
435,32510
6782,779
156,12566
435,16689
156,16337
30371,7905
59028,844
163,51245
25301,2625
60057,36
14661,3813
1674,914
50045,192
135,17806
135,1107
435,23595
163,47399
4764,1868
24693,1627
23074,2424
435,2903
16508,3870
435,37694
135,12611
156,16421
60247,36
8937,588
23845,901
15072,6
33178,859
19606,3195
435,40902
35630,4767
27969,14319
163,55183
135,47885
135,7143
37533,3370
22764,133
29411,978
12587,17
35151,2063
41845,1966
4593,22921
19510,321
156,35629
7936,192
17038,904
25026,866
1674,3579
58936,321
30240,5802
135,41032
599,17632
135,5356
163,40951
332,5997
60721,36
60727,1966
4593,17970
60747,905
435,34455
35777,1016
609,6118
5040,1627
1674,1673
435,6333
1674,9549
24054,1953
39708,2796
802,36
156,24282
33831,321
61018,1966
156,7690
14319,466
42819,1724
22499,4196
16154,8952
37080,321
435,34010
11236,2723
61167,978
60934,36
250,1944
135,42505
27082,4196
19445,5802
60599,5802
61216,3870
435,9674
61226,36
46799,1966
61252,321
135,49643
24181,321
49782,1016
156,34654
21050,24200
163,18108
2205,270
12611,192
61408,3870
56033,904
435,58308
435,3455
435,18381
61478,1092
53790,1627
2110,859
20706,859
435,7690
61532,351
61533,1882
435,15050
8276,1016
435,2303
12765,351
435,50414
58152,3538
55346,321
135,17007
156,6181
49794,299
21508,6288
36746,8910
192,116
163,61757
54508,3370
11061,588
156,22633
54725,250
435,40345
163,39438
609,14211
37148,192
11463,2494
135,3529
163,1794
3195,5997
38760,3870
156,48
1674,4047
23723,2504
156,43632
435,34654
609,15064
435,37982
435,14788
1387,2158
156,36259
135,44106
38949,3370
435,9738
609,4324
156,43943
435,62012
10081,321
47069,588
62052,1627
435,25764
599,21756
62086,484
163,26013
62130,2494
156,28990
62136,36
156,40244
62169,18698
8258,819
51428,7872
22926,17
3489,588
4847,321
156,41579
20836,321
435,26043
435,31631
435,35199
435,20588
6103,588
27427,250
49319,3726
21932,321
156,15676
135,5672
163,62381
163,26488
21909,321
48298,1966
435,62437
435,23428
156,10946
156,48204
40085,8495
435,27825
192,866
156,26379
435,6375
135,15639
163,3061
62516,36
16724,466
435,3675
135,17214
20619,819
62580,2424
26375,859
62633,243
62662,299
156,16246
599,62707
156,2223
62744,36
610,192
17496,2706
18087,270
135,990
6186,2796
435,46932
712,1016
27370,4047
19352,1050
435,19918
156,2425
62908,588
1772,1627
435,49537
163,12042
23991,8297
860,779
47542,978
27535,1016
36698,2079
43931,3870
163,39182
51915,243
860,12606
163,21437
435,8154
28693,3538
163,58285
5158,36
63080,36
156,9084
156,10773
45076,6
63134,6
31267,1966
25477,243
860,3034
7249,3579
435,17751
63197,479
435,494
14764,321
25850,2662
7532,351
57995,7905
435,28559
27978,1627
163,8172
30862,321
17834,844
36986,36
63371,1868
63391,859
46473,819
163,54653
23845,49827
63465,36
8589,3870
10372,1627
435,42856
156,16490
1674,16414
599,30546
2338,6375
63547,8272
2349,819
156,21838
435,10974
435,3279
435,38503
23991,11955
163,103
25352,3870
435,3334
156,18910
52871,36
63693,7957
1674,42
163,4203
27603,36
39027,11475
435,14107
163,7420
63762,2706
435,11769
435,44402
156,37313
3195,3194
2188,321
30525,36
1375,1374
1674,2760
47092,36
12411,1868
14388,3870
156,2195
63934,36
21867,2145
19153,36
1674,24916
45704,904
61491,2063
2592,1868
64010,321
4388,3870
60910,36
24279,3726
37418,243
135,3655
37906,6
156,24396
29421,904
135,1224
2302,1098
435,10669
15545,3370
163,63115
44974,36
435,11579
43823,8672
53765,588
56910,7905
64268,36
42183,3005
156,52523
64291,3262
3421,1247
435,18206
10993,14047
435,18704
40324,1868
435,22056
435,28094
435,31131
599,33552
47225,2366
4365,9811
64435,3738
599,24723
27969,2145
64462,866
435,16328
163,47010
5168,192
9202,1568
7312,7905
1674,5984
163,34750
609,34999
7818,321
4593,2145
17419,8910
6782,14319
435,4888
37124,3262
64677,36
5954,4592
435,31042
156,23657
435,23270
64315,602
64719,36
14921,459
156,2117
28627,588
3782,36
156,32510
599,9339
156,5756
7367,10192
46154,1724
64933,4047
20859,1627
10398,192
41652,321
7367,2145
19468,9492
27324,1627
2083,10042
52809,2307
163,49332
54237,904
435,44234
2796,36
44832,1966
65115,866
10016,250
58906,4299
38331,859
49961,2760
12886,8495
65195,36
43942,904
65232,859
65245,321
65254,1092
9832,250
10788,1050
1674,844
46477,36
435,13294
4593,34374
609,6
156,19587
156,19918
27814,3870
13284,484
8711,3370
65414,1050
12302,6
32002,659
435,2707
435,12566
35918,3805
156,41981
7650,17
6289,321
435,39934
22117,2158
435,28347
11463,25425
435,19250
299,4299
12765,6
435,65615
23275,2158
135,27159
4593,28925
45333,243
587,27555
65456,1016
156,30778
435,28678
55216,321
65703,3726
609,29718
156,54582
44246,8647
156,3223
36725,4089
39933,321
10768,250
4593,1251
156,25083
156,32415
156,39450
22430,17
49315,905
23845,321
6289,3055
1588,321
42834,1627
10359,8272
43995,588
163,28955
1855,819
11784,3897
65820,36
43901,2810
435,50569
5954,192
47922,659
435,65856
1674,6481
1674,11455
65927,6375
435,12278
65946,659
156,34247
3423,3726
17897,321
52396,905
65986,6
11463,299
24177,3538
20227,36
435,18419
156,34315
163,66024
66036,321
66055,1868
1674,13889
14011,1016
33516,1627
163,2508
192,9147
156,13280
66103,10043
609,4196
29886,36
696,17
1674,1454
156,14788
38308,978
39913,351
2117,321
7650,866
135,1586
435,74
66169,36
352,351
66173,1844
156,18033
156,38921
42,1868
435,13049
163,20759
660,659
14299,4767
5540,3538
23657,1092
156,3423
250,904
40478,905
66335,114
435,30778
163,57197
4147,1016
56307,1568
36984,819
156,43886
55585,36
435,18325
435,9983
9524,3034
156,33448
12201,5764
135,30341
435,10295
41896,36
35296,8601
50437,904
156,12223
66094,8952
60715,3870
3421,21422
6782,66562
435,12103
163,32237
5075,8647
156,38009
156,10788
435,58600
66652,2366
35062,192
2707,1944
3195,11955
3950,904
435,28966
156,17901
163,57308
435,61118
156,24405
30524,4767
435,21054
66733,1374
135,21860
435,24499
135,6700
192,90
20978,3726
66784,2063
32284,321
435,15545
66793,1627
435,17301
156,2599
135,4242
435,28935
16746,6788
163,32787
23905,8910
1674,2662
156,24916
58463,3726
60570,859
22482,2145
16899,235
51167,36
1516,133
1674,6386
66933,3538
35749,250
3675,659
23274,1966
435,34614
66978,36
3421,8614
163,16141
435,25868
67030,3538
18898,2079
16204,13294
5191,321
17890,17
10248,6788
6251,10367
435,18182
135,8311
163,20170
156,7057
1674,3090
7249,1916
163,23005
435,7826
10327,5802
12059,4047
156,21000
435,7642
67223,1247
435,42314
610,14319
156,40902
163,12506
599,12201
906,905
19265,5802
435,13280
435,33677
67365,11475
25549,859
435,34315
7367,10971
7985,1627
163,18078
156,38503
58932,904
40611,321
435,5008
435,29242
10785,6
67428,3897
435,26935
21422,114
67498,859
32549,2424
41404,3005
16362,3726
11974,17970
26934,270
62492,36
10711,1568
609,37148
7401,1724
435,4819
12258,8601
156,56707
67604,8952
54130,1724
712,192
4561,3538
8191,36
13110,588
860,54129
3869,1627
163,13311
50930,602
3859,7557
135,57237
7941,3538
40681,844
435,17131
54959,978
163,5473
5954,2145
51788,1092
435,6373
2303,1868
156,12167
56816,6441
435,10865
156,20588
435,38921
435,11110
67827,243
135,25348
435,9661
156,13461
49723,819
135,13168
32471,22206
7826,321
163,1575
67938,1050
156,2780
23732,904
23618,1440
42743,114
156,2492
156,8310
156,4325
7495,1016
37623,1966
62760,1627
435,54593
21006,36
5163,31372
609,27214
10470,321
61888,36
163,26688
7102,859
29152,321
20821,6
163,15826
435,39349
4593,24811
135,10365
16700,8162
156,6375
60593,1627
17939,192
163,9653
12060,243
441,5997
435,23960
435,46487
25808,351
156,15788
2334,466
68318,17
156,6373
135,250
903,904
4408,6
435,2050
68399,36
27716,1953
3876,6
68415,3538
1674,44146
50979,1568
23881,7557
156,56033
163,9027
22601,4592
156,7303
1674,29037
22098,1050
23862,731
47761,36
4365,58356
15368,8495
599,1627
68520,250
2862,1953
609,66411
15764,779
435,23496
63469,4196
30273,1724
1674,20062
435,10506
68639,1627
163,38106
5618,8910
19352,859
68682,114
17901,866
8154,321
68777,36
435,21271
135,4959
68805,1844
156,39817
54130,8672
156,44935
156,13670
2796,11823
435,10315
14964,14963
435,7759
1161,819
68882,2760
34497,1844
16884,1568
435,47696
156,19203
599,27555
27969,779
135,17976
4365,598
57842,321
435,8174
156,6372
35173,36
1674,31545
68998,36
15452,3813
435,62818
599,14195
435,12495
46772,3370
45577,602
609,26362
156,25509
156,12280
435,1188
34429,3538
163,53578
156,57242
163,907
37027,8310
