academicfieldsuchasacademicfie_1,academicfieldsuchasacademicfie_2
1594,23993
1902,22309
927,1902
10732,10370
573,11011
1902,2213
5335,6362
10652,4125
1902,6362
29735,1902
927,24540
20216,25503
573,5334
1902,70286
1594,52747
1902,23925
1902,20216
927,6524
4029,5829
1902,5829
1594,31539
17092,13680
5335,5334
1594,14449
927,10431
1594,5829
1594,23078
1594,18303
12356,38097
1902,46344
573,10653
5335,32698
1902,5335
1594,39802
927,19582
1594,5335
927,9187
4029,1902
1594,28773
1902,68026
573,28495
12356,543
1902,14683
1594,14683
1594,32943
1594,66357
1594,8633
32589,1902
1902,43506
1594,43506
1594,17048
1594,5566
10652,23410
1594,51152
1594,53383
1594,16253
1594,54469
1902,4134
1594,23410
927,5828
1902,10652
5335,28586
10652,573
1902,26078
38141,573
1902,32982
927,31832
927,10445
1594,32698
927,42823
1594,63126
1594,42713
10652,5829
927,28351
1594,28923
1902,10456
6362,4125
1594,55490
4029,10652
1902,52631
927,7230
13223,5334
1902,31829
69768,5829
1902,50031
12356,6524
1594,37028
1902,6524
1902,17466
66357,5829
1902,73507
33739,5829
10732,61151
1594,9615
1594,69841
927,17092
927,13680
573,12211
573,17048
1594,4125
12804,23070
6362,10652
927,6362
12356,73903
26143,28805
927,31893
1594,16232
8633,14683
1902,63833
10653,10652
12356,6742
1594,38636
1902,39667
1902,45233
927,5056
927,27030
6742,74414
14449,5829
927,23284
1594,62095
927,12804
1594,58104
1594,49364
1902,37405
573,7688
12356,61373
1594,2529
12356,67411
927,11011
9201,67354
927,72653
927,17545
1902,2524
1594,29735
1902,27444
1594,28351
1594,40291
1594,44204
74862,23070
927,1594
1594,15367
1902,10431
1594,927
1594,11841
5829,5828
1902,10801
1902,19833
4029,1594
927,54813
1902,37028
1594,47424
927,5829
1902,31600
69807,52267
1594,17092
927,5335
32438,32589
927,12356
1902,12664
34753,18535
573,12801
1594,7230
1902,9496
1594,10114
574,573
1902,1594
927,38097
573,13595
573,10969
1594,51246
1902,23410
1902,27631
927,13417
573,32589
1902,12211
573,20216
10445,5829
1594,37897
1594,13595
5335,14449
1594,14975
1594,543
1594,4029
5829,23330
1594,9201
1594,12356
24540,23410
10652,1902
22803,28805
12356,31832
1902,18303
927,13223
927,10969
1594,51197
5335,31829
1594,25306
1902,74809
1594,11011
10652,38636
1902,8383
1594,19050
1902,26561
1594,31600
1594,8383
1594,37719
927,22639
573,4029
1594,73158
32438,573
927,63671
12356,16253
