atdate_inv_1,atdate_inv_2
10228,10229
193,8957
2389,7712
10286,7485
658,10330
3226,10341
3220,908
401,3709
638,729
280,5791
4488,10479
182,10507
596,10520
638,2061
401,4471
1755,4851
182,10597
372,10598
10656,4556
596,7220
277,10674
401,834
10714,10715
254,10722
277,10753
401,5071
272,10783
355,10815
272,10826
372,10830
193,8150
277,10901
280,1738
372,10928
9521,1575
372,9776
272,11029
638,11042
596,11049
401,11053
401,11092
1024,11118
596,11125
2212,11130
596,1138
277,1738
638,9075
280,9383
638,8085
638,1825
596,11192
401,8262
193,11197
280,11199
401,10176
280,1645
638,3974
638,3421
596,6192
11389,2269
182,3399
727,11399
254,10545
1204,11029
401,2454
11446,377
1755,11475
596,9681
272,3631
596,11494
254,1295
182,11533
2290,2205
658,3880
372,11553
4488,11565
272,6981
174,4593
3069,5546
3028,10208
193,6192
596,1884
254,5610
182,9161
2087,7485
596,5637
1755,250
277,11662
638,8391
11708,11709
182,11728
280,11738
277,1020
254,3438
612,11814
174,11628
277,1223
277,7810
277,11892
612,2996
254,3701
174,2269
431,4327
401,273
1755,2390
401,11946
372,6067
658,12035
638,12045
638,2943
3398,1299
280,2013
4488,5546
2212,103
401,12151
401,6339
638,1817
280,6811
401,597
401,2157
401,12348
727,12362
10228,377
355,12390
596,9295
658,1062
658,2605
638,3537
596,636
658,2729
328,274
638,12496
6114,12536
182,1638
1755,3034
254,3007
1755,1575
401,7528
277,12607
596,10986
638,3062
277,12619
727,11029
1755,12646
12660,1434
280,5737
277,1188
401,12684
401,8398
612,4998
254,12758
272,10042
1755,1145
7028,2348
182,12798
182,12823
658,2107
3778,30
182,12844
277,1811
596,12854
372,7892
1755,356
277,12887
12930,1575
355,12758
727,30
277,3885
612,8032
372,3121
174,30
182,13075
638,13082
193,8480
638,6431
401,3970
401,1675
401,13132
174,3537
401,1457
193,4973
401,13188
1433,377
272,13259
182,48
1755,13309
401,13330
658,13333
1755,10729
727,13357
658,8816
254,1237
658,13475
612,7240
182,10871
658,13530
658,13547
658,1586
182,13574
254,13585
638,13475
12225,2832
182,1568
1834,3974
355,2269
6804,8812
2290,4556
1204,3434
372,977
277,13833
174,2942
277,2729
1755,13891
372,5463
638,13963
658,11665
254,4728
6114,299
328,1774
596,6811
8035,1434
638,377
372,14260
638,14295
638,14303
658,2111
182,14325
638,1656
372,14390
272,14394
1380,3974
254,14426
638,14452
7184,3034
272,9231
658,135
372,14481
280,1061
277,14500
277,14550
658,12324
182,14620
596,628
658,14629
254,14633
9521,8812
638,1237
174,14666
280,5851
254,12243
193,14718
277,14727
14746,617
193,3777
14762,116
277,3314
254,3604
596,8342
3778,5444
12639,4556
638,3870
14867,1738
328,3974
280,5792
10198,2022
401,6547
3800,377
355,2224
280,14951
638,14952
14953,2022
596,14954
401,11738
254,8007
272,15071
328,11971
658,3473
658,1983
372,15185
372,7831
1755,5397
193,5195
277,15215
280,9776
401,5418
1755,13619
1755,14839
193,4692
1755,15288
275,1025
328,6101
254,2662
596,339
658,11052
596,7569
612,2126
401,15415
596,2832
638,4382
431,10715
277,5737
596,5334
272,9075
372,11946
355,116
8640,349
1834,5817
277,5440
9826,3946
277,3530
254,15516
174,14211
10714,15517
182,15520
658,1727
328,1555
638,12444
277,15600
401,7394
401,11199
372,245
277,15653
277,6811
2087,3916
372,7711
596,5864
658,15742
277,15774
401,12140
9304,2626
727,15843
1755,15874
401,6805
355,3027
182,15918
182,741
182,4489
254,14952
658,14390
16008,30
638,3824
1380,16049
277,16051
401,16062
638,16084
727,1368
401,8877
6804,2205
182,2291
2613,741
658,7821
3800,2205
16180,2205
182,5209
254,7528
658,14954
272,6859
193,1962
1755,1134
993,2269
174,2018
596,2835
638,5168
7184,2626
658,16295
638,12607
638,9696
277,7029
11060,2626
182,8367
658,2382
612,4286
3220,2658
12452,11637
1204,1299
372,16516
182,16531
3398,14426
2212,2626
401,6534
193,5008
372,1787
638,16567
431,11039
1024,1263
658,9741
3398,351
254,12444
277,16673
658,9383
277,16702
277,2526
277,16719
596,2269
401,6071
638,3027
277,5717
4855,16226
638,5806
277,16791
638,16805
596,16809
280,4593
193,745
182,949
182,16870
372,4692
6114,10715
182,3877
431,6101
193,10103
638,1727
254,16928
658,16932
638,3124
16939,3034
12639,16953
596,17008
272,14078
3398,760
727,1138
596,8112
277,13082
193,5836
174,10176
658,2205
1380,2658
596,17152
638,991
254,13785
254,17165
182,7828
401,17214
182,1223
401,8032
182,16295
277,9388
272,12140
182,17252
272,17264
658,17276
401,53
328,741
638,2342
638,6067
254,2382
277,17335
174,7528
182,9681
401,17398
1380,250
277,10899
658,7321
638,15057
272,767
638,17454
658,17470
546,17471
70,346
182,17476
277,7998
638,17527
277,15939
727,17286
3398,11779
277,2472
272,6045
1204,7528
272,17636
658,17643
401,9141
280,4556
254,7328
174,16084
355,11814
1755,14954
254,17733
2389,7151
275,16226
401,17786
272,9295
182,5463
355,7344
596,71
638,17803
638,1228
658,17825
7028,6694
658,494
638,5737
182,4998
372,6379
658,12684
401,17889
658,7568
328,1841
193,2302
638,10177
638,17931
596,17938
596,17961
658,7151
5104,1472
277,18005
401,18021
638,18042
727,4570
254,4172
638,3713
182,18071
174,18073
2206,2348
638,18092
372,8047
638,18120
372,9133
5331,103
401,8856
182,1655
3398,11039
401,12161
2212,18159
401,1143
272,18187
596,1381
658,18193
638,11050
431,18262
658,11917
174,14730
182,3357
401,7419
638,18334
277,12459
193,772
275,5363
638,4099
277,6891
254,628
372,5537
277,8856
658,194
401,18507
658,5598
401,18548
372,18117
193,10294
401,9075
3028,9963
596,12602
355,17089
2389,5791
658,17097
401,15978
727,18622
2212,18624
658,18640
1294,1538
254,4090
277,18682
272,2870
272,18688
401,4998
638,349
638,14464
4835,18775
372,7858
280,1400
254,1228
727,13612
596,18879
401,18888
328,13612
272,723
401,18907
372,2830
401,18918
638,4580
2212,18957
1380,71
372,16531
182,9080
8640,377
258,19037
254,15261
2212,14390
638,19096
658,19113
658,10042
182,19123
658,9080
596,12586
19164,2205
182,1369
3398,5301
596,19220
596,30
638,19229
272,19232
401,19253
372,8150
182,9963
277,19285
658,1621
182,2163
9817,2563
596,14426
277,19311
272,6067
727,3312
658,19360
372,700
254,13413
638,19401
638,19412
638,5851
658,3949
401,19457
612,19483
1380,3701
254,17247
182,9207
272,5215
1834,2205
372,5227
658,19643
612,3124
401,5568
596,10497
638,17636
638,726
401,19797
401,2211
401,2125
638,5129
401,19848
272,991
9304,2563
401,19891
596,2394
638,19945
3398,741
2778,8085
6102,6101
277,6441
272,11199
3028,2508
596,20009
277,7283
254,20022
658,992
401,10545
1755,7151
658,20081
277,20117
7184,2022
254,4240
193,71
277,3313
638,20198
401,17961
401,20224
1755,20226
372,14211
277,78
401,16084
401,20262
182,9682
638,13281
277,3804
182,5836
182,8429
6624,2269
596,2336
401,13574
9961,30
277,9141
277,4323
638,19226
3220,6805
638,9624
596,3773
1755,7755
3226,13476
277,20495
193,3877
401,2443
596,2018
1294,2486
658,3824
612,1538
4835,2676
182,8712
193,7821
596,20606
401,20638
401,17478
3398,10715
372,2351
372,15453
272,20749
638,20754
182,20759
277,1129
20811,2022
1755,7128
254,2126
174,20858
277,6401
182,16509
1755,36
401,14954
401,724
6114,8297
638,5385
272,4640
4855,1434
658,657
182,11682
401,12294
596,5363
277,3624
4971,2205
20811,377
277,1719
401,3530
272,763
182,16516
280,21135
638,7394
638,5301
5955,1434
658,16516
174,1191
193,2291
277,6890
372,3034
596,4851
254,21263
401,465
1380,21293
355,5294
2021,4382
596,3701
638,3283
401,4556
658,20198
355,1645
328,21450
638,21451
638,402
254,13879
401,21491
280,13879
1755,6981
638,18073
401,21511
3778,3801
4971,8655
372,2708
277,6233
401,21582
1433,11029
658,11756
372,21616
277,6805
12660,377
193,6911
1204,6045
272,13111
658,2708
596,13547
658,21731
277,8877
2290,21768
254,14033
401,7921
277,5962
658,14097
401,9161
182,21818
280,21826
182,9318
254,3898
4835,1266
272,21905
275,1538
277,21956
254,4646
596,6911
658,10497
1294,5546
254,22023
372,116
372,4286
254,1555
355,11895
174,700
638,9863
4898,3701
596,22090
277,14659
182,3797
12120,1266
401,5864
280,1228
280,10174
3398,11709
22186,1387
182,8816
596,1216
1755,30
596,4769
280,17931
596,9559
401,787
182,10830
372,18283
4971,1264
5331,2682
182,22316
372,22344
658,9624
1433,8297
277,13768
254,18073
328,1675
254,22380
372,1389
596,16141
658,22410
20922,321
254,11664
658,22420
9521,1191
638,7828
546,22443
638,17792
7028,628
272,3279
596,3898
277,11582
272,7032
596,10294
1896,6401
401,339
658,2174
277,5418
258,4488
182,16986
254,1264
658,11505
401,3029
22554,11039
22558,103
638,12006
658,21895
355,1895
1755,4327
272,2971
658,13310
372,2563
1433,4692
727,767
638,22721
277,5379
596,2170
596,7902
355,22755
1380,18117
7184,4692
2681,377
355,2390
658,22780
6232,1655
11400,2205
372,10473
658,3701
401,12619
277,21616
638,22849
596,21830
182,2626
277,4394
658,834
401,13111
6114,3027
372,1675
355,1835
372,9556
277,22934
431,2163
23027,3701
658,9750
658,1175
638,23055
658,5877
658,1061
277,23109
272,9882
372,23116
277,11141
401,23143
277,1942
7482,5546
4785,1061
254,23202
372,23239
19805,23262
1380,4327
272,13208
2087,327
12225,8815
401,19114
254,1025
193,103
5852,11709
174,5703
193,1434
2212,6431
372,23425
277,6067
272,12553
372,18716
596,4580
193,11187
277,19229
272,6980
280,1895
3028,23542
355,23548
277,8095
174,11029
193,1730
277,23612
277,5950
254,6877
638,4998
8668,2563
596,1224
658,2157
372,23802
272,3797
638,13570
174,373
70,1645
280,1138
658,9456
182,23902
10656,11709
277,636
612,10715
658,23932
328,448
658,23951
2206,1368
658,23975
5955,8815
6232,23986
658,8952
254,5377
182,3395
10286,5129
372,19945
6232,24097
658,24124
638,7556
12639,2563
658,2738
372,485
401,24207
254,17017
280,864
182,19229
193,3568
401,11959
401,9128
280,4570
4971,864
272,2302
259,3801
8679,2348
401,24281
638,7911
277,12348
254,9510
596,4980
2212,24330
372,5294
12225,1368
277,24354
1380,279
2212,5228
612,19220
277,2157
5135,24373
277,1205
638,10895
638,24387
3220,3801
277,15354
1380,7902
182,24426
638,21425
193,13879
658,6660
401,5597
328,24452
638,24459
254,8367
174,19095
280,15918
612,1472
401,24497
277,255
638,22431
612,14411
328,30
638,2302
658,24566
638,24585
174,17252
277,24599
7482,11709
254,24625
182,9062
401,9559
193,24662
401,6980
277,1061
372,12598
727,4213
401,24724
658,14500
1755,5227
280,1727
272,2170
3398,24753
280,24758
182,6762
24765,2205
254,373
401,24773
372,5546
277,2708
258,6855
277,13791
401,24831
328,16629
658,12602
254,5440
174,15453
182,24647
12120,30
355,3801
3220,14954
638,1638
328,6413
4855,1266
277,18606
9304,13879
658,9531
277,16657
182,2013
277,25023
401,1921
596,11662
596,7293
596,1228
182,25053
596,273
193,7766
174,14293
596,25135
254,3568
277,13134
401,3417
372,726
3028,25190
14433,2205
1755,17127
254,23425
596,5995
658,25283
254,11187
372,13774
277,15918
272,25308
182,479
638,14548
401,9416
401,1895
401,25359
3398,2170
9826,5754
401,10674
193,1400
254,403
12120,3801
277,20502
658,25436
3139,11709
277,17461
3220,741
277,16805
70,2348
658,11376
280,17604
658,18046
193,5301
658,23778
8640,1434
638,25586
658,4728
372,11409
3398,14372
182,25622
277,25624
182,9916
638,3857
272,11917
1755,18622
328,15600
272,2382
280,2111
193,22063
596,21811
182,8680
596,9388
355,5877
596,3143
272,25809
174,1434
272,943
277,14202
596,22193
401,5648
5955,494
1380,5817
182,6617
658,8847
8679,25926
658,11709
401,9812
254,2832
638,11982
401,7821
182,8877
401,4935
280,26017
596,26034
280,4572
658,26036
277,17097
401,9624
280,26076
4971,5546
355,26126
182,1188
277,3502
254,11140
3939,24483
658,26189
596,9882
280,946
638,5008
727,2760
2657,4751
727,11118
193,24931
280,26345
174,11118
1574,26357
638,3275
280,9743
596,16084
272,10715
254,26395
658,595
401,7032
638,26402
254,14946
658,4570
658,9075
546,10795
277,2241
596,2971
26424,2205
254,21283
182,9882
658,21983
401,26505
174,26516
658,10129
277,7445
14030,2205
372,327
11329,2682
254,9383
658,1719
1755,3475
638,8614
277,11039
1380,273
174,1774
401,4201
254,26713
10286,276
70,11709
280,26738
638,2832
2389,2205
1755,5672
355,8712
372,5245
596,544
372,26798
658,4006
596,23557
182,864
254,2443
638,6962
401,6963
254,14202
401,26907
174,9456
277,4532
401,26925
596,3171
8668,1368
372,26963
638,26974
596,9497
182,10173
182,14411
658,5546
277,23315
4835,27012
280,13082
431,8815
658,11895
401,6672
280,250
658,3540
182,8342
638,27090
174,3007
272,8957
193,19304
372,20858
727,27134
254,595
401,1275
596,173
596,1781
277,7892
401,4327
277,2643
1294,103
638,5748
638,9393
19805,9521
277,5505
638,4692
372,1727
596,9591
277,22431
277,27328
612,3421
27349,2205
174,772
182,27369
277,27379
20811,2205
277,19140
1574,3801
254,27424
254,17825
524,1575
280,11118
27461,3034
658,3475
3220,1774
182,24454
254,5228
1204,27543
3220,5266
401,7568
658,8095
277,27618
401,21465
182,27634
638,25308
658,17089
4971,3938
254,5215
658,377
254,27668
401,295
638,7712
182,2729
182,575
355,5440
272,13926
277,27746
638,528
372,18189
4855,1895
174,27787
193,24354
355,736
272,8047
401,27810
658,9882
5852,5116
658,17527
3028,27863
546,116
277,27870
254,2708
612,2676
3139,2205
272,17929
1755,6798
272,26907
401,14633
658,27989
727,10497
280,6681
277,28011
277,28046
596,6757
254,2563
1755,23579
658,13833
372,23055
5852,736
277,1404
355,1472
280,532
638,351
182,28140
193,6632
277,28163
638,7293
372,12758
174,9963
272,2205
372,3540
401,2394
401,2951
10714,2205
277,1175
638,25189
401,3974
4971,7151
254,9080
2502,2022
401,27111
277,1274
2212,5851
277,11399
596,15516
638,3791
193,5129
254,2835
596,2658
3028,377
401,28438
320,8712
277,2594
277,28474
658,28501
280,10294
1755,3801
638,14839
328,6340
174,11814
254,28590
182,703
638,28596
277,504
193,2723
182,28640
1755,5168
4971,741
277,22024
277,28696
272,1843
28713,377
638,3885
277,14211
328,1962
658,5995
401,28741
182,17247
727,12094
193,17247
1755,772
277,28804
277,28813
401,6418
658,7220
254,18804
277,11933
1755,15352
174,20226
401,24647
1204,7436
258,28886
638,20468
658,2104
174,4565
28914,116
277,4521
1024,1645
254,8429
638,14350
12225,6805
182,377
401,1776
596,28967
277,4439
254,15600
29010,377
182,154
658,5952
596,29041
3766,1738
355,10294
658,8812
401,29065
638,9080
638,29101
1896,3406
19805,29138
182,977
272,1520
193,3034
658,4574
638,29177
10656,724
272,22721
182,18073
1294,6401
658,6441
372,1176
638,20850
401,4593
272,29299
727,5397
254,19630
596,4998
277,6375
638,13980
280,30
401,14697
401,2740
1755,20858
12120,377
9673,2022
401,3078
658,29383
17877,377
1755,8480
658,11892
638,16295
272,8390
3226,1895
254,29447
638,10753
401,11628
638,6226
658,154
596,14097
277,13810
328,3916
277,17264
174,6192
612,2830
182,29155
277,8755
727,1895
401,27309
355,1264
401,29647
596,4201
272,17008
372,1134
638,19665
372,29692
254,20117
280,29704
182,29705
4288,1575
254,21135
277,11915
272,6418
277,20009
401,7445
2212,29926
2657,7293
6232,29930
3028,700
401,29969
26424,1434
3398,14730
277,21818
2212,2211
372,8741
30017,3801
372,8812
277,7858
1574,30
612,3406
174,9591
328,16334
372,1459
372,736
372,494
277,8392
596,30098
277,30102
280,2163
401,7911
401,1638
612,864
658,12277
638,30131
658,30137
280,6401
372,6973
372,4337
182,16334
174,1800
638,16932
401,17089
272,1806
658,21135
277,18879
254,30255
658,1962
727,826
638,30272
277,30275
193,1952
638,8877
372,19932
254,8755
280,11709
596,30311
277,21465
280,16858
277,19304
272,19113
7482,741
174,7445
431,8755
182,30438
4971,13879
658,6070
277,19220
431,30491
272,24894
254,30517
254,8800
1755,1825
596,1719
1896,7998
254,9191
182,16520
596,17247
638,22090
638,30619
401,8429
727,351
277,5548
546,19213
431,10208
277,20787
658,18716
174,15976
277,7982
10228,2022
1755,2170
372,8459
4898,6101
174,3222
6624,2022
6624,2348
14762,2022
1755,30843
638,30846
277,804
372,5129
401,29692
727,7708
658,11662
254,3797
638,5791
638,5464
372,5851
174,23360
638,14903
7184,2269
3220,5896
1294,2169
1380,20858
12452,5896
182,6782
182,31021
401,29796
4752,5877
658,3621
3028,2269
254,9864
182,13570
401,31104
1380,13585
1380,17636
2206,6101
596,31158
254,949
182,700
254,30902
401,31201
182,3273
1204,664
4898,276
727,1176
272,24743
280,15207
372,16657
3800,24579
372,8262
16008,6401
70,2563
277,13547
596,24724
372,26027
280,977
5893,7485
272,8712
174,21812
31513,2205
1204,7485
182,17636
658,27746
254,3421
612,5864
277,14074
658,14493
658,5227
328,31616
1204,760
638,31626
638,7128
193,7452
658,2022
11708,1025
328,6192
596,194
272,9681
9961,11118
658,4997
182,8745
280,3916
638,28438
401,16928
658,2682
638,4851
596,20759
19805,7889
174,3502
372,13879
596,13528
658,3537
638,799
727,22063
727,9173
401,9979
272,7344
10714,2348
638,15671
272,5676
658,6877
658,7192
401,3713
182,1228
596,17636
372,13357
272,5209
638,32014
2564,3801
1433,1538
658,19650
277,32115
280,7998
258,32132
727,3880
372,299
658,3011
280,20759
401,3824
401,4751
1380,32198
658,32205
328,5350
277,3370
272,4593
272,32264
658,274
546,2523
401,10177
658,25810
638,11399
1204,2708
401,6205
277,32321
254,21895
401,485
658,370
277,32402
6114,4242
182,1266
1755,32432
10286,32440
254,5443
727,8957
401,15666
401,18529
12225,2205
182,18918
2212,700
546,1059
401,9681
658,1806
277,723
372,7810
4785,377
638,8830
1755,5954
254,7755
277,3357
727,29155
22186,17333
254,627
12639,5817
32637,4556
182,5748
401,19113
1755,16802
638,295
2681,5546
277,9963
280,6233
658,4327
182,1481
1024,8815
372,154
658,8712
182,1797
280,10715
401,48
277,32794
658,628
638,28813
277,2174
174,14372
272,4532
401,344
174,4327
280,13333
182,8022
1755,16334
3398,276
2613,3034
182,32923
658,13785
277,18343
254,13475
275,11118
182,21956
6114,32985
372,319
328,9318
355,7293
174,8812
658,16451
658,5168
3939,3801
254,6617
254,33065
193,11779
372,33097
658,2626
3375,33122
638,15207
638,3078
182,341
277,10408
272,465
277,13491
401,22577
596,7436
1755,992
12120,10078
372,1738
193,3938
638,3563
15109,1835
401,1205
372,1575
638,12618
254,8957
401,24354
272,29384
612,71
277,5817
280,23421
182,4565
4855,1645
33239,859
328,3399
372,24931
638,2658
401,4973
596,3473
638,1255
1755,760
524,10341
272,4201
254,7014
1755,33401
182,28011
280,2494
372,33467
182,33468
1755,759
638,20224
272,7208
1755,13952
280,33513
280,5962
182,26345
431,2626
32637,17471
638,2572
7184,14390
3778,5527
401,33603
431,736
658,3406
658,12758
727,8085
658,31987
254,33634
401,10103
328,2543
174,11665
596,21803
1204,23421
182,3333
272,17476
638,724
7482,6070
401,494
272,8112
638,6332
19164,11565
658,22849
272,4556
638,736
3028,2626
277,787
612,5498
4487,25624
174,173
254,12618
8679,1434
12225,10220
355,864
182,33969
401,33989
372,10103
1380,7485
638,12367
658,14319
254,575
727,4439
401,34051
638,11287
193,8297
638,8112
5955,2170
277,2269
328,4327
727,5817
12660,7485
254,34089
658,34101
277,12573
254,4836
277,14839
658,1895
193,22643
596,5254
182,5438
4557,2563
3442,5877
272,1434
401,25904
26687,9044
193,2473
727,6045
182,10901
277,3029
1755,34228
254,34239
272,1655
638,3752
638,3938
254,22024
401,34296
2681,1295
6114,23421
182,1921
658,29299
272,2111
372,3438
596,12905
277,34365
174,3313
193,7755
1755,34384
174,745
401,34393
372,30902
401,83
401,34421
638,2696
277,4172
182,10982
372,11895
182,2855
275,3801
372,16295
638,34331
658,3857
29281,2682
182,31616
596,3124
254,12887
280,12854
727,1835
8640,1538
280,6632
277,24616
401,34531
277,34089
638,8076
280,4090
34554,299
372,4556
277,2832
328,1459
401,1158
272,22849
193,6386
401,34627
280,3974
1024,6846
1755,1621
5955,2022
277,3273
372,19029
658,34671
3398,736
280,26798
1433,8815
277,23425
372,12844
174,34737
372,1942
401,4570
401,726
372,16049
6114,2205
658,4532
3028,1143
4752,377
3069,1228
638,4970
638,16802
182,6911
638,34814
277,26017
638,22669
174,1472
1380,760
658,34862
3398,116
612,972
401,2933
638,4532
182,34887
182,1299
272,7828
182,1025
596,5748
727,14348
277,2806
1380,24454
596,9194
182,5334
7709,3886
372,25809
401,35076
182,11709
596,35087
638,16397
174,4851
596,1359
658,2662
277,1637
401,276
638,35179
596,35185
658,35218
277,14293
401,17252
19837,4439
19837,11039
727,11709
182,12598
658,5350
658,35283
277,16084
638,16928
401,35306
15109,1825
258,6804
11708,13879
182,10674
277,8655
182,15600
193,11682
11708,3701
727,11140
612,1061
727,7436
193,5877
658,34814
638,35414
1834,71
254,6859
372,347
658,273
401,2605
254,4970
277,17527
8640,4433
22558,8856
182,35498
372,11709
272,5803
372,1843
401,3151
254,35539
372,12243
401,6258
277,25343
193,8712
328,4586
1755,977
638,319
401,2271
401,13497
277,10815
401,26574
272,1781
277,1575
254,6632
272,1983
1380,11140
182,19114
277,35725
355,6632
277,35741
277,12294
254,18092
658,20765
401,26445
727,628
259,5134
280,1381
254,273
355,700
2206,2205
658,1255
182,2830
277,2830
277,15207
254,8328
1204,627
1755,17152
596,11287
372,14411
277,9324
401,35878
5135,11565
401,35908
182,804
182,2351
596,8328
11060,35934
638,6811
277,35278
638,12362
182,35985
638,35994
596,9324
658,34004
182,30483
182,12459
5331,2022
272,11118
638,1454
1380,1175
5955,2996
174,6632
3398,5356
2389,2626
546,5546
7184,741
193,1675
254,5397
401,7283
2778,11565
372,2241
182,3312
658,31886
272,20428
272,9863
596,2682
372,2806
612,9682
5852,1721
596,36156
401,8161
658,3898
3398,8297
401,1825
3220,1176
401,22420
638,628
272,295
254,36267
355,4973
258,2205
658,25023
277,17470
277,4068
10228,11475
2021,116
4488,2205
182,128
1755,2126
638,2826
174,448
401,8391
272,13879
272,2526
2087,11779
174,32874
182,245
12225,14390
1755,36448
401,3041
254,19229
277,2125
401,12459
372,17889
277,12758
658,9565
36551,4242
546,723
2980,2563
174,26907
280,6891
1755,7528
727,1825
174,22669
272,7282
277,6846
612,1575
3028,103
182,4884
1433,1645
280,13475
638,5792
401,22849
372,7283
182,351
431,27863
401,32237
8640,3007
596,22512
596,31040
182,10062
372,36681
277,15309
182,14372
658,29704
16008,9044
612,2893
596,202
272,3399
277,1817
401,26516
174,29926
254,36755
277,36761
638,36771
1755,9965
9521,3406
2212,4556
355,4471
254,726
4898,377
658,1216
431,741
355,6401
596,6332
328,7485
272,14730
727,8712
272,6340
638,9913
36919,377
193,36922
658,1645
272,3877
596,3631
182,12706
401,7828
277,24459
280,9318
182,772
3398,3701
1204,5817
4971,2486
254,34396
280,37065
182,6831
431,864
658,1841
174,13357
658,14211
401,37090
280,2059
272,9161
