locationlocatedwithinlocation__1,locationlocatedwithinlocation__2
13002,74
26573,192
250,1915
26732,192
683,192
21888,3639
700,27052
905,27097
9027,192
20088,27394
901,27539
349,8401
74,13926
1942,192
17602,192
6882,192
2643,192
24678,24677
904,19493
28010,192
7178,20619
28021,192
17109,192
8297,192
866,1254
1216,192
1516,28386
28430,12182
2079,28504
28541,192
4556,192
28601,192
14908,192
15064,192
2723,28987
36,29080
17,29120
2625,29208
29269,192
5552,29416
245,29444
11561,29445
484,29452
5866,192
321,26004
29556,192
17,29598
29621,192
23590,192
9782,192
29775,192
1884,29944
3055,3056
484,30081
5129,192
16740,192
18283,26024
8672,30273
2632,6
787,30428
1568,10327
2349,192
2855,192
3660,14047
7557,7558
5555,20076
3307,15640
25904,192
18879,24415
321,31081
3197,192
31320,192
943,192
250,31509
24743,192
1016,18222
1224,192
7178,1323
1058,1323
484,31695
859,192
5505,29924
36,192
27159,192
192,25012
3370,19188
787,32206
6788,7776
9217,192
5010,192
889,5245
6441,1323
12750,192
33113,192
321,28260
1295,192
1175,192
30602,192
29831,192
4317,4316
1016,33588
2626,33612
33617,192
636,3880
33750,192
33780,192
18589,192
33885,192
321,3223
1082,250
26991,192
34166,192
502,192
34268,192
8796,27568
9510,192
636,4161
34433,192
81,3189
34520,192
484,11707
844,21909
4767,1323
331,192
2303,34844
2079,26330
20088,34911
17990,192
34977,192
34999,192
1374,21209
13775,192
17,18148
35247,192
484,7123
35287,192
5008,35371
331,48
3975,35515
6493,1323
35666,192
35787,192
859,14517
9393,35828
1247,13926
35851,192
484,11342
81,10523
35899,192
17,33335
35911,192
1868,10340
15482,2285
8459,27650
36,9404
11003,192
20088,1323
27991,12749
13926,192
1901,36421
321,25074
36538,192
1059,36675
36685,192
11565,192
3034,404
2662,1323
901,192
8459,36943
18169,192
866,8495
5008,37054
37133,192
977,28959
37225,192
3034,14880
12646,192
27609,192
89,37507
1059,37859
81,657
74,15686
351,16192
11628,15285
270,38104
11872,33743
977,38130
1059,38178
38220,192
90,1516
3055,38325
2366,15788
38537,192
27891,192
17,22289
38746,192
977,36701
5008,1323
1618,192
15482,5984
1627,17652
22255,1323
2723,39220
36,39229
35904,192
700,39356
2111,192
34541,192
321,11355
33172,192
3105,183
5008,39665
1098,1516
977,39749
7043,192
3515,192
9686,192
2079,14262
18494,192
9080,21670
295,40214
14416,192
11955,541
39668,192
1794,192
4047,9425
977,10367
1966,6181
1098,192
30544,192
37534,192
10878,192
321,4775
866,40735
36,33063
5678,192
41032,192
5552,33340
15639,192
41430,192
11710,192
889,41558
484,35826
904,41682
41720,192
41742,192
3307,41774
6375,192
3538,41891
736,41916
17,18152
17418,192
8812,192
250,29001
844,1323
1901,20558
42259,192
42387,192
42433,192
21276,192
20170,192
42534,192
859,42704
42764,192
42833,192
42930,192
5802,26040
659,1323
3327,192
907,192
7905,7603
90,4099
7178,74
1868,32077
38772,192
250,12749
43398,192
43448,192
3005,11475
6340,192
8957,192
889,13414
2796,192
2626,43775
14295,192
1059,43876
243,20203
2158,192
81,13504
2625,20643
16809,192
43326,192
5008,27714
41485,1323
192,44418
1016,44422
1459,192
8310,15424
4884,44483
33550,192
321,7160
38270,192
1016,18704
3538,44681
700,9936
9274,39256
192,44840
844,338
3034,4099
1188,44960
44966,192
905,1323
321,45031
81,8653
8459,192
700,45232
30341,192
6422,39810
243,44174
20643,192
11851,192
17271,192
44036,30528
1844,6346
321,45489
19168,192
45634,45635
321,13091
13491,192
321,38897
243,34298
6788,192
3370,45870
45875,192
349,192
889,46022
20706,192
14602,192
1107,192
250,46236
3983,3062
484,4242
621,192
10971,192
8166,192
787,46551
1256,192
484,25881
46633,3279
1016,18039
23402,45938
28139,192
46822,192
1868,1867
90,2163
12506,192
16890,192
4047,26304
1098,1958
47010,192
901,47055
103,4242
28226,192
859,15246
47437,192
5552,47448
33684,192
321,41968
2222,114
3259,192
901,1323
40877,192
41963,192
47730,192
321,192
36,735
700,47762
47928,192
3034,47931
44217,192
47989,192
6788,7924
128,48110
905,48158
6422,5606
8162,13684
30789,192
3959,192
270,48315
798,192
6757,192
2424,17709
17672,192
484,27350
48552,192
30928,192
321,3755
344,1020
4299,21106
4047,31113
3538,192
20414,192
2222,6882
484,48665
48744,192
7143,192
4387,192
48897,192
331,34690
309,310
9963,192
1098,250
977,36
321,7368
1627,5658
10507,192
6065,11983
44038,192
41394,192
3034,3005
1374,49442
859,47284
3370,47518
977,26907
6955,192
321,39984
819,22117
36,38697
904,11345
49655,192
17,49064
38558,192
192,621
977,49732
48,192
1966,1227
5008,44612
44477,192
18021,192
2334,4047
7178,50137
9979,50158
700,3104
14946,192
904,33647
2424,14712
7282,192
4089,14790
30018,192
34374,1323
1627,34464
50501,17893
3797,48728
50574,192
25909,192
321,50601
2079,20619
6700,192
50673,192
3660,20350
50711,192
47885,192
36,50783
81,5889
700,11187
484,32532
5008,39461
819,45785
2626,29962
9038,192
27214,192
17632,192
460,192
321,16040
859,1958
51344,192
81,40021
5008,33954
51245,192
10982,31457
40777,192
28866,192
2216,12954
41120,192
8114,192
29422,192
8672,18579
103,10590
12434,192
977,3870
51672,192
3034,74
321,8888
1901,51765
904,43275
494,2078
321,13323
321,48856
36,51994
52031,10986
48031,192
321,39899
844,8698
28122,192
49643,192
1016,18075
27731,192
3307,52337
9080,7548
81,4597
3034,659
1901,52241
1724,1816
5377,192
9422,42685
3087,192
53068,192
30809,192
25663,192
53135,192
349,26075
9393,53436
40777,6386
1516,47266
34419,1323
904,8185
2932,192
5356,192
14718,192
245,53595
3,19828
53661,192
7178,53715
700,53757
4047,1465
36,12182
17097,192
243,16337
36,29242
7057,53886
1674,13491
657,44773
29278,36725
9816,192
4556,53979
250,3032
904,4431
54162,192
30586,192
10182,192
844,979
3726,24892
1627,53593
20759,192
1627,42522
54422,192
4544,192
17,52544
54461,192
321,408
38106,192
40951,192
484,2569
3870,41559
1516,1598
11419,192
54786,192
977,17585
47399,192
3279,192
81,22229
26549,192
6431,54966
779,1323
10042,192
23705,192
48101,1323
55102,192
55154,192
8672,10529
2493,192
977,30672
3040,34272
15482,20429
2145,1323
3105,6953
321,55293
787,55294
55339,192
8297,103
2079,18563
53777,1323
27528,192
11197,192
18014,192
43985,192
904,14909
26964,48
3417,192
1421,55924
11513,11512
41203,192
55943,8602
14669,192
2078,1323
54679,192
2626,1323
977,250
4089,30117
321,16421
642,56063
7905,11856
904,28236
36,3689
27252,192
349,56236
1098,4575
904,7093
2701,1323
12015,36944
56387,192
772,56410
484,56411
987,988
1568,410
484,45107
4299,36864
484,15566
250,6972
2307,56531
1059,56553
9294,192
9979,56639
36,27330
26013,192
47416,192
904,56769
16141,192
4047,18963
17,36388
3396,192
700,7763
32787,192
39504,8602
17,57033
484,57035
8516,192
1811,39224
27751,1516
3870,1323
22492,192
321,29505
44594,192
321,31351
245,18766
4047,31786
27402,192
2138,19076
270,34784
36214,192
6302,192
51674,192
484,6580
8297,1323
57790,192
8093,192
3005,10016
1092,39592
1868,56610
16595,192
1062,192
321,15869
13810,192
58222,192
1016,10295
54658,192
51313,192
81,37643
2626,192
49285,192
6258,1323
20996,192
2706,192
351,192
6045,192
8172,192
12500,192
12015,32877
1627,29312
3279,1323
321,29603
700,48626
12042,192
5813,1323
55732,192
42505,192
17970,614
20015,192
15666,192
45509,192
18439,192
81,2288
13434,43513
4196,4195
6118,192
321,33830
37817,192
53423,192
8088,192
541,1323
21880,192
59339,192
1016,15747
36482,192
245,59466
36544,192
245,59522
972,3148
901,59607
889,1647
192,13926
1724,1323
331,351
541,192
787,192
700,192
2625,59794
44106,192
81,8036
8910,192
4836,2503
42616,42617
1790,192
3443,192
1247,15686
889,59856
57237,192
81,3797
3870,19984
731,889
4047,58831
3228,192
56116,192
4047,51834
17014,192
3034,9905
8354,1323
4047,21998
28853,6422
60204,192
5983,192
321,1070
2701,192
6332,1323
20562,192
321,50629
844,19854
889,5678
36,34284
861,192
321,13156
1868,22353
56737,192
27751,74
3983,13569
19884,602
2303,48517
5255,192
36,25143
3813,192
321,8952
3813,10963
61227,192
1966,192
17806,192
2145,192
3078,14316
2723,2722
243,7135
9393,47509
8748,192
36962,192
41181,192
736,192
23042,192
11663,51895
61598,192
35696,192
700,21166
2078,192
1059,36695
250,10515
36,61824
7178,4575
250,10805
541,61903
37929,192
859,61940
7057,192
20862,1323
10016,192
60844,192
46490,192
39438,192
5310,192
18382,192
52405,1323
3262,29773
717,62299
1627,62310
36,341
36,1958
41475,192
22492,1323
243,1323
977,14325
38429,192
25471,25806
62465,192
22315,192
48931,192
3034,1958
12362,192
2760,192
904,9365
977,48
14324,192
347,192
1454,192
17523,21810
21648,192
4556,23540
2863,192
321,39571
53,192
18078,192
1050,44006
29748,192
13418,192
49251,192
977,2163
321,155
1627,54130
29571,192
243,17361
35027,49507
321,10257
17994,192
3983,772
12641,192
81,2723
914,63165
250,26664
321,2113
2163,1323
81,24092
250,11250
700,50137
2761,24282
41485,192
21753,4099
321,4546
63368,10016
541,657
36,39430
25471,48953
10928,4729
3804,63550
1868,37542
63590,192
1868,50929
8816,1323
484,43349
3797,10670
7557,13369
8862,192
26366,60637
63814,192
58285,192
4767,3334
30205,192
58307,192
63928,192
21556,192
12606,1323
3034,1092
23360,192
60990,192
15686,192
1868,33717
10089,20604
57283,37971
5764,1323
45368,192
1016,62904
321,48716
717,7690
36,14152
25329,192
114,192
64334,192
321,52830
844,41148
904,59632
321,12937
250,40978
90,7557
1868,52237
5863,192
53128,192
321,64233
3019,24200
8459,5911
5008,63409
28107,192
49396,192
3034,4767
321,9468
5008,64775
1627,28823
736,22663
484,30930
2723,16986
787,788
50297,192
42341,192
3034,192
39866,192
321,41882
8310,9029
1868,8296
889,36231
6,351
7352,250
3034,321
1627,25590
2307,192
47657,192
21743,1323
17,40938
81,192
250,31998
1079,65274
1251,1323
16945,192
321,23228
128,33852
21860,192
565,56734
34893,192
5397,192
700,65466
11709,192
3034,4836
50002,192
1059,23163
2205,1323
74,47377
321,21542
321,4477
9587,192
736,54958
321,46291
321,26961
10042,1323
772,65756
904,39091
7224,299
10442,192
5552,63397
977,7557
3078,7128
17037,65910
859,2493
46507,192
1724,7690
2855,1323
31104,192
904,50877
14548,65170
3335,3334
321,25083
1868,1323
1323,6069
5552,43794
36,32555
889,8602
23224,1323
192,66249
904,19103
13569,192
66308,192
9653,192
66411,192
7249,192
2706,50475
81,14350
37990,192
66489,192
1098,2163
65233,192
2737,192
7758,2269
905,27106
901,29842
978,17595
978,34234
20088,42610
39627,192
410,192
3273,66058
321,7141
57308,192
36,40975
977,4546
321,64979
15933,192
484,16360
11079,192
5995,5994
48,9037
1627,8827
1059,66856
35036,32764
1575,192
494,7220
8272,8910
57197,192
48941,192
1016,49760
904,25203
15847,2303
3938,192
977,192
2079,1323
41784,192
2222,42493
34750,192
48958,1323
39292,1516
6,28382
3553,1323
43147,10528
5764,4202
5552,42862
12611,192
904,67274
16306,192
17869,192
15354,192
588,1302
22080,192
1586,192
331,65784
1016,8743
859,45761
17665,192
9360,42753
61816,192
484,67546
717,48634
321,17301
39487,192
32613,192
772,31305
321,13957
2701,17253
1724,64762
6539,192
1516,7249
11682,192
17,41948
19991,52089
52549,192
6431,33743
90,905
47257,192
27252,1323
14289,192
1724,25744
484,25717
17214,192
50921,192
17,9685
5802,39458
2222,29571
23388,192
2129,1752
7557,9758
2158,14797
905,49857
1098,4099
905,68053
67589,192
14319,1323
6422,192
18894,192
36,49136
81,3811
5995,192
1016,1323
36001,192
13134,68269
8459,46869
28928,9900
60226,192
3161,192
37379,192
68314,192
33941,192
5007,192
164,192
3034,250
68405,192
321,41498
14049,192
4556,6797
1953,38027
484,56998
57504,192
1868,330
25791,192
13424,192
6,27204
37670,19901
5552,56926
68528,192
2723,192
25723,192
103,25009
4556,1323
57089,192
321,40803
321,40876
3040,68589
10183,192
2395,192
11199,192
1098,8307
74,28386
2514,1323
43928,192
56037,192
33644,192
779,192
11663,68798
299,8949
250,7049
1016,1676
81,6323
19019,8495
16401,192
53578,192
1674,4099
844,192
6,192
31821,192
66452,192
344,1323
26144,192
3040,31130
1868,5416
53041,192
321,6373
27285,192
85,192
45800,192
243,4325
39239,1323
3726,15019
321,11455
2079,33190
321,29970
55471,192
23402,50386
28955,192
321,10372
43305,192
331,15151
69221,192
69256,192
80,69338
351,1247
8607,192
636,1089
57088,69390
321,6119
69398,192
2205,192
3370,35987
43479,192
44952,192
1868,3
1016,31669
1322,192
8473,12443
736,1323
69557,192
9905,979
15746,192
243,26696
321,18933
56923,192
844,8042
250,192
29156,192
736,6386
321,8990
321,54176
250,50934
866,1323
46492,192
3105,2372
2222,299
4203,192
1627,25728
321,5432
13230,192
4089,32760
66413,192
602,192
54457,192
69918,192
30090,192
904,17001
321,23868
2303,51025
15342,192
349,8446
615,1323
27899,192
977,6441
18283,62687
49332,192
1674,250
12260,1323
70038,192
5597,192
22505,192
977,6375
741,192
4836,192
859,38637
54653,192
2625,2624
321,46631
1059,70263
1079,9293
904,22474
26362,192
70306,192
9080,192
65265,192
70339,192
2079,192
81,5008
5995,61966
659,6405
14500,24126
1627,1323
321,28993
28356,192
81,10042
844,36778
977,70506
4089,17308
17803,192
5785,192
36,16622
11955,192
484,66090
30408,192
245,48830
4846,192
28617,192
70678,192
20020,192
642,192
17,34255
70739,192
3726,59770
351,17430
41630,192
103,70767
12390,192
66024,192
53625,192
6698,192
844,52079
1016,5747
29718,192
4047,192
20404,20403
51559,192
377,192
2129,37394
55183,192
43147,6064
1546,192
71016,192
69937,192
349,71022
859,56417
3763,192
17,10672
1674,1958
14548,33631
321,8531
26669,192
6,1247
3034,1944
11628,1323
89,71132
11895,192
103,71169
321,12416
24501,192
20062,192
9963,1323
55733,192
321,11942
3738,16114
2096,192
321,45466
3105,44220
6431,192
47164,192
1016,54487
36,67957
3078,32424
904,8603
192,15686
59600,192
29502,192
484,56458
5108,43978
321,59469
5593,71325
7445,192
49399,192
13134,24200
29078,33743
1868,21733
17,8356
5637,1323
5309,192
321,58890
21535,58721
23967,192
4428,192
1059,38525
136,192
81,23402
89,4983
321,31581
33489,192
18606,192
41871,26051
12597,192
9390,2514
7557,192
64823,1247
2723,66393
4324,192
5008,40168
36843,192
10584,1323
80,5192
15453,192
1628,192
71812,735
90,3897
26488,192
4047,13148
889,35810
36,40406
81,17461
1868,10784
541,8653
19041,192
38440,45831
23354,192
3309,192
30529,192
321,29458
8193,192
48970,192
71948,4096
321,34770
90,250
3726,15397
81,1320
44036,3782
74,1598
243,192
25106,1323
9080,72064
36,60669
3726,64312
48623,48622
5672,192
39292,27938
2163,192
7178,2223
26750,9037
5637,192
47262,192
72257,192
11915,192
5094,192
321,3382
14350,72375
3034,1323
45389,192
66653,192
9990,1323
978,22656
27358,192
70694,192
5008,192
904,12191
904,4797
1724,42160
11142,192
49704,192
5108,38306
13111,192
2366,71298
72555,192
5209,12348
25471,25470
1724,27535
47229,1323
2737,1323
1953,6077
81,8262
3370,1323
11663,59446
1868,8091
3262,6335
6501,192
1016,21026
4569,192
5995,17208
8835,192
55682,192
349,42592
59152,192
977,5764
1016,20842
541,1062
1334,1323
614,192
3370,48983
299,225
49957,192
331,15342
23633,192
1901,67838
60707,192
1016,37264
3538,1323
5087,192
15826,192
39185,1323
30653,192
6332,192
904,14289
1334,192
4299,57389
1516,13926
1958,192
2417,71126
21748,192
977,7134
14008,192
41667,6953
844,25018
4089,32818
20584,192
81,494
2701,73016
1568,48402
4047,42455
659,26845
250,39868
904,10032
14214,192
331,4202
41558,192
63115,192
5345,192
1874,192
13134,11564
65554,192
37256,192
2625,33449
700,41363
700,73032
72116,192
36,52168
1647,192
19288,192
22201,192
90,5764
8647,192
9080,32913
73319,192
20886,192
29982,71988
9274,24906
3040,25188
34586,192
321,41379
1016,16320
2625,34248
494,192
1138,192
53777,192
6069,1323
2626,72587
17430,192
81,23990
16520,192
49293,192
484,16609
13002,1958
6308,192
1061,192
50836,192
321,2145
59685,192
15482,3695
81,14441
21753,250
42708,192
74,7249
3055,69549
74,47266
5329,192
29307,192
3034,905
35036,15492
494,46351
19218,192
3061,192
21743,192
270,24027
321,49761
1188,73665
8272,51153
17,33392
10140,19153
1050,67006
3975,192
2424,17351
49326,192
1627,6375
33936,192
17,32624
18014,1323
1061,724
54583,192
36564,192
31618,192
321,31467
250,47032
859,1323
36,17001
52405,192
5008,73872
321,1922
61158,192
29101,192
3811,20970
2626,39179
56122,192
2701,56784
977,9029
80,3547
889,133
889,192
67216,192
3034,717
54453,192
3040,73997
43985,1323
3370,54076
484,17381
13002,250
700,2372
565,73372
4489,192
13528,192
321,40707
15686,1247
250,28624
484,31693
8206,192
245,70295
1059,8127
790,192
60855,192
74140,192
1059,192
1016,53769
22836,192
2632,9813
63725,192
1059,69023
4959,192
3726,44909
47296,192
20226,192
1059,64543
772,60564
17,3484
36,1876
9393,57631
27309,192
978,52259
47494,50904
321,13433
1787,192
48017,192
10089,34649
52067,192
39182,192
1059,36762
904,3779
19372,192
36,33096
11050,192
7006,192
17,3820
6115,192
3782,9800
4485,192
3813,1323
4974,7792
1824,1323
700,13394
889,39300
3726,27058
66278,192
73596,192
484,54224
74541,52337
484,74543
484,74544
17914,192
2625,44771
34638,192
21437,192
71489,192
10294,192
484,888
71944,192
60917,192
19024,1323
10367,1323
6,30988
484,57188
10365,192
5802,13313
183,192
14063,192
772,59576
53867,192
321,58031
1627,25325
321,35929
22324,192
6,1107
889,1567
35029,192
71873,1323
90,5790
321,4074
8473,63554
736,60189
10235,192
10442,1323
3832,3833
13168,192
889,50352
81,245
309,19029
321,22368
1674,19041
3019,11564
1627,44257
65492,192
7420,192
37148,192
26669,1323
28885,192
17,20389
40561,192
3421,192
351,30988
35079,192
2724,1323
81,20204
25062,192
37303,192
34465,192
17,9486
18283,8884
1627,16370
5008,28514
8910,29452
81,904
2079,41459
1901,52130
36323,192
3563,192
817,192
904,1323
11508,192
10971,1062
377,44036
1098,74
22703,3930
494,4880
859,2285
72904,192
7660,25586
52119,192
678,52630
6332,7128
3105,11225
58255,192
74,24344
13926,1247
36,32747
4884,9500
1672,192
321,60192
321,26379
243,59406
29525,192
34013,192
250,21485
67116,192
321,37674
20498,192
1050,2760
28299,192
250,2489
1724,49730
889,23058
889,8601
25107,72473
34934,192
103,73719
4532,192
3370,56136
70843,192
321,27955
4047,19811
25585,192
36143,192
250,2494
23335,192
75075,192
23880,192
51419,192
321,64940
1016,63975
321,7253
8952,192
1901,29593
717,1573
50825,192
3930,192
52172,192
41072,192
36,34763
39326,192
39277,192
321,19594
2456,192
6493,192
1059,36546
42684,192
494,62258
8593,192
32327,1323
4242,192
14132,21931
1844,1465
321,4819
977,3335
2625,54835
466,192
2982,192
321,5963
977,9293
13980,17735
2514,192
859,2269
331,1323
9050,192
2351,192
3034,4089
889,36330
1953,3782
1016,3210
4293,192
4592,192
36,48375
13803,21051
6,6254
36,35584
2079,61173
4556,13310
3870,63988
49827,192
103,20781
17007,192
2283,192
3034,1857
1059,1323
75198,192
32237,192
2796,26051
6747,192
2830,192
11505,192
4592,1323
5552,48626
18283,43203
18108,192
859,43720
2706,2707
1016,62211
1016,39958
3538,75149
22151,192
33506,192
4089,15401
3124,192
26688,192
2494,192
40260,192
16724,1323
351,9037
1953,15595
541,10016
32160,192
75012,192
1059,51254
3870,32444
321,9785
17,66725
74729,192
8024,192
34263,192
69776,192
17001,192
321,53904
2303,22081
32308,192
10895,23439
6097,58131
1059,63029
37410,192
4556,25326
844,40517
75336,192
3105,3104
904,30259
5552,26205
5552,5551
8473,5911
21052,192
17,64302
6650,192
3922,1323
978,4499
914,17796
977,905
43147,5080
21902,192
73749,192
19956,192
17,14144
37561,192
26344,192
46734,192
10480,192
321,32556
321,49334
69993,192
1059,14237
81,4915
3034,3897
6105,192
844,47505
32970,192
3105,73076
61841,192
3307,192
1724,18698
321,21952
54269,192
59899,192
6065,26562
3352,192
6065,6064
62771,192
321,5017
2761,2760
5593,68095
12905,192
22988,192
270,1323
36,49366
57397,192
18651,192
484,51648
20862,192
50605,192
18078,2863
29467,192
2626,35991
17,16027
2163,23411
34384,192
49382,192
990,192
889,321
2701,71114
24857,192
7993,192
889,66040
2158,68724
81,5995
787,62338
3370,3842
904,24912
42047,192
6441,72971
3005,7904
15413,192
33802,192
3127,192
904,24177
37253,192
10971,1323
11373,192
3370,17218
1251,5997
12887,192
16560,192
43514,192
15962,1323
978,9483
68228,192
484,23905
31215,57413
18483,192
11663,25171
349,28061
1016,6325
1188,9012
4556,62418
1016,21627
1092,1091
13357,192
2708,192
47049,192
457,46313
889,71196
484,8910
17542,192
52807,192
2327,192
81,787
75270,192
56460,192
4767,38163
3105,8614
24294,192
36252,192
9497,1323
1059,40265
8036,75451
866,4219
321,34649
11344,192
6422,20860
15482,8952
3034,2163
1062,49356
321,25176
41138,192
2632,2631
8085,192
42743,192
23940,23939
7178,13338
72403,192
321,8597
4323,192
74075,192
1421,38870
45277,192
45344,192
494,73098
37958,192
321,33998
321,13626
977,46633
20357,192
700,75438
494,75389
36,1454
