furniturefoundinroom_1,furniturefoundinroom_2
4993,23372
1838,23389
13622,16329
147,16050
1838,23613
1838,23686
23690,1743
1838,23694
147,23752
1838,23819
147,23843
2981,12339
1838,16101
147,24095
147,24123
1838,2187
4993,24159
3723,4087
1838,3274
24302,506
147,4962
7034,506
1838,2560
24524,506
147,24555
12213,11572
1838,24567
12213,13080
25011,506
1838,23555
147,93
3723,22985
1838,15802
3416,12339
25323,10751
25457,7880
1838,25490
2310,25763
147,14054
25905,5785
147,22527
147,18520
147,7908
147,26108
26208,5785
1838,26210
147,10423
3416,18881
1838,26483
1838,26603
1838,26672
1838,8363
26939,11305
147,27018
27028,506
27283,506
147,17558
1838,1562
1838,27416
147,7033
1838,27534
147,27577
1838,27900
147,13367
2981,7170
14263,1584
1838,7723
1838,5879
1838,3812
1838,28849
29038,1584
29090,506
147,51
4617,2187
147,6447
29247,6663
2981,3274
147,29367
147,29823
1838,15753
1838,29883
3416,3325
3416,26672
1838,30071
1838,14906
30168,11859
7034,7170
1838,30293
147,30631
147,29362
147,30636
147,30723
147,30810
3416,30934
1838,28136
1548,7170
1838,6747
147,30576
147,31144
31236,5785
8371,3941
147,27004
147,23901
31497,1620
3723,22295
1838,3202
147,19477
13106,4761
3416,31825
747,2086
147,31924
31971,13539
1548,2184
147,21457
147,21722
1838,26787
147,733
3723,17509
147,11676
147,2086
32244,1584
147,14864
32703,4087
1838,26865
27925,5624
1838,16401
15592,5187
29090,10135
147,621
1838,33232
1838,33258
33290,2184
147,11774
147,34013
147,24691
747,5624
18344,1584
3723,7024
3723,34273
147,34359
10696,34576
12213,28849
1838,10607
147,34825
147,6098
26208,34879
147,29812
35081,506
1838,27485
147,26309
1548,12339
147,35381
35479,1291
147,30664
147,2029
8194,506
147,4214
147,16330
3416,16430
1838,28900
35983,13539
1838,28220
1838,22640
1548,17509
1838,30934
1838,18564
27921,1291
2981,10751
1838,34879
1838,36497
2981,28849
147,36550
8371,5785
25011,5785
4993,14302
1838,36920
37026,1291
37053,2184
147,37099
147,16818
1838,37163
1838,17346
12617,2029
147,33416
37531,1291
147,11671
1838,27004
13106,1584
147,8411
10291,14504
147,37429
147,2838
1838,34361
20890,7880
147,31968
38094,7170
38094,33632
1838,38383
147,38398
4993,38402
3416,17509
31236,2108
38612,1584
147,38626
147,34879
25323,6249
147,38847
1838,39009
10291,15591
25468,506
7034,6504
22257,13367
1838,2028
147,24725
147,7024
3723,11859
1838,2053
147,38706
1838,33967
147,13814
3416,15632
2981,16329
147,39536
39557,506
1838,24759
1838,31144
1838,39666
13106,10751
1838,9856
147,34139
4993,10751
147,39887
1838,36550
147,146
147,36784
147,15148
147,40249
3723,20241
1838,23752
1838,40361
13106,3274
147,9856
7537,7536
40510,1291
16639,2108
147,40675
147,5785
147,20625
747,8313
1838,25588
12213,2120
1838,40989
12213,19477
1838,40267
1838,23042
147,5124
25468,2187
147,1291
1838,6452
12213,41586
1548,1743
1838,41874
4993,41879
147,41967
1838,42060
147,23694
147,17084
147,7536
147,20375
147,1584
147,21261
2310,1743
147,28135
10291,5785
1838,42706
2310,2184
13622,1291
1838,17435
17701,1584
147,29004
147,25668
2310,38488
147,43131
147,33453
147,28136
13106,4087
147,42037
147,28666
10291,2120
1838,35381
3416,34273
147,15418
43728,5785
1838,21168
24302,5785
147,43919
147,2447
147,589
13622,7024
8194,1743
12617,14944
1838,12339
1838,26679
2981,7024
1838,20375
1838,13539
1838,12725
1838,44366
44425,1584
25323,17408
1838,5072
1838,44650
147,11273
25468,2120
147,44745
44841,1291
147,24589
3723,44882
14865,14864
4088,10751
1838,20241
1838,45066
1838,45111
147,45164
147,45290
1838,45307
1838,4423
8371,1779
1838,44350
1838,27757
147,45583
147,16174
3723,42142
2981,8442
12213,1584
1838,45806
1838,14197
147,33554
4617,1743
10696,21441
147,24797
1548,7880
1838,18463
147,38064
1838,19121
1838,5741
147,25168
147,18892
1838,33554
147,17186
1838,11671
4993,21441
147,8930
4617,5187
147,23577
147,46766
7034,27397
1548,10666
147,20407
44425,506
147,30293
10291,10290
147,7174
147,26679
3416,28849
147,8706
147,34638
147,29811
3723,4761
147,43716
1838,33416
1838,25947
147,47839
1838,17259
147,5341
1838,10135
1838,47930
41641,2120
1548,1584
1838,18974
147,23353
25011,19477
1838,15591
22125,1779
147,43700
1838,39573
30168,2184
1838,12470
147,17435
1838,48514
4993,621
147,38488
1838,5730
2981,13111
147,23649
1838,29559
48809,1584
1838,21441
147,7723
147,16342
1838,29362
147,21645
147,21941
3723,15995
147,673
31107,506
49236,2120
26208,5187
147,49243
3416,4761
147,49275
147,27900
1548,7723
1838,45276
147,2187
147,21062
147,37589
147,23042
13106,17509
2310,15308
1838,26518
147,15335
147,11935
147,27719
1838,27582
1838,50195
50272,5785
1838,16174
147,50314
3416,6249
147,28482
4088,15995
3416,7723
147,50670
147,37606
48531,7170
1838,42568
50785,35252
31971,1291
147,50816
147,17360
25468,1743
4993,6747
1838,8190
147,24980
51445,5187
147,11100
147,30071
49504,5785
32703,1584
1838,51692
1838,51693
38094,38383
147,46533
147,14039
40510,1584
147,9839
147,9595
147,8719
1838,31278
747,2184
1838,15443
13106,16329
18412,28849
147,20287
147,26973
147,32647
1838,52510
3723,27639
1838,17763
1838,30943
1838,24198
27925,506
147,46043
147,52808
147,30135
147,31302
1838,14864
1838,51107
147,52918
147,48335
5217,25763
147,9000
1838,53109
1838,42181
147,3036
1838,10632
1838,1743
147,33042
147,33632
147,53408
147,36920
4993,13539
10291,53567
147,51106
1838,27731
147,53636
1838,35295
27921,1584
1838,40484
1838,33429
147,41763
5217,2184
147,26672
147,42568
147,30943
1838,53868
1838,36703
147,51746
42168,15591
1548,5187
1838,54079
1838,34825
3723,10751
147,41586
1838,23248
147,49521
2186,5187
147,20241
1838,21261
1838,54297
18412,4087
7034,1779
1838,41386
3723,7723
1838,54531
147,17763
997,1562
25468,54553
147,24220
1838,18197
147,46105
147,48324
147,10143
147,10589
14865,2838
2310,5218
1838,20287
4993,54998
55063,506
147,36703
147,23555
1838,26530
147,53868
147,54733
14403,7536
10696,32049
1838,7024
1838,38488
147,3941
1838,33042
147,31250
1838,46153
147,50298
1838,53807
147,20406
147,7538
1838,34638
22257,8706
3723,30934
1838,17660
147,25490
147,32133
17565,1584
1838,46732
997,38488
147,29323
1838,44295
4993,8934
147,56438
1838,20487
3416,5124
14865,5624
56494,1584
12213,2184
25468,13778
7034,9152
1838,27719
13622,506
17565,506
1838,7033
1838,8713
12213,10135
1838,40296
8194,5187
1838,43272
147,57153
20890,1584
147,8229
147,17346
1838,38235
147,21013
3723,21833
147,18564
147,4357
147,4087
1838,57400
1548,15292
147,57461
147,23389
1838,2029
147,23686
147,57607
10696,506
147,55102
57700,1584
147,12907
7879,15995
13622,7880
147,19045
27000,5187
1838,57778
57796,8442
27843,506
147,17167
147,46971
44841,13539
10291,5154
4993,57706
147,14343
147,19846
147,2926
147,47672
2310,46478
1838,58244
147,14669
1548,6249
1838,6763
3723,12939
147,58471
4993,58474
1838,46478
10696,3417
147,12183
2310,15995
1838,58535
147,6666
10696,2838
37053,5785
1838,4761
7782,506
25880,34273
997,41586
147,23175
147,14341
4993,17911
1838,58737
147,45867
58846,5187
147,58857
1838,15048
147,12679
40487,506
37053,506
53827,2184
18420,506
1838,24872
147,23167
1838,59186
18412,10751
3416,22800
147,18896
1838,53194
147,24835
147,32049
147,15591
1838,10589
147,34431
147,19724
3723,17387
59633,506
147,30678
147,47197
147,10544
25457,1291
147,27236
5217,506
147,59991
147,2560
147,19121
1838,32040
147,40583
147,9537
14865,21261
3416,49636
1838,998
14865,5187
147,7170
10291,9595
3416,11773
3416,18489
147,56699
1838,589
12213,7880
3416,7880
59814,7880
147,34354
147,60752
147,14868
147,42280
1838,673
1838,23167
60831,506
147,28220
1838,42142
1838,20625
3723,28849
3723,13111
12213,33632
1838,26825
10696,20287
1838,35136
1838,4840
4993,4087
147,61152
61164,506
147,53807
147,36439
147,27348
2981,7880
1838,16901
147,60301
61222,1584
1838,19045
3211,1291
147,61292
1838,45290
147,12485
147,40770
1838,61436
7879,41732
1838,5187
1838,30704
1838,8419
147,27582
147,58756
1838,61625
147,61652
147,27485
1838,5624
1838,9595
147,22879
147,12339
147,4194
12617,2120
13622,10751
2186,1743
147,13370
1838,30581
147,49636
13622,4657
147,27649
56753,1584
1838,18655
4993,18489
1838,30723
53345,1584
147,5208
147,23056
59814,1584
1838,16330
4993,55464
14865,2187
44841,7536
4993,59328
1838,17016
747,2120
147,23357
29247,7033
3723,5196
147,15570
26208,26672
147,34804
1838,13814
147,15652
3416,30135
62619,506
1838,35746
147,16979
25468,8411
12617,53194
29090,2184
2310,8190
32703,28849
2981,1584
147,38383
4088,16329
62815,506
1838,5196
147,26518
147,8070
25323,7880
147,27799
147,59911
147,62876
1838,9994
147,15812
7942,5785
1838,62983
2981,42142
13371,1291
147,37145
1838,28482
147,32574
147,10642
1838,40770
1838,40064
147,6452
1838,60208
1548,30934
27925,5187
25468,15995
25468,5785
747,746
1838,25763
62479,506
147,30872
147,35397
147,35252
1838,47469
1838,15418
1838,11774
147,41071
26208,506
35479,1584
18412,7880
2310,2028
32534,32533
1838,3048
147,30384
147,61308
8371,6663
147,39878
4088,11773
147,746
3723,56135
1838,34273
63851,506
147,11861
4993,11305
12213,16430
3723,21441
2310,5187
1838,25715
147,42181
147,25763
7879,7723
147,38852
147,37166
1838,41017
147,36853
3723,57912
1838,27799
1838,4194
1838,10533
1838,19517
1838,28365
147,17259
147,64517
12046,3274
7879,1743
147,46731
2310,1291
22125,93
1838,53003
147,5879
42890,7880
147,9572
1838,16427
997,15995
4993,7536
147,60311
147,5741
747,506
27921,10751
147,9994
4993,23551
147,36241
53827,506
1838,42462
147,3414
747,16430
1838,2775
147,64946
1838,41967
147,31738
1838,5785
2186,16430
147,60751
1838,53111
147,18781
1838,22413
1838,31396
1838,54553
147,27958
1838,38852
147,20006
147,40428
12046,1584
1838,59105
7034,93
1838,38833
2981,15292
1838,31518
1838,12234
147,65526
65549,506
26208,7170
29090,5785
1838,48586
1838,22800
147,8419
26208,2184
11934,1584
147,2323
147,26383
1838,31327
1838,50915
147,10751
25323,1291
14865,28220
147,6247
1838,65994
3723,3722
1838,32064
1838,15812
1548,4761
147,63252
147,55791
56494,1291
3416,2982
147,58240
147,16329
13106,15632
4993,1620
1838,66191
147,47576
3723,4657
2310,506
147,11458
27925,1743
66266,1584
1838,26387
747,7170
66369,1584
48821,506
13622,6249
147,17083
66430,506
147,10666
1838,20407
147,53469
8371,15148
58522,506
27843,15995
147,5187
1838,17084
147,50959
13622,28849
1838,35252
57796,506
147,7252
66691,3510
1838,8921
1838,19161
1838,19477
3416,12939
1838,18896
1838,47672
1838,41732
1838,30384
27925,2187
147,60919
2981,1291
997,3802
1838,50094
1838,46043
1838,22527
66886,1584
3697,506
147,32325
12213,26672
29247,1779
1838,56356
1838,67087
3416,3510
3416,5187
147,28276
25323,1584
147,15753
147,44034
38589,506
1838,25168
1838,17910
18344,1291
1838,27865
1838,43287
1838,45810
147,67425
13106,506
147,22985
147,18881
1838,2086
147,22472
12214,1584
147,2090
1838,48242
1838,63898
3723,16329
3416,10751
147,3417
1838,38064
12213,15995
67715,5187
1838,43480
147,18489
3723,18665
1838,47576
12617,19477
12213,7170
4993,4657
1838,53860
147,27891
2310,5196
1548,7024
68114,19959
1838,48033
147,11542
11934,5187
1838,68189
13106,58240
32703,1291
30168,8442
1838,3232
42890,1584
3416,15995
13106,7170
1838,37796
29090,3232
147,18655
147,47668
38094,5785
147,57364
25011,5187
37053,2187
13371,1584
1838,8442
1838,31302
1838,10226
1838,43919
4993,1196
4088,1291
147,54079
147,45810
147,4840
1548,20241
1838,45818
20890,16646
11468,3910
147,12234
147,4043
147,68735
147,48589
1838,33632
1838,2184
1838,63918
7942,506
147,68856
1838,11780
147,66136
23585,1584
147,30950
25468,5187
147,24930
147,39573
147,3722
147,22800
2310,50915
1838,13376
3723,13080
14865,1562
147,14731
147,3802
1838,11585
147,50603
1838,36234
44086,16430
147,12288
147,17408
1838,8557
147,51658
30168,5785
1838,7496
147,28700
1548,10751
1838,16116
49700,506
147,14479
147,55036
1838,41586
1838,4629
69347,506
18412,1584
147,33988
1838,506
38612,5187
52028,506
64611,2184
1838,37616
147,23613
147,26603
4993,1584
147,41386
1838,55878
1838,49349
3723,10666
1838,23649
10689,16430
3723,15292
1838,66136
147,7675
25468,7723
66535,11305
1838,60411
147,63221
1838,19915
1838,24980
3416,27639
147,1839
1838,39284
3723,1743
1838,44900
1838,58240
147,10135
1838,3316
1838,3722
10696,5785
1548,16329
10291,69946
147,31973
147,15443
1838,47668
147,31473
1838,733
1838,65018
22257,7170
1838,7174
1838,70163
147,26530
147,45307
147,28365
1838,30653
147,20753
1838,23577
35279,1584
4088,8442
147,64888
147,57299
147,32519
147,29559
2310,998
70390,1584
147,60165
147,48586
1838,23843
997,7723
1838,51
1838,14504
3416,10226
147,27924
2310,21013
1548,3417
147,31327
7942,2184
27925,16430
1838,47839
1838,3802
1838,21457
1838,12827
1838,48085
1838,35397
147,16116
147,24591
70741,506
147,10226
147,18345
147,63918
147,26300
4088,3274
25468,2184
64611,5785
1838,57859
147,17387
147,54484
58339,1743
147,48242
147,55880
147,38812
747,5187
147,44350
4993,50161
147,6763
147,34273
147,62671
147,40833
2981,21441
147,36915
147,41732
68505,1620
40510,7880
147,23434
147,33118
147,4381
18379,2108
147,43272
12213,5187
147,27416
10291,19959
4993,14343
1838,36853
34444,506
1838,13867
1838,20753
147,14197
1838,71216
1838,55829
1838,62876
147,18904
44086,5187
147,19502
147,50985
1838,14731
1838,29882
1838,50816
27925,1562
147,25289
3416,1291
147,22825
147,59990
1838,58109
147,71425
147,46499
147,63295
1838,146
1838,13246
64611,506
1838,60301
32534,506
147,3316
147,26865
12617,5154
147,63562
147,27639
37053,5187
7537,1291
6803,1291
1838,36241
1838,22472
10689,5187
71735,32533
1838,28135
67563,1584
147,3520
25468,998
3416,16329
1838,15335
147,57912
1838,5100
12213,20625
1838,26973
25468,41586
1838,66408
54398,1584
147,25364
3416,7024
4088,1584
147,49231
1838,18589
147,36764
147,31518
1838,10751
147,36890
147,36234
1838,60739
147,24759
1838,38812
1838,40428
72224,1584
1838,45867
997,506
12213,506
1838,36744
1838,32049
147,72273
147,5196
1838,44765
147,12787
147,22413
1838,56699
1838,52918
7879,506
147,14504
147,46732
1838,42520
147,50094
1838,72454
1838,54637
1838,43716
1838,2838
147,17910
1838,58005
36750,1584
147,57642
1838,27649
147,47354
147,23248
147,9152
147,51669
1838,1291
4993,5049
22125,7170
147,34361
1838,57912
147,15565
1838,49231
147,17660
1838,40583
68505,11305
1838,27348
1838,41071
2981,57912
7782,2184
72814,43272
1838,70856
147,35136
147,19517
147,57211
1838,16975
147,33967
37026,11305
68233,5187
3723,6249
147,7963
56496,1743
22257,5785
147,16888
13540,13539
1838,4657
147,27865
147,46933
147,32536
1838,24725
25323,5187
147,12470
1838,47245
147,2184
3416,37242
1838,4962
147,44629
12617,73105
7942,15995
58073,1584
147,36127
13622,4087
1838,27792
147,28900
997,5187
18420,1743
1548,3274
147,45111
147,7074
147,56135
1838,11859
147,46478
147,38235
1838,32536
1838,49519
147,3325
13106,1291
1838,53745
1838,17964
14865,22323
147,40484
3416,4657
1838,21941
147,3812
4993,19915
147,39404
73428,1584
1838,42853
147,11780
1838,20516
1838,61652
73452,1584
1838,4043
14865,26518
1838,44034
147,66305
147,54553
147,31617
147,27290
1838,41907
14865,1743
147,27423
10696,40853
147,11901
1838,35094
147,27757
14865,746
147,4164
1838,5208
1838,50554
48531,506
1838,4087
147,21833
147,30653
1838,20641
147,32064
28399,506
147,42853
3416,3274
1838,23175
147,11859
1838,3036
3723,15632
30168,506
15592,506
1838,71870
1838,1584
58339,506
25880,5187
1838,23434
147,73742
147,69592
147,46435
147,50426
57739,2108
147,13867
147,10533
147,65811
73813,3510
1838,3495
25468,16430
38094,2184
147,18267
1838,22323
147,25715
147,19161
147,57859
32703,10751
147,22300
38589,9595
4993,27495
147,37703
15592,41732
1838,68227
2981,17509
147,45161
12213,5785
147,29094
1838,73956
7034,5785
18412,5187
147,30839
147,22884
147,5049
1838,73049
23690,5187
147,15569
3723,15296
147,13246
1838,37606
65549,15995
46657,1584
147,31228
147,74037
1838,19230
1838,15148
1838,40171
147,14791
4993,30653
147,12827
147,35295
1838,36780
1838,11572
1548,4657
147,37072
3416,9537
66614,506
4993,73436
147,24412
4993,33118
147,18197
147,58244
147,29307
1838,5154
44425,8442
147,10654
53345,7880
4993,7880
1838,13080
147,37920
3723,42037
33290,506
38589,15995
1838,22879
10291,19477
3416,8442
4088,4087
147,19598
4088,7723
1838,62671
147,43479
147,51692
1838,33453
12213,8442
147,42142
4993,3316
47263,1584
58479,506
147,27525
747,1562
1838,37145
147,58109
37531,7880
147,15632
5786,506
147,13778
1838,15063
1838,30135
1838,48589
147,17509
1838,24220
147,30294
747,2187
147,36317
72080,1584
147,38833
147,40132
74474,5785
56753,506
147,22571
7034,3910
3723,7170
1838,3417
1838,8411
3723,3510
1548,15632
54493,5187
147,3495
147,1562
13106,12339
3723,18881
44086,1743
1838,68986
27843,7723
147,49519
3723,47228
15592,15591
26208,8706
147,28849
147,13111
147,4073
147,48144
1838,25668
12617,15591
3416,4357
18379,8719
1838,70452
147,43508
147,45276
1838,10357
1838,21793
1838,51658
3416,4087
147,47540
147,40226
1838,50985
29247,2108
147,15048
147,17041
1838,27423
147,2775
147,15995
1548,8442
1838,6249
14865,7170
147,69156
147,9593
3416,35295
1838,6756
3723,12339
1838,43416
147,5683
15592,1743
147,63159
67806,506
147,51107
1838,746
147,8313
147,56606
147,3232
7034,7033
1838,39593
1838,15255
147,41560
20890,11305
147,15308
1838,48053
147,55139
1838,621
1838,17167
147,43287
4617,16430
1838,12915
147,34073
147,56921
12046,8442
4088,12339
1838,48176
10689,1743
1548,4087
147,43480
12213,11676
147,38468
147,20516
147,3274
147,18463
1838,67983
147,39593
1838,13367
1838,14944
1838,10544
25468,5624
1838,38631
1838,12679
2310,17346
1838,3325
147,6392
24302,2184
5786,5785
147,12939
147,31825
1838,27525
147,30934
74370,506
7879,26672
14865,506
1838,13111
147,2025
7879,2120
1838,49275
1838,31612
3416,10666
147,31500
147,21793
4993,15292
3416,7170
1838,6247
18412,1291
10696,621
20890,7536
1838,46971
147,2982
1838,71335
147,14302
4993,37429
74598,1584
147,8557
147,15125
1838,74319
147,44900
3723,1291
5786,7170
22257,2184
147,21441
48551,506
1838,30950
147,25947
147,5218
147,5730
2310,57859
74567,2187
1838,71976
62392,1584
147,27397
147,16101
62841,1584
147,10290
147,39478
1838,40853
1548,58240
147,9842
3416,58240
1838,5049
147,9518
1838,17558
147,64654
7034,2108
147,49910
8371,644
147,45818
27843,1291
147,41818
1838,15296
1838,5240
3723,26672
147,30704
7782,5785
1838,34300
147,35094
56753,1291
7537,13539
147,5154
147,49492
147,36497
8153,1291
1838,24589
1838,65033
147,33910
147,33093
147,28835
1838,17408
147,5624
147,51587
38094,506
13106,7024
147,38631
1838,36890
147,18838
2310,36803
1838,27100
1838,14343
1838,36764
3723,7880
4993,36499
147,19230
8371,3910
22257,506
1838,7908
747,1743
1838,17509
147,37796
147,22295
1838,54484
147,998
147,506
147,49273
147,1743
147,6249
1838,35137
4993,31888
147,8442
147,16430
147,24948
1838,38847
147,9780
4993,1291
37144,1584
147,38860
1838,27684
147,58005
22257,33632
1838,14660
14420,1291
56092,1584
1838,31968
147,24198
32703,7880
1838,29307
1838,19598
1838,2982
147,65205
69070,1291
13106,20241
147,60739
1838,16430
1838,28700
147,40853
747,998
2981,4087
1838,24691
3723,5187
1838,37920
147,32211
1838,15308
73339,1743
1838,32574
147,48033
147,36340
16639,5785
1838,27290
1838,70270
3416,15292
147,27792
147,66321
25323,4087
147,44882
38094,13367
147,29882
8153,1584
147,31396
747,26530
12617,14504
1838,23079
25468,1562
38094,5187
147,74096
1838,12787
1838,13778
25880,1584
7034,15148
16639,3910
147,32040
147,42706
147,48053
147,42462
4993,7024
14865,2120
147,61735
147,21221
1838,29823
147,19365
15592,7723
1838,2538
72438,506
147,40267
147,32004
1838,7170
147,40204
1838,62634
7034,10382
1838,54931
147,5072
1838,23354
25457,506
147,71608
1838,42815
147,31612
1838,24884
14865,17346
4993,17408
1838,3520
1838,29323
1838,39941
147,4687
147,14944
1838,71608
147,71976
147,43519
22125,2108
147,58737
4088,6249
1838,5218
1838,36317
147,69034
3416,20241
7034,20753
15592,2120
997,1743
1838,12288
