animaldevelopdisease_1,animaldevelopdisease_2
1610,49129
1610,44362
25555,16582
16960,22102
3462,1637
3462,6643
11815,14587
3730,37599
1610,35147
2386,23573
1610,59937
1610,2142
1610,14279
41121,16582
1610,37681
1610,61087
5937,26038
1610,61189
15464,7156
1610,61393
3462,2142
1610,11229
2386,55874
1610,45758
1610,41003
2386,14897
1610,61784
1610,28969
3462,6236
1610,49526
1610,55760
1610,27433
3462,18763
1610,62540
2386,8101
3462,35147
1610,30612
1610,55162
6644,35147
2361,5562
1610,9392
1610,1637
12944,12425
1610,62970
16960,2976
6644,6012
2386,18633
1610,63211
19185,3456
7802,2583
1610,2583
1610,23786
2386,23619
1610,63767
2386,7212
2386,63951
1610,15155
41121,10792
2386,9666
1610,60908
1610,53826
1610,57644
7343,1975
1610,64833
1610,29881
5937,7212
1610,49826
1610,41408
6080,5562
16960,5132
1610,66044
16960,16582
3730,65065
2386,18763
1610,66348
1610,7279
16960,7212
1610,47368
1610,66683
1610,41358
1610,3844
49111,9392
1610,23527
1610,66919
3462,29754
7343,5300
16960,10792
2386,22102
3730,59349
2386,7803
1610,2976
1610,6643
1471,12425
16960,8101
1610,10355
1610,62093
3462,22102
2386,42744
1612,12425
6644,12425
8181,7279
2386,44567
11815,1637
1610,37511
6810,62733
1610,7402
26110,12945
11815,21606
1612,35763
20564,7156
26110,35763
2386,46007
2386,15190
3462,380
1471,11279
41121,22102
48975,38113
1610,49034
2362,53502
2386,22387
5937,3817
1610,68766
2362,68799
1610,26994
18735,12425
6644,22102
11815,12425
7343,2881
5937,6236
2386,69078
23832,7156
1610,62087
1612,9392
1610,11030
1610,69465
2386,49826
16960,30301
69594,12945
2386,34171
1610,69140
1610,6218
19185,16582
1067,1637
1610,6849
1610,53371
7802,1975
3462,22204
1610,2881
1610,12776
2386,36315
6810,5562
5937,16582
20564,15560
1610,27840
2386,70527
42034,12425
19185,5562
1471,15106
1067,6626
2386,7156
12424,1637
12424,17319
2362,9591
1610,70928
2386,38113
5937,2281
1610,45280
5937,10118
4694,1975
41121,23573
1610,71280
1067,3817
1610,54159
1610,66018
2386,6643
2386,2583
30705,12425
1610,57811
2386,9553
1610,3172
2362,3817
1610,70744
1610,24996
3462,9666
1610,62755
4694,10118
1610,71892
2386,31435
11815,7279
1610,48536
1610,36839
1610,35763
3462,1975
16960,11914
7802,11279
1610,36315
20328,6643
1610,12910
1067,21606
1610,19541
2386,12425
1610,47128
1610,14961
15970,5562
7802,12945
2386,58908
1610,11279
2386,35763
1610,50252
1610,33793
2386,17319
1610,73124
11281,5562
16960,5300
11815,6849
1610,2119
1610,7212
1610,73204
2900,5562
3462,10792
1610,62476
1610,18633
1610,2281
1610,57612
1610,73375
2386,5300
3730,16582
11815,6626
1610,36335
1610,72843
2386,1848
1610,73534
7802,1848
25555,12945
1610,58347
1610,73602
2386,21781
1612,30612
1610,66482
107,16582
14130,7156
67994,12425
3462,13924
1612,2336
3462,5300
1610,30377
1610,62272
1610,58518
16960,2336
1610,73943
16960,9392
1610,13734
15464,12425
784,9392
5937,2976
3462,23573
1610,21558
16960,12425
8181,5562
7802,16582
16960,1848
3730,7279
1612,8101
12944,38567
1610,74280
1610,35372
1610,35685
1610,60042
18735,12945
30705,6236
1471,31435
7802,12425
74519,5562
49111,12425
22608,1975
1610,58215
67994,7156
872,5562
1612,1637
14130,12425
1610,65557
1610,9553
1610,1975
2386,11279
7802,56657
1610,19300
1610,26038
1610,25093
6644,58347
1610,58673
1974,16582
5561,13734
6644,39096
3730,15560
1610,9666
1610,57727
1610,47779
1610,7803
11815,3817
1610,74806
1610,7156
7685,5562
1610,33803
2386,44362
2362,3809
14355,12425
6644,19541
1610,74896
1610,17319
2386,30612
1610,19404
1610,38567
1610,46007
74973,18763
14355,1975
65443,16582
1610,66830
1610,27034
5937,1637
1610,66277
1610,54537
1610,17808
1610,3817
1067,10426
1610,5801
6810,42652
1610,13924
1612,2976
1610,56657
2386,2976
30705,1975
3730,53502
1610,28238
1612,10098
1610,21781
3730,74656
1610,22387
1610,35970
784,13734
2386,57811
1610,55937
1610,13243
9922,5562
1610,22204
12424,12945
1610,55460
1610,41671
2571,12425
6644,10792
1610,66197
2328,3817
4694,5562
5937,12945
1612,17319
11815,52391
1610,63106
1610,12425
2386,38323
19185,72077
1610,6012
1610,42109
1610,29048
1610,51855
1610,7965
3462,12945
1610,30890
2386,1975
1610,14792
1610,69546
1610,15560
107,18774
1610,36114
3730,42761
1610,66971
18735,16582
49111,16582
1610,4927
2386,59136
3462,13243
1471,16582
1610,61695
1610,42250
1610,65451
1610,6626
1610,53163
1217,48451
1610,29521
1610,52219
20564,5562
