drughassideeffect_1,drughassideeffect_2
44404,213
51296,213
41853,213
52043,213
32676,32675
52330,213
52482,213
52518,213
52574,213
49756,213
42136,213
52725,213
52783,213
29104,213
41537,213
47886,213
52909,213
34811,213
53007,53008
53094,213
53286,213
8003,213
41242,213
53861,213
44872,213
23696,213
53933,213
36615,213
54004,213
46795,213
52420,213
35313,15119
54596,213
44424,213
54619,213
54859,213
5999,22357
28477,213
55066,213
12368,213
48652,213
19375,213
19595,213
55481,213
32801,213
14556,213
55695,213
55839,213
13115,213
16572,213
55873,213
55901,213
55955,213
56202,213
56237,213
22311,22310
55753,213
8131,213
47094,213
56609,213
56757,213
13876,213
30611,213
38859,213
56804,213
25073,213
23359,213
4412,213
19149,213
56980,213
57009,213
13181,213
7239,213
57241,213
57265,213
10631,213
10461,213
57080,213
57632,213
27815,213
57691,213
13050,213
2321,213
25578,213
54991,213
31989,213
8447,213
19666,213
58231,213
58309,213
58359,213
58428,213
58326,213
50822,213
58689,213
58774,213
52489,213
59174,213
49626,213
59251,213
29853,213
32926,213
316,213
59707,213
59767,213
59776,213
39515,213
60194,213
60198,213
30611,20197
8791,213
50641,213
37452,213
60965,213
42169,213
17699,213
61089,213
61093,213
55979,213
29779,213
61409,213
17772,213
51586,213
34042,213
15221,213
37854,213
53162,213
30740,213
8568,213
17755,213
32600,213
55364,213
58771,213
62306,213
47507,213
20873,213
62436,213
26953,36618
38932,213
10119,213
28912,213
62653,213
62659,213
6474,213
32676,30610
62799,213
23031,213
14353,213
62918,213
8574,213
48218,213
45080,213
63170,213
43979,213
43100,213
32643,213
63277,213
57160,213
26764,213
39194,396
63439,15106
58758,213
28537,213
47585,32713
52363,213
30503,213
47303,213
34376,213
22453,213
30503,20197
33102,213
64373,213
8131,3106
26724,213
38885,213
750,37160
48328,213
64618,213
64171,213
26764,1637
8131,855
50494,213
8131,65022
65136,213
21859,213
59624,213
46583,213
65187,213
65313,213
65342,213
41214,213
65463,213
51396,213
65611,213
65216,213
65649,213
65715,213
65750,213
65761,213
3107,3106
38520,213
9146,213
44094,213
65899,213
65911,213
64068,213
47939,213
830,213
62702,213
61780,213
34110,213
5999,59690
45542,213
66439,213
33068,213
30397,213
35313,213
60558,213
46225,213
34156,213
65674,213
21709,213
28876,213
8131,62200
32215,213
15092,213
67242,213
47585,213
50839,213
32067,213
49288,213
43903,213
24025,213
44890,213
53546,213
4412,21352
41081,213
54168,213
67661,213
1306,213
14976,213
28922,213
67730,213
39889,213
30503,30610
20956,213
67946,213
10514,213
42712,213
61690,213
68007,213
5837,213
66953,213
8131,8130
65262,213
47896,213
33532,213
13214,213
23344,213
68504,213
31909,213
58528,213
68652,213
24798,213
969,213
64503,213
61138,213
28520,213
46720,213
69109,213
62207,213
48895,213
14472,213
69417,213
14454,213
26953,22310
10259,213
42224,213
11528,213
50771,213
30849,213
14990,213
65528,213
69689,213
69700,213
45375,213
69701,213
26953,34112
36556,213
65182,213
18864,69805
64241,213
2522,213
69362,213
70024,213
11678,213
70073,213
34198,213
69401,213
26953,32675
58762,213
28237,213
214,213
22311,213
70315,213
70351,213
70358,213
70363,213
54051,213
57488,213
36789,213
47536,213
412,2281
56940,213
70625,213
57872,213
22424,213
70922,213
39248,213
45061,213
65084,213
21466,213
35863,213
52331,213
28017,213
69648,213
23156,213
55431,213
51875,213
11808,213
40713,213
71403,213
25970,213
51018,213
63044,213
1695,213
71563,213
12112,213
71612,213
56937,213
68577,213
33908,213
69312,213
56422,213
71808,213
71835,213
71838,213
53450,213
15961,213
26382,213
65238,213
25735,213
25594,213
44615,213
10900,213
26891,213
18550,213
20196,1637
18517,213
49321,213
67680,213
20526,213
72304,213
64620,213
41939,213
52888,213
63734,213
46722,213
51761,213
26755,213
33971,213
62689,213
1994,213
49573,213
54732,213
72589,213
37212,213
51323,213
12300,213
18613,213
19258,213
54243,213
72697,213
66376,213
5999,213
11577,213
72771,213
59820,213
37641,213
30503,36618
27429,213
72875,213
59584,213
72898,213
72900,213
72975,213
22311,15106
26953,73084
3149,213
70148,213
63716,213
62165,213
3098,213
10250,213
16793,213
25035,213
6336,213
50620,213
8131,22357
49381,213
68781,213
46364,213
54015,213
73439,213
40094,213
40774,213
66253,213
73575,213
16843,213
61258,213
69821,213
5688,213
35751,213
22919,213
53558,213
38693,213
33433,70301
58345,213
35412,213
13211,213
39775,213
47585,22310
73871,213
51705,213
43333,213
66022,213
50253,213
43447,213
11352,213
2042,213
43661,213
33715,213
42954,213
63985,213
52733,213
3808,213
19753,213
41132,213
6631,213
43390,213
36382,213
42461,213
3426,3425
46523,213
69278,213
37170,213
68300,213
412,213
63744,213
1316,213
44202,213
48538,213
33991,213
72145,213
19004,213
42647,213
20072,213
54025,213
11997,213
45723,213
63460,213
59024,213
37966,213
38230,213
74525,213
63215,213
21688,213
65309,213
74585,213
68532,213
30611,36618
36458,213
49508,213
49099,213
45135,213
62542,213
52260,213
4001,213
55397,213
47745,213
31196,213
74753,213
65397,213
57528,213
66802,213
51145,213
5085,213
63173,213
18223,213
64644,213
36471,213
53806,213
58376,213
63900,213
15411,213
5400,213
57757,213
7945,213
24456,213
52677,213
51069,213
47021,213
17042,213
54320,213
46930,213
62300,213
73110,213
73790,213
72534,213
6772,213
25201,213
6850,213
66256,213
8131,2041
49687,213
11206,213
17968,213
57445,213
62667,213
33583,213
37141,213
56937,396
39346,213
74101,213
10956,213
8131,16582
75215,213
56618,213
73718,213
25657,213
71501,213
38725,213
35618,213
32676,36618
75272,213
74805,213
57445,3817
16033,213
41381,213
72376,213
66333,213
31143,213
71343,213
75325,213
75176,213
40831,213
19516,213
75338,213
2042,3106
59832,213
62433,213
75202,213
30611,30610
26953,30610
72445,213
15221,66073
74018,213
11685,213
18794,213
53368,213
30302,213
47632,213
5999,3106
51281,213
25218,213
16576,37160
26031,213
66615,213
70296,213
74622,213
39713,213
50845,213
74697,213
64994,213
42115,213
74867,213
74011,213
63468,213
53993,213
53995,213
74733,213
11394,213
61049,213
66171,213
54070,213
74720,213
21706,213
54275,213
75415,213
37110,213
74998,213
26023,213
75437,213
55369,213
72390,213
65855,213
