musicianplaysinstrument_1,musicianplaysinstrument_2
50873,24119
15252,2227
71924,151
1344,32422
41919,151
62414,10363
73224,151
56934,2227
73260,151
19507,151
42768,151
52463,2227
54623,151
3330,68537
59553,151
54221,9438
4071,9337
73562,151
14535,2227
45872,151
66877,41352
18305,16562
71779,151
12102,10363
3330,61758
43501,24119
36159,151
36869,151
28070,151
38035,151
35517,2227
72781,151
39411,32422
21234,151
55558,151
47095,151
3330,151
16317,10363
11536,151
7863,151
53201,15820
24376,32422
39101,10363
74038,10410
18713,15820
13167,9691
63893,151
2561,2227
15821,10363
15252,37808
35305,151
68542,151
15481,151
74168,9251
3330,27120
24376,4624
71526,2227
57879,2227
14596,151
3031,32422
6270,151
74431,10363
14535,4624
20799,151
74502,2227
71017,151
29507,151
3330,9438
63079,151
3330,2562
16317,2227
41840,151
11474,11473
60648,10363
73053,151
33213,151
50873,15820
20401,11703
58196,58195
9876,2227
4071,60179
32538,151
2561,9438
1344,151
3330,15820
15252,10410
16522,15820
49916,23230
58928,151
57298,2227
8231,8230
37981,151
2561,22388
65078,37808
35415,10363
3330,17861
42253,151
42768,16562
24245,10363
74751,151
74084,24119
53726,151
27442,151
38223,151
55525,10363
67667,2227
53056,151
20651,32422
53623,53622
4071,16562
68321,151
20304,151
4071,10363
71141,151
33249,151
9336,11703
2561,32422
38299,15820
72500,2227
18305,37808
39411,151
71231,10363
64383,151
72306,151
9336,4624
2561,2453
13167,151
71231,2227
21677,151
34579,10363
70277,10363
60924,2227
13155,32422
31547,151
3330,24806
8851,151
73394,10363
22467,9438
55525,2227
74310,74309
14035,9438
15821,15820
53201,16562
34560,151
20651,151
56673,151
63480,2227
16317,24119
67464,151
73260,4624
3330,37808
65863,151
14035,9337
16317,15820
75158,151
14535,9438
13155,4624
50406,151
40519,151
27338,151
75057,151
4071,9691
28286,28285
42948,151
56015,151
48401,2227
73052,151
58224,151
55351,151
74390,15820
48401,10363
65913,15820
14038,2227
37586,151
24376,2562
1344,17318
