locationlocatedwithinlocation_1,locationlocatedwithinlocation_2
10367,977
192,6115
43978,5108
34911,20088
4837,4836
192,16141
192,3475
192,44106
44220,3105
44257,1627
192,9653
1876,36
15566,8910
1323,12260
31351,321
44612,5008
192,20020
44773,657
192,817
192,35247
10295,1016
1323,904
7776,6788
44909,3726
192,15342
192,16890
192,44952
905,3034
2372,700
23939,23940
35828,9393
20095,1868
192,45368
15566,484
192,45389
1323,5008
2078,494
192,33644
192,7676
34284,36
32077,1868
27535,1724
192,6386
192,12500
13626,321
35987,3370
192,21556
46351,494
192,3309
3897,3034
192,6757
192,20886
192,46492
192,37534
250,3034
192,13418
192,46734
192,3959
192,8024
25083,321
46869,8459
16622,36
192,466
22663,736
23540,4556
47032,250
192,47049
13684,8162
22826,3726
18704,1016
1323,47229
192,47262
47266,1516
33830,321
29458,321
47377,74
192,47416
14880,3034
192,34999
192,42708
192,42764
47505,844
47509,9393
3005,3034
4099,1674
192,6747
192,25792
20604,10089
19493,904
12954,2216
13414,889
15246,859
192,48017
192,5785
26907,977
1323,48101
192,20226
192,2079
48375,36
1323,1868
48402,1568
4325,243
36695,1059
192,4047
1323,1059
192,3061
11342,484
48622,48623
5017,321
4242,484
192,6422
18075,1016
192,15064
48830,245
48856,321
192,6302
48953,25471
24703,977
192,2572
192,8459
192,787
49064,17
192,43514
49136,36
192,2760
14517,859
26562,6065
192,49285
192,49332
49356,1062
49366,36
192,49396
192,49399
192,5129
192,27252
6386,736
6441,977
192,49643
31457,10982
2435,1844
30930,484
9293,1079
1958,1674
39571,321
192,736
49857,905
37542,1868
192,49957
192,33506
1323,11142
192,8206
192,26732
4819,321
3811,81
192,27309
321,3034
17308,4089
50386,23402
192,11142
192,23360
192,38429
49732,977
50629,321
192,50825
192,4462
192,37256
44681,3538
51153,8272
1323,27252
17001,4047
192,51245
192,27214
192,23745
49334,321
34272,3040
1647,889
39958,1016
192,25909
7763,700
46631,321
51648,484
192,51674
192,37561
192,29307
51834,4047
15424,8310
51895,11663
192,2723
41363,700
988,987
192,16560
41498,321
52089,19991
192,52119
52168,36
192,52172
1323,1334
192,11050
52241,1901
192,42930
192,8952
192,45800
19153,10140
192,35696
192,43479
192,4387
52544,17
3842,3370
29444,245
192,377
52630,678
14909,904
7538,889
7134,977
16795,11628
9936,700
192,3307
192,22508
192,53128
45938,23402
11225,3105
192,9510
10805,250
48665,484
31081,321
46633,977
53593,1627
192,50574
245,81
27568,8796
11187,700
192,3034
53769,1016
192,53777
7690,717
192,34638
192,53867
9012,1188
192,10016
192,48031
192,20996
48158,905
16114,3738
4700,977
1323,331
13926,74
192,7776
41948,17
1323,9080
54130,1627
192,3396
2863,18078
54224,484
4477,321
192,1942
192,54453
192,8812
1323,2145
192,4556
192,54583
2163,977
192,14946
192,54653
192,54658
192,53041
1323,15962
54958,736
1323,243
33743,29078
18869,17
192,17007
16337,243
192,55183
192,2737
8776,1092
192,35666
7128,6332
192,243
192,470
1323,344
1323,6258
192,10442
192,55471
192,4242
28993,321
192,42387
25728,1627
192,24501
192,1062
24027,270
51025,2303
192,55682
192,41720
408,321
192,55733
192,55732
23204,245
49507,35027
192,49827
192,56116
192,56122
30672,977
192,50605
47762,700
192,27159
9029,8310
56417,859
56458,484
47518,3370
30273,8672
7128,3078
1323,3870
192,7525
50904,47494
39984,321
1454,36
28386,74
56734,565
56784,2701
192,39438
49761,321
192,20643
192,19288
192,4324
6422,28853
56998,484
24344,74
41558,889
192,57089
29120,17
192,3975
192,19897
33998,321
1323,3370
37971,57283
42862,5552
192,37133
192,859
18579,8672
192,2349
12182,36
5474,9905
192,10782
25012,192
192,6758
40975,36
57631,9393
20539,17
26201,4047
13083,479
19041,1674
3797,81
192,28021
192,5356
192,14718
1323,2079
3870,3034
192,35911
192,4090
192,943
192,5678
192,54457
39256,9274
58131,6097
48728,3797
48517,2303
13148,4047
114,2222
192,58285
192,34166
39229,36
74,27751
192,31104
192,183
192,12506
21799,321
1323,3034
23228,321
192,4544
192,30653
20619,2079
1323,17970
192,6882
4575,7178
40214,295
6882,2222
192,30928
50783,36
58890,321
192,41120
192,1647
29001,250
44418,192
19984,3870
192,20062
35929,321
1465,4047
9843,8036
52237,1868
192,47657
56411,484
192,33750
59406,243
192,35787
59446,11663
192,11505
7548,9080
192,40777
38325,3055
59576,772
192,23590
59632,904
192,34268
13091,321
192,59685
1323,270
192,17806
192,1061
192,50836
192,1107
5008,81
192,10448
6953,3105
53436,9393
192,11199
192,2158
192,7444
192,47164
7049,250
4099,21753
192,42259
16628,636
192,4323
60189,736
60192,321
32532,484
24200,13134
27938,39292
192,15413
36864,4299
5995,81
28236,904
659,3034
45107,484
192,36685
192,26573
4836,3034
60564,772
192,26144
192,34013
192,5863
192,54679
42160,1724
60637,26366
31509,250
192,60707
10784,1868
33743,11872
1323,7557
6020,1627
192,3161
192,60844
1323,905
192,60855
1323,8297
192,8114
74,1098
1323,10367
48983,3370
15595,1953
59607,901
192,37225
14836,1016
27052,700
1323,34374
192,1454
36943,8459
192,38270
48315,270
16270,243
192,1322
192,32970
8307,1098
192,21437
26961,321
31693,484
192,164
192,54162
19029,309
192,24294
192,30205
57188,484
192,54786
2624,2625
192,5345
28386,1516
192,61816
192,20414
192,45277
192,61841
679,678
26330,2079
192,45509
34784,270
9404,36
61966,5995
192,43326
51254,1059
192,58255
31998,250
192,22324
24995,1059
6386,40777
192,18078
24126,14500
29944,1884
13491,1674
192,2626
15788,2366
62258,494
16027,17
192,41558
192,2493
192,15826
62418,4556
192,13111
192,60204
192,136
22070,7178
22229,81
192,14063
657,541
12385,5802
192,32613
21360,904
192,36
25009,103
36701,977
32818,4089
62904,1016
2760,1050
192,12390
2128,2127
63029,1059
192,4196
13323,321
192,13168
33063,36
3975,81
42753,9360
1062,10971
23905,484
56236,349
6375,977
37054,5008
192,47257
8653,81
1877,321
26304,4047
18318,3055
19594,321
13926,192
63409,5008
192,4592
74,7178
41148,844
56926,5552
2514,9390
2723,81
1323,19024
1323,18146
3484,17
63554,8473
192,5008
42610,20088
192,43398
192,25501
44960,1188
3897,977
192,50921
5963,321
4915,81
250,7352
7924,6788
29312,1627
192,63725
15985,484
192,38220
7690,1724
192,18014
192,6700
192,2724
192,62771
192,4569
28987,2723
28061,349
29970,321
63988,3870
37507,89
25641,1627
192,45344
192,25189
28959,977
192,48970
21998,4047
192,3327
7249,74
46291,321
904,81
64233,321
192,8516
9900,28928
192,250
192,24743
64302,17
4202,331
192,25904
29452,484
48,26964
192,35899
192,28299
44036,377
7558,7557
979,844
62310,1627
4499,1953
38897,321
192,24172
64543,1059
8228,7557
192,23880
341,36
5606,6422
24898,2307
41882,321
1247,64823
45831,38440
192,502
192,23354
323,17
192,29556
30428,787
192,3417
46551,787
23990,81
45761,859
64940,321
192,20498
192,4293
41916,736
192,683
2372,3105
192,57504
25881,484
11455,321
1598,1516
2493,859
192,46507
5192,80
192,6501
3689,36
65170,14548
20389,17
33743,6431
192,65233
3334,4767
18698,1724
192,61227
192,65265
192,347
33717,1868
61173,2079
1676,1016
192,44594
192,11779
192,65492
192,12646
40876,321
8036,81
192,65554
192,56923
52079,844
15342,331
192,1334
192,9038
192,11373
192,53661
44840,192
11355,321
44006,1050
37859,1059
49730,1724
65784,331
192,14812
40735,866
25586,7660
20860,6422
192,25062
41459,2079
192,31618
192,2943
39220,2723
192,22913
192,31320
14712,2424
66040,889
192,3087
66058,3273
26696,243
192,1138
1323,7006
9800,3782
64775,5008
192,63115
192,41203
24945,787
1323,1322
2145,321
192,2701
192,12887
192,8311
1062,81
49760,1016
192,21748
192,66278
2303,15847
1323,1058
11475,3005
9685,17
192,56037
192,47989
66393,2723
192,66413
192,1618
10529,8672
8888,321
5790,90
192,5983
12443,8473
192,6118
192,901
192,32237
192,31821
21533,243
23569,243
192,66653
192,13357
66090,484
53886,7057
8296,1868
192,33941
192,30809
1323,10584
66725,17
192,35851
32556,321
53595,245
6953,41667
192,3443
3062,3983
5764,90
192,15686
32747,36
11345,904
45489,321
192,1459
1323,10042
192,34263
192,29422
67006,1050
192,17803
1323,2078
2494,15482
1323,787
192,14295
192,67116
192,60226
9037,351
1323,736
192,42833
41891,3538
8262,81
1323,32327
192,22184
1323,2737
192,17632
1323,2626
60669,36
192,58307
192,27609
192,6105
8614,3105
1323,1016
8042,844
6373,321
192,34465
192,21161
47055,901
351,6
192,588
20223,12277
192,14908
5201,1059
20429,15482
735,36
17001,36
192,67589
192,38746
192,40260
4242,103
192,56387
192,43928
67546,484
192,3259
8952,15482
67838,1901
13156,321
192,12362
16192,351
67957,36
39224,1811
18222,1016
32764,35036
3782,1953
8653,541
68095,5593
192,33113
50137,7178
192,47928
10672,17
25018,844
14240,3273
7967,3832
41559,3870
20403,20404
192,33936
192,48744
192,790
48110,128
192,24818
192,410
192,34433
86,4556
49442,1374
14766,22163
1247,6
4219,866
299,7224
192,11344
14047,3660
192,10480
42704,859
1323,2701
192,22989
5432,321
42522,1627
192,2830
9483,978
192,29621
1323,4592
58031,321
192,41072
192,38772
4099,3034
15640,3307
33392,17
9785,321
192,53578
2269,7758
3579,3870
19734,1627
192,1787
192,37148
192,191
192,37817
192,14416
68269,13134
19203,2158
192,11508
192,36843
3335,977
9486,17
192,17994
192,57197
69023,1059
7792,4974
192,8748
192,34977
45232,700
6838,17
192,27358
8091,1868
192,33802
192,53135
24200,3019
192,68528
192,494
192,63814
192,9294
192,10042
35371,5008
13926,1247
192,53068
38870,1421
192,48931
38178,1059
1323,615
25717,484
1247,114
192,5397
31786,4047
192,49293
192,1216
192,55154
192,3938
47448,5552
192,69256
8910,8272
4074,321
14289,904
69549,3055
1323,22255
250,1674
192,38537
4099,90
10590,103
192,8593
192,18719
192,17929
1247,351
1323,6441
1323,866
57035,484
3833,3832
24092,81
1323,20862
4775,321
1323,21743
192,3538
18123,844
1706,321
192,28541
192,26669
192,69937
53715,7178
192,69993
192,3897
192,29467
192,3974
26205,5552
7220,494
16320,1016
15397,3726
17461,81
192,2351
192,29101
43775,2626
29445,11561
8356,17
1323,1724
46022,889
192,64334
183,3105
14262,2079
70295,245
192,30529
10043,10042
8495,19019
1922,321
27394,20088
27204,6
15686,1516
45785,819
192,69918
192,541
1323,53777
39665,5008
192,12042
192,4836
192,3715
30081,484
192,49655
192,41742
55294,787
192,5995
53979,4556
65274,1079
8240,321
192,9587
8602,889
25546,904
13926,1516
9425,4047
192,29775
192,37958
192,8166
3210,1016
3782,44036
192,9050
192,59899
3189,81
192,17665
192,23335
192,70843
28504,2079
1323,26669
192,48552
15686,1247
30988,351
192,47437
9758,7557
5245,889
2503,4836
48626,5552
1323,16724
192,3563
1323,10442
192,4223
3223,321
15686,74
10419,321
1323,11628
71114,2701
155,321
192,13528
192,66411
22474,904
23058,889
21051,13803
71196,889
192,44217
29571,2222
192,3279
29208,2625
192,39866
71298,2366
192,69398
724,1061
71325,5593
192,25663
32424,3078
192,26344
192,26991
192,38558
68724,2158
31695,484
192,33489
2163,90
192,70339
35826,484
192,10878
1323,34419
6346,1844
7093,904
2269,859
192,8942
5080,43147
192,28955
192,6045
68798,11663
192,71489
192,12597
192,6955
15019,3726
192,30090
192,29269
192,71016
192,46822
32877,12015
41682,904
12348,5209
192,10235
1323,9686
192,21743
44483,4884
23402,81
23868,321
16360,484
9500,4884
192,12641
47284,859
192,69557
59466,245
15760,17
45870,3370
4729,10928
192,6340
1323,5637
31669,1016
48,331
322,321
192,13491
192,70038
1323,71873
192,6650
12937,321
192,25348
71022,349
192,1059
66249,192
192,28139
12277,1323
54835,2625
192,2205
192,13569
31467,321
192,47296
192,71944
24677,24678
192,66024
43876,1059
192,15639
21909,844
1323,18014
71988,29982
6405,659
192,1295
48716,321
192,5309
192,7557
66856,1059
14441,81
192,12905
15765,1627
192,70306
70263,1059
8990,321
54176,321
40406,36
192,28226
192,2111
23946,11665
44174,243
3930,22703
192,42433
14350,81
1323,2724
192,50297
8949,299
192,41784
10188,36
192,66308
56531,2307
192,72403
888,484
15151,331
192,41430
192,1958
7557,90
47931,3034
54966,6431
72473,25107
56639,9979
56136,3370
9365,904
20203,243
63397,5552
39749,977
14237,1059
72587,2626
192,47399
50877,904
192,48897
61940,859
192,36544
46236,250
42617,42616
192,72257
192,13810
15686,192
6335,3262
40265,1059
19811,4047
192,17097
43794,5552
1516,1098
20421,20420
69390,57088
192,2307
34649,321
34770,321
47266,74
1323,20088
192,19964
86,85
30988,6
192,68405
7253,321
192,2327
621,192
192,351
16986,2723
192,8193
192,60917
192,34384
192,72904
192,1256
4983,89
72971,6441
1323,8816
8495,866
55293,321
192,11709
73032,700
192,22404
192,57237
192,50711
192,3421
22117,819
4075,17
36675,1059
192,18439
192,21150
192,40951
192,5255
192,23388
10032,904
73098,494
50475,2706
192,59600
192,5087
192,53423
192,5866
15492,35036
192,48941
41774,3307
192,20562
192,602
56769,904
192,66452
192,9217
57033,17
192,10182
7249,1516
45466,321
17893,50501
1323,901
192,4202
192,5672
50929,1868
67274,904
45031,321
51765,1901
11026,904
15228,5008
1323,2855
192,20357
192,4485
192,17214
38697,36
192,34520
22975,250
192,6258
52130,1901
1020,344
56553,1059
192,26488
6325,1016
6119,321
192,14648
59469,321
192,17001
192,637
11176,9393
192,8607
37,36
541,11955
43349,484
192,49382
192,50002
192,37410
20643,2625
71169,103
6698,36
192,25723
192,73596
192,49326
64979,321
69338,80
192,11895
70506,977
192,62465
29773,3262
192,4203
192,44038
192,2145
192,11073
73719,103
26051,41871
1323,779
192,17976
2494,250
192,73749
1323,1824
50137,700
3279,46633
1323,48958
192,726
64312,3726
15285,11628
11564,3019
351,331
33096,36
2285,859
12443,8459
11983,6065
17253,2701
250,21753
1958,13002
1687,889
11564,13134
192,16740
39868,250
57389,4299
62338,787
192,21860
192,36538
192,56737
59770,3726
1323,7178
33612,2626
10340,1868
192,61598
36421,1901
192,16401
192,55102
36725,29278
1516,39292
58721,21535
192,47885
192,10507
56610,1868
192,30341
1323,2163
3870,977
23169,889
192,63928
192,21238
5984,15482
192,6375
21798,1059
192,36143
18963,4047
192,33617
1516,90
8884,18283
1323,9963
192,8910
9905,3034
192,74075
192,47730
73372,565
192,21753
614,17970
18563,2079
192,9816
11856,7905
192,8835
192,331
3,1868
192,68314
192,51313
38104,270
18282,17
192,741
192,10365
338,844
1752,2129
192,13424
20970,3811
9133,17169
25325,1627
61903,541
4546,321
62687,18283
192,3340
192,2332
192,68228
1958,1098
44771,2625
17585,977
51994,36
192,67216
1323,6493
2288,81
192,22201
192,5007
192,8957
1958,3034
192,37379
192,61158
192,45875
2163,3034
54487,1016
192,1245
192,63590
192,7375
64762,1724
73665,1188
59856,889
4047,2334
29924,5505
18877,9393
73016,2701
1323,43985
192,54461
192,11955
192,54422
192,42534
21952,321
27058,3726
192,30789
13313,5802
7320,17
192,41032
54076,3370
8531,321
192,7249
30528,44036
34649,10089
31130,3040
34255,17
192,70694
1857,7178
8952,321
38130,977
192,51672
192,74140
50158,9979
11636,321
4099,1098
192,60990
9293,977
4546,977
192,70678
14797,2158
192,69221
48626,700
7557,977
192,17542
39356,700
192,72116
192,16945
68053,905
192,70739
192,2659
16675,81
23595,270
192,18169
73997,3040
37264,1016
1944,3034
192,54269
1062,541
735,71812
17796,914
21627,1016
192,74729
17430,351
192,14324
63975,1016
192,30018
45635,45634
27097,905
192,52549
36778,844
250,13002
10016,63368
192,51559
192,32787
50352,889
24177,904
53757,700
32206,787
41968,321
192,889
71132,89
192,5466
192,17990
37643,81
192,39326
192,6332
192,621
192,41138
192,22836
192,20170
7246,3273
192,5473
192,56460
18284,18283
33647,904
192,52405
192,59152
192,48
192,57397
22289,17
10372,321
192,18382
103,8297
192,798
192,7658
192,2283
1598,74
192,35079
19188,3370
133,889
16421,321
192,10729
1958,36
74543,484
192,55339
1247,13926
1323,9990
192,7043
65910,17037
34298,243
4575,1098
1323,3538
192,75012
192,13230
192,11565
3334,3335
192,25729
73076,3105
4096,71948
13957,321
772,3983
52337,74541
38027,1953
192,18021
4203,4202
192,19956
65756,772
192,11851
299,2222
1323,9497
192,49251
15401,4089
33588,1016
20781,103
1323,5672
3820,17
13962,2138
75149,3538
3779,904
71126,2417
5911,8459
17279,17
250,977
17709,2424
192,36323
1323,5813
192,2269
192,49704
192,42047
410,1568
12416,321
192,18483
678,81
905,90
56410,772
2303,17585
330,1868
717,3034
192,42341
250,1098
50601,321
40978,250
6323,81
192,2096
192,22505
192,13837
192,5010
29598,17
192,3197
3104,700
192,75270
4797,904
192,24535
4767,3034
192,7006
1516,27751
5889,81
50934,250
192,1874
1323,22492
192,10982
6064,43147
72064,9080
73872,5008
192,22315
192,15876
62299,717
192,8093
192,5637
17893,3105
192,11197
192,18894
1323,4556
192,75075
192,33780
192,4532
18641,904
4880,494
29603,321
56063,642
192,21902
1323,3922
33340,5552
192,57790
1070,321
192,4952
192,20862
7904,3005
25193,8075
36388,17
35515,3975
192,69776
192,19538
6375,1627
53904,321
18039,1016
4499,978
22876,321
59522,245
192,47010
192,43448
192,50673
29452,8910
192,46490
192,34750
52259,978
75389,494
192,8085
22368,321
4431,904
61824,36
192,72555
3148,972
29505,321
10016,3005
9549,321
192,44477
192,4959
9468,321
5678,889
192,53625
20350,3660
29242,36
192,11079
11707,484
192,44966
1323,8354
192,18651
55924,1421
192,14289
18506,321
2569,484
17351,2424
4161,636
65466,700
1323,8093
192,51344
192,35287
192,36252
192,977
1323,2205
72375,14350
1323,41485
1092,3034
8446,349
12749,250
192,59339
19901,37670
74544,484
192,16520
905,977
192,39668
192,57308
75438,700
10986,52031
192,7538
192,29502
192,13446
192,58222
3056,3055
25806,25471
192,5067
1227,1966
1302,588
192,4301
192,43985
6,2632
75451,8036
192,16517
52337,3307
4932,3538
18933,321
41379,321
192,18606
192,27731
17001,904
20204,81
192,3813
192,28010
192,2494
34248,2625
6077,1953
63165,914
48634,717
1573,717
63550,3804
3639,21888
1323,14319
21166,700
70767,103
192,7057
8602,55943
192,36482
1857,3034
22353,1868
192,19547
52830,321
192,37303
192,861
46313,457
192,51419
2163,1098
59794,2625
192,25324
1320,81
57413,31215
192,73319
26379,321
40707,321
192,33885
192,35029
192,30586
14107,1627
5997,1251
62211,1016
1323,4767
192,17672
16847,349
13569,3983
192,52807
192,29571
192,75198
192,13775
44422,1016
58831,4047
28624,250
31113,4047
1323,3813
192,52067
31581,321
1323,52405
8602,39504
192,53
192,66489
10515,250
68589,3040
192,75336
29416,5552
192,5377
17652,1627
192,5310
13394,700
