agentcreated_inv_1,agentcreated_inv_2
19465,19464
27099,20693
27113,27114
2581,27169
27175,18260
27268,27269
18626,6775
17353,9989
27295,20693
27306,21277
27312,27313
27396,19088
25292,5571
27464,25704
27561,21073
27567,25899
27596,2758
27620,13758
27655,1632
7119,7118
27732,27733
84,27778
27785,27786
15612,27903
27920,4262
27930,3956
27941,27942
28006,28007
28064,1136
28071,868
18900,1136
28250,1045
28264,28265
28289,28290
28329,4473
28343,24610
28361,28362
28377,10437
28483,28484
28524,12129
28638,28639
28708,28709
13913,1282
28764,5571
10688,1417
4252,28919
20923,27155
28974,1136
28977,6775
7151,9682
29042,29043
29059,24695
29128,29129
2118,268
24423,2464
29259,29260
26900,1005
24278,9250
29328,10482
29349,5046
8671,8670
29361,1873
29398,25185
29402,29403
29413,12143
29434,1448
29451,24556
3938,2205
84,29461
19539,10451
28919,2517
29553,29554
1790,29580
29594,1445
29604,29605
29607,28851
539,538
7216,2938
29719,29720
29724,1873
29757,2205
29807,29808
29901,22479
28538,4262
18240,3677
6782,627
30172,30173
11411,11410
30226,14233
30256,30257
30269,2938
30334,30335
30379,1005
25965,23289
16319,30434
30464,23316
30511,4158
30539,5169
30543,1445
30564,30565
29193,29192
22618,9792
30799,4496
1874,30801
30865,30866
30879,30880
899,6248
726,4252
1963,27540
31073,12449
31126,7000
31164,19591
25679,31200
6651,6652
18987,18986
31286,12354
31344,11301
31349,31350
31368,31369
25299,31374
31425,3889
25421,18393
7901,7900
10038,1136
31496,513
3676,3677
1963,3095
31286,1448
20694,1445
31585,31586
31587,31588
19540,12129
84,31707
9503,31711
31717,31718
3063,1445
8526,1136
31777,5140
19375,4232
20124,31869
15458,6641
31905,12129
31938,31939
14098,14785
1963,1136
31994,31995
32024,5169
3363,15919
32095,32096
32126,1445
17841,16031
32200,4158
24963,25185
32257,10664
1963,1369
32349,32350
32366,32367
32409,20222
32414,10482
11997,4232
32621,18094
32662,32663
32671,1136
5313,32707
23170,1445
32775,631
32831,11520
32835,13124
32841,10482
32844,32845
32907,1790
19767,8200
32990,1873
33009,33010
3054,3053
33037,33038
33047,33048
33094,33095
33105,33106
33121,5815
33125,6297
23684,23683
33166,33167
22096,22095
22819,16394
33218,13623
33219,10437
33221,33222
33235,8784
33246,33247
30013,30012
33306,4820
33348,513
32963,2457
8616,8617
33431,33432
33438,11696
33475,33476
24722,12412
33509,33510
33539,33540
4821,33581
33615,33616
33669,33670
32347,32346
33693,1445
12144,12143
5313,33807
33818,1632
24634,9989
1874,27761
84,2269
34055,25482
34093,12129
34099,6300
34102,4158
34125,28634
34183,1136
34211,2758
34250,4473
799,627
34403,1445
34467,9630
31265,22882
34500,9165
28067,1445
23501,23500
34685,1632
34687,9545
84,34739
34741,34742
6298,6297
34759,268
34788,30436
9432,5968
34816,34817
34865,6840
2821,1632
35015,35016
35056,4312
11503,2313
35171,5287
35184,14708
35222,26146
35230,3889
2821,1873
28998,6641
7370,7369
35304,3956
84,2737
35324,35323
35387,13758
35413,21545
11482,1463
35433,13124
26391,26390
35445,35446
35480,5571
35487,16536
35500,35501
35503,20534
35519,18260
35528,35529
34018,1632
35544,35545
35552,35553
33833,28634
35665,9792
16074,4473
17531,1045
35752,9989
35884,15334
3459,3458
35905,35906
35915,1873
17612,17613
35956,1136
35958,12129
7356,4473
35993,1445
3405,3404
26816,1632
27177,6886
36139,4158
33705,33704
2821,1523
4252,12378
3929,3928
84,5356
36202,36203
36235,36236
84,27452
36384,9165
36389,8135
36509,1136
36520,268
36609,36610
36627,36628
11053,1136
14899,14898
36730,36731
36783,9877
36811,36812
36895,36896
4991,4992
36966,4232
34778,4820
37084,24610
7916,6302
37101,37102
37135,1136
37204,13777
37205,37206
37235,1136
37326,37327
9467,6108
7916,33953
37358,1136
2821,33953
35492,1445
5313,37521
37550,1095
37581,37582
37588,31880
37592,1463
37628,1136
37049,37048
37708,5028
37740,15800
37750,1445
37757,22602
6157,27230
20760,37781
31558,31557
37872,14082
2821,5356
4453,4452
28358,28357
33415,23289
14007,37967
38060,38061
32189,1632
15827,4280
38214,38215
38227,6641
38228,1005
38283,38284
1790,38297
38329,11704
38347,14082
38348,38349
38350,1445
38362,1762
9606,3015
1349,33786
38419,13124
15378,38444
24735,24734
29157,7914
38476,38477
6237,1136
38491,1136
10048,1136
2581,38644
38657,16536
38682,38683
38707,1632
38720,38721
24183,11652
38758,3928
28862,28863
38827,38828
38618,33167
19375,2521
1874,3346
6237,27973
38937,17266
38946,868
6878,2428
38997,38998
28141,39048
39055,985
26049,24674
39110,39111
33387,33386
39175,437
793,1445
39235,39236
36581,6490
39012,39011
39395,9877
29406,868
4415,877
39439,1631
39457,513
39479,28758
39506,39507
16248,16247
33541,4232
20071,5492
39576,11593
12716,12715
22116,18094
5313,28919
34295,39616
39644,39645
3363,1271
39682,1136
39704,15192
33536,39755
30545,1873
39834,4448
36085,27240
30803,30804
39936,868
3938,1631
30032,18260
10565,1873
39993,3361
40001,11520
40011,40012
40027,12107
40028,13036
32421,30688
40100,1136
5313,40118
40139,40140
84,14674
1963,3006
10995,10994
40246,15934
40261,5028
40277,40278
40340,36731
36067,36066
40368,10437
40399,37004
40422,5947
40433,1005
24931,1632
40569,1873
40573,40574
35354,268
10606,10605
6052,6053
35547,268
17841,20660
40666,40667
40673,10833
40679,10605
40683,40684
40748,2783
40760,6645
40799,40800
40819,40820
40825,40826
26393,14061
35369,35368
38661,10482
12247,12246
726,1632
23755,23754
7916,26877
41108,41109
34134,34133
26872,161
41209,41210
41258,12959
22476,8617
12108,41342
84,13760
8057,41405
41421,9397
19644,36812
2852,2851
21520,21519
41513,41514
28852,28851
84,572
41647,5571
23114,32150
18392,18393
41724,8430
16061,268
41733,41734
12466,6108
26523,41746
41751,18965
39139,9545
41921,41922
26322,7724
41995,36985
42011,42012
42018,10482
42027,21519
30191,10664
42064,42065
14007,14006
1052,42113
36954,4158
42132,9989
40440,38392
42176,28863
42179,6112
42207,42208
28546,28545
42275,42276
24606,24605
42302,10482
42305,10163
42319,42320
42360,11034
42379,38367
36689,12959
42408,17720
42418,28404
14812,752
2821,1550
29540,5810
42470,42471
42511,38367
42574,22123
2581,37372
42593,1136
38173,18260
42653,14142
26870,26869
42719,4229
42734,3771
20613,10482
16032,16031
5313,19316
42820,2938
30798,20296
42841,2540
14522,14521
3050,3049
1874,8114
43011,43012
21959,4252
43120,22330
7823,32475
43213,43214
38431,38432
18823,36731
11375,11374
43325,8660
37732,1445
43429,43430
24634,985
43455,6641
43482,2984
43493,43494
31670,2517
43549,1445
43584,9630
20184,20183
43596,43597
43623,18180
32568,43650
43671,43672
2516,627
1853,76
43676,967
3560,6112
43709,2938
43723,8096
12148,1045
43767,12449
43772,12129
43773,43774
43284,10576
14356,10451
43787,1136
39852,1941
3363,1136
19644,25707
43846,43847
43862,3928
43898,1005
14098,12709
25938,8617
44018,44019
44064,14305
43645,1136
44078,5968
44087,131
40124,40123
44130,12129
44138,25866
44195,20027
44218,44219
44228,44229
84,44240
44267,6886
2421,44279
25165,1463
27426,3285
38975,9308
10034,2464
44390,23502
44459,44460
44497,12129
1370,1369
44510,44511
44513,1445
9398,9397
16356,16355
44546,44547
31818,31475
44605,44606
44610,6886
44614,627
44619,30655
5324,21557
44641,15074
44659,32475
44676,15800
44698,26338
1874,33955
44731,18094
44744,6297
38775,10646
41336,41335
4346,4347
15116,41629
16468,3006
44835,44836
44863,1635
39243,39244
44940,14082
14007,10280
33541,2521
40942,10664
45024,868
45041,45042
45084,1005
25346,3404
33435,1045
2606,26110
45184,33295
19647,39462
19732,45224
44384,1005
45318,45319
84,15950
45345,10482
40619,6775
45469,45470
27467,27466
25369,8407
18947,11520
45503,868
5313,8219
25706,36812
45532,33845
45206,4232
28174,5947
30558,3458
1963,1962
22600,2962
38728,38727
45750,22996
45755,1136
45778,5960
35579,35578
35051,1445
20141,20142
45912,45913
45919,3072
22462,11520
46024,22996
46062,1762
45501,45500
14098,5947
46116,46117
46118,18094
46171,46172
30349,8133
46196,46197
46174,46173
46234,46235
27021,1136
46327,7000
46337,1136
45035,45034
11153,10451
35019,268
31102,13667
46393,46394
29137,18260
46442,868
46451,18260
35896,3404
34986,4992
41585,1136
84,34047
84,3713
46653,6302
30835,538
46705,2428
799,798
46710,46711
46847,13667
5313,11866
26168,1657
32765,15934
34026,12129
46964,46965
47053,47054
47170,1445
47182,6297
47230,478
47300,21545
47315,9181
47319,47320
47344,2758
47356,985
16722,3458
47392,3751
47413,47202
47421,47422
40042,24734
39074,25185
47450,47451
269,268
47476,47477
37922,11790
26902,20039
34258,268
47551,1737
47594,47595
47596,28222
47609,1463
40045,25707
34775,39863
47612,2217
8886,1873
40020,20943
34853,9702
20485,2313
12130,12129
47250,2240
47731,47732
47765,4473
47769,47770
6830,6829
47778,22123
3016,3015
47836,22330
47847,24617
47850,47851
26737,23289
38623,38622
47882,47883
84,5677
47915,25482
23691,18986
40736,26352
11697,11696
29681,13036
16924,868
48006,1873
48029,1136
1809,1808
48049,20943
48054,76
19533,6108
34484,29250
46699,46698
48094,44180
25497,23381
48127,48128
24810,11520
22603,22602
48161,48162
37357,2258
48169,9989
10227,513
48232,2938
44510,21732
84,43307
48397,48398
48405,25185
48462,554
7916,27513
48566,9989
42004,6510
48673,28404
48687,6280
48706,48707
46868,46867
3851,1445
48760,33038
48844,3928
33851,48883
48949,48950
48996,21519
17816,29250
49021,20230
18555,18554
49038,49039
32272,1632
35579,49126
39945,31902
49162,49163
49164,76
49222,38689
41751,49250
49256,49257
31751,1632
31288,1136
49281,7914
49313,49314
49328,1282
36318,6886
49382,1873
10038,4394
48446,12121
16563,2962
49452,44733
43311,1941
84,26877
32472,5810
49474,49475
49481,49482
49494,13623
38246,49501
49523,976
2606,1107
34065,29605
49403,4473
25202,11245
4951,4950
49703,2758
84,6034
49742,49743
45118,2758
12132,4496
49836,49837
48815,5968
1963,30801
44196,13124
49876,3889
13253,13252
49903,4158
33359,33360
27761,1790
25599,5947
42641,42640
49985,16568
28405,28404
50009,50010
2581,4285
50102,513
40748,4252
17156,1762
28653,13623
50152,50153
50229,50230
50235,1136
50236,4262
9654,1136
50268,50269
50287,3889
50311,2660
41451,1550
50340,50341
726,2784
39077,39076
50495,161
44459,50509
50514,14352
38945,1136
40756,21863
14007,8219
13786,36209
14021,1136
48309,33167
16143,50712
50713,22330
50716,1632
50731,29173
50772,14708
12366,1790
48973,28466
50839,4232
50843,25545
50850,50851
27736,2962
33604,33605
50889,50890
50939,14208
21436,5571
51000,51001
51006,51007
5313,2302
6961,2784
42958,1136
46067,7724
22583,22582
51057,6641
38036,27752
37656,1632
51110,1136
36238,6775
36706,6886
51143,13036
51155,9702
32268,32267
51184,14064
29361,1136
47236,47235
28705,14051
51285,25756
8327,7387
30334,28353
16319,16318
51325,18257
51334,21519
51345,51346
14104,14103
51357,51358
45228,45227
47359,1005
51367,51368
9658,9657
2581,4394
51447,1005
51455,28634
2114,2115
1963,26978
8460,1136
41329,2962
51551,76
45832,36512
51656,2938
20785,36731
31666,31665
40363,30307
49118,46132
6491,6490
51790,2962
11684,11683
51797,24556
51808,51809
51810,31588
51813,51814
7821,28656
11545,11544
29625,3677
51901,5169
51801,51800
51914,7180
1035,38541
51951,1445
41374,51959
51963,35606
51965,33048
25378,1632
52013,52014
52033,1632
48954,985
52078,41373
52083,18260
52120,25545
13265,52135
29749,2568
32990,1136
9503,9502
52170,2758
52173,4232
52174,52175
24594,14825
34364,13470
52076,10947
22183,868
31928,10947
49405,2568
52350,7523
52367,12747
26195,9943
37351,3404
84,10611
52428,12129
2821,16309
4474,4473
52313,45941
18901,30655
42664,10947
21172,19591
52527,52528
26224,1136
42287,33704
52535,52536
4252,39617
52572,13224
52587,17812
52634,1005
52647,4158
52670,52671
5027,5028
29613,29614
24186,24185
52828,8790
52837,6108
19660,627
47000,9165
52912,40917
2516,1550
5313,30041
34816,52952
33757,33758
27872,8096
40505,3072
51743,51742
16288,34301
39197,8244
53074,7769
53085,18661
53092,53093
8012,53105
48675,976
10721,9989
53156,9989
53173,35859
53188,53189
53191,2521
1790,6539
3778,39846
44751,53340
29006,268
53380,51818
726,12680
53398,53399
1963,17221
53427,31880
20816,20815
53444,868
53453,13124
53459,35578
53461,53462
33457,1136
8406,8407
53487,53488
12517,1463
37359,31403
84,8114
53564,1762
53584,2540
37684,37685
20760,16179
10760,15334
14928,1445
53629,33704
53632,53633
53638,2938
9249,9250
47633,6158
53667,53668
36714,1445
53685,30880
36906,2938
5313,37865
14083,14082
2581,1138
53771,6641
2376,53774
21497,23754
9784,868
51265,1632
10645,10646
48379,48378
53952,53953
53967,53968
53971,4158
53981,16374
5324,2205
53990,12129
12875,2521
54031,868
15374,15375
54041,54042
54043,7490
5313,54108
54113,54114
30464,1632
22491,1445
54177,26591
13114,13113
54189,50153
54190,54191
20048,20047
7916,23335
54258,5947
20760,41506
54284,4249
54295,1632
13210,16536
52691,1136
7760,3907
84,25245
54401,54402
54406,54407
46925,8244
50808,9989
32191,27155
10676,10677
52558,52559
29760,1136
23213,2240
17353,985
54570,30880
17383,3677
1874,5947
12680,1873
37855,5947
44971,1445
54645,40684
84,83
48550,10451
54722,1762
32174,3458
54757,53223
51987,12559
54804,1136
54832,1136
54862,25482
54924,12747
54930,15117
54946,2240
84,25599
27599,10605
33843,8013
1963,4158
28413,28412
31115,31116
55026,9545
55031,54402
1945,5947
55050,55051
25599,31200
55111,14499
55116,55117
46592,1136
4252,6302
55128,7523
12730,16031
17348,17347
14098,627
9053,268
55221,1136
42303,39507
510,509
55261,12879
37005,37004
33979,4448
55299,55300
28432,538
55318,18094
31220,53565
55320,55321
55348,55349
43419,43418
55383,5571
32963,18965
5313,14552
18569,53968
55395,29860
16310,16309
55414,55415
55422,3889
39231,6297
26109,7387
1138,4158
43237,6641
55482,6108
55501,12959
55549,29605
84,34818
514,513
55606,55607
52292,52291
36638,31855
55628,55629
7618,34618
12655,12654
84,672
43191,43190
27198,27155
51598,20943
11302,11301
55706,55707
1874,2277
52236,14082
55712,55713
18703,1445
16518,11034
55806,10947
10325,3053
14304,14305
53089,2962
24803,268
16569,30880
8890,23860
26827,3771
10726,1045
39178,3771
56124,4473
29602,29601
43530,7769
56167,10437
16745,2457
16288,56181
56184,41708
56206,45606
56221,56222
56263,9165
21223,9397
53208,52459
56274,868
48954,9989
56304,10482
41594,41595
30308,30307
56314,8417
56355,3458
2516,12378
44956,44955
54085,4252
19767,12591
56457,10482
56489,56490
56498,36731
55759,1136
46539,4262
5313,28398
56538,16073
53062,22330
49849,49848
45098,1445
41448,41449
56588,56589
24557,24556
3562,1632
56621,32823
29993,14233
56642,1463
56647,30307
56658,6641
7916,5947
31956,1790
56713,7000
56724,4496
9786,1873
726,46431
56758,4262
51341,31369
23051,23052
50482,6542
84,14575
56859,56860
17291,4232
18901,18902
56919,10437
28249,1045
56930,56931
56936,2758
19644,40044
1138,6302
4900,28616
57006,76
40662,21519
57054,57055
57073,25655
57078,18931
16277,16278
13117,10994
57145,10664
57148,1873
41978,10451
38296,1136
1449,40917
29315,29314
57226,33167
57248,9165
84,16069
57270,57271
32520,35038
42510,22882
24421,11520
48981,985
57353,8244
2390,14051
57365,13252
24599,1136
28750,1445
24885,24886
57456,10482
57508,57509
46940,14996
57541,25545
57547,2938
24573,6158
1790,57573
36581,22996
10438,10437
57627,45606
57641,20222
726,37855
2541,2540
4252,1632
41753,41752
25598,4252
84,33676
35104,2962
52861,33167
57794,1632
57843,798
56714,24695
19625,6641
52680,910
51342,19129
20139,16309
27246,23502
19453,268
40774,2521
57976,24617
6961,57984
53448,12747
54257,54256
43751,52978
58026,29554
1963,45117
58112,37004
55186,55185
58117,58118
26068,30842
58150,58151
58156,23381
84,6302
58208,58209
29204,22996
58229,1136
22835,6829
58235,3458
58276,5028
22096,31880
34507,2428
35583,6108
54198,8244
21701,21700
32250,14305
58377,6108
38786,10482
12730,9659
47710,47711
58432,16747
18569,58434
58439,58440
53590,37759
58443,58444
58454,17812
31916,3677
1138,1136
31476,31475
58480,1445
36634,2521
17100,39048
58491,1445
3219,268
14062,14061
19552,1631
84,39617
58564,23189
20808,4992
1948,1947
6509,6510
3206,3207
58607,16278
36634,4232
16268,9446
58661,58662
58666,34543
53686,46572
55557,26298
57139,57138
22973,6108
3234,1873
26576,26575
1874,1873
58765,36203
51214,1873
53226,53225
52987,1632
6344,6343
46019,1136
58925,20154
27086,2240
54649,54648
11261,11260
84,16945
59033,5947
26485,35845
22221,20702
3096,1136
21173,13667
13151,13150
17050,17049
19877,52382
59209,59210
10202,10201
46124,10163
25004,8784
36412,4675
59278,54659
39791,39790
26374,16374
49759,1136
46421,42384
15142,15141
32602,32601
2271,1136
59388,4473
38122,38121
14698,9250
5413,59429
59451,59452
8034,16536
59475,57645
59487,967
59492,35606
59516,1136
9043,1631
5366,1632
59551,59552
59581,59582
56141,1045
59592,51007
59637,50341
14378,15334
84,27149
14331,14330
59665,1005
59682,1445
13397,3677
1006,1005
44894,11790
59756,28863
59757,59758
84,59800
23715,47048
59804,31588
23371,3095
42615,42614
16288,16287
2475,1445
22894,8135
53348,53347
46876,11932
59897,10163
20760,45185
36981,36980
18542,18541
3586,3587
57646,57645
46855,20943
54041,57583
60004,3133
60008,60009
54121,50010
60013,3613
60015,40716
11575,49085
10038,14051
17563,627
57412,9199
51532,36209
60059,24610
4494,4493
60075,33616
60089,1445
14519,40904
2606,12378
60145,26860
13757,13758
60169,16278
5946,5067
5442,1071
60181,60182
5406,5407
3938,12378
10454,10453
37697,37698
21196,21195
13617,13616
28183,6158
60255,10664
60278,3015
30464,4158
57173,55745
2581,4516
42615,52771
60329,6886
40199,12959
3959,1873
84,33953
50907,10482
15827,7627
52134,55792
15075,47483
60484,17812
3770,3771
50046,23502
56358,33476
60548,60549
60556,33704
16775,16776
60572,2521
336,335
8886,1136
17166,14082
30132,2758
60642,1632
23002,45968
60647,36628
60673,55847
11682,627
60684,60685
42985,49070
60692,59079
60695,8269
34512,14103
60807,868
35797,28265
60872,20211
33596,13226
60881,60882
60920,36203
18486,32903
19204,1005
60956,60957
60992,7914
35337,6510
5324,1873
61030,20693
42425,6641
61048,8617
61054,61055
61056,32152
47589,22330
40505,12129
7916,4090
84,803
22124,22123
53270,1631
48806,4158
53992,53991
19201,10833
23503,23502
47960,47959
5953,3815
30324,24695
41253,9989
61331,35670
39377,3650
61359,56931
7916,5067
2085,2084
61397,22330
60039,9446
55043,554
35728,22479
61504,61505
4525,4524
15827,14330
61565,967
61574,1005
16579,11301
49806,49805
61663,61664
61670,5815
6052,45599
61686,15127
40945,22763
50474,8617
58661,33010
61719,61720
9729,10833
61726,1445
10660,38392
1963,6302
61749,61750
1456,1136
35456,8617
61768,33100
1632,1631
61785,29605
61795,1632
61800,61801
61813,4262
61821,4496
61825,61826
32563,10451
38809,38808
20774,61859
7154,1445
61886,3928
14027,14028
3943,3942
11668,1632
8120,8121
54989,1873
47748,1005
38493,22882
30656,30655
8721,1873
5313,61959
60561,1445
61982,4473
61997,2240
52919,3889
62020,868
62028,40123
62031,62032
62048,49530
48200,54823
51819,51818
62106,47048
62137,56957
57059,45685
26326,26325
42180,1136
18105,18104
62178,4262
50838,50837
62220,62221
3926,62234
61113,3677
20667,20666
48207,48206
84,62285
2094,2093
50346,50345
84,2157
47302,9702
49253,49252
17610,17611
14709,14708
22480,22479
62367,8550
61034,14082
62419,12747
2554,8096
8890,29250
11737,11736
19642,18260
42062,1136
17130,13623
62503,19591
56951,4262
60819,17049
1963,28499
17661,1136
11476,1445
7916,1632
50897,50896
46457,3458
16569,39364
34741,62649
41707,59429
16301,6641
31553,24556
11083,11082
47853,21163
25174,513
55393,40834
54766,4312
62752,4496
62767,62768
62789,61543
23190,23189
9416,1136
40828,40827
62847,1445
2390,1136
62853,62854
62856,798
54909,2938
35723,4032
1874,17473
62888,6297
58752,1005
3938,2737
10449,19129
8192,1136
62813,2428
28374,33807
63001,1445
60496,7769
1736,20971
34170,1632
63123,38213
48566,985
63168,26860
63176,63177
44093,6641
2013,53953
59744,1445
63192,63193
33255,15643
4252,4158
58953,627
63237,13124
2606,5947
4252,798
13373,32150
63272,63273
52134,52133
63283,63284
20019,63316
4674,4675
25043,4347
30014,3677
84,63369
24661,1136
63377,63378
63379,63380
8551,8550
4252,23335
57785,57784
23114,13374
4252,5947
13728,1136
63434,47851
40348,1136
899,1873
33851,20534
63484,63485
18452,6158
5406,51734
39235,59369
10917,10916
46133,46132
63505,46117
2759,2758
52302,16374
63560,63561
63571,9630
63573,976
52660,868
53331,63615
63628,63629
63132,6297
15128,15127
63670,6542
15474,268
9984,2938
63675,63676
63678,798
58282,4032
53497,4262
17330,17329
17282,335
16363,1941
58577,58576
63726,15800
63730,10482
27296,3921
52595,3677
63782,1445
63800,18661
41710,41709
17698,13226
57863,10122
63864,20761
63871,1445
63873,76
32298,32297
19736,19735
56425,1005
55130,55129
84,63931
63935,63936
47285,5947
31108,7769
49361,2758
23950,32823
14065,14064
2821,798
45139,30307
64020,64021
25922,12412
11019,3942
64066,34585
57856,8550
64071,64072
36632,16536
42942,976
22145,22146
58625,2660
13773,14177
429,428
47719,40716
62859,62880
11682,1631
15935,15934
64126,64127
14098,1873
63338,1045
64144,5968
64151,49126
42892,1136
64162,10453
64168,58440
13221,76
64216,3458
34540,34539
36603,36602
29481,29482
29330,45517
59080,59079
64325,64326
61447,56875
7916,5356
64353,1045
31882,31881
34992,10163
56242,20425
64394,44219
51740,15074
64466,64467
22273,4232
43747,3095
64497,11932
84,12378
56179,40767
64511,64512
57850,58873
44506,44505
61930,61929
46669,31369
32446,13036
64588,64589
35063,2660
64592,54823
