athleteplaysinleague_1,athleteplaysinleague_2
19937,1001
68981,342
4539,1001
24701,1001
6667,1001
23530,1001
26077,257
50658,257
31373,1001
8396,1001
36640,604
21164,1001
33059,342
25860,1001
40924,1001
31463,1001
18479,1001
16244,1001
29246,257
5779,1001
23735,1001
20322,1001
33675,342
33276,1001
34186,1001
26494,1001
28302,1001
38159,257
21043,1001
69630,1001
69752,342
10441,1001
20297,1001
55083,342
13316,1001
15244,1001
17734,257
48217,257
6901,257
66384,1001
39423,1001
9405,1001
11133,1001
1842,1001
16905,1001
8155,5986
31298,342
31943,257
46534,5986
17502,1001
34476,1001
53775,1001
22154,1001
16086,1001
12306,257
35108,342
48838,342
37458,1001
16445,342
17066,1001
14254,1001
7533,257
34842,1001
70469,342
38294,257
32731,342
15868,257
58531,1001
2331,1001
41862,1001
38138,257
19624,1001
28378,342
21038,342
21994,342
23943,257
11126,257
20378,257
9603,257
14645,1001
48055,1001
57480,257
15111,1001
53518,1001
34472,1001
6381,1001
46966,1001
71069,342
1106,1001
36222,1001
14373,1001
48672,604
41446,604
60734,1001
48774,1001
71294,342
5839,1001
9845,1001
2471,257
64367,1001
35973,1001
41863,1001
9693,1001
54727,342
28785,1001
22686,1001
20161,1001
45392,1001
39580,342
16721,1001
42909,342
24072,1001
8718,342
61316,1001
38853,1001
12721,342
37768,1001
35760,1001
9197,1001
26752,257
19116,1001
6482,257
32484,1001
10489,1001
19588,342
21821,342
45961,257
12266,1001
38276,257
38587,1001
31791,1001
34779,1001
50549,342
37201,1001
18384,257
27747,257
34578,1001
56798,1001
12599,1001
18109,5986
13669,1001
35430,342
59453,257
21034,1001
942,257
53733,342
2869,257
40922,342
31988,1001
1812,342
63664,257
64474,1001
5579,257
53104,1001
72575,342
33664,1001
30783,342
51051,257
1820,1001
41769,1001
55508,257
28771,1001
22506,1001
25558,1001
42306,1001
5620,1001
16627,1001
3958,342
10713,604
26088,257
15903,1001
14344,1001
9100,257
67521,342
51794,1001
51974,1001
34882,257
27160,1001
88,257
57119,257
8198,1001
27044,1001
31629,1001
18639,1001
755,1001
17244,342
51505,342
42811,1001
8591,342
28733,1001
59468,342
30039,1001
46901,257
51537,257
18681,342
646,1001
63650,257
55495,1001
28774,1001
28090,1001
23263,1001
2856,1001
27621,257
5545,342
52255,342
34023,257
18602,1001
15920,1001
3963,342
9527,1001
14365,257
20690,1001
39503,1001
38333,1001
20464,1001
49506,257
46450,1001
12047,604
2647,1001
30796,342
17195,257
14045,1001
17198,1001
42251,342
29778,1001
37260,1001
25565,257
5024,1001
59803,342
46251,342
20988,1001
41418,342
44381,257
48849,5986
11988,257
5036,1001
5098,1001
64790,1001
35078,257
22252,1001
14267,1001
64859,342
26152,1001
7294,342
46918,1001
33119,257
22887,1001
73185,342
63908,604
29996,257
74020,342
24671,1001
15177,1001
44325,342
23404,342
9099,257
23570,257
33651,1001
40645,1001
39003,1001
40878,1001
11986,257
38207,1001
54843,1001
22828,1001
66507,342
23864,1001
15754,1001
24778,1001
2171,1001
66359,1001
21411,1001
31703,1001
46967,257
43565,1001
34960,604
9328,1001
16822,1001
21726,1001
35596,257
65676,257
39082,342
74475,342
57535,342
3759,257
13827,1001
40551,1001
2352,1001
20627,342
44579,1001
30060,1001
46804,257
7751,1001
21275,1001
51009,1001
12086,257
9475,1001
27085,1001
2974,1001
27308,1001
39740,342
20907,1001
66244,342
2006,1001
37100,257
46074,257
24334,342
13641,1001
62570,1001
23948,1001
11106,1001
6866,257
29702,342
62622,1001
37731,257
21442,1001
12643,342
34008,1001
60508,1001
28729,257
54330,1001
47572,1001
28275,257
36708,1001
48714,1001
41035,1001
12206,1001
10617,342
61724,257
19170,604
33911,1001
31505,1001
22500,1001
18093,1001
21460,342
24448,1001
8832,342
38712,1001
72687,1001
29841,1001
32403,1001
44710,1001
74924,342
14466,257
12399,1001
53532,1001
49324,604
35026,1001
8530,257
38467,257
35106,1001
10886,1001
14380,1001
33930,1001
31945,1001
3020,1001
29755,1001
56869,1001
23333,257
17338,342
15159,1001
46976,1001
25433,1001
31963,257
59813,342
47771,1001
45051,1001
31222,1001
19576,1001
704,342
10594,1001
38355,1001
6675,342
1212,257
39400,342
12388,1001
72966,342
33916,1001
2196,257
25788,257
1384,1001
20217,257
39468,1001
54501,342
26196,1001
44245,1001
15824,1001
18828,257
18409,257
16035,257
45464,1001
57361,1001
11076,342
1115,1001
41894,342
33870,1001
45757,1001
22164,342
44545,1001
65712,1001
22202,342
56837,1001
8958,1001
62981,257
33650,1001
61153,1001
39136,1001
28331,342
36560,1001
63543,342
27422,1001
19351,257
37927,1001
72078,342
43510,1001
41790,1001
72786,342
49171,1001
27425,1001
44640,257
6876,1001
69596,257
10274,1001
45207,1001
7080,1001
61914,257
17424,257
20021,1001
37749,342
21167,342
4420,1001
10962,342
17155,342
17210,342
25797,1001
11810,1001
29336,1001
2507,342
3794,1001
67144,342
3435,1001
26695,1001
22294,342
125,1001
24533,1001
69475,257
27666,1001
49897,257
44648,604
17226,342
7300,257
53516,1001
14710,1001
13004,1001
13512,1001
19098,257
26028,1001
22381,1001
6926,342
1554,342
15766,342
58958,604
37695,1001
15724,1001
58669,1001
16249,1001
65147,342
31207,1001
1112,342
75485,342
72058,342
9261,1001
12521,1001
7360,342
22878,1001
47163,342
63996,342
52027,2986
74611,342
28846,342
