academicprogramatuniversity_1,academicprogramatuniversity_2
31371,439
31600,439
5843,619
31700,439
31829,439
31893,439
32303,439
573,6468
32373,32374
7230,2525
32416,439
5843,439
32589,439
9909,439
32924,188
32946,439
33307,439
1594,1751
33719,439
33739,439
18880,2525
34470,439
3580,439
30431,619
12664,2525
34729,439
573,34761
1594,17605
10877,188
16422,439
11396,439
1594,35327
32438,439
35527,439
35532,2525
927,35701
35724,439
35744,439
28351,439
36174,439
34753,439
36286,36287
36345,439
573,36555
36951,439
573,9770
12801,8438
37046,439
37336,2525
37405,439
12211,2525
469,439
37551,439
1594,14509
37722,188
10114,188
23330,439
38105,439
5056,7622
3830,439
38636,619
38645,439
38647,439
11011,2525
4029,39023
39399,439
39657,439
25435,2525
16232,2525
10445,188
34753,2525
12801,1461
39952,439
40025,188
40033,188
40053,188
9201,13650
40347,2525
18088,439
40652,439
2524,439
573,40889
41097,439
41302,2525
41341,439
22493,439
41570,439
21518,439
18535,41658
41711,439
1594,928
41861,619
21607,41890
31829,1751
10801,439
33867,188
42230,439
5566,13650
42313,439
25306,439
42823,439
573,42919
43028,439
43040,439
573,11954
33867,23602
13838,188
43657,439
43706,439
43941,439
39802,439
38097,439
44193,439
44302,439
41771,439
41290,439
44454,2525
22803,439
25319,439
40025,439
32924,439
44804,439
27444,439
34092,34091
38236,439
45233,439
45252,439
45294,439
29228,439
40891,2525
573,24927
573,14275
534,439
5056,25850
45799,188
45827,439
45829,188
28586,1751
17141,2525
9600,188
30107,2525
5056,21130
46083,46084
3289,439
9201,39748
46501,439
46697,439
339,439
17466,439
16232,34985
46931,439
21607,17168
47017,439
23330,1751
5335,188
573,47386
47424,2525
28029,439
5843,17168
9201,19485
573,10716
573,2525
47888,439
16300,439
27444,2525
28776,17605
48142,439
5843,48153
48226,439
5306,439
6362,30641
48369,439
9333,439
48436,439
4029,48455
4029,13650
2891,439
22639,188
48620,439
43463,439
10445,43027
37719,188
37897,439
49364,2525
39397,439
1902,1751
40233,439
49578,439
42713,439
49640,439
9201,188
49058,439
50171,439
50188,188
35532,439
10969,188
50265,188
50276,619
23078,439
573,50376
50506,439
23122,2525
927,43057
3899,188
11841,1751
10652,619
573,439
49881,439
51197,2525
5829,2525
41878,439
51403,439
11841,439
51563,2525
51687,439
51710,439
32698,439
44454,439
51836,439
8372,439
52338,439
11655,439
29386,439
31491,2525
5056,17168
38636,188
52602,439
52631,2525
573,52645
21841,188
52792,439
17048,2525
53005,439
5056,53037
53121,439
30975,439
23993,439
53342,439
36844,439
53514,439
13417,439
53555,188
53579,439
53752,439
53783,439
29735,439
2529,2525
24540,2525
5862,439
4471,2525
573,19586
31829,188
17466,2525
54128,439
54156,439
5056,49961
29386,2525
47655,188
54387,439
54490,439
54517,439
573,54522
54538,439
32231,439
9201,14509
51612,439
54892,439
573,35327
16904,439
10370,188
55000,439
30815,439
42710,439
55112,439
5566,439
55347,439
2891,2525
55428,439
39771,439
19324,2525
24045,439
26289,2525
55681,439
10652,439
55724,439
44939,439
35088,439
8633,2525
55846,439
44204,3252
48369,188
45868,439
56382,439
573,188
56403,439
4125,188
543,2525
13484,439
573,11943
16253,188
15367,2525
14449,2525
24017,439
543,14509
45829,439
57155,439
573,57252
31829,2525
25502,439
927,1751
573,38687
42423,439
40891,439
25730,14395
10445,33894
57831,439
38070,439
57902,439
57946,439
30107,439
58110,439
5056,41496
11398,439
58301,439
5829,3252
58340,439
58403,439
58418,439
573,58441
5056,49764
55612,439
35724,619
58104,2525
29442,188
58729,439
573,20750
17335,4209
50391,188
10682,2525
573,3503
23122,188
59423,439
39035,439
27726,439
30431,439
59611,439
1594,8438
5306,188
58083,439
31832,439
10652,2525
1594,19338
23830,23829
41861,439
43506,2525
33867,2525
18303,2525
11961,2525
28351,45093
24127,439
60448,439
7688,188
19049,619
573,30458
34673,5842
1487,439
1902,439
60659,439
60710,439
1594,23602
22803,2525
60784,60785
573,9208
34380,439
21841,2525
60998,439
45980,439
23122,61019
38141,439
10652,8438
32943,188
5056,54573
16232,51426
61373,439
22309,188
573,17432
61526,439
19833,8438
4029,15402
47471,439
12801,188
737,439
31832,2525
1101,439
10653,188
927,16227
17466,9770
5828,439
21243,439
52554,439
28923,188
1594,2525
10445,15069
11841,13650
59411,439
16253,439
5843,54100
51523,439
8372,2525
4210,439
6362,26470
62701,439
49364,439
23122,57220
4029,2525
37719,43677
52344,188
63286,439
7230,439
43463,619
39241,439
22240,439
13223,2525
4887,188
11841,188
63432,439
32943,439
14683,439
28574,188
10682,439
573,53660
41302,439
21607,5842
63603,439
41205,2525
12488,2525
26495,13650
5358,439
573,1461
573,23779
56160,439
63945,439
48166,439
37651,439
63993,439
10652,3252
927,23172
63179,2525
15975,439
50391,439
22910,619
4134,2525
23830,30900
50031,2525
10445,17168
64918,439
64936,439
573,54127
20216,188
58586,439
51708,51707
13680,188
10652,42843
25647,439
65453,439
65483,439
14975,188
60968,439
13838,57986
49074,2525
65686,439
21607,2525
20216,439
22493,2525
573,2146
31028,2525
10653,439
28495,2525
65878,439
43115,188
534,2525
1594,439
4210,188
31893,188
573,22745
543,23172
10445,8438
28769,188
23330,2525
58104,439
6976,2525
32331,439
60242,439
61928,439
26477,439
32943,2525
27678,2525
63054,439
66505,439
37527,2525
38594,439
25580,188
66606,439
14975,2525
4029,8438
36436,439
65459,439
573,17605
15865,2525
66944,439
15468,439
60016,619
32380,188
4029,5880
60938,439
25435,439
1902,16227
58526,439
51464,439
23284,439
20714,439
4029,1649
28351,188
30727,619
10652,29290
55433,439
31832,188
12801,2525
53176,2525
67463,439
49270,439
42897,439
10682,17467
55490,439
573,14574
1594,9200
6362,188
67700,439
2529,188
24540,439
67750,439
573,15213
43013,439
67768,439
573,47681
23330,52809
10431,619
67925,439
4029,3252
41930,439
1594,14626
6717,439
68020,439
6362,68044
573,11846
68086,439
25580,439
59486,439
51708,439
61057,439
53048,439
27030,439
5489,439
58759,2525
68291,439
10652,23172
24540,188
68373,439
47482,439
68408,439
62095,439
49074,188
68486,439
9187,64980
60401,439
927,68533
52267,2525
23410,439
573,26174
68570,439
68649,439
53912,439
927,52286
60784,439
1594,27411
68818,439
68822,439
62606,188
13838,17168
10431,439
5335,2525
44071,439
33867,439
23122,439
10652,188
69152,2525
33304,439
4029,188
10445,3252
27556,439
17092,439
5829,69250
28776,188
65051,15402
10652,1751
32698,2525
14763,439
21518,2525
69389,439
16878,188
69449,2525
18984,439
66755,439
54701,188
31910,439
43115,439
32698,188
22493,188
32937,188
31539,439
5056,439
69643,439
10431,2525
573,1751
573,12269
69058,439
16253,5326
22233,439
69807,439
34729,188
66563,439
41054,439
65490,439
13990,2525
42313,188
6362,2525
66216,439
17141,439
5829,439
57165,439
37621,439
10445,16227
42288,188
5828,188
11228,188
53512,439
1594,12269
927,50864
13967,439
440,439
10652,17168
32982,188
618,439
70386,2525
54652,188
70410,439
25498,439
34673,619
927,60466
5829,29290
11011,439
5056,32135
50692,439
4029,14395
573,50927
543,8438
5056,3252
33739,188
12801,5326
7337,439
574,2525
16253,14395
10653,2525
40742,439
31029,439
63202,439
23830,439
14986,439
33867,55462
8633,439
1594,25850
21841,439
36740,439
44002,439
19833,2525
24933,439
26561,439
57561,439
44454,188
40291,439
25502,188
71297,439
21607,9770
53555,439
18477,439
63584,439
44204,439
6851,439
71421,439
20250,439
25231,439
44647,439
14683,2525
927,188
6362,27411
4029,6468
5566,12269
573,13650
41972,439
49166,439
39802,8438
4029,619
71745,439
4793,439
5829,14395
71781,439
41205,439
41705,41704
33373,439
41749,188
5056,2525
32937,439
30485,439
1594,5326
27051,188
34821,439
573,13057
5828,2525
5828,5326
17092,188
64461,439
29228,14509
26078,2525
72170,439
44972,439
27134,439
15426,439
16253,17532
12356,188
13595,188
72373,439
9187,8438
5829,17605
38636,439
30107,619
6362,439
4747,439
543,188
13223,188
72521,439
72528,439
21607,26611
72574,439
72607,439
72635,439
52600,439
574,619
57707,439
49037,439
1594,53037
11803,439
58653,439
17862,439
62606,439
57854,439
46759,439
49484,439
25993,2525
65340,439
28923,3252
54652,439
20216,2525
9520,188
73030,439
66755,188
5334,439
33469,439
73103,439
38708,439
16529,188
46344,2525
23993,188
17545,619
73127,439
573,56474
927,439
26495,439
14449,188
573,48974
6362,17168
19582,439
19582,2525
23597,439
16253,2525
66764,2525
40533,439
73338,439
71767,439
30107,188
573,56485
54055,188
23078,2525
2529,1751
16878,439
21254,439
573,19356
12914,439
64594,619
19582,188
5071,439
73551,2525
69024,439
42288,439
65787,439
40173,188
5056,66839
49131,439
19248,439
34673,439
38636,14275
10370,439
42390,439
44647,188
29228,2525
1594,4209
33937,439
573,73726
52164,439
38594,38593
1594,53660
73804,439
73827,439
73844,439
10068,2525
27678,439
34753,188
4029,73891
53001,439
67664,439
37028,2525
41972,2525
14449,439
42713,188
28586,439
18535,439
39802,188
60723,439
25571,439
573,32135
74005,439
18535,31894
2484,2525
54974,439
50698,188
69216,439
5056,22007
44917,439
44204,188
10732,2525
29228,188
2891,188
9615,619
49389,439
73203,439
74235,439
50698,439
74282,439
573,50441
13698,439
37722,439
32373,439
11841,50264
64045,439
13838,28327
23925,2525
1594,74415
71650,439
5335,439
19626,619
24005,2525
27631,2525
25993,439
13680,439
60419,439
52270,439
42440,439
13417,2525
1902,188
1594,57953
25580,19356
11655,2525
5071,188
68249,2525
64920,439
10801,2525
26495,188
11516,439
34812,439
32982,439
57911,439
63202,188
32370,2525
41861,2525
26143,439
32380,439
72619,439
74755,439
60938,188
68980,439
14449,8438
10652,14261
26561,2525
4029,17467
50266,439
5843,5842
10682,9770
23078,14509
6362,1751
74872,439
60016,439
10653,1751
72311,439
74481,439
18303,188
10445,70906
37719,439
4029,16530
74929,439
35124,439
62493,439
14975,439
10445,439
39577,439
54587,188
68166,439
74976,439
30155,439
9187,188
9201,8438
573,14509
52704,439
11228,439
74709,439
59979,439
5334,2525
9201,9200
39577,5842
23078,3252
4282,439
39577,619
49074,439
71214,188
34092,439
9909,2525
54983,439
74847,439
10652,928
543,53037
70364,439
27631,439
38485,439
16462,439
72765,439
67278,439
62757,439
60638,439
29450,439
1594,11943
68394,439
17545,439
2790,439
71013,439
47655,2525
75204,439
40173,439
26078,439
927,54710
10431,188
33116,439
9604,439
573,35811
75240,439
12356,2525
25730,439
573,51192
28574,439
53460,439
9201,439
60722,439
38097,188
3830,188
24005,439
27444,188
36286,439
50980,439
12322,439
9187,28281
5566,188
927,71853
58862,439
9187,439
16474,439
12356,439
48819,439
26287,439
7688,2525
4282,188
543,439
19833,439
62037,2525
10114,439
63435,439
927,34792
64544,439
55292,439
73940,439
71214,439
73287,439
21607,75296
52747,2525
573,72366
9496,2525
58931,439
60947,439
17545,2525
15865,439
72047,439
5056,8438
59750,439
7688,439
9201,17168
5566,619
57720,439
56586,439
32982,2525
74655,439
31970,439
574,439
9520,439
16186,16185
26477,188
66080,439
63126,439
28128,439
41836,439
13838,28884
32373,188
73030,188
48369,2525
11228,53037
5781,439
16529,439
69456,188
73103,619
11228,8438
74891,439
32373,2525
573,3252
1594,25700
5828,17467
75416,439
4029,5842
11319,188
57775,439
5056,6784
6362,75032
28932,439
32331,2525
71477,439
573,41186
1594,188
19626,188
10898,439
74026,439
58319,439
1594,14701
75472,439
23078,188
11319,439
5056,27411
58777,439
59597,439
9615,439
1594,39748
5056,57953
5829,8438
48962,439
73708,439
75279,439
8383,188
7047,439
10652,14395
40612,439
