cityliesonriver_inv_1,cityliesonriver_inv_2
5149,26782
55966,26763
56041,49730
46389,46388
8873,74
30973,2078
42466,9365
10694,133
2793,30273
10780,46627
56351,314
44562,56386
1388,53086
28907,56428
2608,29474
56515,26205
5230,56525
1388,38487
2156,3
313,49267
56686,2558
6497,22430
56853,11187
9006,3992
56887,944
28907,25980
7604,35891
2156,14704
57047,4978
4366,51161
15621,57196
1491,33962
1491,57216
25761,57263
2156,1421
25761,5994
18473,18472
53844,1134
4366,31633
33495,43823
3200,1855
40004,41065
57520,57521
22677,57527
2156,8543
57628,57629
24964,57696
35373,57713
57800,57713
19470,7368
26568,4826
53811,479
58010,58011
1388,30672
15621,31946
58214,3306
16280,3742
30148,3767
58317,58318
1388,3695
19504,58386
13119,7208
1491,29136
2156,5228
23663,22084
42730,58782
4100,12719
40969,31946
31392,21080
1388,14288
1388,23608
58899,10742
43841,22522
7412,21080
1491,58960
26039,48924
2156,58999
7249,40780
10694,55442
1388,59111
304,42617
4366,133
4339,55324
17791,17790
1491,3737
59302,59303
10987,14635
8216,42764
1388,27535
59396,59397
304,21477
17583,17582
56225,59523
24964,3950
1491,59656
1388,59659
59661,50696
23921,3695
52151,36778
7249,15140
42464,32947
4366,52784
1388,16270
18660,60149
7604,7426
29390,29389
60378,43602
9091,40021
14554,408
60477,60478
7249,22351
41935,17595
56225,5994
25010,60764
3611,56525
33190,44280
60700,1227
28692,45200
4339,60943
2156,13491
10694,51858
23663,34506
14707,61217
2156,7426
61268,61269
21666,21665
313,61275
16280,3992
6694,31113
40969,23169
61455,1124
4366,10711
26238,26237
10033,10032
2156,556
18090,51309
1491,61688
1125,31892
1506,36099
29617,40788
24320,57024
60002,60001
61853,42375
21500,21499
15253,250
45835,45834
1491,6882
40004,40003
10694,9581
49681,16461
6436,1020
8046,58831
4339,62338
10694,33779
2156,8047
62373,62374
4366,62393
62585,555
25761,62590
33585,1894
2156,42
19299,5127
15621,17089
17729,54715
1491,36297
62977,8296
10694,36673
8216,8215
3611,3610
56349,56348
19299,3897
2156,10367
10694,12705
63247,30004
19209,19208
22677,53113
22631,815
24306,14914
61268,63438
10193,26782
59668,12398
62585,57033
44562,46473
35127,1387
2156,133
2156,41609
5149,24939
50788,50787
30973,57060
1491,7220
4339,63677
21684,63709
2156,299
21691,63788
2156,3105
63942,63943
1491,24714
23663,63973
42729,2802
26380,21236
36404,64042
2156,859
4059,3742
1491,13100
2156,7057
8299,39050
64132,28765
56193,38194
12871,12870
313,54881
53825,52316
64290,28976
2156,914
31392,914
3611,51637
10694,2965
33428,114
3485,43871
4366,64598
2908,4310
3200,64297
10780,10779
23714,17744
19504,917
11513,46749
64761,64762
49607,64765
52017,18571
4273,54910
8046,29421
44389,23169
9006,64907
64938,1399
2156,50929
4366,42493
10780,16440
14910,9365
1388,65059
2156,1753
1388,52910
31171,4310
2156,3563
20782,20781
43080,611
65421,65422
1491,26563
65536,65537
1491,22994
2950,2949
1388,37632
23634,52079
32359,35353
65865,65866
1491,207
10694,6883
30977,3518
58988,38195
40004,59763
43577,29474
14044,14704
3611,24109
9006,39901
66296,66297
4366,59786
24060,36440
66391,66392
313,10503
8216,12870
1491,24870
1491,66531
17729,2862
23663,43922
18090,25802
66680,59200
27264,27263
62389,50397
31345,37431
66729,4575
55838,55837
37218,859
58664,10986
2156,2155
9006,44056
1388,16705
56636,35919
20743,32818
5149,8047
313,67064
38718,6994
29617,49723
4273,133
6497,6496
1388,17351
14910,18216
15621,67284
24752,8276
9204,6570
1388,7862
55009,55008
30344,41310
67390,38719
2156,555
39785,31504
1125,1124
2793,14289
67596,67597
17686,4575
35373,3737
4366,2078
67637,7413
313,67666
67707,39316
27265,8310
67726,67727
6791,25083
59668,59667
1388,2255
29606,250
20782,2935
4273,74
10780,458
20743,8310
3485,7084
15621,31113
3597,7220
1388,13013
67596,3639
43166,68151
9006,64203
68182,3423
7604,16411
27265,48315
8765,55445
2156,30672
51354,13310
68454,22141
1388,28823
1388,7135
67250,31775
313,27618
304,16628
23663,19510
2156,23206
1491,26763
4067,39339
25761,68698
46481,12951
34603,34602
3422,9417
4366,14914
5231,1668
4339,68852
48100,48099
1388,5948
6694,68984
313,41065
41389,1465
14044,14043
10780,9365
4366,47492
6791,1936
13119,30583
313,28743
6694,16193
25560,25559
9006,45159
3200,35879
4273,4272
27264,69372
4339,69373
10780,24352
20677,69435
6694,24485
49607,49606
69545,2219
18701,18700
15144,22428
34948,29636
39635,23741
18660,12719
21630,11551
36404,36403
30399,30398
20743,25262
1491,3563
6497,39308
69831,9500
69839,24870
14910,6379
4366,2802
5149,61620
29617,8215
10694,17744
52712,22084
26455,133
3570,3569
2156,3897
9006,4060
15253,8776
63648,21236
70140,17253
40004,44045
27500,27499
43577,70272
44907,17253
13074,4045
5128,31633
19484,70413
27265,69415
4273,14289
1388,70451
14554,2953
2156,5790
3200,70485
54462,6441
15253,2780
6436,414
52752,31457
1506,4408
1388,16370
60774,8258
27419,74
23663,47680
70679,20379
25010,65472
42730,70684
8765,2078
15621,66822
14910,70727
4366,45076
51395,14704
4529,60133
2156,1454
56443,20995
20677,7426
6694,250
9006,35840
70925,36918
9006,65563
2793,1421
71028,8614
1388,3790
3597,31251
2156,479
1388,19188
64264,64263
3200,67032
28907,19265
62500,250
36989,528
3200,51226
7249,69351
3768,59119
1388,15578
58722,58721
313,68867
11493,7906
313,53000
4162,4161
4366,10637
55009,71512
22005,3937
1388,20203
1491,2078
2156,26563
31266,1399
8376,40998
7604,2078
22005,28622
1388,58936
29522,12719
1388,46152
33879,56545
4366,26750
9204,15215
22677,20866
5149,71807
15253,16645
71391,71390
68956,14988
33366,694
6694,4099
1388,3869
1491,26193
25395,7792
2908,1049
15736,52485
6791,69957
4100,32691
8046,40122
1491,59373
37033,71356
31985,17268
4066,8647
31392,5474
37156,2740
304,10986
8299,8746
50500,6296
4366,72070
49303,528
23921,21392
25010,44516
25761,32424
19470,49770
1388,57697
54251,54250
67415,1490
11493,30792
1491,46351
4037,26415
72455,72456
26783,8047
2156,235
44129,3090
23663,50619
55730,61945
23663,72544
3570,4880
1491,72567
8046,27412
1388,1816
23663,27195
54831,54830
4529,1377
1491,48762
2793,52195
2793,3782
72749,26009
2156,3930
1388,7690
3611,36381
1491,32691
2156,27266
1506,1505
63077,63076
29254,74
58335,42764
8765,930
4100,36288
1388,73004
72572,12280
36710,8047
5149,67895
42729,6422
18074,20842
42730,41065
4366,23085
313,11265
73176,30614
15736,63145
73217,73218
2156,4499
60373,71322
2156,1876
1388,5718
1388,15595
1388,3210
5230,45800
15253,2078
22140,67963
8216,64297
46087,12641
1388,4561
2156,8592
7249,3115
2156,67446
6791,8531
60833,41153
313,68689
34283,29575
1388,2185
2156,2607
73617,73618
14910,14909
7249,8240
72289,7792
61455,73663
44562,14288
67225,9500
22005,73712
2156,17089
8376,72643
38416,38415
1491,52063
304,3189
73759,73760
9006,71569
3611,1668
4366,4880
53825,9962
34647,15285
18074,6330
31345,5121
17349,73787
17729,29680
4366,32935
17945,40077
6694,73820
11493,6422
1491,46497
52785,52784
70768,21066
60228,917
6497,46587
1491,67161
5230,60836
57883,4325
1491,26750
1388,27378
1388,341
1388,235
10639,47815
31985,4978
6436,73973
44155,44154
8865,8864
12871,16362
3661,3660
25395,54730
2156,17744
45822,24945
67390,48099
57468,66131
38416,54435
58631,12411
2793,63299
4366,10244
1388,72637
38439,16193
11493,65046
2156,57462
304,3880
19504,30778
21500,5086
10694,7650
6594,10641
1388,54910
36404,58485
37218,649
24964,22141
18074,27204
9006,54282
36941,27052
23663,32706
313,37228
4100,24677
313,13310
66480,15285
32447,30273
5236,57600
4273,6386
1388,3709
1491,1421
17945,39512
74404,70385
30466,30465
2156,26750
45059,8413
3570,460
42464,57554
2156,207
6018,45390
18660,33293
33289,18343
65491,34348
60373,22338
36849,4325
7604,50309
8765,30604
7178,4575
1491,1706
2793,27347
51354,49267
29410,7320
5128,5127
4366,34619
56686,2514
4100,60077
74721,74722
304,3833
57025,57024
21622,528
1388,70543
23663,66559
11552,11551
53980,6386
12871,17304
41264,45979
10694,72111
1388,39862
9006,35978
29276,29275
7108,7107
1491,2607
2608,133
72836,8047
6497,859
5149,69684
6594,36324
1388,62216
15621,1816
1388,29116
9204,73235
42730,60190
33754,61806
19299,914
71056,21585
5149,65816
74752,8864
29617,5874
34249,34248
2156,1079
43389,43388
2156,19960
13058,6698
20096,49267
55730,64086
44562,6883
4273,10503
21691,65772
4529,4528
23663,54548
25010,4310
75043,74
4366,25929
31266,9365
2793,6796
40823,40822
69962,69961
3200,1329
15736,28743
24175,1421
313,42373
1491,25411
75142,75143
52017,74495
71703,8047
7604,7603
30480,30479
16542,16541
6407,59881
21771,42598
1491,45163
73039,944
1388,1049
45863,3189
9006,19547
58899,4575
10987,10986
2156,8310
58988,12398
6497,556
2156,2760
39814,611
1491,8746
7604,74
19504,25623
48480,8045
1491,5615
1388,5658
4366,24345
4067,15760
8765,1124
56853,815
54889,1825
1125,28592
75332,63437
75333,24092
13074,341
6694,29136
25395,10032
1491,61624
15621,74257
33190,14262
16047,6386
53065,3201
313,62745
22677,33192
1491,75000
15038,13148
33428,14704
2156,2605
25395,53057
1491,10641
2156,3695
72430,3115
19299,8711
2156,2078
72717,21931
2156,53609
2156,19547
5230,1668
53065,24774
23663,58463
4366,19191
6791,11636
10694,15067
25526,62808
5210,4978
74098,28765
4100,6441
1491,250
34695,39998
2156,28480
313,18046
50500,565
4366,6882
2156,2163
6694,4408
8216,22084
30345,41310
2156,28622
45162,38641
4100,14837
10694,55881
1388,5773
25010,38199
2156,8647
2156,1916
26783,5681
22005,611
1388,460
28692,42
10033,5228
52151,1567
1388,46213
24752,3782
2156,1302
10193,8047
6407,49029
42730,12951
20743,20742
4366,16636
15253,39301
73723,25749
68765,68764
11493,62441
26039,17582
16941,9414
1491,1466
6694,36673
4366,14289
67381,27195
33289,11105
