chemicalistypeofchemical_inv_1,chemicalistypeofchemical_inv_2
570,44
16001,7926
3493,20145
4954,16868
1522,31112
7147,38700
9764,28731
721,36642
19867,389
31199,1231
7232,1468
21656,45
13170,1231
8402,45
468,6008
1468,65587
468,19384
110,4954
721,19216
16305,16304
389,4954
4669,7231
1468,47111
2725,1231
1468,41309
1522,4954
45,35594
1468,65976
65989,1468
3494,4954
66028,45
110,31546
1171,18355
722,721
1468,13170
1468,20341
18355,2725
570,14057
5088,1332
3741,1171
30935,1332
66175,1332
14849,1332
15700,20294
7147,5088
45279,3099
30936,4954
1171,20341
66376,1332
40129,1231
4411,1231
65976,1468
36061,8977
3541,38700
492,7843
1232,1231
7147,62330
65587,1468
570,3541
10495,9551
1171,27288
3411,1332
1468,47805
9244,1332
8906,3477
1522,389
7147,24363
3541,20843
3001,1231
721,1231
570,21656
14752,1468
10564,36642
1171,8402
1468,1170
7147,3412
31199,9551
9244,14752
110,3541
45,1171
7147,3385
34678,63737
13415,109
3411,26283
8978,67329
389,1522
9764,8977
3099,4670
20145,468
468,722
721,20341
50127,1231
468,1522
8906,1231
9551,4954
31112,389
468,665
1623,836
8978,18598
39334,109
31112,1522
570,569
569,4954
3411,7147
585,45
492,3190
570,7843
8906,3494
60076,1332
53778,1332
721,14057
66605,1332
15700,29180
721,47805
492,18650
25284,1332
110,12483
7231,3190
1171,22528
8742,389
4411,31199
8742,1468
721,468
468,21194
1623,18355
389,8906
721,20145
1623,3166
68138,492
721,3099
3099,1231
165,35977
44876,3099
1624,1231
51833,1231
14849,1231
7329,3741
969,1332
10564,29565
25405,1468
110,12603
3385,1468
13415,5088
45,14752
1171,5190
1468,569
15700,14849
110,9551
1171,1623
1468,64016
389,19867
32559,468
31112,1332
33225,1332
67109,1332
468,4625
7231,3493
3541,1468
492,34883
68658,1468
1623,586
1468,68658
468,8742
6832,1468
389,49774
7231,3477
467,4954
468,39098
570,10495
1468,24492
60076,1468
468,31112
3411,18355
1171,468
721,1332
492,36531
110,4412
468,492
7147,28212
721,12303
27300,1231
1171,6665
16001,16304
46989,1468
3411,28034
492,18355
37827,1332
45,569
1468,12176
39061,1332
29040,1231
492,13572
61476,1332
40129,1332
1468,61503
492,41173
570,4669
39054,1468
1468,9033
110,5303
165,5088
3541,1623
3493,18355
570,9244
3477,4954
1468,69789
7147,58338
1171,721
7147,166
1522,3741
1468,46989
3541,569
110,23367
14057,18355
16001,20843
1468,41974
7147,7231
110,20843
1171,44
19867,9551
5237,18355
1475,109
570,70094
570,7231
7232,7231
468,40650
44,45
1623,5190
9244,665
16307,7231
3411,3190
721,8977
110,22528
47185,1468
1468,14507
492,2725
19428,3477
8906,9258
34883,9551
1171,54197
4954,8742
47591,1468
721,16304
3411,468
468,15484
468,3741
3411,4795
1623,14443
1332,20341
389,11185
1171,47805
35420,1468
3411,31546
3541,10902
1468,1475
722,492
19428,13620
3493,468
492,3385
18055,45
70754,1332
165,4412
468,20251
1468,28034
1468,32263
30096,1332
60476,1332
31199,1332
721,586
389,45
1468,11097
7231,9551
2725,492
10564,8977
34698,7231
1468,56319
5868,7231
4795,166
165,1332
69223,109
3741,47111
3411,71194
468,1623
20719,8977
389,10478
1623,570
1332,40650
9546,3741
1468,44996
3741,1623
15700,45
1171,11185
1623,388
721,9551
5303,1332
19020,492
45,9551
492,8742
34698,1231
13620,389
45,1231
5303,24558
59290,1231
14371,1468
1171,1170
63737,1231
10430,20145
3541,721
1171,3575
467,1231
10564,12483
110,165
492,10495
3541,20151
3541,1332
51937,7231
15700,5088
7231,585
2256,45
7231,492
1623,29180
1623,31272
492,4954
7147,1332
4130,1332
492,18337
3541,3385
721,17101
3741,1522
24456,1231
62454,12483
7231,45336
110,109
3541,9551
1623,21656
9014,45934
64728,1332
165,7231
25553,389
35309,45
2256,570
721,18355
5868,1231
31199,492
25991,16304
722,9551
1468,4608
40753,492
2256,492
34678,1468
16001,72044
2576,19867
16001,28212
4670,585
570,14752
1468,16029
721,109
3541,4954
3741,18745
1171,16304
4795,12603
11185,1332
110,4035
8730,7231
7231,34883
45,3385
1623,3741
27300,1468
7843,492
19428,9244
4954,467
570,8742
18355,722
468,110
9244,1623
3541,33774
25553,1332
467,5088
61149,28034
492,4412
468,13354
4954,8402
4035,1468
37168,1468
3541,14849
110,3099
3541,6008
1623,49053
1468,1467
1468,57999
8906,1623
4670,492
721,2725
1468,51453
1623,18390
1171,570
52190,1468
16001,166
4795,16304
492,31199
14404,1231
7147,16304
7147,51018
1468,492
492,1231
14507,1468
570,13170
836,1623
42998,9551
7147,4035
1623,1171
721,4795
1468,3741
1623,7843
7231,19867
1623,9244
9244,389
3541,45
492,6008
60932,9551
3541,47805
2256,722
389,467
8978,8977
110,468
35689,1468
5303,4412
34883,7231
1468,1231
570,468
3541,8742
570,20251
4795,3385
3541,1231
19428,388
7843,1231
15700,1332
16305,31546
13325,1468
14057,492
1468,4954
9244,45
12176,388
7231,30387
4795,62330
492,20294
1468,26776
492,570
1171,20055
7843,722
15941,45
468,49774
10495,1231
1468,35420
492,13170
3099,3541
3099,492
4954,5237
30935,1468
40111,1231
8730,1468
468,18055
1468,39054
36531,722
1623,17101
8906,7231
50048,1468
492,24492
7147,73591
56021,492
1468,9258
3541,50755
28212,1468
45223,492
7147,3099
11097,389
70040,1332
1623,31465
1623,34883
7231,389
29435,1332
110,3385
43308,1332
4412,492
12303,9551
1623,7231
3099,3493
3575,9551
1468,585
585,4670
1171,3477
1623,722
9244,3190
1468,73835
165,57643
3541,3099
569,1332
110,7147
570,22331
1623,665
721,20609
1171,14057
1468,21605
1468,3190
389,7231
4021,1468
35594,1332
1522,73912
33330,9551
4954,3494
1623,569
1468,467
468,3494
7147,35594
1623,56021
110,3494
570,4670
4411,492
3411,7231
3411,31708
61119,33774
4954,1467
4954,1231
15908,468
570,13572
32263,1468
492,36331
7147,47805
14057,1332
16305,20843
1171,3190
42947,1332
1468,18650
110,20055
1624,388
721,665
1468,3477
570,13620
389,13620
492,40753
1468,20055
3741,492
389,3099
30816,1468
467,1623
3541,25991
9551,389
1332,28034
36938,1468
3190,109
1468,40111
20294,1231
20145,7231
570,4608
16001,31708
4036,1468
3411,4035
1468,722
57999,1468
569,7231
45,7231
37805,1468
4670,3190
1468,19490
492,388
47111,1522
3190,4954
1468,16001
1623,3385
3477,45
7147,74260
1468,25489
45,3541
492,14507
3541,40721
1468,63021
665,492
492,20251
50048,1332
721,24262
3493,4670
3494,45
3541,19867
4411,468
16501,1468
3411,45
10564,10563
468,2256
3741,570
20145,1231
389,3494
3190,492
1623,4412
110,45
1475,1468
10564,45135
4954,39054
49774,389
45223,1332
20294,492
19428,3190
40650,3541
570,492
1623,27288
12482,28731
4036,18355
468,7231
16001,45
33657,1332
492,29435
39334,7926
1468,7232
1623,12303
2256,389
492,3741
110,24363
492,45223
3411,16304
7231,47111
40581,1468
45,8742
5303,34885
1332,57643
492,14849
1468,468
1468,35298
3644,1468
45737,1332
4795,586
1468,3099
1332,66761
1468,18745
492,4625
1171,1348
50755,1468
3411,5237
1333,1332
3477,468
110,10902
14518,1332
389,3477
65159,1332
4954,3190
492,1468
21656,1468
1468,3644
468,1171
1468,28212
1468,10094
1468,29040
570,1468
721,389
74869,1332
34883,1231
492,3494
1522,1231
1468,14057
1522,1468
467,9551
7147,20843
1468,1171
19428,14443
3411,20843
5303,30935
570,721
3493,1468
570,49774
45405,1623
73741,1332
7147,20609
389,3190
1171,467
110,9258
492,7231
18650,492
1468,29435
24456,1332
19809,722
18745,1231
1623,10430
1468,8730
45,14443
1171,4795
14443,45
4670,3099
18603,468
24492,389
467,20843
4669,28034
40111,3741
51664,1468
42392,1332
4036,4035
468,44713
33876,1468
3575,1231
165,7926
19428,14057
45001,1332
721,4412
4954,14752
570,4954
468,18603
1468,19867
14518,1231
1171,388
8906,45
721,4035
721,38700
75162,1332
4130,1623
570,42282
1468,14849
721,26459
1348,45
9014,8977
721,12483
37168,570
19428,27288
1468,21656
3541,3411
66174,1332
110,16846
1231,721
19446,1332
468,18650
8742,45
24515,1468
492,468
1468,24515
1171,36213
8978,12483
15908,3741
1468,34678
1468,11185
1332,3741
7843,1623
16001,586
1468,5590
16001,5088
44946,1332
19446,1468
1468,1623
8978,36642
492,2256
570,6008
2576,1468
18355,4954
1468,48453
45,6665
45,44
13415,1468
110,1468
467,45
10564,20720
1468,32914
1468,51833
31465,1623
1468,44713
1468,45336
1332,166
6008,389
22532,1623
7147,28542
1468,9698
28034,28033
39125,1332
492,4670
35309,1468
721,31546
7231,45
14752,492
4670,8730
62557,1332
3190,1468
3411,5088
1468,65989
110,3741
16307,1332
1171,45
3411,1468
389,5237
27288,1623
58338,1332
721,7147
1468,10495
389,3741
47221,18355
3411,1231
45,570
4954,18355
5237,45
468,721
1623,467
45,18055
7147,52560
1468,11609
110,18355
4670,4669
20151,7231
12303,7231
8906,9551
8844,1332
47436,1231
15700,3099
4670,3493
2256,7231
14443,1332
18355,44713
721,29565
492,44713
16001,35594
8742,4954
570,19428
7147,69280
1468,3411
16001,1231
468,9258
3477,109
34698,1468
570,10478
3541,7147
1623,1332
389,45336
3411,5303
45405,1332
468,40721
45,47436
36331,492
7231,3541
31465,1468
2576,20145
39840,1468
721,1623
165,10902
4795,5088
569,1231
14057,468
2675,109
18355,3741
492,64463
35689,1231
1468,4669
59290,7926
1468,34885
2256,20145
20843,721
1171,492
12303,1231
3001,492
1623,389
721,10902
18603,1623
1468,36425
389,1231
1468,31465
1623,20145
25972,3099
14849,31199
19867,1522
570,3099
55604,1468
468,388
3411,4670
570,20145
468,12178
12482,36642
7147,22611
3493,1231
570,36213
492,21827
9244,569
492,49774
24262,35977
4954,56131
31453,8977
19428,389
7329,1332
2576,1332
1623,3190
1475,389
