athletehomestadium_inv_1,athletehomestadium_inv_2
16130,32973
683,25565
6304,19135
4874,26480
2136,25855
683,58346
683,37622
6256,23333
14618,53292
12949,20282
366,13441
17067,32477
869,23599
5075,42940
3577,23789
683,12815
1080,35457
366,42757
683,67943
5905,22143
4061,46827
24960,4419
6276,37837
5905,5904
683,16706
24250,37752
36841,18202
46641,31725
44344,15815
24250,46251
7046,22393
9401,68302
8197,7531
4061,14745
18819,36059
15424,14188
16257,50052
683,42773
8197,26152
683,2471
6304,5657
8753,8292
1080,27278
17067,40220
36841,28865
12949,49182
18819,13759
17067,35303
13070,33284
19687,68964
366,24838
19362,38466
683,5600
2136,8929
1080,62599
6304,50215
6577,40250
1080,17662
6256,34201
1080,36370
8839,35795
26115,26114
8753,40793
1440,31663
16311,7648
16311,29504
683,54578
683,2590
17067,17229
683,2051
6577,45000
9461,30607
5905,9562
16603,58910
1080,34965
683,59699
18819,29755
17676,60428
869,33542
4061,475
8720,31401
5075,31764
3021,13525
1080,51222
27604,32551
683,51116
8197,5333
6577,15897
4061,3664
37415,47790
38,70176
683,37458
683,43907
683,4145
3636,16661
1802,8881
3636,16249
2136,68965
683,35596
17676,27673
1080,61944
52643,59648
5075,62305
683,27161
1080,31703
10705,14446
1080,27949
5075,7805
4061,7516
18819,10825
1080,18406
1080,61815
10705,9331
18819,32028
4061,10003
32097,8155
8289,57535
3636,1842
12949,12948
18819,4200
869,61709
1080,39503
5905,55217
3636,10056
3636,9303
1440,16731
683,33943
17676,52980
683,12519
19687,29073
16130,43813
15610,31293
5075,3394
24960,27984
3021,18552
1440,16680
3636,3687
15519,53614
4874,35108
9359,35798
17067,48055
6276,60970
19687,27531
46641,21134
366,49931
683,71500
683,35049
5905,21415
10488,59753
18819,2426
8839,29220
18819,25843
683,50573
9401,50972
1080,69792
18819,52817
366,49000
52643,16395
6256,25788
5015,774
1080,38203
4061,41894
683,45037
6577,20115
8992,31395
17676,12198
38,44852
1802,49274
6276,29298
17067,11878
683,12334
4061,7217
8753,32870
32097,18109
5075,59608
1440,23806
27604,34023
46641,30328
6304,4443
14782,4536
6276,32548
5905,24249
5075,53542
24960,30693
366,21371
683,43945
683,4127
28917,23195
6577,18426
46641,37760
38,70750
3636,8497
1080,11617
19687,40203
8605,69739
10705,16445
1440,30200
42992,42991
24960,51009
6276,54616
9401,30783
16257,6929
1802,15868
14618,59695
869,48422
6276,18043
1080,71389
3636,37118
17676,3901
4360,40625
28917,8234
28917,38456
14782,16681
4061,19588
56744,41618
683,41962
17676,14846
15519,15518
6304,46677
683,24147
683,22654
8289,47553
12949,53707
4061,17155
3636,23194
1080,18850
4874,18281
5015,25049
1080,36640
1080,65912
5905,10101
18819,32256
683,11288
5905,44437
9359,33871
16130,27931
1080,66692
6577,3424
36354,31373
21410,30551
44344,16028
15610,13028
1080,23553
14782,22772
3021,1818
46641,58490
3021,14361
683,3043
683,48486
683,58595
12949,27103
6304,29293
9401,39661
56744,33559
5075,54060
3636,37217
1324,22679
4061,12644
5075,3667
4061,40922
16603,38731
32097,5987
17676,65594
3636,33057
17067,30009
6276,53583
2136,11343
683,7023
5075,31963
3636,20834
683,1028
8992,10205
1802,7533
8753,2869
1080,28985
3636,47906
366,34733
3636,25111
15519,19035
4061,39591
18819,47629
3021,32598
4874,14267
683,2966
6577,8878
1080,17198
5075,24057
1802,3894
4874,38909
1080,25163
1802,25694
21410,39369
683,57218
6276,25530
6577,19170
4061,7360
1080,34256
