animalpreyson_1,animalpreyson_2
11629,11629
824,4865
9850,12877
32802,2362
2362,107
784,8008
2825,46012
2442,824
4306,28
20564,46166
605,10854
11270,824
2906,1617
824,1641
108,19066
10425,824
605,2882
994,27
2900,6810
3730,1911
983,824
4275,284
6810,1066
21919,824
14227,824
6429,24862
30241,30241
108,108
14652,8871
784,982
30562,27
1066,958
4694,284
824,145
2882,4865
7961,9079
784,8871
40177,107
3730,12505
3730,7802
2999,1067
1977,1976
5176,1066
27,16060
824,48975
18091,2882
108,2362
284,6810
35680,824
30241,2362
10918,2825
284,871
5570,2365
11951,789
13077,1111
824,12271
32497,784
2328,5738
2361,50301
6216,108
26,3769
2825,8181
824,10959
4694,2362
7685,3730
40177,824
824,8408
107,2442
23837,784
824,33052
2362,4865
4709,7962
14532,982
824,49882
982,1997
4275,824
2328,1066
2999,4694
15314,222
17740,108
14227,284
6958,2825
15165,15166
6785,2328
16644,12441
824,51721
824,51796
824,605
7768,32802
3730,17185
824,52085
3462,784
1066,3730
8505,15112
1066,11629
26,52521
17904,15112
108,1976
32977,3730
8505,824
871,1066
824,2900
5797,1759
1759,2362
45304,824
2362,1642
284,1111
2999,107
11421,2361
2825,6958
3769,824
824,45304
386,21291
3730,3730
5738,871
824,7696
824,3730
3111,1111
26606,107
2825,23968
1069,10854
2362,2882
5797,23900
824,11629
2400,2882
7077,7077
2677,1066
824,19085
8842,784
283,1759
31259,824
12188,108
4306,1758
824,15900
8676,4405
20704,27
5176,2328
824,16983
824,26216
9887,2882
2825,12205
16070,386
6387,824
16922,824
824,4709
784,7077
22162,11180
2882,6785
283,284
3486,824
3730,1617
2362,7649
3730,108
7988,14227
108,55301
2361,1642
5797,824
2362,28584
37541,1358
1111,6853
6750,27
2328,26
781,782
8181,20564
217,1217
6429,2882
40717,1066
11951,1358
605,9478
284,16771
1029,1976
107,44936
6810,872
784,41121
784,32853
27,108
824,6465
3730,1758
7961,824
1066,1067
9469,9470
12979,5738
3159,10265
2399,32626
5738,1927
2825,10918
982,2999
217,7077
4865,2362
2999,784
824,6810
1066,40717
28566,824
5797,2362
32802,7768
5738,6993
7669,1976
824,12188
17827,871
824,5147
824,10764
1066,4694
5278,58939
824,9399
824,40177
16644,789
28584,2882
871,872
15112,8181
784,2999
1927,824
9478,4694
824,21901
1067,42604
824,12405
2825,1354
108,6853
23003,8732
37440,824
7988,871
27,958
824,7649
3730,5422
824,825
15251,824
6785,2882
108,2328
1758,4306
7768,2882
824,1041
3730,2361
1069,824
1451,1066
1160,958
3111,17975
2882,1067
9470,9469
1911,824
17904,824
7649,10854
13925,26
26,1067
2825,1336
824,21229
605,108
996,1976
12877,2999
32802,1758
3730,1612
2362,108
107,46372
824,9977
2906,1066
108,11629
107,19066
2361,11421
824,5561
1066,1451
2362,2362
3769,108
11084,7685
23900,1066
2882,7768
108,37057
14532,5738
27,16070
2362,1612
824,2478
32249,20564
824,31259
107,2362
1066,27509
2882,18091
1111,4405
5278,11084
284,2328
3769,11457
1217,1217
5176,1927
107,11680
2900,2900
26134,824
824,38777
3159,108
824,24125
2414,2415
222,15314
1997,784
2882,3486
2362,1610
2906,2362
2882,3769
1610,3730
784,1976
824,4866
10854,1758
824,2328
11543,824
15970,2882
31168,1976
108,1927
1578,107
824,29913
5797,1066
11680,107
32176,27
14943,107
4866,1066
386,1159
108,983
824,50267
2362,5176
1111,1066
872,3730
44059,108
2825,36724
2825,15529
19185,63531
1066,4866
1029,1300
5176,1616
1927,5176
32013,9922
1067,108
7649,1759
12901,12901
1066,108
824,15970
872,1358
6216,824
824,983
28584,2362
7795,107
824,35894
784,14229
283,2882
2882,11680
3157,1067
1066,1616
824,15236
22165,27
37246,2415
22376,824
16258,2365
4613,824
2999,2999
3486,2882
108,9922
38966,1111
18644,27
11084,1066
824,61751
1610,5563
6387,2362
50301,2361
28,2362
26,8871
5176,1358
824,15463
29988,1066
2328,2328
11180,22162
107,1578
5561,824
2900,1041
284,9079
5176,2362
3846,284
2882,28584
2882,958
3730,11084
45282,27072
6735,1217
2362,6387
32853,982
4016,20059
11421,2362
10959,5176
1759,28
824,6746
8842,107
108,7962
27,10425
958,52913
44801,19185
9887,6993
9922,3111
18188,2825
5176,1067
27911,22529
996,958
2825,18403
283,824
1066,6853
784,36327
107,3730
784,2400
8731,8732
108,15455
11629,1066
824,37440
5738,983
5563,8181
12979,284
386,958
27,2273
11951,871
824,871
824,40957
5291,784
27,1976
1088,6216
9079,284
824,31765
1066,2900
5176,4405
5949,2415
284,3730
824,7685
2361,2361
824,6492
284,283
784,1997
9079,824
6759,2882
2328,108
1759,9079
2882,9922
4694,2900
7988,7077
47138,2825
824,14227
4016,1759
2882,6465
824,12181
784,30121
28,108
958,1066
14229,784
4306,5797
10959,824
1451,15112
824,15509
1642,3730
2511,2512
824,27704
4441,784
824,28566
824,1610
12901,784
824,15251
6492,108
25711,27
872,7077
2916,1976
3730,9079
824,2362
872,6810
824,1759
1758,10854
4694,2882
824,61154
7988,2478
2361,68096
933,26
3846,824
2825,38344
8181,2825
51463,2415
2365,108
18735,3730
68287,1111
27,2999
2362,30241
108,107
55301,108
46163,1066
2362,824
42639,37057
824,24140
284,28
16105,2882
2882,4694
108,12877
44568,9470
3730,24096
107,8181
5738,12979
17185,3730
284,1758
217,1358
824,4237
32626,2399
6735,3730
4694,108
15166,16146
3111,1927
2399,19431
1617,2906
824,32036
824,12363
108,4694
1642,2361
4694,107
108,17904
17185,2362
284,4694
982,8871
108,871
107,65690
824,1217
15353,1066
1111,5176
8181,5291
605,3111
26,38356
824,17975
7768,26
824,38412
824,22871
824,13314
11629,15112
2825,47138
2825,17827
284,983
108,2365
1759,5797
982,21852
2882,14943
4306,3730
824,6387
2362,1911
1066,6429
11951,1217
283,108
5278,35009
3730,22871
982,7077
2825,12792
26,1111
4694,3730
1067,1066
18351,2365
17438,2512
10764,1041
4306,605
3730,1759
3159,35506
2906,824
784,783
1067,5176
27,9350
5797,108
217,789
5797,4306
824,23763
140,8181
3730,2882
108,284
3111,1758
20059,3730
824,7148
6492,107
2882,5797
34794,824
3769,2882
824,6853
108,25711
2362,284
42604,1067
1111,38966
44936,107
7962,4709
5422,3730
824,5797
1911,3730
58939,5278
3462,8181
36327,784
217,2328
24096,3730
21244,11270
824,22376
1067,284
2677,824
5738,6216
2882,1578
24125,824
3730,6735
2882,2362
107,15509
1066,5176
782,781
386,1976
11680,824
27,38356
824,19066
108,14227
284,7962
1041,2442
824,4694
44802,2361
2361,3730
32853,784
284,789
28,2882
11629,2882
6746,824
17438,284
22871,2362
824,12831
27947,2415
1336,784
10854,605
1758,284
71651,27072
824,1578
20400,107
5176,1111
5176,9922
108,25979
5291,108
2362,2361
71437,26
2361,32249
2362,17185
4866,4865
108,1066
1066,6080
108,12188
11916,2900
824,4016
6810,5561
284,605
386,8871
871,1617
7739,386
108,2400
21852,982
784,12877
27,12877
2400,784
824,1069
8505,108
21291,27
824,2442
824,29637
4613,2999
2362,1617
824,15280
1616,824
1610,824
1067,5738
6486,824
2882,15070
982,982
107,23571
8732,8731
784,43864
824,43740
8181,107
605,284
824,7768
2882,6429
17091,2825
2415,35981
824,26134
933,107
7962,23900
72585,27
5738,6853
16019,386
2825,50926
1759,1759
1758,1759
824,28584
824,7136
5738,2328
107,26887
22359,2328
824,29843
16644,5485
6810,6810
284,15970
108,283
4306,2365
5738,14532
11951,5485
2882,7649
824,108
28,3111
1451,108
2900,2442
30489,824
15483,10926
2922,2922
17438,824
16258,12441
5278,3730
284,5797
12831,824
284,6216
32617,1066
10432,107
4405,1111
108,11680
2442,1066
10854,7649
2361,824
1069,2882
1758,108
2882,4016
14169,824
824,12623
108,1217
1354,784
824,2906
2882,283
11951,2442
871,1111
824,3486
824,21919
824,28
3730,6810
5278,1610
2900,12363
58637,2415
4694,824
7649,2882
824,3710
17827,8181
16105,824
284,1067
1066,2328
2415,58637
43864,784
12361,27
3730,11421
15455,108
958,784
6735,1358
1111,3634
3486,3486
6810,108
27,73737
1067,1111
6429,5176
824,32687
824,26744
4543,26
18403,2825
7962,824
108,7768
32295,8181
6080,2362
1617,2362
18653,27
27,26
1041,19066
140,11815
1066,1610
12363,824
6080,824
2825,61817
108,10918
7961,5278
3769,26
824,1451
9977,1066
10959,1066
3111,5797
4709,824
3111,2365
1066,5797
216,824
886,784
2415,5949
8181,32295
71090,2512
8842,8841
20723,27
824,1616
11421,3730
1617,6080
2882,6759
8181,8181
7077,784
6429,15112
8676,1067
2362,2906
15236,107
824,1358
30972,784
2825,11916
3730,284
1617,2328
5176,3730
3111,21919
386,1997
4709,1066
824,33152
1617,6853
52521,26
824,9605
6127,6128
11084,3730
5663,386
386,21852
1111,2328
35981,2415
10764,2442
2825,19185
4306,14227
29913,824
824,6486
7988,605
784,30972
12424,108
107,10432
9399,824
2328,284
107,37441
1066,7962
386,6759
3111,28
15175,2882
13314,824
2825,18188
824,283
7988,3730
1759,1758
1111,386
36327,982
7685,824
5485,824
35408,2825
1927,108
19066,824
2328,5176
1976,1976
1111,70825
2999,2882
824,68866
784,12901
4275,2512
3730,9399
107,26606
12405,824
824,16644
20563,20564
2999,982
784,9229
1642,1641
15970,1066
1066,9977
42696,2361
3111,1066
7802,824
11815,140
7696,824
3111,824
7768,824
21280,2365
2825,40309
2362,872
5147,824
2825,31976
5561,6810
22871,3730
824,11748
11748,824
284,6993
5176,6853
5290,108
386,13077
1336,7077
2999,4405
2825,200
3730,107
8842,982
2900,1217
32977,5278
1758,3730
108,4405
1066,1111
5738,5970
824,16105
20899,27
3730,824
7768,108
3111,9922
4694,3111
25897,3730
20564,20563
11680,26
1617,871
1111,1616
784,8842
824,15175
38777,824
11815,108
37057,42639
29472,824
2882,9079
6853,1066
4441,982
30121,784
217,6810
21852,784
20119,824
1612,108
11629,824
17438,107
5563,2825
2362,3730
386,2328
2825,11815
872,824
72659,11815
784,26
2361,5278
9887,824
2362,5797
1160,7783
108,5797
1066,216
872,1217
824,17904
2362,11421
15870,784
8676,2328
824,6185
784,44936
8181,15112
284,1217
108,958
2362,22871
824,34794
824,1587
824,4275
1111,1927
824,9079
386,1067
824,30489
2399,2998
1759,605
8181,19185
982,15870
824,1401
1066,4709
8181,11815
23900,7962
871,5738
1111,13077
284,6080
1066,7685
2415,15414
1612,3730
2882,44206
284,12979
2362,9399
605,4306
8181,44936
1066,23900
1160,8008
2361,2362
825,824
4306,2362
5797,3111
1641,1642
11680,4405
824,6216
108,15112
107,5176
3634,108
824,6785
1759,824
871,17827
108,44059
1066,871
1088,4694
2999,12877
12792,824
1029,2399
4275,10265
2825,2824
284,35894
2882,11629
4275,2882
33152,824
27,2882
10343,9470
3165,824
824,216
5797,2882
284,4275
2361,107
27,959
15870,982
2882,15970
19185,2825
1066,1612
1066,3111
4866,5797
8732,23003
824,60849
2882,53283
5738,1111
217,2365
108,1616
12877,824
7077,1358
958,108
386,59204
784,14532
11612,824
8008,824
2415,40336
8612,15483
27,784
386,10425
10764,19066
2882,8548
2900,4694
14798,27
1612,7685
108,3634
108,1758
16960,3730
284,2642
107,108
12188,15112
11842,784
605,1759
824,18044
8181,140
5176,871
3486,35506
5176,2442
10764,4237
3111,2328
7988,6810
12188,824
824,3111
30660,27
5738,4405
824,6429
2900,3730
824,26885
1759,4016
7988,1217
2882,9887
