personleadsorganization_1,personleadsorganization_2
42019,24561
23929,4603
14421,1216
52118,14200
3588,861
22360,22361
29265,2202
44608,28203
15556,12461
44335,21003
30508,30507
8820,6500
33666,7627
68551,914
42775,60606
835,30038
23737,15981
35808,35807
53155,13495
19527,7530
23768,40866
29159,32612
60162,60161
35571,69246
3146,22960
3708,69107
2367,2368
663,614
4946,4947
12184,12185
28190,28191
12675,3602
33586,31781
2589,62182
61035,6272
13602,9245
24203,9501
21327,21326
7409,12307
70060,7791
9788,9789
15759,24263
54826,54827
835,24349
12782,1835
23958,1535
5975,5974
835,81
23737,69471
14024,3602
835,46130
47291,23475
2589,2205
835,26619
15091,18567
835,66035
47907,40444
6761,6760
12970,17508
27995,15664
23929,50028
11559,11558
9403,1445
54317,486
19527,8821
12147,57
47916,1535
5860,1535
25464,1071
49803,33156
25225,27816
26297,25615
18631,18630
9139,614
10787,10786
2497,2498
2589,11477
2589,69880
57042,57041
41427,41426
14445,14444
14417,11477
2589,741
60766,42994
19527,6500
52707,30432
4825,4824
5762,859
23737,4105
3588,15845
54746,6500
35808,5029
2589,6060
3995,54918
311,31307
27323,14558
23958,2772
39835,2176
2210,1098
15429,3006
2589,2588
1789,1275
2589,67268
2589,30038
72525,2772
24238,20892
3588,3034
14625,14624
46981,20827
44720,625
16872,35595
2210,27738
18709,18708
2589,43149
49641,2772
10464,2772
28364,1868
44171,8044
37172,37171
28512,28511
27981,27980
16936,8979
16479,16480
26959,26958
52889,8736
2589,798
45605,45604
14335,14336
29909,2498
46080,5609
25095,620
56888,3328
835,28793
835,628
835,20454
39319,1535
29407,2772
10180,293
17422,6517
14421,741
5495,5494
2597,61668
26993,210
5411,4947
51316,4193
12484,24856
689,688
10968,10967
22356,7878
59977,59978
2589,72614
50749,13886
835,7303
22161,4838
6608,11477
2589,63360
778,26259
39134,57043
1253,133
21388,40324
6608,6837
13432,1274
31055,4280
73991,1535
12382,18432
51431,3017
8493,8494
36674,25608
67854,7627
15390,1445
12926,4809
19259,4445
3229,24263
61368,949
32566,32565
15433,1535
11087,11086
14417,5754
25876,21326
49534,14244
1799,26750
46267,46266
48164,2626
11548,26655
30316,614
32038,32039
12473,1061
50645,48795
6800,2772
15384,15383
15590,2772
3995,5029
3588,26884
19407,19408
3588,69785
28465,6612
34880,47210
32528,32527
3588,44760
1419,474
33282,33281
23474,7756
22067,12040
26678,26677
2610,5943
61761,26157
3630,7111
12473,9239
29071,29070
43377,1535
21774,21773
18709,35077
20408,24199
2927,32178
9222,3017
45462,2772
7269,7270
5807,44168
835,9667
48811,7224
69440,1535
21480,6708
2589,39570
9575,2772
16117,13495
4186,2075
2589,6340
835,15635
59846,25615
8927,35077
6396,1275
10799,10798
49683,49682
2552,4050
5479,12278
5807,5808
835,6365
64249,14912
2589,67697
15650,15649
26472,26471
9575,62759
20471,19812
29777,29776
36898,42679
31578,13589
58190,599
17062,2304
44566,33624
53456,2772
39880,28203
48711,48710
7743,22718
22047,22048
60409,133
61104,36699
42589,70349
19527,41361
3146,73255
52026,3328
19527,25388
4704,11667
2870,14394
835,21633
18136,12686
2589,22960
3792,35759
22161,17507
13869,48826
32850,43446
2589,6660
27641,27640
29407,1535
57494,37002
14269,24309
10019,95
19047,1369
2589,75303
4740,20884
47291,7756
17055,17054
2589,61058
7505,7506
47650,26157
2589,25951
835,26280
15433,2772
32072,32073
10337,842
17163,17164
9272,32371
32339,72937
39825,35214
9575,16937
27249,2626
4115,39542
29425,29426
75406,842
39319,2772
10510,20066
29689,14641
29866,60018
2589,16141
778,3006
2589,3631
25969,25968
64075,8495
2870,2871
35986,985
20111,20112
2589,14785
5428,859
4396,4397
31431,2842
23403,23402
23233,23234
8369,8368
54008,1535
11775,73686
46754,33156
12142,45219
311,756
53740,67236
11752,2368
40789,3602
9403,9402
52246,8392
8801,1136
5424,5423
