competeswith_1,competeswith_2
1699,20104
45650,572
1883,8435
11064,35616
40898,7177
617,24526
3082,8094
2304,1424
13644,3082
3089,39595
2075,7176
16524,2659
21801,5032
21801,2436
9855,46700
557,15917
6718,5138
46833,3082
14184,185
29387,15917
7176,21902
3082,9116
15818,2436
6263,54
36901,340
5253,10249
3089,47693
6835,6136
185,47738
5032,17077
617,47822
617,47873
3089,47955
11064,5032
2659,24263
2437,340
4105,3082
10964,3082
2659,8392
3322,15396
3322,6718
11286,1657
17077,1386
20167,558
1883,21368
617,47738
49412,49413
15219,11627
16524,1699
1386,21801
340,16524
3322,14055
1883,910
2437,30568
617,13644
40089,572
6136,5186
617,7408
15396,3322
2245,340
1883,911
2659,50739
2304,32721
50863,26285
617,9443
44651,1699
9415,572
558,32342
1523,2659
3089,9529
2437,1385
617,11573
21390,21093
20104,15664
3089,3175
185,1340
8736,3228
7627,293
6718,3322
617,557
3838,1729
3082,51916
617,46833
617,45674
9949,2436
3089,52084
1698,28587
3321,21390
3082,3670
5032,21801
2659,3228
8147,6136
1699,36549
54,1699
24871,7177
14122,2659
15045,185
7037,36549
1883,292
617,2405
3322,21801
37627,2659
3089,19177
558,3082
2659,24871
17077,2436
15664,2659
544,3082
617,54181
1883,6794
40454,6263
16391,54360
19408,2659
26967,14590
617,54603
49240,3082
3089,2459
617,2459
617,54867
29698,6263
26577,3322
3089,7095
4267,5138
6774,11430
17447,17446
340,34036
15396,2436
617,32721
55336,39967
617,7335
3082,20326
2659,1698
185,55510
2436,719
2075,16524
6263,20104
40454,1699
3089,27779
9855,10588
7177,1369
55,56161
558,775
1883,554
617,14252
6774,40898
2075,20104
1883,5774
8565,3082
558,51300
11430,24871
617,56742
56773,185
1698,54
2304,15917
3082,15631
56862,2659
3051,2842
2437,558
3089,12650
2659,56989
36901,32721
2437,19875
11347,2659
17077,5032
617,52399
557,57100
8417,169
1657,293
57238,572
21390,2437
3082,30186
57383,2659
1385,3322
11209,572
11469,1978
1978,7177
1806,10953
6774,57566
4105,572
6774,26061
24271,17182
14055,3322
7036,26942
1781,3322
15219,340
6263,37207
617,4
2659,17446
5138,21390
2659,27059
50245,572
3082,6890
2075,1699
1883,58085
7177,17446
55510,185
185,6612
3471,910
2437,5031
39696,12307
7176,6263
44392,2659
11926,11430
58674,58675
2437,2436
5032,2437
1883,26127
9855,558
572,558
617,26810
3082,15695
617,600
15664,6263
2436,14055
2436,3367
17446,7177
29698,1699
3089,3039
59799,16524
185,3039
3471,554
17626,3082
340,14423
2437,3322
6263,40454
617,60203
10953,1806
5031,2437
617,17031
8147,21390
3089,28782
21390,5032
20104,2075
617,14641
617,60610
1698,24871
95,185
27694,340
1883,7627
4830,3082
3322,21093
2859,15917
54,11347
3089,4712
3089,29696
55,6263
340,6042
558,2437
340,2772
558,8461
558,557
3089,3451
719,19875
1386,55483
9855,6890
2437,10953
28174,2659
617,227
36210,572
5186,1386
617,13457
25659,16524
617,18237
7900,41178
617,45789
3082,61984
2436,1386
45916,185
21903,558
558,9855
3089,2405
2659,35694
617,41901
21390,10953
56306,2659
27059,2659
10225,2659
3322,719
719,1386
2436,5138
3089,62724
7730,185
6042,11428
3089,7483
3322,10953
2659,63037
21390,8147
2075,55
1781,2436
617,53230
1385,2436
558,37001
3089,427
617,47130
7177,17269
10953,3322
15396,719
3082,6263
9264,3082
1781,5186
1883,58701
617,57323
185,22847
3089,63836
8147,3322
15981,2659
26942,2659
46700,558
14878,64180
2304,2917
19875,719
2436,5032
3381,4280
12680,2659
6774,1427
617,3451
3152,39161
3089,1424
617,9529
64851,7176
617,52152
6612,185
719,6136
1806,35616
617,7129
3089,65268
617,65332
35520,2437
4267,5186
3381,7627
719,720
41117,185
719,1385
617,2772
1386,2436
15245,3322
554,65553
9855,28779
554,14268
55,54
3082,95
617,65698
5186,3322
2659,57383
2436,5186
617,9855
558,5323
12474,10876
7635,7177
47738,185
3082,1216
31348,572
21801,1386
7627,3381
2304,95
2437,5186
5186,4267
7176,64851
66153,340
3322,17206
55,64547
26967,572
24871,1698
28174,24263
15561,63863
3083,3082
3089,30568
16057,1386
3322,2436
4942,54
14330,554
617,66255
185,56773
8736,5253
9855,36455
5032,8147
9855,1424
3089,56773
558,21903
26967,15917
9855,29387
617,67130
3082,10964
6263,2659
340,558
3082,7095
554,752
12474,558
16524,59799
49105,2659
2436,6718
3082,17626
2842,3051
1699,29698
617,2498
1699,7176
17145,558
2437,35520
3089,15631
7408,185
719,2437
2659,55
6263,1699
2659,67974
6774,57764
558,39321
1369,7177
1978,8736
617,4287
3082,10422
617,36476
617,8703
185,7483
1,4224
55,2075
6136,719
2436,1806
39161,3152
4267,719
558,20167
3175,427
3082,8563
12667,17587
617,57586
617,24162
558,6536
572,4105
28138,2659
3322,5138
3471,698
16391,7335
20104,1699
2304,15045
21801,3322
15664,20104
617,7248
2659,68941
8147,3321
25368,3451
2659,1699
617,27816
617,8565
2859,3228
2304,544
3082,42475
5253,554
617,24968
617,10324
617,21010
554,293
185,39530
11926,7177
617,23000
16391,69371
1883,7756
67643,185
2436,21390
15219,3451
13000,3082
7461,185
340,27694
5032,6718
26967,185
19875,2437
617,46255
617,25226
1806,2436
617,4468
19403,185
24210,2659
54,1698
293,554
6890,558
617,7544
554,985
3089,21903
2659,28448
2659,44053
4105,340
1699,6263
554,3471
617,16605
15219,32721
3152,65332
5138,4267
2436,9949
3089,19403
719,15396
6774,9452
558,3152
2437,21390
617,13731
1699,15664
617,185
1386,2437
8295,2659
7177,7635
3322,1806
1386,1385
9452,16524
1,572
617,9582
24871,11430
558,1424
617,13836
3322,3321
1883,19607
2659,7176
617,53792
12610,3082
11926,54
617,5263
3322,4267
5032,5031
1883,62823
12761,6263
617,10681
54,24871
617,71289
185,41584
554,1657
3089,20043
2304,3451
398,16911
28448,2075
14122,6263
66651,572
3322,1385
3082,14423
16057,2436
3322,29427
6042,3082
2659,26942
3089,33124
1806,719
3089,24162
617,7730
5138,2436
1699,2075
14641,3082
17269,7177
617,71733
6774,11926
14055,2436
1386,719
16391,49091
14330,698
185,19403
7522,3152
2304,427
617,5023
617,186
617,36763
3089,544
5263,558
617,21302
617,72086
557,558
698,3471
3089,17145
6774,24871
7176,7037
617,3039
3152,6758
2659,21977
6774,54
2437,27779
558,9529
558,6758
3089,5769
22748,185
185,7129
36549,1699
617,11627
1386,1806
14247,3152
26061,11430
6708,572
719,5186
3089,18534
617,7161
7037,59741
2659,56862
39013,2436
185,29696
617,39774
54,7177
1386,29427
59741,7037
558,10588
3082,4830
7177,69287
27694,572
3082,49240
3089,21010
29696,185
2669,185
9855,340
2659,11430
617,70063
4267,3322
572,185
1385,719
1424,3082
11430,54
617,73007
11430,7177
26967,427
21390,15396
3322,8147
340,4
1699,14122
185,14184
8736,558
185,73140
617,2917
558,21253
70279,340
1883,6931
3089,11627
65332,3152
26061,2659
17587,12667
51300,558
8736,10225
1883,15809
72732,2659
3039,185
617,56773
10225,5253
3082,13457
2498,3082
617,41539
5032,6136
3089,49077
3322,5186
7177,8928
617,7177
2304,19424
1699,28448
2436,17077
6758,558
6263,12761
3082,18400
19413,2659
57566,16524
6263,14122
7177,44392
7176,2075
14268,554
8736,2859
36189,2659
21390,3322
719,5138
11286,9989
617,48237
42291,71341
8147,719
5253,8736
3082,13644
3152,14247
11286,985
3322,4643
45927,572
21390,3321
29485,26285
554,9989
1699,16524
617,71363
3082,12610
5719,572
617,26648
2304,12650
3322,720
15219,10588
74094,42291
12761,20104
46443,572
1699,2659
25659,2659
56599,2659
2304,56603
572,27694
3082,14641
10225,15917
617,71571
9452,2659
20104,6263
1386,16057
617,4224
2436,21801
617,43540
5032,3322
26967,11627
1806,3321
617,31313
3089,30186
558,340
2437,1386
558,32159
617,6977
23453,572
2304,185
41584,185
54,11430
6890,3082
39967,13835
9855,32159
26967,6536
29387,9855
22847,185
69287,7177
617,1699
17446,2659
6774,5952
4,3082
15631,3082
558,44627
35616,11064
2075,28448
2437,8736
1386,5186
2437,46700
617,14738
617,30568
21390,2436
15219,572
617,7461
617,66966
13457,3082
3089,13836
29427,1386
26967,3039
26967,340
9855,544
26967,14381
3089,8703
3321,8147
26967,1424
2659,6263
1385,1386
1698,2659
617,59735
2437,26598
617,69895
617,544
54,55
21390,4267
617,6176
56161,55
3082,35587
7483,185
185,12832
24871,2659
15396,21390
20104,2659
20104,14122
8736,1978
2659,74233
3089,2467
2304,13644
36549,7037
9855,30568
617,33124
3082,4
1699,1698
554,5253
21801,5186
1883,21453
6718,2436
185,25368
6774,26942
10876,2659
6536,6042
617,37159
11347,54
558,12474
44199,2436
2659,25659
2659,19413
617,15917
5032,15818
13563,2659
617,6890
3082,13000
1385,2437
74363,572
185,45916
13836,3082
15818,1386
617,4830
8417,66265
3152,67518
617,75107
617,59518
11064,2437
20043,3082
1427,7177
719,4267
617,10588
2659,20104
617,2224
15631,572
3082,2772
558,572
3838,60188
617,19424
37207,6263
14215,185
15818,5032
617,12790
1699,5952
2659,9452
10953,2437
617,9116
21390,5138
6136,2436
3089,16152
293,3471
2659,51187
617,30186
55,19295
617,29013
26061,11926
16367,572
1386,13571
26942,7177
2436,3322
1386,15818
25873,572
5138,719
2659,16524
720,719
719,1806
20321,558
617,49990
24871,54
1386,3322
3322,26577
23000,558
3082,59548
19025,2659
25368,185
617,26723
185,7730
1883,5113
617,75411
3089,4224
185,600
617,29696
3089,6890
6136,5032
7037,7176
558,17145
3089,15917
617,7158
3082,11201
1424,558
2436,33931
37001,558
42475,3082
3089,2498
11430,2659
6263,44651
340,18110
617,340
20418,3082
617,10964
3082,21578
3089,13644
3089,14590
3082,6042
2436,15396
340,4105
719,2436
15219,25368
617,7483
3082,4030
3082,13836
3082,2498
617,38986
54,4942
61984,3082
3228,1699
558,14423
7095,3082
2437,5032
10422,3082
47213,2659
28448,1699
