hotelincity_1,hotelincity_2
59285,59284
38673,7906
66823,6386
66853,74
66946,751
35113,565
67038,74
63450,611
67391,14914
58644,10359
7922,7921
66432,751
27036,528
67910,3930
2370,250
51061,74
55035,1454
60224,133
68163,250
66506,299
57008,731
68396,133
11433,751
60946,1647
38656,5121
68585,992
68588,5896
68600,3742
30629,74
69069,9500
69160,751
66107,49752
69211,133
27022,751
56154,751
69680,7220
6777,235
20344,4723
39533,36835
57621,133
9408,751
49490,4723
60678,235
66222,751
62375,1421
14981,235
58952,565
19902,19901
12287,2514
58969,6938
11912,1454
65657,751
35826,133
62142,1399
61139,250
27753,5228
71265,4723
71304,7921
59156,751
71587,10503
66143,11187
36397,235
16065,731
68427,299
16192,133
71764,2514
63046,5459
68813,13310
69230,565
44723,528
72203,751
70051,7921
31932,565
25609,6379
54086,34272
72482,3222
72496,10503
72503,133
60995,7057
67041,250
66534,1876
53376,8647
71315,10986
72728,731
72745,20748
72767,751
50352,731
51600,751
66814,3563
54354,1399
72830,2163
71633,565
72858,53294
72113,751
72928,5896
72969,565
44011,1916
68224,10503
70515,751
28262,4861
71542,4861
46137,6386
52555,7220
73214,19932
73220,250
63956,751
71658,944
73392,35929
11407,565
53027,731
11611,1454
38414,19932
73753,25396
44068,207
65295,133
43219,731
72363,72362
73508,26574
73937,5896
9778,8614
55800,235
60281,9500
49502,183
67915,299
41259,299
67546,731
74213,751
74221,565
50591,914
69210,3737
74185,1454
32878,32877
70839,751
50583,299
74452,751
52368,1916
70441,3695
72052,16490
11342,751
34855,133
29189,751
44871,1916
70955,5228
68012,1454
28041,133
62006,8310
45694,133
43856,1891
74725,751
54222,183
74758,3742
73795,751
63754,19596
18219,235
63339,133
13591,133
51275,133
34931,565
65633,3563
66034,66033
36927,133
74137,235
27527,751
53305,299
70244,2760
49320,19596
72808,4099
75147,235
75167,751
73728,34751
14206,5790
15566,731
71553,5896
57914,133
12131,751
72893,5228
29168,4723
68035,235
75260,235
49262,528
17381,731
71622,71621
56891,4723
71219,751
69387,1454
36709,299
75315,235
72167,751
69337,6386
65442,751
23880,133
18061,207
75408,751
63027,299
47086,28299
39902,39901
70510,6736
75321,235
66920,3742
70574,751
34111,299
31990,24781
75019,10231
52077,299
66647,9500
75322,6386
39781,299
61638,751
42143,2514
52989,299
35195,40872
70941,751
63180,114
69486,751
63187,235
11310,8592
50084,31542
