proxyfor_inv_1,proxyfor_inv_2
1568,4527
243,7495
1672,14289
648,14388
192,6114
192,14433
2639,14486
135,14490
135,14649
819,14704
14705,10414
135,14826
866,14839
14929,7325
1109,859
135,7762
3870,15002
3726,15019
192,5094
15126,6848
135,15181
77,15230
192,182
850,15364
2625,15365
15392,10327
883,15457
135,15495
503,3916
1781,2176
883,15615
6,15617
135,13338
3870,4388
883,15673
1183,3324
15764,609
883,15847
135,15872
1109,15930
135,10248
135,16026
17,16027
3702,16102
135,16198
77,16323
7425,617
5644,11323
16426,14771
321,16432
1627,16482
904,12191
1016,10295
135,16621
648,16622
16649,16650
135,16723
883,16738
36,3689
1109,16890
3005,2949
1109,17007
8072,8071
135,17121
135,17225
3005,11475
77,17286
135,17298
135,17303
192,6624
135,10208
2706,17496
16656,17500
135,17504
4299,17518
135,17521
135,3622
2639,13983
135,17684
135,17717
77,17764
12104,17863
503,17920
1192,18046
135,18068
135,18115
4047,13473
503,9721
135,18175
18245,18246
1109,11371
1183,18285
1434,609
163,18324
18331,4236
2175,18335
819,14288
321,408
17,15760
2079,18563
503,15516
135,18671
7403,18184
192,7276
135,5397
163,18829
3702,6077
883,18878
3702,5948
135,18912
321,5963
4047,18963
1568,19030
135,19036
3805,19070
77,19078
3370,19188
135,19316
135,11971
135,3679
135,19477
135,19522
2175,4729
13619,19542
321,19594
77,19723
321,19730
1627,19734
135,3334
135,19844
135,19956
192,19960
135,19971
135,20019
3841,20070
5555,20076
20088,2662
2175,20092
1347,20134
135,20160
20200,17802
36,20228
1129,4404
135,10398
1109,15639
135,20382
617,20358
135,20445
135,4512
3841,20476
77,3727
192,20562
1109,20583
2175,20600
12104,20639
5799,20659
135,20688
135,1110
1162,20728
8882,183
135,20776
135,20819
18168,6073
2639,20910
20938,8495
36,20941
77,20944
135,20952
859,1380
135,20996
77,6831
2639,3966
135,21188
192,174
21213,20913
6,6783
1568,6286
9896,602
321,8531
3726,14704
17,6496
135,6101
11956,7151
192,3782
883,18937
135,12543
135,852
135,103
135,11662
135,943
2175,21843
135,21860
135,21879
13292,21927
321,21952
883,21965
77,22020
883,10624
135,22073
904,22117
22147,22148
19606,135
2175,22150
77,22185
1953,22194
135,22201
1183,4298
16535,12382
135,18133
135,1686
22321,22322
1109,11003
77,22438
135,4980
77,22454
135,4693
135,22505
135,14089
7643,22546
135,12935
135,14230
2175,22612
4299,22634
22676,4892
135,18364
135,22781
135,22843
36,21386
135,15150
135,11444
2417,22967
163,12660
36,21508
1568,23033
7643,460
3078,314
617,23085
321,23228
617,23378
163,17500
2019,23458
135,23479
192,319
23514,17119
354,23515
3005,10868
135,5734
866,10321
9,23594
135,23631
163,11974
883,23711
135,23744
321,23760
135,20863
77,23803
321,23868
717,5127
11333,11334
1162,23999
135,24004
77,3029
77,24015
24048,1686
617,24073
617,4202
321,5017
135,24226
17,10672
135,24252
135,24265
1627,19417
192,914
617,24345
6044,24383
135,347
77,24498
135,24544
36,12182
1568,21760
135,24702
135,24740
866,24757
135,24857
135,8835
135,21897
1109,1175
163,25057
135,8007
321,2657
2625,2624
7324,3840
135,25242
1568,25262
135,25273
1109,25275
1627,25325
135,25329
135,11700
3019,11564
135,10783
163,25474
163,25486
25487,25488
1844,1465
13952,19613
135,25536
135,12434
18283,9417
2639,25956
192,328
588,26026
135,14416
617,12139
1568,5339
135,1176
503,26102
192,8047
163,26131
135,3396
250,10805
77,26253
904,21236
1109,1459
4047,26304
135,14390
2639,13994
4299,26521
1724,18698
866,26553
135,5345
23721,10248
883,26602
135,18021
9956,26631
135,26707
26735,15452
135,9294
135,26828
321,1877
883,26995
459,10314
163,27011
135,27019
192,27037
3726,27058
2019,27079
6,27112
1016,2188
135,27190
354,27204
135,17264
3841,5709
36,27330
135,27374
1568,13166
352,6882
192,27528
135,24947
2175,5605
135,27587
1183,19873
18667,20429
135,27659
2639,6883
3702,27716
27783,8801
135,27789
77,946
27791,2514
192,299
588,27869
77,27943
503,27982
27987,4593
8122,609
321,2188
135,28068
3726,114
5008,21140
2175,28137
2175,23489
901,8047
1568,17011
904,28236
1162,28246
9956,28306
321,25083
23862,8910
4884,9500
17352,17351
135,11603
135,1100
135,28506
135,28517
617,20276
891,890
135,19372
77,28613
135,14908
1183,24387
135,10996
2639,28678
135,28768
135,932
3841,28820
588,6405
135,5006
1568,28988
135,29030
135,10176
1568,8745
135,2237
1183,2503
135,17702
1627,24821
4603,2269
135,29041
29227,22752
2639,25755
7616,8069
1183,29285
135,29288
135,29319
135,9624
1347,29347
135,9813
135,29385
135,29414
135,29417
321,1294
1162,5200
321,29458
1347,29474
2639,29484
135,29490
135,273
192,29536
163,29539
6044,13590
36,29575
17,8356
29679,29680
1627,28039
29764,29765
17,23939
3860,29938
1568,7860
135,30015
904,1329
135,3480
135,30129
135,30130
135,351
135,16977
2175,16728
503,4593
77,27969
30253,16270
4593,135
3728,8614
135,21450
135,30341
8459,4053
135,30386
135,29269
2639,27289
819,30463
7535,2953
135,30448
30475,250
135,25119
135,29188
135,19226
503,18330
163,4557
2424,14712
1183,30709
17,556
503,30744
135,4485
135,30762
1568,30764
135,30789
135,30944
978,21306
2632,9813
163,3332
135,31056
7425,377
250,22975
135,4090
1568,31119
135,31135
135,31157
9524,31167
135,31173
31174,311
135,31210
1953,2953
135,31227
1627,18087
135,31268
1966,4500
3195,617
135,6045
135,31361
2639,18527
321,31467
135,17895
842,10337
7367,135
135,31552
904,25203
17,12587
1016,31669
1237,14570
36,31931
135,21361
135,23125
1183,32002
2105,32037
819,26043
1868,32077
135,32122
135,5377
1109,11373
17703,17702
1568,1855
1568,22991
250,32417
135,32450
904,7093
77,23878
32512,32513
135,32522
1568,8490
192,2899
1738,663
36,5623
12034,32610
2855,2219
135,32686
192,4855
1109,10507
135,5548
36,32749
4061,6375
2175,10998
4147,1647
4047,3880
6789,6790
2723,16986
2639,32986
33002,2078
10247,33008
617,33018
9906,609
321,33153
503,5168
135,30586
1568,26543
6,2802
1109,7815
4089,15287
321,3139
30584,10799
77,2022
17,33392
2138,19076
17,10528
5192,80
4196,12105
135,33514
135,33515
2639,33519
135,33528
617,33564
13393,33627
1568,33640
904,33647
135,2302
10045,135
192,33802
135,1143
135,33881
77,1843
883,33949
135,3701
24193,29358
135,33287
34000,34001
20204,34015
135,1638
135,34044
135,11140
135,34168
135,650
901,24939
135,34227
135,32418
192,28438
135,34279
1627,2261
192,904
163,34347
36,34367
11515,135
135,6413
135,7290
135,28075
135,7554
321,18506
135,34486
859,596
2639,34658
135,34667
135,34686
321,19725
883,13249
135,29538
192,20922
503,5527
736,17152
2990,34984
35010,4236
3702,6709
2175,6493
135,35079
35083,21585
850,35099
163,35102
36,524
135,35111
135,17659
135,35197
135,107
2019,35243
135,3803
36,35282
617,35366
77,33296
17796,914
321,29603
1092,1091
1347,25956
14350,14349
2241,7776
6,6386
866,7426
24199,18461
135,35647
163,35691
503,35695
135,35696
77,35706
135,13311
135,35737
7339,7338
3870,3950
135,26345
163,20617
135,28535
24576,3518
11513,11512
36,24705
321,1204
77,35927
321,7253
1109,16945
883,35998
1162,31339
163,36084
135,36086
1109,36
135,36178
135,36199
192,32613
77,36247
2175,2390
135,36279
18283,8884
1109,1874
135,36351
1183,23914
17,36388
1953,15595
192,9810
2175,29361
163,36486
36536,8073
17,21572
135,36568
5954,135
192,36643
135,36734
7324,36735
135,2064
1568,36766
135,32070
2175,30
503,20009
9524,32400
1109,21648
1627,36956
135,4196
163,275
36,36993
135,4350
135,37066
1568,36009
135,23579
135,37155
135,37164
37171,37172
1966,7776
192,37207
77,37209
1162,35488
135,37238
1183,19613
1016,37264
34000,37311
10192,11974
135,2262
135,17990
243,37418
10794,8073
135,37421
135,24085
18398,29136
3702,34705
859,32286
135,37457
9896,23327
6,37471
77,13844
2639,10711
192,11786
2928,2927
37670,19901
135,23443
9663,37737
1568,37782
1347,37790
13952,8910
135,37817
2175,8952
135,12384
9477,9316
192,2971
3702,23327
1347,28039
135,28179
1188,9012
3702,38027
135,38029
2019,2018
163,21465
1109,5008
1854,135
17,22289
21783,609
321,16414
20404,20403
135,38172
1162,980
163,38234
1868,42
135,26362
135,38298
2175,8593
2639,8174
2019,8590
135,23674
7425,2176
135,38408
1062,22836
21535,38441
5799,719
321,9549
135,2867
77,38627
135,6539
1347,38664
3791,3792
2639,38752
135,3652
1059,29397
1868,11293
648,20727
700,4861
38870,1421
3951,15002
135,9027
135,8761
1016,1421
3841,38949
1966,38961
1844,8106
2175,17776
135,39006
5954,352
2175,27718
163,12639
15077,39060
135,647
135,39103
135,15962
192,3778
3860,8228
321,31121
135,39227
135,39245
135,38590
135,39255
4089,5759
135,39293
135,39322
3728,17893
39355,6375
17970,7151
77,26941
39372,32610
1568,4108
5075,8647
135,39520
321,39571
2639,39279
1109,250
243,17361
135,34887
33641,1894
1109,3974
135,39182
9524,39707
850,5540
77,31273
4299,37607
135,2694
135,14648
21535,39850
192,8942
1347,39924
135,29748
1627,8276
135,22846
36,38697
883,39974
135,7233
2175,6375
77,40010
321,10372
1183,26845
4593,15962
1966,27195
33280,40131
135,3061
1183,40136
192,40146
5802,1894
1627,5718
135,40266
34105,34104
883,40317
135,7928
3841,34257
503,36993
77,5294
135,12035
1016,15747
2639,3073
2639,8413
14110,16193
40590,2304
17,6838
135,35322
10888,28170
904,12705
680,681
135,4225
2639,42
30926,40867
135,7192
2639,2638
904,25546
135,5163
135,7726
7763,40997
2175,17512
77,41025
8179,19053
503,41073
77,41100
700,815
3728,4729
1627,17089
648,31892
1016,7495
503,17247
9147,6422
859,32088
135,29310
2105,41333
8717,6379
1568,38370
1016,18222
321,41395
1844,41411
163,8035
1627,41456
135,6971
135,19075
270,21317
135,10270
135,41544
77,32205
1568,42
135,41613
2639,26520
135,41639
1966,4266
1264,250
135,20357
883,32840
1627,5658
1033,20408
3811,20970
29240,29239
1966,6481
617,41851
321,41882
503,41892
503,41902
17,41948
192,658
41957,1327
135,30097
459,18106
41977,2063
503,31132
3307,2740
192,42093
1192,14067
321,6119
4047,13148
135,42137
135,17672
77,42159
2639,36916
1568,14419
12104,42202
135,18622
192,8640
3726,24892
135,4933
2639,42368
1183,20772
116,12411
135,16702
135,42467
1568,42487
883,30874
1627,42522
42036,17953
135,42530
192,6882
36,42554
135,4011
42616,42617
135,3764
904,41682
8072,12532
135,16306
8162,21982
163,1252
9360,42753
17,627
135,37379
730,38991
2990,8521
1109,17803
77,36037
135,6573
135,31104
42917,135
2639,42936
31974,31975
2639,27111
135,36965
42988,19053
12624,3826
192,638
3161,1646
192,1216
36,13880
10140,19153
135,9776
1109,29447
135,41369
1627,25641
43210,23474
163,17703
3728,43245
135,36484
8459,36943
43266,114
21535,43267
135,13357
1109,43278
250,10515
483,1686
135,43488
19509,19508
43507,2205
135,43522
6762,43543
163,20810
1162,30147
135,21582
77,43664
39711,2303
135,43708
135,39343
77,43750
1347,19200
33280,43763
163,7184
8380,24282
1568,16926
135,22836
883,43829
1162,11105
35357,135
135,22132
13803,13802
43883,3689
43908,43909
23417,11453
883,43920
163,188
648,43931
135,21731
135,43985
17706,17707
135,44069
904,8185
10042,299
163,8021
34366,9403
243,44174
192,11329
44246,8647
135,4911
18879,24415
503,8716
135,15373
1738,9139
1109,5764
135,39117
192,22080
2079,14475
135,44473
135,44498
135,44512
1162,602
135,17276
2175,2063
1109,14324
77,36266
135,15792
44706,4729
20572,8495
135,44716
588,30083
1568,29585
3860,39173
135,18059
135,41130
135,44828
6,7223
1162,25140
13134,11564
77,7240
44958,44959
192,320
1109,8114
4196,35062
135,9262
5907,3995
2639,31965
1192,28622
4047,31113
1568,36285
192,4047
2639,24693
1568,11843
5802,13313
13952,14542
3702,30202
135,45292
135,45305
192,193
904,9365
192,3139
2175,45424
1724,42160
18567,15091
135,9743
1183,45492
1109,45498
135,6762
321,37418
2639,45578
135,45587
135,21397
2019,45613
44344,1454
883,45660
1109,29596
2639,45725
1183,24056
642,7872
1050,2760
163,3481
321,612
2175,20018
31488,31487
135,45793
27633,27632
13292,35253
866,74
135,37743
23402,45938
135,45951
36,30525
135,41648
2639,46041
135,38526
1347,46078
3726,3423
7403,14635
135,13384
2019,46192
135,46205
3005,44166
1568,28990
4047,29136
6,2965
163,25125
1568,42314
23675,9462
904,30259
1568,26538
1183,43483
321,3382
46565,46566
3841,28016
1109,3475
321,27955
7224,7128
135,16685
135,16684
135,46730
135,30524
135,46784
77,46785
2175,11015
1162,43880
1162,16461
1953,42922
135,2298
1844,25877
77,46878
23069,46893
588,6103
2639,36729
192,28299
135,7375
135,41770
135,18199
135,47033
77,47041
36,10188
1627,24693
1109,10294
47119,18046
1109,9963
77,3333
12277,20223
135,14299
1568,47195
135,26185
42743,114
2366,47225
1109,2572
135,47289
21554,135
192,280
850,15636
1568,11223
866,16461
135,29890
135,8095
901,2558
3055,7452
1568,34654
2639,47441
135,20313
77,47458
36,18077
321,4482
36,29566
6072,6073
135,3713
3370,47518
163,14623
4642,6405
135,46893
135,12506
77,44586
135,47679
4047,9410
6329,7220
17,12280
29197,6761
135,19325
17,3820
135,17017
192,1825
2639,40317
135,47901
883,32803
163,4402
883,30651
135,47985
135,2126
135,4107
3702,48032
77,48075
135,27379
1183,19137
135,7043
36,40975
135,34239
135,48160
617,48233
135,40951
904,48299
2639,48302
1162,1161
9524,6709
1868,12280
135,33104
883,48376
3726,35659
135,48427
2990,16794
135,48459
1627,16370
250,48498
33280,17790
77,6632
1568,48515
2639,48526
16649,46341
17,20494
26658,11679
192,20437
503,48580
321,34649
135,44095
883,48619
135,15933
1109,10641
717,48634
135,30383
192,48659
163,9512
77,6617
135,48699
1216,2605
135,779
135,13444
1109,48788
3034,250
1109,5356
192,48828
17,4708
3624,8218
503,15837
700,15237
163,45586
135,48870
135,24743
135,48282
135,31327
2175,48941
135,13643
1568,8909
5799,15279
49017,3869
135,49030
321,29505
77,6028
503,7425
26931,3995
1627,17744
1568,15229
9956,32498
135,2805
4089,32691
135,46448
135,49259
321,28260
135,49297
1162,49305
905,49315
47514,47513
17,43720
163,49331
77,24773
49348,49319
503,7982
135,21768
17,280
2855,13009
135,49444
135,32355
15072,10923
135,49479
135,4964
135,49529
135,3877
135,44329
135,49547
1568,49555
135,42833
3067,26141
135,892
2625,33449
883,10361
905,23489
135,37696
321,40803
135,6205
135,5903
135,49699
844,7219
2639,48533
135,15220
3841,49740
1016,49760
27720,24472
1109,2348
135,49846
27059,6495
3702,42776
163,49907
17,49944
135,4853
135,49989
135,35994
2175,50032
4593,27987
1568,10299
135,3121
17461,36835
4047,21998
36322,8073
135,26027
192,40864
135,19650
700,11187
12104,12103
2175,10417
77,50199
321,38897
50243,42
135,17939
77,50283
2079,727
6329,6178
135,36143
135,24646
135,13042
8179,12103
3728,2285
135,3730
1868,35158
3726,33531
2706,50475
4317,4316
50489,8495
192,3069
135,44963
2175,4959
17,49752
77,50537
116,5086
163,8429
135,6154
163,50586
5588,5589
135,50605
883,13994
135,8011
243,242
135,1235
642,611
3951,3950
1247,13926
77,50790
8882,32425
135,11532
2175,29831
2175,883
135,24599
192,21512
883,23720
321,12587
135,50932
163,50994
135,20020
135,11866
7425,2737
2105,25140
1627,9497
135,3893
2639,51108
4836,51118
503,26812
135,51132
321,11636
135,9653
321,49334
36,51190
13562,8952
9956,51204
135,599
883,51210
2639,3782
135,36557
192,18894
2639,6133
2626,1876
321,7368
6441,13443
135,51313
1347,3192
2105,34466
17,22338
135,3327
729,34060
9524,4202
135,51495
15077,34556
77,49543
135,17506
135,47254
3841,51550
648,28344
192,8310
2639,20883
1627,8827
135,51590
135,35827
1568,14920
9722,9721
321,39984
2175,22193
883,42008
135,40882
5008,27714
321,45489
2175,51678
1568,23396
4238,29097
135,30177
135,34541
4642,4641
1369,2269
17,3483
192,51771
5552,5551
33280,33279
2639,45543
2175,5864
36,4488
883,41010
2639,1745
1109,15405
3949,51913
116,18579
1347,16461
135,1787
250,3563
7905,23058
135,51971
34000,15237
135,5958
3262,44475
135,52044
135,13297
135,1880
980,52091
321,13626
3949,52191
14929,35919
77,52207
1868,52208
135,52212
135,36544
2639,23033
135,52231
5799,8741
135,17632
978,52259
135,12611
192,52278
135,34254
866,27780
2639,39571
135,1267
4089,32818
1627,250
1568,52333
77,52339
77,52349
1568,37274
2639,16440
135,52383
904,19103
7200,47385
135,52432
1109,4330
2639,14932
135,11029
321,4819
135,13250
135,18874
192,17542
135,4728
321,40876
27987,45613
135,36802
36,28283
5802,18362
883,30056
7339,11408
135,52642
77,16629
354,52648
1109,38906
135,8172
135,11052
27969,609
135,43770
1966,52718
77,15764
844,41148
1016,6330
7425,74
321,52830
503,32155
135,6471
77,41022
859,52903
2175,602
52935,6375
135,9735
36,52955
1059,29465
883,250
7324,12385
2639,49579
53033,9900
20088,27394
1247,11974
20214,1377
2639,28990
15077,24120
904,19493
3005,53079
35759,3792
904,24912
250,2494
459,53175
135,53198
1627,9755
3538,8276
50150,50149
192,25348
77,53249
250,12749
135,53288
1368,23548
192,53308
243,53339
53381,53382
1109,3959
866,7650
2639,11843
135,53417
135,53429
1183,3675
13980,13981
883,42076
192,1966
135,53507
77,49688
135,53529
1374,49442
135,40429
23025,19125
135,27402
135,18140
53665,39589
503,27293
20863,135
7324,43690
9956,44746
8162,16942
7324,46676
163,53747
46005,7452
135,53810
850,849
1568,1887
41429,6379
1109,4489
77,13132
135,42047
135,4607
321,53904
883,3334
47762,53983
9653,54000
321,26004
135,17037
883,32986
1347,32266
1109,18841
192,1876
17,52544
36,53294
1016,1015
9956,5264
135,5803
321,54176
135,12674
503,54196
3737,1876
192,4971
54232,54233
135,54255
1568,54273
77,1368
135,54323
135,54352
2639,52801
321,3170
850,53332
77,29541
2105,54425
1568,4880
1247,4202
9956,34129
135,54457
2366,54463
10209,8927
1183,11059
503,54476
3702,53275
77,54494
3702,39473
135,38570
617,20616
1627,272
1109,26775
135,44334
192,1894
5108,10882
844,18123
13292,13291
17,8640
77,43289
77,22292
135,54589
192,37370
77,54601
20749,22836
321,32556
36,40406
9896,42295
904,54650
321,193
977,250
503,403
9393,14914
1568,36729
23750,133
1347,10340
859,42704
192,9519
135,47223
321,34770
135,54787
2639,10931
1347,23212
905,250
2175,1369
2639,54910
321,7160
135,36195
77,2059
54985,54986
2064,6375
135,37865
1568,32381
2920,3094
1109,3631
250,41501
503,55241
135,13309
2175,10329
135,41720
617,3876
135,9956
77,55317
55372,55373
7616,55387
135,11851
192,55396
1183,14171
135,55430
135,55449
135,21407
192,1516
135,55467
3005,19510
135,55491
866,28765
17970,2737
135,2332
135,17806
36,9404
13393,14610
321,22368
192,55587
2019,55602
503,7324
135,55627
135,22272
135,43682
192,3563
1016,7690
2639,53139
866,9581
135,46352
135,55699
163,25245
135,55734
23851,23852
35276,17087
135,18122
135,991
321,37203
9355,39352
1369,33766
6,55855
163,55879
243,30094
1568,55890
77,4327
4047,3767
135,10901
135,6200
978,34234
588,55956
135,2271
23417,23416
135,45400
2175,3689
16153,116
135,4774
3702,56049
1627,29680
503,18667
2639,56072
3005,44044
163,36595
3841,56136
77,56138
135,51286
56152,22965
503,11039
1109,56171
135,56178
321,1070
1844,56218
135,56219
192,1294
51,6375
135,56234
459,12920
352,114
321,8952
135,13294
352,23378
1568,56300
321,4775
1568,56307
135,13574
2639,19553
352,2262
77,56329
819,35891
55513,114
135,21895
26894,2304
1627,53593
1183,54227
2175,16794
135,9954
2366,42731
25908,5459
1568,56426
135,56427
2019,49294
866,30403
4593,352
3005,11769
135,17470
33920,29738
819,372
12104,24458
77,56537
163,30248
883,56548
503,19874
4133,37297
844,338
135,56602
2175,5309
1868,56610
30514,5790
2639,12004
1183,10194
135,56660
135,56676
77,32046
3055,38325
135,51921
648,32724
135,56781
77,56800
135,56806
56838,1545
135,22230
163,35513
2158,14797
1109,53923
135,13
1109,20643
135,42787
135,56938
321,174
2639,26543
717,1573
33280,44937
321,37674
250,42406
135,13478
321,272
135,57012
904,8276
77,20468
135,5546
354,36965
77,25785
844,979
13569,13568
30926,21658
1109,25904
14133,7016
736,8191
36,57170
163,2564
135,57197
3005,460
2175,57237
135,6104
135,57269
12042,15556
21535,57292
2175,57319
7905,11856
321,8597
135,20199
1568,49453
883,7132
7616,27555
46783,250
36,29080
3841,30154
1183,57389
135,37850
135,29101
30598,2230
503,21986
135,17643
36,35584
503,20787
321,16916
1627,2050
163,2369
844,52079
135,23203
1568,34185
321,280
135,20576
636,3880
135,11709
31215,53645
1347,55164
1868,37418
617,351
135,56813
135,21599
883,57678
2543,57679
135,37960
192,7480
2416,4593
1059,3709
22703,3930
135,55441
192,20415
883,57786
2639,26734
192,57808
135,57822
135,36001
135,57865
192,18394
10789,10788
192,14783
135,57899
135,57904
2424,27378
16084,609
57942,3563
135,57965
10247,33178
1374,22428
135,12852
135,5637
48076,135
135,13160
135,58039
135,34849
309,310
2079,33190
135,9965
243,26221
135,45748
135,58105
1109,12085
1568,58111
883,58139
2639,38676
6329,58145
135,58157
135,58158
2175,712
2639,58183
24809,17576
2990,21533
15649,15650
20247,135
135,33527
1183,30415
3005,33626
135,41525
1568,45543
1868,37542
135,9990
321,6289
58300,9414
1109,2708
135,21727
24924,10016
23798,4459
13952,1377
321,6373
17099,19743
1033,58424
135,111
588,47069
135,7436
135,899
883,56244
135,29032
6,6254
135,58483
321,4546
58499,22718
135,44718
12624,31359
135,58524
844,40517
39780,16794
2019,26643
135,19469
1109,33506
27126,681
135,30846
77,47376
2175,24393
859,25549
135,19262
9625,17484
1568,34836
738,135
2639,55865
77,58665
135,40103
1109,21259
8459,12443
980,20619
17,14144
1183,48887
503,6439
77,58801
135,58825
1109,27309
58838,5756
77,58854
978,20415
16649,39122
135,17929
3273,7246
1627,16679
192,58892
36,53582
7664,135
1568,8260
135,58942
135,58961
1109,51874
20088,42610
9956,20092
17,14956
4047,26201
1109,29185
2639,59032
192,751
250,26664
56734,565
135,3140
135,59133
77,59134
135,2394
883,17913
8882,42140
503,46733
135,59159
192,2953
1627,59175
135,59182
135,59184
3005,51755
2639,59214
1445,17422
135,21387
2639,17011
1835,22049
1062,9430
135,5295
4593,779
135,35247
59300,6375
1868,33717
53866,15225
135,49671
3273,22000
2175,59346
135,59347
883,602
5552,26205
987,988
9972,59420
135,31
1109,22976
321,59469
7367,352
135,36329
135,44203
135,10016
135,10346
503,8526
192,59534
321,22876
2639,48619
883,59580
36,13901
135,22482
844,37499
2639,57678
77,59622
642,55012
135,42799
1844,6346
135,19459
250,31070
15196,2303
321,3372
2639,29585
135,20869
135,14293
135,47039
77,33300
135,31672
4974,25396
50930,602
3726,59770
15364,12969
135,59795
135,2260
2639,7985
1109,12221
1627,38824
1109,6698
503,31628
135,10116
4593,7425
77,58357
17,52964
1183,59875
1274,13432
13393,28061
321,14788
47735,51446
135,59907
36,26185
1568,43327
135,35787
6171,6170
321,7141
135,3075
16649,60030
1183,60031
9524,31085
883,60123
163,272
9524,11571
135,52728
36,596
844,25018
13803,60201
36,56014
135,60226
3728,16490
135,369
10673,2205
135,7344
135,20428
648,41559
1016,39958
135,6565
12949,8952
883,60353
1568,5966
36,37823
135,16990
904,11026
36,48375
135,15016
192,27938
60432,22344
135,49647
2639,60456
60457,11524
77,12844
503,47310
135,36166
17117,3995
135,48076
6154,135
135,15978
1627,28823
5403,19920
1109,4051
135,45914
457,46313
135,48765
859,60580
617,53373
135,34418
250,10768
3805,12719
36,355
135,3702
6031,26207
135,7997
135,32056
135,6035
321,322
135,60737
77,3143
1568,3118
163,12225
77,26310
38928,617
135,26845
321,8888
192,1671
41871,28299
3055,18318
2175,8297
135,11557
904,59632
192,3226
503,32275
2019,3908
77,21113
3738,35831
60876,60877
13292,47231
1568,60883
494,3563
192,1918
30175,11978
1092,2780
135,11553
1016,4708
17,20389
5552,48626
9956,5981
2175,1835
617,61010
135,907
1109,38730
135,20858
135,13154
2990,1379
135,53732
55924,1421
6,1896
844,7413
135,19688
6782,609
648,27814
192,5007
2639,61208
321,13323
321,48856
1109,11738
135,54203
135,33204
2079,24652
1347,2303
8181,8073
135,6255
135,61380
2543,44482
36,61385
904,3950
135,18659
163,56125
2639,44967
135,61403
15682,15683
135,16805
77,33603
77,986
403,38991
5163,135
2175,5672
1109,47278
2639,57275
13693,29924
135,61548
77,16295
503,13098
192,61602
9896,13788
135,36101
135,61659
6762,30297
2424,5773
250,4826
3195,351
883,51108
36,6698
844,19854
503,61705
135,9930
2639,25265
1109,59938
33033,3563
135,29478
46527,25583
17,34868
883,45977
503,6919
243,23569
55356,2063
77,17119
192,16490
9524,21609
1568,16884
135,26161
77,17178
2241,10248
135,24355
2175,38533
135,31203
2990,61890
135,21671
135,18071
2241,10742
5008,39461
135,735
135,29683
135,61991
192,977
2639,22108
321,39596
859,38331
135,25133
116,42
3005,61583
18283,5756
135,980
250,46236
1347,41625
135,46974
243,59406
1109,23554
1347,5200
44706,20336
1050,34178
163,16451
243,20203
135,22507
617,62135
135,54658
904,20995
859,712
135,1434
321,11831
18432,12382
2639,35919
135,62196
321,17301
135,8191
24678,24677
135,28741
2639,8358
62319,2063
135,11197
859,2285
1627,727
163,40197
135,62347
135,10855
2202,2201
135,61000
135,62382
904,56916
2158,19203
135,62439
13803,47557
135,34263
135,37016
1109,2111
617,62463
51667,3930
43231,43230
