statelocatedingeopoliticalloca_1,statelocatedingeopoliticalloca_2
866,90
541,466
541,4489
541,8748
541,17625
541,63318
541,82
541,6340
541,3222
541,8272
2625,3034
541,1138
541,7815
541,3273
541,843
541,4729
541,12277
541,26669
541,2349
541,40877
541,50322
541,319
541,27083
541,14548
541,351
4299,3034
541,59569
541,494
541,3811
20088,494
541,54507
541,6422
541,20746
541,22130
541,13434
541,21785
1724,1098
541,7394
541,3880
541,17970
541,71638
541,9012
541,56571
541,614
541,37410
819,90
541,46882
541,14319
541,70210
74559,700
541,60974
2349,90
541,14110
3738,11973
541,42708
7905,90
541,978
541,23590
541,8495
541,9393
541,2079
72842,1059
541,52462
1953,1098
3738,3034
541,6073
541,24330
541,47010
541,52905
541,47588
541,992
541,3832
541,17776
541,1953
541,1668
541,7128
541,63129
541,75064
541,116
541,5588
541,9
541,245
541,5010
541,5747
541,9979
10210,39746
541,17037
541,17007
541,13014
541,46167
541,225
541,4556
541,13810
2158,3034
541,8680
541,11665
73015,1059
541,2269
541,4432
541,22324
1966,977
541,2626
541,3370
541,44722
541,3005
541,700
541,2303
541,22163
541,10641
3370,3034
541,1157
541,1962
541,848
541,9241
541,2285
541,62720
541,114
541,5043
18283,977
541,5889
541,13230
541,27214
541,866
541,49078
541,73817
55184,1059
541,912
541,5505
13292,700
819,977
541,5802
541,128
541,17850
541,17027
541,9290
541,5501
541,10089
541,7872
541,6493
541,7614
541,349
541,905
541,1901
541,1061
541,44553
541,3279
3262,90
541,7836
1868,90
541,59171
541,24177
541,9038
27908,494
541,8554
541,1900
541,4242
541,32002
541,9274
541,72155
