athleteplaysforteam_inv_1,athleteplaysforteam_inv_2
1248,16661
1284,23806
882,22654
2247,55044
7039,23333
476,475
14294,55108
13920,42532
2694,32477
3746,18397
113,13759
2286,39302
3383,5793
497,7529
3567,41380
383,24122
9262,55478
126,7054
230,55526
4602,11988
4183,8654
4853,26914
4165,5092
552,8290
687,8432
35,56103
2338,34256
3746,23530
3188,38294
2338,11617
2007,2006
3746,6095
1248,45147
1248,6667
1992,30871
486,27161
497,48843
7039,6257
2286,45172
2694,31691
2476,19762
2338,44062
932,57218
3393,55426
4779,15320
10864,870
1248,1509
9769,47818
230,57484
10961,12643
552,57535
5002,25530
3746,30863
4297,15815
113,29755
497,41863
28153,11436
4779,58080
486,2590
686,44446
6816,16696
3360,58197
3360,58216
1248,58298
687,23844
57,56142
2247,58501
4297,51560
8814,17323
10864,58605
932,43604
13298,58811
3746,5292
3746,10874
13029,43653
4148,5333
195,36686
4779,53391
2694,16244
2209,29708
383,31373
5340,21439
2703,18568
3746,5518
3360,59410
7039,24776
690,59574
5340,22559
2694,26711
98,18737
562,19980
497,38712
932,12815
1250,22814
11172,59908
383,18119
2694,27425
3746,31207
1248,10056
3746,12125
3512,25860
256,17263
326,46804
34,56792
3293,18803
8814,18214
1116,44437
7068,53419
1604,23898
4867,60358
230,56130
686,60433
3293,1325
68,60528
9822,1559
2209,60583
1011,49107
56,60712
3665,59813
486,43927
4418,40305
11172,60832
1493,9475
2338,39503
62,38536
8148,29852
422,51011
5002,60970
4148,45207
1248,41790
392,31395
4787,57963
2476,27909
486,25997
2247,21884
497,43565
87,12306
4659,22868
9262,61283
1248,25945
10922,57523
3393,53542
5352,19585
4662,14432
3746,5657
421,22641
1992,56285
687,8233
5340,14377
97,61608
497,28302
4148,55527
1913,52255
1250,33031
2973,52800
230,32476
3746,6303
113,1703
2338,61815
686,47563
62,8445
3900,28745
1081,18288
14294,62103
5002,6275
2694,25558
17579,7876
3393,62305
421,40250
3900,54765
1011,3020
56,59002
1011,13480
4123,10436
1284,16935
99,62615
34,62668
4602,7721
4148,7531
69,55633
3900,22199
62,34476
256,27944
3293,13240
2247,27182
56,13936
1248,4363
1604,27435
3772,50052
3745,28846
2338,62599
2694,17309
34,4886
2476,6755
1004,17198
13298,63347
486,50550
62,36708
99,38467
4926,28378
932,3635
99,20282
2286,35117
14294,63595
2694,1126
2286,50905
6744,21415
3393,17784
687,51505
5180,21769
2338,50041
3900,60428
4662,46976
932,15336
2007,64083
2007,5036
2476,64098
4662,53532
3665,25843
552,16419
1004,46074
97,46198
3567,11658
3746,9845
552,22202
687,26747
35,42251
2640,64405
168,28836
4165,4999
5182,8690
486,35596
35,9331
2694,10197
1248,24518
64760,43828
2209,64783
3837,57823
4848,36227
3393,10944
19410,65026
87,25788
99,4309
2694,38587
2703,39661
18203,51129
113,32256
1248,65242
68,4069
10864,61709
2694,20582
2244,45324
2694,11878
3567,9875
2338,65912
59226,65938
87,25049
486,58346
2209,18035
4148,8315
10864,59342
13956,32530
35,14446
1493,33911
1248,9303
113,13377
4779,66201
552,61725
2286,40614
2338,18406
10775,8559
2209,66295
113,10825
4787,41162
3900,14846
501,41769
281,3958
230,66483
19410,55223
62,41657
2338,55918
350,23266
932,25230
6816,66596
230,46776
447,31844
62,30927
1914,16604
421,45000
3188,37991
1493,20021
326,17424
1192,66807
2694,3435
34,64990
690,12703
1250,32973
99,27103
11172,57834
1248,23263
8366,4750
5002,44271
18203,18202
9822,3694
916,12097
34,43204
2007,63649
2244,37273
3746,46677
4854,44622
3746,25433
447,19297
68,10237
2694,9527
932,59699
2703,50972
302,22336
113,4200
1248,20834
3393,4567
971,7360
1248,54843
421,12047
2004,48249
3383,7045
4779,56267
8286,16989
497,51369
126,28248
2286,40193
1992,49931
56,5507
10331,52750
4631,68117
447,27531
3393,68191
5002,42014
57,6876
2694,32503
5182,11343
2007,11882
1493,41062
350,10752
1604,12266
487,20218
486,12565
4661,9016
2247,68515
34,15661
1248,9171
1004,22506
421,3424
9262,68019
18203,28865
3567,61509
8814,53780
4659,26192
256,24462
421,6836
379,8412
5340,4930
3512,15967
497,39449
326,18409
2694,54171
3665,3664
486,9894
497,31401
1493,48456
446,62600
7068,17195
2004,31725
3293,67593
10331,40814
3746,4630
3393,54060
421,30207
1250,43813
4418,11065
1604,6029
1116,17627
56,21411
1248,37217
501,29190
2427,2426
4297,33059
4662,28845
4148,14380
281,44182
4853,31166
5002,11924
1914,34882
4926,40922
8148,33199
68,36116
422,70003
2286,29702
10331,12080
1633,30607
4297,39580
56,39369
3188,33871
5182,2135
97,60848
56,8897
35,25175
5352,4778
34,2704
98,33405
281,8611
2694,34965
476,39591
281,55205
4183,43053
100,28275
501,10212
13298,55140
1248,25282
7039,56450
446,13675
882,2371
10864,18478
2640,36204
3665,6675
9262,41538
34,18615
113,52817
3314,33675
486,50573
126,46534
3512,6901
687,29873
57,10594
1604,46035
421,19170
16220,70750
8366,14344
97,20054
11716,55067
932,23081
383,21043
10922,3963
3512,18209
7068,62666
1914,38731
8814,6599
9262,39263
4297,69566
195,69739
383,37263
421,18426
1004,28188
486,7023
497,43433
3383,7218
97,35864
3393,59608
8814,15708
7498,9933
2338,57386
446,42932
2476,32393
4147,8792
19054,55770
4779,71435
3512,51974
486,71500
1248,18460
326,11294
350,55217
8814,70477
1914,58910
13956,71597
62,33930
3314,71615
421,16464
22573,1766
497,40167
3746,50215
3746,38456
11172,71669
2338,53465
4297,69222
4148,10750
3188,39683
2286,31608
10331,51589
421,15897
2004,37760
1493,19834
1248,37768
3746,14334
5767,47790
97,50917
9262,71889
4602,26689
2338,4226
497,16721
392,41844
1284,16680
10922,31298
5181,60451
12248,58038
2476,942
2694,30009
62,22593
687,20925
1913,29729
1248,15244
932,36100
3900,17677
9262,72197
5352,17103
932,4034
113,72274
10864,18852
2338,69792
1248,16249
486,41499
68,1812
5352,32872
1992,4828
2173,7168
882,2051
97,39679
5352,68470
2338,60826
3393,5076
2338,18850
8366,7186
2247,72737
2702,45687
2476,71438
392,2869
476,5545
686,63908
5002,53583
486,49911
4418,24191
5352,55244
34665,37023
2338,28114
486,63581
3746,33916
562,32551
3383,4622
1604,53104
4418,22866
686,44283
4148,11395
932,37622
392,8991
10331,38237
2338,59110
932,12519
5352,13737
1248,10441
1004,31703
446,64498
1248,47906
497,31945
1992,58821
1284,7648
2593,9929
2338,36640
486,53360
1081,2887
6827,23943
168,167
2694,13088
383,56126
687,33870
230,55278
2703,31204
4779,49004
9262,73495
1248,26712
2694,27085
3360,55229
10922,8832
2476,49897
3746,19135
2007,28944
2286,62846
9262,22171
21640,31426
3393,54591
326,56745
2703,67499
56,30551
687,27044
1004,28771
7068,62293
552,17210
1116,1115
5560,21279
1284,29504
57,55872
2338,26728
5182,54514
8366,23119
1192,71089
13298,70621
1248,13329
486,2196
4662,25712
392,46901
113,35883
4418,51009
486,54578
1081,46489
56,60643
2007,29436
3746,44545
1284,45167
34665,64379
1248,16058
2702,41889
1248,65775
2338,61944
69,35508
3383,26077
3900,38744
2004,21134
10864,23599
2703,68302
2338,27278
5182,14053
686,18385
5002,61822
3293,22679
1284,31663
4602,29174
476,65337
9262,55005
1604,26053
497,11106
11950,11949
2004,4762
4418,23948
3360,22969
16167,70176
2209,49190
2973,28189
5636,74316
421,10706
662,661
3314,15766
2247,74379
3745,27233
2694,15920
2755,74376
3393,42940
10331,18903
1248,3203
8814,17977
6563,74467
486,18279
4867,44648
1248,35307
2476,11902
2593,26480
686,54310
350,20708
3772,21821
8814,8813
4926,29438
9262,14280
562,11126
14153,36399
126,20423
10331,58889
2007,14188
4183,19353
882,24147
3746,13004
3746,38853
2341,59271
56,26821
256,57119
501,4748
1248,26145
97,17769
2004,29570
25112,2987
2338,15830
1004,27949
4418,27984
3360,74605
10864,69894
392,31240
501,3687
1992,964
4297,53314
3314,66931
2694,35303
4779,74838
497,28160
4926,66419
56,27049
501,13615
28153,62582
1248,3637
2694,40220
3383,17734
3746,4443
932,58595
1011,13525
34,16965
3746,39907
4779,69582
1248,25111
3393,3667
3893,15868
14294,28149
1004,24882
422,74547
56,35026
7068,43181
2286,64879
2338,34578
2694,4351
16614,32328
3360,70581
3900,49905
5182,68965
11172,75013
4779,57553
422,75173
2004,2471
446,50128
10864,58958
383,37938
1914,21038
113,17226
476,378
7403,72759
4297,7217
932,73399
552,47163
1248,59437
2007,8874
1248,24905
34,11459
3393,24057
1493,28414
5352,2337
1116,11827
3893,8881
2476,22687
2476,40977
2593,14267
68,32821
4659,21763
882,33943
4148,15465
662,41096
4418,37930
1992,49000
2172,52413
3188,6866
21762,30224
4662,5024
1004,6062
3512,11672
2338,22432
57,23791
4662,24778
3383,7162
10331,27562
2476,74234
1250,27931
4418,30693
34,56759
3900,28004
4853,31010
99,51257
3900,71389
2694,64328
932,48486
230,62156
1004,17875
4662,24313
2694,4420
486,34979
1250,16131
497,2499
2338,66692
3900,65594
3360,53600
4779,59041
690,53614
1004,19576
1248,23194
500,23735
2702,15971
1248,44868
932,45037
486,29379
7403,51098
9262,45497
2004,51276
3746,74846
97,5171
6563,19907
2247,70149
1284,75103
15349,42991
686,42175
4662,3596
447,20217
1248,7069
2973,46918
8366,39605
68,39082
1116,30060
1248,27666
4662,23246
686,13515
3746,5961
230,57311
13298,75041
1284,16731
3567,9603
2338,36441
1102,61747
3393,5579
