agentcompeteswithagent_1,agentcompeteswithagent_2
26061,1512
32017,3730
39380,895
39431,9470
1698,1512
19431,2399
3311,39623
895,39990
40162,4774
632,3669
5588,3669
3959,4284
789,284
40610,1512
4253,895
40738,11428
3311,40807
17447,1512
40933,895
14222,1512
25266,895
2205,2089
10954,10955
791,302
12295,10954
32707,895
22767,3730
10778,895
1512,1274
40807,1512
1512,42002
1386,1805
8150,4284
31074,1275
29262,4284
895,1434
23300,895
41541,107
4284,4647
1805,10953
26197,895
23733,1512
43415,2415
26651,895
4284,22425
1805,6718
8073,4284
2304,13152
6248,25966
895,10280
35302,4284
1512,44743
4284,29262
10954,32670
2665,38557
3969,895
3838,4284
4284,42876
40738,340
45628,11927
895,45804
45885,19408
172,3393
1512,40898
1512,9816
46346,1512
784,46352
8025,8025
27973,895
895,2010
895,20137
10954,3346
895,15890
895,24903
31282,30186
47127,47127
10954,12295
37055,28608
8472,8471
34749,824
8748,13766
16298,895
871,2900
791,4047
1512,47535
31200,4284
895,14674
1631,895
895,8812
791,6913
39884,824
16945,4284
299,3082
1805,15396
46352,784
9452,1512
895,48135
4284,32720
6248,4284
971,784
895,47869
13027,2694
982,1337
4284,13772
8180,20564
4284,48625
1275,11347
48780,2064
5268,1512
895,41697
3893,3893
895,8477
28093,2287
49208,4284
1274,4943
18180,895
1512,11430
21878,1275
1512,43475
108,42122
33003,33003
10954,1216
44377,19171
895,23256
49964,49964
895,26829
50029,784
32720,32719
11927,11928
50177,1512
791,18133
250,8748
27167,11927
895,50435
43475,1512
7821,32720
3311,2659
15314,2415
895,38204
250,3451
17916,895
1512,14222
31074,895
895,377
895,5067
2362,22767
476,14342
172,11615
1373,1373
1337,26442
791,30559
1597,1116
11199,4284
1072,895
7778,11927
9075,4284
3730,22767
26829,895
2178,2277
486,11615
4911,1512
52045,4284
27707,9262
1507,824
895,3225
5952,1512
9353,895
52777,4284
5677,4284
791,12624
25966,6248
53096,784
895,3693
19575,107
31755,11927
44028,1512
895,13320
11928,11927
2064,4442
7177,2665
25425,20157
49196,107
17535,17535
7177,4943
1512,19413
791,904
25425,3082
791,26997
4284,48755
17446,1275
19616,2399
40162,2399
895,33169
2269,4284
895,1072
11543,107
895,40360
25148,784
617,13152
3311,3310
51054,4284
9490,895
44711,4284
1512,10303
33953,4284
34988,486
784,1337
6810,11951
791,10866
895,14429
895,23108
1512,19295
6190,958
895,2205
500,20260
250,16152
1512,572
56890,4284
5129,4284
8113,1512
46399,572
40738,572
19408,45885
895,11199
2064,486
4686,895
47178,4284
895,53028
37256,895
1424,3152
1275,54
1512,5346
24863,633
587,572
28093,32719
6718,1805
1337,1336
4284,33955
33729,895
27859,1275
2437,27150
15509,824
791,48163
895,56362
13925,107
42638,1275
26975,11062
53881,958
6061,6060
25939,11214
12792,2825
52993,1512
486,4774
2178,9353
791,11570
791,11954
2437,1805
10908,1512
6704,895
43740,824
791,27045
895,31071
4285,4284
22767,6810
107,23941
48135,895
32670,10954
3034,6248
2205,59808
1512,23733
791,9724
107,107
38204,895
60225,1512
2665,14184
37512,1275
1275,42638
1512,26398
14823,1512
895,60658
24903,895
60755,4284
60794,784
42270,1512
896,895
10303,1512
1512,60925
791,56226
1512,19379
4284,45117
1275,1274
2900,871
895,27513
2276,107
895,33016
25659,1275
1274,1512
48755,4284
895,6302
895,4343
2665,2664
895,24063
107,1041
50111,2825
895,24802
48419,28819
1512,54825
31982,107
1873,1512
6967,6060
5486,27
1546,4284
791,1627
2205,4284
62407,107
720,1805
5083,895
895,2269
2665,50365
15396,1805
16801,895
895,5129
1427,1275
791,2105
32057,824
1275,9452
5872,895
38662,1275
895,25917
895,7177
14586,12295
9799,824
29303,895
44478,895
23100,17385
172,446
791,1543
16222,107
1512,19038
20107,11214
8812,17385
11951,6810
2746,2415
4284,977
32490,27
1523,1512
10954,63605
38189,4284
2064,31378
791,5375
35146,1337
48859,48860
895,63755
895,63770
32017,895
8748,27150
27430,1512
1805,1806
1512,14823
56971,1275
20137,4284
1512,52045
13162,1512
34625,824
895,64279
40898,1512
107,7467
791,11586
3350,4284
784,1546
895,32707
895,2075
27595,895
2825,4324
3393,172
6927,3669
4543,824
6810,7988
4048,1597
377,4284
3346,10954
2531,2415
30850,895
791,1016
3795,6536
30267,1512
1512,23024
47326,4284
51722,2825
65552,895
62027,1512
791,1372
1275,21878
61817,2825
1512,65749
4330,4284
8812,4284
791,4867
31551,2064
26606,824
32719,28093
10278,12115
47834,824
107,19195
26442,7077
20564,8180
5737,895
4374,1512
895,41267
2277,2178
1993,41876
791,36
6698,31551
14429,895
56592,56591
895,21875
107,16371
65749,1512
1512,13162
791,13952
66436,1512
66476,66477
22767,2362
895,26197
1275,2202
7176,28686
6810,22767
6927,3451
58620,6970
500,25431
11738,4284
1275,11430
31071,895
10280,895
11927,7778
1337,784
8025,3893
6248,11928
895,66067
39623,1512
5129,44377
56306,1512
4306,107
791,9752
10954,40746
40660,107
1512,23995
107,30679
54723,895
1373,791
791,33178
895,31074
895,56010
16255,11214
67685,895
1512,19457
8748,18110
61817,9470
107,31982
1512,6635
22767,871
68055,1512
895,2157
68103,107
895,60225
3621,4284
6302,4284
2089,2277
895,51054
26442,1337
342,342
37523,6060
4647,4284
1512,17269
895,29072
632,572
13040,1512
107,13925
1511,1512
66622,784
35790,107
895,67685
107,68561
37512,895
3033,4284
50033,824
13601,895
895,46352
25425,8748
67676,10954
53989,2825
25159,11478
8408,824
58390,895
11615,486
107,50111
19575,784
44743,1512
28093,11927
40738,3082
54,4943
39422,11927
791,45114
19601,19601
871,22767
1512,33452
21735,2825
4284,4006
3893,1116
895,33465
4267,1805
895,38319
600,3669
19413,1512
26877,895
20113,895
895,4394
789,2900
895,37512
791,114
675,1943
40858,895
62348,1275
895,37256
21850,895
26163,107
4284,7821
486,45196
45804,895
791,2755
20168,11927
895,9226
11927,28093
60646,1275
23100,23099
50702,48860
37986,895
47535,1512
791,8179
2399,40162
392,392
107,40660
895,16945
3491,10991
914,340
11430,1512
675,9524
895,59734
39990,8812
16371,107
8204,56591
67975,895
4284,52777
19997,895
895,1962
31142,1512
29637,824
2277,2089
1512,6060
895,44012
4442,2064
2304,633
791,791
41697,895
1274,1275
895,30850
5129,32719
7177,895
3893,8025
1275,40898
19195,107
895,1631
895,41792
62921,824
4394,4284
1512,11347
22092,3451
1512,13267
895,64052
1512,50177
3311,60387
10954,60079
71377,2269
895,16801
1833,1275
4324,784
1597,486
791,19461
17498,1512
3693,895
6826,895
791,12031
39049,824
1275,895
895,1275
791,32554
20950,20951
6463,27
914,11428
4943,8113
8612,27
46632,895
14222,1275
1512,19997
8114,4284
8025,3567
8181,8180
895,9344
791,2079
10908,1275
2304,3669
17799,107
1512,68407
63446,2064
895,47326
24180,107
24802,895
13320,895
895,17916
26824,824
895,30852
895,1833
486,2064
20643,4284
24171,895
895,25245
791,3837
21901,784
1512,4374
1216,824
250,28782
60462,824
4943,1274
4694,9478
1512,56306
20814,824
895,41506
59734,895
3311,52993
675,36063
895,65552
1275,60646
895,57925
882,34988
4757,895
22425,4284
9452,1275
2400,2399
895,27988
28768,895
27859,4284
7115,56591
47869,895
29361,895
895,4330
12033,12032
2586,784
43417,2415
1546,8181
791,353
2277,18969
44660,824
107,25148
41541,2825
1512,69815
3567,8025
895,2390
675,1347
37512,73144
30640,500
791,39508
791,9260
1275,35077
1512,24168
52045,1275
57925,895
23571,107
791,3702
4943,4942
51494,4284
791,73424
11062,26975
52663,895
895,5872
1337,35146
18830,895
895,4253
1512,38189
895,27973
791,9663
48625,4284
895,3006
895,4757
42526,41876
1805,1386
1275,17385
6635,1512
11371,4284
10480,1512
1512,13021
7077,26442
3360,27707
2665,72232
8871,784
60387,1512
37181,10954
1512,62027
4284,9871
27988,7037
1512,4942
15008,486
17692,895
37512,3310
675,16656
895,73144
1512,32081
17528,895
791,22402
72861,895
30730,1512
1512,27279
784,25148
1512,17447
3144,2825
6927,572
47452,824
26398,1512
27386,12877
1512,68055
45117,4284
895,16417
895,16298
47646,784
4343,895
24863,572
107,26163
789,16644
20951,20950
617,3669
15529,2825
2205,72684
933,824
895,74240
3311,18410
46352,895
791,10467
64052,895
1805,4267
17473,10954
74485,107
604,604
68407,1512
25551,41876
25245,895
4942,1512
2075,1512
9470,39431
1806,1805
29072,895
1275,2178
895,18830
675,15577
58295,21448
1512,71353
895,44711
791,250
24276,895
11430,17385
895,61423
791,1470
895,1138
2157,895
60658,895
4284,60755
895,9353
41886,1512
15890,895
34167,27
68561,107
25431,500
2825,3144
895,14006
1512,66436
9435,1512
741,4284
36408,958
11788,2415
1512,44028
10955,10954
7077,2900
66477,66476
19038,1512
1275,1427
29492,27
895,2277
1275,14222
40937,1512
50435,895
24863,3669
617,633
895,37986
719,50159
3567,3567
3795,3451
1512,26061
895,1632
54,1275
791,8647
66943,7730
8812,1275
895,7143
49176,895
12239,824
48048,824
19457,1512
13021,1512
4686,37512
23554,4284
2665,10954
1512,41886
41792,895
486,1597
44887,895
1512,25659
64892,6248
56773,3451
895,43303
3034,11927
895,19900
250,3669
40360,895
971,14342
791,8148
895,5677
895,14878
2436,1805
1512,2089
4943,54
3319,2415
2089,1512
43303,895
11347,1275
5067,895
572,1512
28174,1512
40957,824
50111,107
107,2276
895,44887
10954,37181
9511,1512
2202,1275
48975,824
1216,10954
10878,895
2900,789
33169,895
10278,37055
61423,1512
25131,1512
791,15213
784,2399
895,54723
7177,1275
23108,4284
1512,46346
791,1844
13772,4284
2390,895
22636,27072
1512,6248
895,10778
895,31200
11927,1157
572,18110
71077,824
1337,982
3795,3669
35215,824
44012,895
107,17799
791,5242
791,321
895,74532
51747,824
31282,26532
1512,40610
895,20643
7077,217
33452,1512
4284,4285
29670,29670
1805,2437
40898,1275
895,20113
172,486
8181,1546
8748,20630
28119,2415
1512,10480
895,29361
1512,40937
1512,14221
75044,2825
895,72861
895,3350
54825,1512
7143,4284
895,27859
1275,37512
14006,895
895,40858
1275,62348
32719,5129
1157,11927
4006,38993
1546,784
19431,784
4650,824
45196,486
1805,5032
56362,895
20157,20630
29843,824
4542,784
1512,28174
1138,4284
35077,1275
895,33729
1512,69584
486,34988
40738,3152
51960,1512
895,525
7783,27
11347,1512
21732,4284
791,13580
1790,895
617,8538
25148,2399
2089,1275
791,20068
11927,39422
1512,9287
1512,51960
