buildinglocatedincity_inv_1,buildinglocatedincity_inv_2
565,65426
15002,55352
2307,63751
299,10043
889,63388
15646,24747
8647,67377
28061,59274
235,18755
34649,62957
731,25881
65953,65952
6422,65396
889,67903
889,26662
30423,30422
889,68013
299,21521
16490,49247
3518,55384
15788,33025
889,14206
2953,56529
889,20848
889,5094
35876,35875
889,17954
2350,27098
133,50496
889,69062
1499,1500
49680,49679
29575,33423
27610,51301
889,50352
8608,69205
9430,48848
235,69383
20570,9932
20970,20969
5790,65909
3563,4551
889,60588
7393,7392
889,14523
1825,65130
133,31005
889,55242
5984,36172
4561,12593
889,70290
889,70297
889,19418
207,9715
889,1998
889,56631
1465,527
889,50089
8647,46247
889,54296
7939,71036
889,71120
57004,57005
9500,25318
889,43765
12398,31229
10784,26142
133,71499
14570,71690
5127,19985
207,36338
8816,8817
20116,34358
250,72043
133,39893
889,60040
2760,16000
14705,46679
889,32149
917,24994
133,38414
889,67546
889,72240
30587,30588
34435,34436
8091,71901
3518,43340
4499,27434
889,61936
67158,67157
751,69184
4236,67893
889,28925
2514,56134
3,56123
4708,20163
18184,59926
34277,34278
4236,56473
889,68331
133,4203
889,42904
528,36976
889,18434
9500,47248
917,62214
70326,70325
889,56878
889,42566
22698,46916
299,3721
556,35945
6379,73776
889,71156
4236,49652
889,21882
889,69453
889,20253
133,29697
889,56411
889,74113
133,74211
8647,37070
889,17665
889,72689
24092,34338
36078,36079
6379,34094
133,35344
3695,74439
7452,48277
6181,68685
133,12426
69686,71424
889,22692
250,21366
889,47045
4236,74487
556,52929
13310,63103
889,50892
5896,68260
6938,33061
74,28386
889,38270
914,62047
889,56458
16705,57804
7480,62569
43572,43571
4236,23005
133,73214
4499,56616
889,25501
889,15566
889,11792
889,62707
74,47266
299,50110
2514,15505
4236,66697
889,41857
889,64191
889,75010
2605,14529
114,46438
69779,57093
133,44244
20604,52304
889,52992
13684,54771
133,66453
22718,53295
1593,41864
751,39640
889,69050
889,60173
48636,48635
889,57188
16986,40527
889,51302
889,34384
889,53704
17744,64057
889,63888
1377,72115
6386,51575
2740,2741
889,43007
889,39062
889,32308
22653,44089
5790,43432
889,62885
2410,49689
479,26242
889,42339
731,41768
114,25682
889,74166
13148,13581
31581,59543
80,43334
3930,68258
889,75289
889,70441
889,14319
889,71581
15067,34246
4880,38698
410,5996
889,11073
1465,58587
24714,36435
18804,61682
889,24842
7939,38535
