hasofficeincity_inv_1,hasofficeincity_inv_2
5896,8948
133,19158
731,3184
40707,37764
31581,752
40244,1
1646,40798
32669,24038
24454,40982
40996,3168
41036,1
4053,41207
4775,1
16432,40479
37643,37236
9104,1
5790,41628
133,41678
6883,13364
26961,1
34010,1
27904,1
14664,1
133,16426
5896,42735
5896,18238
39804,1
28669,1
3639,2073
24405,1
4546,6536
1894,1
19250,1
2903,1
1786,1
6379,16426
1377,29485
4499,6250
565,3184
3709,21375
21909,1
4099,7352
33893,1
3695,1
9012,25403
20079,1
12566,1
133,544
114,5460
10503,45113
751,20521
9422,45154
43978,43328
9417,3184
23206,1
6736,45451
3709,45608
45637,4151
4170,1
35919,45958
18804,3184
46031,910
2662,7270
225,43860
38503,1
46139,1
46259,1
133,31462
133,1657
8647,40538
46383,1
6386,42735
207,340
10503,13683
133,26285
133,46538
42921,1
14242,1
25772,1
3222,46865
42965,1
225,15447
133,12683
528,47089
6372,1
1916,47168
35919,1
751,24162
46359,9266
47517,1
35465,1
17089,47592
114,215
2544,1
7084,8948
4880,1
42314,1
6386,7798
225,47968
7057,31054
48204,1
4546,8736
48261,1
13418,33524
14704,28478
40719,1
133,8565
44021,1
40611,1
48716,1
20379,4151
133,34952
7826,1
49028,4151
6386,28198
1134,4151
12477,1
28935,1
250,33663
1454,1
12478,1
32261,4151
17147,7938
1816,1
114,17497
19918,1
133,7374
3090,1
4099,43110
49254,1
13627,14444
19179,1
7401,1
29136,1
1421,5460
13148,1
28299,24038
1070,1
3833,4151
20652,1
38370,1
3757,1
48299,1
37907,1
114,29740
299,41068
14988,20521
207,31850
10219,1
50756,1
4665,1
50934,1
299,40526
1134,8948
8647,2659
49616,4151
8764,1
4491,1
3806,1
8614,572
4546,43328
751,42735
2953,18925
10327,1
24693,1
133,21050
133,138
42,36310
51862,3168
7208,2081
10529,1
4272,4947
35757,910
133,52066
7208,32793
21000,1
10882,1
2514,50678
6333,1
299,544
5963,1
133,3228
1079,5460
24454,1875
3423,1
33794,1
3563,50678
52962,47968
22280,1
299,5460
299,32964
4871,1
155,1
43129,1
5086,3168
9417,53196
479,37136
27310,1
42,4151
36112,1
225,20800
9790,1
4819,1
16705,1
53892,3168
2113,5253
54166,1
3579,238
42,1477
36009,1
35919,26677
225,39663
26379,1
20592,1
7939,15447
24282,1
5896,39022
114,16426
133,54993
55032,1
13280,1
458,1
23939,1
11187,816
28347,1
23121,1
6422,1875
4723,54612
8047,5460
555,1
6109,1
13684,4151
3563,55424
45488,3168
225,30861
41981,1
225,50678
4546,572
1131,1
299,19744
29667,1
33448,1
31775,55834
10946,1
133,55998
14542,1
3222,36580
133,13644
16645,1
17646,1
1421,26194
34345,1
42599,5460
56322,1
207,2659
436,1
29037,1
12065,12535
7690,1
751,15447
11723,1
2953,16426
22368,1
5228,56691
14704,1
56729,1
16320,1
1916,37998
917,138
15646,3168
28861,1
4546,3082
751,26677
410,22495
21271,1
4546,427
13626,1
42,13683
11805,1
40092,1
40198,1
7330,1
250,3082
5086,8948
19510,1
14704,24263
225,6221
25200,1
40763,1
35919,1477
225,50432
133,4792
5459,1
29231,1
479,25403
21137,1
9500,31423
7862,15447
13684,9266
39450,1
250,9913
815,16631
15676,1
10503,25403
5459,18422
250,58575
10154,20885
34658,1
35919,36310
22117,1
47631,47630
133,21010
28592,1
25385,1
6379,11236
250,2772
28580,16426
751,1424
1646,59078
751,59131
20003,1
133,6263
133,24162
410,13295
299,42735
17901,1
7325,1
29896,3184
53965,1
18184,46865
37108,1
237,1
528,21755
48728,4151
59555,52137
9012,9013
17071,1
1131,14273
1673,1
44909,1
3223,1
21934,1
731,9610
9012,59968
2812,1
6379,18810
751,3082
9012,59838
34654,1
45373,1
2599,1
133,28448
2935,2934
225,7798
611,8948
25425,340
1421,20521
41384,8948
114,39663
16337,1
15401,1
20570,3168
51533,1
10099,1
8746,1
23657,1
19886,4881
13473,1
528,28606
250,19768
5040,1
60990,1
930,1
6698,1
31515,1
225,7374
61118,1
1049,1
299,816
17219,1
46860,1
4546,340
38195,4151
299,20800
12223,1
9487,1
58890,1
44603,1
34784,1
528,61636
38591,3168
8647,1
565,16426
207,52247
61718,1
299,6221
38760,1
19265,1
38440,7938
1020,1021
19920,1
7939,7938
556,61957
59719,1
250,47350
19191,238
5896,15447
225,13683
207,11236
11579,1
62296,1
31581,1657
22622,1
36259,1
133,7270
62394,1
50793,1
47542,1
133,427
1876,51193
1936,1
20075,1
21785,52137
225,62620
751,4
5121,33080
62806,1
17232,4151
914,3184
21054,1
225,60442
16490,16426
133,10839
13310,4151
10295,1
2410,48875
14289,1
37623,12909
914,63210
22926,1
16950,1
299,47968
14580,14579
8310,3184
31545,1
41256,1
7860,1
63459,4151
8309,1
27825,1
1876,55871
4833,63636
41090,1
556,60283
6036,1
13627,1
3534,10394
41169,1
250,2627
133,14252
5640,1
3782,1
50397,1
56354,1
20836,1
1916,1
26935,1
29603,1
44006,1
250,3175
26201,1
1399,1
133,47873
914,1
21106,1
5019,42328
12278,1
27324,1
48692,1
133,19424
4060,64737
21838,1
30587,9266
21937,1
250,4105
5896,5460
299,4358
3455,1
4053,26677
18312,1
917,35159
528,41068
299,2659
133,4881
8260,1
55173,3168
3950,1
5339,1
250,15380
35167,1
133,61847
7906,8948
46874,1
133,65694
5896,53170
42,15447
6422,24038
5708,1
299,42907
16490,3184
53180,1
14029,1
7939,63636
43738,66098
6422,51193
14107,1
14374,1
25304,1
8608,1
2050,1
18033,1
9486,1
10538,3168
3233,1
48781,1
6379,29731
8888,1
35629,1
45938,39663
52523,1
2113,1
3579,36451
40262,1
133,6890
66675,1
40754,1
5896,4151
7220,18980
38372,3168
20859,1
12544,1
66843,3168
47467,1
207,59893
10506,1
42834,1
38921,1
751,36977
1936,37365
38195,8948
10590,8948
299,67163
207,67189
17301,1
2965,1
44234,1
7208,48735
2113,2112
3488,1
27413,1
5245,1
24137,4151
12587,1
10742,1
133,2081
13975,1
30587,5122
65280,1
50983,9564
39301,1
299,19680
42764,10181
49979,1
6379,1
20352,3168
32510,1
3372,1
36224,1
133,11160
4161,8948
42,1
15929,1
43758,1
7208,6221
58936,1
7939,3184
25352,1
235,41817
133,4830
6938,34923
35093,1
65831,65830
47372,1
21088,1
26641,1
18381,1
17604,5952
8119,1
1876,10181
67145,1
23595,1
235,1
11769,1
2802,1
2780,1
6968,1
133,5460
15237,29197
13568,34923
12870,1
1877,1
28657,1
133,14641
29575,1
31640,910
30778,1
34315,1
751,340
12612,4151
9246,1
4546,4547
6422,24034
6181,42918
11527,1
133,51300
225,67163
7208,39528
34679,4151
19982,238
133,15695
48404,1
207,9539
8606,1
21051,21050
53976,1
27058,1
26373,1
3563,7270
42262,1
3483,23451
1753,293
8990,1
27601,1
7057,17105
53463,910
58600,1
5896,340
37499,1
7452,1
1079,1
133,10876
65456,1
2839,1
114,58725
69750,1
408,58751
25591,1
22141,1
28843,1
26563,1
34132,1
58860,1
3930,67561
225,40526
14914,15447
914,11428
42038,1
5017,1
34679,8948
20003,21265
35919,6221
528,28670
1916,16426
5264,1
133,816
341,3175
18399,1
1876,17805
9417,8948
47283,1
29505,1
299,43860
28880,1
3534,1
133,27816
51704,1
992,8948
35919,13683
5790,64189
6698,26266
25305,1875
7057,1
133,68767
5019,20521
5019,1
6379,2081
133,7352
19086,1
299,7938
25583,3887
3,1
41498,1
914,47866
25063,1
235,16426
944,945
556,572
9549,1
7141,1
556,1
114,7798
133,13000
6116,1
17790,1
4499,1
5228,8948
18472,3168
21215,1
8756,1
2605,6221
32110,1
21729,16426
6422,2803
2117,1
16270,1
51766,1
299,57253
22633,1
8647,18060
133,19744
133,71454
299,53196
4649,57765
751,10181
16414,1
27720,4881
17232,1
19203,1
731,1
13323,1
21952,1
7650,7651
5017,41643
1916,5622
5896,16426
43754,1
114,1
751,59782
60305,14070
26763,1
7985,30482
31131,1
133,20326
14914,28487
12704,1
17928,1
849,1
56228,1
114,10394
33279,1
63219,9175
460,1
250,12791
751,8736
133,17154
5086,53196
16284,1
250,5359
7695,1
11187,6136
16490,1
67828,3168
42,816
4074,1
556,39311
133,3647
731,5460
8804,1
1936,1130
133,4246
3966,1
9661,1
55778,1
64087,1
133,72639
133,13457
6181,57447
299,8948
7488,1
17232,17233
133,43072
4546,3152
299,39989
751,2772
32877,52855
4561,1
133,4947
34320,1
1916,2803
250,572
49940,1
10802,1
250,1
60683,1
53423,1
10503,23969
16270,72932
13818,1
2862,1
133,43542
1478,3168
479,16426
751,95
1454,3184
250,38327
8310,1
10372,1
1916,73081
751,46106
14988,1
1706,1
47806,1
37471,1
133,30186
27537,1
17089,15447
34460,9175
57309,1
56277,7871
35880,1
22634,1
3222,46791
64312,1
40390,1
35674,1875
16461,3381
39349,1
50629,1
4099,6571
225,21050
183,17860
250,6536
7142,1
4888,1
917,2772
65772,41068
114,340
17147,19744
14240,4151
4723,21755
6379,35846
528,65438
11781,1
31379,1
4052,1
133,43540
22810,1
528,61893
1825,340
19886,13683
7135,13283
12951,1
917,5460
3880,56691
32261,33080
15718,1
815,17860
341,340
5017,7837
3639,16631
9037,2627
133,775
250,95
133,18793
54593,1
27024,1
46452,1
4477,4476
32415,1
11225,51673
65772,16631
133,2659
16461,698
25957,1
18704,1
133,24244
32425,7036
22901,1
250,4
1377,1
25477,1
133,5122
17374,1
299,572
1916,3184
69631,3168
19953,9564
133,42098
62745,46791
17709,1
56956,1
914,8810
1876,24038
9785,32571
22109,1
74128,1
4723,12666
17253,5122
992,4151
15527,4151
19361,1
24672,1
27544,1
7543,1
13464,3168
2631,1
133,46413
28990,1
46631,1
133,32127
1825,5460
10758,1
42254,1
5896,15702
39934,1
8397,1
20781,15447
6373,1
37623,1
5896,1
10503,9564
2708,8948
2113,43229
2760,1
3865,1
5756,1
3599,1
10503,46791
235,13683
299,2081
2592,1
1134,40194
133,32481
909,1
26563,46538
1882,3184
917,238
2740,46865
17834,1
9468,60405
14316,3168
61806,9266
1916,20809
22718,21945
42,9266
28966,1
23184,1
17839,1
14843,1
35174,1
330,9402
1882,5460
10868,71400
6379,48357
133,19403
133,47130
299,13683
74215,74214
10335,1
23519,1
914,62541
37000,1
565,12423
66184,1
17253,6928
36065,1
65856,1
1915,1
1421,1
11225,19158
35929,1
917,6136
133,3344
16193,1
4099,11726
39836,1
9012,14070
133,3403
15545,1
25298,1
14067,4151
1227,1
17621,4151
5790,1
7939,10276
11225,40982
2350,1
7939,1
5080,1
28272,1
5790,74907
19596,43328
49537,1
299,7798
25425,16426
479,67908
1916,54498
9012,69668
44995,1
35919,3184
751,5460
10976,1
751,37093
28721,1
18683,1
26043,1
6872,1
36835,43649
133,73429
5206,1
34455,1
29618,1
17604,2081
6736,4151
52316,4151
556,58585
21683,1
28247,1
27412,1
114,69958
225,19680
18804,47521
46770,1
4723,30707
800,1
7939,5460
3563,37136
5790,36501
49486,5253
8614,340
133,11757
17577,1
40902,1
55380,1
16270,25403
1916,62699
56207,1
876,1
6736,8948
14635,4151
751,4105
40345,1
6657,25616
25425,572
1399,5122
2078,1
250,43328
5896,816
815,41068
31883,1
63162,63161
6736,13683
22056,1
35919,20864
914,5460
13310,46865
1722,1
4723,8118
4325,1
7049,1
34860,8948
944,66352
250,69061
992,7798
7872,5253
58956,1
31753,1
133,26810
29076,1
37877,16631
10890,1
8614,11079
133,63894
6379,42852
7872,7871
751,13888
22651,1
2829,1
2372,16631
46487,1
49271,910
25262,1
14788,1
39817,1
9422,1
133,63413
133,11286
18878,1
10503,75309
25425,3082
34272,21755
13889,1
133,6758
207,208
22525,16426
46359,4151
20588,1
16136,1
67151,4151
310,38176
11556,1
6379,18356
1876,1875
43738,3168
62437,1
6379,74156
41345,1
56955,1
2492,1
133,15447
19553,1
8997,1
2100,1
4272,1856
5577,1
16508,1
207,6847
19417,1
11128,1
26348,1
80,1
8091,1
40702,1
751,19301
1882,66081
33529,59564
9462,7878
12641,1875
3210,1
8745,1
12471,910
33153,1
17642,1
2113,47155
50732,1
2740,34461
4388,1
19317,1
35990,1
43943,1
133,13108
299,1369
70723,4151
299,4151
75268,1
133,59748
751,13683
133,10588
9365,1
299,7270
914,340
410,1
207,65666
6379,19158
13011,1
2607,4105
18758,1
44146,1
3306,4151
183,16631
10805,1
2261,1
18206,1
6736,20911
16942,1
7208,50280
2708,3168
751,1
25017,910
28678,1
9468,1
58909,1
7957,40783
4440,1
10470,1
41306,1
24916,1
13684,13683
5773,1
225,50674
70482,3168
14497,1
15140,910
7579,16426
7957,35031
2113,25024
30587,8948
8745,8392
751,63144
44361,1
7220,7270
528,2073
6883,813
49841,1
9704,1
979,1
20570,8948
133,14215
