agentcontributedtocreativework_1,agentcontributedtocreativework_2
27541,12523
4820,8959
27592,8096
27616,2217
15027,2217
27689,27690
27724,27725
17876,3889
23648,6280
15193,15192
28214,28215
28319,12129
28320,28321
4940,13667
16346,28602
28616,4900
28653,13623
28862,28863
27131,2865
9160,8657
29110,29111
15800,29122
12732,29125
18260,29137
9644,9643
3404,21621
7618,9265
29330,29331
1708,24733
29595,2865
1737,1736
21242,21241
30012,30013
2865,30073
21315,13143
21961,21960
30580,8096
13623,30605
30667,3072
30731,30732
30785,22734
30803,30804
30833,30834
14137,14136
31102,13667
31115,31116
16866,29625
5968,26355
24606,17471
31402,31403
31440,19928
31532,2865
26576,26575
9943,26195
17056,16536
22997,22996
18260,31761
8096,30580
31828,27752
31885,23226
31928,10947
16866,24410
13373,32150
7386,7387
20122,25781
32197,11121
32297,32298
32299,8733
32346,32347
13036,32446
32150,12737
32823,23950
9398,10947
21990,21991
32880,32881
32152,32153
2457,32963
12730,16031
15009,33070
12227,33079
33255,15643
32153,32152
33359,33360
33403,2660
33412,33413
33415,23289
28006,28007
8145,8144
33704,33705
33757,33758
33783,33784
2217,27616
8013,33843
33038,33866
10834,10833
34080,18260
967,34142
29349,5046
9327,9326
34212,34213
34224,8098
34270,13036
28321,28320
2984,13227
34381,27653
34543,34544
34618,7618
2422,2421
34731,34732
34774,34775
25418,12627
34910,13616
10350,10349
18965,32963
35091,35092
32475,35192
17611,17610
3404,8152
35323,35324
35437,15009
29260,29259
9503,9502
35780,12669
35796,35797
35845,26485
35896,3404
13036,13035
5886,35995
36120,36121
1463,36024
30880,16569
10847,10846
30879,30880
36410,15486
36423,36424
36453,36454
9545,25370
32963,15406
33037,33038
19928,36527
12129,36534
21082,1463
36693,36694
3627,36717
36800,26352
15800,9121
37130,37131
12879,12878
37180,16866
37290,37291
37351,3404
37359,31403
26352,36800
37598,15009
37684,37685
23441,28553
10453,37767
37824,37825
37934,9110
23567,11930
9327,17106
5968,5967
23625,38247
38272,20123
16363,1941
38309,25899
9943,38384
35438,38392
38431,38432
18260,38532
38574,33705
19845,15009
1449,1448
29717,10284
17841,16031
12011,12010
23053,23054
9545,34687
26355,26150
15800,23213
39076,39077
1463,28216
4003,39377
30605,13623
34544,34543
39672,39673
9545,35299
23231,23232
39790,39791
3404,36626
8733,2308
10917,10916
8012,8013
40040,5667
40044,40045
19390,8733
34775,34774
6108,40301
154,8733
9110,37934
40418,33006
12129,16129
19600,10482
5014,20150
40602,40603
6775,40619
6300,21885
40730,40731
40773,8889
40811,40812
10947,33770
31635,14960
27549,5046
41275,41276
76,41355
41632,16866
29125,12732
19081,6108
8550,41716
17739,17738
41819,9165
31254,8918
1930,1929
20967,15
42073,42074
42085,8733
36611,36612
42218,9020
42231,19129
40812,40811
42286,42287
9326,9327
15643,33255
42451,42452
37131,37130
14236,42555
42602,42603
39377,4003
10947,42664
31403,37359
42828,6108
11196,11195
43041,43042
43061,43062
8733,43081
43236,43062
12129,31905
43264,43265
30285,30286
43551,43552
24866,43654
967,12615
16866,13770
38890,38891
16394,22819
2308,8733
32347,32346
27551,27550
32423,16866
44097,44098
12878,12879
4900,28616
33784,33783
44318,3013
44395,44396
9943,30873
44505,44506
19648,19647
12737,32150
13871,13870
407,44683
44704,44705
44830,44831
44854,44855
5882,5881
2730,36247
27465,26910
45015,45016
17552,45092
19104,45102
45130,45131
45146,14208
23754,23755
45215,45216
29259,29260
10947,31928
1418,9280
43061,42178
12600,18094
31116,31115
21223,10947
23232,23231
43265,43264
45481,45482
6108,45505
5046,5652
45790,976
8733,1122
45839,9632
42178,43061
45917,45918
37825,23213
45945,45946
35995,5886
23292,23293
9165,16459
45378,46020
9165,36384
20222,46053
16866,4386
8096,27592
38827,46384
19129,42231
21820,46482
21948,15800
3072,4136
44659,32475
5571,46623
16779,16778
46703,46704
46836,6108
46961,46962
42452,42451
47133,47134
20483,17060
17738,17739
2457,3918
43986,15769
8521,19928
6108,19081
47253,30880
530,531
29605,47311
21195,21196
5014,47371
5652,5046
9505,27209
47532,47533
7387,26109
47653,47654
47676,36731
47710,47711
41143,47724
26168,47728
47744,7104
8657,9160
28216,1463
9545,2886
37291,37290
14616,47817
14755,28863
47840,16568
33714,33713
47912,1708
48028,13151
21621,3404
1065,1064
48284,48285
1005,26900
10437,48355
5811,5810
18297,18296
35583,6108
25297,18260
26355,5968
23775,23774
9630,43392
13210,16536
976,48675
4992,48684
6508,6507
5968,48815
17106,9327
48854,48855
8121,8120
21316,21315
49084,49085
33474,16866
14142,14143
49138,16569
49153,18260
24075,24074
49226,49227
3072,45919
14960,31635
16682,335
16670,16669
49488,13623
9181,49548
49561,49562
28553,23441
18260,34080
40301,6108
30873,9943
49670,43465
49707,38655
10833,19201
41421,10947
8733,5405
24686,24685
49888,49889
16536,13210
24844,27490
49981,34732
27671,16866
5046,29349
20029,19290
8734,8733
50254,5046
38477,50375
50405,3677
15192,15193
50585,14825
7823,32475
21939,21938
4386,16866
33581,4821
50741,50742
50773,50774
43062,43236
26588,5571
13871,50823
50856,50857
13109,3404
51005,36095
25707,40045
20222,51017
10483,10482
51022,51023
51033,51034
14143,14142
5667,51138
12928,12927
26150,51271
19129,51342
24847,3085
15316,30228
51571,51572
37612,10453
47893,51654
24291,51668
19289,19290
13114,13113
39936,868
13227,2984
37130,20222
8013,8012
38392,35438
13204,13203
52162,52163
36247,52206
7618,7619
52245,19928
28141,39048
52389,23566
44449,4714
6108,46836
52444,52445
9398,9397
50995,9020
43654,52543
30334,28353
16866,12133
52705,10451
3934,16568
3942,52738
52763,52764
45216,45215
45016,45015
53013,4715
7447,7446
36626,3404
6645,7088
41716,8550
3926,3927
53233,53234
13913,1282
48072,5968
53346,8784
45224,19732
48855,48854
24695,30324
14352,14351
23683,53449
53489,53490
26222,26223
1035,53658
53686,46572
45482,45481
53698,53699
3500,7210
53708,21163
15800,21948
20968,40818
36235,36236
53878,9877
2240,21939
48684,4992
26996,12129
38728,38727
9165,47000
49085,49084
3404,37351
44831,44830
54648,54649
25696,54675
18569,11278
2938,23385
17816,8889
2217,54808
54823,48200
39077,39076
21163,53708
55018,26352
20967,14713
42640,42641
5140,5139
10482,55309
23437,23438
5968,55394
15406,3918
30335,50843
7490,42508
55569,55570
26352,55018
55697,55698
50230,50229
45224,40400
11260,56076
1035,38541
23860,56119
3404,47211
40736,15800
19928,8521
20150,5014
20142,20141
20156,20155
15729,15728
36731,18823
14323,23860
48378,48379
9545,55026
1941,20855
36460,36459
30732,30731
6553,56464
21842,20222
56546,27592
51017,20222
20222,7021
33713,33714
6108,6107
45918,45917
17090,16866
6108,15757
53565,31220
56782,9677
19287,19286
7240,2758
32963,2457
57030,12129
16032,16031
25013,7240
41724,8430
33413,33412
57177,57178
3928,43862
39048,17100
14226,14225
56481,57345
44855,44854
57379,57380
57471,57472
33219,10437
13770,16866
20222,37130
14064,18475
54239,38444
57744,33145
57766,8733
17961,8733
57773,6300
3889,17876
42367,42366
6198,55860
15642,15643
39364,16569
20693,29092
18099,18098
47769,47500
58060,17247
12689,24847
25504,18907
3928,15938
12465,3072
8269,8268
9633,9632
31316,31315
23835,23834
21991,21990
16866,34408
40666,40667
38682,38683
3072,30667
15982,15983
35324,35323
15406,2458
58702,58703
16866,17090
49227,58797
15770,15769
58026,29554
58888,12129
6316,6108
14825,50585
12627,25418
35797,35796
3013,44318
3053,3054
8733,59132
25965,23289
39673,39672
59224,23566
59262,30833
22365,22364
52134,55792
19936,19935
16866,53785
21315,8142
4448,59531
9507,9508
50153,54853
24410,16866
16569,39364
48285,48284
38444,54239
20082,8200
33758,33757
27460,27459
76,75
32963,18965
6108,35583
59815,51033
59849,17843
6108,42828
55629,55628
15334,14378
42508,7490
7619,7618
9877,53878
19736,19735
24001,12129
34422,8733
42641,42640
3942,32729
30040,37825
12129,16446
18696,6108
53658,1035
2758,7240
31761,18260
9502,40438
38891,38890
9165,49891
23213,26352
20666,20667
56119,23860
60284,31828
60304,16866
12129,60352
31828,60284
30286,30285
46384,38827
60460,60461
49657,47604
60499,60500
52738,3942
42001,60582
37204,13777
36717,3627
8430,41724
1463,36380
33616,60075
54808,2217
3404,22644
17212,17211
4714,60842
58797,49227
12397,12396
36730,36731
12129,57030
18260,35519
34037,5169
17130,13623
61051,61052
27257,61061
61100,33038
16536,16537
19644,25707
52206,36247
33770,10947
19290,61238
7671,59882
6590,8733
36812,36811
54659,54660
61309,39858
53490,53489
43846,43847
23567,23566
40038,40039
61395,2217
48379,48378
61487,61488
18094,5353
45131,45130
61542,7735
61543,56481
4230,4229
6553,19710
19290,20029
32881,32880
18260,38173
10846,10847
50811,61685
10437,53110
61721,28616
26737,23289
9020,50995
24496,5667
9121,26352
60352,12129
28404,42418
5968,48072
9282,19129
37767,10453
3927,3926
47569,22630
52186,52185
39509,13777
36017,27155
60647,36628
23438,23437
23289,35024
51668,24291
62129,17630
10698,10697
33040,8784
26223,26222
39362,34774
35092,35091
19088,53865
13667,31102
53968,18569
7188,62362
30655,18901
62390,7240
17156,1762
62543,49516
26860,43124
55192,62559
60582,42001
62787,62788
55394,5968
16866,52595
2865,14115
62749,28409
8733,2571
33095,26597
40440,38392
62997,2865
42603,42602
29122,15800
26355,2217
63183,47239
63198,63199
7188,51900
22217,6198
8200,19767
63238,63239
11121,32197
12811,3627
30833,59262
63278,63279
19644,40044
3386,37825
50862,5823
14115,2865
16866,60304
2865,31532
14702,651
6300,19426
63407,63408
31220,53565
8570,63442
59758,59757
63452,25899
3677,52493
42287,42286
18902,18901
14713,20967
56464,6553
2865,29595
30880,30879
57178,57177
63639,16866
25707,25706
2865,27131
53991,53992
6344,1282
43124,26860
63791,63792
57472,57471
40044,19644
60075,33616
6198,22217
60842,4714
63983,16866
29111,29110
7735,61542
6878,2428
42218,36247
9833,47817
18823,36731
55570,55569
50184,21195
6108,61830
49562,47991
50324,6108
64391,16866
47065,47064
22819,16394
64452,13667
64537,52475
47991,49562
64338,44920
35501,64575
8098,9931
64595,64596
33038,33037
23289,26737
15009,37598
16005,9020
33926,76
40044,25706
47817,14616
38541,1035
36024,1463
42664,10947
64952,45677
2660,33403
21196,21195
12523,27541
23702,56860
47211,3404
23213,37825
31957,31958
7188,7187
30539,5169
20222,52996
23566,52389
1005,8570
13777,37204
65202,65203
65221,65222
36380,1463
29625,16866
12129,14684
26523,26524
57856,8550
28377,10437
65368,65369
25900,25899
47604,49657
13277,13276
27653,34381
33701,2660
43392,9630
65546,44836
52163,52162
65622,10350
63395,65679
23448,38061
45946,45945
19678,8683
1463,21082
3133,3132
52764,52763
18094,45214
11411,11410
53699,53698
9677,56782
65902,34732
65924,65925
62362,7188
8733,23566
40603,40602
39048,66048
10482,19600
66104,4715
531,10648
49657,66110
64144,5968
37825,3386
5169,34037
7209,7202
22644,3404
5968,66217
10760,15334
1770,1771
66227,66228
15769,31048
15643,15642
11300,16005
7618,34618
27198,27155
51342,19129
66400,44098
13397,16866
26485,35845
12129,19540
18901,30655
22169,5968
19899,9545
20855,20856
8103,8102
26150,26355
16866,63639
64596,64595
10453,37612
66569,10349
36236,36235
30880,33415
33079,12227
2660,33701
23501,23500
37685,37684
66668,10437
18260,25828
46482,21820
54649,54648
8733,34422
26400,26399
13951,13950
1889,1888
12615,967
17471,24606
62933,42451
18965,3918
14367,66817
2217,61395
66865,66866
53487,53488
3072,12465
66976,2865
6108,38701
3677,65270
11278,18569
19129,10449
22146,22145
12336,28634
46704,46703
57583,54041
1074,1073
16866,37180
46623,5571
9020,16005
16032,20660
8889,40773
46698,67416
67427,15009
3404,35896
34142,967
8651,8652
9505,9506
15,20967
47817,9833
51023,51022
19444,2217
16866,41632
55984,55985
9020,42218
38655,49707
5571,26588
3677,50405
15983,15982
32446,13036
67672,33476
5823,50862
23114,67762
23358,3404
14941,12129
6775,6776
8733,1061
43062,43061
43847,43846
14165,16934
24598,3361
10947,41421
67885,67886
47500,47769
8828,1762
8098,8097
46053,20222
8521,33070
14208,14207
35545,35544
31315,31316
24699,24698
38727,38728
14165,51087
68142,28325
12669,35780
34732,49981
3956,3957
24657,24656
28462,10482
6053,6052
68256,5527
51572,51571
28863,28862
28634,28635
9545,35130
18094,68308
8053,50220
65925,68309
34543,31682
13616,34910
54675,25696
16278,16277
68403,68404
50229,50230
28353,50843
48675,976
8570,1005
55792,52134
67416,46698
36534,12129
23114,32150
19732,45224
21172,19591
14236,14235
27592,56546
40811,28863
65925,65924
268,34062
44130,12129
13036,34270
68659,68660
68662,47134
30880,47253
17383,16866
6775,28977
12129,28319
33021,25504
38683,38682
6298,6297
1282,13913
9646,15311
19573,34543
61830,6108
8098,68860
76,13221
2866,2865
968,967
335,16682
47134,47133
651,14702
8733,10844
28353,30334
10449,19129
45984,34543
23567,65804
23860,14323
69056,69057
69064,50201
50857,50856
42074,42073
69192,11790
36384,9165
43552,43551
2428,6878
17130,69300
53110,10437
18542,18541
17552,12037
8889,17816
47064,47065
55822,27625
47134,68662
14208,45146
33866,33038
42555,14236
17060,20483
45677,64952
30228,15316
1708,47912
68662,69644
53709,37230
24531,24530
5407,5406
69358,69359
68332,8889
26352,40736
6108,18696
5968,53858
61265,3404
2540,2541
29331,29330
25781,20122
25346,3404
39858,61309
36628,60647
70011,70012
27155,36017
19935,19936
70020,60651
36731,36730
53488,53487
5968,64144
70076,70077
36095,51005
62859,62880
51808,70121
36459,36460
55628,55629
53590,37759
65804,23567
64575,35501
8098,34224
39656,36121
50907,10482
35130,9545
30804,30803
8889,14323
62880,62859
44098,66400
55299,55300
43465,49670
15800,40736
7104,47744
6646,6645
868,39936
15729,18777
32729,3942
27725,27724
10437,33219
34774,39362
70552,70553
3404,26158
65369,65368
9397,33770
49548,9181
10482,42059
56755,70663
7523,7524
52595,16866
70680,70681
15009,67427
30324,24695
24530,24531
16568,47840
60882,60881
58415,70774
60881,60882
45214,18094
63199,63198
36121,36120
55698,55697
3786,70870
44836,65546
17443,17442
5353,18094
5667,5666
1282,6344
27752,31828
30285,46471
71150,8098
34543,19573
5169,30539
29554,58026
25165,1463
8733,32299
16866,18240
1448,1449
3145,2464
13623,49488
27155,27156
47654,47653
38392,40440
18240,16866
5527,68256
16128,16127
66228,66227
33070,15009
71409,71410
15334,71411
46572,53686
30013,30012
16537,16536
24074,24075
71524,71525
20790,25696
4821,33581
63792,63791
8098,71150
3045,3044
50201,69064
22630,47569
22188,71600
3560,6112
24686,20795
8327,7387
71626,71627
3054,3053
2541,2540
28602,16346
16569,49138
13035,13036
59531,4448
9545,2666
40438,9502
54240,71715
31682,34543
15073,14064
61052,61051
23566,8733
2217,19444
8784,8783
10349,66569
4900,12396
70870,3786
30880,25965
33540,33539
38701,6108
22603,22602
536,537
10844,8733
16866,32423
1061,8733
36731,47676
47724,41143
18260,19642
8733,6590
2571,8733
20667,20666
2568,72014
66866,66865
23755,23754
12107,40027
29137,18260
33833,28634
2865,66976
45562,16127
19129,58913
28977,6775
48200,54823
45228,45227
14512,72157
28215,28214
8733,42085
38247,23625
13277,24338
36424,36423
70161,12559
26524,26523
47817,43325
3613,3612
18196,18195
72270,72271
3650,39377
3754,3753
46173,46174
11019,3942
33476,67672
4033,4032
5434,72337
16446,12129
12129,44130
13143,21315
33415,30880
70553,70552
57345,56481
68309,65925
23448,23447
56481,61543
15486,36410
72488,72489
8918,31254
50823,13871
47311,29605
37825,37824
23566,72532
66817,14367
2865,72556
55985,55984
25706,25707
43081,8733
56076,11260
43862,3928
53449,23683
18569,53968
16536,8034
47533,47532
15728,15729
8784,33040
66110,49657
18920,18921
19201,10833
8550,57856
45319,45318
19928,72742
34732,65902
4715,66104
72760,15934
11921,509
16031,12730
51271,26150
33843,8013
17630,62129
72818,8683
71600,22188
71817,20019
63239,63238
5667,40040
28634,33833
19464,23084
16776,16775
38532,18260
60651,70020
40619,6775
47728,26168
72944,72945
28409,62749
28863,14755
58913,19129
28006,23860
61488,61487
14139,14522
49889,49888
22364,22365
41355,76
26578,26352
73024,15951
9265,7618
43042,43041
61426,5968
5046,27549
53865,19088
23566,59224
27099,20693
16203,15800
32150,23114
25707,19644
3404,61265
11790,69192
34543,45984
54402,73109
6108,50324
3053,17873
16866,13397
10437,10438
13667,64452
72489,72488
55026,9545
60461,60460
72945,72944
8142,21315
52185,52186
36811,36812
31958,31957
50220,8053
70012,70011
35544,35545
10833,10834
73270,73271
76,49164
16590,16589
15934,72760
32150,13373
17873,3053
8733,1216
17843,59849
33038,61100
72337,5434
10451,52705
10482,28462
3405,3404
52445,52444
23226,31885
68660,68659
71410,71409
72014,2568
1736,1737
2666,9545
19928,31440
42059,10482
33145,57744
44396,44395
72987,631
8733,65804
36247,2730
4003,4002
9506,9505
36121,39656
55309,10482
25696,20790
37825,30040
6108,6316
631,72987
7190,73609
47239,63183
51900,7188
32475,48656
35192,32475
531,530
20613,10482
1216,8733
43654,24866
23293,23292
40818,20968
17613,17612
25965,30880
26597,33095
14166,14165
14323,8889
33705,33704
40045,40044
49227,49226
28863,40811
57380,57379
73757,20273
537,536
50375,38477
61061,27257
37230,53709
15951,73024
34062,268
36247,42218
53398,53399
44920,64338
3014,3013
29605,34065
16866,3676
2464,10034
29092,20693
52996,20222
8683,72818
32298,32297
65679,63395
73907,37131
18555,18554
26352,23213
41276,41275
53399,53398
47371,5014
21939,2240
61238,19290
40039,40038
10284,29717
72556,2865
73958,34732
73961,73962
10350,65622
72742,19928
6108,22973
17247,58060
25899,63452
12129,58888
14064,15073
23774,23775
59132,8733
12037,17552
12133,16866
8407,8406
40667,40666
50843,28353
62559,55192
15009,19845
55745,55746
14139,14138
40730,33222
31905,12129
11245,8912
18260,49153
7203,7202
33021,65650
509,58395
58703,58702
23500,23501
38173,18260
72271,72270
9942,9943
8652,8651
51033,59815
20795,24686
35519,18260
3404,13109
46174,46173
36694,36693
33070,8521
35024,23289
28635,28634
68308,18094
74342,74343
34408,16866
70663,56755
24268,12879
19738,19737
20231,20230
30073,2865
3676,16866
16866,64391
9632,45839
30722,20693
39377,3650
53785,16866
67986,65836
35299,9545
70681,70680
9931,8098
39791,39790
6300,57773
7524,7523
28325,68142
44705,44704
7021,20222
63279,63278
47711,47710
65270,3677
39755,33536
26158,3404
45505,6108
38061,23448
9943,9942
29413,12143
51034,51033
9165,41819
11930,23567
55746,55745
20856,20855
510,509
10947,21223
4682,4681
13777,39509
51087,14165
27550,27551
65970,65969
59250,61542
62788,62787
9545,34344
21074,21073
8889,68332
9545,19899
5968,61426
65650,33021
34065,29605
4715,53013
29489,55427
3956,69516
33705,38574
44320,74764
15979,8057
76,48054
1469,74794
10995,10994
47000,9165
6280,23648
53992,53991
22734,30785
26352,9121
10482,20613
37131,73907
45227,45228
20693,27099
42418,28404
74343,74342
8784,53346
21892,19842
33770,9397
24338,13277
19928,52245
66217,5968
34732,73958
19767,8200
2217,15027
25004,8784
48815,5968
13623,28653
19426,6300
46962,46961
26355,13758
50843,30335
34687,9545
10437,28377
20123,38272
67886,67885
16934,14165
74794,1469
52493,3677
13758,26355
68860,8098
71715,54240
48656,32475
69516,3956
45318,45319
7088,6645
16459,9165
69057,69056
32475,7823
70612,2865
63408,63407
76,33926
15406,16745
8096,74438
10994,10995
44506,44505
3085,24847
50774,50773
16866,16865
34213,34212
21241,21242
44683,407
59757,59758
16866,33474
67656,75114
16569,30880
20155,20156
23860,28006
28007,28006
48054,76
40027,12107
55427,29489
2865,62997
74438,8096
4714,44449
40400,45224
69644,68662
55300,55299
25828,18260
25369,8407
75151,16866
10482,50907
19737,19738
16074,16073
11621,11620
15009,35437
16866,27671
6776,6775
46471,30285
43325,47817
12396,4900
34732,34731
1122,8733
36454,36453
65969,65970
71525,71524
4715,4714
16225,8889
12232,9792
75114,67656
15406,32963
61542,59250
8733,57766
23877,23876
28616,61721
6112,3560
1463,25165
31403,31402
72157,14512
27690,27689
37759,53590
38384,9943
74764,44320
3918,2457
3013,3014
75267,8733
56860,23702
39048,28141
53858,5968
28634,12336
36527,19928
7387,7386
42451,62933
6108,12953
8200,20082
12143,29413
8733,19390
73962,73961
49891,9165
4032,4033
18260,25297
336,335
33222,40730
19129,9282
45102,19104
19088,19087
10437,66668
7446,7447
54660,54659
33360,33359
75331,70670
14522,14139
25706,40044
36612,36611
12129,40505
20273,73757
59882,7671
69300,17130
15009,19928
49562,49561
16127,45562
45919,3072
9165,22535
18094,40002
13151,48028
65203,65202
8912,11245
22602,22603
49516,62543
31475,16682
21195,50184
65836,67986
45092,17552
4821,4820
4473,22784
5886,5885
20660,12730
34344,9545
38432,38431
20019,71817
68404,68403
32475,44659
52475,64537
14014,14013
71627,71626
12129,26996
63442,8570
25899,38309
3404,25346
1899,1898
42366,42367
22973,6108
49164,76
75420,33665
24847,12689
30834,30833
8200,12592
31048,15769
70121,51808
65222,65221
9508,9507
5046,50254
8057,15979
5259,967
73271,73270
13787,13786
46020,45378
48355,10437
44098,44097
26900,1005
16866,63983
23950,32823
16536,17056
66048,39048
40505,12129
33006,40418
54041,57583
20693,30722
20660,16032
67762,23114
5968,9432
52543,43654
23289,33415
33665,75420
51138,5667
72532,23566
58395,509
13617,13616
16319,16318
40045,25707
27156,27155
40731,40730
13777,13776
15487,15486
27625,55822
70774,58415
71411,15334
53234,53233
17050,31880
7240,62390
70670,75331
25504,33021
73609,7190
16682,31475
19710,6553
33539,33540
25370,9545
33536,39755
50742,50741
9636,76
60500,60499
69359,69358
26575,26576
31880,17050
10438,10437
40002,18094
18921,18920
15334,10760
51654,47893
55860,6198
12559,70161
17100,39048
70077,70076
65804,8733
73109,54402
2464,3145
8959,4820
7672,7671
8733,75267
54853,50153
20222,21842
16866,75151
40736,26352
15769,43986
27074,19088
976,45790
23054,23053
61685,50811
2865,70612
