personbelongstoorganization_in_1,personbelongstoorganization_in_2
2884,37104
37538,17151
29182,37819
853,27359
1047,9586
971,20627
1047,15133
30,38184
281,38379
12280,38486
882,38602
501,38810
21329,15836
8736,16375
17102,20345
3930,39167
39273,1653
1047,39529
1593,9929
2152,4753
4442,40037
354,20171
8748,24534
40895,40896
752,4158
35987,12842
2396,13785
21797,41460
1047,1149
257,41649
2405,41964
15470,3995
1047,10562
456,9322
30,6945
30,17770
12624,27200
5735,35281
30,43083
35214,39825
486,9894
977,27895
30,778
43929,43930
456,253
1047,23616
9769,5333
6780,44338
1047,2641
1047,8117
456,9586
257,44679
44738,44739
30,1174
633,22983
44918,28856
4442,34745
35452,27359
45238,44739
1016,45516
12,7663
456,45667
4468,10914
1248,44997
36761,14422
5609,46080
486,20257
6468,6467
15572,15571
46594,46595
15213,39985
46727,32524
30,23409
1047,9046
1248,46912
1047,26053
2163,19281
2152,3818
47420,17151
7791,23836
1248,7245
30,47644
47763,17151
257,47899
1047,19627
1004,48689
16141,48702
2861,48729
48834,5384
456,3169
617,16863
1047,1858
30,1025
33646,9433
456,5847
456,18663
633,19080
1047,935
30,8974
3930,49897
250,17807
11558,11559
7959,7960
1248,28540
2861,50548
1001,21228
4089,37451
2819,8384
4801,32162
30,3229
14738,14739
456,6274
31755,12782
22445,22444
51851,51852
51903,25876
497,496
456,7456
2884,39232
456,935
181,11559
456,17287
633,52582
52766,1514
1597,1596
8748,31297
53153,53154
1047,12564
1969,1968
2694,29272
29182,10112
27235,53820
456,9777
8004,8005
1047,1973
27337,28172
30066,47473
44107,18826
3393,3667
7791,47811
8148,54292
30,4475
29182,24071
2694,19868
23712,54796
2861,32940
3746,18761
30,6941
48350,7011
4549,4548
456,48347
28471,7960
10367,1592
932,14767
1047,3667
54216,29082
172,55417
1047,9777
24288,24287
30432,55854
30,5648
250,52640
12890,51382
56176,56177
2884,56203
30,56273
43034,44858
57,23966
1047,2393
10297,56685
30,11622
47420,47473
5609,39614
1597,10458
456,22937
1047,24664
456,7621
7039,13087
497,24301
2861,50093
4867,48229
1248,567
20537,25875
36,10776
50987,50986
1047,4850
2396,55543
1047,26324
1593,1592
3313,44732
17385,13432
456,9120
7102,7101
5352,5351
31755,50519
10422,40779
1047,35319
7111,26056
2152,20257
3819,19793
250,23887
58934,12025
2152,58967
456,27282
15470,34096
2694,13961
882,10458
1047,19047
41361,19527
62,8445
56559,301
1047,29351
350,4127
2396,16797
38422,30726
2396,59945
6974,38917
50516,43536
60078,437
30,60140
1047,2552
1535,5860
7267,7266
60407,10164
9245,50881
617,9303
456,13807
1047,48149
8748,18628
2733,12859
22573,4726
32284,22360
1016,37835
342,7876
633,27586
456,25100
30,12453
2152,18359
3567,61255
19223,11559
49395,61407
3555,3554
5588,5496
27952,61536
1047,25495
6698,28171
8647,19170
39316,61633
1004,32569
456,29351
61704,42488
456,455
30,35542
4899,51829
2152,29671
30,54082
1047,26321
487,31936
1047,18153
11481,62051
4602,11944
250,15049
28570,28569
1047,6485
1004,34578
24340,56903
15299,42837
30,62486
15559,62558
39748,8437
30,897
1047,62903
11117,11116
2694,35538
633,62976
1835,35346
30,50385
11898,62147
456,3787
1047,385
2152,25592
63330,63331
24340,24339
2694,44569
2396,29165
456,13155
617,13669
250,63653
44738,53472
257,12565
63720,63721
1047,7459
29978,40144
18942,27323
6411,63820
22434,30825
172,63904
456,18200
1047,6358
1004,46599
456,29096
11113,11112
1047,13308
1047,9322
7791,9192
456,43452
2861,64343
5588,6025
43034,61474
30,5368
27607,64553
47681,64561
16141,27563
5305,64188
5356,5355
30,19670
2694,3435
456,5630
15597,3212
43034,43033
16193,65029
1047,23938
6698,45746
8017,8016
26259,778
7791,57510
37171,39285
8647,26623
1248,37006
30,7477
456,7437
53390,4740
2244,39075
456,1995
65499,65500
456,7
1047,24502
30,1330
37465,65848
1047,11230
1597,10481
2861,30713
30,66039
30,50701
8647,35854
9915,14750
30,19820
456,40110
1047,7050
11469,38433
7791,49558
4659,22868
5609,40920
30,15542
19155,66676
10864,25837
30,61577
35987,38159
2861,47493
1047,44924
456,10236
456,2039
25038,9753
56,58465
15597,3912
614,31412
1047,20699
1502,1501
456,27710
30,20803
23851,25617
3108,48485
456,25495
34034,44732
30,28727
1047,5793
30,67665
6913,13296
1248,65112
44742,12703
26090,4127
17102,67854
7098,3630
7248,52273
67909,55671
243,61253
293,10180
43929,46678
456,11052
2396,25407
1047,27892
40895,68311
456,6370
30,68452
19128,50255
4089,17997
250,742
37626,37625
11380,11379
1047,51751
26057,26056
14538,9567
5588,62916
447,5280
1256,15571
1047,10990
6375,51636
257,25049
257,42817
2303,40405
456,15971
2694,69241
8748,59852
1047,3264
501,61788
3344,4326
50832,23827
1248,46546
7111,69403
633,49968
20797,52522
59327,34624
456,11230
30,40082
100,10481
67734,67733
250,69595
3161,18395
5374,5989
21448,61253
2396,56463
113,50766
19338,14485
456,13866
1047,9120
2170,897
62,21228
2152,28540
250,4606
1047,18038
8748,39976
7791,51852
8748,40268
1047,8704
354,36988
1248,49867
456,19632
30,48758
5609,36878
5044,55997
1047,7456
1047,1234
10457,4875
8748,7130
7791,36483
28807,28806
5588,29620
70537,70538
30,31335
7791,48786
1047,3627
617,66684
9375,56233
70793,70794
8703,27638
326,11294
1047,25699
7791,43424
1248,9171
11667,38433
50337,10200
172,171
250,7666
9663,28842
71060,10835
30,4850
8946,3917
250,15999
30,13068
1047,42232
54950,54949
64333,64332
456,8437
1047,9771
18586,2727
1047,19772
15205,39614
21908,67774
12028,18268
7878,22356
30,59146
456,26709
30,47280
30,1103
1004,21228
1047,27418
68,55563
2004,71881
2007,61627
497,58630
5588,13255
30,18874
250,46168
30,16504
15205,32942
14200,14199
1047,1442
806,49625
7111,40365
291,54805
13230,28569
19280,19281
456,1234
2953,20257
456,3504
30,47177
30,1671
717,56866
250,24750
15205,11116
1047,778
18630,58622
15845,3588
11954,11953
7039,10659
41029,3588
5588,8973
72474,72475
1047,4044
456,24502
633,14196
40866,23768
30,50336
1047,12633
1047,7
2861,778
1047,46300
1047,14359
68139,47811
1914,44102
1011,55997
257,67858
3930,10458
291,290
21448,39158
2396,68564
1047,12874
3990,50548
2152,22513
30,18750
8560,8559
456,13308
456,6228
1543,496
45826,42300
58599,14485
456,3627
1047,8359
250,23364
2861,59485
21797,21796
172,43271
5602,7505
73183,73184
257,28171
59439,50385
50323,7101
30,12911
69745,69744
243,21707
5588,53548
6698,73326
29182,48185
8748,9807
1047,11902
7791,40286
2224,41254
1079,55567
17579,73410
1047,12056
456,10352
2694,34757
456,778
1047,7841
10417,55061
7699,73510
14133,7016
73532,9058
1047,3787
1593,34789
497,54615
8179,36237
5588,50881
36,16906
2396,3008
21448,48867
6683,20171
1047,3995
4165,22868
1079,70961
27896,27895
50168,29273
8748,48572
456,1784
456,17555
30,49205
456,38811
30,33582
2861,19183
1860,33209
882,12842
48813,23827
20172,34621
7115,72172
4662,28338
15045,37535
23386,57454
8647,4567
456,14087
8590,34720
17385,15968
9769,11902
2895,58261
3567,8530
30,74176
486,64458
2494,8384
486,71396
456,1973
30,19632
1047,3504
250,6969
12031,74325
73360,42300
1248,64492
1535,43377
41038,19544
4703,38433
29759,21677
456,51891
257,61467
2396,28455
30,71063
23307,63261
250,9370
556,58793
7812,34186
30,14533
15213,15212
1047,14087
12624,12625
28519,20257
74683,7864
17426,61137
1047,42167
8366,28147
2694,9589
9245,10133
8748,35114
1047,25100
29182,16693
22366,2132
20519,20520
6689,11546
9682,778
456,16454
1535,21549
447,10481
7791,65489
456,1858
25332,25331
8647,12047
1047,1303
3893,73607
14077,6667
456,1442
257,17263
2772,72525
58365,22865
30,69811
69,53017
1047,17287
1047,45536
26810,9395
29401,11510
69862,21823
1047,23543
633,1234
30,43675
15213,70346
1047,16454
1047,15156
53957,29011
5352,56344
2152,35854
11003,75104
2368,72641
58365,75040
5735,10180
617,28540
10311,69072
1047,45525
21873,35305
456,8061
22092,68334
13738,13739
2172,29671
35987,4127
11465,3588
1860,19941
8179,40203
1248,57072
5588,56908
10739,13551
4602,55455
1047,5630
56,72091
21908,55146
664,26857
1047,16315
2694,72881
5588,27101
1047,55028
4418,11065
1493,26623
29759,74739
617,4753
15143,14096
30,4011
3228,48025
456,18052
6468,39382
1047,12083
354,17188
4899,38886
43608,43607
2396,34988
36,26376
31486,36871
1004,27545
456,874
2152,10458
8748,1425
4926,20627
257,17406
30432,75096
63659,63658
617,18359
58365,24090
32168,32167
23475,47291
1004,49524
1047,7437
8748,41519
6698,25485
30,33266
1047,187
29182,50548
74530,7075
1248,71607
3366,61388
70530,11559
2861,16693
486,63004
1535,1536
27235,7864
6375,16899
1047,27710
8179,65744
3567,19749
2131,2132
30,14002
6869,40237
1439,5351
1047,1784
257,59353
250,21764
291,11094
39800,39799
57712,11559
257,38602
1047,5733
6698,57615
37691,13209
342,13662
9524,49550
250,9968
1047,25233
30,27006
6689,29147
6294,10112
7111,67751
456,10164
41119,24451
5588,21957
6698,66415
34550,11323
