hasspouse_inv_1,hasspouse_inv_2
58660,57058
10086,45596
1750,33369
1995,25295
6013,6014
45171,45170
51250,55477
28839,28838
38475,38474
30876,30875
52423,9120
36858,36859
56833,59464
31223,42284
25670,52039
15687,55222
55632,55631
54557,54556
59998,59999
58807,58806
48348,48347
28172,4480
14713,21044
32413,32412
38067,9322
8546,16588
4475,1025
7597,7598
42971,55893
48010,60851
2685,60979
30050,60981
46545,46544
50513,11196
61023,12556
6358,61352
61432,14165
12556,61023
61684,11825
4902,40456
61839,61840
47529,47528
24840,24839
25607,58861
51398,5667
312,10164
26566,23536
62514,62515
1773,17524
31223,62679
37488,37487
16171,16170
10601,10600
25607,63317
39553,9073
54556,54557
12154,12155
46000,46001
12037,62559
33177,33176
8576,63606
38581,38580
19347,19348
63980,63981
23299,20164
64099,64100
1076,1075
38475,64204
20795,43503
62559,12037
59999,59998
62933,62932
64867,64868
45568,45569
45012,64880
61829,17644
3100,22844
60981,65409
54556,65420
32931,32930
20795,20794
45569,65495
30321,30320
21160,25232
6013,14870
3177,3178
10600,10601
35734,35733
59613,59612
40213,40212
12373,12372
25574,25575
33760,25999
55631,55632
55019,52423
66207,58556
13184,13183
19430,18191
62932,62933
30875,30876
30019,10086
55222,15687
22303,31699
36871,15195
23800,23799
9073,30035
27222,27223
42155,42154
67062,67063
44989,26059
67138,66957
47294,47293
67211,18510
66957,66956
20837,22452
34424,36098
4480,21024
11510,34424
22588,19760
18040,19551
59413,59412
58617,68188
12037,53689
64523,64524
6358,21067
63102,63101
13789,13790
40201,40202
58629,58628
18231,45326
10835,17905
43704,67421
19211,19210
67211,68775
1432,1431
4922,1651
12037,49491
13440,20875
42550,42551
31223,69071
16346,16345
13315,69102
1831,66010
19376,69153
24319,24318
56712,56711
56719,15914
60503,11510
12053,12054
25361,43270
51998,50398
17514,53802
48348,69532
69585,69586
11510,60503
68262,69632
51534,51535
9073,13994
41469,16302
4716,14520
19852,40155
2897,14264
15992,15991
15660,18922
46923,46922
18592,18591
8458,8457
29134,54513
14258,14257
42783,44817
34199,34200
6358,67234
57108,57107
45569,45568
53802,17514
39345,39344
48155,48154
54656,21176
21160,21159
25052,4922
7261,59567
33369,1750
28472,7
70147,70146
5667,51398
26474,26473
12155,12154
46922,46923
1784,26954
43270,25361
7475,28036
21157,33455
4011,12633
42437,42436
51535,51534
34820,15952
17644,61829
12577,20159
39043,24443
64258,64257
40456,4902
7261,7260
24078,54341
25361,22937
24792,59530
19515,19514
26954,55148
52541,52540
18813,25263
2686,2685
39526,39525
23442,23441
25606,58705
62515,62514
40212,72358
56467,18040
14780,14779
17822,22210
49172,49173
20635,60952
1995,34473
72558,72559
48182,48181
57058,58660
50370,50371
3241,32404
22106,22107
3912,27418
7745,7744
35403,7691
28269,26499
27282,29310
15952,15951
33518,33517
4538,4537
14650,34425
39685,58504
31223,55065
28930,28929
19243,19242
55285,55284
51321,4716
17471,31455
45671,6485
21815,43704
13387,13386
61840,61839
55143,29874
4480,66208
13271,13270
49173,49172
14476,14477
43806,43805
28651,28650
64524,64523
24551,24550
43599,32660
12037,57516
40396,44675
6013,2636
52423,52422
8546,41642
18510,53763
36859,36858
49695,49694
10835,23299
31699,22303
41776,39766
44532,44533
32709,7182
26717,26718
73984,17471
26499,28269
14477,14476
20875,13440
5886,54833
18191,19430
25575,25574
40202,40201
44795,20050
4716,51321
8918,8919
7295,74123
29546,29545
59385,59384
13790,13789
18499,18498
35789,35788
19760,19759
50255,72551
38474,38475
24443,39043
1773,797
9395,9394
32979,32978
39685,39686
43704,67018
74402,74403
1831,1832
25606,42590
19348,19347
23020,42648
23299,10835
43228,43227
51997,51998
22174,23480
38715,38714
39766,41776
74395,74394
46544,46545
38067,12038
19376,67194
27229,27228
69381,69380
3627,5795
20622,20621
64100,64099
19376,70940
29874,25919
14108,46500
63101,63102
3178,3177
58938,27125
52822,267
42590,25606
13288,19627
64868,64867
47528,47529
73972,60159
39529,10336
21157,21158
75113,61684
43227,43228
52423,55019
38709,38710
61085,61086
9580,9579
9322,38067
37487,37488
27405,27404
23508,23509
51568,7867
42551,42550
29244,29243
4475,5648
62990,30304
32978,32979
15991,69252
6013,74391
43406,43405
25601,57408
49541,49542
16947,34916
12071,12070
19760,22588
22408,22407
42590,27389
18931,1749
14087,34620
9357,9356
26281,58162
69730,69729
12372,12373
53962,15824
45654,45653
58442,48005
15660,69605
15660,15659
23870,23871
54334,54333
14165,61432
33773,33772
11691,11690
20795,31139
61086,61085
6013,36742
75125,52162
21160,71441
7744,7745
27432,27431
27404,27405
64880,45012
49454,71487
71586,15024
12037,48348
40155,19852
18749,18748
22107,22106
37294,37293
20837,20838
27125,58938
18040,47832
33420,52220
19614,51433
64324,64323
31223,70930
32866,32865
16831,16830
18300,18299
7598,7597
73929,33177
