agriculturalproductcookedwitha1_1,agriculturalproductcookedwitha1_2
3150,9783
28716,810
12936,507
18577,3291
1013,507
2847,1146
1413,34516
5818,1413
38509,810
9056,810
12936,13130
14819,1413
7126,1013
3292,2848
1412,810
3291,7602
3292,3076
3076,1139
445,33370
36830,810
41047,810
445,17519
1413,13130
2848,1013
1413,4260
445,5131
445,8744
3291,2834
1413,5410
3150,507
1413,3349
26263,1413
13256,1413
445,9056
16874,1413
2834,260
20060,810
29632,810
18274,7602
445,43387
2848,6337
507,2847
15099,810
58700,2834
2834,28716
1413,22719
5437,1413
1413,23639
6354,2834
2834,47705
9611,3292
1413,47705
8444,1413
1012,8744
12093,1413
34237,2834
3979,2834
507,263
2848,9211
1413,6771
1413,58058
1413,51292
1413,1521
45535,1413
59739,16543
1413,58950
2834,33525
3291,3292
18274,810
3292,810
1413,60063
1413,9211
28092,810
2834,810
445,9611
1413,33291
3076,507
1413,3278
41278,810
1413,12759
25152,2848
1413,29530
6130,1413
445,6354
33370,1413
2848,10599
2848,3291
15053,810
2848,4872
1413,60987
29530,1413
810,507
58191,810
507,4872
24718,1413
6337,1413
2847,7602
2834,3278
9056,3292
9783,1413
33525,2834
2834,9695
445,2167
14041,810
11883,810
1413,23846
24192,1413
1413,56479
507,1498
33525,1413
18121,1413
263,1413
18577,507
2847,1413
30153,1413
7987,11161
445,5502
11383,1413
24569,1413
8444,507
17364,1413
1413,37495
9515,5502
2834,8487
12326,1413
2847,3292
260,1413
4632,1413
3291,52664
43784,1413
38175,810
1413,7126
507,8128
445,5746
6227,16559
28716,2834
1413,49900
1413,19217
1413,46504
445,6337
3150,2834
1413,10050
1413,41488
3150,1012
1413,3979
7494,2848
1413,3339
11161,3291
37552,1413
2847,1407
1413,27597
1413,4872
1413,18577
13858,810
3979,1413
6347,1413
23846,810
2423,2834
2834,3292
16543,810
507,5502
8961,810
3150,30392
2834,33370
2834,3291
1413,7687
1413,6227
2885,1413
15202,810
3291,2423
5131,1413
2848,7494
27597,810
1413,32012
41353,810
14502,1413
18121,810
445,25376
16543,1413
507,445
1413,25660
1413,2057
14328,1413
445,17081
3278,2834
1413,9695
9515,12936
2834,2847
3150,9695
2834,1823
3292,36830
2834,9783
1413,35712
14526,1413
31141,1413
2834,7124
1413,2885
30563,7602
3292,7987
3292,2834
9211,1146
8524,1413
445,10599
17075,810
1013,1146
60987,810
2848,7126
2848,41047
507,36830
26323,1413
41278,2834
445,59263
1413,17081
11660,810
1413,33064
1413,16273
1413,21224
2847,28716
17572,1413
1413,3292
30563,1413
9211,4872
23846,1413
2834,4457
507,18121
2847,3150
1413,53478
445,33291
24600,1413
2850,3292
3291,6771
3292,16259
507,3292
1413,28814
507,38509
2834,1521
20060,1413
1013,1413
1146,3291
24428,1413
11180,1413
1413,25986
1146,15605
1413,18988
7395,2834
24565,810
445,1013
507,1956
11249,810
1146,34237
5878,810
15099,1413
5502,15605
1413,31550
1413,11635
10618,2834
1521,2834
2834,6347
507,6227
2834,9611
26832,2834
1413,16398
3292,3291
22207,1413
445,3339
26323,810
1413,14526
1982,810
2847,17362
2834,4329
1413,15099
1413,28213
507,17362
17204,2834
3291,8744
28814,508
26832,1413
2848,15605
1413,67303
33291,507
13130,2848
1498,2834
10829,1413
18274,1413
5437,810
507,18577
445,11660
5746,507
56479,810
7602,507
12024,1413
27854,1413
25054,810
23639,1413
37495,810
22795,1413
2057,1413
507,508
15605,1413
507,7987
1413,16259
2834,10618
23846,11161
3291,9783
14834,810
9695,2848
1413,21784
2834,11180
1413,10829
445,68364
1413,68398
2834,9578
4777,2848
2847,8126
1413,33525
3150,2848
445,30563
6354,8744
1413,25109
2847,445
1413,35621
1413,48171
445,508
1413,17704
16559,1413
35712,2834
15099,16273
27983,1413
2834,5502
1972,810
49900,1413
2057,810
507,21199
7121,1413
8444,48873
1413,11383
34071,1413
14819,810
2834,21624
31550,1413
35712,1413
48899,1413
2834,445
445,18121
8139,2834
11660,1413
2834,16543
2834,16259
3292,7602
445,17292
1413,30153
1413,4373
3373,810
1413,12863
1413,34071
15550,1413
3150,9211
6354,1013
6825,507
1521,1413
13332,810
2765,3291
1413,4457
1413,5746
3339,1413
445,3349
66144,1413
1413,9515
1413,64582
1413,39212
26263,810
2834,20060
445,3076
59263,810
1413,16077
1012,2834
1413,17364
2423,1413
507,1413
16077,1413
2848,1413
507,15202
1413,28092
1413,11660
1413,26686
507,7602
23709,507
1413,17204
9515,2834
3292,9056
1413,8126
3076,6227
3292,3150
7987,507
27597,1413
1413,2423
1413,59263
507,28814
1413,58191
445,10829
2847,18577
35815,1413
5502,7602
59183,1413
3292,18577
7602,3292
445,7602
1012,810
2834,35712
2834,15622
1413,11088
48559,1413
6227,2834
1413,8744
5746,1413
55524,810
21199,507
2834,7987
445,17704
2834,17608
21624,1413
8744,1413
1413,7121
1413,31141
9695,2834
14502,810
1413,55524
445,17204
1012,68857
1413,7602
445,28534
9783,810
3291,15605
18710,2834
1413,16559
445,1956
1413,3288
1413,19060
55524,1413
507,33291
11180,2834
2765,810
15896,810
1413,6470
28814,1413
19217,5502
18893,810
1413,15200
4373,810
1413,14813
1413,13652
1413,1956
39212,1413
31406,810
27091,810
2834,1146
445,26832
19060,810
2834,33064
445,48171
19217,810
1413,8961
1413,13799
445,21594
2834,6354
3292,9611
9783,3291
15485,810
1146,263
1413,9578
1413,17560
2834,6825
3150,4260
3278,810
13198,1413
1013,9783
2834,1013
9578,2834
3150,18710
7987,810
6983,810
1413,15485
7002,1413
15562,1413
28814,507
445,10050
25152,1413
3292,5746
6771,810
1413,29126
51292,1413
1146,1013
12326,3291
67303,1413
1012,1972
3373,1413
1413,1353
507,12936
1413,33377
7562,2834
21199,1413
1413,34237
12093,810
58950,1413
30563,810
7126,2834
13130,3291
15605,2834
40968,2834
10599,1413
8961,1413
40090,810
1413,12024
2848,7562
29688,1413
1413,37552
9056,507
2167,810
1413,5131
2834,1982
9211,263
7126,810
810,1413
1498,810
15200,1413
445,25847
3150,2765
445,1498
58200,1413
47290,810
9578,810
33370,810
2848,19217
1146,9695
13286,1413
1012,29126
1413,14328
445,7124
507,6825
445,11249
1413,1412
13858,1413
445,19217
38175,1413
1413,17572
18274,3291
12955,1413
445,1413
13216,810
7121,7126
445,2834
9578,1413
1413,27862
1413,1850
44699,1413
3292,21624
1413,44699
16273,810
3292,507
1013,9211
3150,15605
5502,6227
8487,810
2847,3349
7562,1413
507,48631
17608,2834
2847,32012
7124,810
6771,2834
16543,2834
7602,445
2834,33291
1823,1413
1413,13256
3150,3339
1413,21624
1013,7126
47705,1353
2847,14502
10618,1413
12863,1413
15202,1413
507,17081
32012,1413
3150,7602
16259,1413
13256,810
25847,1413
7494,1413
2847,5502
3150,3291
1413,4329
25660,2834
8128,810
23822,1413
13286,810
17324,810
1413,2847
8487,3291
22795,810
7002,810
21224,810
20060,2834
808,1413
31406,2834
28534,1413
2834,30153
1413,41278
35980,810
1146,2834
507,14328
58058,810
1413,58200
64582,1413
445,9211
9515,2848
1413,38136
34237,1413
3150,1146
7306,1413
1982,2834
38509,2834
7602,1413
1413,7306
10829,507
1413,9056
2848,3076
445,8126
37552,2834
2834,15099
33291,1413
58191,1413
7428,1413
4373,1413
1413,38666
1413,48559
15622,1413
1413,1982
1413,8314
18893,1413
4128,1413
3150,1013
1413,2850
1413,6337
2834,27983
445,5878
445,25152
2847,17519
1413,15550
2693,1413
53478,1413
60063,810
1146,2848
33064,2834
25986,1413
6227,1413
1413,10599
507,3291
808,810
1413,35980
1413,4573
1413,4128
2034,1413
445,73881
1413,59183
9783,1013
17292,810
1413,11883
33968,810
1413,20060
11883,2834
27983,2834
3373,12955
9695,810
25376,1413
445,33525
1413,14502
1413,66144
1413,8139
1413,18893
2834,1498
2834,15605
5553,810
1413,13286
445,58200
10612,810
9695,1413
1413,12326
71366,810
1413,38509
29919,810
445,1146
2834,16273
4457,1413
2167,2848
810,41351
19217,2848
40398,1413
18577,810
18988,1413
507,1982
25059,1413
445,8128
59263,1413
3291,445
10612,2834
445,15605
1413,445
6771,1413
2847,810
1413,37878
9515,810
9611,2834
34516,810
32228,1413
1413,11161
15099,3291
5502,1013
445,15202
1413,33968
507,1013
1413,1498
15605,810
445,4128
2847,3076
1521,810
2848,9515
1413,35815
4329,810
17081,507
15232,2834
34237,810
2834,12863
1413,36417
1413,7395
15562,810
1413,6825
445,17608
27066,1413
5553,1413
445,23846
1413,260
1413,27091
27066,810
8524,810
1413,3150
33291,2834
2847,7987
18577,13130
2834,5131
1413,25847
21174,1413
507,810
507,1146
7126,2848
3150,6771
2834,18710
46504,1413
1413,5553
5131,2834
9695,1013
3150,4872
1413,13205
1413,16874
4464,1413
7987,2834
14328,507
52715,810
810,9611
9783,7126
4872,1413
2423,810
1413,10618
38666,1413
16273,1413
445,9578
28814,6227
41351,1413
18577,1413
1413,263
2834,7602
1413,26580
11161,810
6825,810
1413,14819
1413,16543
8444,3292
1413,7002
7124,1413
2847,41278
2834,11883
1413,10612
