agriculturalproductcookedwitha_1,agriculturalproductcookedwitha_2
12326,1413
1413,16273
810,15485
810,16543
21624,3292
2490,6354
5131,1413
1146,2847
23639,1413
810,11088
2693,1413
9578,1413
810,2834
1413,12024
810,11883
508,3292
17704,445
1413,24569
1413,27091
2167,445
1012,445
1413,21199
810,52715
7602,1413
1413,41278
1850,1413
2848,2834
8744,1146
25660,2834
4573,445
26686,445
2848,7126
810,23846
21594,507
53478,1413
2834,3291
1413,15622
4457,507
1146,2834
1413,6354
16077,507
2834,21624
1413,29126
29530,6354
25847,445
810,445
1413,10050
1413,21624
8744,1012
1413,7687
3292,445
1413,12955
810,10599
2848,7494
810,12093
1413,6239
24036,1413
3292,3150
17362,445
30392,7987
32228,1413
2834,1413
1413,31141
8961,3291
55524,1413
1413,33370
1146,2848
48171,445
507,33291
40398,1413
810,26323
2834,15099
18577,445
12863,1413
16273,445
1413,16259
810,14834
20060,2834
25059,2834
810,56479
810,41047
1413,3288
4457,2847
810,45248
1413,8744
1413,10829
810,38175
810,18121
1413,507
2834,3292
17081,445
16398,1413
27734,445
25986,1413
2834,1146
2834,1982
1413,5131
810,5878
26832,1413
43694,1413
18710,1413
445,2850
8139,2834
8128,1413
11180,1413
2765,1413
1012,1413
2848,9211
9056,3292
48899,1413
1413,58191
14819,1413
30414,1413
810,25054
29688,1413
507,12936
9783,2834
7494,2848
1413,24178
1413,11883
1413,58950
260,2834
43784,1413
1413,34237
810,10612
1413,28814
1413,59183
7126,3150
810,2423
810,59263
507,8444
48873,8444
810,33968
810,11249
507,14328
810,58058
1413,9211
1823,2834
1413,34071
7562,507
4872,2848
1413,9611
6825,1413
3076,2848
1413,29688
810,15896
1413,39212
9695,1413
1413,21174
810,25109
3291,18577
1413,1013
24178,1413
1413,26580
1413,1353
48631,1413
1413,5553
1413,21594
8126,1413
507,2847
1956,445
11161,1413
7494,1413
1413,23822
31406,1413
33370,445
810,41488
8744,6354
11660,1413
48631,507
3292,9611
507,21594
810,29632
1413,15053
6347,3150
2765,2834
1413,18710
810,18274
507,3291
810,8961
1413,12293
21199,1413
7126,1012
507,1146
2834,15202
8961,3292
445,3291
2834,17608
28534,1413
15550,1413
7126,2848
27066,1413
810,8487
1413,9695
6771,1413
1413,27983
18577,810
43845,1413
4457,3292
1498,445
3291,8487
3291,1823
1413,45535
5502,2847
27091,1413
2834,9211
16273,2834
263,9211
9695,3291
14502,1413
7602,5502
5502,1413
4329,1413
28814,6227
1413,23709
2834,25059
60987,1413
810,28716
1413,810
9232,2834
26686,1413
810,28355
810,3349
507,17362
33291,445
2834,2765
23709,507
1413,4632
1413,11161
8128,507
508,507
1823,1413
1146,1413
7562,1413
1413,508
507,8128
34237,1413
11249,1413
1413,49900
1982,507
810,6354
445,2834
1413,445
3292,18577
1413,6130
15232,1413
810,3278
28534,445
19217,2848
9783,3291
7121,2847
24178,445
1413,16559
1413,1982
17292,445
24192,1413
2834,3278
2834,7126
64582,1413
6337,2848
1956,2834
26580,1413
810,3076
48559,1413
810,19231
1353,508
11180,2834
1413,38175
16273,1413
1413,13858
1413,43845
810,17519
33291,1413
24718,1413
27862,1413
810,2167
1413,2850
1413,64582
2834,38509
2834,14502
7602,3292
810,17608
1413,25059
31406,2834
3339,3150
41278,2834
810,36830
5502,507
1013,15605
12093,1413
810,3288
810,3291
810,15605
1413,10612
507,38509
1413,16077
1413,8487
1413,17608
2834,8139
2834,20060
7687,1413
16135,810
4260,3150
1413,11383
27597,2834
16259,1413
3076,9056
12936,9515
66144,1413
9611,2834
1413,3349
263,507
1013,19217
2848,445
1413,38136
1413,9056
8487,2834
34516,1413
1413,18274
810,33064
810,12863
810,7687
21624,2834
1413,48171
9211,2834
1413,7306
27983,1413
7124,445
810,18577
1413,36417
13130,12936
7602,6825
2834,5502
1413,7124
810,9056
1413,6227
1146,445
3291,13130
3292,2834
6354,445
1413,37878
23846,445
12847,445
16135,445
1013,2834
1413,30153
2834,30153
810,1012
1413,18577
1413,12936
810,55524
15605,2848
17081,1413
29126,1012
810,10829
507,5502
3150,507
2834,6227
44699,1413
1413,3979
16077,1413
45535,1413
26832,445
1413,244
27854,1413
2834,10612
17292,1413
1982,2834
1413,15232
1413,48899
1013,6354
3349,1413
1413,33525
37878,1413
6130,445
1413,18121
20060,445
810,16135
810,35980
18988,1413
1013,445
1413,14813
47705,1413
810,41278
33291,2834
1413,17519
1413,12093
16543,1413
7124,1413
4457,445
15605,3291
810,60063
2848,25152
2834,2423
21174,1413
16259,2834
8139,1413
810,33525
1413,7126
1012,3150
38666,445
810,2765
1413,38509
33064,1413
10618,1413
810,6771
68857,1012
1413,7121
13256,2847
4872,9211
15605,5502
1413,24600
1413,3278
6771,3291
810,11161
13858,1413
9056,507
1413,263
1413,2765
13256,1413
12955,1413
35712,1413
2834,16259
3349,2834
14328,1413
36830,507
2847,2834
21624,1413
1413,15099
1413,23846
1413,3292
1413,59263
7562,28814
11883,2834
7126,7121
1413,50040
7602,18274
810,19217
508,3150
3291,2847
1492,1413
810,3979
9219,1413
1498,1413
30563,445
1413,36830
7987,1413
2834,33525
6227,1413
1413,1012
25109,1413
1413,22207
5502,445
1013,1413
1013,3150
7602,3291
15605,2834
24428,1413
9695,2848
4373,1413
507,21199
4457,1413
1013,3292
2850,445
7602,2847
15202,1413
810,22719
810,2490
2834,16676
2834,41278
1413,2034
810,18710
1413,25152
507,4457
27734,1413
28814,507
2834,18710
37552,1413
810,6983
810,15053
2834,15622
810,71366
2848,4777
1012,2834
507,4464
38509,507
30563,1413
810,3339
13652,1413
8744,3291
11161,7987
11161,23846
1146,3150
1413,27862
810,507
1413,15440
18577,507
33291,507
445,2847
1413,21784
9695,2834
33370,2834
17362,507
1413,4128
2834,9611
15200,1413
21624,445
15202,445
810,2057
810,58191
260,445
15232,2834
1413,2834
12863,1146
9211,2847
34237,2834
13130,2848
1413,55524
810,4457
1413,67303
1413,10599
17704,1413
1413,6347
10618,2834
1823,13216
4464,507
1013,1146
7987,445
810,1498
4872,1413
810,26263
508,445
2848,1413
3291,52664
810,13256
1013,9783
19060,1413
6227,18577
16135,6227
1413,27734
2834,7987
1413,9515
41351,810
1013,1012
1413,33291
810,38509
60063,1413
810,25986
10612,1413
810,7124
15485,1413
1956,507
56479,1413
7126,1013
15053,1413
9211,2848
1413,7494
6347,2834
23709,1413
8126,2847
2834,5131
2850,1413
810,27066
30153,1413
507,445
1413,9783
26323,1413
1413,6337
810,33370
1413,28092
1413,2885
1413,51292
41278,1413
6239,1413
6347,1413
1413,7002
244,1413
1413,24428
34237,3150
810,4260
38666,1413
810,260
1413,58200
1413,24718
7602,9056
16259,3292
507,3076
7124,2834
1413,17364
1013,7602
810,17292
1413,22795
40968,2834
21199,507
810,41351
12863,2834
810,9783
17081,2847
27983,2834
508,1413
2834,30563
3291,12326
6130,1413
8444,507
53736,1413
20060,1413
2834,33370
3291,3150
5502,9515
810,8524
2848,10599
1413,32012
33064,2834
15605,1413
6227,5502
23709,445
1413,12863
2490,1413
1413,35815
6354,2834
3150,3292
507,10829
14526,1413
15562,1413
2848,19217
11249,445
1413,30563
15622,2834
810,21624
25376,1413
7987,3292
1498,507
263,1146
28814,445
10829,445
2885,1413
1982,445
1413,3291
73881,445
6241,3292
41353,1413
22207,1413
40090,1413
7602,507
5437,1413
38509,2834
9056,6227
3979,1413
1413,43694
2847,1407
2834,11660
1353,1413
6771,3150
59183,1413
2834,58700
1413,15605
810,34237
810,9211
10050,1413
3349,2847
1413,3339
1413,1972
22795,1413
9695,3150
59263,445
3150,9783
2834,33291
6227,16135
15099,1413
16077,2848
2848,13130
1413,43784
18274,507
2848,15605
445,3292
1413,31550
9611,810
1412,1413
1013,7126
810,5553
1146,9211
810,40090
810,13858
8744,1413
1413,25054
810,4329
7562,2848
2834,33064
15622,1413
3292,507
4128,1413
810,1823
30153,2834
9056,1413
52664,3291
12326,3291
12936,13130
16559,6227
810,15622
10050,445
1413,5818
38136,1413
810,3150
59263,1413
1413,41351
5502,2834
3291,445
15605,3150
24600,1413
4260,1413
260,1413
810,14041
8314,1413
810,31406
810,7002
23822,1413
5450,1413
2848,9695
9611,3292
1413,13205
17081,507
810,3292
2057,1413
810,1972
1498,2834
9783,1353
2423,1413
1413,25376
41488,1413
810,29530
47705,2834
9211,1146
810,6337
26263,1413
15202,2834
1413,48631
1413,53478
30563,2834
18577,2847
17572,1413
1413,5502
2834,35712
4329,2834
6227,2834
1413,23639
810,29919
3979,2834
3278,445
6983,1413
1413,6825
34237,1146
1413,17362
2834,1012
16543,59739
68364,445
1413,7602
1413,8961
7395,2834
810,13216
1413,17081
6337,445
2834,25660
12955,3373
2848,1146
28213,1413
58950,1413
2834,19561
17560,1413
810,21224
1413,808
2834,16543
4128,445
58058,1413
3278,2834
810,47290
3291,18274
1413,66144
1413,13198
1413,28534
58200,1413
3292,3291
1413,19217
1413,48853
2848,4872
1413,16398
810,4373
13256,445
21594,445
5502,19217
3150,2834
810,15099
263,1413
14328,445
810,20060
3339,1413
3288,1413
507,28814
5746,445
1413,15562
16543,2834
4464,1413
810,1412
1413,2693
507,15202
12936,1413
35367,1413
25376,445
1013,9211
2834,9783
12326,9611
1413,7562
1413,17572
4632,1413
16874,1413
7987,2834
1413,27854
9783,1013
2848,3292
1413,17204
810,5410
17560,445
7602,2765
7395,1413
2834,445
507,7987
46504,1413
3291,2765
1413,26263
28716,1413
810,24230
1146,507
1413,37552
810,60987
27597,1413
48171,1413
15605,445
18577,1413
5818,1413
33525,445
1413,3373
445,507
4872,507
15605,1013
810,15562
810,18893
9211,3150
58191,1413
810,16077
38509,1413
1413,4457
1413,8128
5746,1413
68398,1413
1413,8126
9515,2848
810,11660
14813,1413
2847,1413
7602,2834
810,23824
1413,10618
808,1413
2834,15232
37495,1413
10829,1413
7306,1413
1413,4777
9211,1413
2834,26832
1413,31406
1413,2423
1413,260
810,16259
810,1013
1982,1413
7126,9783
1413,15485
2848,2847
33525,2834
41278,2847
810,34516
1521,1413
263,2834
15440,1413
6227,21199
8128,445
9086,445
1413,5746
17608,507
32012,1413
1413,40398
1413,13130
58200,445
4872,3150
3292,2847
17608,2834
67303,1413
5553,1413
1413,4329
