drughassideeffect_inv_1,drughassideeffect_inv_2
213,31948
213,13882
213,58528
213,56237
213,56937
213,44431
213,58758
213,58771
213,11262
213,54004
213,5999
213,59024
396,39194
213,24116
213,55364
213,37452
213,52909
213,49018
213,55369
213,13876
213,20513
213,59584
213,59624
213,51296
59690,5999
213,49642
213,58428
213,40651
213,59820
213,59832
213,54243
32675,26953
213,19184
213,34017
213,59767
213,23506
213,56804
213,49321
213,61049
30610,26953
213,61138
213,16909
213,52489
213,58762
213,30503
213,26101
213,58774
213,61690
213,59776
213,57160
213,316
213,62165
62200,8131
213,62207
3106,2042
213,20166
213,62433
16582,412
213,62542
213,58359
213,62667
213,14842
213,36757
3106,8131
213,63044
213,63173
213,63215
213,55873
213,15221
20197,20196
213,63460
213,63468
20197,6474
213,9494
213,44799
213,63716
213,63734
213,45281
213,63744
213,29457
213,26764
213,57265
213,63900
213,8791
213,10139
36618,32676
213,63985
213,45085
213,58689
213,60558
213,62799
213,64171
213,64241
213,39889
213,56940
213,19595
213,48654
213,10250
213,28922
213,64503
213,55901
213,64620
20197,26953
213,19516
213,55839
213,43333
213,64994
213,19318
213,65084
213,22531
213,63170
213,61089
213,65182
213,65216
213,65238
213,65262
213,65309
213,22318
213,33299
213,37433
213,65397
213,32926
213,65528
213,65674
213,33583
213,2042
213,65855
213,11976
213,66022
66073,15221
213,66171
213,48264
213,66253
213,66256
213,62436
213,39713
213,47249
213,60194
213,57241
30610,32676
213,66615
213,52363
213,45385
213,66802
213,42865
213,66953
33544,22103
213,57691
213,50839
213,23156
53008,53007
213,6443
213,67242
213,10005
213,59251
213,46523
213,56757
213,21709
213,50403
213,48965
213,67680
213,51281
3817,57445
213,36556
213,48600
213,59174
213,52331
21352,4412
213,45850
213,52574
213,15411
213,43612
213,66376
213,21110
213,62306
213,29500
213,49244
213,33498
213,68300
213,12209
213,27542
213,57632
213,47035
213,31352
213,25578
213,18956
213,68532
213,56609
213,68577
213,23063
213,42461
213,3808
213,55695
213,54859
213,68781
213,33000
213,40940
213,36615
213,2280
213,31621
213,47896
213,31128
213,8574
213,37374
213,69362
213,69401
213,969
213,64373
213,61780
213,59707
213,69648
213,27600
213,69821
213,45723
213,53094
213,14976
213,18613
36618,30503
213,70148
213,52783
213,43447
213,70296
70301,33433
213,63277
213,19149
213,46433
213,52482
213,26382
213,42624
213,8080
213,70625
213,2144
3106,5999
1637,20196
213,70351
213,69312
213,17968
213,62702
213,7275
213,35116
69805,18864
213,9592
213,7945
213,33346
213,25406
213,20338
213,25940
213,37299
213,71343
213,62918
213,48070
213,71501
213,38798
213,56202
213,68007
213,34451
213,68504
213,71612
213,643
213,41293
213,11577
213,20744
213,50641
213,65750
213,44842
213,48328
213,25941
213,29936
213,72145
213,40774
213,69278
22357,5999
213,22311
213,28326
213,55481
213,39390
20197,30611
213,46517
213,72376
213,72390
32713,47585
213,33854
213,72445
213,61258
213,15544
213,25645
213,47585
213,72534
213,42169
213,35412
213,32516
213,70363
213,20956
15119,35313
213,44615
213,49381
213,73110
213,31064
213,72771
213,30084
213,65715
213,20196
213,40713
213,70073
213,70024
65022,8131
213,30642
213,70922
213,43681
213,21379
213,35650
213,42763
213,65611
213,39238
213,36485
213,3149
213,31143
213,60965
213,71808
213,5729
213,31241
213,58309
213,73718
213,57488
213,65136
213,14990
213,73790
213,69700
213,28017
213,12616
213,18517
213,65911
213,71838
213,52518
213,74011
213,74018
213,52888
213,26937
213,30611
213,71403
213,14696
213,74101
213,65187
213,39194
213,35713
213,51018
73084,26953
213,46736
213,67661
213,13115
213,62659
213,71835
213,64618
213,9221
213,65761
213,67730
213,36471
213,69109
213,29186
213,44108
213,54596
213,23461
213,23181
213,21688
213,51064
213,23397
213,18086
213,18223
213,40318
213,74622
213,64068
213,6631
213,62653
213,74697
213,61093
213,74720
213,74733
2041,8131
213,830
213,23722
213,52043
213,25035
213,56980
213,72975
31296,16030
22357,16576
213,74805
213,10239
213,33859
213,66333
213,17291
213,61409
213,65899
213,21706
213,74867
213,47021
213,57445
30610,30503
213,74998
213,19004
213,62300
213,72900
213,65463
22357,8131
213,31217
213,73439
213,24717
213,60198
213,43673
213,50238
213,65649
213,58231
213,6336
213,75176
213,25701
32675,30611
213,70315
213,36973
213,75202
213,50620
213,53806
213,72875
9591,43661
213,23564
22310,412
213,6850
213,22133
213,69417
213,38859
213,33908
213,75272
213,20851
213,38922
213,40333
213,67946
213,42512
213,72304
213,72589
213,74585
213,27526
213,57009
213,9827
213,72697
213,39610
213,48156
213,55066
213,66439
213,412
213,70358
213,75415
213,47632
15106,63439
213,18832
213,45135
213,27341
213,46720
213,750
213,15875
213,68652
22310,26953
213,73575
2583,16576
213,75437
213,56618
213,13237
213,62689
213,69689
213,74753
213,65342
213,13254
213,75338
213,65313
213,53861
213,69701
213,35618
213,75325
213,73871
213,48652
213,72898
213,12408
213,75215
213,53558
213,50845
213,71563
213,74525
213,10390
213,38076
213,21466
213,54619
213,57528
213,18598
213,64644
213,41061
15106,22311
