worksfor_inv_1,worksfor_inv_2
1627,24323
35637,35638
13196,13195
3893,35869
9368,9367
2004,30328
12182,35935
12461,15556
24162,36097
36158,14873
7730,22865
25968,25969
6375,15030
1424,6266
18237,18236
36911,20336
3051,36926
113,35288
14025,3603
2201,3995
37176,9127
633,1425
281,37271
37298,28581
250,37300
12832,14713
2772,16173
627,835
1275,37727
250,36456
26239,37959
1944,38006
22739,38057
633,13559
2953,22693
7730,6025
2859,9567
3089,38304
8815,38421
38426,11023
13045,13241
572,34764
3567,6440
633,38999
29696,39010
2830,835
7730,39396
1424,18628
95,39784
6468,39821
5588,39906
19942,19941
544,39964
326,10360
32650,32649
486,10458
14538,18711
633,40254
7730,40328
1424,14185
427,40564
28926,28927
447,3818
13135,40715
3973,835
40946,40947
10866,18812
5172,20051
17031,41146
41172,25875
28549,35512
18333,5989
7115,37182
28646,835
41426,41427
33646,835
572,15999
9900,9899
41539,5298
19338,39118
633,11366
8821,32814
1681,6817
5505,13694
28982,41941
544,15999
12061,835
42198,42199
633,42249
20884,4740
23234,23233
1597,4152
5494,5495
8703,7864
42679,36898
10225,3995
7403,34150
42774,42775
2772,9607
4183,24129
14381,43200
95,3343
8647,43318
2364,2363
1081,34604
18283,30449
447,18359
599,40779
633,39779
427,30289
7730,12596
3563,43780
36761,43783
10571,10570
3567,43906
302,303
41172,6370
350,30328
6744,14218
29182,835
4048,26930
7730,12764
28203,44608
22092,19941
3900,22199
625,44720
32371,9272
787,32285
20961,30892
18567,15091
3039,3038
350,10101
17481,24534
3089,43218
1424,2717
44253,27315
13135,27314
12686,12687
31459,31460
14436,29897
9581,24365
179,11085
19394,6716
26884,835
25149,25150
17481,20833
2772,46652
5242,23449
33156,46754
14456,8267
1321,47062
47130,47131
68,33653
20066,7011
8614,37803
3746,47313
12307,7409
3689,47565
36840,835
21770,43391
250,47723
22751,39648
17481,1909
6708,21480
633,40779
633,39598
6612,32906
572,20158
11627,48057
4429,6790
22092,46445
1445,9403
48308,27641
4774,2477
2971,835
35595,16872
41172,3995
1079,25215
4911,835
47270,15227
22092,22091
1424,48572
250,37199
7018,28772
544,48649
48710,48711
627,33858
11078,21626
8495,40830
3893,28171
15577,48951
1424,22120
23566,3995
15829,15828
8323,312
13364,28710
28203,39880
9245,49311
95,28950
27045,26275
1424,19080
1445,49391
8830,2883
1136,32134
48343,48342
49471,8729
28109,19970
16297,835
31752,835
49682,49683
757,39917
3293,22693
49822,49823
32178,32746
7778,9127
31521,28842
1424,22461
250,835
17102,35458
3188,33768
4809,19437
3228,2641
427,50599
12185,12184
25768,835
43307,835
572,28947
1424,50981
13886,49299
51014,496
1424,24534
11823,51093
30919,51134
8148,27315
8647,34604
10418,40022
17481,19593
4089,51340
486,46585
572,40718
3017,51431
9245,51475
26655,11548
34401,835
19612,40051
427,51762
34867,51805
33067,36949
11849,11848
45604,45605
633,20833
50002,3995
1860,52047
8748,1858
17481,14185
5323,3995
354,6682
633,16085
2772,41546
3602,12675
9116,30974
32527,32528
2368,2367
5263,14713
10866,16800
11469,4704
52803,18709
13886,50749
9663,10610
8736,52889
7778,5288
7483,52963
16535,12382
37924,6716
2079,29491
1424,30114
633,23814
1424,46321
29722,29723
21752,30917
47082,53217
557,12942
9913,39134
15045,53293
633,53320
21504,21503
474,473
4105,53548
1424,20738
4468,36298
23489,53955
30432,52707
20537,1858
8736,25464
44107,17425
7730,54309
486,54317
53830,39232
1275,6396
3144,16615
1017,1018
13457,11094
7461,7460
427,52765
7039,34201
633,48572
4468,17142
36761,54812
44809,44808
11667,4704
26249,47562
633,42816
95,55206
11225,53772
6371,4604
2152,27109
5340,2039
36,16800
95,45026
633,19593
3360,24609
2169,835
238,6132
22619,55630
18734,18733
22908,55649
12624,28080
21286,835
250,53309
427,36633
99,7468
6612,28465
1424,38999
12141,12142
26919,49467
633,32124
1992,12942
11225,56098
2173,40625
1424,46128
9245,13602
1424,32605
353,49093
20537,35672
1657,19125
21633,835
24046,56681
7039,7300
13364,814
4232,4231
2075,4186
1128,1127
4774,1318
4603,4604
5802,57037
1860,9035
5825,5824
544,49667
9789,9788
476,482
5802,1592
29668,29669
22224,33932
250,49667
4187,10950
27165,27166
37002,57494
3052,33303
35807,35808
31781,31780
20670,2804
1987,47565
1860,36957
17706,17707
19403,1517
26375,44668
29670,15198
882,3000
24586,19508
633,19176
2004,16906
54981,54982
10866,16906
633,51615
26839,26838
33672,24323
633,21636
9262,30623
17199,32746
51504,51503
281,58697
544,15049
7756,47291
14187,835
4892,40485
50798,52332
17481,22157
47656,835
633,54834
48994,48993
12384,13272
23192,8493
9116,30520
544,36043
43569,3057
40909,40910
13343,3995
2772,59351
1424,42249
11430,59434
633,52703
23032,9272
59489,835
45789,55124
48826,13869
17481,51383
14456,6814
250,59623
21773,21774
5263,37473
7730,39402
8703,53820
1424,36364
760,835
7730,28277
572,49667
11712,28718
17681,17680
25615,59846
5323,29650
4224,54914
50942,25975
803,835
7111,3630
4105,8973
2772,60092
7730,14186
47775,13315
2953,7300
60161,30161
1424,40779
572,15049
633,54267
48308,11334
850,15836
28448,13428
6816,28258
329,9403
11475,43906
8490,8491
2772,11275
30552,23978
544,742
4114,3633
20885,4740
2772,41698
48795,50645
61024,40051
6272,61035
51530,51529
3175,5702
1860,57958
1627,37042
14268,59738
633,14012
633,50522
3134,61175
17426,17425
5263,24534
8494,8493
22092,61314
12925,12926
3821,61334
633,44391
4383,13579
45681,45680
4105,27992
1424,27078
5505,5504
1883,15499
1860,58265
3089,23364
3393,45768
1424,58275
1016,41114
1424,20835
3089,15999
1424,61736
2842,44980
5808,15715
11430,40907
11315,34674
6375,47481
4468,43963
633,29133
8036,60233
5588,51475
13135,62101
32344,32343
5309,835
17481,18628
2772,62365
3930,10028
7224,36570
1724,4309
3975,59180
4774,23890
5017,1832
28793,835
230,29333
14583,59738
1424,20833
2303,23277
27816,25225
1860,14435
354,15278
1424,51258
848,18826
95,27187
7778,51390
6698,14218
633,41519
3558,29147
9116,967
18198,22390
1835,835
13577,63155
25615,26297
14423,14422
1016,5373
32073,32072
30507,30508
7335,63155
7248,7247
41714,41713
5763,5762
13457,290
24162,63310
62807,62460
14184,19593
63411,63412
250,19705
60018,29866
95,57149
19787,63483
633,27078
15143,56212
7730,7729
633,51094
52820,19146
2678,7729
29739,29738
2772,60132
15143,61253
633,41192
6536,62756
32279,32278
633,63961
633,35672
19192,20150
5242,50686
1427,23770
1424,11366
4105,27101
18198,47746
2772,54008
1914,32389
49380,49379
633,47799
64499,45165
572,60482
33281,33282
4947,27221
4468,11094
14423,27333
3089,21764
59978,59977
64702,64703
9208,27895
22092,58802
250,18654
13268,24687
572,50928
1856,5411
18432,12382
17481,17274
427,4065
19223,32253
1914,35288
12346,12347
446,11138
1424,16442
1860,64964
11627,64972
985,35986
1424,65061
17481,26971
1597,8273
487,11138
14025,14024
633,30579
3293,2151
12686,57429
633,65359
42198,34717
4105,14703
6500,32814
17164,17163
10866,6716
4926,7017
633,28314
250,24346
11627,30738
1424,32124
61782,61781
6760,6761
9923,7101
850,28842
1274,29082
4809,4810
2303,29292
250,46712
633,43953
544,28176
35664,35663
11847,14854
633,61648
9116,19599
17453,17452
22093,58965
10422,25875
633,64724
40738,22157
17182,66209
41117,12227
11475,33611
1761,1760
1424,32773
941,940
4048,28772
114,33284
3089,4606
3772,3618
26259,34235
1860,49514
7645,7644
2772,15590
293,66638
15341,15340
2202,29265
45814,7864
43917,14527
35033,7207
6913,16196
11586,39066
1424,18566
8179,19762
7730,66885
13364,6513
1275,1789
43446,32850
633,60465
4187,4186
1424,35672
14456,8218
633,56312
3314,3315
50576,50577
17341,13666
813,28710
16945,835
1216,4604
8368,8369
2953,2151
31678,31677
12384,34304
4824,36498
66871,23408
914,22418
1943,51829
5714,5713
25141,28609
16535,32508
2772,6800
2842,2841
13495,53155
2188,2189
4105,56908
8748,62976
14025,12675
1248,18460
4218,4217
633,37123
14861,9753
5588,21393
1424,13273
28192,835
16490,33656
1860,53031
11525,11524
1192,51181
1048,41992
11778,835
3558,22664
3393,26273
19192,44853
250,50928
7557,63528
30767,30766
29670,37673
23100,8677
633,44248
1424,28314
68018,60167
9245,68050
8748,10914
2224,63483
291,29317
3089,9370
250,63483
5588,17628
10467,34717
8148,48129
10467,22642
614,30316
21752,21751
4193,51316
326,26275
1148,1147
614,9139
26731,26730
1424,28000
25179,63991
57586,57585
11430,24974
32039,32038
9116,16483
17199,2927
210,209
5263,1909
3089,6969
24263,3229
3563,59016
486,20549
5356,835
3017,9222
16705,33143
859,65092
52977,835
3144,26916
3689,7743
44941,36955
33796,33797
6071,26951
3228,38264
12537,835
462,463
2152,28772
19338,9259
6890,53713
633,27216
14821,65004
476,29292
7200,47385
69107,3708
12743,25709
32178,2927
633,3074
26249,26250
9582,51566
633,63133
5560,6716
1424,61128
7730,65656
31894,19762
9116,69354
22092,62560
32159,41832
17385,3995
1424,19202
21403,42386
15045,45293
2010,3995
27045,2407
4792,4791
6698,30832
1424,39598
47892,47891
4105,62916
476,616
8286,30832
9245,8677
698,697
1424,7894
544,9968
23216,13544
5375,31292
628,835
18141,835
29776,39067
45789,69368
1275,3995
17481,22983
53830,69597
12128,12127
633,6266
19744,2804
2772,45462
24199,24974
19177,11012
22908,5847
1844,16906
14330,31055
4468,54805
859,3881
633,22157
16937,9575
8586,8587
26571,23014
47210,15716
572,70459
1424,65359
9245,6978
3893,27139
1424,64714
614,663
680,13315
7778,50614
3089,742
24586,15180
2755,19659
55152,835
1424,1425
26958,26959
3370,43391
1260,1259
6816,16906
633,39778
5735,23644
172,27055
14570,14569
14624,14625
633,34819
555,10941
28308,28307
949,835
250,25596
5029,3995
1326,1327
633,70630
15577,15576
29706,29707
4468,4467
633,28000
544,48576
2772,39319
19192,4934
3689,2477
1424,30170
3089,31441
43569,43568
95,2406
27045,59157
7658,57351
4680,42524
39408,39407
44885,835
544,20158
14423,71184
7251,835
2772,47916
2772,7437
11954,22513
27235,30201
16614,26916
29528,42981
2772,2773
19794,13666
2052,835
25216,25215
26089,15716
427,26985
71365,18444
487,7300
53830,53829
47130,60986
16520,59898
633,14185
3930,1318
2772,59554
2953,7427
17145,31993
16289,16290
756,4604
71547,39466
633,39976
41516,53728
41117,70652
36511,36510
2476,2477
3959,3995
71714,2727
4712,40052
14436,27638
45814,27227
882,18359
8748,71736
32236,33768
3602,40789
633,32052
427,50440
572,9650
22361,22360
456,6716
1424,1909
44941,50834
9524,19762
2772,53456
29884,32495
844,40503
40192,71899
544,29902
22248,64285
9417,10919
6888,6889
2772,44373
25038,29979
633,51383
250,61031
633,40268
633,71186
37788,40836
13135,39917
633,6417
72232,40910
12686,18136
13045,13044
633,24534
1844,37476
22434,22433
11231,4309
2760,58776
14135,11775
1860,30201
19408,19407
9116,20990
11627,26599
13597,1327
4809,12926
756,311
1048,3187
3039,60662
1856,27221
40192,34861
23521,22946
10297,65082
1943,53102
27126,23737
2170,7448
47082,59572
28982,53616
5769,63702
13029,6484
17936,17937
842,10337
1427,2230
447,40203
1502,835
3567,25739
15631,62756
3089,3088
1894,27277
7730,60053
7200,37479
3089,17807
31031,31030
4105,7729
9116,72400
2224,835
21614,21613
99,12948
28470,28469
19875,69540
3006,9230
3089,23267
3293,7336
2755,36955
350,36955
544,46168
95,34864
27881,27880
1424,39976
5602,5601
10417,72935
1493,37182
10408,835
24101,24100
11627,23408
6305,7468
427,38391
633,18865
3383,32326
633,47165
19424,11688
3089,62398
45554,45553
14647,14646
1860,51390
44941,19659
9474,49223
1860,6682
53751,835
18861,18860
633,22120
15917,12609
18342,2804
4830,17376
2708,6228
25873,25874
37579,37578
26997,38357
62759,9575
15143,10096
37270,37269
1102,10941
26715,26716
1860,311
46718,46717
14270,14269
633,34573
63144,14771
1424,26971
9756,32746
633,25875
61421,61420
6042,59125
449,51111
80,7847
1424,29133
2304,17062
633,12772
33067,39466
18400,46717
53830,73437
7270,7269
11626,11625
69292,69291
1424,19593
26157,73369
1860,73504
8495,11138
3837,7663
427,426
551,16004
21614,26822
1274,13432
3006,15429
3558,15836
35987,36955
1248,3203
24653,20392
1136,8801
20043,42981
3589,835
44168,41244
3089,23887
14444,14445
1098,7448
42089,42090
41117,39353
572,835
22048,22047
19812,20471
633,35217
37298,2804
14983,46217
9116,31329
633,31297
55027,49549
40549,40548
172,5016
11689,11688
250,59768
22092,41637
8830,39980
6612,46445
7730,60993
447,73810
1860,36043
10225,34096
65338,47565
1424,68299
985,19125
9375,39521
1860,71912
9756,2927
971,19670
9682,835
10064,34993
4712,4713
48308,60191
2896,2897
1424,2552
95,16551
354,20766
52549,835
25236,25235
42337,42336
68846,8183
5597,835
1860,29736
7039,38607
633,50608
7060,7061
36,32277
27607,27608
11393,48133
74006,59276
1543,30547
4468,6414
6272,6271
15631,22838
67236,53740
7954,7953
4712,64740
633,9465
26249,72505
449,22885
34202,66621
36699,61104
18333,15472
15045,69368
16374,47291
4280,31055
2172,2407
51014,49549
1860,70249
1844,16800
971,10003
1860,54106
4442,47313
2593,9929
1424,23814
4105,27227
47220,46630
3558,11546
3689,34604
8160,19146
9116,9117
1860,24915
11959,8891
22092,29695
2408,2407
7730,42026
35759,3792
250,48861
40738,19080
3089,46168
3039,60325
633,49427
56742,12256
7791,7790
544,6969
2772,12638
9245,21393
7778,7777
12909,12908
14133,7016
74529,7421
12860,12859
250,48576
29670,18730
45176,41827
250,4208
476,4149
1424,44391
14436,14435
633,16215
2222,835
11078,11077
633,30824
19511,4450
49581,835
26471,26472
5261,5260
18617,18618
633,20835
775,22903
8392,52246
4105,73655
3089,32297
2842,51160
40504,40503
29392,29393
6294,835
23996,56866
40192,14739
6342,26739
1860,7864
47727,835
17385,29082
5588,49311
23489,56098
27235,49514
633,32767
14912,64249
1628,835
33156,49803
2772,64741
3738,19281
5765,5766
544,50928
4297,17190
11079,835
28191,41465
2772,49641
62039,9575
33848,33849
544,50415
544,571
882,10659
6500,54746
13589,31578
2004,16800
5735,70255
33624,44566
4105,29620
1424,7130
4892,32227
633,51547
1894,39418
27640,11334
544,32297
6042,44076
2917,27227
36761,74131
11015,835
446,7300
1860,8962
41870,5716
16787,16786
16524,15968
449,28171
7730,24090
672,835
350,23342
8736,23356
37171,37172
14436,8702
2733,36269
12040,22067
882,3818
17481,42816
2772,64074
3089,24750
16108,835
10422,2717
95,96
4809,13234
1424,55828
633,14713
14738,75085
5992,7437
486,40653
15012,30893
4445,19259
3328,52026
6342,35868
70534,70533
197,196
95,7560
56773,61967
6548,6549
250,20158
10417,12942
54827,54826
3228,8782
9796,53713
3893,16431
5588,34864
14184,40779
7720,7719
42821,835
7037,17653
3746,14680
633,16813
20537,39976
8830,56203
1347,15278
20393,20392
54918,3995
35077,8927
5588,8677
20537,1909
16480,47884
31313,55240
6796,101
32565,32566
41501,46345
55548,26701
16614,37493
25608,18217
20628,34445
1424,31297
16845,35762
633,18628
1424,35261
3689,15836
1944,66674
26919,26918
69246,35571
2884,60053
1860,29897
2772,41964
10151,10150
58482,32955
8736,17802
55944,55945
4947,5411
13495,16117
1424,22157
3006,34994
65390,835
3089,9968
1284,4152
633,50981
46266,46267
14998,6959
2063,29174
38557,38290
7730,74201
15143,33325
27848,11461
47083,44335
4712,14933
7730,12316
18198,26786
20112,20111
17899,18136
4813,4812
1860,8702
7220,15893
2772,19635
17385,11775
3006,778
99,8953
8532,27277
5475,10337
34166,2407
1079,25519
30222,1327
42612,42613
53495,17691
35648,5424
1860,53820
10234,22824
2176,59695
9116,74992
3567,22642
6789,6790
11627,15358
9245,17628
19177,28178
4105,13315
3665,59126
5242,11235
5588,68050
14184,1858
37659,14274
544,48861
5808,41244
9116,47927
21663,21662
29426,29425
5943,2610
9989,35986
29978,29979
46508,835
8748,68299
741,835
24309,14269
13937,13936
39803,34104
95,12596
633,61736
3702,64848
21033,1327
14025,40789
3065,3064
34202,64019
1424,62935
3089,17094
2593,38909
11590,25488
8748,1234
3689,21401
32790,32789
544,18654
447,8273
971,7017
73173,73172
1860,57174
1424,39552
620,25095
33140,33141
1192,23020
4468,290
486,2711
48795,48794
11467,69859
40324,21388
1424,1858
633,70467
11627,74953
26807,4057
6103,3995
20733,20734
813,814
7730,66459
34606,34605
15917,17802
10881,10880
13135,64396
8438,32051
6309,6310
2842,31431
350,15301
7730,75112
2063,25104
572,70565
4105,6025
1424,44197
