agentactsinlocation_inv_1,agentactsinlocation_inv_2
16794,599
44250,791
56707,599
21756,599
8162,56815
56843,791
6386,2124
1098,1
11955,12499
24405,599
57242,599
48204,599
133,19775
712,599
4170,599
5637,39304
43901,4661
35165,1
50619,13231
48,3669
4242,1
31509,12119
192,12406
51704,599
58337,36446
1399,13231
36968,1674
58356,587
11664,23350
35165,599
331,981
5228,599
42093,26170
7303,1
6431,5585
37056,791
31042,587
58956,599
2195,599
14195,599
9492,11236
23212,7115
8091,599
20836,599
299,599
12201,587
21422,633
3455,599
36112,599
192,12085
27178,791
8745,599
7057,599
10523,1674
28592,6589
32207,599
28201,791
20379,2124
59848,791
32954,572
8310,13886
43632,599
9339,599
5339,599
14517,587
3880,572
1440,23618
4061,36446
2707,587
18962,25160
2145,633
3034,1
31042,599
10043,2124
42965,599
2063,24344
192,19960
25509,599
19172,599
7872,2124
10043,10388
36224,599
21422,3451
192,20140
48403,60703
60763,791
42506,791
21422,572
6882,599
9339,1
49827,7292
12201,599
3068,1
16789,599
10043,48361
133,61267
192,9435
61312,2124
17001,599
61356,1
250,10785
192,4202
16328,39304
80,599
4983,633
11823,287
61820,17896
40978,1
14788,599
27377,572
3068,34988
29493,791
9492,20172
4376,599
18447,587
40681,587
1673,599
10043,8948
21422,3669
2494,633
9021,3970
6375,633
25868,599
6254,1
349,1674
25330,791
44670,599
44284,2124
20859,599
5997,12499
712,1
6,599
53976,599
11475,1
1098,25430
29359,599
24723,599
19960,2152
7637,791
3675,599
1134,2124
25352,599
192,15152
905,11368
5747,599
11768,599
4767,599
4099,27427
27904,599
56033,599
2079,599
46140,599
8397,599
17646,599
42262,599
44036,633
50414,599
46140,1
18033,599
52203,587
15962,633
34654,599
40304,2124
2796,1768
192,6882
8310,599
2708,21285
8495,1
1057,3669
48356,791
598,1
6596,599
55876,791
44477,1
15788,599
15736,1
2063,599
64340,572
37353,599
28592,64437
25018,599
64465,599
2285,1
18318,599
62818,587
5997,18162
24282,599
29518,1
5997,6311
2349,21663
2494,64912
45463,572
15545,599
602,1
7452,599
6698,599
27130,14923
56767,48763
90,25430
12566,599
11475,599
65363,2124
12500,12
20942,791
36285,599
10963,587
12085,2152
14319,18471
65723,599
62237,26170
40754,599
466,19024
24357,599
11769,10785
2136,15905
37907,599
2796,2795
192,1901
66017,40579
30827,287
351,1
4546,633
34010,599
43754,599
4083,2124
14067,3168
4242,633
65691,287
19439,587
22698,599
32764,587
66485,2124
13294,1
8207,599
3034,2688
16328,14930
41384,2124
52035,587
2307,32001
192,27938
40813,1
60716,599
2063,50383
64711,791
29018,599
35888,599
48404,599
2796,18936
466,981
18910,599
6,27427
19510,599
47052,791
2953,1
1901,1674
2494,599
8276,599
192,1192
10371,599
14495,23100
410,599
2903,599
1359,599
19526,791
55484,2175
42599,18356
2145,287
41169,599
46848,599
494,14930
10971,287
49873,791
12167,599
39352,599
192,3451
39224,36063
17033,599
1247,44999
4388,599
23801,791
6373,599
13168,587
14635,23100
8495,35159
52388,1
250,9023
66427,791
2643,1
68195,22739
250,9832
33959,587
50902,791
24396,599
34438,599
10235,7292
4499,7349
192,7936
2234,791
63954,791
8748,18162
17301,599
38009,599
1098,4004
23212,8204
114,633
27938,26170
20830,791
751,599
10042,2083
45831,587
8093,6189
8952,28527
9758,587
6,6536
69016,587
4592,610
2662,1
977,138
25425,3669
52203,25057
5997,10785
8495,20045
24437,587
25772,1674
876,599
46418,587
3223,599
57229,587
9813,587
4305,1
5228,23100
779,12
1958,1
8309,599
11225,599
3279,599
7690,69602
779,633
3324,599
2303,1
21088,599
13670,599
49382,587
48,6536
49979,599
250,3669
10043,14133
494,1
34179,69912
33732,791
27413,599
45373,599
2796,18162
192,114
80,61379
14319,633
20978,599
3782,599
11526,791
13889,599
11128,599
25593,587
11475,10553
611,2124
18929,599
3034,10785
28247,599
1901,26170
33552,1
225,14133
15162,599
60683,599
3880,2124
5764,19338
18182,599
13177,791
36259,599
70437,13218
39708,287
17072,1373
19086,599
86,2124
751,633
4592,15963
49827,6189
18087,599
8910,599
192,1516
21215,599
192,17145
48692,599
3689,1
25957,599
6968,599
10974,599
70672,2124
43938,599
17405,599
1247,617
192,70758
250,6636
3655,2152
37193,599
58308,1
1857,2175
70779,2083
299,13231
556,599
4819,599
33677,599
2145,610
10418,12
26043,599
35929,599
17901,599
12280,599
9738,1
1953,36759
22170,599
192,17470
13002,2302
55380,599
26396,599
192,21783
2796,6189
57368,456
4094,599
5830,599
29474,62273
13600,791
192,15963
466,2334
32948,587
52209,791
3090,599
48261,599
5756,599
4729,599
45198,12499
43094,287
16733,66050
27324,599
43886,599
10805,599
27555,587
615,287
485,23100
13338,2152
114,599
5983,587
1627,2713
992,2124
22651,599
52523,599
12182,1
9679,599
192,815
10043,30859
52035,599
3489,599
11955,981
23940,71653
3476,599
56033,1
250,27427
71729,572
32510,599
23687,791
31615,572
10998,1
52628,3168
4499,599
58356,599
6372,599
40692,11267
779,8122
4797,599
3579,599
8888,599
8952,599
36223,791
13535,599
6,572
331,7292
42599,19775
34971,599
12575,791
28968,599
26037,791
46695,587
29502,587
37000,599
14011,1
192,66840
1516,26170
192,20800
36,26997
24942,599
7921,572
2145,15963
10802,599
49537,599
4364,587
9422,599
2303,599
30519,1
31478,587
72484,599
31631,1
9963,2688
2626,2688
14606,599
61903,3105
31753,599
21929,599
1070,599
299,21753
192,42093
2020,791
6335,42591
26773,599
66072,791
10865,599
30546,587
9686,287
6405,599
27195,599
10442,287
6,13152
10998,599
1247,59148
2307,599
1256,1
48403,48409
13294,6374
4491,599
46152,1
7924,599
67441,2124
859,72960
29076,599
7695,599
15492,599
10188,587
3983,615
73061,587
11955,63226
2796,981
1057,633
37127,791
26845,599
43572,3168
10270,2152
46259,599
18362,52180
27436,287
779,287
3585,599
46452,599
25764,1
15962,18471
192,30500
36943,1
42856,1
11143,587
13215,791
17051,1
6375,19529
53180,599
466,12499
24545,587
38411,587
3423,599
32415,599
34455,599
4575,26170
29443,599
32240,1
41748,1
466,6189
2117,599
331,18162
52316,2124
10892,599
192,73060
8952,1
5997,587
5200,1
54478,587
4527,599
5981,1
7518,791
2796,615
10043,3168
41306,599
60494,587
23881,599
11266,599
64718,287
33794,599
3195,21783
10529,599
2626,12
4038,599
30528,587
10027,791
37108,599
5997,26713
38921,599
17792,1674
19250,599
5997,68647
2708,2083
14606,1
779,18471
6922,26170
128,572
1302,599
24850,587
5984,599
19317,599
7142,599
18343,2124
15026,587
37313,599
1478,9266
192,21947
2145,35554
36,6189
37353,1
7006,6189
192,572
36065,599
25591,599
14319,15963
25063,599
31998,599
14441,12
819,8438
459,63458
50954,791
48,27427
3273,23100
25083,599
10882,599
15676,599
6,587
71873,287
33312,1
34766,599
74226,2124
904,17444
1674,59243
8174,599
70513,791
9790,599
56423,587
155,599
849,599
38702,287
37280,599
250,13152
11266,1
2145,21783
11663,1674
74419,791
20588,599
1627,599
25262,599
27994,599
17751,587
26750,599
29817,29816
3194,6311
22206,3669
55778,599
1224,1
16490,599
19587,599
20515,33302
7776,1
4325,599
27058,599
35540,599
192,66162
10690,287
63729,46346
34315,599
2223,587
5997,67897
1247,572
10371,587
460,599
4074,599
39817,599
192,5359
17976,1
24062,791
36892,599
8997,599
351,10785
5675,599
614,2334
588,587
9738,599
54582,599
11781,599
12103,587
8459,1
43943,599
659,587
3983,2334
22206,572
49515,11712
8015,791
192,6922
1216,1674
5997,6189
5997,34119
16570,587
192,44771
8297,6189
2760,599
15777,791
20898,599
62351,791
36,599
57134,39027
6422,1
42834,599
5997,10466
28880,599
41306,1674
17912,791
33983,599
31626,27150
36701,587
14195,3168
2425,599
351,8061
192,64527
49078,587
26961,599
4301,587
20075,599
6181,599
50876,599
10335,599
1944,1943
636,572
56423,599
16337,599
14011,599
51157,69722
18820,599
40244,599
1894,48944
24931,587
69974,599
4592,287
351,27427
4871,599
1894,599
6405,587
20932,791
3324,587
8297,19024
192,6971
21476,1
21627,599
42314,599
8459,5585
7826,599
192,66512
74776,791
7220,1
11345,599
54478,599
22791,599
466,1768
67603,599
8756,599
12251,572
192,16940
54166,599
36701,599
23726,587
49554,791
30853,287
59719,599
192,287
23075,599
38897,8392
28094,599
6,22875
22206,633
8647,599
48,633
37542,599
3689,599
20062,1
56744,791
1057,572
40198,599
1057,3451
192,23061
28628,587
8297,981
192,74
64351,599
3279,1
16246,599
29501,287
192,46974
55973,791
73859,73858
4592,633
2203,791
192,3655
30361,572
192,17939
14963,587
10742,2124
23261,56592
81,6189
26379,599
13535,1
192,44578
331,6189
21627,1
1247,133
16153,13885
26051,287
14542,599
5474,599
4482,599
23270,599
31422,599
35079,587
28678,599
58308,599
17696,599
26845,587
34298,599
1644,287
15568,1
21137,599
3279,26266
9487,599
351,9046
4880,599
25764,599
3004,1
466,18162
30764,599
54464,791
29810,599
299,1
42193,791
40931,287
2780,599
60119,791
4729,1
494,33302
62806,599
3124,50191
24723,587
39349,599
1079,26378
38462,599
6,3669
30205,1
49254,599
53979,2124
41501,599
39301,599
14319,287
22926,599
21756,587
1092,16339
26563,599
14319,610
3950,599
61641,2124
10971,18471
466,615
4888,599
192,116
44146,599
2863,587
39224,572
29474,38201
29231,599
16414,599
2707,599
52405,18162
2079,6305
18325,587
17131,587
59395,587
74864,599
192,17991
16961,599
192,133
19203,599
