competeswith_inv_1,competeswith_inv_2
35616,8147
3082,14641
1424,3082
720,3322
21390,10953
1386,21801
2498,558
45674,617
1978,617
21390,15396
185,3039
40454,6263
186,617
45916,185
572,45927
3082,4830
3082,12610
2498,3089
1806,1386
8392,16097
41117,617
20043,3089
1340,185
18534,3089
3082,24162
11347,54
7095,3089
8147,21390
2659,47213
698,3471
2436,17077
427,3175
544,9855
4030,3082
11201,3082
2659,23211
558,37001
48237,617
6977,617
2436,16057
1699,1698
29427,3322
19424,617
10681,617
14252,3089
5186,13231
3322,2437
6536,617
2659,49105
54,11926
572,36210
19413,2659
49240,3082
340,26967
7730,617
7158,617
8435,1883
8147,35616
5031,3321
17145,617
3082,15631
49990,617
39595,3089
185,186
15730,8147
3451,26967
2772,3082
558,2498
4,617
15547,617
47693,3089
4267,21390
15045,3089
1698,2659
51187,2659
558,51300
15917,3089
21801,2436
4712,3089
19295,55
35587,3082
5186,2436
21390,8147
3228,2659
24871,6774
10588,617
14590,3089
558,32342
185,14184
6612,617
7129,3089
185,26967
8736,5253
41539,617
27694,340
2659,1523
37159,617
2436,2437
6536,558
719,2436
572,6708
6263,55
21801,5186
44651,6263
2436,5138
11430,54
6176,617
572,15631
1386,1385
1699,12761
2437,5031
2436,1386
6890,3082
5186,21801
8703,3089
14590,2304
10422,3082
13691,8923
19875,2437
11284,8736
50739,2659
36549,7037
11627,15219
2772,340
26285,26284
7036,6774
10418,3089
11926,26061
719,5138
3322,2436
55483,1386
10953,3322
3322,1781
910,1883
14590,617
572,1
13836,3089
2436,4267
41796,7037
3321,11064
10249,5253
18400,3082
554,14330
6263,3082
15664,20104
14055,3322
10588,558
7037,36549
46700,9855
554,293
2436,3322
2659,56599
56603,2304
44627,558
2659,19025
185,29509
185,55510
15245,3322
6136,6835
19249,558
7129,617
3175,558
57323,617
5138,4267
25368,617
13571,1386
6263,12761
14122,1699
57764,6774
3321,3322
57566,6774
340,27060
44053,2659
1657,752
10588,15219
3451,617
55,56161
6718,2436
30186,617
8563,3082
2075,20104
3082,46833
2436,3367
2659,44392
37035,617
13836,617
27779,3089
9989,554
47738,617
9264,3082
17145,3089
13835,39967
1386,719
26810,617
32159,558
185,1340
14423,3082
59518,617
1699,15664
2056,617
3082,3083
558,46700
59741,7037
3322,26577
572,46443
2436,21801
427,3082
3451,2304
2224,617
6042,3152
60188,3838
3082,2772
720,719
2659,24871
2659,26061
2659,8928
11430,24871
6263,37207
6263,15664
21390,4267
5032,3322
2659,10876
4468,617
185,19403
2659,11430
2436,6136
2436,1806
15917,29387
1657,1883
1698,54
572,25873
16524,57566
20104,12761
42153,617
39013,2436
1698,6774
3322,19813
9529,617
10964,617
3322,10953
6890,3089
6263,1699
3082,2498
7627,3381
29696,617
16524,2075
5263,617
15045,617
185,12832
17446,7177
2659,57383
9329,2659
6612,185
340,2437
719,8147
15631,3082
21010,3089
185,14215
775,558
572,40089
54,6774
5186,719
2459,617
20426,558
185,572
3322,21801
3670,3089
40898,6774
20104,2659
60203,617
15695,9855
54,6263
5032,2436
7222,617
34036,340
26285,50863
28448,2075
24263,28174
11627,617
5032,21390
5032,2437
4378,617
185,7730
15695,3082
2659,55
17587,12667
60610,617
63863,15561
31313,617
169,8417
57383,2659
14590,558
3322,720
427,2304
719,4267
64547,55
554,3471
63037,2659
9803,2659
3083,3082
55,2659
558,2437
17077,2436
3152,7522
7177,1427
3322,5138
2659,1699
2659,15981
3670,43222
53230,617
11627,185
17182,24271
46255,617
11627,3089
1699,20104
54,4942
24871,1698
2659,25659
292,1883
2436,6718
1386,1806
1386,29427
554,1883
7544,617
2659,19413
4267,3322
1386,2436
54,1698
2436,15818
6215,1883
2437,5186
15818,2436
25368,185
11430,6774
66255,617
65332,3152
55510,185
30568,9855
185,39530
8147,3321
572,66651
15631,572
15917,2859
1386,17077
4,340
1699,6263
185,9796
7483,617
8703,617
7177,1978
66966,617
185,600
5186,3322
26577,3322
37001,558
8147,6136
1699,14122
51916,3082
340,15631
185,25368
15045,185
24263,11430
67518,3152
30568,2304
544,3082
2257,617
35520,2437
7176,2075
185,67643
95,3082
1424,617
36455,9855
19403,185
21390,3321
3471,293
18534,617
600,617
6263,7176
38110,2436
719,1806
14122,6263
20104,1699
52084,3089
11627,26967
5032,21801
33067,617
2436,1781
3082,42475
52399,617
2659,56862
47738,185
1699,617
1424,26967
6263,14122
1729,3838
25226,617
19424,2304
26942,2659
10964,3082
30186,3082
7627,1883
3082,4105
558,20321
9264,3089
3152,14247
719,6136
2659,19379
600,185
16524,340
26231,617
185,22847
1424,558
56742,617
7176,7037
5253,8736
20537,26967
1216,617
3082,17626
21801,3322
2467,3089
68941,2659
7176,6263
3082,1216
2436,44199
3322,15396
69287,7177
67974,2659
572,15219
17269,7177
3322,15245
6718,5032
4,3082
4224,3089
29509,185
427,617
911,1883
65332,617
5952,1699
26127,1883
28448,2659
4105,340
1699,44651
59799,16524
32159,9855
16524,5952
3082,20418
49091,16391
12667,17587
47130,617
572,617
15631,3089
70063,617
49413,49412
185,45916
719,19875
427,26967
11627,2304
340,70279
20043,617
5774,1883
21801,4267
35616,1806
33259,617
56773,617
1385,719
4830,3082
8147,3322
3322,4267
2437,11064
57586,617
572,5719
572,26967
8392,2659
3321,5031
6263,29698
1424,2304
185,15219
12610,3082
65553,554
2245,340
7177,617
3322,29427
572,3089
2405,617
21903,558
5138,3322
47822,617
3039,3089
558,19249
43540,617
185,7408
2436,719
2436,39013
558,6758
71341,42291
71363,617
2436,21390
558,23000
24162,3082
44392,2659
2659,56306
8736,2437
7335,16391
9855,558
554,5253
71571,617
19177,3089
7177,17269
14381,2304
4105,3082
2917,2304
3322,1385
15917,2304
18237,617
17269,2659
3228,2859
186,185
64180,14878
47873,617
3082,30186
14738,617
44199,2436
54181,617
12761,20104
558,17145
9529,3089
3082,13000
15917,26967
2659,37352
6718,1386
3039,26967
2659,20104
57100,557
71733,617
16524,25659
572,42961
8736,1978
1386,5186
12790,617
4267,719
7756,1883
22886,617
5031,2437
56989,2659
13644,3089
16605,617
572,24271
572,9415
15917,617
7177,7036
7037,7176
58675,58674
15396,2436
25659,6774
6263,2659
558,5263
2436,1385
12474,617
95,2304
2659,28448
9452,6774
2659,72732
340,66153
2659,16524
1699,3228
4280,3381
19025,2659
24263,2659
1699,2075
20167,558
185,15045
17031,617
3670,3082
5138,1386
3082,13457
1657,554
7177,11430
9582,617
2405,3089
5032,719
2659,27059
27694,572
2075,55
54360,16391
32721,36901
4643,3322
2659,6263
3082,18400
572,57238
65698,617
21093,21390
7176,64851
22748,617
2437,21390
7036,7037
17077,5032
4287,3089
3322,1806
14330,293
185,14423
27961,617
1424,9855
40454,1699
5769,3089
1699,7176
65268,3089
11430,2659
5186,33809
19177,617
21801,1386
5032,17077
5138,21390
19408,2659
5323,558
3322,4643
37001,617
35694,2659
6342,617
30568,2437
13644,2304
7037,59741
7335,617
719,1385
572,18715
21390,5138
6263,40454
15045,2304
340,2245
7176,2659
17246,1835
5263,2304
3322,3321
15396,719
12761,1699
20104,2075
39161,3152
7483,185
54,11347
427,3089
1699,5952
32721,2304
15396,21390
16524,9452
62823,1883
3082,1424
17206,3322
30568,617
185,12790
30767,3089
1698,28587
39530,185
2659,35694
3082,544
2659,14122
572,558
22847,185
15818,5032
3175,3089
21390,2437
2437,26598
39967,55336
3039,2304
1978,10225
5186,2437
19787,3089
7177,69287
21903,617
2437,5032
74233,2659
9116,3082
3322,6718
3451,25368
32721,15219
3082,8565
15809,1883
698,4280
11926,6774
558,775
11926,54
2437,3322
47955,3089
6536,26967
73007,617
54603,617
340,617
13457,617
21010,617
185,41584
66265,8417
58701,1883
2436,33931
3367,2436
14423,558
340,29387
6042,6536
56161,55
5253,10225
3381,7627
59548,3082
28779,9855
7177,24871
5032,8147
7161,617
572,74363
73140,185
558,9855
572,16367
14252,15219
1424,3089
2842,3051
29387,9855
1806,719
29013,3089
13644,3082
340,558
17145,558
8295,2659
56773,3089
13836,3082
10225,8736
55,2075
2659,11347
2659,38981
185,2669
14247,3152
1699,28448
8928,7177
56773,185
1699,29698
19875,719
2436,15396
28587,1698
6042,340
19621,617
44276,617
69371,16391
558,1424
3471,698
71289,617
185,7483
15695,617
2659,19408
7177,1369
6718,3322
33124,3089
4267,21801
3082,49240
544,2304
17448,617
51300,558
7177,11926
3082,24271
64851,7176
10953,2437
3322,8147
38557,617
46833,617
340,4105
24162,3089
41794,617
61984,3082
1698,24871
44392,7177
67130,617
4105,572
1698,1699
21093,3322
13000,3089
14215,617
3152,65332
3082,61984
32342,558
572,45650
572,23453
3471,554
2436,38110
30568,3089
5138,6718
75107,617
2437,8147
2659,9452
4267,5138
16071,1883
3082,4
69895,617
3321,8147
572,50245
16057,2436
1369,7177
1427,6774
62724,3089
3322,17206
7177,17446
3322,5186
2437,719
544,3089
16911,398
6890,9855
14381,26967
2659,13563
2659,10225
46700,2437
35616,11064
3082,6263
10876,12474
15664,1699
27095,617
15917,558
14423,340
24871,11430
11064,35616
13457,3082
1699,54
6136,8147
293,1657
7129,185
2437,617
13231,5186
6890,558
8147,2437
3451,15219
24871,54
28779,617
5186,1386
5138,719
9116,617
3152,39161
6136,719
3322,14055
72086,617
6931,1883
13457,3089
3039,617
42291,74094
14122,20104
14215,185
75411,617
340,9855
5032,5031
58085,1883
2659,15664
26942,7036
558,44627
10588,9855
10953,21390
16057,1386
3082,10422
185,29696
59735,617
185,56773
39922,617
6835,6136
16524,59799
43518,6758
1699,2659
56862,2659
1385,3322
63836,3089
36549,1699
16152,3089
40988,55
24162,2304
37536,2304
1424,15219
21390,2436
185,47738
54867,617
5952,6774
14641,3082
52152,617
4224,1
28782,3089
2772,617
37207,6263
2659,12680
53792,617
49077,3089
3838,1729
2075,1699
45789,617
44671,617
2659,8295
3082,6890
340,2304
17446,2659
