companyeconomicsector_inv_1,companyeconomicsector_inv_2
534,56596
7308,34318
534,22224
534,9264
1286,14749
5051,17826
12041,53310
926,57099
1286,57124
534,2917
5051,11469
1286,51760
534,55834
534,42907
833,57452
1286,55
6144,17899
534,3039
534,14966
28888,39261
8393,17688
25005,57792
534,6758
12041,52032
1286,43745
534,42058
14245,9175
58319,58320
4125,28366
534,58354
37765,4114
21252,10681
833,58455
12322,58498
1286,21187
926,1189
25005,5253
833,42540
4134,58614
833,33382
833,58780
833,52277
1286,37079
5051,26123
7308,3039
7308,55180
11319,58921
4134,4498
5056,58976
7308,13836
25005,59121
12322,42671
6144,756
4471,59190
4134,424
1286,850
1286,15577
534,42061
8686,752
534,2669
1286,43222
1286,50313
5829,59506
7308,31528
1286,29730
7308,12126
534,32511
59603,59604
534,37885
4134,59620
7308,59627
1286,1
1286,36528
1423,14244
833,59675
27554,4193
534,59748
1286,38887
1286,7040
1286,56445
7308,544
11319,36928
573,56191
534,7470
44596,58498
1286,4276
60431,4680
8393,14205
15343,1699
7139,12489
31647,9175
8645,8644
926,60634
60676,60677
14683,5253
534,3344
833,1189
24211,813
46775,1781
534,33124
1286,10008
56997,8417
534,13705
7308,3082
12668,12667
1286,13358
1286,20335
833,56409
534,6533
534,13736
534,36549
7308,4
4134,9300
7308,47854
56210,56209
370,61649
833,39261
534,5253
4134,32371
833,43212
10682,10681
7308,13457
54528,54527
5051,32151
833,62070
1286,62085
534,62168
3762,617
8393,62331
534,13836
534,62360
1286,13795
1286,48737
534,62448
1286,1944
573,62597
534,38393
1286,57774
1286,1781
1286,53284
14245,18238
7308,19354
1286,63064
1286,14200
534,63098
14449,34760
534,63130
15343,7037
1286,63139
833,20085
833,12383
3762,9045
5051,9538
7308,18400
1286,55687
534,63413
833,4680
4134,29095
534,29364
23731,49441
53846,28366
18376,20864
833,18656
6144,22224
926,2787
9298,14457
8393,6893
833,21033
21252,5763
1286,64014
534,29696
14449,12323
370,10635
1286,9045
1286,64152
7308,340
534,680
8686,18372
46775,10681
7308,35587
2529,4749
7308,95
573,53849
23241,11041
9298,4577
3762,850
1286,55302
534,64545
534,17182
1168,61109
1286,20661
833,45874
7308,4224
833,64713
44596,40378
5293,17199
1286,3702
534,44379
534,48289
833,13262
7308,572
1423,5253
6144,25249
7308,61345
1286,1523
5056,65538
833,9459
534,13457
370,59748
534,756
3762,9524
833,65733
18376,65807
11134,25006
926,11590
833,65949
23731,6558
8393,40875
5051,6263
534,26231
1286,3328
2790,7133
833,24101
64149,7133
4471,36464
926,13597
833,41215
1286,62505
1286,883
1286,13919
12041,63986
1286,66412
1423,22349
534,16524
8393,18238
14449,66509
29549,7756
1286,42559
370,20272
833,4749
926,12791
1286,6723
8393,4838
534,33375
534,66925
1286,58313
7308,66995
9298,67017
8686,3381
1286,13952
7308,57307
1286,67209
534,46390
534,3152
534,65698
534,2772
4471,21590
37765,52846
67443,18218
8393,8392
14449,12637
3762,1944
7308,33124
534,67607
9600,6342
534,11430
8686,698
28888,17199
534,7037
4471,18080
33371,27640
534,53024
833,60416
1286,6635
1286,67742
1286,10064
4125,67794
7308,15981
14245,4838
7139,26806
4125,14749
1286,8072
833,61872
12041,67987
833,33796
833,68101
4134,4355
833,24546
4471,68147
68167,29651
37765,8644
8393,27784
58314,4749
534,37788
833,832
17141,29739
534,14998
5056,22533
1286,6758
29549,1657
833,50443
8428,49942
8393,9501
1423,23250
2790,68668
833,32657
33371,65937
534,340
4471,23041
534,35648
8393,62597
5056,67822
5051,65319
833,51629
8686,68957
8686,39910
18376,18375
833,9966
66625,37079
7308,20042
534,55180
926,41215
1286,16118
1286,54906
69191,7200
67508,498
64149,2659
534,31313
534,45513
13685,1657
573,15012
1286,56603
33371,61838
1286,69414
370,69424
1286,57957
37765,69429
3762,13952
4134,18451
56997,398
833,47662
58314,4680
13685,554
534,3955
534,48554
7308,53009
45629,47611
534,25239
534,6342
534,30432
25005,11135
926,9714
39735,69819
8686,21453
7308,2405
833,44507
23319,67959
833,54061
47781,55122
534,13248
534,179
534,19424
28923,39290
11319,5763
7308,11201
1286,60064
833,70246
4471,46696
8422,70251
1286,43280
1286,1631
2529,1189
534,25249
534,7900
67501,4749
5056,64122
15343,7176
1286,41960
1286,70638
534,43376
534,59139
534,3082
5051,7177
4134,28456
833,34724
1286,26967
41058,4680
534,67643
534,21903
1286,35120
6144,2772
28888,71021
1286,71049
1286,354
14683,1978
7308,21010
1286,7280
1286,26007
534,1424
534,9855
534,13506
534,37513
5293,71220
7308,14184
534,427
14449,70953
7308,53804
1286,23996
833,21883
23319,8948
534,11201
833,71372
534,63836
1286,62497
1286,33280
1423,49954
1286,10681
17141,54858
12041,54271
833,10578
534,61345
12041,12040
23731,11995
833,71649
8393,1978
534,2664
4471,8226
2790,50739
14683,47460
19132,29225
8393,71801
534,56773
1423,1071
534,71864
833,30125
8686,21285
8422,62277
7139,60857
2790,71973
9298,18567
833,17592
1286,70785
7308,34846
833,18234
833,1326
18376,72116
3762,4642
7308,72180
9600,18715
7308,67068
59586,39290
833,16665
534,72245
9298,59025
4134,45932
7308,9252
1286,60625
4471,53134
1423,1369
534,13536
39735,63588
573,42950
1286,29483
534,41794
14449,27833
2529,7280
7308,19177
18376,10303
534,33481
1286,6136
12322,40378
534,34846
7308,14998
1423,59861
534,20042
833,72071
1286,42631
1286,11267
833,10297
370,67112
1286,7012
8393,14244
25005,25851
5056,61159
1286,9714
15343,27126
24211,4355
534,43229
2790,72860
833,66379
4134,17401
573,12489
7308,2664
37765,48688
7308,50365
534,37505
72679,28203
1286,72978
7308,42907
7308,2772
47781,59570
28888,3051
833,49441
7308,2917
1286,32452
37765,28203
11134,25851
8686,910
573,4947
7308,56296
6144,4105
1286,49412
1286,37898
7308,8736
3762,66412
7308,73277
5051,9913
8686,6215
534,52701
3762,6723
1286,73195
534,30188
26969,3430
5056,65559
7308,8565
7308,16917
1286,41116
1286,61378
926,45874
926,18432
534,20043
833,72964
534,27779
573,37530
3762,48737
7308,46016
833,38206
8393,498
3762,51760
11319,61109
1423,6893
534,8736
833,3051
1423,12460
12041,73670
534,62507
73711,36150
4471,32021
7308,29423
9298,2934
534,9582
1286,22122
534,43956
1423,34599
1286,10397
9600,4105
833,10935
7308,14423
534,24263
573,63146
23731,73920
833,13597
11319,69703
1286,2543
14449,58498
1286,13557
1286,73293
1286,60385
833,53044
1286,50261
534,2405
21252,37079
534,72476
534,30174
23319,3168
1286,24244
5056,205
9298,33001
534,41117
534,25368
9600,95
14449,73670
17141,398
11319,11318
37765,12686
534,1699
1423,7900
534,775
5293,1189
534,16139
7308,6758
1286,73310
25005,65469
1286,74236
7308,6612
7308,13536
833,69369
1286,69742
25005,74352
1286,27045
833,71021
833,56974
23319,47286
534,42098
7308,49091
23731,67814
534,10422
5293,45874
534,6612
833,15083
7308,29696
25005,73840
534,1219
7308,41516
11319,9714
23241,14749
926,53776
11319,37079
7308,30186
1286,39290
7308,14641
534,22043
4471,51620
8393,38327
4471,7422
833,13344
534,19177
833,53122
5051,33890
14683,7060
1423,38538
52551,50271
7308,41988
534,7658
7308,15045
5051,24199
4471,13782
15343,6263
833,25019
1286,15644
46550,46549
1286,45866
1286,8179
9600,2772
29549,698
25005,21253
4471,18241
1423,42790
534,11054
1423,73143
5051,58383
4471,72509
11319,60858
29549,3381
833,47837
17397,5480
1286,70583
534,24162
1286,63026
1286,67208
833,38531
4471,72788
534,33133
5051,8295
833,49365
1286,9364
4471,4809
7308,10519
9298,49599
4125,11041
4134,69692
17141,45347
5293,3051
534,35637
370,74499
12041,12323
2790,63700
14449,29804
1286,16656
1286,73916
5293,2842
926,10297
1286,75129
370,37514
14245,17116
8428,9838
33371,50938
28923,11041
833,51639
534,4358
534,13644
15343,29698
9600,63669
534,47854
370,25239
534,75170
1286,47754
534,42475
47781,73096
23731,71819
1286,75212
18376,42002
534,14071
8393,5253
8393,74595
6144,4445
1286,67655
7308,19301
6144,11467
68906,5268
833,51164
3762,37079
4134,11086
1286,6762
833,59525
1286,626
534,40157
18376,64715
7308,38557
11319,23733
13834,5530
534,3572
5051,48736
63855,53328
7308,8703
833,34206
18376,75341
926,74900
7308,55212
833,27070
29549,18372
12041,5253
534,50365
833,48528
2529,11726
534,49990
9298,52806
8393,44914
4471,75391
370,34783
15343,44651
47781,16097
28888,12383
833,17199
26287,95
534,6263
1168,63921
1286,63651
1286,2241
534,8345
1286,57198
1286,23721
7308,56773
8686,554
926,2842
9298,53849
7308,5023
1423,35609
4134,9090
7308,45513
2790,71248
2790,60704
7308,6977
6144,3344
1286,5763
534,17747
833,43297
5829,72181
7308,44331
534,4026
534,11741
534,143
833,6789
17141,44655
1286,29756
7308,67388
4134,6888
1286,75382
25005,27980
14245,14244
74766,1978
37765,37764
18376,74163
14245,17688
7308,12785
7308,3083
833,53572
5051,65172
45629,12040
44596,27833
23241,23240
1423,52589
5051,19413
534,8703
7308,6533
7308,3670
12041,42671
1286,4642
12041,47611
1286,68466
7308,74399
1286,73363
4471,66029
