teamplaysagainstteam_1,teamplaysagainstteam_2
486,4659
56,2694
7319,126
1284,4048
971,27496
3383,350
62,486
326,256
56,1011
3900,6563
9769,1248
26259,5242
35,4926
28153,113
3293,487
4661,552
4779,422
3893,882
4662,56
2476,1116
13298,2209
9805,2556
69,971
5920,882
12248,500
265,10331
2694,1988
5002,2209
3393,87
383,4662
4183,8814
6305,5560
2556,971
2694,4737
264,18446
326,350
6305,25112
486,500
552,971
8286,446
2476,1081
1248,57
446,11172
3393,686
230,1102
3188,2004
5636,18519
8204,13920
7498,2476
10392,4602
5560,10467
2173,6913
1102,14983
3360,21762
8814,1250
486,62
3393,3188
28153,971
62,1493
282,1102
282,1250
971,500
562,11172
62,2694
8148,5560
350,7068
1116,256
2007,1633
12248,1004
57,932
500,4848
10331,264
447,16614
10331,265
1284,3188
13298,10864
4853,500
28608,4514
4867,9724
2593,8814
2694,501
57,3746
35,1102
1604,3746
2004,562
383,932
56,1265
8532,7068
1284,3393
500,1439
13956,4779
1011,7812
256,1284
500,16250
1604,497
1604,9769
552,1914
449,562
1355,2973
4602,487
392,3893
68,379
256,487
2703,3900
21669,11190
3558,15727
8286,3383
932,1248
256,7039
1992,5182
350,446
4504,2593
686,2338
4418,1248
3567,1284
1493,2973
19054,3900
265,1992
3854,3746
4662,501
806,3512
4854,7319
2173,23541
7499,10392
5044,3188
446,8160
5361,1493
87,486
10434,1011
3512,4123
4662,4854
35,3900
1284,4165
446,3393
4602,5560
17579,552
1248,1355
56,1493
16614,486
500,10159
932,421
4418,2694
690,379
2209,2703
34,3900
9118,1086
1102,2244
4504,971
446,18519
2819,7319
2694,9769
99,3893
1116,486
383,1265
5767,2338
562,446
4297,10922
1248,497
1248,14077
8148,3558
9769,5044
3188,4659
1914,2341
7555,2209
1992,15905
1914,5340
2209,7555
971,552
932,34
7068,87
113,1807
350,1081
932,7555
422,2703
3900,3360
3772,4661
392,87
256,3383
421,5181
1284,326
3293,326
57,7319
2476,487
1011,1439
497,1248
25112,8148
1102,230
551,68
34,9262
8689,15349
4659,562
15349,40344
1004,4418
7039,1284
3512,486
1102,22573
56,1633
326,4659
2476,1289
8148,2173
264,28608
2593,3745
1439,2007
9262,687
7512,500
1086,5560
497,1493
282,3314
57,1248
3567,326
37055,932
15349,8689
4123,4148
2476,447
1004,20258
1004,486
113,379
4602,126
1004,1633
4602,2476
8366,4148
421,3360
1604,4148
8486,2338
4602,10392
4513,486
87,7068
2244,971
2007,501
4853,1116
3393,447
8026,3893
4661,3745
1116,16250
4659,350
8532,3893
25112,5636
99,4165
1081,3393
36913,971
383,126
687,932
87,3393
6744,3360
7958,7403
392,7499
3665,476
486,5352
449,256
264,5182
46376,15349
2593,4661
4662,126
5920,326
1081,690
1102,16402
1807,4297
383,3746
552,2593
2209,932
552,4183
500,350
690,10392
422,421
3893,446
10392,3383
87,447
3512,1493
2593,3314
2209,9262
1493,3393
4854,500
56,1355
447,1248
1493,1222
1081,487
1284,3567
971,690
882,7068
392,3383
476,68
500,2007
1913,476
1011,501
383,486
350,2476
686,10864
326,99
1914,1102
500,806
4602,18519
1248,486
57,2694
113,551
8025,882
3383,87
1913,3772
1284,7039
68,5340
1102,28153
7068,686
8366,1248
690,4926
1011,1116
497,5352
1116,3360
1807,113
1116,2694
690,1102
2694,4848
2004,1284
2004,87
16250,1248
562,2476
68,69
13029,9822
551,971
1284,3293
10978,1248
4737,2694
3746,65826
552,551
4662,1004
2244,281
6032,6816
7498,28507
7039,7068
14983,4926
99,3567
1493,4418
486,1289
21342,2173
9769,7812
18652,5242
10159,383
497,2007
4148,500
1604,486
4514,12710
1102,1992
326,882
562,7039
9804,9805
281,2286
1284,4602
4184,971
5340,68
1284,486
1355,1011
9769,497
551,1914
7039,3293
1248,7319
1493,3512
4926,379
99,3383
1284,882
1086,18198
3746,10060
1248,9769
882,7039
7068,8286
1988,2694
3360,687
4165,7039
1913,379
126,4853
690,68
4123,1604
7486,2973
2004,16614
5183,15905
2004,392
26259,10467
2004,4048
446,3567
1011,1988
4848,57
379,3314
7068,8532
4602,446
13298,13029
8148,18198
882,87
1102,281
447,3567
5340,282
3745,3314
1116,3746
5340,4297
4848,2694
5044,497
4926,68
2007,62
113,2244
3665,4926
1004,126
1248,1004
1604,2694
1913,3745
3188,3893
687,5560
500,4418
8814,35
282,1914
1248,10978
476,4661
10864,2286
2286,932
446,6032
4418,4853
501,1004
62,5044
4165,882
1992,18446
383,8222
486,487
230,1993
3383,67168
486,4165
3188,1011
4048,2004
1248,7486
195,3900
7068,4602
500,1633
383,1011
3567,3293
281,3665
8160,26997
379,1807
256,35
3383,99
1250,113
449,1081
4602,35
22739,15906
8814,3665
5920,449
7486,4148
7812,2007
4383,23541
383,4848
87,4602
5352,500
1004,4148
1604,1439
1439,3512
501,500
8222,23641
487,11172
383,16250
7039,686
3745,8814
1081,5002
882,486
500,62
4602,1116
392,1284
1004,1248
1248,501
3746,932
17927,44742
256,1116
1993,14294
9769,1011
4297,1250
256,3188
2973,500
1011,486
3772,5340
501,62
686,13298
4123,2007
8222,500
476,971
6913,5636
690,1914
562,3393
9118,3383
10060,500
687,2095
686,9262
10922,35
2694,5044
3188,3567
1248,4853
57,1011
5044,62
552,2286
2593,10961
56,2819
4602,1289
486,1439
113,1913
282,4183
1116,4602
281,1102
932,662
1081,1284
497,62
5340,1914
1011,20258
552,4661
35,552
4602,882
62,4123
1284,392
446,9821
1004,4853
687,1081
282,971
2338,10864
4297,552
4926,1250
1004,3188
56,500
1604,62
113,22573
562,486
282,1913
500,20258
1988,1248
2209,422
14983,971
7039,21181
56,4662
806,2694
113,446
486,4048
100,4659
15906,7499
3772,8814
281,4184
4848,383
686,7039
68,476
2286,2338
16250,1116
7068,3567
15350,2556
5352,497
1116,14077
10392,6816
500,7486
932,57
2694,486
392,447
28608,486
2964,10467
2209,13298
168,3900
449,7039
7068,447
7039,3893
1004,3746
552,35
1914,551
2338,2286
9805,9804
3893,16614
3393,4291
4854,16250
3293,87
2244,2593
383,2819
5636,6913
486,882
256,882
23541,28507
4165,486
9262,686
99,8286
10392,690
2476,8286
1081,4602
422,34
1913,4297
3293,7039
446,3188
326,21181
9769,1004
256,16614
19410,3900
10434,497
500,10060
2593,2244
4602,392
379,22573
687,3900
501,1604
9262,2209
10864,7116
379,1914
350,3893
3383,3293
1081,3360
3360,2703
4659,392
5002,3360
2694,4418
4297,1102
3393,446
1493,5361
1265,56
476,3314
56,14077
18652,26997
1284,449
37055,486
4148,3188
10060,383
99,686
25112,9118
126,4602
3893,562
4926,113
1222,1493
4602,4853
1914,35
62,4662
686,2286
3893,8026
11213,15727
4602,87
1992,265
4853,932
379,3745
126,932
4779,2338
10922,552
3393,392
15905,18203
12325,3745
22573,113
7039,1081
4661,1250
5044,501
5183,264
2819,932
68,4926
1493,2007
446,113
3893,6827
69,1250
3665,552
5044,2694
87,3567
4662,1633
7812,14077
932,1081
7319,4662
7039,3383
4514,15672
687,69397
1289,8286
12115,486
500,8222
3745,2341
971,68
7486,7319
1116,1081
476,552
1493,5044
3393,326
4659,100
447,1284
1004,9915
4659,3383
10467,4867
11172,487
446,4659
10060,1248
4853,1633
1914,3745
18446,1992
1284,2476
3188,256
4779,2209
5002,1081
2973,57
3567,8532
882,447
2593,10922
68,34
6816,2173
2702,4779
2244,4183
487,1081
7812,1248
3745,10759
1633,1248
27496,971
350,487
69,379
7555,2703
497,4853
1081,99
1284,2004
5242,26997
69,14153
806,1011
476,1914
5636,8148
446,1011
421,687
9598,4662
497,9915
35,4504
27496,9805
551,552
2244,3745
7486,3746
552,3745
4183,2341
2703,687
10331,14294
5361,12031
1604,4418
16402,282
5044,1493
68,35
15515,446
497,5044
2476,3893
5002,10864
34,2702
113,10922
10922,1914
486,9821
1633,3746
350,562
3314,476
1116,487
6032,1081
12031,5242
3383,392
446,350
8222,1011
10392,35
2476,446
99,7068
4659,447
1004,383
7039,87
1004,5044
1633,497
7039,1289
2694,1248
1102,2593
4854,2973
447,3188
22731,3900
497,3512
552,4926
27496,6211
1116,2476
1284,3383
1116,3188
2007,806
500,4854
3567,4048
3665,8814
350,23641
446,15368
1913,1914
552,16402
2680,5560
4602,1284
2593,4504
18519,4602
2007,7812
476,379
1993,230
350,3293
1284,1081
2593,5340
971,8814
882,3188
4383,15727
4853,1004
3567,486
882,449
2476,99
500,1265
971,282
4297,2593
7319,10159
2593,16402
4418,1011
6032,9118
1116,1988
1633,2973
18519,446
2476,1284
4183,113
4183,552
3393,3293
1011,1604
11109,2004
281,14983
1633,62
1493,806
2702,34
1011,2694
350,449
5361,25786
1011,3746
1493,1604
446,99
326,87
1913,35
487,3567
3393,21181
69,113
11847,113
9915,1248
2004,3393
1248,4418
1284,562
10864,18519
5002,9262
3314,10922
27331,7498
2007,383
3567,21181
7068,5920
7319,3746
256,7068
4297,69
1004,501
8366,9769
449,16614
2593,971
5183,1992
10159,1248
3293,256
26997,12031
2640,1992
1493,13920
350,447
447,8532
9118,3293
16167,2209
14077,16250
3293,486
2973,4662
7115,8160
806,2007
932,3360
35,446
4854,383
4148,4418
35,971
126,57
2476,4048
5361,13920
28507,23541
1493,1011
3383,10392
1913,68
4383,11214
5352,3512
326,6827
10331,1102
3188,1284
3746,2007
10961,4926
5242,26259
18652,2173
4297,1807
14077,500
5352,1004
3558,18198
379,14503
1004,806
552,113
8366,1004
916,34
552,3314
15846,486
12248,62
4602,7498
3314,971
1289,449
383,2973
500,1011
476,17927
113,10961
2476,3293
34,16220
932,37055
4853,2819
687,10467
447,21181
5340,971
3188,7068
2338,34665
552,1102
10922,281
662,932
3293,4602
4779,916
1011,806
4853,486
113,4926
2209,2702
2694,500
126,14077
1604,7319
3383,8286
1633,1604
2973,1004
4662,2694
2173,16423
1004,2973
383,1248
2247,13298
3746,16250
2819,500
501,4418
1265,1248
3745,3665
3893,21181
2173,10392
552,3772
1604,932
17579,2341
18446,264
350,1284
282,3772
806,1355
113,971
16614,2004
3383,9118
256,449
54599,6211
5920,446
3383,562
501,1633
1914,3314
14153,9804
99,562
379,2593
4147,7403
1493,2694
282,446
1988,4148
264,230
1086,33672
4659,3567
3745,22573
3393,486
12248,1604
8814,476
2476,12710
15349,2556
392,7068
8366,126
1250,1913
3746,500
35,34
1248,1493
113,4297
256,350
971,551
62,501
15350,15349
5242,5361
1011,3512
1102,8814
282,113
1102,3665
7115,13920
281,1913
87,1284
447,99
4602,449
1993,265
4854,1004
62,500
282,69
971,383
1355,7311
3746,486
28507,7498
6348,2694
449,5920
2004,486
2476,562
1988,1011
1913,1250
1355,3746
8814,971
10864,5002
446,100
449,1284
14503,113
2338,9822
552,3665
5361,11716
687,34
99,87
4867,43258
1914,2593
486,37055
10961,552
383,497
500,9769
1116,12248
6816,7498
39723,14321
476,10961
500,57
446,932
486,11172
1913,1807
1914,69
4659,3188
392,4659
1116,500
3893,2004
69,281
9262,4779
3665,113
1248,447
2694,3746
11172,486
68,551
1493,8203
3188,562
16167,34
487,3393
3745,476
62,497
3293,392
562,392
350,99
10922,476
932,916
3360,9262
446,882
7319,56
2694,3512
3772,552
10864,3900
500,14077
4048,87
4148,7486
1914,10922
1102,3772
2703,932
2476,449
1081,1116
26997,6816
971,3945
3314,1250
11511,11214
68,690
3558,25112
25112,1086
3746,4853
500,56
1011,8222
500,1355
3512,4148
8814,3772
4123,497
1493,4853
281,10922
882,6089
1633,4148
2338,932
