teamplaysagainstteam_inv_1,teamplaysagainstteam_inv_2
3293,87
1011,383
7319,16250
497,1248
1004,2973
35,552
10922,4297
1248,4853
447,392
16402,1102
4422,2173
5183,265
486,3746
2593,379
2286,16402
10060,1248
486,1011
2556,971
87,2004
971,3945
9118,25112
23641,1116
69,2556
281,552
8160,26997
2703,421
16220,421
487,486
230,1992
3900,4779
14503,4183
113,1102
281,379
1265,126
2694,383
15672,932
1004,1604
1004,4854
99,3383
1265,4148
1102,2286
392,3393
4602,2476
1081,8286
2476,449
392,447
2593,3745
3293,6089
4183,14503
686,10864
3393,562
1633,1011
28393,8204
1633,2694
501,1011
326,87
3821,1604
28608,264
500,501
7311,1355
447,882
487,3567
4853,1004
350,449
3772,68
2973,14077
281,16402
3383,446
422,2209
25112,9118
4926,1102
113,14503
16250,1248
4661,476
6089,6088
971,1914
7039,4048
14077,7486
3746,56
379,3745
13298,2286
5361,6913
11847,971
4659,87
379,1913
10159,7319
9805,2556
2694,486
3772,5340
1250,2593
7555,932
383,7812
113,14983
379,971
4602,3567
3821,1493
2694,4148
10331,14294
34,932
126,500
1011,1988
3393,1081
6348,500
500,5352
3360,3900
26997,18652
2007,1116
1222,57
1439,2007
4148,5352
5044,2973
1289,2476
13029,13298
3383,447
4148,10775
562,446
4602,11172
11172,350
3293,1081
3360,34
1102,68
6089,486
1289,1116
57,3746
113,16402
4662,4848
3383,9118
500,3512
4514,28608
3900,19054
326,350
3893,447
69,281
1250,10922
18446,1992
551,971
7812,7319
2593,16402
4926,552
9724,4867
126,1004
5352,3746
8222,1116
2004,447
2476,487
687,13029
450,486
34,4779
3383,10392
2286,113
1116,3746
3383,6032
3383,7039
28153,1102
2007,7812
932,687
100,3293
13298,13029
4147,1192
5242,18652
35,1914
497,9769
8486,2338
4853,7319
500,2715
486,3567
15350,15349
486,4148
282,476
99,3293
6211,22473
449,3293
562,4659
2694,10434
4123,4853
1289,4602
5352,3512
8160,5242
1493,497
3893,392
7486,4854
3188,497
2341,1914
1081,3293
5636,10467
9118,10392
7319,126
1011,486
11109,2004
4048,446
882,7068
1439,3746
20983,10392
1081,2209
7499,10392
1289,449
10759,3745
2286,34665
6744,3360
3900,932
4183,113
2973,7486
1248,4123
882,3393
3512,501
4184,971
1248,500
486,1116
4659,99
4854,3746
1011,500
23641,8222
4048,3393
3360,5002
421,3900
1289,1081
35,4297
15349,2556
446,20983
2733,4867
28507,7499
421,2338
4926,3665
5352,9915
1116,7319
447,7068
1289,1284
4779,2703
8148,6816
1604,932
3360,687
326,7068
7486,500
1081,449
446,2004
3188,4165
2338,9822
3745,552
421,9262
1992,18446
2004,562
282,16402
1116,2004
11985,7563
1807,4297
4297,1102
932,2338
113,1913
4661,971
2694,1222
1250,1914
383,14077
68,113
56,1265
8286,392
6816,2173
7039,449
6816,7498
552,551
4867,2172
7068,3893
17579,2593
971,17927
497,1011
8532,7068
501,62
3746,2007
1284,100
2004,446
916,421
1081,1116
3900,168
449,1116
3746,806
11214,11511
971,27496
6816,26997
971,2556
476,282
99,3567
8532,4602
3293,447
500,8222
486,1248
446,3567
256,1116
1248,14077
2004,4165
230,1102
5182,1993
18519,5560
3772,2244
1081,256
4662,4854
3567,2004
476,10961
1004,9769
4148,20258
446,392
3900,2338
449,7068
4659,3893
16250,4854
1633,2973
449,99
7512,4853
3821,4853
11716,20983
57,4662
1669,2173
14983,68
1914,2593
1604,7319
5560,10864
4165,3893
56,2819
2004,350
1102,3314
562,3188
1493,501
10961,2593
4854,4853
8160,446
1011,4737
5920,3393
2476,3293
486,2007
450,1116
2338,34665
3293,3893
971,113
8814,113
379,113
4602,7039
2819,932
1250,4661
8814,3314
326,21181
25786,5361
57,1604
7039,350
68,476
22573,3745
971,68
4513,882
421,5002
17579,379
28393,1493
2973,4662
9915,806
3293,4602
7039,392
1011,3188
486,1439
9769,7812
3512,4148
3188,882
4297,3665
56,14077
1116,1248
56,4853
2209,5002
8286,7068
10864,2427
87,446
4853,486
2095,687
13298,10864
20258,1604
552,2593
113,4297
2286,971
5560,5636
487,3393
99,100
3188,1011
1289,350
4662,9598
9262,1081
1081,3360
3745,1914
3746,1355
2593,113
449,1081
15727,11213
8814,1250
8203,1493
383,1011
3314,68
4602,449
4854,57
28507,8148
7812,9769
1913,8814
5636,25112
5352,4148
7555,2703
3360,2703
4926,35
12248,1004
4148,3821
932,4853
4854,4662
18519,446
882,686
57,383
16250,14077
3900,687
4602,3383
1284,882
562,1081
62,1493
687,2209
4165,3393
1993,265
26259,10467
5636,4867
350,486
3188,350
256,350
1086,5560
4926,14983
4779,932
1011,1604
8222,1004
497,4123
3821,2694
3293,487
1289,8286
486,62
9262,686
25112,6305
57,7319
6088,28608
256,3893
476,68
500,1116
350,4602
2244,2286
4926,379
2338,34
4659,562
497,4418
8203,7115
552,3665
326,392
3746,5044
562,2004
3558,18198
10060,2973
1004,4662
16296,26510
3665,281
5560,4602
2209,422
3188,2476
500,3854
13956,3900
12115,932
3745,1250
326,7039
421,1081
1633,62
882,1284
1633,4662
2007,806
487,3293
1004,1248
501,4662
282,3665
20258,9915
8148,28507
449,2004
3745,281
113,4183
500,8751
16250,3746
87,4602
12248,1116
13029,687
10060,1011
2476,326
3188,99
8366,2973
16614,449
2819,4853
1439,497
4659,7039
2593,1250
16614,4602
1248,1493
5920,2004
3745,4661
5361,20983
3512,2007
932,383
126,383
1248,1988
1004,7319
113,1807
5920,87
10159,1248
7319,500
14077,1604
8366,383
5920,3188
326,2004
1248,12839
3567,2476
3383,3893
2338,422
5340,4926
971,11847
3393,486
3746,1439
10392,2173
3745,3665
350,562
3893,1116
9804,14153
113,4926
15672,882
447,4853
3383,1081
9262,34
87,449
449,3893
8222,1011
5044,2694
500,10060
10392,690
7039,87
1004,62
4504,971
4853,126
2819,383
446,4853
12710,486
1355,62
1102,690
14077,126
100,3893
450,3393
486,446
3900,22731
1992,28608
282,2593
476,3772
486,4602
4848,2694
16614,486
3746,62
3393,2004
1992,5182
7958,4147
113,3314
265,264
446,562
392,3893
350,2476
497,1633
1988,1116
500,28443
3314,476
25112,8148
3900,5002
69,14153
1081,1284
1004,12248
383,4848
17579,35
3746,10159
4148,10060
486,37055
1081,882
1604,3512
4165,447
3393,7039
1004,6348
6913,5636
686,2247
113,379
25112,5560
487,2476
1284,3293
99,1284
3746,4853
8026,8025
1988,1004
7311,8204
379,69
3854,486
7499,15906
1913,971
4659,5920
5183,230
350,99
9769,486
4853,87
3360,422
37055,4514
2338,4779
9915,1493
20258,1011
16167,2209
5044,3188
18198,1086
5044,20258
2427,3900
392,7498
5242,26259
9915,1248
1102,3772
3745,379
1248,932
4854,2973
4513,932
3188,446
2476,99
10864,10467
1011,2694
3293,3567
2007,1439
7068,3393
4148,7486
3314,5340
971,36913
971,14983
4602,21181
14077,500
18519,3383
2476,392
99,562
1081,392
2286,1102
126,932
5560,12957
2286,2244
326,447
5002,3900
10864,422
562,450
7319,1116
3821,1004
1914,10922
3745,113
28608,1992
8532,3393
2694,4662
501,486
31343,500
15323,11190
3745,3314
1355,1604
4926,10922
392,449
4867,10467
4048,1284
971,1807
9769,1248
1004,2694
932,13956
35,3900
281,3665
3393,686
350,1081
1102,1913
264,37055
5361,5636
2694,1116
2593,3746
1604,12248
392,99
11847,552
3314,971
1048,476
8532,447
486,383
7498,4602
971,379
2004,3567
1913,113
379,1102
1086,33672
4148,62
1284,447
3314,3745
3567,3188
3188,1116
5044,1004
421,2703
1102,8814
2703,662
4184,281
1284,350
4779,9262
687,10467
34,68
21181,7039
3393,326
4602,3893
4926,113
882,4659
500,9598
9915,4853
2004,3188
230,5183
4926,3314
22739,15906
3314,379
1081,5002
16614,3188
4165,2004
690,68
3293,450
552,282
126,1248
3293,326
486,2476
3188,4659
3512,126
56,62
69,1914
2244,552
3293,7039
4184,2244
326,3893
686,7068
10467,5560
1004,4123
62,1011
15672,6088
1604,1011
3314,4926
2173,1086
551,3745
3383,99
2286,69
7068,3567
62,1633
3893,3383
2004,4659
2247,13298
10864,3900
3772,8814
1914,552
10759,552
3393,4165
1011,1116
971,3772
9769,4853
8814,1913
932,126
4418,2694
3314,8814
2819,1248
2640,264
2286,552
8532,3893
2007,1004
3179,12031
4853,500
2004,3293
21181,447
68,1913
2004,326
690,379
4123,1604
497,486
687,2095
971,17579
500,1355
10467,687
1250,10961
2476,486
446,15515
87,450
14321,39723
476,3665
18519,5636
7116,10864
1011,4148
281,3745
5340,68
2004,11109
552,12325
7812,2007
1284,2476
1222,497
6816,2172
8286,1116
57,932
7486,3746
4123,3512
14983,3665
932,3360
3179,6816
9805,9804
4297,113
56,4662
2004,3383
23541,2173
422,9262
4899,27331
3360,9262
5002,1081
4602,4867
3893,2004
2703,7555
3567,3893
3746,10060
450,3383
501,3512
1081,690
12710,882
379,1250
1081,562
35,10392
62,1604
1102,282
4662,4853
1604,4123
1250,4926
1265,1988
500,7486
932,7555
1493,1004
8286,1081
2338,2286
971,4504
1116,4853
449,446
2694,3746
6816,6032
1493,5361
6211,54599
500,31343
87,16614
4418,501
3383,3393
26997,5242
2973,7319
7116,7498
10864,5002
1011,10434
1081,932
2007,4853
3293,8286
10331,264
2476,350
1248,1265
497,56
7319,10159
5361,5242
1081,2004
552,35
15727,4383
14983,1914
447,5920
1004,1116
446,686
486,3893
113,2244
932,2286
3383,1289
7039,3893
1248,2476
447,99
4148,4662
99,3393
5002,932
350,256
4148,2007
1284,2004
551,1914
476,1102
3393,882
379,2593
113,282
5920,447
500,6348
350,392
10467,2964
87,350
2973,10060
476,4661
2476,447
932,28608
15727,5560
37055,882
16402,113
1004,10159
87,4048
562,486
3512,806
326,882
35,476
422,34
57,497
1248,1604
5182,18203
1102,2593
34,9262
2593,68
12710,932
4123,62
486,28608
4853,7512
19054,3900
1248,2694
1633,1604
34665,2338
302,7499
3393,3293
1081,9118
5002,10864
3293,99
3567,256
1048,971
35,971
2286,2593
3293,3393
2593,1102
552,1102
3393,350
4659,882
14503,379
5352,497
1116,1004
5183,264
10978,500
40344,15349
1250,69
56,932
8689,2556
16402,282
446,486
806,3746
4148,1355
3188,3393
11214,11213
3893,6827
383,1604
256,8286
383,16250
5002,4779
476,5340
1992,230
6212,6211
3745,1913
5340,476
3746,1011
17927,44742
56,1248
2694,9769
486,3854
8160,25786
14983,113
882,28608
5636,5361
15349,15350
449,392
449,1284
11172,449
1265,56
1248,7486
5636,18519
35,68
446,3383
16614,2004
500,14077
1289,99
7116,16759
422,4779
1250,8814
1250,476
1988,57
1604,1248
971,2593
256,3293
28507,23541
7311,7115
2007,3746
68,3314
68,551
4183,552
932,422
9805,27496
2556,15350
99,350
7498,392
14077,57
486,5920
99,7068
4787,34
9769,1493
113,552
500,1004
1250,379
113,446
3665,476
7555,2209
971,281
14294,10331
1355,3746
326,446
1081,7039
3512,1493
3746,4662
1250,3745
282,281
3567,7068
281,2286
446,31262
1086,25112
806,9915
56,1604
932,37055
99,256
1081,326
10864,18519
113,5340
486,3383
2244,1914
1914,1102
2004,3393
350,1284
1248,497
264,230
16250,56
10392,4602
2694,6348
2244,3772
62,12248
449,11172
1604,1633
35,281
4602,7068
7319,2973
4926,1250
3393,99
2338,3900
1284,3188
2244,8814
3293,2476
56,1633
3567,447
10060,57
4602,2004
4602,1116
7039,3383
14077,7812
99,449
882,4602
1992,1993
3188,256
1102,113
4661,1250
1250,113
486,15672
2593,2244
15846,1004
7039,3293
971,3314
9822,2338
13298,2209
25112,1086
932,9262
1004,5352
3821,126
265,1993
1116,7486
1081,9262
500,4854
34,5002
3567,446
2007,9915
1102,10961
690,971
16759,2733
26259,5242
450,2476
2007,1493
1633,7812
450,87
446,326
69,4297
446,1116
4926,690
4297,971
447,2476
282,3314
3893,99
35,1913
9262,4779
383,497
87,486
99,4048
1004,1355
1284,392
282,113
99,1116
8148,5560
99,326
446,4048
450,350
2476,446
2004,449
476,2244
4183,35
500,971
392,446
1116,4602
3772,113
2341,17579
932,2209
3745,2341
3360,932
126,3512
449,16614
11716,446
1004,8366
3393,21181
882,3893
282,446
5044,806
1011,62
4662,8366
686,99
8286,1284
62,2007
43258,16759
1284,4659
3188,5044
350,447
422,10864
3293,4659
2476,3393
1988,1248
281,8814
3772,971
1265,4662
4183,3745
3393,7068
6827,3393
3745,2244
486,447
501,1633
2173,10392
1807,1913
1604,3746
3558,5242
4737,4418
126,4602
11172,3393
971,383
28153,113
3745,282
264,1992
9118,6032
69,2286
62,5044
486,3821
932,6744
5044,1493
383,1265
1011,501
8814,2244
3360,4779
446,12710
500,1604
500,383
62,1248
392,87
4779,421
1988,1493
2703,9262
1439,4853
500,5044
68,14983
1248,1633
4854,1004
487,447
62,497
2004,2476
10434,1004
8286,99
1102,2244
2973,932
2694,62
4513,486
7068,326
3746,14077
4165,4048
264,18446
4418,4853
43258,4867
87,3567
501,2007
2593,476
476,8814
8366,126
5340,2593
2593,8814
486,4659
3293,562
26997,6816
2476,1116
282,3772
87,3293
4148,4853
264,265
1250,971
383,2819
16250,383
7812,1004
14248,971
25088,6816
18519,9724
113,2341
3665,4926
486,256
16402,28153
4662,4148
8203,5361
447,3893
256,3393
3893,350
8814,35
2341,282
1081,6032
932,8366
3293,449
9262,5002
497,500
2694,3512
10961,113
34,2209
4183,2244
1284,486
5560,25112
5044,57
8814,971
1004,7812
4662,497
16402,281
383,971
7039,1081
450,562
487,256
1992,35667
806,3512
3512,9915
2819,500
99,446
1248,447
35,2593
8222,7319
113,35
10060,500
1086,3558
1604,9769
8366,4662
34,21762
3314,282
2973,1493
5560,8148
1604,501
4926,10961
2694,2007
3893,8026
3512,4123
2209,9822
447,500
7812,500
16250,7319
10392,1081
10961,4926
1289,3893
500,2694
3314,2244
14077,4853
7319,1004
1011,8222
4926,476
5920,326
4123,2007
15672,4514
3314,1914
281,113
4418,1493
281,3314
2004,1081
69,379
686,2338
2593,10922
56453,2476
1011,1355
3854,1248
230,10331
3567,392
3393,100
21762,3360
2007,486
2694,7812
87,7039
350,7039
1604,62
392,256
8148,18198
486,3393
4297,2593
9769,1011
446,256
1081,6305
7039,21181
126,14077
3745,8814
1913,2593
3393,1284
15515,10392
1265,500
5560,10467
12710,446
126,3821
486,58262
1004,7486
447,3393
552,113
1914,14983
68,1914
3746,8222
447,16614
486,100
1004,486
3821,4148
13298,686
686,9262
2286,281
9769,3746
3900,19410
1081,4602
87,99
8814,552
1913,3745
379,68
14294,5183
1265,7319
7403,7958
497,2007
3293,2004
449,5920
2556,15349
1011,497
6744,1116
486,12710
2286,5002
2973,4854
2007,4148
2209,686
7498,2476
3567,3293
23641,449
35,2286
3360,21762
6827,3893
1914,2341
2694,501
230,44029
2973,383
281,4661
6089,932
2173,18652
4662,1633
486,1493
4148,5044
500,932
7039,256
9262,2209
1102,379
256,449
7319,4853
6744,932
971,1250
5044,500
2173,21342
1355,806
916,932
500,9769
18519,10864
7563,11213
56,486
476,552
1102,16402
3293,3383
350,3893
4853,2007
1011,57
1913,35
22473,6211
2476,1284
1913,3314
500,3746
3746,2973
3512,1439
5636,5242
1284,3567
8751,500
7812,383
971,4926
1355,2973
16250,500
35,2209
8814,4183
126,56
3567,3393
4779,916
16759,7116
3512,1633
7403,4147
7039,686
562,7039
4854,383
932,1081
449,2476
4853,1493
9915,9598
1493,2694
4297,1250
99,486
3745,2593
562,1116
500,447
1248,2007
4659,446
326,3393
487,1081
34,422
12031,5242
126,57
100,3567
7812,1633
10159,1004
447,1248
1081,421
10961,1250
9821,6088
7319,7486
19410,3900
1493,28393
69,476
2341,1102
1116,87
1248,3854
20983,6032
1248,4854
1248,3512
500,16250
4602,10392
1265,1248
4661,3772
34665,2286
932,500
18446,264
14983,8814
12031,26997
3314,69
15846,6088
9262,3360
500,1011
5352,2694
3745,10759
383,62
4853,446
2593,4661
2703,1081
486,562
5340,282
383,57
350,2004
2286,686
23641,350
10159,500
5044,62
350,3393
383,486
500,2593
57,4854
383,126
2476,256
20258,56
2476,7498
1011,20258
1250,1913
3900,34
8286,3383
4659,392
4297,1807
1011,12248
882,486
1248,7812
971,1913
446,450
1102,35
447,3567
4165,1284
1081,3393
113,2593
2286,2338
4048,562
3665,4297
1604,57
281,1913
7319,7812
8689,8688
932,421
8814,14983
6211,6212
3393,3188
662,932
68,690
3188,1284
16402,2286
4602,882
9915,1004
2476,3188
1248,62
113,28153
446,12031
5340,69
2244,1102
65826,3746
2593,551
35,113
15727,28507
10864,686
27331,302
11190,15323
562,4048
56,1988
882,449
3746,486
35,3314
383,806
6211,27496
9262,932
3772,1913
4048,87
23541,11511
932,34
281,1102
2004,882
1992,5183
9118,1086
1250,4297
7068,4602
562,256
7039,1284
487,4602
10331,1102
1355,2694
2694,497
62,501
10060,4148
1011,1248
392,4659
256,35
7486,1248
1807,113
68,3665
10467,10864
497,3188
1081,3188
34,687
14294,1993
27496,971
1011,1493
1081,3893
15515,446
35,379
2338,10864
4418,1011
4602,126
57,56
27496,9805
10759,113
4123,1248
3900,686
10392,7499
5560,21669
28153,971
2004,1116
486,3293
3314,2593
1633,2007
3383,1284
1011,2973
486,326
1004,932
4659,3567
7563,3558
87,1289
446,3293
3665,1102
476,379
3567,99
1116,500
3383,256
1604,1355
4853,497
5242,8160
3383,1116
447,7039
31262,446
7068,256
3188,2004
3567,487
392,3383
28507,7498
3893,100
1439,3512
500,4662
552,3772
1248,2819
126,1265
3893,3188
2694,5352
5361,18519
9915,20258
17927,971
1807,379
3665,113
1289,7039
2694,1633
15727,3558
7486,2973
1250,1102
1284,1081
113,1250
3746,1988
11214,28507
4048,2004
500,4148
497,9915
56,4854
1248,9769
3893,1284
4662,2694
500,4848
2209,3360
10922,281
3745,12325
9598,1248
87,326
12115,882
6089,4514
1914,113
56,10060
3512,5352
4602,392
497,1004
2004,4048
16614,256
2004,16614
3393,2476
2973,1265
450,446
265,5183
10922,113
500,806
1102,230
1914,2244
11172,1116
1004,3746
3746,1604
56,20258
5340,3772
449,3383
882,447
326,1081
3772,2593
3900,35
99,3188
3383,4602
3293,350
486,12115
3383,449
20258,2694
1011,4418
4662,2973
3567,882
4048,486
3772,4661
326,4659
1604,1493
10392,6032
4659,486
450,449
1913,68
22573,552
6816,4383
7563,11511
562,882
4848,3746
1913,1807
113,971
7039,4165
14321,42338
2209,7555
1116,16250
3393,1116
552,10922
21762,687
8222,1248
1222,1493
8286,4602
500,486
28507,1086
1248,16250
1284,686
1004,500
16614,447
501,2694
4853,1248
98,97
476,971
4659,4048
34,4787
971,35
3567,4602
22473,2556
1081,350
4418,62
2209,2703
4662,7319
87,4659
350,4659
264,1993
2593,4297
4602,446
2286,2209
3665,3745
687,34
2819,7319
18652,5242
281,10922
35,10922
1493,3512
971,8814
46376,2556
2694,500
4147,7958
7068,5920
113,68
3893,5920
87,1284
932,57
10961,10922
916,2209
4779,3900
2004,487
687,9262
4853,4602
379,4926
4659,3393
15905,264
2973,1355
99,686
1914,690
11847,1913
21181,4602
15727,11511
99,447
11847,3745
3293,882
2694,3821
3893,562
487,3383
3893,4602
5340,113
2556,22473
500,1439
3558,25112
1493,4853
15368,446
2593,282
2004,486
23541,28507
1116,446
1248,57
1116,56
7499,392
497,5352
379,3314
35,4504
113,476
5560,687
486,882
2593,10961
1102,1250
113,690
562,3893
447,3383
2004,4602
500,12248
113,69
37055,486
2286,35
14153,69
3314,1102
4926,68
5242,5636
57,2007
11172,562
971,3665
3821,497
12325,552
5560,15727
27331,7499
3393,5920
21448,25088
562,87
971,28153
326,3293
68,5340
2476,3383
500,7319
3293,100
21181,326
1493,6032
500,62
10759,1913
15906,7499
1493,2973
552,1913
3746,57
4602,1081
2694,4848
16614,2476
21181,2476
2007,3512
350,446
281,2593
4853,56
3393,446
2341,3745
3314,1913
2338,8486
87,4853
7555,4779
281,476
3893,256
4662,1265
3567,5920
446,100
6744,421
99,7039
562,4602
56,1116
2172,4867
3945,971
690,10392
20983,5361
1439,1604
2694,4737
3567,1284
4418,1248
113,1914
4123,1011
4602,450
57,4418
3746,4854
1355,500
15846,882
3746,12248
35,4602
1250,282
1248,501
3665,2244
8814,282
7068,350
500,1633
552,281
4779,5002
4048,2476
2694,1988
113,10922
19054,2209
17927,476
3558,5636
10922,2593
5044,9769
2476,562
4602,16614
5920,882
6032,1081
3393,87
500,350
4848,500
379,1914
4418,497
4602,326
2338,5767
3293,256
932,1604
126,4853
1081,446
662,2209
2703,687
16402,2593
3665,14983
15727,8148
1248,3188
476,2593
6744,34
882,392
10978,1248
7563,4383
7498,6816
14503,2593
34,916
4899,21669
2007,57
5182,264
1992,264
113,11847
2007,5352
2209,35
4183,2341
392,562
806,1011
2338,686
552,10961
6816,8148
1284,99
282,10922
882,2476
264,35667
2593,500
3746,7319
882,7039
5002,3360
932,3746
2694,56
446,18519
562,1284
3665,8814
562,99
12248,62
15368,2476
9821,486
8814,4661
932,1248
551,113
256,486
1102,1992
1493,486
971,1248
687,5002
4779,3360
8814,1102
476,1913
3746,2593
3188,1004
26997,12031
497,3512
11716,18652
3360,686
68,4297
4854,500
13920,8204
392,486
4779,422
4779,2702
500,4853
500,20258
447,326
56,1011
1993,1992
5560,1086
500,3188
3383,487
4297,1913
446,9118
2007,1011
6032,18519
497,3746
9598,3746
9724,18519
2640,1992
1493,500
2593,14503
13956,4779
12248,1011
3360,6744
282,971
87,882
7486,7319
486,1289
3893,7039
2209,2286
4418,486
5002,2209
1913,3772
7319,2819
486,1284
21762,34
882,5920
3512,497
10060,3746
350,8286
497,1604
68,971
4418,1604
57,2973
62,4148
882,8025
168,2286
18652,26997
971,2286
1116,5044
5182,1992
1914,1913
3893,87
3893,2476
34,16167
1081,3383
4661,281
1250,68
256,446
1633,1004
806,2694
7068,6827
12710,6088
500,4123
1265,1004
113,3665
4854,7319
2973,3746
2476,3567
932,2819
57,1248
446,449
422,3360
10922,1250
422,421
446,3393
2244,282
3746,9598
8025,486
21342,25088
21181,3393
1248,9598
113,8814
16250,1116
62,2694
9769,8366
4602,99
113,3745
1004,4148
9118,446
2702,2209
7486,4148
4662,3746
56,1355
12710,4514
4602,8286
15846,486
56,7319
687,2703
1913,1102
1102,28153
392,1116
11214,4383
3900,421
4165,882
10392,35
500,4418
1604,497
932,4779
8222,383
1993,264
4779,7555
3383,450
3293,10392
3746,383
383,8222
2286,10864
1289,3383
7068,3188
6305,5560
3665,1913
2703,932
34,6744
1248,9915
2593,2286
552,2286
686,3393
3360,421
4659,686
7068,447
486,87
500,10159
1116,14077
2286,3360
3746,1633
486,3188
3893,16614
16614,3893
28443,500
487,1116
1604,4418
383,932
69,113
9118,18198
4662,56
35,932
2703,16167
4602,5560
500,10978
1011,4123
487,11172
4148,497
4661,113
3383,2476
3393,33787
14077,4662
8148,15727
3293,486
4148,500
687,686
1248,7319
8814,3745
56,1493
69,3772
4737,1011
4853,1988
2244,3665
9821,882
3900,13956
11172,4602
4291,2476
282,1914
2703,4779
2209,932
7512,500
282,1102
1493,4148
486,5352
56,16250
2476,3893
486,497
2209,34
447,2004
350,500
326,99
8286,1289
3360,2209
7499,302
10922,552
18652,11716
1493,7311
1633,486
392,326
4662,383
421,34
2973,1633
7116,7115
447,486
326,1284
16250,4662
3188,7039
882,4048
168,3900
99,882
552,16402
4853,4662
882,3293
4602,3393
7812,4148
4297,35
932,1004
4662,62
882,3188
500,57
686,3821
446,447
4504,35
486,4048
3314,113
12248,3746
16220,686
1913,281
2209,4779
25112,3558
35,256
1248,10060
3188,4148
9598,500
17579,281
282,8814
2973,10978
7068,4659
256,2476
56453,3393
9598,4662
4165,486
1284,7068
1807,971
1102,1914
3746,1248
932,446
4662,126
1284,87
1248,4662
57,8366
256,7039
690,1081
3393,392
687,3900
806,5044
446,7068
8025,882
1081,99
100,99
7068,392
1289,446
562,2476
4853,2973
11190,27331
8026,3567
10775,4853
87,1081
46376,15349
446,1289
8532,1284
2694,57
3393,35735
2004,87
15672,486
486,8025
501,1004
4418,57
3393,1493
1004,2007
1004,9915
882,350
446,2476
2973,57
3900,2427
446,350
4662,1004
971,1048
22573,1102
15846,932
806,1004
282,69
1493,56
14077,2973
562,449
57,1004
383,4662
4123,3746
7039,7068
1992,265
7498,7116
